,ARPA Puglia,,,,,
,S.Maria Cerrate,,,,,
Parm,SO2,NO2,CO,O3,,BENZENE
05/01/2008 10.00,"0,92299902","4,8433568","0,5487961","52,66127682",,"0,87040001"
05/01/2008 11.00,"0,62532198","4,55445025","0,7398456","52,66804572",,"0,84745002"
05/01/2008 12.00,"0,77474499","4,70383927","0,6626599","51,9475797",,0
05/01/2008 13.00,"0,92917699","5,9321492","0,57932975","54,61101432",,"0,90555"
05/01/2008 14.00,"1,08519602","6,38925289","0,58734295","54,49914108",,"0,44235"
05/01/2008 15.00,"1,72671294","5,64996911","0,6297952","58,52226132",,"0,4833"
05/01/2008 16.00,"0,81841999","5,17498839","0,5892117","59,78739816",,"0,34784999"
05/01/2008 17.00,"1,05264997","6,94850429","0,68852685","58,91911506",,"0,27425"
05/01/2008 18.00,"1,04176903","6,62802139","0,5067107","57,70726614",,"0,45835"
05/01/2008 19.00,"0,94857401","7,10810902","0,48773685","58,720698",,"0,52539998"
05/01/2008 20.00,"0,94226903","7,28558889","0,5886298","60,24817386",,"0,47670001"
05/01/2008 21.00,"1,06927705","7,87676086","0,62230295","59,52105666",,"0,56269997"
05/01/2008 22.00,"1,18740904","6,57056436","0,5756762","63,0674109",,"0,56465"
05/01/2008 23.00,"0,73519999","7,27026627","0,6778146","62,74513278",,"0,26065001"
06/01/2008 0.00,"1,25934398","4,23013576","0,6634488","67,3209288",,"0,51295"
06/01/2008 1.00,,"3,40019717","0,72988085","69,33180222",,"0,53060001"
06/01/2008 2.00,"1,97583604",,"0,68271475","70,31860974",,"0,44165"
06/01/2008 3.00,"2,06791592","2,9890576",,"70,57429758",,"0,44710001"
06/01/2008 4.00,"1,926875","2,54089054","0,72934955","71,03507328",,"0,3818"
06/01/2008 5.00,"2,10921693","2,29829233","0,69693795","71,8993539",,"0,3752"
06/01/2008 6.00,"1,79672599","2,31744467","0,64841485","74,29644702",,"0,3637"
06/01/2008 7.00,"1,95156705","2,4336378","0,64041545","74,7638739",,"0,35690001"
06/01/2008 8.00,"1,97254097","2,20508313","0,6293651","77,1023817",,"0,35235"
06/01/2008 9.00,"1,33694899","2,16550313","0,54319905","76,00370094",,"0,1793"
06/01/2008 10.00,"1,94984901","2,20636033","0,39066535","76,86931572",,"0,35955"
06/01/2008 11.00,"2,21491599","2,31233775","0,52637455","77,06241576",,"0,35069999"
06/01/2008 12.00,"2,68745804","2,18720799","0,7593887","78,54727698",,"0,33704999"
06/01/2008 13.00,"4,95033789","2,2880785","1,01268425","78,49135998",,"0,31525001"
06/01/2008 14.00,"1,96831703","2,14762799","1,1307191","78,78699414",,"0,33234999"
06/01/2008 15.00,"1,47162497","2,25360353","1,160442","77,23289394",,"0,3141"
06/01/2008 16.00,"1,69419801","2,27913998","1,1328167","77,98396716",,"0,31985"
06/01/2008 17.00,"1,06915498","2,86775755","1,2145127","75,62417166",,"0,31105"
06/01/2008 18.00,"1,48073804","5,32565461","0,9346326","67,87491912",,"0,35815001"
06/01/2008 19.00,"1,46388698","4,39101581","0,5234432","61,54925454",,"0,49544999"
06/01/2008 20.00,"1,63917696","5,44950717","0,4039927","52,2046017",,"0,42765"
06/01/2008 21.00,"1,73628795","6,58077819","0,3844381","55,61379252",,"0,463"
06/01/2008 22.00,"1,65190601","6,19517507","0,42184185","60,39599094",,
06/01/2008 23.00,"1,61456501","7,15407502","0,3361749","61,17105942",,"0,59995002"
07/01/2008 0.00,"1,93045199","6,01641988","0,39313325","66,0730968",,"0,62395"
07/01/2008 1.00,"2,206671","4,28759278","0,5114602","69,36109488",,"0,4957"
07/01/2008 2.00,"1,72713494","3,09120342","0,4164656","69,67540728",,"0,40669999"
07/01/2008 3.00,"1,84004903","3,48446597","0,3884309","69,55021206",,"0,3664"
07/01/2008 4.00,"1,59884501","2,41576078","0,4494269","73,55202498",,"0,35280001"
07/01/2008 5.00,"1,67934597","2,18465547","0,5197402","71,64235152",,"0,30414999"
07/01/2008 6.00,"1,97082305","2,2868013","0,673348","70,35724152",,"0,29324999"
07/01/2008 7.00,"1,44573998","6,9599972","0,85674655","57,43692216",,"0,315"
07/01/2008 8.00,"1,61177695","5,70231922","0,6211748","42,18078294",,
07/01/2008 9.00,"1,54105401","14,28643953","0,2998119","26,54642898",,"0,4113"
07/01/2008 10.00,"2,27537298","26,62954272","0,30082965","8,106158",,"0,45089999"
07/01/2008 11.00,"1,46560395","26,73423918","0,4458895","11,07322193",,"0,61655003"
07/01/2008 12.00,"1,66596997","15,68073454","0,56571375","36,41976234",,"0,75475001"
07/01/2008 13.00,"2,10733604","8,68244018","0,8398542","58,38376374",,"0,66055"
07/01/2008 14.00,"2,95634389","10,04225459","1,0129338","60,75423252",,"0,5503"
07/01/2008 15.00,"5,02413082","11,8591802","1,463375","62,54538156",,"0,50825"
07/01/2008 16.00,"6,856493","12,20392988","1,94107465","66,90276774",,"0,4824"
07/01/2008 17.00,"5,94440413","8,19213684","2,1779344","68,08799232",,"0,51674998"
07/01/2008 18.00,"3,32688594","6,36627083","1,7380801","61,11910566",,"0,4524"
07/01/2008 19.00,"2,02154112","7,08895668","1,06718735","49,28281092",,"0,2735"
07/01/2008 20.00,"1,62319303","7,52052391","0,8011199","45,20110536",,"0,36269999"
07/01/2008 21.00,"1,50638103","8,76160207","0,5846439","33,62450094",,"0,40715"
07/01/2008 22.00,"1,59074104","7,96230686","0,4701039","29,28975624",,"0,4765"
07/01/2008 23.00,"1,58108199","10,98966914","0,4858313","20,4777864",,"0,4903"
08/01/2008 0.00,"1,45141697","25,23651174","0,51740915","9,52843142",,"0,77015001"
08/01/2008 1.00,,"25,811082","0,73459125","7,71330281",,"1,57949996"
08/01/2008 2.00,"1,89098799",,"0,83269775","7,47892033",,"2,2025001"
08/01/2008 3.00,"1,50647199","18,95961474",,"8,69078299",,"2,39299989"
08/01/2008 4.00,"1,39577198","21,53370681","1,1975272","7,60276962",,"2,43899989"
08/01/2008 5.00,"1,44323599","17,57172265","1,17511485","7,86778088",,"2,34649992"
08/01/2008 6.00,"1,801525","10,86836533","1,1545333","13,25056909",,"2,24699998"
08/01/2008 7.00,"1,779562","5,34480695","1,0499155","27,00720468",,"1,773"
08/01/2008 8.00,"2,20865011","3,54064768","0,8205135","29,13793668",,"1,21800005"
08/01/2008 9.00,"2,07505202","4,65148916","0,724546","21,81883302",,"0,85229999"
08/01/2008 10.00,"1,56149805","13,04536137","0,3091752","15,42526754",,"0,76749998"
08/01/2008 11.00,"1,76472497","20,55054573","0,5547715","13,58350675",,"0,72869998"
08/01/2008 12.00,"1,75272","24,05672973","0,823883","15,0204265",,"0,72775"
08/01/2008 13.00,"2,28485203","21,82099194","0,8954843","13,21062473",,"1,05369997"
08/01/2008 14.00,"1,97776198","15,73436185","0,93519495","22,44208194",,"1,02250004"
08/01/2008 15.00,"1,44238698","12,3558733","0,95540275","25,90587522",,"0,77155"
08/01/2008 16.00,"1,01461101","14,04129068","0,8928232","28,14049512",,"0,33684999"
08/01/2008 17.00,"1,24284005","12,74658521","0,82758255","33,80561316",,"0,66254997"
08/01/2008 18.00,"0,93998402","5,78403738","0,7378515","48,5943255",,"1,04700005"
08/01/2008 19.00,"0,631024","4,08968337","0,58042685","52,84115298",,"0,52254999"
08/01/2008 20.00,"0,74403101","4,14203536","0,61273495","61,56789354",,"0,38569999"
08/01/2008 21.00,"1,08392","4,38080198","0,54882485","61,36415946",,
08/01/2008 22.00,"1,60130703","5,6959351","0,47086175","56,9468538",,"0,16644999"
08/01/2008 23.00,"1,51065004","4,73320544","0,58055105","56,0599317",,"0,29234999"
09/01/2008 0.00,"1,33607399","4,55572745","0,5961439","59,59029564",,"0,3118"
09/01/2008 1.00,"2,47066998","5,62443265","0,4795109","48,30534252",,"0,18529999"
09/01/2008 2.00,"1,75643003","8,25853238","0,4319423","35,71130376",,"0,34985"
09/01/2008 3.00,"2,3752799","10,86708437","0,58732915","34,71782544",,"1,06599998"
09/01/2008 4.00,"2,93968296","7,86271355","0,7307836","35,27316954",,"0,77904999"
09/01/2008 5.00,"2,66197801","5,10476314","0,5828798","44,40873204",,"0,61264998"
09/01/2008 6.00,"4,08738804","2,69538647","0,463128","52,2139212",,"0,52784997"
09/01/2008 7.00,"3,06863499","2,35319684","0,44986275","52,3644066",,"0,46345001"
09/01/2008 8.00,"2,34061003","4,10373068","0,3896959","52,05278214",,"0,44029999"
09/01/2008 9.00,"2,44155002","6,51565985","0,4076589","47,07616914",,"0,41795"
09/01/2008 10.00,"2,0370841","9,89542749","0,501285","40,45353624",,"0,43274999"
09/01/2008 11.00,"2,41566801","5,61421882","0,5769757","50,16708432",,"0,45919999"
09/01/2008 12.00,"2,36893702","6,03046531","0,5737327","59,22008586",,"0,49810001"
09/01/2008 13.00,"2,87863898","3,89177583","0,81747865","69,53689008",,"0,50199997"
09/01/2008 14.00,"3,59147596","2,49492454","0,9394764","78,43008672",,"0,4032"
09/01/2008 15.00,"4,25419092","3,81005955","0,96130685","79,6219821",,"0,34595001"
09/01/2008 16.00,"5,13858891","3,35167678","1,31212355","81,00831168",,"0,37764999"
09/01/2008 17.00,"4,86012602","2,89074149","1,77584955","81,14678964",,"0,38679999"
