Stat,TA-Paolo VI -CISI,,,,,,,
,,,,,
Parm,SO2,NOX,NO2,PM10 biorario,IPA TOT,PM10,PM2.5,CO
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ng/m3,ug/m3,ug/m3,mg/m3 293K
,,,,,,
,,,,
,,,,
,,,,
03/01/2014 22.00,"2,6","10,2","8,7","24,2","6,5","14,8","9,8","0,3"
03/01/2014 23.00,"2,6","10,8","9,7",,"6,5","14,8","9,8","0,3"
04/01/2014 0.00,"2,6","10,5","9,5","19,8","4,6","14,8","9,8","0,3"
04/01/2014 1.00,,"6,4","5,4",,"1,8","10,9","7,4","0,3"
04/01/2014 2.00,"2,9",,,"18,1","2,1","10,9","7,4","0,3"
04/01/2014 3.00,"2,6","5,1","4,0",,"3,3","10,9","7,4",
04/01/2014 4.00,"2,5","4,6","3,3","12,9","2,3","10,9","7,4","0,2"
04/01/2014 5.00,"2,3","6,4","5,2",,"2,6","10,9","7,4","0,2"
04/01/2014 6.00,"2,5","8,7","6,9","10,7","5,1","10,9","7,4","0,2"
04/01/2014 7.00,"2,6","21,1","17,8",,"9,6","10,9","7,4","0,2"
04/01/2014 8.00,"2,7","35,7","23,3","11,0","18,3","10,9","7,4","0,2"
04/01/2014 9.00,"2,6","10,9","6,7",,"10,5","10,9","7,4","0,2"
04/01/2014 10.00,"2,6","8,3","5,9","12,5","4,5","10,9","7,4","0,2"
04/01/2014 11.00,"2,6","21,0","14,6",,"15,0","10,9","7,4","0,2"
04/01/2014 12.00,"2,6","14,8","10,1","7,1","8,1","10,9","7,4","0,2"
04/01/2014 13.00,"2,6","18,4","12,9",,"9,7","10,9","7,4","0,3"
04/01/2014 14.00,"2,6","15,2","11,1","4,9","6,6","10,9","7,4","0,2"
04/01/2014 15.00,"2,6","12,3","9,4",,"7,6","10,9","7,4","0,2"
04/01/2014 16.00,"2,6","10,9","8,6","8,8","6,8","10,9","7,4","0,2"
04/01/2014 17.00,"2,6","20,0","17,4",,"13,9","10,9","7,4","0,2"
04/01/2014 18.00,"2,6","28,2","26,0","18,1","18,1","10,9","7,4","0,3"
04/01/2014 19.00,"2,6","37,2","34,2",,"26,0","10,9","7,4","0,3"
04/01/2014 20.00,"2,6","43,9","40,0","15,9","38,5","10,9","7,4","0,4"
04/01/2014 21.00,"2,6","29,8","27,5",,"18,0","10,9","7,4","0,3"
04/01/2014 22.00,"2,6","25,6","23,4","15,4","19,7","10,9","7,4","0,3"
04/01/2014 23.00,"2,6","21,0","19,5",,"14,7","10,9","7,4","0,2"
05/01/2014 0.00,"2,6","10,1","9,1","20,5","5,6","10,9","7,4","0,2"
05/01/2014 1.00,"2,6","11,0","10,0",,"6,5","12,8","6,9","0,2"
05/01/2014 2.00,"2,6","9,7","8,7","14,7","4,4","12,8","6,9","0,2"
05/01/2014 3.00,"2,6","8,0","7,1",,"2,8","12,8","6,9","0,2"
05/01/2014 4.00,"2,7","5,3","4,3","17,1","1,5","12,8","6,9","0,2"
05/01/2014 5.00,"2,6","4,4","3,4",,"1,4","12,8","6,9","0,2"
05/01/2014 6.00,"2,7","7,9","6,9","20,0","2,1","12,8","6,9","0,2"
05/01/2014 7.00,"2,9","5,6","4,7",,"2,2","12,8","6,9","0,2"
05/01/2014 8.00,"3,6","7,4","5,8","14,7","3,2","12,8","6,9","0,2"
05/01/2014 9.00,"2,7","6,6","5,4",,"3,1","12,8","6,9","0,2"
05/01/2014 10.00,"2,9","8,7","7,1","14,4","4,0","12,8","6,9","0,2"
05/01/2014 11.00,"3,4","8,5","6,8",,"5,2","12,8","6,9","0,2"
05/01/2014 12.00,"3,3","9,7","7,3","11,7","6,3","12,8","6,9","0,2"
05/01/2014 13.00,"3,9","11,2","8,4",,"6,8","12,8","6,9","0,2"
05/01/2014 14.00,"3,9","13,0","10,6","15,4","9,8","12,8","6,9","0,2"
05/01/2014 15.00,"3,8","8,9","7,3",,"7,4","12,8","6,9","0,2"
05/01/2014 16.00,"3,9","8,2","7,3","15,1","4,5","12,8","6,9","0,2"
05/01/2014 17.00,"3,9","6,7","5,6",,"2,8","12,8","6,9","0,2"
05/01/2014 18.00,"3,6","8,9","7,9","14,7","1,9","12,8","6,9","0,2"
05/01/2014 19.00,"3,5","10,3","9,4",,"1,6","12,8","6,9","0,2"
05/01/2014 20.00,"2,8","8,6","7,6","12,7","6,1","12,8","6,9","0,2"
05/01/2014 21.00,"3,7","29,2","27,3",,"16,5","12,8","6,9","0,3"
05/01/2014 22.00,"3,7","23,4","21,8","12,9","8,3","12,8","6,9","0,2"
05/01/2014 23.00,"3,5","16,7","15,4",,"5,8","12,8","6,9","0,2"
06/01/2014 0.00,"3,0","11,3","10,2","7,6","3,2","12,8","6,9","0,2"
06/01/2014 1.00,,"7,8","6,9",,"3,8","5,8","3,5","0,2"
06/01/2014 2.00,"3,8",,,"8,5","1,9","5,8","3,5","0,2"
06/01/2014 3.00,"3,5","6,6","5,6",,"2,1","5,8","3,5",
06/01/2014 4.00,"3,1","3,5","2,5","7,3","1,4","5,8","3,5","0,2"
06/01/2014 5.00,"2,8","5,5","4,5",,"2,8","5,8","3,5","0,2"
06/01/2014 6.00,"2,6","6,1","5,0","5,9","2,0","5,8","3,5","0,2"
06/01/2014 7.00,"2,6","9,2","7,8",,"3,0","5,8","3,5","0,2"
06/01/2014 8.00,"2,9","11,6","10,1","10,3","2,4","5,8","3,5","0,2"
06/01/2014 9.00,"2,6","10,6","8,9",,"3,7","5,8","3,5","0,2"
06/01/2014 10.00,"2,6","6,1","4,6","6,3","3,6","5,8","3,5","0,2"
06/01/2014 11.00,"2,6","4,2","3,1",,"2,3","5,8","3,5","0,2"
06/01/2014 12.00,"2,6","4,2","2,9","8,3","1,9","5,8","3,5","0,2"
06/01/2014 13.00,"2,7","5,5","3,8",,"1,9","5,8","3,5","0,2"
06/01/2014 14.00,"3,5","7,9","6,0","4,6","3,8","5,8","3,5","0,2"
06/01/2014 15.00,"2,9","4,4","3,3",,"1,8","5,8","3,5","0,2"
06/01/2014 16.00,"2,9","5,1","4,1","5,6","1,8","5,8","3,5","0,2"
06/01/2014 17.00,"2,4","6,4","5,4",,"2,5","5,8","3,5","0,2"
06/01/2014 18.00,"2,6","6,4","5,5","10,0","2,8","5,8","3,5","0,2"
06/01/2014 19.00,"2,9","4,7","3,8",,"1,8","5,8","3,5","0,2"
06/01/2014 20.00,"2,6","3,6","2,7","6,6","1,7","5,8","3,5","0,2"
06/01/2014 21.00,"2,6","3,8","2,8",,"1,6","5,8","3,5","0,2"
06/01/2014 22.00,"2,7","4,0","3,0","8,8","1,5","5,8","3,5","0,2"
06/01/2014 23.00,"2,5","4,3","3,2",,"1,5","5,8","3,5","0,2"
07/01/2014 0.00,"2,4","8,4","7,3","10,5","2,4","5,8","3,5","0,2"
07/01/2014 1.00,"2,5","6,1","4,7",,"2,6","15,3","10,7","0,2"
07/01/2014 2.00,"2,6","6,5","5,5","9,8","2,6","15,3","10,7","0,2"
07/01/2014 3.00,"2,6","10,6","9,5",,"4,5","15,3","10,7","0,2"
07/01/2014 4.00,"2,4","6,1","5,1","11,0","1,8","15,3","10,7","0,2"
07/01/2014 5.00,"2,5","4,2","3,1",,"1,4","15,3","10,7","0,2"
07/01/2014 6.00,"2,4","2,8","1,7","7,3","1,3","15,3","10,7","0,2"
07/01/2014 7.00,"2,6","7,2","5,3",,"3,5","15,3","10,7","0,2"
07/01/2014 8.00,"3,6","93,7","40,8","4,9","65,4","15,3","10,7","0,4"
07/01/2014 9.00,"5,9","157,9","53,6",,"120,6","15,3","10,7","0,6"
07/01/2014 10.00,"3,2","45,8","26,1","10,7","22,3","15,3","10,7","0,3"
