Stat,TA-Paolo VI -CISI,,,,,,,
,,,,,
Parm,SO2,NOX,NO2,PM10 biorario,IPA TOT,PM10,PM2.5,CO
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ng/m3,ug/m3,ug/m3,mg/m3 293K
,,,,,,
,,,,
,,,,
,,,,
27/03/2014 16.00,"18,3","23,9","17,2","7,1","6,4","11,4","3,7","0,5"
27/03/2014 17.00,"11,7","21,4","18,0",,"6,9","11,4","3,7","0,3"
27/03/2014 18.00,"4,6","30,3","25,7","12,0","30,8","11,4","3,7","0,2"
27/03/2014 19.00,"3,7","52,5","44,4",,"41,2","11,4","3,7","0,3"
27/03/2014 20.00,"2,8","18,2","16,6","15,6","10,6","11,4","3,7","0,2"
27/03/2014 21.00,"2,6","7,7","6,7",,"3,9","11,4","3,7","0,2"
27/03/2014 22.00,"2,6","9,7","8,3","19,8","4,3","11,4","3,7","0,2"
27/03/2014 23.00,"2,6","3,8","3,5",,"2,3","11,4","3,7","0,2"
28/03/2014 0.00,"2,6","4,2","3,4","10,5","1,9","11,4","3,7","0,1"
28/03/2014 1.00,"2,6","4,2","3,9",,"1,6","7,8","4,2","0,1"
28/03/2014 2.00,"2,8","4,5","4,2","11,0","1,8","7,8","4,2","0,2"
28/03/2014 3.00,"2,6","4,4","3,9",,"1,5","7,8","4,2","0,2"
28/03/2014 4.00,"2,6","6,0","5,8","8,8","1,7","7,8","4,2","0,2"
28/03/2014 5.00,"2,6","3,5","3,3",,"1,5","7,8","4,2","0,2"
28/03/2014 6.00,"2,6","2,9","2,6","7,6","1,6","7,8","4,2","0,2"
28/03/2014 7.00,"2,7","11,9","9,5",,"6,6","7,8","4,2","0,2"
28/03/2014 8.00,"2,7","8,2","6,5","6,8","3,1","7,8","4,2","0,2"
28/03/2014 9.00,"3,8","28,2","19,8",,"12,8","7,8","4,2","0,2"
28/03/2014 10.00,"3,9","14,2","11,0","4,4","4,8","7,8","4,2","0,2"
28/03/2014 11.00,"3,0","16,2","13,3",,"3,9","7,8","4,2","0,3"
28/03/2014 12.00,"3,3","13,9","11,5","8,5","3,5","7,8","4,2","0,2"
28/03/2014 13.00,"2,6","4,7","3,8",,"2,3","7,8","4,2","0,2"
28/03/2014 14.00,"2,6","4,0","3,0","13,2","2,3","7,8","4,2","0,2"
28/03/2014 15.00,"2,6","3,7","3,0",,"2,0","7,8","4,2","0,2"
28/03/2014 16.00,"2,6","2,8","2,4","10,3","1,8","7,8","4,2","0,2"
28/03/2014 17.00,"2,6","2,6","2,2",,"1,9","7,8","4,2","0,2"
28/03/2014 18.00,"2,6","2,8","2,5","6,6","1,7","7,8","4,2","0,2"
28/03/2014 19.00,"2,1","3,4","3,0",,"2,3","7,8","4,2","0,2"
28/03/2014 20.00,"2,3","3,6","2,8","9,0","2,6","7,8","4,2","0,2"
28/03/2014 21.00,"2,2","3,2","2,9",,"2,1","7,8","4,2","0,2"
28/03/2014 22.00,"2,0","3,0","2,9","9,0","1,7","7,8","4,2","0,2"
28/03/2014 23.00,"1,9","3,2","3,0",,"1,8","7,8","4,2","0,2"
29/03/2014 0.00,"1,7","5,1","4,5","11,7","2,1","7,8","4,2","0,2"
29/03/2014 1.00,,"9,2","8,8",,"1,9",,,"0,3"
29/03/2014 2.00,"2,5",,,"13,7","1,8",,,"0,2"
29/03/2014 3.00,"2,1","5,4","5,2",,"1,7",,,
29/03/2014 4.00,"2,3","4,8","4,2","11,0","1,6",,,"0,2"
29/03/2014 5.00,"1,6","8,6","8,1",,"1,6",,,"0,4"
29/03/2014 6.00,"2,1","5,4","5,1","7,1","2,2",,,"0,2"
29/03/2014 7.00,"1,9","3,4","2,8",,"2,0",,,"0,2"
29/03/2014 8.00,"2,4","3,6","2,9","8,5","2,0",,,"0,2"
29/03/2014 9.00,"3,0","3,9","3,0",,"2,2",,,"0,2"
29/03/2014 10.00,"4,2","4,1","3,4","5,9","2,1",,,"0,2"
29/03/2014 11.00,"4,2","3,5","3,0",,"1,8",,,"0,2"
29/03/2014 12.00,"5,5","3,7","2,9","8,1","1,8",,,"0,2"
29/03/2014 13.00,"5,9","3,2","2,9",,"1,7",,,"0,2"
29/03/2014 14.00,"6,1","3,4","2,9","13,4","1,7",,,"0,2"
29/03/2014 15.00,"6,5","3,1","2,2",,"1,8",,,"0,2"
29/03/2014 16.00,"5,9","3,2","2,4","9,5","1,9",,,"0,2"
29/03/2014 17.00,"6,4","2,8","2,3",,"1,7",,,"0,2"
29/03/2014 18.00,"5,9","3,9","3,4","13,7","2,2",,,"0,2"
29/03/2014 19.00,"4,4","4,7","4,5",,"2,0",,,"0,2"
29/03/2014 20.00,"3,1","4,2","3,9","15,9","2,9",,,"0,2"
29/03/2014 21.00,"2,9","3,0","2,8",,"1,9",,,"0,2"
29/03/2014 22.00,"4,2","3,3","3,0","19,0","1,6",,,"0,2"
29/03/2014 23.00,"3,9","2,9","2,6",,"1,8",,,"0,2"
30/03/2014 0.00,"4,3","2,8","2,5","17,3","1,6",,,"0,2"
30/03/2014 1.00,"4,2","2,8","2,3",,"1,6","18,7","13,4","0,2"
30/03/2014 2.00,"2,8","5,3","4,7","16,4","2,3","18,7","13,4","0,2"
30/03/2014 3.00,"2,6","9,8","9,3",,"2,4","18,7","13,4","0,2"
30/03/2014 4.00,"2,1","7,9","7,3","17,6","2,1","18,7","13,4","0,2"
30/03/2014 5.00,"1,6","4,5","3,9",,"1,8","18,7","13,4","0,2"
30/03/2014 6.00,"1,6","2,8","2,2","25,4","1,6","18,7","13,4","0,2"
30/03/2014 7.00,"2,5","5,1","4,1",,"2,6","18,7","13,4","0,2"
30/03/2014 8.00,"3,4","11,2","8,0","13,9","7,0","18,7","13,4","0,2"
30/03/2014 9.00,"4,9","23,1","16,6",,"12,6","18,7","13,4","0,3"
30/03/2014 10.00,"7,6","33,3","23,7","11,7","11,7","18,7","13,4","0,4"
30/03/2014 11.00,"7,1","23,2","17,8",,"7,7","18,7","13,4","0,4"
30/03/2014 12.00,"10,8","26,4","20,0","18,3","5,9","18,7","13,4","0,5"
30/03/2014 13.00,"11,3","16,3","13,0",,"4,1","18,7","13,4","0,4"
30/03/2014 14.00,"8,3","10,6","8,4","16,8","3,2","18,7","13,4","0,3"
30/03/2014 15.00,"8,5","14,6","11,9",,"3,7","18,7","13,4","0,3"
30/03/2014 16.00,"5,8","9,6","8,0","13,4","3,3","18,7","13,4","0,3"
30/03/2014 17.00,"6,0","8,1","7,2",,"4,0","18,7","13,4","0,3"
30/03/2014 18.00,"4,1","15,2","14,1","21,0","5,0","18,7","13,4","0,2"
30/03/2014 19.00,"2,8","13,3","12,3",,"2,6","18,7","13,4","0,2"
30/03/2014 20.00,"2,6","8,5","7,8","22,5","2,9","18,7","13,4","0,2"
30/03/2014 21.00,"2,5","7,2","6,8",,"2,5","18,7","13,4","0,3"
30/03/2014 22.00,"2,5","7,9","7,5","28,6","3,6","18,7","13,4","0,3"
30/03/2014 23.00,"2,6","8,6","8,0",,"2,8","18,7","13,4","0,3"
31/03/2014 0.00,"2,4","7,5","7,1","23,9","2,2","18,7","13,4","0,3"
31/03/2014 1.00,,"7,7","7,5",,"2,8","20,7","11,7","0,3"
31/03/2014 2.00,"2,4",,,"26,4","3,0","20,7","11,7","0,2"
31/03/2014 3.00,"2,5","4,4","4,1",,"2,3","20,7","11,7",
31/03/2014 4.00,"2,5","2,4","2,4","17,8","1,8","20,7","11,7","0,2"
31/03/2014 5.00,"2,6","1,8","1,6",,"1,6","20,7","11,7","0,1"
31/03/2014 6.00,"2,5","2,8","2,8","10,0","1,7","20,7","11,7","0,1"
31/03/2014 7.00,"2,6","27,3","20,1",,"13,8","20,7","11,7","0,2"
31/03/2014 8.00,"5,2","41,0","28,8","6,3","23,4","20,7","11,7","0,2"
31/03/2014 9.00,"6,9","83,3","50,5",,"30,3","20,7","11,7","0,5"
31/03/2014 10.00,"8,5","75,6","47,2","44,0","25,2","20,7","11,7","0,4"
31/03/2014 11.00,"11,6","45,9","31,0",,"14,5","20,7","11,7","0,4"
31/03/2014 12.00,,"25,3","18,9","30,8","11,3","20,7","11,7","0,3"
31/03/2014 13.00,"4,5","21,9","16,9",,"11,2","20,7","11,7","0,3"
31/03/2014 14.00,"0,4","15,7","12,1","25,4","8,6","20,7","11,7","0,3"
31/03/2014 15.00,,"18,0","13,3",,"10,7","20,7","11,7","0,3"
31/03/2014 16.00,,"12,3","9,9","16,4","6,9","20,7","11,7","0,3"
31/03/2014 17.00,"0,2","10,9","9,4",,"5,7","20,7","11,7","0,3"
31/03/2014 18.00,"1,7","13,6","12,5","24,2","4,4","20,7","11,7","0,3"
31/03/2014 19.00,,"16,0","14,9",,"6,8","20,7","11,7","0,2"
31/03/2014 20.00,,"20,3","19,0","31,0","5,8","20,7","11,7","0,3"
31/03/2014 21.00,,"15,6","13,3",,"15,2","20,7","11,7","0,3"
31/03/2014 22.00,,"6,6","6,1","32,0","3,4","20,7","11,7","0,2"
31/03/2014 23.00,,"4,1","3,6",,"2,4","20,7","11,7","0,2"
01/04/2014 0.00,,"5,9","5,7","24,7","2,9","20,7","11,7","0,2"
01/04/2014 1.00,,"3,4","3,2",,"1,9","24,3","15,4","0,2"
01/04/2014 2.00,,"4,0","4,0","25,9","3,2","24,3","15,4","0,2"
01/04/2014 3.00,,"4,9","4,8",,"1,8","24,3","15,4","0,2"
01/04/2014 4.00,,"5,4","5,1","17,3","1,6","24,3","15,4","0,2"
01/04/2014 5.00,,"22,4","21,4",,"8,5","24,3","15,4","0,2"
01/04/2014 6.00,,"23,9","19,4","33,2","15,1","24,3","15,4","0,2"
01/04/2014 7.00,"0,7","120,4","58,5",,"69,8","24,3","15,4","0,5"
01/04/2014 8.00,"0,4","67,3","43,1","27,8","40,2","24,3","15,4","0,4"
01/04/2014 9.00,"3,0","74,9","44,3",,"34,6","24,3","15,4","0,5"
01/04/2014 10.00,"2,4","55,8","36,8","41,3","21,7","24,3","15,4","0,5"
01/04/2014 11.00,"4,2","43,0","30,6",,"13,0","24,3","15,4","0,4"
01/04/2014 12.00,"8,7","45,5","32,7","29,3","14,0","24,3","15,4","0,5"
01/04/2014 13.00,"5,2","33,5","26,2",,"15,6","24,3","15,4","0,3"
01/04/2014 14.00,"3,9","27,4","21,8","32,2","11,7","24,3","15,4","0,3"
01/04/2014 15.00,"1,4","22,8","18,4",,"13,8","24,3","15,4","0,3"
01/04/2014 16.00,,"17,8","14,7","29,1","10,4","24,3","15,4","0,3"
01/04/2014 17.00,,"16,1","14,1",,"10,3","24,3","15,4","0,3"
01/04/2014 18.00,,"21,7","18,7","21,7","16,8","24,3","15,4","0,3"
01/04/2014 19.00,,"29,4","27,8",,"13,9","24,3","15,4","0,3"
01/04/2014 20.00,,"37,2","34,0","25,2","15,4","24,3","15,4","0,3"
01/04/2014 21.00,,"32,6","31,4",,"11,7","24,3","15,4","0,3"
01/04/2014 22.00,,"15,9","15,3","31,7","4,9","24,3","15,4","0,2"
01/04/2014 23.00,,"5,3","4,9",,"2,1","24,3","15,4","0,2"
02/04/2014 0.00,,"5,6","4,9","26,4","1,7","24,3","15,4","0,2"
02/04/2014 1.00,,"6,2","5,8",,"1,8","23,6","12,9","0,3"
02/04/2014 2.00,,,,"30,0","1,7","23,6","12,9","0,2"
02/04/2014 3.00,,"7,2","6,8",,"1,5","23,6","12,9",
02/04/2014 4.00,,"4,5","4,3","25,9","3,5","23,6","12,9","0,2"
02/04/2014 5.00,,"4,2","4,1",,"2,1","23,6","12,9","0,2"
02/04/2014 6.00,,"6,2","5,2","25,9","5,7","23,6","12,9","0,2"
02/04/2014 7.00,,"27,8","19,5",,"11,0","23,6","12,9","0,2"
02/04/2014 8.00,"0,8","34,2","25,5","15,9","14,1","23,6","12,9","0,3"
02/04/2014 9.00,"2,0","57,7","38,2",,"19,2","23,6","12,9","0,6"
02/04/2014 10.00,,"55,2","35,3","32,7","17,6","23,6","12,9","0,4"
02/04/2014 11.00,"12,6","59,2","38,1",,"15,2","23,6","12,9","0,6"
02/04/2014 12.00,"18,0","40,5","29,0","37,4","8,1","23,6","12,9","0,5"
02/04/2014 13.00,"7,1","25,8","20,0",,"9,7","23,6","12,9","0,4"
02/04/2014 14.00,"5,7","22,4","17,6","26,6","8,0","23,6","12,9","0,4"
02/04/2014 15.00,"4,6","20,4","16,0",,"8,7","23,6","12,9","0,3"
02/04/2014 16.00,"2,6","18,3","14,6","21,7","8,4","23,6","12,9","0,3"
02/04/2014 17.00,"2,0","17,8","15,1",,"9,1","23,6","12,9","0,3"
02/04/2014 18.00,"1,1","22,1","20,0","25,4","12,4","23,6","12,9","0,3"
02/04/2014 19.00,,"18,2","17,6",,"10,8","23,6","12,9","0,2"
02/04/2014 20.00,,"16,3","15,3","23,9","7,7","23,6","12,9","0,2"
02/04/2014 21.00,,"37,1","35,7",,"16,4","23,6","12,9","0,3"
02/04/2014 22.00,,"24,8","23,4","29,5","9,4","23,6","12,9","0,3"
02/04/2014 23.00,,"15,2","14,4",,"5,9","23,6","12,9","0,3"
03/04/2014 0.00,,"14,6","14,3","28,1","4,5","23,6","12,9","0,2"
03/04/2014 1.00,,"9,5","9,0",,"3,1","16,3","9,9","0,2"
03/04/2014 2.00,,"6,8","6,8","25,6","2,2","16,3","9,9","0,2"
03/04/2014 3.00,,"5,7","5,5",,"2,2","16,3","9,9","0,2"
03/04/2014 4.00,,"6,7","6,3","27,8","3,0","16,3","9,9","0,2"
03/04/2014 5.00,,"7,5","6,9",,"2,8","16,3","9,9","0,2"
03/04/2014 6.00,,"13,5","12,6","19,3","8,0","16,3","9,9","0,2"
03/04/2014 7.00,,"34,5","29,3",,"28,9","16,3","9,9","0,3"
03/04/2014 8.00,,"23,6","17,6","19,3","21,5","16,3","9,9","0,3"
03/04/2014 9.00,,"17,1","13,2",,"13,7","16,3","9,9","0,3"
03/04/2014 10.00,,"9,4","7,0","14,2","6,3","16,3","9,9","0,2"
03/04/2014 11.00,,"11,8","8,6",,"7,8","16,3","9,9","0,2"
03/04/2014 12.00,,"10,2","7,5","15,9","8,1","16,3","9,9","0,2"
03/04/2014 13.00,,"11,3","8,5",,"8,4","16,3","9,9","0,2"
03/04/2014 14.00,"0,8","10,1","8,1","14,2","8,1","16,3","9,9","0,2"
03/04/2014 15.00,"1,3","10,9","7,5",,"9,4","16,3","9,9","0,2"
03/04/2014 16.00,"1,6","7,1","5,2","12,9","6,4","16,3","9,9","0,2"
03/04/2014 17.00,"1,6","7,3","5,5",,"6,5","16,3","9,9","0,2"
03/04/2014 18.00,"1,3","8,1","6,3","18,1","7,3","16,3","9,9","0,2"
03/04/2014 19.00,"1,3","7,9","6,7",,"6,6","16,3","9,9","0,2"
03/04/2014 20.00,"1,3","5,4","4,6","26,6","5,3","16,3","9,9","0,2"
03/04/2014 21.00,"1,3","5,9","4,6",,"4,3","16,3","9,9","0,2"
03/04/2014 22.00,"1,3","5,4","4,9","21,7","2,9","16,3","9,9","0,2"
03/04/2014 23.00,"1,3","3,3","2,9",,"2,6","16,3","9,9","0,2"
04/04/2014 0.00,"1,2","3,4","2,6","21,0","2,1","16,3","9,9","0,2"
04/04/2014 1.00,,"2,8","2,4",,"1,8","19,5","9,6","0,2"
04/04/2014 2.00,"1,3",,,"25,6","1,9","19,5","9,6","0,2"
04/04/2014 3.00,"1,3","2,7","2,6",,"2,3","19,5","9,6",
04/04/2014 4.00,"1,3","2,8","2,1","22,0","2,4","19,5","9,6","0,2"
04/04/2014 5.00,"1,3","3,5","3,0",,"2,5","19,5","9,6","0,2"
04/04/2014 6.00,"1,3","6,6","5,8","25,6","5,7","19,5","9,6","0,2"
04/04/2014 7.00,"1,3","8,7","7,0",,"7,0","19,5","9,6","0,2"
04/04/2014 8.00,"1,3","10,8","8,3","24,9","11,4","19,5","9,6","0,2"
04/04/2014 9.00,"1,4","8,2","6,3",,"8,2","19,5","9,6","0,2"
04/04/2014 10.00,"1,3","7,2","4,7","21,7","5,4","19,5","9,6","0,2"
04/04/2014 11.00,"1,3","7,8","5,9",,"6,7","19,5","9,6","0,2"
04/04/2014 12.00,"1,3","9,2","7,0","20,3","9,2","19,5","9,6","0,2"
04/04/2014 13.00,"1,4","10,5","7,5",,"11,4","19,5","9,6","0,2"
04/04/2014 14.00,"1,3","10,5","8,0","23,7","8,1","19,5","9,6","0,2"
04/04/2014 15.00,"1,3","11,0","8,5",,"14,1","19,5","9,6","0,2"
04/04/2014 16.00,"1,3","9,7","7,8","26,6","9,4","19,5","9,6","0,2"
04/04/2014 17.00,"1,3","5,9","4,6",,"4,7","19,5","9,6","0,2"
04/04/2014 18.00,"1,3","7,9","6,5","24,9","8,0","19,5","9,6","0,2"
04/04/2014 19.00,"1,5","14,6","13,5",,"6,0","19,5","9,6","0,3"
04/04/2014 20.00,"1,3","11,7","10,6","21,0","8,1","19,5","9,6","0,3"
04/04/2014 21.00,"1,3","20,5","18,8",,"8,4","19,5","9,6","0,3"
04/04/2014 22.00,"1,3","18,0","17,1","16,1","6,5","19,5","9,6","0,3"
04/04/2014 23.00,"1,3","16,4","15,7",,"5,6","19,5","9,6","0,3"
05/04/2014 0.00,"1,3","12,1","11,4","18,6","4,8","19,5","9,6","0,2"
05/04/2014 1.00,"1,3","8,8","8,4",,"4,0","14,4","5,7","0,2"
05/04/2014 2.00,"1,3","8,6","7,8","14,7","2,8","14,4","5,7","0,3"
05/04/2014 3.00,"1,3","7,7","7,1",,"2,3","14,4","5,7","0,2"
05/04/2014 4.00,"1,3","8,1","7,3","8,3","7,8","14,4","5,7","0,2"
05/04/2014 5.00,"1,5","5,4","5,0",,"2,5","14,4","5,7","0,2"
05/04/2014 6.00,"1,7","29,4","22,6","13,7","6,2","14,4","5,7","0,2"
05/04/2014 7.00,"1,3","11,8","10,2",,"8,9","14,4","5,7","0,2"
05/04/2014 8.00,"1,4","16,6","12,7","9,8","15,9","14,4","5,7","0,2"
05/04/2014 9.00,"1,3","13,7","10,3",,"12,2","14,4","5,7","0,2"
05/04/2014 10.00,"1,3","6,8","5,0","9,3","5,0","14,4","5,7","0,2"
05/04/2014 11.00,"2,5","6,2","4,4",,"5,5","14,4","5,7","0,2"
05/04/2014 12.00,"1,9","6,5","5,1","14,9","6,5","14,4","5,7","0,2"
05/04/2014 13.00,"1,3","8,6","6,8",,"8,1","14,4","5,7","0,2"
05/04/2014 14.00,"1,4","5,2","4,2","16,1","4,0","14,4","5,7","0,2"
05/04/2014 15.00,"1,3","5,5","4,3",,"4,2","14,4","5,7","0,2"
05/04/2014 16.00,"1,3","4,8","3,8","16,6","3,7","14,4","5,7","0,2"
05/04/2014 17.00,"1,3","8,7","7,7",,"7,4","14,4","5,7","0,2"
05/04/2014 18.00,"1,3","13,1","12,1","27,1","9,8","14,4","5,7","0,2"
05/04/2014 19.00,"1,3","15,2","14,3",,"7,4","14,4","5,7","0,2"
05/04/2014 20.00,"1,3","14,4","13,7","21,5","8,3","14,4","5,7","0,2"
05/04/2014 21.00,"1,3","9,7","9,1",,"6,2","14,4","5,7","0,2"
05/04/2014 22.00,"1,3","5,1","4,5","18,6","2,4","14,4","5,7","0,2"
05/04/2014 23.00,"1,3","4,6","4,4",,"2,0","14,4","5,7","0,2"
06/04/2014 0.00,"1,3","3,4","3,2","19,8","2,1","14,4","5,7","0,2"
06/04/2014 1.00,,"3,1","2,9",,"1,7","13,0","7,8","0,2"
06/04/2014 2.00,"1,3",,,"19,3","1,7","13,0","7,8","0,2"
06/04/2014 3.00,"1,3","3,0","2,5",,"1,5","13,0","7,8",
06/04/2014 4.00,"1,3","3,1","2,5","13,7","1,6","13,0","7,8","0,2"
06/04/2014 5.00,"1,7","3,0","2,4",,"1,8","13,0","7,8","0,2"
06/04/2014 6.00,"1,3","3,4","3,0","19,3","1,7","13,0","7,8","0,2"
06/04/2014 7.00,"1,3","4,6","3,8",,"2,9","13,0","7,8","0,2"
06/04/2014 8.00,"1,3","4,3","3,5","13,4","2,2","13,0","7,8","0,2"
06/04/2014 9.00,"1,3","5,1","4,2",,"3,3","13,0","7,8","0,2"
06/04/2014 10.00,"1,3","6,0","5,1","12,9","4,7","13,0","7,8","0,2"
06/04/2014 11.00,"1,3","10,3","8,7",,"8,8","13,0","7,8","0,2"
06/04/2014 12.00,"1,3","10,2","9,0","11,0","9,8","13,0","7,8","0,2"
06/04/2014 13.00,"1,3","11,7","9,9",,"9,6","13,0","7,8","0,2"
06/04/2014 14.00,"1,3","4,2","3,3","9,8","2,5","13,0","7,8","0,2"
06/04/2014 15.00,"1,3","2,9","2,4",,"1,8","13,0","7,8","0,2"
06/04/2014 16.00,"1,3","2,8","2,1","12,7","1,7","13,0","7,8","0,2"
06/04/2014 17.00,"1,3","2,8","2,2",,"1,7","13,0","7,8","0,2"
06/04/2014 18.00,"1,3","2,9","2,3","15,9","1,9","13,0","7,8","0,2"
06/04/2014 19.00,"1,3","3,8","3,3",,"2,1","13,0","7,8","0,2"
06/04/2014 20.00,"1,3","3,6","3,2","15,1","2,2","13,0","7,8","0,2"
06/04/2014 21.00,"1,3","3,5","3,1",,"2,3","13,0","7,8","0,2"
06/04/2014 22.00,"1,3","2,8","2,3","18,6","1,7","13,0","7,8","0,2"
06/04/2014 23.00,"1,3","2,8","2,3",,"1,6","13,0","7,8","0,2"
07/04/2014 0.00,"1,4","2,9","2,2","22,5","1,6","13,0","7,8","0,2"
07/04/2014 1.00,"1,5","2,8","2,1",,"1,6","19,8","13,3","0,2"
07/04/2014 2.00,"2,2","3,1","2,6","15,1","1,6","19,8","13,3","0,2"
07/04/2014 3.00,"1,3","4,3","3,7",,"1,5","19,8","13,3","0,2"
07/04/2014 4.00,"2,0","4,0","3,5","14,9","1,6","19,8","13,3","0,2"
07/04/2014 5.00,"1,3","6,6","5,9",,"1,7","19,8","13,3","0,2"
07/04/2014 6.00,"1,3","12,1","11,1","22,2","4,4","19,8","13,3","0,2"
07/04/2014 7.00,"1,4","20,3","17,4",,"5,9","19,8","13,3","0,2"
07/04/2014 8.00,"2,4","5,0","4,1","16,1","3,1","19,8","13,3","0,2"
07/04/2014 9.00,"2,0","5,3","4,4",,"2,8","19,8","13,3","0,2"
07/04/2014 10.00,"1,3","5,1","4,2","20,3","2,3","19,8","13,3","0,2"
07/04/2014 11.00,"3,2","4,8","3,9",,"2,1","19,8","13,3","0,2"
07/04/2014 12.00,"3,2","4,2","3,4","18,8","2,0","19,8","13,3","0,3"
07/04/2014 13.00,"2,5","3,3","2,7",,"2,1","19,8","13,3","0,2"
07/04/2014 14.00,"2,9","3,4","2,6","17,3","1,8","19,8","13,3","0,2"
07/04/2014 15.00,"3,6","3,2","2,8",,"1,9","19,8","13,3","0,2"
07/04/2014 16.00,"3,5","2,9","2,3","17,1","2,0","19,8","13,3","0,2"
07/04/2014 17.00,"3,4","3,2","2,6",,"2,0","19,8","13,3","0,2"
07/04/2014 18.00,"3,1","3,4","2,7","17,8","2,1","19,8","13,3","0,2"
07/04/2014 19.00,"2,7","2,8","2,4",,"1,9","19,8","13,3","0,2"
07/04/2014 20.00,"3,2","2,8","2,5","21,5","1,7","19,8","13,3","0,2"
07/04/2014 21.00,"1,7","2,8","2,5",,"1,6","19,8","13,3","0,2"
07/04/2014 22.00,"1,3","8,6","8,0","25,2","1,9","19,8","13,3","0,3"
07/04/2014 23.00,"1,3","8,4","7,9",,"1,7","19,8","13,3","0,5"
08/04/2014 0.00,"1,3","9,2","8,5","29,8","1,7","19,8","13,3","0,5"
08/04/2014 1.00,,"8,6","7,8",,"1,7","26,8","15,6","0,4"
08/04/2014 2.00,"1,4",,,"38,6","1,6","26,8","15,6","0,3"
08/04/2014 3.00,"1,3","6,7","6,5",,"1,8","26,8","15,6",
08/04/2014 4.00,"1,3","7,1","6,8","33,2","1,6","26,8","15,6","0,5"
08/04/2014 5.00,"1,1","8,0","7,7",,"1,8","26,8","15,6","0,7"
08/04/2014 6.00,"1,3","30,0","23,5","34,2","13,2","26,8","15,6","0,3"
08/04/2014 7.00,"1,7","59,4","37,7",,"37,6","26,8","15,6","0,5"
08/04/2014 8.00,"4,2","78,4","43,9","42,0","43,1","26,8","15,6","0,6"
08/04/2014 9.00,"3,6","24,8","18,6",,"9,2","26,8","15,6","0,4"
08/04/2014 10.00,"3,5","27,2","20,2","40,8","8,1","26,8","15,6","0,3"
08/04/2014 11.00,"5,5","31,4","23,0",,"10,0","26,8","15,6","0,4"
08/04/2014 12.00,"4,3","32,5","23,1","36,1","13,2","26,8","15,6","0,3"
08/04/2014 13.00,"3,9","31,2","22,5",,"13,6","26,8","15,6","0,3"
08/04/2014 14.00,"4,6","30,3","22,3","32,2","13,6","26,8","15,6","0,3"
08/04/2014 15.00,"2,6","17,3","13,0",,"8,9","26,8","15,6","0,3"
08/04/2014 16.00,"1,9","16,3","13,3","18,3","8,4","26,8","15,6","0,3"
08/04/2014 17.00,"2,2","18,9","15,3",,"10,0","26,8","15,6","0,3"
08/04/2014 18.00,"1,7","12,7","11,3","24,9","5,9","26,8","15,6","0,2"
08/04/2014 19.00,"1,3","30,4","28,3",,"16,4","26,8","15,6","0,3"
08/04/2014 20.00,"1,4","46,2","41,1","28,8","29,9","26,8","15,6","0,3"
08/04/2014 21.00,"1,5","56,0","47,4",,"41,8","26,8","15,6","0,4"
08/04/2014 22.00,"1,3","18,1","17,1","36,1","6,4","26,8","15,6","0,3"
08/04/2014 23.00,"1,3","12,2","11,4",,"3,2","26,8","15,6","0,3"
09/04/2014 0.00,"1,3","11,3","10,8","26,9","3,6","26,8","15,6","0,2"
09/04/2014 1.00,"1,3","7,9","7,8",,"2,1",,,"0,2"
09/04/2014 2.00,"1,3","9,1","9,1","24,2","2,1",,,"0,3"
09/04/2014 3.00,"1,3","7,7","6,9",,"2,0",,,"0,3"
09/04/2014 4.00,"1,3","7,7","7,0","19,8","5,3",,,"0,3"
09/04/2014 5.00,"1,3","7,2","6,8",,"1,7",,,"0,2"
09/04/2014 6.00,"1,3","26,1","22,4","28,3","19,3",,,"0,2"
09/04/2014 7.00,"2,4","58,2","31,3",,"42,2",,,"0,3"
09/04/2014 8.00,"2,1","48,1","31,8","27,6","33,3",,,"0,4"
09/04/2014 9.00,"4,1","76,1","46,6",,"38,0",,,"0,6"
09/04/2014 10.00,"5,5","74,6","43,2","38,3","27,5",,,"0,4"
09/04/2014 11.00,"6,8","36,3","26,8",,"11,1",,,"0,3"
09/04/2014 12.00,,"20,5","16,0","38,3","15,9",,,"0,4"
09/04/2014 13.00,"6,7","22,5","11,4",,"12,0",,,"0,4"
09/04/2014 14.00,,,,"38,3","7,6",,,
09/04/2014 15.00,,"73,6","35,3",,"9,5",,,"0,3"
09/04/2014 16.00,"1,8",,,"38,3","16,2",,,"0,3"
09/04/2014 17.00,"2,7","48,1","44,4",,"15,0",,,"0,2"
09/04/2014 18.00,"3,0","31,5","30,7","37,9","5,6",,,"0,3"
09/04/2014 19.00,"1,5","8,9","8,9",,"1,9",,,"0,2"
09/04/2014 20.00,"1,5","5,8","5,8","28,3","1,9",,,"0,2"
09/04/2014 21.00,"1,3","4,8","4,8",,"1,7",,,"0,2"
09/04/2014 22.00,"1,3","3,3","3,3","20,0","1,5",,,"0,2"
09/04/2014 23.00,"1,3","3,5","3,4",,"1,4",,,"0,2"
10/04/2014 0.00,"1,3","3,0","3,0","19,3","1,2",,,"0,2"
10/04/2014 1.00,,"3,8","3,8",,"1,4","8,4","4,3","0,2"
10/04/2014 2.00,"2,4",,,"12,7","1,2","8,4","4,3","0,2"
10/04/2014 3.00,"1,3","4,9","4,9",,"1,3","8,4","4,3",
10/04/2014 4.00,"1,3","3,0","3,0","13,4","1,4","8,4","4,3","0,2"
