"NetC","Comune Bari","","","","","","","","","","","","","",""
"Stat","Carbonara","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,PM10,BENZENE
23/03/2012 8.00,"4,8704547","51,13420296","82,00833768","0,82058989","11,72161007","7,24598771"
23/03/2012 9.00,"6,4677254","69,42250208","136,3593468","1,43028681",,"12,14315289"
23/03/2012 10.00,"4,98796803","67,37966392","110,7960024","1,08502159","13,18680954","9,67591598"
23/03/2012 11.00,"4,18978473","78,83598552","134,84190712","1,25249383",,"7,18596945"
23/03/2012 12.00,"6,69823151","100,98675408","197,9680976","1,11978286","32,72283173","7,4292867"
23/03/2012 13.00,"6,91969749","83,7075512","138,69974952","0,91532885",,"6,94427533"
23/03/2012 14.00,"7,22477919","66,18757016","92,10465368","0,8753577","30,76922989","5,73904287"
23/03/2012 15.00,"6,72715702","45,48196768","58,36190712","0,4109689",,"4,07150865"
23/03/2012 16.00,"6,8048965","42,96604336","60,760014","0,53591515","18,55920982","2,54007039"
23/03/2012 17.00,"7,29212289","47,57153512","65,01796152","0,668011",,"2,77089684"
23/03/2012 18.00,"7,30116199","86,1812968","123,6840296","0,76663291","19,29179955","3,06141815"
23/03/2012 19.00,"6,54772364","101,46374072","138,66472168","0,78293592",,"5,9693832"
23/03/2012 20.00,"7,98454531","108,80125104","186,05035304","1,24023337","21,24542046","6,02453511"
23/03/2012 21.00,"7,84036522","81,74647016","122,89546344","0,92026146",,"9,01571517"
23/03/2012 22.00,"6,7967605","64,42765064","82,3702028","0,87432668","37,36262131","6,52252442"
23/03/2012 23.00,"7,06749302","47,51249256","54,64930024","0,8027817",,"7,40333286"
24/03/2012 0.00,"6,05236226","39,1100556","46,05556768","0,58258039","25,39682007","12,43675062"
24/03/2012 1.00,"5,77846688","29,93605016","34,1778604","0,42671504",,"9,8835467"
24/03/2012 2.00,,"22,79970136","26,3480292","0,37610627","17,82661057","2,8352943"
24/03/2012 3.00,"5,46886665",,,"0,26120232",,"2,70471455"
24/03/2012 4.00,"5,57372444","42,25934904","45,1476736","0,24850615","10,50061035","4,67266447"
24/03/2012 5.00,"5,28898172","29,26312176","32,5650884","0,3118705",,"3,76265795"
24/03/2012 6.00,"4,6349775","24,59594888","27,50882352",,"8,79120922","4,33104705"
24/03/2012 7.00,"4,22503802","31,85302136","36,32564824","0,44386034",,"3,70815489"
24/03/2012 8.00,"5,27180663","54,69880192","76,9942324","0,68924662","8,79120922","4,3472682"
24/03/2012 9.00,,,,,,
24/03/2012 10.00,"5,60852516","56,8668952","78,51041016","0,31124373","10,7448101","3,2977598"
24/03/2012 11.00,"7,78974506","61,96948784","92,56896376","0,69889166",,"2,64907652"
24/03/2012 12.00,"9,46068725","67,87869592","106,92710864","0,9297399","12,21000957","3,42979996"
24/03/2012 13.00,"10,38405816","74,74250824","121,83908344","2,28833261",,"2,01077375"
24/03/2012 14.00,,,,,,
24/03/2012 15.00,,,,,,
24/03/2012 16.00,,,,,,
24/03/2012 17.00,,,,,,
24/03/2012 18.00,,,,,,
24/03/2012 19.00,,,,,,
24/03/2012 20.00,,,,,,
24/03/2012 21.00,,,,,,
24/03/2012 22.00,,,,,,
24/03/2012 23.00,,,,,,
25/03/2012 0.00,,,,,,
25/03/2012 1.00,,,,,,
25/03/2012 2.00,,,,,,
25/03/2012 3.00,,,,,,
25/03/2012 4.00,,,,,,
25/03/2012 5.00,,,,,,
25/03/2012 6.00,,,,,,
25/03/2012 7.00,,,,,,
25/03/2012 8.00,,,,,,
25/03/2012 9.00,,,,,,
25/03/2012 10.00,,,,,,
25/03/2012 11.00,,,,,,
25/03/2012 12.00,,,,,,
25/03/2012 13.00,,,,,,
25/03/2012 14.00,,,,,,
25/03/2012 15.00,,,,,,
25/03/2012 16.00,,,,,,
25/03/2012 17.00,,,,,,
25/03/2012 18.00,,,,,,
25/03/2012 19.00,,,,,,
25/03/2012 20.00,,,,,,
25/03/2012 21.00,,,,,,
25/03/2012 22.00,,,,,,
25/03/2012 23.00,,,,,,
26/03/2012 0.00,,,,,,
26/03/2012 1.00,,,,,,
26/03/2012 2.00,,,,,,
26/03/2012 3.00,,,,,,
26/03/2012 4.00,,,,,,
26/03/2012 5.00,,,,,,
26/03/2012 6.00,,,,,,
26/03/2012 7.00,,,,,,
26/03/2012 8.00,,,,,,
26/03/2012 9.00,,,,,,
26/03/2012 10.00,,,,,,
26/03/2012 11.00,,,,,,
26/03/2012 12.00,,,,,,
26/03/2012 13.00,,,,,,
26/03/2012 14.00,,,,,,
26/03/2012 15.00,,,,,,
26/03/2012 16.00,,,,,,
26/03/2012 17.00,"7,37438192","13,9475773","13,94701708","0,25061946",,"1,16500299"
26/03/2012 18.00,"5,3888674","38,2774752","43,46484592","0,20265408","33,21123123","2,29691484"
26/03/2012 19.00,"6,97302999","39,51241688","44,61200768","0,18615302",,"2,23267909"
26/03/2012 20.00,"6,85687334","36,74793256","41,85142384","0,07760065","16,60560989","3,13684599"
26/03/2012 21.00,"6,80037695","31,60253024","38,3294816","0,03210274",,"0,45954569"
26/03/2012 22.00,"6,858229","35,8498088","39,7204616","0,07474174","10,25640965","0,11890052"
26/03/2012 23.00,"7,3504275","33,96595344","37,37619664","0,06815833",,"2,78614472"
27/03/2012 0.00,"7,73867132","22,49274888","24,7021796","0,07495494","6,83760691","10,36855908"
27/03/2012 1.00,"8,8853256","18,03782712","19,90466568","0,03338774",,"0,39855416"
27/03/2012 2.00,"6,84467035","26,4999376","29,625484","0,05559963","3,41880298","0,76288119"
27/03/2012 3.00,"8,45278838","21,04888296","25,60940448","0,03884693",,"0,3398336"
27/03/2012 4.00,"8,96080531","24,80037992","26,93296736","0,04874477","1,70940197","6,93924627"
27/03/2012 5.00,"10,20237111","30,01652624","34,00926024","0,02193579",,"0,624677"
27/03/2012 6.00,"10,77682356","39,86867984","45,7643892","0,03876072","0,97680098","0,28030147"
27/03/2012 7.00,"11,84076828","51,7175924","64,0283868","0,18443581",,"0,37065277"
27/03/2012 8.00,"10,84281669","64,34914392","97,32431808","0,31885118","2,19780207","2,74802553"
27/03/2012 9.00,"11,26585818","44,94788872","61,1640196","0,13350201",,"0,90140981"
27/03/2012 10.00,"12,00166785","31,28324536","43,73591016","0,08813808","4,63980484","8,02784714"
27/03/2012 11.00,"12,3948909","26,14627496","36,87945904","0,09775632",,"6,91994259"
27/03/2012 12.00,"12,36505212","25,21180408","35,47222704","0,09682898","11,23320961","2,11134488"
27/03/2012 13.00,"13,55238945","32,69208344","46,11327184","0,18979598",,"2,30664753"
27/03/2012 14.00,"14,12458416","24,96714456","31,62671704","0,07645895","9,03540897",
27/03/2012 15.00,"14,74017426","23,89317416","32,1429188","0,06616851",,"0,52005007"
27/03/2012 16.00,"14,65927191","25,67578912","36,88205936","0,10403916","4,39560509","0,1944921"
27/03/2012 17.00,"15,2400501","28,56095888","41,72884552","0,13848938",,"0,1944921"
27/03/2012 18.00,"16,01970264","35,629164","51,63319672","0,193976","2,686203",
27/03/2012 19.00,"16,10332038","39,98743416","56,87232528","0,11452882",,
27/03/2012 20.00,"16,2402696","46,51702888","51,38157752","0,12531672","4,63980484",
27/03/2012 21.00,"16,74692883","48,66370776","54,8905564","0,08082654",,
27/03/2012 22.00,"17,64906885","37,12756016","41,50577248","0,08034306","12,21000957",
27/03/2012 23.00,"17,83709181","42,4871256","48,80708864","0,13256419",,
28/03/2012 0.00,"17,07460623","29,81211432","33,5883908","0,13586813","7,08180714",
28/03/2012 1.00,"17,50125807","15,43623564","18,69848239","0,13416839",,
28/03/2012 2.00,"18,59006844","12,17013812","15,07992488","0,07959746","12,69841003",
28/03/2012 3.00,"17,58579111","9,70418966","12,00868693","0,02575349",,
28/03/2012 4.00,"16,44908004","9,10976415","11,21493925","0,035183","9,27960968",
28/03/2012 5.00,"17,49675276","15,35771936","17,90538288","0,02679966",,
28/03/2012 6.00,"17,59483224","25,2325684","27,76172376","0,0579972","5,86080599",
28/03/2012 7.00,"17,62871868","49,53521648","56,68816144","0,083647",,
28/03/2012 8.00,"17,4063618","52,15886288","66,12300192","0,17367238","4,39560509",
28/03/2012 9.00,,,,,,
28/03/2012 10.00,"2,07572344","103,41964024","112,81690992","0,38394323","9,27960968",
28/03/2012 11.00,"2,24539871","44,11400816","50,37188856","0,27592909",,
28/03/2012 12.00,"1,92223882","33,85953152","41,16207136","0,34905148","17,33819962",
28/03/2012 13.00,"2,30509864",,,,,
28/03/2012 14.00,"2,29195188","25,23061816","31,5501988","0,39918958","17,82661057",
28/03/2012 15.00,"2,77646695","22,64590008","30,03469024","0,45628041",,
28/03/2012 16.00,"3,09210816","23,0222964","32,29465512","0,53497383","5,61660624",
28/03/2012 17.00,"2,92264341","28,8633608","38,3586396","0,49949142",,"0,66944737"
28/03/2012 18.00,"3,80964844","38,10355968","49,82584048","0,55285658","5,37240601","1,572641"
28/03/2012 19.00,"4,54753991","43,2191348","46,46280456","0,41820821",,"1,43492293"
28/03/2012 20.00,"4,40520262","48,11016464","52,66495016","0,4524161","17,33819962","1,24513547"
28/03/2012 21.00,"3,97277117","48,29316216","53,58708864","0,50693461",,"1,62000676"
28/03/2012 22.00,"3,94204455","31,72451584","34,9203856","0,45522841","34,18803024","1,89803727"
28/03/2012 23.00,"3,27012587","23,23188984","26,48485192","0,54132541",,"1,8858709"
29/03/2012 0.00,"3,36501706","16,49270359","18,97149687","0,47501244","24,66422081","2,38856485"
29/03/2012 1.00,"3,20053866","11,309002","13,23886964","0,33504468",,"2,58759785"
29/03/2012 2.00,"3,38263963","9,91898756","11,71297892","0,36733033","29,7924099","1,06670282"
29/03/2012 3.00,"4,97500128","10,21684083","11,74929354","0,3058125",,"1,71603597"
29/03/2012 4.00,"4,2402737","8,89886099","9,87711094","0,61295893","17,09399986","1,06005266"
29/03/2012 5.00,"3,81281233","11,0539737","12,43474554","0,38808597",,"1,3625766"
29/03/2012 6.00,"4,87514002","26,993138","30,77849648","0,61577124","11,96580982","1,31488642"
29/03/2012 7.00,"4,27868172","50,58844168","60,58619408","0,79965833",,"4,42026338"
29/03/2012 8.00,"5,03103188","65,23298504","94,83087888","1,03140945","13,18680954","3,67473932"
29/03/2012 9.00,"5,94379345","54,56058344","71,46589472","0,76089762",,"4,56463161"
29/03/2012 10.00,"4,4354777","48,54430336","63,15617064","0,62968949","22,95482063","2,91737434"
29/03/2012 11.00,"4,38215842","41,63248072","55,35486648","0,63413979",,"2,23673488"
29/03/2012 12.00,"4,03558007","35,11974984","46,32923224","0,59774636","21,48962021","1,82390611"
29/03/2012 13.00,"4,12775994","45,03356544","62,59652824","0,8091659",,"1,68148441"
29/03/2012 14.00,"4,36815026","30,58240176","37,4793108","0,59669436","24,66422081","2,00379815"
29/03/2012 15.00,"4,56290271","28,94448696","37,33273688","0,58714602",,"1,65407117"
29/03/2012 16.00,"4,54528013","23,83801296","32,71294336","0,57648511","14,40781021","1,22648064"
29/03/2012 17.00,"4,8105239","30,75111664","41,87216904","0,67652016",,"1,51018907"
29/03/2012 18.00,"5,2569625","38,08214528","50,10923712","0,7528265","12,21000957","1,90095708"
29/03/2012 19.00,"5,6726765","35,57660312","42,15036504","0,69828819",,"2,66367453"
29/03/2012 20.00,"5,29808184","25,24685104","29,85958928","0,52119654","15,62880993","1,6375256"
29/03/2012 21.00,"4,99397952","19,2993456","21,0505464","0,48965882",,"1,07675994"
29/03/2012 22.00,"5,06266261","20,08391568","21,87995288","0,50616571","33,69963074","0,91130421"
29/03/2012 23.00,"5,50865067","23,28640096","24,82018824","0,86576859",,"2,46772304"
30/03/2012 0.00,"5,7006918","18,19097258","19,46433208","0,62608731","27,35042","4,87445558"
30/03/2012 1.00,"6,0138322","24,1546784","30,7440996","0,55722533",,"1,9676255"
30/03/2012 2.00,,"15,43623564","20,3767576","0,44244254","17,09399986","0,9195775"
30/03/2012 3.00,"8,04630772",,,"0,42381186",,"0,66328333"
30/03/2012 4.00,"6,6053194","37,61102848","39,05965528","0,43119563","16,84980965","0,50739757"
30/03/2012 5.00,"6,69930647","24,86462312","27,16124104","0,47040021",,"0,62662353"
30/03/2012 6.00,"9,17415563","35,31054832","38,49550056",,"9,27960968","0,54584119"
30/03/2012 7.00,"7,69972937","48,89926616","55,80686328","0,58496281",,"3,6729555"
30/03/2012 8.00,"7,45075354","44,20616656","54,23753192","0,5862513","4,63980484","1,96081261"
30/03/2012 9.00,"6,13809435","28,62845248","33,18566624","0,36911511",,"2,36796348"
30/03/2012 10.00,"6,64643875","23,54079256","28,11255664","0,31791219","16,36141014","1,13710262"
30/03/2012 11.00,"7,48057604","37,12821024","49,74932224","0,62722552",,"1,16029937"
30/03/2012 12.00,"7,23566719","33,819934","43,16848592","0,44772232","10,50061035","2,52173998"
30/03/2012 13.00,"6,72325479","43,90959624","58,44488792","0,68571784",,"1,55820367"
30/03/2012 14.00,"6,70924765","33,70898064","40,89100712","0,43280216","6,83760691","2,04321605"
30/03/2012 15.00,"5,67177239","26,21181832","31,91594528","0,37602239",,"1,34084026"
30/03/2012 16.00,"5,99259419","25,04632048","32,34522752","0,44439974","7,32600689","1,1057963"
30/03/2012 17.00,"5,53259899","25,56676688","33,71873184","0,43970828",,"1,40977964"
30/03/2012 18.00,"5,73955137","33,94973968","45,90316216","0,64353552","6,59340715","1,37750006"
30/03/2012 19.00,"6,12137487","68,25119176","96,6797064","0,73055869",,"2,17736547"
30/03/2012 20.00,"6,04229905","62,56976024","78,77885496","0,72761939","14,40781021","2,62068899"
30/03/2012 21.00,"5,78247894","69,77878416","77,2840916","0,72379353",,"2,81777546"
30/03/2012 22.00,"5,31344566","58,93831776","66,10160664","0,59490958","38,58362961","2,69741453"
30/03/2012 23.00,"5,48560545","34,54999296","37,70175288","0,59919795",,"3,24909635"
31/03/2012 0.00,"5,354565","22,89185976","24,44861016","0,52079228","24,66422081","3,06725675"
31/03/2012 1.00,"5,59179347","17,74061437","19,62386936","0,50480499",,"2,45961348"
31/03/2012 2.00,"5,50232392","15,06114904","16,89050093","0,36667793","32,72283173","4,83714693"
31/03/2012 3.00,"5,38484008","15,44078238","21,75869384","0,31617984",,"1,97362783"
31/03/2012 4.00,"4,61441579","13,58287477","14,80301948","0,32354963","18,31501007","0,98738089"
31/03/2012 5.00,"4,35414312","16,23118406","17,6823041","0,60117146",,"4,26389149"
31/03/2012 6.00,"5,25379963","26,13394256","29,78372112","0,84170435","10,01220989","3,2512056"
31/03/2012 7.00,"6,91303716","53,1108668","63,5789712","1,62823779",,"8,35551437"
31/03/2012 8.00,"5,42415221","45,87975928","62,11273488","0,91481509","17,33819962","13,74417531"
31/03/2012 9.00,"5,23120697","38,58182736","47,3447528","0,70019529",,"5,34486893"
31/03/2012 10.00,"4,15216082","21,59332496","26,60678016","0,43018441","52,01464081","3,15047175"
31/03/2012 11.00,"3,96373411","21,60047584","26,28189312","0,54298087",,"1,99130837"
31/03/2012 12.00,"4,38170687","30,41238672","39,49222616","0,49733501","46,64223099","2,05035336"
31/03/2012 13.00,"4,67948345","37,215168","48,26626032","0,6326416",,"2,35190505"
31/03/2012 14.00,"4,1851462","24,15727872","30,51391392","0,37481312","23,93161964","2,40835465"
31/03/2012 15.00,"4,78702612","21,8405848","27,71828312","0,33291273",,"1,20101395"
31/03/2012 16.00,"4,2886229","22,30782024","28,24161664","0,33369794","16,11721039","1,3455449"
31/03/2012 17.00,"4,2556365","12,36871462","15,24074894","0,24083579",,"1,06913651"
31/03/2012 18.00,"4,08257361","13,1500343","15,49690149","0,24403605","10,98900986","0,72232832"
31/03/2012 19.00,"3,77982593","13,70746834","17,03640947","0,22972053",,"0,87691537"
31/03/2012 20.00,"4,07082523","13,95406662","16,61619011","0,22583409","19,53602028","0,72411214"
31/03/2012 21.00,"4,26015503","15,92813588","18,70107698","0,22535061",,"0,70464676"
31/03/2012 22.00,"4,14764127","10,81321466","12,07677898","0,20058504","21,24542046","0,72135505"
31/03/2012 23.00,"4,0681139","14,42519681","16,49881434","0,19571185",,"0,61964793"
01/04/2012 0.00,"3,16574506","13,55951013","15,4664223","0,21844449","23,93161964","0,62094562"
01/04/2012 1.00,"3,23442815","10,8177614","12,60918686","0,19977886",,"0,64754831"
01/04/2012 2.00,,"8,98516867","10,75645886","0,2012689","19,78022003","0,57682409"
01/04/2012 3.00,"3,36953559",,,"0,17956495",,"0,46051896"
01/04/2012 4.00,"2,85215311","34,20346208","36,35742568","0,18177845","18,80340958","0,38719936"
01/04/2012 5.00,"3,46713708","24,56027096","27,87457","0,25923813",,"0,3781145"
01/04/2012 6.00,"2,96557098","32,77190944","45,37464712",,"16,11721039","0,85436848"
01/04/2012 7.00,"2,16713039","30,82121056","37,54024624","0,48985105",,"1,11909663"
01/04/2012 8.00,"2,86842002","26,70564968","30,71104112","0,46323662","13,67521","1,51051349"
01/04/2012 9.00,"3,60947436","20,65432264","23,77742168","0,39430707",,"1,70873594"
01/04/2012 10.00,"3,17794601","15,19808266","17,52925998","0,30361182","21,97801971","1,2694672"
01/04/2012 11.00,"2,97641525","15,01442932","18,3178204","0,27635548",,"0,61348389"
01/04/2012 12.00,"2,76132891","18,26299954","24,05303648","0,31244252","18,55920982","0,64657504"
01/04/2012 13.00,"2,41203924","19,17929112","24,59776528","0,32650057",,"0,81073308"
01/04/2012 14.00,"3,11107012","16,31359699","19,57652824","0,24876012","19,04759979","0,74552405"
01/04/2012 15.00,"3,1006774","10,84696529","13,92885882","0,22769343",,"0,52637683"
01/04/2012 16.00,"2,96466687","12,70941007","16,62591646","0,2442341","38,0952301","0,63084103"
01/04/2012 17.00,"1,64748915","13,00792298","18,10641438","0,27577531",,"0,67755794"
01/04/2012 18.00,"2,47981924","16,20003949","24,17171432","0,3165072","24,42000961","0,5923964"
01/04/2012 19.00,"2,00400867","17,04299822","24,4265648","0,29131524",,"0,80051426"
01/04/2012 20.00,"1,86212395","19,21498816","28,87842736","0,34163975","29,7924099","0,86539886"
01/04/2012 21.00,"1,87748675","19,94504712","29,16052384","0,28562771",,"0,92282072"
01/04/2012 22.00,"1,40393494","20,48493856","29,62678416","0,27124928","28,08300972","0,75395905"
01/04/2012 23.00,"1,13010667","20,42134544","28,28830768","0,33394958",,"0,748931"
02/04/2012 0.00,"1,08943989","22,71276272","26,632726","0,31021853","29,54821968","1,19922911"
02/04/2012 1.00,"0,62944367","22,54660992","25,16972096","0,35189408",,"1,14570033"
02/04/2012 2.00,"0,88203495","14,87426251","16,65185656","0,31514532","29,30401993","1,56047463"
02/04/2012 3.00,"0,47400336","10,79180409","11,8971485","0,30813668",,"0,8929738"
02/04/2012 4.00,"1,07317196","9,75675245","11,43801994","0,35251386","21,24542046","1,18819975"
02/04/2012 5.00,"0,64977757","13,24672605","15,44891411","0,42787072",,"0,97781092"
02/04/2012 6.00,,,,,,
02/04/2012 7.00,,,,,,
02/04/2012 8.00,"4,99081665","50,66501728","79,01687984","0,75611413","11,72161007","2,66513495"
02/04/2012 9.00,"2,37137246","29,82314656","39,83783928","0,39127807",,"3,33004039"
02/04/2012 10.00,"1,98277066","19,28831336","26,85189856","0,39394708","40,53723145","1,96129976"
02/04/2012 11.00,"1,8973691","20,95154304","28,81487248","0,28500793",,"1,29655703"
02/04/2012 12.00,"1,74735041","19,39343512","26,34607896","0,24895934","24,90842056","1,27530681"
02/04/2012 13.00,"2,24213922","20,63160808","30,34531376","0,30137152",,"1,45860581"
02/04/2012 14.00,"1,95430381","14,03518705","19,06876987","0,12939539","14,16361046","1,29980126"
02/04/2012 15.00,"1,40348339","15,02026857","22,34556312","0,19037382",,"0,71064909"
02/04/2012 16.00,"1,46493663","17,84963661","26,24816544","0,20897654","16,11721039","0,87350944"
02/04/2012 17.00,"1,61495532","19,8872856","30,51651424","0,24566239",,"1,2086384"
02/04/2012 18.00,"2,37227556","25,20272208","35,84447432","0,33805504","15,87300968","1,26249261"
02/04/2012 19.00,"3,95334139","34,71870784","50,65138472","0,3730598",,"2,0763072"
02/04/2012 20.00,"3,50012347","37,41179808","49,46466368","0,35321519","24,42000961","1,73809571"
02/04/2012 21.00,"2,94839996","38,30279008","52,4567716","0,39366632",,"2,0141807"
02/04/2012 22.00,"2,64068118","29,69531024","37,90666192","0,31516629","35,89743042","1,86867648"
02/04/2012 23.00,"2,57335476","28,89970792","44,01477536","0,25363798",,"1,22615724"
03/04/2012 0.00,"2,01078596","18,77890685","26,73193968","0,12132776","34,67642975","1,03215228"
03/04/2012 1.00,"2,75003207","7,79631766","9,93417649","0,12990566",,"0,90887053"
03/04/2012 2.00,,"5,22133931","6,57825512","0,06055088","37,11843109","1,33597391"
03/04/2012 3.00,"3,22810241",,,"0,0821092",,"0,7220039"
03/04/2012 4.00,"2,80425546","22,42462432","24,41360144","0,1216726","39,07204056","0,69004772"
03/04/2012 5.00,"3,15896777","20,31492352","23,93435864","0,24365276",,"1,94507861"
03/04/2012 6.00,"2,89688789","33,47600344","47,75589016",,"39,07204056","1,9027409"
03/04/2012 7.00,"2,94207422","51,25100704","73,54624632","0,64333747",,"1,61497769"
03/04/2012 8.00,"3,88917682","45,82654832","62,80533776","0,78747593","20,51280975","2,29610429"
03/04/2012 9.00,"3,16393785","25,0761668","32,79982464","0,34905031",,"2,4091652"
03/04/2012 10.00,"3,99174941","15,37978002","19,1796544","0,27319017","22,46640968","1,1113115"
03/04/2012 11.00,"3,26289602","13,32135714","16,77961066","0,29652046",,"0,90546459"
03/04/2012 12.00,"3,20686542","10,17531028","13,73496098","0,26667549","13,18680954","0,78640135"
03/04/2012 13.00,"3,66821628","11,19997785","14,08514378","0,24632178",,"0,67544869"
03/04/2012 14.00,"3,03244585","9,42709497","10,84530185","0,2173226","12,94260979","0,49312296"
03/04/2012 15.00,"2,919029","9,10457307","11,19548465","0,24505542",,"0,48566123"
03/04/2012 16.00,"2,96873385","9,48095601","12,8050311","0,23051506","16,84980965","0,41639743"
03/04/2012 17.00,"4,0179575","10,70419434","13,0514554","0,25157127",,"0,47852393"
03/04/2012 18.00,"3,7124985","12,51667282","16,73421596","0,28650496","21,97801971","0,55622374"
03/04/2012 19.00,"4,13001869","13,87684094","18,73025983","0,31289104",,"0,74357752"
03/04/2012 20.00,"4,22265112","14,24674029","18,10511805","0,29650066","38,58362961","0,74876828"
03/04/2012 21.00,"4,24976231","10,8274973","14,04688275","0,29062789",,"0,60926639"
03/04/2012 22.00,"4,16255354","7,5328498","9,89397095","0,23405433","52,01464081","0,482417"
03/04/2012 23.00,"3,92216322","9,35895702","12,8160557","0,22711442",,"0,51161507"
04/04/2012 0.00,"3,77847027","7,28884992","10,45361526","0,24026727","41,26984024","0,68956058"
04/04/2012 1.00,"3,79473719","5,71647657","8,54641438","0,21949299",,"0,62597469"
04/04/2012 2.00,"3,86206462","6,49000867","9,37323584","0,25547052","53,72404099","0,856314"
04/04/2012 3.00,"3,55705818","5,19408375","6,94659618","0,2346776",,"0,69864544"
04/04/2012 4.00,"3,66640907","4,53995605","6,30978164","0,2097","33,21123123","0,53205372"
04/04/2012 5.00,"3,69668313","5,52633964","7,42517934","0,23584493",,"0,46716912"
04/04/2012 6.00,"3,9135777","9,26356161","11,5878194","0,23109756","36,14162064","1,07156917"
04/04/2012 7.00,"3,94475587","18,88078394","24,45834224","0,44174121",,"0,73400755"
04/04/2012 8.00,"7,28311227","20,71856584","28,24679816","0,4678873","56,65444183","1,18998356"
04/04/2012 9.00,"8,07748589","13,05853745","17,26986467","0,31385916",,"1,27498239"
04/04/2012 10.00,"7,99750596","9,6341053","13,51317854","0,23529738","28,32722092","0,83830903"
04/04/2012 11.00,"7,61206804","9,10457307","13,32641438","0,30739224",,"0,65403677"
04/04/2012 12.00,"7,04136629","8,98711509","12,49310742","0,31331277","14,16361046","0,72865406"
04/04/2012 13.00,"7,22843734","8,77491368","12,71748445","0,23070845",,"0,52053721"
04/04/2012 14.00,"7,20719933","6,17592443","8,76106506","0,22970771","7,08180714","0,4627889"
04/04/2012 15.00,"7,62652775","6,35697745","9,53470998","0,22472268",,"0,41591029"
04/04/2012 16.00,"7,11953799","7,01954281","10,18319728","0,21082889","28,57142067","0,3610828"
04/04/2012 17.00,"7,66629143","9,09483908","13,01838354","0,23970108",,"0,37568183"
04/04/2012 18.00,"6,85610347","11,80998424","16,02347394","0,28095373","29,30401993","0,63943773"
04/04/2012 19.00,"6,86785083","14,21623433","18,20563189","0,34563104",,"0,63554466"
04/04/2012 20.00,"7,23702285","16,75487321","21,3793148","0,35641078","35,16482162","0,71486659"
04/04/2012 21.00,"7,27904529","14,32915322","19,18418584","0,3347313",,"0,82517041"
04/04/2012 22.00,"7,12541219","9,80088141","12,91786778","0,28234241","75,21366119","0,54941086"
04/04/2012 23.00,"5,76711512","11,55755053","15,71349667","0,25312072",,"0,52572696"
05/04/2012 0.00,"5,93656359","6,20317999","7,96147814","0,26004082","63,00365067","0,47495527"
05/04/2012 1.00,"6,52895491","5,59123292","7,71181109","0,2312758",,"0,53270257"
05/04/2012 2.00,,"5,2576807","8,04772846","0,22572341","61,78266144","0,60261521"
05/04/2012 3.00,"6,61390492",,,"0,23631909",,"0,36367818"
05/04/2012 4.00,"6,36447753","13,36548228","14,68953463","0,27629956","54,70085144","0,50609988"
05/04/2012 5.00,"5,54751024","14,61922274","16,46055331","0,22906347",,"0,71194678"
05/04/2012 6.00,"5,14761262","22,08004368","27,23905944",,"56,65444183","0,38346799"
05/04/2012 7.00,"5,07757387","24,987928","29,8887664","0,45472047",,"0,92217187"
05/04/2012 8.00,"5,53214642","19,83990624","24,03682272","0,35133837","48,35165024","1,12185473"
05/04/2012 9.00,"5,65143849","20,59267976","26,02379224","0,3400868",,"0,99273438"
05/04/2012 10.00,"4,88869561","21,18320096","27,87326984","0,40599668","24,66422081","1,1594878"
05/04/2012 11.00,"4,91174083","20,75296272","26,37137472","0,40731662",,"1,01820108"
05/04/2012 12.00,"4,94065922","16,53553622","21,0712916","0,36292896","28,32722092","1,21853279"
05/04/2012 13.00,"5,47024163","16,91646206","21,61211992","0,35373594",,"0,87756422"
05/04/2012 14.00,"4,88056164","11,93652231","14,79458947","0,30908965","36,63003159","0,7249237"
05/04/2012 15.00,"4,94517776","12,29409308","16,10907418","0,31223515",,"0,4822553"
05/04/2012 16.00,"4,86565039","13,24088871","16,37884399","0,32044956","50,79365158","0,65841699"
05/04/2012 17.00,"4,60989625","18,99370475","23,68924024","0,35322451",,"0,73011447"
05/04/2012 18.00,"4,38667695","21,62124016","26,26891064","0,41551123","58,6080513","0,98705749"
05/04/2012 19.00,"4,87965753","22,49274888","27,20080032","0,33406725",,"1,03945129"
05/04/2012 20.00,"5,36541029","22,19684776","26,75916656","0,42562343","58,11965179","0,91341245"
05/04/2012 21.00,"5,84980637","24,9295164","31,43993376","0,42894135",,"1,07984246"
05/04/2012 22.00,"5,89454014","33,93610712","57,3917392","0,52408923","29,54821968","1,26297874"
05/04/2012 23.00,"6,11911509","43,16007312","64,80268944","0,62853148",,"1,42227043"
06/04/2012 0.00,"5,42957384","38,81868592","54,09032704","0,38617187","31,01342964","1,37571624"
06/04/2012 1.00,"4,4770496","22,51936392","31,07032504","0,33761584",,"0,92038805"
06/04/2012 2.00,"4,83808664","18,3201148","27,69040616","0,2682995","90,1098938","0,6897233"
06/04/2012 3.00,"4,79425597","22,47328472","32,9658436","0,30713594",,"0,67788237"
06/04/2012 4.00,"4,54121315","16,83599363","19,41245952","0,39282402","88,15628052","0,62094562"
06/04/2012 5.00,"4,92800774","22,30587","25,50629032","0,4726673",,"1,98936184"
06/04/2012 6.00,"4,4576188","21,32727016","26,08344664","0,50918073","54,21244049","2,07890258"
06/04/2012 7.00,"4,62526007","33,3702316","47,27146584","0,65223457",,"4,88256615"
06/04/2012 8.00,"4,62842294","33,03991448","50,70453832","0,63868446","27,10622025","2,29269734"
