"NetC","Comune Bari","","","","","","","","","","","","","",""
"Stat","Carbonara","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,PM10,BENZENE
02/01/2012 9.00,"4,96808161","34,73947216","49,57684072","0,58505019",,"2,8633574"
02/01/2012 10.00,"5,13847488","34,2670552","54,8996384","0,65977911","5,61660624","2,79539027"
02/01/2012 11.00,"5,87473711","33,2326632","53,4774928","0,61869772",,"2,74510572"
02/01/2012 12.00,"6,08264446","32,79202368","53,61951616","0,9036008","20,51280975","2,84421644"
02/01/2012 13.00,"5,95835282","25,87306928","36,7342044","0,38127538",,"1,87013689"
02/01/2012 14.00,"6,1445645","26,26372912","43,72489704","0,31582801","11,23320961","1,31131777"
02/01/2012 15.00,"6,59834583","41,13279864","77,42030248","0,43992614",,"1,53549406"
02/01/2012 16.00,"8,88758537","60,89419816","175,6713096","0,47770709","6,10500622","1,99536417"
02/01/2012 17.00,"6,5210579","52,70787456","131,5371872","0,48609509",,"2,07273855"
02/01/2012 18.00,"4,77554114","32,9536068","57,10059896","0,42452251","17,09399986","1,90663397"
02/01/2012 19.00,"4,33622358","28,4045764","37,48644256","0,43539429",,"1,56079905"
02/01/2012 20.00,"4,42119495","30,8569076","38,2425812","0,45846828","30,52503014","1,88359994"
02/01/2012 21.00,"4,64582482","30,01522608","37,29187744","0,44527116",,"1,73744789"
02/01/2012 22.00,"6,12287087","27,1125424","33,57737768","0,40532447","22,95482063","1,88700689"
02/01/2012 23.00,"6,04603551","18,09297494","22,55827312","0,29160067",,"1,27692893"
03/01/2012 0.00,"5,53169081","17,27273076","20,79697696","0,36656842","26,37360954","1,78967897"
03/01/2012 1.00,"6,17484771","18,25781228","22,51481336","0,35839944",,"1,89106167"
03/01/2012 2.00,"6,37009951","16,406394","19,92411072","0,35009182","19,04759979","2,26544581"
03/01/2012 3.00,"6,28603225","15,18834675","19,1556588","0,33383541",,"1,33792045"
03/01/2012 4.00,"5,61033338","13,67956843","18,00006321","0,36509819","10,98900986","1,57734463"
03/01/2012 5.00,"5,26909429","13,43362405","17,38075685","0,50322641",,"2,06657451"
03/01/2012 6.00,"5,55157723","15,01767398","19,57134672","0,51604607","16,60560989","3,62883296"
03/01/2012 7.00,"5,41010948","19,0430267","25,00760248","0,45976026",,"3,18307677"
03/01/2012 8.00,"5,32061958","22,91520528","31,86793496","0,46385524","10,01220989","1,94053668"
03/01/2012 9.00,"5,76671646","23,84059416","34,4443932","0,53208463",,"2,15173606"
03/01/2012 10.00,"5,83225194","23,46031648","34,9171352","0,47116794","5,86080599","2,16649679"
03/01/2012 11.00,"5,91225119","23,14040064","36,17584304","0,44588744",,"2,21791835"
03/01/2012 12.00,"6,2715695","27,30982256","45,800048","0,4216403","20,75702095","1,73647462"
03/01/2012 13.00,"5,73281781","30,74723528","55,22322528","0,43283012",,"2,03624147"
03/01/2012 14.00,"4,69508932","36,01139192","64,73846536","0,38926495","10,25640965","1,8858709"
03/01/2012 15.00,"4,62232195","24,54143776","37,70305304","0,3245725",,"1,61757308"
03/01/2012 16.00,"4,87361858","30,97241152","46,0160084","0,47681353","10,7448101","0,80878654"
03/01/2012 17.00,"4,83746118","47,04978856","86,7578604","1,04131312",,
03/01/2012 18.00,"5,96016003","48,08031832","115,82890264","1,28855291","19,04759979",
03/01/2012 19.00,"5,64558769","56,60214056","116,8502548","1,05188549",,
03/01/2012 20.00,"4,96446516","50,30680408","91,75055128","0,9256624","45,66543961",
03/01/2012 21.00,"4,60740663","48,42814936","84,01607152","0,83252997",,
03/01/2012 22.00,"4,44560091","42,2392348","67,0775488","0,64302408","51,0378418",
03/01/2012 23.00,"3,92989954","29,18589608","40,6666148","0,49394486",,
04/01/2012 0.00,"3,1222256","23,09107104","31,97301848","0,53190522","49,32844162",
04/01/2012 1.00,"2,90753893","18,39603841","25,61653624","0,49277287",,
04/01/2012 2.00,,"14,62052482","19,52593672","0,3896226","39,56044006",
04/01/2012 3.00,"5,19542281",,,"0,32175087",,
04/01/2012 4.00,"2,92471301","34,22487648","39,21986176","0,49607215","34,67642975",
04/01/2012 5.00,"3,50730553","21,111826","25,5640136","0,39636096",,
04/01/2012 6.00,"2,99386494","18,45314029","23,39288024",,"19,53602028",
04/01/2012 7.00,"3,28267565","29,48699784","40,18415984","0,45662991",,
04/01/2012 8.00,"3,44177005","35,13728288","57,31005856","0,5274456","15,87300968",
04/01/2012 9.00,"3,48515933","33,65576968","61,0913636","0,61403073",,
04/01/2012 10.00,"3,38572521","31,62394464","51,59361832","0,59304442","14,16361046",
04/01/2012 11.00,"4,55362259","32,07234688","51,64162864","0,55168459",,
04/01/2012 12.00,"5,29214459","51,62350288","106,39794352","0,35502909","22,22220993",
04/01/2012 13.00,"3,92899644","28,70242776","51,77003856","0,26086564",,
04/01/2012 14.00,"3,80063579","25,024256","34,94373112","0,25126487","12,45421028",
04/01/2012 15.00,"3,93893965","22,98984976","29,54896576","0,22904832",,
04/01/2012 16.00,"3,88831847","24,19362584","30,3465948","0,27905595","7,08180714",
04/01/2012 17.00,"4,17622507","28,27672096","34,89637088","0,39882727",,"1,0099288"
04/01/2012 18.00,"4,73079517","29,64143008","37,278264","0,43361999","16,11721039","2,34671428"
04/01/2012 19.00,"4,10752571","28,37212976","36,31398504","0,40763467",,"2,26203988"
04/01/2012 20.00,"4,0722714","28,01649776","35,73294736","0,39353118","18,31501007","1,70711383"
04/01/2012 21.00,"3,93396754","29,03987664","37,65439264","0,48731601",,"0,95007225"
04/01/2012 22.00,"3,88877002","25,27669736","32,0949276","0,68782183","22,71062088","4,73819792"
04/01/2012 23.00,"3,54527115","23,57843984","31,03919768","0,86733901",,"9,93545438"
05/01/2012 0.00,"3,64380116","23,53496096","32,15393192","0,91060245","19,04759979","15,83994789"
05/01/2012 1.00,"3,96876928","17,12152598","24,92978408","0,43141814",,"4,70088927"
05/01/2012 2.00,"4,18119719","13,00727099","18,11484439","0,24819044","27,8388195","1,66380285"
05/01/2012 3.00,"5,19090326","14,27204752","18,85087644","0,20058388",,"1,45065795"
05/01/2012 4.00,"4,99700713","14,34732105","18,48578004","0,19614057","15,14041042","1,45811968"
05/01/2012 5.00,"5,14073465","12,7366599","16,75950598","0,18679727",,"1,12136759"
05/01/2012 6.00,"3,59001712","10,97285328","13,92367156","0,33584737","9,03540897","1,8534286"
05/01/2012 7.00,"4,39949929","15,28114567","19,69390592","0,26632133",,"1,75918321"
05/01/2012 8.00,"4,95045395","26,17677136","36,53055728","0,43689248","14,40781021","1,63346981"
05/01/2012 9.00,"4,28831373","29,86920664","49,181898","0,41072891",,"2,72661361"
05/01/2012 10.00,"4,47543054","24,25396856","40,23993288","0,36964751","13,18680954","2,20818464"
05/01/2012 11.00,"4,62819818","18,98527092","31,72139928","0,33382376",,"0,79937827"
05/01/2012 12.00,"5,29304871","21,44732464","37,99226216","0,31585247","13,18680954","1,7588598"
05/01/2012 13.00,"4,40627861","21,72183048","38,5985956","0,31051561",,"2,09415047"
05/01/2012 14.00,"4,50842507","21,75232688","35,46771472","0,30135172","7,57020807","1,36354987"
05/01/2012 15.00,"4,51158896","19,632894","26,07631488","0,25759315",,"1,17035546"
05/01/2012 16.00,"4,56130602","20,29092792","25,43950416","0,2705864","4,39560509","1,22956317"
05/01/2012 17.00,"5,13892643","29,12293392","37,71666648","0,40844784",,"1,79714172"
05/01/2012 18.00,"5,39745494","32,30272376","41,965532","0,46787682","8,05860806","2,21126717"
05/01/2012 19.00,"5,82773239","33,84199848","46,410932","0,51102026",,"2,52741687"
05/01/2012 20.00,"6,08174136","30,798496","41,97073264","0,45159128","13,91940975","2,17136314"
05/01/2012 21.00,"6,02659962","28,58692384","37,9248068","0,42155875",,"1,8576461"
05/01/2012 22.00,"6,27834882","36,72003648","49,69356832","0,4942198","11,72161007","1,92366567"
05/01/2012 23.00,"6,34840486","30,94579648","45,67425752","0,58764814",,"3,24520327"
06/01/2012 0.00,"6,04483748","20,55828288","28,19656992","0,34345482","15,87300968","1,16646341"
06/01/2012 1.00,"5,87835356","21,73286272","27,6832744","0,37490516",,"1,61838363"
06/01/2012 2.00,,"15,7100914","18,78148996","0,28613798","8,54700947","2,0636547"
06/01/2012 3.00,"6,870433",,,"0,20300475",,"1,48991314"
06/01/2012 4.00,"7,82364167","31,13334456","32,55856848","0,20157529","10,50061035","1,0141463"
06/01/2012 5.00,"8,09211442","17,5355409","18,56619302","0,18108527",,"1,19144398"
06/01/2012 6.00,"8,11968427","14,91449099","16,1194506",,"5,12820482","0,92071247"
06/01/2012 7.00,"7,80511193","12,99818708","14,06633926","0,20214381",,"0,7546079"
06/01/2012 8.00,"9,02227279","13,60104259","15,10197215","0,19013965","5,61660624","1,21804565"
06/01/2012 9.00,"8,49617665","13,44205597","16,38792408","0,23436072",,"0,71859695"
06/01/2012 10.00,"8,75922472","13,37911293","16,49297892","0,25387797","3,41880298","0,68485695"
