"NetC","Comune Bari","","","","","","","",""
"Stat","Piazza Kennedy","","","","","","","",""
,NO2,NOX,CO,O3,PM10

,,,,,,

01/01/2012 1.00,"11,4074853","13,9546364","0,56216842","39,66788175","20,7999897"
01/01/2012 2.00,"20,6556228","23,66409744","0,61388044","31,63936335","20,7999897"
01/01/2012 3.00,"16,43186375","18,2751828","0,54562426","35,0610876","20,7999897"
01/01/2012 4.00,"16,09522938","17,24165694","0,52203301","34,2578208","20,7999897"
01/01/2012 5.00,"9,3471141","10,4260557","0,50113291","40,7118852","20,7999897"
01/01/2012 6.00,"16,02141089","17,19707483","0,51765261","33,3962601","20,7999897"
01/01/2012 7.00,"14,04053682","15,30349122","0,49844059","34,07537805","20,7999897"
01/01/2012 8.00,"12,22676582","13,49583097","0,48434409","35,7376719","20,7999897"
01/01/2012 9.00,"10,53709127","12,55147314","0,50470596","38,7429798","20,7999897"
01/01/2012 10.00,"9,02345647","12,0278184","0,52215533","39,0766236","20,7999897"
01/01/2012 11.00,"7,46763148","10,20881234","0,50233169","44,0111364","20,7999897"
01/01/2012 12.00,"5,48350893","7,33195978","0,49694823","49,7117691","20,7999897"
01/01/2012 13.00,"7,11071653","9,80350658","0,51180314","50,42803395","20,7999897"
01/01/2012 14.00,"12,08723762","17,91446297","0,55436176","47,96584485","20,7999897"
01/01/2012 15.00,"5,71144801","7,55487795","0,50404541","53,87595255","20,7999897"
01/01/2012 16.00,"5,49405552","6,92422387","0,49432931","53,1208251","20,7999897"
01/01/2012 17.00,"23,49146296","25,98568608","0,6082267","36,27063615","20,7999897"
01/01/2012 18.00,"58,0546296","95,5238068","0,86886399","9,61057136","20,7999897"
01/01/2012 19.00,"54,01661944","77,21942776","0,7695524","7,46766206","20,7999897"
01/01/2012 20.00,"38,85665824","47,90942376","0,75139355","11,46122712","20,7999897"
01/01/2012 21.00,"36,66812568","45,88289496","0,76938115","12,12259356","20,7999897"
01/01/2012 22.00,"33,5329428","40,59935064","0,7963509","13,17842337","20,7999897"
01/01/2012 23.00,"31,75080584","36,0850804","0,7914812","13,64890422","20,7999897"
02/01/2012 0.00,"20,47472848","22,3606488","0,64814193","21,1064217","20,7999897"
02/01/2012 1.00,"14,68622496","15,86605324","0,55489999","25,51978065","15,39999962"
02/01/2012 2.00,"13,66171609","14,83901097","0,60223044","25,64562525","15,39999962"
02/01/2012 3.00,,,"0,46591612","38,26320225","15,39999962"
02/01/2012 4.00,"5,39995835","6,54647959","0,4535578","35,64983205","15,39999962"
02/01/2012 5.00,"19,92395776","29,86932136","0,46687026","20,97297615","15,39999962"
02/01/2012 6.00,"33,50537176","54,164092","0,55805714",,"15,39999962"
02/01/2012 7.00,"19,61407992","21,3660264","0,46547575","25,5518802","15,39999962"
02/01/2012 8.00,"29,46168296","35,83701752","0,52186175","20,21359935","15,39999962"
02/01/2012 9.00,"30,798496","41,81446488","0,60271974","21,86154915","15,39999962"
02/01/2012 10.00,"27,06954152","40,1875632","0,68105784","26,53168455","15,39999962"
02/01/2012 11.00,"34,20451368","65,42504544","0,62075627","34,17672405","15,39999962"
02/01/2012 12.00,"11,02866456","14,66959438","0,5376708","45,46395525","15,39999962"
