"NetC","Comune Bari","","","","","","","","","","",""
"Stat","Corso Cavour","","","","","","","","","","",""
,CO,PM10,BENZENE

,,,,,,,

01/01/2012 1.00,"1,09088969",,"0,49079301"
01/01/2012 2.00,"1,3569955","2,44439006","1,62084985"
01/01/2012 3.00,"1,31084868",,"1,67852494"
01/01/2012 4.00,"1,32628377","4,15546322","1,85006335"
01/01/2012 5.00,"1,2078988",,"1,46228837"
01/01/2012 6.00,"1,11035451","4,64434099","0,79583301"
01/01/2012 7.00,"1,10557685",,"0,47554818"
01/01/2012 8.00,"1,07008745","1,71107304","0,74651665"
01/01/2012 9.00,"1,11837787",,"0,37686257"
01/01/2012 10.00,"1,12386269","1,71107304","0,86660909"
01/01/2012 11.00,"1,1833406",,"1,1661522"
01/01/2012 12.00,"1,06981135","2,19995093","0,94511946"
01/01/2012 13.00,"1,07535675",,"0,91440707"
01/01/2012 14.00,"1,0555366","8,79980469","0,91020585"
01/01/2012 15.00,"1,03426254",,"0,42466666"
01/01/2012 16.00,"1,05823125","2,19995093","0,48108575"
01/01/2012 17.00,"1,24067491",,"0,85780289"
01/01/2012 18.00,"1,72154963","11,48863029","2,24896227"
01/01/2012 19.00,"1,75688175",,"5,29678822"
01/01/2012 20.00,"1,70731449","0,48887801","3,81514024"
01/01/2012 21.00,"1,62915814",,"4,0212241"
01/01/2012 22.00,"1,47072047","21,99950981","3,2113809"
01/01/2012 23.00,"1,35064508",,"2,32595629"
02/01/2012 0.00,"1,42756304","19,06624031","2,3343618"
02/01/2012 1.00,"1,6127596",,"2,50029959"
02/01/2012 2.00,"1,66728276","32,99925995","2,89094556"
02/01/2012 3.00,,,"1,76445432"
02/01/2012 4.00,"1,08476645","0,24443901","0,61056917"
02/01/2012 5.00,"1,03626867",,
02/01/2012 6.00,"1,05860405",,"0,41323456"
02/01/2012 7.00,"1,19338756",,"0,77096431"
02/01/2012 8.00,"1,39065351","19,06624031","0,91396061"
02/01/2012 9.00,"2,53638441",,"5,51775994"
02/01/2012 10.00,"1,90761178","16,13297081","6,83989147"
02/01/2012 11.00,"2,0409204",,"6,25921803"
02/01/2012 12.00,"1,87202336","34,95476151","7,65206055"
02/01/2012 13.00,"1,90249976",,"6,25332757"
02/01/2012 14.00,"1,81050087","4,15546322","6,72319072"
02/01/2012 15.00,"1,34637885",,"4,03791816"
02/01/2012 16.00,"1,22425656","2,93326807","2,16217556"
02/01/2012 17.00,"1,27471038",,"1,95140841"
02/01/2012 18.00,"1,35695589","19,79953957","1,82500853"
02/01/2012 19.00,"1,41702329",,"2,45789679"
02/01/2012 20.00,"1,48182991","22,97726059","2,18917081"
02/01/2012 21.00,"1,50682032",,"2,94196133"
02/01/2012 22.00,"1,31794703","2,93326807","2,38961642"
02/01/2012 23.00,"1,18560186",,"1,35475485"
03/01/2012 0.00,"1,13831451","17,35515976","1,13788469"
03/01/2012 1.00,"1,10703193",,"0,69124982"
03/01/2012 2.00,"1,07991772","25,66609001","0,85625196"
03/01/2012 3.00,"1,0498549",,"0,65757491"
03/01/2012 4.00,"1,09045748","18,82180023","0,63405475"
03/01/2012 5.00,"1,07085402",,"0,72202729"
