"NetC","Provincia Bari","","","","","","","","","",""
"Stat","Casamassima","","","","","","","","","",""
,NO2,NOX,PM10
05/01/2012 17.00,"17,68090452","39,60700352",
05/01/2012 18.00,"15,95344311","22,13870384","5,61660624"
05/01/2012 19.00,"11,66202412","14,83349867",
05/01/2012 20.00,"7,69897774","10,27917203","10,98900986"
05/01/2012 21.00,"5,14087088","7,65344729",
05/01/2012 22.00,"12,1902581","21,20488304","12,69841003"
05/01/2012 23.00,"2,80535141","4,53033295",
06/01/2012 0.00,"0,36729711","1,45520599","15,38461018"
06/01/2012 1.00,"2,57822302","4,30400951",
06/01/2012 2.00,,,"8,79120922"
06/01/2012 3.00,"9,77297768","11,22596384",
06/01/2012 4.00,"5,12594581","6,93038434","8,54700947"
06/01/2012 5.00,"2,16679694","3,39093965",
06/01/2012 6.00,"1,86114845","3,46875805","14,89620972"
06/01/2012 7.00,"2,27841568","4,42722262",
06/01/2012 8.00,"5,68338176","11,80960184","7,81440783"
06/01/2012 9.00,"2,72553114","5,4479419",
06/01/2012 10.00,"3,86116928","7,21701608","4,63980484"
06/01/2012 11.00,"4,61588157","8,4705424",
06/01/2012 12.00,"4,53476497","8,89335634","2,19780207"
06/01/2012 13.00,"5,86054194","11,50546191",
06/01/2012 14.00,"6,55490386","10,96008494","7,08180714"
06/01/2012 15.00,"3,4834881","6,18462403",
06/01/2012 16.00,"2,44324538","5,35780258","10,25640965"
06/01/2012 17.00,"3,02339398","6,78512205",
06/01/2012 18.00,"5,57371135","9,47439976","15,87300968"
06/01/2012 19.00,"5,00654141","8,84277247",
06/01/2012 20.00,"5,14216913","9,1728525","11,23320961"
06/01/2012 21.00,"4,45819128","8,10868493",
06/01/2012 22.00,"3,99355234","7,72478018","12,21000957"
06/01/2012 23.00,"1,71968148","4,01413693",
07/01/2012 0.00,"0,96302086","3,11403616","10,98900986"
07/01/2012 1.00,"0,42116006","2,56411819",
07/01/2012 2.00,"0,07332902","1,34236931","14,16361046"
07/01/2012 3.00,"0,09344709","1,32485922",
07/01/2012 4.00,,,"11,23320961"
07/01/2012 5.00,,,
07/01/2012 6.00,"0,05126646","1,28789643","16,11721039"
07/01/2012 7.00,"1,98834042","4,30919868",
07/01/2012 8.00,"3,56136194","6,78966305","8,54700947"
