
Stat, Viale Romagna,,,,,
,NO2,NOX,CO,O3
10/03/2012 8.00,"14,23505223","18,15634818",,"84,9243969"
10/03/2012 9.00,"24,48954608","34,42427896",,"73,21803615"
10/03/2012 10.00,"18,60369499","25,947274",,"76,3561512"
10/03/2012 11.00,"15,25128979","20,70359488",,"81,9755076"
10/03/2012 12.00,"15,98848434","21,65557968",,"81,96200145"
10/03/2012 13.00,"17,52256989","25,06662592",,"82,3471761"
10/03/2012 14.00,"20,95802472","30,70715976",,"79,41989265"
10/03/2012 15.00,"13,16172044","18,20044654",,"86,9259006"
10/03/2012 16.00,"13,85997519","19,19521808",,"84,8189811"
10/03/2012 17.00,"15,14745672","19,76199224",,"82,95395535"
10/03/2012 18.00,"16,39601949","20,630958",,"80,35510875"
10/03/2012 19.00,"22,05602896","26,99392192",,"73,00181805"
10/03/2012 20.00,"21,80035632","26,93684872",,"70,7840763"
10/03/2012 21.00,"24,63619648","29,57619264",,"65,21469465"
10/03/2012 22.00,"21,98333472","26,6476396",,"65,48769045"
10/03/2012 23.00,"16,95020313","20,676368",,"68,4136173"
11/03/2012 0.00,"13,7665281","17,57400651",,"69,6164028"
11/03/2012 1.00,"17,76786419","21,99668048",,"64,13623755"
11/03/2012 2.00,"10,6295728","14,58707438",,"66,97025475"
11/03/2012 3.00,"10,31677916","14,15388401",,"63,6605298"
11/03/2012 4.00,"6,69312617","10,27074202",,"64,6430274"
11/03/2012 5.00,"6,57761651","10,09435429",,"64,45384155"
11/03/2012 6.00,"8,39333966","12,12541644",,"63,16183965"
11/03/2012 7.00,"7,67821151","11,4107835",,"68,0230362"
11/03/2012 8.00,"7,85991461","11,95032504",,"71,16246795"
11/03/2012 9.00,"8,46991335","12,66755066",,"74,7884403"
11/03/2012 10.00,"9,12923405","14,06179826",,"77,40486285"
11/03/2012 11.00,"8,69963633","13,35624541",,"82,8580158"
11/03/2012 12.00,"10,23242363","15,26149987",,"88,9517433"
11/03/2012 13.00,"11,04358772","16,05784405",,"92,68313145"
11/03/2012 14.00,"9,37323202","14,08644203",,"96,9361722"
11/03/2012 15.00,"6,49455158","10,34726409",,"100,43781615"
11/03/2012 16.00,"7,22655122","10,97110954",,"100,92164355"
11/03/2012 17.00,"8,56595694","12,41723544",,"99,49585695"
11/03/2012 18.00,"12,84114496","17,18621276",,"90,66135855"
11/03/2012 19.00,"17,60563482","22,12118992",,"87,6529983"
11/03/2012 20.00,"20,73089824","25,72030048",,"85,4798448"
11/03/2012 21.00,"17,55241621","22,08358088",,"96,54561105"
11/03/2012 22.00,"19,6173112","24,24953272",,"92,67503175"
11/03/2012 23.00,"15,5121669","19,78663792",,"92,33715855"
12/03/2012 0.00,"12,50369417","16,73226954",,"92,49663885"
12/03/2012 1.00,"11,65099762","15,39638765",,"86,97727185"
12/03/2012 2.00,,,,"84,6338451"
12/03/2012 3.00,"14,97224678","18,69978064",,"82,8877413"
12/03/2012 4.00,"9,58868","13,35105624",,"89,49232845"
12/03/2012 5.00,"7,41085082","11,16824821",,
12/03/2012 6.00,"7,66523286","11,71427526",,"88,2597975"
12/03/2012 7.00,"8,79308342","12,80243652",,"91,01950095"
12/03/2012 8.00,"11,3719546","16,40154134",,"88,38414585"
12/03/2012 9.00,"19,18384168","31,40882552",,"82,0065897"
12/03/2012 10.00,"11,45112287","18,11095538",,"87,73138185"
12/03/2012 11.00,"8,38814667","13,98657445",,"89,00311455"
12/03/2012 12.00,"7,8287643","13,63509531",,"90,61539375"
12/03/2012 13.00,"8,51144582","15,38341664",,"92,36959725"
12/03/2012 14.00,"10,5361238","20,86701352",,"88,55982555"
12/03/2012 15.00,"6,9072759","12,83615846","0,28020697","93,7480824"
12/03/2012 16.00,"8,65291278","14,63895267","0,34058659","94,8089835"
12/03/2012 17.00,"12,52056757","18,36645786","0,32415892","90,1383294"
12/03/2012 18.00,"14,12992665","19,09146722","0,31918204","87,18403365"
12/03/2012 19.00,"20,55308224","25,53871784","0,39190134","81,03624165"
12/03/2012 20.00,"19,83925616","24,46742424","0,3480787","81,66333"
12/03/2012 21.00,"14,61013883","19,14462656","0,31701514","82,60395255"
12/03/2012 22.00,"8,65680753","12,41983002","0,28588867","85,75960365"
12/03/2012 23.00,"5,3147864","9,04899314","0,27028","88,85309055"
13/03/2012 0.00,"4,19601975","7,76368938","0,25894921","88,1598081"
13/03/2012 1.00,"3,58472276","7,313639","0,25659591","88,62605955"
13/03/2012 2.00,"3,6028925","7,37200471","0,2560437","88,16385795"
13/03/2012 3.00,"3,02534039","6,7105464","0,25102721","87,41784765"
13/03/2012 4.00,"2,49061709","6,22547774","0,26224267","87,7529877"
13/03/2012 5.00,"2,60353216","6,33961266","0,25056121","86,0163801"
13/03/2012 6.00,"4,8228919","8,56522082","0,26167881","83,66078385"
13/03/2012 7.00,"7,57438226","11,49249282","0,2730795","81,93630585"
13/03/2012 8.00,"9,65227503","14,83609326","0,29838563","81,4106034"
13/03/2012 9.00,"15,16953076","26,73972152","0,36395998","81,1767894"
13/03/2012 10.00,"8,68146659","15,84643612","0,3001774","89,53693665"
13/03/2012 11.00,"6,94751012","12,1046655","0,30122357","91,1573355"
13/03/2012 12.00,"7,28236059","13,19152852","0,3003137","92,04525015"
13/03/2012 13.00,"8,71521148","15,90998909","0,30716856","91,9506273"
13/03/2012 14.00,"14,30643866","25,8992828","0,3499893","89,2436517"
13/03/2012 15.00,"11,94950097","21,41304248","0,31023484","93,8643111"
13/03/2012 16.00,"17,77045686","35,7666368","0,32805585","91,69792065"
13/03/2012 17.00,"28,65311728","54,31340008","0,35767947","87,4313538"
13/03/2012 18.00,"16,38953016","21,03043216","0,354859","88,3881957"
13/03/2012 19.00,"26,56483088","31,10273344","0,42648553","77,89140345"
13/03/2012 20.00,"37,82387232","42,83516696","0,49656494","63,111825"
13/03/2012 21.00,"42,08220224","47,47704408","0,50461975","57,6978738"
13/03/2012 22.00,"34,56620672","39,09080176","0,50211733","59,652096"
13/03/2012 23.00,"25,04502032","28,874546","0,4652113","61,4441247"
14/03/2012 0.00,"23,17349736","28,01724344","0,46880649","59,5480368"
14/03/2012 1.00,"10,68667659","15,90220725","0,33938664","87,16647765"
14/03/2012 2.00,,,"0,30075174","93,96432045"
14/03/2012 3.00,"17,87169918","21,52977008",,"92,2574184"
14/03/2012 4.00,"12,08967925","15,79326149","0,27753912","90,157242"
14/03/2012 5.00,"10,95403346","14,73103842","0,27611665",
14/03/2012 6.00,"14,88140192","19,26395448","0,28655855","75,35472105"
14/03/2012 7.00,"30,5168584","36,08701152","0,37394636","56,04910605"
14/03/2012 8.00,"44,69221608","60,66208136","0,47555999","42,19798065"
14/03/2012 9.00,"34,3741272","52,47298536","0,47182151","67,0445685"
14/03/2012 10.00,"15,99238099","24,56988832","0,33895675","81,73225725"
14/03/2012 11.00,"10,37388486","16,13825703","0,30046515","82,2782289"
14/03/2012 12.00,"10,92548157","16,94627014","0,3065383","79,6577565"
14/03/2012 13.00,"11,91445783","18,90989032","0,32231356","79,8807576"
14/03/2012 14.00,"14,71526633","24,29102312","0,37183072","78,98067345"
14/03/2012 15.00,"10,48031061","16,91644103","0,29278664","83,363469"
14/03/2012 16.00,"10,46733195","16,48843983","0,28963182","83,46212175"
14/03/2012 17.00,"17,09686882","23,33645712","0,32974626","74,64924915"
14/03/2012 18.00,"25,55768488","31,11829712","0,36013063","64,5173424"
14/03/2012 19.00,"28,11320672","32,41914544","0,36198181","58,747962"
14/03/2012 20.00,"34,94130288","40,00517752","0,41095142","49,80264135"
14/03/2012 21.00,"42,51697192","48,09440976","0,47911674","40,13969925"
14/03/2012 22.00,"51,69422776","56,88656968","0,58384907","30,613275"
14/03/2012 23.00,"35,33454392","39,47987464","0,55453185","38,48416845"
15/03/2012 0.00,"17,04495229","20,7658496","0,3593827","54,6232995"
15/03/2012 1.00,"11,88850052","15,5377571","0,30946478","58,2654912"
15/03/2012 2.00,"10,57116502","14,27839345","0,28293773","60,01428825"
15/03/2012 3.00,"8,05459445","11,54177653","0,27427479","64,3105806"
15/03/2012 4.00,"7,66523286","11,20586107","0,26495479","63,81999015"
15/03/2012 5.00,"7,77295685","11,45228537","0,27527785","62,52934485"
15/03/2012 6.00,"9,57829784","13,30566345","0,28840041","58,5263175"
15/03/2012 7.00,"16,33371697","20,69971352","0,30941002","50,187816"
15/03/2012 8.00,"25,621278","37,35155096","0,41149897","44,3873535"
15/03/2012 9.00,"31,8731356","52,61047728","0,42622574","50,14861425"
15/03/2012 10.00,"18,24677622","29,36480192","0,33576465","67,12295205"
15/03/2012 11.00,"11,77169835","18,95009777","0,32318032","75,38173335"
15/03/2012 12.00,"8,56855343","14,61431082","0,30799688","79,8456057"
15/03/2012 13.00,"11,58350975","18,93453218","0,30639267","81,84577275"
15/03/2012 14.00,"17,84184521","28,10932536","0,36120709","79,9429218"
15/03/2012 15.00,"13,30837849","20,3560124","0,32445716","86,3515401"
15/03/2012 16.00,"14,7243598","22,52974608","0,30134007","86,379909"
15/03/2012 17.00,"12,01570014","17,34055131","0,31337685","86,67048075"
15/03/2012 18.00,"16,61145982","21,01876896","0,34555881","80,95516485"
15/03/2012 19.00,"33,61877248","38,25426352","0,45682097","63,8348529"
15/03/2012 20.00,"34,77646936","39,93644112","0,51390597","63,61051515"
15/03/2012 21.00,"33,70573024","38,60314616","0,50118533","61,91173275"
15/03/2012 22.00,"24,78416616","28,5541904","0,40703003","71,09084745"
15/03/2012 23.00,"17,75358346","21,64261632","0,3943094","69,87453585"
16/03/2012 0.00,"15,50048075","19,23152696","0,38541812","65,422833"
16/03/2012 1.00,"11,87682394","15,60649733","0,34953495","67,8554562"
16/03/2012 2.00,,,"0,34374374","62,37393435"
16/03/2012 3.00,"21,37983104","25,11849848",,"64,8943974"
16/03/2012 4.00,"18,11050415","21,82548","0,31117267","61,6968513"
16/03/2012 5.00,"17,11244398","20,83588616","0,3324677",
16/03/2012 6.00,"18,92427238","22,65035504","0,3182582","49,8175041"
16/03/2012 7.00,"33,83161632","41,7469904","0,45988841","26,0764056"
16/03/2012 8.00,"48,95442736","75,72386136","0,5240869","27,02648445"
16/03/2012 9.00,"33,8445988","54,26670904","0,4562373","54,6570948"
16/03/2012 10.00,"15,32527081","23,98625032","0,2908807","75,24659205"
16/03/2012 11.00,"11,28369286","17,02279221","0,27744009","82,29580485"
16/03/2012 12.00,"8,95921327","14,24726609","0,26485926","90,0004749"
16/03/2012 13.00,"9,86382827","16,07989323","0,26929907","92,04118035"
16/03/2012 14.00,"14,58418152","24,91357032","0,31518726","89,6977536"
16/03/2012 15.00,"8,61397873","13,71421005","0,23768447","92,0722824"
16/03/2012 16.00,"11,52120532","17,75817609","0,2464907","90,34104135"
16/03/2012 17.00,"10,61788666","15,65578104","0,26992468","91,61277405"
16/03/2012 18.00,"14,71656649","18,54025292","0,26560952","83,7729627"
16/03/2012 19.00,"45,78501968","51,17211792","0,3620156","47,88357105"
16/03/2012 20.00,"64,68074208","70,84334752","0,51509893","26,26291815"
16/03/2012 21.00,"71,05848576","78,18160352","0,66170253","20,39893485"
16/03/2012 22.00,"60,17064","65,11589416","0,77609271","24,69656385"
16/03/2012 23.00,"44,56372968","48,50166576","0,70441026","33,39592095"
17/03/2012 0.00,"26,01193784","29,70200224","0,52878651","44,7117006"
17/03/2012 1.00,"17,90543833","21,63223416","0,47229916","50,4891807"
17/03/2012 2.00,"14,71397382","18,44168167","0,44779688","50,88652485"
17/03/2012 3.00,"20,5271364","24,18467768","0,4495304","45,09687525"
17/03/2012 4.00,"19,78864552","23,66199424","0,41238903","37,73005845"
17/03/2012 5.00,"9,39140175","13,09166285","0,38099694","44,0616498"
17/03/2012 6.00,"10,75805346","14,49239405","0,3642058","47,9876502"
17/03/2012 7.00,"16,5569487","20,54795808","0,34070658","56,50859445"
17/03/2012 8.00,"11,98843885","16,41580869","0,32487423","76,9832196"
17/03/2012 9.00,"10,56596821","15,03323384","0,35617545","90,80324295"
17/03/2012 10.00,"8,80736032","13,59488786","0,3068377","93,1466697"
17/03/2012 11.00,"8,35959478","12,88544409","0,32254656","102,56632155"
17/03/2012 12.00,"6,88131859","10,66761778","0,29662997","107,1098742"
17/03/2012 13.00,"7,61201998","11,57549847","0,31100258","110,67240555"
17/03/2012 14.00,"8,56595694","13,37440176","0,30101037","110,63857035"
17/03/2012 15.00,"6,46599969","10,2020018","0,28008697","111,61839465"
17/03/2012 16.00,"6,50363741","10,23831833","0,25892824","110,19392475"
17/03/2012 17.00,"6,93063672","10,72079241","0,28859963","105,2395218"
17/03/2012 18.00,"8,00527632","11,59754766","0,28525608","99,4242165"
17/03/2012 19.00,"12,6036325","16,15771163","0,32113225","87,1259193"
17/03/2012 20.00,"18,07286643","21,80343464","0,35088169","72,06795855"
17/03/2012 21.00,"19,75619888","23,48301192","0,37173403","63,2158842"
17/03/2012 22.00,"24,50899112","28,37000744","0,38364266","59,14259295"
17/03/2012 23.00,"17,37720435","21,1160324","0,35316393","67,0040301"
18/03/2012 0.00,"14,7256504","18,23416658","0,33801427","70,079961"
18/03/2012 1.00,"13,4277848","16,92292654","0,30427004","78,89014035"
18/03/2012 2.00,,,"0,27372491","101,19463935"
18/03/2012 3.00,"7,40436149","11,10210257",,"106,024674"
18/03/2012 4.00,"8,75934044","12,48986658","0,23697848","106,00039485"
18/03/2012 5.00,"7,78074442","11,38095247","0,24386945",
18/03/2012 6.00,"7,33167872","11,06449162","0,23260507","104,24080485"
18/03/2012 7.00,"6,9552977","10,62870858","0,22259073","102,5865309"
18/03/2012 8.00,"6,65289386","10,23831833","0,23916285","101,6351553"
18/03/2012 9.00,"6,50493566","10,10732338","0,23967079","98,28628845"
18/03/2012 10.00,"6,92804022","10,58331387","0,25508957","94,44679125"
18/03/2012 11.00,"6,1506172","9,88294636","0,2533875","94,6738422"
18/03/2012 12.00,"6,20252991","9,94001382","0,26578077","96,3496422"
18/03/2012 13.00,"6,35048812","10,21497281","0,24252621","97,84571265"
18/03/2012 14.00,"6,2077229","9,79215886","0,24165945","97,90652025"
18/03/2012 15.00,"5,77163777","9,48347985","0,24161401","98,4052104"
18/03/2012 16.00,"5,45236054","9,17479892","0,23490478","98,5025265"
18/03/2012 17.00,"5,9092119","9,64170932","0,24224078","101,50681695"
18/03/2012 18.00,"8,99685099","12,72850904","0,26404725","92,1844413"
18/03/2012 19.00,"8,87744468","12,60918686","0,25765723","84,72032835"
18/03/2012 20.00,"10,55169704","14,28358262","0,25568372","78,20493765"
18/03/2012 21.00,"13,0163549","16,74783322","0,28086752","76,4237019"
18/03/2012 22.00,"10,85670119","14,48331587","0,29148067","77,68057185"
18/03/2012 23.00,"11,09680633","14,76735303","0,33385056","74,12488335"
19/03/2012 0.00,"6,95919053","10,61314298","0,2757357","75,54121365"
19/03/2012 1.00,"7,22655122","10,89718014","0,26237781","78,81445005"
19/03/2012 2.00,"4,35306378","8,00363009","0,24325084","84,99061095"
19/03/2012 3.00,"4,12463714","7,83502419","0,23263652","85,147398"
19/03/2012 4.00,"3,7534472","7,48873231","0,2117038","89,092311"
19/03/2012 5.00,"3,07595677","6,64829168","0,21252629","91,7330526"
19/03/2012 6.00,"3,33942463","6,87785596","0,22203036","90,1167036"
19/03/2012 7.00,"9,3070424","12,98271518","0,24027776","79,66990605"
19/03/2012 8.00,"17,94437812","22,47397304","0,24958028","73,87486995"
19/03/2012 9.00,"10,63476006","15,56758622","0,261426","86,5407459"
19/03/2012 10.00,"8,32455355","12,86080032","0,27577531","86,03395605"
19/03/2012 11.00,"6,33621122","10,63519217","0,27050718","88,8490407"
19/03/2012 12.00,"6,21940331","10,15401442","0,26258634","93,06964275"
19/03/2012 13.00,"6,44133871","10,94127851","0,24188779","95,5725498"
19/03/2012 14.00,"8,44785078","13,04886082","0,25533189","89,0463462"
19/03/2012 15.00,"5,68987109","9,53276356","0,23203771","90,9964986"
19/03/2012 16.00,"5,75736086","9,71952772","0,24419449","92,6763684"
19/03/2012 17.00,"7,8002105","11,54177653","0,2489605","90,8965092"
19/03/2012 18.00,"8,22850997","11,95810688","0,25454784","94,40489625"
19/03/2012 19.00,"11,81712556","15,54683528","0,31352247","87,78544635"
19/03/2012 20.00,"12,75808194","16,36263214","0,32452124","82,2052518"
19/03/2012 21.00,"16,28959183","20,01619264","0,38937096","69,870486"
19/03/2012 22.00,"60,6664216","66,70210848","0,48392935","22,7815434"
19/03/2012 23.00,"23,72379008","27,44268744","0,46248054","43,78999065"
20/03/2012 0.00,"13,28631592","17,01371403","0,41460836","48,12412815"
20/03/2012 1.00,"10,2181429","13,72717914","0,39096818","50,6783865"
20/03/2012 2.00,,,"0,36061993","50,20539195"
20/03/2012 3.00,"10,12599789","13,68437902",,"53,10695985"
20/03/2012 4.00,"7,8741896","11,53140202","0,23239653","57,0356535"
20/03/2012 5.00,"8,06108378","11,78820274","0,2156916",
20/03/2012 6.00,"7,56270186","11,25255211","0,19269916","59,0750223"
20/03/2012 7.00,"13,981978","18,36386327","0,2527153","46,5496941"
20/03/2012 8.00,"22,17023272","30,38680416","0,28683698","49,2728691"
20/03/2012 9.00,"19,73673472","29,16375512","0,30284525","63,2915745"
20/03/2012 10.00,"18,80226958","27,80065208","0,29213773","68,06088135"
20/03/2012 11.00,"12,36482752","18,13819182","0,25944084","78,2927775"
20/03/2012 12.00,"17,54722895","24,81112536","0,31864498","90,5153844"
20/03/2012 13.00,"11,97156354","18,55970752","0,25094566","86,5529154"
20/03/2012 14.00,"14,47386677","24,187278","0,32118468","90,8951526"
20/03/2012 15.00,"9,84436029","14,61301257","0,21899787","95,63337735"
20/03/2012 16.00,"9,15129662","14,17074594","0,22137097","91,87631355"
20/03/2012 17.00,"10,43229073","14,94633726","0,22736024","87,93004395"
20/03/2012 18.00,"19,13841256","24,69179744","0,25210367","72,71800935"
20/03/2012 19.00,"35,90952056","40,80020624","0,32469832","45,279318"
20/03/2012 20.00,"54,88311872","59,62969696","0,43760895","32,14988385"
20/03/2012 21.00,"63,01686232","70,52429208","0,60272906","25,5317706"
20/03/2012 22.00,"24,19880736","28,17936192","0,36125602","70,8043455"
20/03/2012 23.00,"6,8358933","10,32132398","0,23168938","86,823198"
21/03/2012 0.00,"7,72623139","11,05022427","0,24593966","90,64783245"
21/03/2012 1.00,"6,74374446","10,39395513","0,23889024","100,54187535"
21/03/2012 2.00,"4,57499918","8,23838354","0,2675807","110,1101547"
21/03/2012 3.00,"4,05455278","7,79222407","0,24257397","105,2259957"
21/03/2012 4.00,"3,34980679","6,74037742","0,2099365","96,08069625"
21/03/2012 5.00,"3,42768064","6,87137237","0,21254027","92,19930405"
21/03/2012 6.00,"6,3582757","10,04766325","0,2426695","100,7445873"
21/03/2012 7.00,"7,98710467","11,86213022","0,26496411","101,5865172"
21/03/2012 8.00,"13,02673898","19,21078176","0,29254665","95,74960605"
21/03/2012 9.00,"21,25134464","34,1661972","0,41477961","85,44471285"
21/03/2012 10.00,"13,64193262","20,99412328","0,31309725","96,91049655"
21/03/2012 11.00,"8,96959352","14,11238022","0,26648909","105,0272937"
21/03/2012 12.00,"8,20384899","13,62082797","0,24357937","104,59216425"
21/03/2012 13.00,"10,43878006","16,84899906","0,2704664","102,96500235"
21/03/2012 14.00,"13,38235759","22,5465908","0,29031917","100,2418473"
21/03/2012 15.00,"7,891063","13,15132298","0,23034613","100,8810852"
21/03/2012 16.00,"8,8579767","14,01121822","0,22818389","98,38089135"
21/03/2012 17.00,"10,60880083","15,52219151","0,25343876","93,4223787"
21/03/2012 18.00,"13,53809764","17,87620194","0,27142636","92,5750224"
21/03/2012 19.00,"18,1611167","22,09396304","0,32503733","83,62160205"
21/03/2012 20.00,"18,19746191","22,59588216","0,36484771","86,4528861"
21/03/2012 21.00,"17,14099396","21,85012568","0,3776266","90,0545394"
21/03/2012 22.00,"11,55495594","15,44567136","0,33795136","93,21831015"
21/03/2012 23.00,"9,43423246","13,02032804","0,29227404","86,9286138"
22/03/2012 0.00,"18,11309682","21,71913456","0,26557573","76,92646185"
22/03/2012 1.00,"13,9754772","17,69851595","0,25790421","71,2003131"
22/03/2012 2.00,,,"0,27285582","70,666491"
22/03/2012 3.00,"13,09812541","16,81268253",,"67,12702185"
22/03/2012 4.00,"9,53157238","13,26156699","0,25518277","78,40088655"
22/03/2012 5.00,"10,5075719","14,23170241","0,28890136",
22/03/2012 6.00,"10,61269749","14,34583734","0,30415121","70,8692229"
22/03/2012 7.00,"21,46158816","26,63207592","0,41016971","54,40977465"
22/03/2012 8.00,"32,68170128","43,84680616","0,37804134","55,69096365"
22/03/2012 9.00,"31,6252448","46,86227872","0,44929623","59,7872373"
22/03/2012 10.00,"18,03262839","26,42324728","0,36277285","78,6522765"
22/03/2012 11.00,"12,21037807","18,37942886","0,31982862","87,8962686"
22/03/2012 12.00,"14,20910448","22,20030848","0,32560003","89,15716845"
22/03/2012 13.00,"14,21298966","21,69188856","0,3420708","96,54289785"
22/03/2012 14.00,"19,73023392","29,71626576","0,39090177","95,39956335"
22/03/2012 15.00,"14,03777972","19,71141984","0,28115644","108,1735683"
22/03/2012 16.00,"13,27203519","19,24320928","0,29749091","107,103171"
22/03/2012 17.00,"17,78473759","23,41037504","0,34604927","103,22718525"
22/03/2012 18.00,"24,0599388","28,65405416","0,38572102","95,64283365"
22/03/2012 19.00,"38,25736096","42,43959328","0,47478993","81,9255129"
22/03/2012 20.00,"45,3255852","49,60278656","0,54004624","75,27767415"
22/03/2012 21.00,"46,6416148","51,3757268","0,59725939","63,471324"
22/03/2012 22.00,"35,20477648","39,42800208","0,45361372","66,82430055"
22/03/2012 23.00,"19,90414944","23,41427552","0,36081914","73,33426485"
23/03/2012 0.00,"14,91514298","18,58953854","0,35350294","83,50537335"
23/03/2012 1.00,"8,97219002","12,7077581","0,3403233","98,06328735"
23/03/2012 2.00,"7,27457302","11,0061259","0,31496707","92,28173745"
23/03/2012 3.00,"7,72752964","11,55993479","0,32110196","79,95235815"
23/03/2012 4.00,"7,58087159","11,31740142","0,32037384","72,6139302"
23/03/2012 5.00,"10,08836017","13,75052466","0,32287393","59,52910425"
23/03/2012 6.00,"12,39077527","16,08378415","0,34355035","52,833984"
23/03/2012 7.00,"18,41030958","22,55697296","0,40044545","43,04669355"
23/03/2012 8.00,"21,22279848","28,5541904","0,41980426","36,8232312"
23/03/2012 9.00,"34,39749184","54,12013512","0,55149819","43,0237311"
23/03/2012 10.00,"21,84576632","38,90793808","0,41607742","63,98892675"
23/03/2012 11.00,"10,29991341","14,99821365","0,31814752","84,78656235"
23/03/2012 12.00,"11,50433192","16,41710502","0,35995588","88,27330365"
23/03/2012 13.00,"14,83207806","20,76066808","0,39935501","95,35631175"
23/03/2012 14.00,"21,9509072","32,09362744","0,46724655","90,1302297"
23/03/2012 15.00,"15,35123003","20,96169576","0,35750122","92,99127915"
23/03/2012 16.00,"14,87230845","20,28855704","0,33459849","89,6950404"
23/03/2012 17.00,"18,97747952","24,23915056","0,37108862","78,96176085"
23/03/2012 18.00,"28,998348","34,321834","0,6268434","50,7108252"
23/03/2012 19.00,"38,62205584","44,63797264","0,4382998","32,52151245"
23/03/2012 20.00,"41,46441592","46,91287024","0,55376994","44,92386885"
23/03/2012 21.00,"25,47850896","29,62678416","0,50487372","77,32107285"
23/03/2012 22.00,"21,1851512","24,98102568","0,46347428","72,45042"
23/03/2012 23.00,"15,19159333","18,92026674","0,47110969","73,5626724"
24/03/2012 0.00,"12,75288513","16,43915421","0,44965971","71,2300386"
24/03/2012 1.00,"10,93456548","14,60652898","0,38045056","63,9024435"
24/03/2012 2.00,,,"0,39517383","65,07281025"
24/03/2012 3.00,"11,07213962","14,54167967",,"62,5563771"
24/03/2012 4.00,"11,11237957","14,80885682","0,3374073","62,34149565"
24/03/2012 5.00,"8,61787156","12,34849522","0,3199125",
24/03/2012 6.00,"10,13897846","13,7193973","0,31429021","65,38091805"
24/03/2012 7.00,"17,16436051","21,32744224","0,3190038","58,2154965"
24/03/2012 8.00,"18,63484147","25,0912716","0,34858664","53,1367053"
24/03/2012 9.00,"30,99057552","44,22033448","0,51399567","48,6647133"
24/03/2012 10.00,"24,41945216","34,6331076","0,45896573","66,99052395"
24/03/2012 11.00,"17,01640039","22,77226416","0,40825212","90,3464478"
24/03/2012 12.00,"16,11048523","20,98504128","0,38976939","103,5609687"
24/03/2012 13.00,"21,70819792","29,73961128","0,38728328","101,2932921"
24/03/2012 14.00,"21,11895776","30,24024936","0,38048667","108,0114147"
24/03/2012 15.00,"14,84116197","20,14460256","0,3195164","115,58090355"
24/03/2012 16.00,"12,16495086","16,09934592","0,30798639","124,86268095"
24/03/2012 17.00,"15,53033663","19,5480012","0,38653069","119,44876965"
24/03/2012 18.00,"23,54987456","27,41414128","0,39193862","97,02672525"
24/03/2012 19.00,"29,24493864","33,08970296","0,41402236","79,6374873"
24/03/2012 20.00,"28,09114224","32,31540032","0,41479592","72,87748965"
24/03/2012 21.00,"30,82576112","34,56177088","0,42470192","75,04521675"
24/03/2012 22.00,"39,7564072","43,4499132","0,40175375","49,09449615"
24/03/2012 23.00,"28,78550416","32,51774728","0,44628704","54,5300532"
25/03/2012 0.00,"29,99121136","33,69410528","0,50863318","56,0936943"
25/03/2012 1.00,"35,601918","39,4396844","0,51313241","50,77975245"
25/03/2012 2.00,"73,63995344","94,51830512","0,56152767","11,35496145"
25/03/2012 3.00,"56,43925728","61,65555656","0,45960182","26,4548172"
25/03/2012 4.00,"30,45974696","37,06232272","0,37966884","52,58666385"
25/03/2012 5.00,"13,97808134","17,64923033","0,33777078","56,4396672"
25/03/2012 6.00,"14,52448314","18,25362118","0,38625808","45,7307067"
25/03/2012 7.00,"18,84249806","23,56213048","0,41575006","39,8004894"
25/03/2012 8.00,"17,8613151","24,25989576","0,46219162","39,23963505"
25/03/2012 9.00,"15,01118466","21,42212448","0,49427339","62,4320487"
25/03/2012 10.00,"12,90214541","18,02924606","0,41443244","89,319342"
25/03/2012 11.00,"12,27656578","17,20696178","0,36482208","103,6596813"
25/03/2012 12.00,"11,2512443","15,99429108","0,30786989","111,711621"
25/03/2012 13.00,"11,9546997","16,83213713","0,26999691","116,179623"
25/03/2012 14.00,"10,43099822","14,92688075","0,2666219","118,9811616"
25/03/2012 15.00,"8,97608476","13,02162438","0,27908624","119,48655495"
25/03/2012 16.00,"11,97676226","16,16678981","0,28829789","114,578037"
25/03/2012 17.00,"12,43879706","16,28481374","0,34770357","116,43368625"
25/03/2012 18.00,"16,7814806","20,54277656","0,34058892","111,7278603"
25/03/2012 19.00,"19,66924112","23,43762104","0,41129626","106,17068805"
25/03/2012 20.00,"27,47463696","31,22854304","0,38852983","87,22728525"
25/03/2012 21.00,"27,31630424","31,16498816","0,42297539","86,9367135"
25/03/2012 22.00,"22,81528416","26,53869384","0,42992811","86,77725315"
25/03/2012 23.00,"17,64327062","21,3702328","0,37412461","87,5394828"
26/03/2012 0.00,"11,96248154","15,67523564","0,32563847","88,5868578"
26/03/2012 1.00,"8,75674394","12,487272","0,33209141","91,92630825"
26/03/2012 2.00,,,"0,34863208","90,8910828"
26/03/2012 3.00,"9,5860835","13,2070922",,"92,1101076"
26/03/2012 4.00,"11,46799627","15,22259258","0,35302762","95,50226595"
26/03/2012 5.00,"13,6730791","17,39891702","0,33613978",
26/03/2012 6.00,"22,23124464","26,97187656","0,36110923","72,474759"
26/03/2012 7.00,"29,08660592","34,11040504","0,38753143","64,06597365"
26/03/2012 8.00,"39,94200504","53,40422496","0,5189644","60,10753455"
26/03/2012 9.00,"31,3098604","41,91821","0,46058042","71,84631405"
26/03/2012 10.00,"20,33763808","27,57886008","0,37813454","94,8481653"
26/03/2012 11.00,"17,03716089","23,39871184","0,3577948","104,090721"
26/03/2012 12.00,"18,23509963","26,0160104","0,34485631","106,32067215"
