
Stat, Viale Romagna,,,,,
,NO2,NOX,CO,O3
02/01/2012 20.00,"83,82305512","100,29633088","0,77671249","15,94047095"
02/01/2012 21.00,"78,56277984","90,99183144","0,94521343","19,36777322"
02/01/2012 22.00,"76,85997176","100,37414928","1,09869403","11,15629536"
02/01/2012 23.00,"73,7450752","87,57950416","1,01736538","15,60260772"
03/01/2012 0.00,"49,93950888","58,30160264","0,90565236","18,63528503"
03/01/2012 1.00,"38,15612056","44,24366088","0,87963908","18,12578198"
03/01/2012 2.00,"32,07041576","36,276376","0,72910127","24,34113465"
03/01/2012 3.00,"12,42712048","16,40413593","0,43888929","46,73078025"
03/01/2012 4.00,"12,43879706","16,1408497","0,35535296","42,16689855"
03/01/2012 5.00,"11,96118902","15,5701808","0,29605563","41,35872405"
03/01/2012 6.00,"18,05469096","27,25462312","0,28814761","31,9971666"
03/01/2012 7.00,"30,84520616","39,39949416","0,29186978","32,4255729"
03/01/2012 8.00,"31,26443128","37,16998744","0,2916962","40,4532534"
03/01/2012 9.00,"27,25531144","33,78096744","0,32124642","44,73466305"
03/01/2012 10.00,"15,07608176","23,6723764","0,27369112","64,86872175"
03/01/2012 11.00,"9,88718909","13,65584625","0,22233559","76,75616865"
03/01/2012 12.00,"8,2298063","13,59099694","0,21899903","77,1940512"
03/01/2012 13.00,"10,96182486","16,21737177","0,21892098","77,299467"
03/01/2012 14.00,"8,27652985","11,03855151","0,21654904","78,5225217"
03/01/2012 15.00,"7,20838149","12,60529785","0,22433939","76,9494243"
03/01/2012 16.00,"10,52314514","12,4418773","0,24268698","76,7953704"
03/01/2012 17.00,"19,94049656","25,3752992","0,26826805","60,89272665"
03/01/2012 18.00,"32,7336312","39,6887224","0,32661358","35,9312667"
03/01/2012 19.00,"34,37022672","40,77687984","0,43694141","36,6421251"
03/01/2012 20.00,"37,2125868","43,47847848","0,60050741","35,57043105"
03/01/2012 21.00,"38,13405608","44,08544288","0,46429561","35,5298727"
03/01/2012 22.00,"27,13330672","32,26610896","0,50974342","40,03564005"
03/01/2012 23.00,"15,21884315","19,73086488","0,40556097","40,66813485"
04/01/2012 0.00,"19,24223416","25,39864472","0,437807","32,7174813"
04/01/2012 1.00,"26,63102432","33,20124904","0,5895133","21,32872455"
04/01/2012 2.00,,,"0,62773229","18,84611264"
04/01/2012 3.00,"75,40117312","82,07644312",,"19,48670514"
04/01/2012 4.00,"37,990006","43,0374948","0,4162813","30,2970276"
04/01/2012 5.00,"25,62775968","31,14554312","0,34052368",
04/01/2012 6.00,"35,09833544","42,85593128","0,33875055","19,63941641"
04/01/2012 7.00,"39,89657592","49,90495904","0,52589731","16,62160784"
04/01/2012 8.00,"58,64692896","73,42431808","0,58327822","14,22681981"
04/01/2012 9.00,"58,46263128","99,16536376","0,71529369","13,09294161"
04/01/2012 10.00,"50,2574936","78,7029868","0,57458732","23,43971385"
04/01/2012 11.00,"46,81813064","70,00677104","0,45398769","28,61039475"
04/01/2012 12.00,"25,80427552","34,68886152","0,38739629","43,26023835"
04/01/2012 13.00,"24,21048968","35,54358288","0,41623819","49,80399795"
04/01/2012 14.00,"18,63614354","27,00688528","0,3560473","67,4797578"
04/01/2012 15.00,"15,70425215","20,76324928","0,2987526","69,4501794"
04/01/2012 16.00,"17,68480118","24,2261872","0,3269025","69,0731244"
04/01/2012 17.00,"29,96784672","35,38276456","0,48499183","50,3243139"
04/01/2012 18.00,"49,42554416","55,14993832","0,66180388","28,44145815"
04/01/2012 19.00,"67,02600128","81,93115024","0,74422181","14,82010887"
04/01/2012 20.00,"70,03317576","117,0571332","0,94395174","9,41156811"
04/01/2012 21.00,"39,58119152","50,10600584","0,60489946","27,11027445"
04/01/2012 22.00,"41,85765696","45,9440216","0,59222892","22,99913805"
04/01/2012 23.00,"41,77199936","61,05507384","0,62245484","20,02997955"
05/01/2012 0.00,"39,39559368","53,4651604","0,66781412","16,81215827"
05/01/2012 1.00,"30,52724056","38,2607452","0,78971156","16,95811845"
05/01/2012 2.00,"26,16378888","39,00262032","0,62591373","22,3747629"
05/01/2012 3.00,"23,40062384","34,51247952","0,50432035","22,67207775"
05/01/2012 4.00,"18,96969768","27,04191312","0,51573618","23,309979"
05/01/2012 5.00,"12,25839986","17,20566545","0,38346208","36,5907738"
05/01/2012 6.00,"14,91644314","19,32360888","0,3448901","41,0803218"
05/01/2012 7.00,"21,74322576","28,78244496","0,42328644","26,35616445"
05/01/2012 8.00,"33,33713488","68,3233124","0,58172178","8,0263239"
05/01/2012 9.00,"51,44373664","129,89846936","1,03912525","10,65220475"
05/01/2012 10.00,"49,3723332","86,55618264","0,70737985","25,5101448"
05/01/2012 11.00,"33,2878244","51,79726544","0,50669811","44,42248545"
05/01/2012 12.00,"22,59723968","27,54903288","0,39859543","55,7382651"
05/01/2012 13.00,"15,97161094","22,66461856","0,37779669","68,606853"
05/01/2012 14.00,"14,90605907","18,80483548","0,3551386","72,05714565"
05/01/2012 15.00,"13,38625425","18,6466041","0,35816527","73,59916095"
