"NetC","ENEL Brindisi"
"Stat","Costa Morena Diga"
,PM10

,,,

09/01/2012 19.00,
09/01/2012 20.00,"13,38047"
09/01/2012 21.00,
09/01/2012 22.00,"8,934676"
09/01/2012 23.00,
10/01/2012 0.00,"4,594696"
10/01/2012 1.00,
10/01/2012 2.00,"12,3338"
10/01/2012 3.00,
10/01/2012 4.00,"9,563153"
10/01/2012 5.00,
10/01/2012 6.00,"6,352937"
10/01/2012 7.00,
10/01/2012 8.00,"4,627255"
10/01/2012 9.00,
10/01/2012 10.00,"10,86521"
10/01/2012 11.00,
10/01/2012 12.00,"13,00128"
10/01/2012 13.00,
10/01/2012 14.00,"9,66592"
10/01/2012 15.00,
10/01/2012 16.00,"8,834622"
10/01/2012 17.00,
10/01/2012 18.00,"8,636216"
10/01/2012 19.00,
10/01/2012 20.00,"11,26"
10/01/2012 21.00,
10/01/2012 22.00,"8,583639"
10/01/2012 23.00,
11/01/2012 0.00,"7,321598"
11/01/2012 1.00,
11/01/2012 2.00,"6,056166"
11/01/2012 3.00,
11/01/2012 4.00,"15,39614"
11/01/2012 5.00,
11/01/2012 6.00,"13,18715"
11/01/2012 7.00,
11/01/2012 8.00,"8,330281"
11/01/2012 9.00,
11/01/2012 10.00,"7,506783"
11/01/2012 11.00,
11/01/2012 12.00,"10,65018"
11/01/2012 13.00,
11/01/2012 14.00,"9,001493"
11/01/2012 15.00,
11/01/2012 16.00,"8,735925"
11/01/2012 17.00,
11/01/2012 18.00,"7,74013"
11/01/2012 19.00,
11/01/2012 20.00,"5,692918"
11/01/2012 21.00,
11/01/2012 22.00,"8,647741"
11/01/2012 23.00,
12/01/2012 0.00,"7,439289"
12/01/2012 1.00,
12/01/2012 2.00,"6,769773"
12/01/2012 3.00,
12/01/2012 4.00,"5,214693"
12/01/2012 5.00,
12/01/2012 6.00,"10,25437"
12/01/2012 7.00,
12/01/2012 8.00,"8,765093"
12/01/2012 9.00,
12/01/2012 10.00,"11,55982"
12/01/2012 11.00,
12/01/2012 12.00,"8,960453"
12/01/2012 13.00,
12/01/2012 14.00,"6,350902"
12/01/2012 15.00,
12/01/2012 16.00,"14,01234"
12/01/2012 17.00,
12/01/2012 18.00,"15,77465"
12/01/2012 19.00,
12/01/2012 20.00,"10,6071"
12/01/2012 21.00,
12/01/2012 22.00,"27,67704"
12/01/2012 23.00,
13/01/2012 0.00,"38,71455"
13/01/2012 1.00,
13/01/2012 2.00,"32,50508"
13/01/2012 3.00,
13/01/2012 4.00,"30,69766"
13/01/2012 5.00,
13/01/2012 6.00,"33,7645"
13/01/2012 7.00,
13/01/2012 8.00,"33,89315"
13/01/2012 9.00,
13/01/2012 10.00,"35,11294"
13/01/2012 11.00,
13/01/2012 12.00,"38,37413"
13/01/2012 13.00,
13/01/2012 14.00,"24,38402"
13/01/2012 15.00,
13/01/2012 16.00,"14,72741"
13/01/2012 17.00,
13/01/2012 18.00,"14,65644"
13/01/2012 19.00,
13/01/2012 20.00,"28,72948"
13/01/2012 21.00,
13/01/2012 22.00,"34,70988"
13/01/2012 23.00,
14/01/2012 0.00,"40,46703"
14/01/2012 1.00,
14/01/2012 2.00,"53,88956"
14/01/2012 3.00,
14/01/2012 4.00,"45,57894"
14/01/2012 5.00,
14/01/2012 6.00,"29,86297"
14/01/2012 7.00,
14/01/2012 8.00,"27,14624"
14/01/2012 9.00,
14/01/2012 10.00,"20,32797"
14/01/2012 11.00,
14/01/2012 12.00,"11,53337"
14/01/2012 13.00,
14/01/2012 14.00,"8,020621"
14/01/2012 15.00,
14/01/2012 16.00,"4,981685"
14/01/2012 17.00,
14/01/2012 18.00,"4,131393"
14/01/2012 19.00,
14/01/2012 20.00,"3,575838"
14/01/2012 21.00,
14/01/2012 22.00,"2,496608"
14/01/2012 23.00,
15/01/2012 0.00,"2,242912"
15/01/2012 1.00,
15/01/2012 2.00,"2,748949"
15/01/2012 3.00,
15/01/2012 4.00,"2,185931"
15/01/2012 5.00,
15/01/2012 6.00,"1,219984"
15/01/2012 7.00,
15/01/2012 8.00,"2,420635"
15/01/2012 9.00,
15/01/2012 10.00,"3,470357"
15/01/2012 11.00,
15/01/2012 12.00,"9,640483"
15/01/2012 13.00,
15/01/2012 14.00,"9,001153"
15/01/2012 15.00,
15/01/2012 16.00,"7,68722"
15/01/2012 17.00,
15/01/2012 18.00,"5,937458"
15/01/2012 19.00,
15/01/2012 20.00,"10,43989"
15/01/2012 21.00,
15/01/2012 22.00,"10,07834"
15/01/2012 23.00,
16/01/2012 0.00,"5,677317"
16/01/2012 1.00,
16/01/2012 2.00,"3,85192"
16/01/2012 3.00,
16/01/2012 4.00,"3,462895"
16/01/2012 5.00,
16/01/2012 6.00,"6,481821"
16/01/2012 7.00,
16/01/2012 8.00,"6,831163"
16/01/2012 9.00,
16/01/2012 10.00,"7,123864"
16/01/2012 11.00,
16/01/2012 12.00,"15,83469"
16/01/2012 13.00,
16/01/2012 14.00,"12,46506"
16/01/2012 15.00,
16/01/2012 16.00,"8,453059"
16/01/2012 17.00,
16/01/2012 18.00,"6,558812"
16/01/2012 19.00,
16/01/2012 20.00,"8,560236"
16/01/2012 21.00,
16/01/2012 22.00,"6,403812"
16/01/2012 23.00,
17/01/2012 0.00,"12,79812"
17/01/2012 1.00,
17/01/2012 2.00,"10,25641"
17/01/2012 3.00,
17/01/2012 4.00,"7,721137"
17/01/2012 5.00,
17/01/2012 6.00,"5,751594"
17/01/2012 7.00,
17/01/2012 8.00,"5,372066"
17/01/2012 9.00,
17/01/2012 10.00,"14,04728"
17/01/2012 11.00,
17/01/2012 12.00,"25,65086"
17/01/2012 13.00,
17/01/2012 14.00,"19,18905"
17/01/2012 15.00,
17/01/2012 16.00,"13,34079"
17/01/2012 17.00,
17/01/2012 18.00,"17,15303"
17/01/2012 19.00,
17/01/2012 20.00,"21,85285"
17/01/2012 21.00,
17/01/2012 22.00,"17,70282"
17/01/2012 23.00,
18/01/2012 0.00,"11,01818"
18/01/2012 1.00,
18/01/2012 2.00,"6,396351"
18/01/2012 3.00,
18/01/2012 4.00,"6,990571"
18/01/2012 5.00,
18/01/2012 6.00,"11,90035"
18/01/2012 7.00,
18/01/2012 8.00,"10,15466"
18/01/2012 9.00,
18/01/2012 10.00,"12,98602"
18/01/2012 11.00,
18/01/2012 12.00,"9,337946"
18/01/2012 13.00,
18/01/2012 14.00,"8,848806"
18/01/2012 15.00,
18/01/2012 16.00,"12,43083"
18/01/2012 17.00,
18/01/2012 18.00,"9,717141"
18/01/2012 19.00,
18/01/2012 20.00,"12,12737"
18/01/2012 21.00,
18/01/2012 22.00,"13,58875"
18/01/2012 23.00,
19/01/2012 0.00,"9,499661"
19/01/2012 1.00,
19/01/2012 2.00,"6,782182"
19/01/2012 3.00,
19/01/2012 4.00,"5,618903"
19/01/2012 5.00,
19/01/2012 6.00,"11,86483"
19/01/2012 7.00,
19/01/2012 8.00,"12,70189"
19/01/2012 9.00,
19/01/2012 10.00,"10,1941"
19/01/2012 11.00,
19/01/2012 12.00,"14,56673"
19/01/2012 13.00,
19/01/2012 14.00,"19,58807"
19/01/2012 15.00,
19/01/2012 16.00,"15,48949"
19/01/2012 17.00,
19/01/2012 18.00,"12,0315"
19/01/2012 19.00,
19/01/2012 20.00,"15,61585"
19/01/2012 21.00,
19/01/2012 22.00,"27,00305"
19/01/2012 23.00,
20/01/2012 0.00,"53,05622"
20/01/2012 1.00,
20/01/2012 2.00,"57,18088"
20/01/2012 3.00,
20/01/2012 4.00,"52,91191"
20/01/2012 5.00,
20/01/2012 6.00,"47,56647"
20/01/2012 7.00,
20/01/2012 8.00,"38,14431"
20/01/2012 9.00,
20/01/2012 10.00,"25,61314"
20/01/2012 11.00,
20/01/2012 12.00,"26,40718"
20/01/2012 13.00,
20/01/2012 14.00,"31,24017"
20/01/2012 15.00,
20/01/2012 16.00,"32,79148"
20/01/2012 17.00,
20/01/2012 18.00,"27,13192"
20/01/2012 19.00,
20/01/2012 20.00,"27,44681"
20/01/2012 21.00,
20/01/2012 22.00,"18,17174"
20/01/2012 23.00,
21/01/2012 0.00,"18,5989"
21/01/2012 1.00,
21/01/2012 2.00,"13,87262"
21/01/2012 3.00,
21/01/2012 4.00,"17,29402"
21/01/2012 5.00,
21/01/2012 6.00,"23,01016"
21/01/2012 7.00,
21/01/2012 8.00,"15,90752"
21/01/2012 9.00,
21/01/2012 10.00,"14,57486"
21/01/2012 11.00,
21/01/2012 12.00,"10,4397"
21/01/2012 13.00,
21/01/2012 14.00,"8,704947"
21/01/2012 15.00,
21/01/2012 16.00,"14,34688"
21/01/2012 17.00,
21/01/2012 18.00,"15,06571"
21/01/2012 19.00,
21/01/2012 20.00,"21,27438"
21/01/2012 21.00,
21/01/2012 22.00,"17,68733"
21/01/2012 23.00,
22/01/2012 0.00,"13,77235"
22/01/2012 1.00,
22/01/2012 2.00,"25,55894"
22/01/2012 3.00,
22/01/2012 4.00,"37,72628"
22/01/2012 5.00,
