"NetC","ENEL Brindisi"
"Stat","Costa Morena Diga"
,PM10

,,,

28/03/2012 0.00,"33,02027"
28/03/2012 1.00,
28/03/2012 2.00,"25,92592"
28/03/2012 3.00,
28/03/2012 4.00,"25,84215"
28/03/2012 5.00,
28/03/2012 6.00,"23,29636"
28/03/2012 7.00,
28/03/2012 8.00,"28,81765"
28/03/2012 9.00,
28/03/2012 10.00,"37,13436"
28/03/2012 11.00,
28/03/2012 12.00,"31,21727"
28/03/2012 13.00,
28/03/2012 14.00,"29,66456"
28/03/2012 15.00,
28/03/2012 16.00,"31,52218"
28/03/2012 17.00,
28/03/2012 18.00,"45,455"
28/03/2012 19.00,
28/03/2012 20.00,"45,05257"
28/03/2012 21.00,
28/03/2012 22.00,"41,73313"
28/03/2012 23.00,
29/03/2012 0.00,"40,59523"
29/03/2012 1.00,
29/03/2012 2.00,"32,268"
29/03/2012 3.00,
29/03/2012 4.00,"30,66984"
29/03/2012 5.00,
29/03/2012 6.00,"36,88542"
29/03/2012 7.00,
29/03/2012 8.00,"32,72655"
29/03/2012 9.00,
29/03/2012 10.00,"35,01932"
29/03/2012 11.00,
29/03/2012 12.00,"42,95447"
29/03/2012 13.00,
29/03/2012 14.00,"35,70111"
29/03/2012 15.00,
29/03/2012 16.00,"25,4712"
29/03/2012 17.00,
29/03/2012 18.00,"31,43882"
29/03/2012 19.00,
29/03/2012 20.00,"34,67541"
29/03/2012 21.00,
29/03/2012 22.00,"29,04591"
29/03/2012 23.00,
30/03/2012 0.00,"24,22127"
30/03/2012 1.00,
30/03/2012 2.00,"30,29167"
30/03/2012 3.00,
30/03/2012 4.00,"25,78245"
30/03/2012 5.00,
30/03/2012 6.00,"26,10602"
30/03/2012 7.00,
30/03/2012 8.00,"28,67148"
30/03/2012 9.00,
30/03/2012 10.00,"27,51491"
30/03/2012 11.00,
30/03/2012 12.00,"27,51491"
30/03/2012 13.00,
30/03/2012 14.00,"40,49145"
30/03/2012 15.00,
30/03/2012 16.00,"54,62522"
30/03/2012 17.00,
30/03/2012 18.00,"62,63905"
30/03/2012 19.00,
30/03/2012 20.00,"66,07482"
30/03/2012 21.00,
30/03/2012 22.00,"42,72724"
30/03/2012 23.00,
31/03/2012 0.00,"28,70268"
31/03/2012 1.00,
31/03/2012 2.00,"32,14284"
31/03/2012 3.00,
31/03/2012 4.00,"28,55514"
31/03/2012 5.00,
31/03/2012 6.00,"30,24453"
31/03/2012 7.00,
31/03/2012 8.00,"39,49023"
31/03/2012 9.00,
31/03/2012 10.00,"34,75986"
31/03/2012 11.00,
31/03/2012 12.00,"22,22934"
31/03/2012 13.00,
31/03/2012 14.00,"17,32295"
31/03/2012 15.00,
31/03/2012 16.00,"11,57034"
31/03/2012 17.00,
31/03/2012 18.00,"9,172093"
31/03/2012 19.00,
31/03/2012 20.00,"18,2387"
31/03/2012 21.00,
31/03/2012 22.00,"29,31724"
31/03/2012 23.00,
01/04/2012 0.00,"34,52991"
01/04/2012 1.00,
01/04/2012 2.00,"24,86976"
01/04/2012 3.00,
01/04/2012 4.00,"21,51606"
01/04/2012 5.00,
01/04/2012 6.00,"23,17425"
01/04/2012 7.00,
01/04/2012 8.00,"18,05452"
01/04/2012 9.00,
01/04/2012 10.00,"22,38705"
01/04/2012 11.00,
01/04/2012 12.00,"17,35347"
01/04/2012 13.00,
01/04/2012 14.00,"11,23999"
01/04/2012 15.00,
01/04/2012 16.00,"14,23483"
01/04/2012 17.00,
01/04/2012 18.00,"30,67664"
01/04/2012 19.00,
01/04/2012 20.00,"45,19942"
01/04/2012 21.00,
01/04/2012 22.00,"37,68315"
01/04/2012 23.00,
02/04/2012 0.00,"26,18267"
02/04/2012 1.00,
02/04/2012 2.00,"19,32471"
02/04/2012 3.00,
02/04/2012 4.00,"17,70858"
02/04/2012 5.00,
02/04/2012 6.00,"16,02157"
02/04/2012 7.00,
02/04/2012 8.00,"17,09164"
02/04/2012 9.00,
02/04/2012 10.00,"24,54076"
02/04/2012 11.00,
02/04/2012 12.00,"19,90366"
02/04/2012 13.00,
02/04/2012 14.00,"26,26814"
02/04/2012 15.00,
02/04/2012 16.00,"26,26814"
02/04/2012 17.00,
02/04/2012 18.00,"54,65201"
02/04/2012 19.00,
02/04/2012 20.00,"45,18178"
02/04/2012 21.00,
02/04/2012 22.00,"28,35741"
02/04/2012 23.00,
03/04/2012 0.00,"21,46927"
03/04/2012 1.00,
03/04/2012 2.00,"29,57298"
03/04/2012 3.00,
03/04/2012 4.00,"27,19"
03/04/2012 5.00,
03/04/2012 6.00,"32,10419"
03/04/2012 7.00,
03/04/2012 8.00,"32,17813"
03/04/2012 9.00,
03/04/2012 10.00,"37,93413"
03/04/2012 11.00,
03/04/2012 12.00,"27,37077"
03/04/2012 13.00,
03/04/2012 14.00,"19,55196"
03/04/2012 15.00,
03/04/2012 16.00,"21,34954"
03/04/2012 17.00,
03/04/2012 18.00,"28,94451"
03/04/2012 19.00,
03/04/2012 20.00,"43,61822"
03/04/2012 21.00,
03/04/2012 22.00,"37,98228"
03/04/2012 23.00,
04/04/2012 0.00,"29,37525"
04/04/2012 1.00,
04/04/2012 2.00,"32,68822"
04/04/2012 3.00,
04/04/2012 4.00,"33,24412"
04/04/2012 5.00,
04/04/2012 6.00,"31,82505"
04/04/2012 7.00,
04/04/2012 8.00,"35,71292"
04/04/2012 9.00,
04/04/2012 10.00,"33,67351"
04/04/2012 11.00,
04/04/2012 12.00,"46,99396"
04/04/2012 13.00,
04/04/2012 14.00,"43,0898"
04/04/2012 15.00,
04/04/2012 16.00,"35,97351"
04/04/2012 17.00,
04/04/2012 18.00,"38,38868"
04/04/2012 19.00,
04/04/2012 20.00,"39,83448"
04/04/2012 21.00,
04/04/2012 22.00,"49,43359"
04/04/2012 23.00,
05/04/2012 0.00,"56,19726"
05/04/2012 1.00,
05/04/2012 2.00,"64,23516"
05/04/2012 3.00,
05/04/2012 4.00,"71,12738"
05/04/2012 5.00,
05/04/2012 6.00,"79,27214"
05/04/2012 7.00,
05/04/2012 8.00,"73,91262"
05/04/2012 9.00,
05/04/2012 10.00,"76,13112"
05/04/2012 11.00,
05/04/2012 12.00,"71,61843"
05/04/2012 13.00,
05/04/2012 14.00,"70,71894"
05/04/2012 15.00,
05/04/2012 16.00,"50,44913"
05/04/2012 17.00,
05/04/2012 18.00,"44,37591"
05/04/2012 19.00,
05/04/2012 20.00,"44,38983"
05/04/2012 21.00,
05/04/2012 22.00,"47,29615"
05/04/2012 23.00,
06/04/2012 0.00,"35,74379"
06/04/2012 1.00,
06/04/2012 2.00,"40,15465"
06/04/2012 3.00,
06/04/2012 4.00,"28,98419"
06/04/2012 5.00,
06/04/2012 6.00,"15,86351"
06/04/2012 7.00,
06/04/2012 8.00,"23,15255"
06/04/2012 9.00,
06/04/2012 10.00,"33,78476"
06/04/2012 11.00,
06/04/2012 12.00,"23,74881"
06/04/2012 13.00,
06/04/2012 14.00,"17,42538"
06/04/2012 15.00,
06/04/2012 16.00,"25,45854"
06/04/2012 17.00,
06/04/2012 18.00,"36,39978"
06/04/2012 19.00,
06/04/2012 20.00,"55,30321"
06/04/2012 21.00,
06/04/2012 22.00,"55,21062"
06/04/2012 23.00,
07/04/2012 0.00,"49,2433"
07/04/2012 1.00,
07/04/2012 2.00,"46,16164"
07/04/2012 3.00,
07/04/2012 4.00,"41,05379"
07/04/2012 5.00,
07/04/2012 6.00,"64,4539"
07/04/2012 7.00,
07/04/2012 8.00,"59,99105"
07/04/2012 9.00,
07/04/2012 10.00,"41,77455"
07/04/2012 11.00,
07/04/2012 12.00,"38,41392"
07/04/2012 13.00,
07/04/2012 14.00,"42,08247"
07/04/2012 15.00,
07/04/2012 16.00,"39,32309"
07/04/2012 17.00,
07/04/2012 18.00,"38,90739"
07/04/2012 19.00,
07/04/2012 20.00,"29,12495"
07/04/2012 21.00,
07/04/2012 22.00,"26,55847"
07/04/2012 23.00,
08/04/2012 0.00,"30,61525"
08/04/2012 1.00,
08/04/2012 2.00,"20,21672"
08/04/2012 3.00,
08/04/2012 4.00,"11,23558"
08/04/2012 5.00,
08/04/2012 6.00,"8,674536"
08/04/2012 7.00,
08/04/2012 8.00,"7,085877"
08/04/2012 9.00,
08/04/2012 10.00,"9,8779"
08/04/2012 11.00,
08/04/2012 12.00,"8,571428"
08/04/2012 13.00,
08/04/2012 14.00,"6,517433"
08/04/2012 15.00,
08/04/2012 16.00,"6,106702"
08/04/2012 17.00,
08/04/2012 18.00,"3,899064"
08/04/2012 19.00,
08/04/2012 20.00,"2,792362"
08/04/2012 21.00,
08/04/2012 22.00,"3,543956"
08/04/2012 23.00,
09/04/2012 0.00,"3,543956"
09/04/2012 1.00,
09/04/2012 2.00,"8,055555"
09/04/2012 3.00,
09/04/2012 4.00,"5,892009"
09/04/2012 5.00,
09/04/2012 6.00,"9,708995"
09/04/2012 7.00,
09/04/2012 8.00,"20,93203"
09/04/2012 9.00,
09/04/2012 10.00,"24,66828"
09/04/2012 11.00,
09/04/2012 12.00,"20,69833"
09/04/2012 13.00,
09/04/2012 14.00,"19,77784"
09/04/2012 15.00,
09/04/2012 16.00,"12,73368"
09/04/2012 17.00,
09/04/2012 18.00,"11,8237"
09/04/2012 19.00,
09/04/2012 20.00,"10,24013"
09/04/2012 21.00,
09/04/2012 22.00,"14,43732"
09/04/2012 23.00,
10/04/2012 0.00,"13,67928"
10/04/2012 1.00,
10/04/2012 2.00,"17,10825"
10/04/2012 3.00,
10/04/2012 4.00,"20,30184"
10/04/2012 5.00,
10/04/2012 6.00,"19,44986"
10/04/2012 7.00,
10/04/2012 8.00,"30,20926"
10/04/2012 9.00,
10/04/2012 10.00,"26,27356"
10/04/2012 11.00,
10/04/2012 12.00,"24,87958"
10/04/2012 13.00,
10/04/2012 14.00,"16,62731"
10/04/2012 15.00,
10/04/2012 16.00,"8,744743"
10/04/2012 17.00,
10/04/2012 18.00,"8,492742"
10/04/2012 19.00,
10/04/2012 20.00,"10,25912"
10/04/2012 21.00,
10/04/2012 22.00,"21,51777"
10/04/2012 23.00,
11/04/2012 0.00,"22,19916"
11/04/2012 1.00,
11/04/2012 2.00,"27,27004"
11/04/2012 3.00,
11/04/2012 4.00,"31,17079"
11/04/2012 5.00,
11/04/2012 6.00,"22,69705"
11/04/2012 7.00,
11/04/2012 8.00,"30,29575"
11/04/2012 9.00,
11/04/2012 10.00,"28,53377"
11/04/2012 11.00,
11/04/2012 12.00,"20,99715"
11/04/2012 13.00,
11/04/2012 14.00,"17,07332"
11/04/2012 15.00,
11/04/2012 16.00,"12,13437"
11/04/2012 17.00,
11/04/2012 18.00,"12,56104"
11/04/2012 19.00,
11/04/2012 20.00,"12,016"
11/04/2012 21.00,
11/04/2012 22.00,"19,72324"
11/04/2012 23.00,
12/04/2012 0.00,"24,535"
12/04/2012 1.00,
12/04/2012 2.00,"18,1651"
12/04/2012 3.00,
12/04/2012 4.00,"18,1651"
12/04/2012 5.00,
12/04/2012 6.00,"25,61626"
12/04/2012 7.00,
12/04/2012 8.00,"30,37952"
12/04/2012 9.00,
12/04/2012 10.00,"28,42491"
12/04/2012 11.00,
12/04/2012 12.00,"18,04673"
12/04/2012 13.00,
12/04/2012 14.00,"9,518722"
12/04/2012 15.00,
12/04/2012 16.00,"19,99593"
12/04/2012 17.00,
12/04/2012 18.00,"22,94257"
12/04/2012 19.00,
12/04/2012 20.00,"21,83556"
12/04/2012 21.00,
12/04/2012 22.00,"15,92863"
12/04/2012 23.00,
13/04/2012 0.00,"17,56205"
13/04/2012 1.00,
13/04/2012 2.00,"23,09049"
13/04/2012 3.00,
13/04/2012 4.00,"27,11335"
13/04/2012 5.00,
13/04/2012 6.00,"24,71306"
13/04/2012 7.00,
13/04/2012 8.00,"32,76963"
13/04/2012 9.00,
13/04/2012 10.00,"32,67535"
13/04/2012 11.00,
13/04/2012 12.00,"21,76366"
13/04/2012 13.00,
13/04/2012 14.00,"18,66198"
13/04/2012 15.00,
13/04/2012 16.00,"16,46452"
13/04/2012 17.00,
13/04/2012 18.00,"10,16313"
13/04/2012 19.00,
13/04/2012 20.00,"7,350428"
13/04/2012 21.00,
13/04/2012 22.00,"23,35265"
13/04/2012 23.00,
14/04/2012 0.00,"31,37904"
14/04/2012 1.00,
14/04/2012 2.00,"35,48738"
14/04/2012 3.00,
14/04/2012 4.00,"30,74345"
14/04/2012 5.00,
14/04/2012 6.00,"19,40204"
14/04/2012 7.00,
14/04/2012 8.00,"11,68362"
14/04/2012 9.00,
14/04/2012 10.00,"12,44505"
14/04/2012 11.00,
14/04/2012 12.00,"9,849071"
14/04/2012 13.00,
14/04/2012 14.00,"6,220323"
14/04/2012 15.00,
14/04/2012 16.00,"4,839574"
14/04/2012 17.00,
14/04/2012 18.00,"5,494166"
14/04/2012 19.00,
14/04/2012 20.00,"13,37572"
14/04/2012 21.00,
14/04/2012 22.00,"14,06661"
14/04/2012 23.00,
15/04/2012 0.00,"16,52693"
15/04/2012 1.00,
15/04/2012 2.00,"13,10439"
15/04/2012 3.00,
15/04/2012 4.00,"8,244472"
15/04/2012 5.00,
15/04/2012 6.00,"13,38726"
15/04/2012 7.00,
15/04/2012 8.00,"13,38726"
15/04/2012 9.00,
15/04/2012 10.00,"14,14597"
15/04/2012 11.00,
15/04/2012 12.00,"10,40428"
15/04/2012 13.00,
15/04/2012 14.00,"8,047416"
15/04/2012 15.00,
15/04/2012 16.00,"6,373627"
15/04/2012 17.00,
15/04/2012 18.00,"9,878918"
15/04/2012 19.00,
15/04/2012 20.00,"9,290124"
15/04/2012 21.00,
15/04/2012 22.00,"15,32695"
15/04/2012 23.00,
16/04/2012 0.00,"24,54721"
16/04/2012 1.00,
16/04/2012 2.00,"27,45624"
16/04/2012 3.00,
16/04/2012 4.00,"23,38826"
16/04/2012 5.00,
16/04/2012 6.00,"39,05406"
16/04/2012 7.00,
16/04/2012 8.00,"34,95861"
16/04/2012 9.00,
16/04/2012 10.00,"31,40822"
16/04/2012 11.00,
16/04/2012 12.00,"25,0953"
16/04/2012 13.00,
16/04/2012 14.00,"24,2155"
16/04/2012 15.00,
16/04/2012 16.00,"40,14041"
16/04/2012 17.00,
16/04/2012 18.00,"34,08424"
16/04/2012 19.00,
16/04/2012 20.00,"18,97468"
16/04/2012 21.00,
16/04/2012 22.00,"10,69461"
16/04/2012 23.00,
17/04/2012 0.00,"13,5911"
17/04/2012 1.00,
17/04/2012 2.00,"11,00766"
17/04/2012 3.00,
17/04/2012 4.00,"8,1105"
17/04/2012 5.00,
17/04/2012 6.00,"6,156899"
17/04/2012 7.00,
17/04/2012 8.00,"5,71259"
17/04/2012 9.00,
17/04/2012 10.00,"6,363791"
17/04/2012 11.00,
17/04/2012 12.00,"5,572514"
17/04/2012 13.00,
17/04/2012 14.00,"4,432235"
17/04/2012 15.00,
17/04/2012 16.00,"9,142247"
17/04/2012 17.00,
17/04/2012 18.00,"7,520689"
17/04/2012 19.00,
17/04/2012 20.00,"4,705264"
17/04/2012 21.00,
17/04/2012 22.00,"4,316579"
17/04/2012 23.00,
18/04/2012 0.00,"5,079026"
18/04/2012 1.00,
18/04/2012 2.00,"3,729481"
18/04/2012 3.00,
18/04/2012 4.00,"3,847511"
18/04/2012 5.00,
18/04/2012 6.00,"6,548636"
18/04/2012 7.00,
18/04/2012 8.00,"12,80084"
18/04/2012 9.00,
18/04/2012 10.00,"18,74847"
18/04/2012 11.00,
18/04/2012 12.00,"18,74847"
18/04/2012 13.00,
18/04/2012 14.00,"19,33591"
18/04/2012 15.00,
18/04/2012 16.00,"18,52428"
18/04/2012 17.00,
18/04/2012 18.00,"17,82933"
18/04/2012 19.00,
18/04/2012 20.00,"20,60812"
18/04/2012 21.00,
18/04/2012 22.00,"15,252"
18/04/2012 23.00,
19/04/2012 0.00,"20,26251"
19/04/2012 1.00,
19/04/2012 2.00,"15,69461"
19/04/2012 3.00,
19/04/2012 4.00,"15,78008"
19/04/2012 5.00,
19/04/2012 6.00,"15,84656"
19/04/2012 7.00,
19/04/2012 8.00,"19,42782"
19/04/2012 9.00,
19/04/2012 10.00,"22,04991"
19/04/2012 11.00,
19/04/2012 12.00,"20,72751"
19/04/2012 13.00,
19/04/2012 14.00,"13,72507"
19/04/2012 15.00,
19/04/2012 16.00,"22,40943"
19/04/2012 17.00,
19/04/2012 18.00,"24,91724"
19/04/2012 19.00,
19/04/2012 20.00,"22,94532"
19/04/2012 21.00,
19/04/2012 22.00,"35,91405"
19/04/2012 23.00,
20/04/2012 0.00,"26,95936"
20/04/2012 1.00,
20/04/2012 2.00,"24,72629"
20/04/2012 3.00,
20/04/2012 4.00,"18,4361"
20/04/2012 5.00,
20/04/2012 6.00,"10,33645"
20/04/2012 7.00,
20/04/2012 8.00,"12,132"
20/04/2012 9.00,
20/04/2012 10.00,"15,04951"
20/04/2012 11.00,
20/04/2012 12.00,"10,21197"
20/04/2012 13.00,
20/04/2012 14.00,"5,265568"
20/04/2012 15.00,
20/04/2012 16.00,"3,926197"
20/04/2012 17.00,
20/04/2012 18.00,"5,044092"
20/04/2012 19.00,
20/04/2012 20.00,"8,3876"
20/04/2012 21.00,
20/04/2012 22.00,"10,36901"
20/04/2012 23.00,
21/04/2012 0.00,"7,154728"
21/04/2012 1.00,
21/04/2012 2.00,"6,013092"
21/04/2012 3.00,
21/04/2012 4.00,"8,376069"
21/04/2012 5.00,
21/04/2012 6.00,"7,176435"
21/04/2012 7.00,
21/04/2012 8.00,"11,51607"
21/04/2012 9.00,
21/04/2012 10.00,"17,09334"
21/04/2012 11.00,
21/04/2012 12.00,"14,55467"
21/04/2012 13.00,
21/04/2012 14.00,"10,52333"
21/04/2012 15.00,
21/04/2012 16.00,"10,52333"
21/04/2012 17.00,
21/04/2012 18.00,"29,04727"
21/04/2012 19.00,
21/04/2012 20.00,"20,84622"
21/04/2012 21.00,
21/04/2012 22.00,"20,46805"
21/04/2012 23.00,
22/04/2012 0.00,"14,17073"
22/04/2012 1.00,
22/04/2012 2.00,"19,69848"
22/04/2012 3.00,
22/04/2012 4.00,"17,55257"
22/04/2012 5.00,
22/04/2012 6.00,"13,799"
22/04/2012 7.00,
22/04/2012 8.00,"9,51533"
22/04/2012 9.00,
22/04/2012 10.00,"7,689934"
22/04/2012 11.00,
22/04/2012 12.00,"6,503063"
22/04/2012 13.00,
22/04/2012 14.00,"10,55182"
22/04/2012 15.00,
22/04/2012 16.00,"7,855108"
22/04/2012 17.00,
22/04/2012 18.00,"5,033863"
22/04/2012 19.00,
22/04/2012 20.00,"13,03758"
22/04/2012 21.00,
22/04/2012 22.00,"17,3918"
22/04/2012 23.00,
23/04/2012 0.00,"21,11924"
23/04/2012 1.00,
23/04/2012 2.00,"21,42077"
23/04/2012 3.00,
23/04/2012 4.00,"22,92598"
23/04/2012 5.00,
23/04/2012 6.00,"15,83299"
23/04/2012 7.00,
23/04/2012 8.00,"24,91486"
23/04/2012 9.00,
23/04/2012 10.00,"29,34337"
23/04/2012 11.00,
23/04/2012 12.00,"20,53451"
23/04/2012 13.00,
23/04/2012 14.00,"20,37783"
23/04/2012 15.00,
23/04/2012 16.00,"19,68186"
23/04/2012 17.00,
23/04/2012 18.00,"27,87783"
23/04/2012 19.00,
23/04/2012 20.00,"22,44844"
23/04/2012 21.00,
23/04/2012 22.00,"18,29805"
23/04/2012 23.00,
24/04/2012 0.00,"13,17528"
24/04/2012 1.00,
24/04/2012 2.00,"11,16877"
24/04/2012 3.00,
24/04/2012 4.00,"8,54633"
24/04/2012 5.00,
24/04/2012 6.00,"10,15805"
24/04/2012 7.00,
24/04/2012 8.00,"16,86574"
24/04/2012 9.00,
24/04/2012 10.00,"18,91297"
24/04/2012 11.00,
24/04/2012 12.00,"13,55243"
24/04/2012 13.00,
24/04/2012 14.00,"9,012685"
24/04/2012 15.00,
24/04/2012 16.00,"7,010582"
24/04/2012 17.00,
24/04/2012 18.00,"12,51594"
24/04/2012 19.00,
24/04/2012 20.00,"12,51594"
24/04/2012 21.00,
24/04/2012 22.00,"24,38203"
24/04/2012 23.00,
25/04/2012 0.00,"29,78564"
25/04/2012 1.00,
25/04/2012 2.00,"21,41704"
25/04/2012 3.00,
25/04/2012 4.00,"26,72839"
25/04/2012 5.00,
25/04/2012 6.00,"20,41921"
25/04/2012 7.00,
25/04/2012 8.00,"24,71442"
25/04/2012 9.00,
25/04/2012 10.00,"19,05067"
25/04/2012 11.00,
25/04/2012 12.00,"17,14455"
25/04/2012 13.00,
25/04/2012 14.00,"13,64299"
25/04/2012 15.00,
25/04/2012 16.00,"13,53479"
25/04/2012 17.00,
25/04/2012 18.00,"24,85076"
25/04/2012 19.00,
25/04/2012 20.00,"23,17596"
25/04/2012 21.00,
25/04/2012 22.00,"20,89913"
25/04/2012 23.00,
26/04/2012 0.00,"27,25071"
26/04/2012 1.00,
26/04/2012 2.00,"20,90998"
26/04/2012 3.00,
26/04/2012 4.00,"16,63546"
26/04/2012 5.00,
26/04/2012 6.00,"14,42579"
26/04/2012 7.00,
26/04/2012 8.00,"26,74094"
26/04/2012 9.00,
26/04/2012 10.00,"33,90652"
26/04/2012 11.00,
26/04/2012 12.00,"32,93277"
26/04/2012 13.00,
26/04/2012 14.00,"32,75368"
26/04/2012 15.00,
26/04/2012 16.00,"23,90041"
26/04/2012 17.00,
26/04/2012 18.00,"23,40625"
26/04/2012 19.00,
26/04/2012 20.00,"30,56539"
26/04/2012 21.00,
26/04/2012 22.00,"34,35422"
26/04/2012 23.00,
27/04/2012 0.00,"41,21387"
27/04/2012 1.00,
27/04/2012 2.00,"39,21075"
27/04/2012 3.00,
27/04/2012 4.00,"38,75524"
27/04/2012 5.00,
27/04/2012 6.00,"38,44424"
27/04/2012 7.00,
27/04/2012 8.00,"34,86331"
27/04/2012 9.00,
27/04/2012 10.00,"25,34688"
27/04/2012 11.00,
27/04/2012 12.00,"20,46364"
27/04/2012 13.00,
27/04/2012 14.00,"19,43073"
27/04/2012 15.00,
27/04/2012 16.00,"16,84878"
27/04/2012 17.00,
27/04/2012 18.00,"12,73572"
27/04/2012 19.00,
27/04/2012 20.00,"13,56973"
27/04/2012 21.00,
27/04/2012 22.00,"18,93738"
27/04/2012 23.00,
28/04/2012 0.00,"18,93738"
28/04/2012 1.00,
28/04/2012 2.00,"12,65364"
28/04/2012 3.00,
28/04/2012 4.00,"10,19095"
28/04/2012 5.00,
28/04/2012 6.00,"17,77166"
28/04/2012 7.00,
28/04/2012 8.00,"15,26014"
28/04/2012 9.00,
28/04/2012 10.00,"19,72324"
28/04/2012 11.00,
28/04/2012 12.00,"20,2001"
28/04/2012 13.00,
28/04/2012 14.00,"19,63437"
28/04/2012 15.00,
28/04/2012 16.00,"31,8549"
28/04/2012 17.00,
28/04/2012 18.00,"32,69535"
28/04/2012 19.00,
28/04/2012 20.00,"35,05596"
28/04/2012 21.00,
28/04/2012 22.00,"37,49966"
28/04/2012 23.00,
29/04/2012 0.00,"43,23971"
29/04/2012 1.00,
29/04/2012 2.00,"38,46493"
29/04/2012 3.00,
29/04/2012 4.00,"32,51565"
29/04/2012 5.00,
29/04/2012 6.00,"27,11301"
29/04/2012 7.00,
29/04/2012 8.00,"25,05262"
29/04/2012 9.00,
29/04/2012 10.00,"25,68714"
29/04/2012 11.00,
29/04/2012 12.00,"21,14386"
29/04/2012 13.00,
29/04/2012 14.00,"19,96158"
29/04/2012 15.00,
29/04/2012 16.00,"22,71538"
29/04/2012 17.00,
29/04/2012 18.00,"20,188"
29/04/2012 19.00,
29/04/2012 20.00,"27,51119"
29/04/2012 21.00,
29/04/2012 22.00,"28,86141"
29/04/2012 23.00,
30/04/2012 0.00,"31,22032"
30/04/2012 1.00,
30/04/2012 2.00,"28,44831"
30/04/2012 3.00,
30/04/2012 4.00,"19,20194"
30/04/2012 5.00,
30/04/2012 6.00,"22,37653"
30/04/2012 7.00,
30/04/2012 8.00,"30,60168"
30/04/2012 9.00,
30/04/2012 10.00,"34,17174"
30/04/2012 11.00,
30/04/2012 12.00,"34,33047"
30/04/2012 13.00,
30/04/2012 14.00,"40,10141"
30/04/2012 15.00,
30/04/2012 16.00,"37,12284"
30/04/2012 17.00,
30/04/2012 18.00,"38,3418"
30/04/2012 19.00,
30/04/2012 20.00,"27,13607"
30/04/2012 21.00,
30/04/2012 22.00,"37,30667"
30/04/2012 23.00,
01/05/2012 0.00,"42,73537"
01/05/2012 1.00,
01/05/2012 2.00,"40,56234"
01/05/2012 3.00,
01/05/2012 4.00,"40,56234"
01/05/2012 5.00,
01/05/2012 6.00,"34,40644"
01/05/2012 7.00,
01/05/2012 8.00,"40,77737"
01/05/2012 9.00,
01/05/2012 10.00,"51,02156"
01/05/2012 11.00,
01/05/2012 12.00,"37,90597"
01/05/2012 13.00,
01/05/2012 14.00,"23,21326"
01/05/2012 15.00,
01/05/2012 16.00,"22,83204"
01/05/2012 17.00,
01/05/2012 18.00,"29,3312"
01/05/2012 19.00,
01/05/2012 20.00,"29,20566"
01/05/2012 21.00,
01/05/2012 22.00,"29,8382"
01/05/2012 23.00,
02/05/2012 0.00,"37,81881"
02/05/2012 1.00,
02/05/2012 2.00,"40,97748"
02/05/2012 3.00,
02/05/2012 4.00,"38,54904"
02/05/2012 5.00,
02/05/2012 6.00,"33,3703"
02/05/2012 7.00,
02/05/2012 8.00,"41,06803"
02/05/2012 9.00,
02/05/2012 10.00,"41,61525"
02/05/2012 11.00,
02/05/2012 12.00,"33,1551"
02/05/2012 13.00,
02/05/2012 14.00,"27,48259"
02/05/2012 15.00,
02/05/2012 16.00,"24,7976"
02/05/2012 17.00,
02/05/2012 18.00,"32,19448"
02/05/2012 19.00,
02/05/2012 20.00,"44,06084"
02/05/2012 21.00,
02/05/2012 22.00,"38,74914"
02/05/2012 23.00,
03/05/2012 0.00,"47,15811"
03/05/2012 1.00,
03/05/2012 2.00,"35,49688"
03/05/2012 3.00,
03/05/2012 4.00,"27,92555"
03/05/2012 5.00,
03/05/2012 6.00,"27,01298"
03/05/2012 7.00,
03/05/2012 8.00,"17,26713"
03/05/2012 9.00,
03/05/2012 10.00,"13,19363"
03/05/2012 11.00,
03/05/2012 12.00,"10,55638"
03/05/2012 13.00,
03/05/2012 14.00,"12,4289"
03/05/2012 15.00,
03/05/2012 16.00,"18,02874"
03/05/2012 17.00,
03/05/2012 18.00,"16,58901"
03/05/2012 19.00,
03/05/2012 20.00,"21,97971"
03/05/2012 21.00,
03/05/2012 22.00,"34,05575"
03/05/2012 23.00,
04/05/2012 0.00,"25,86554"
04/05/2012 1.00,
04/05/2012 2.00,"14,74134"
04/05/2012 3.00,
04/05/2012 4.00,"9,248406"
04/05/2012 5.00,
04/05/2012 6.00,"11,70601"
04/05/2012 7.00,
04/05/2012 8.00,"11,70601"
04/05/2012 9.00,
04/05/2012 10.00,"10,02511"
04/05/2012 11.00,
04/05/2012 12.00,"12,26461"
04/05/2012 13.00,
04/05/2012 14.00,"13,98826"
04/05/2012 15.00,
04/05/2012 16.00,"15,73932"
04/05/2012 17.00,
04/05/2012 18.00,"22,47357"
04/05/2012 19.00,
04/05/2012 20.00,"16,60425"
04/05/2012 21.00,
04/05/2012 22.00,"18,2231"
04/05/2012 23.00,
05/05/2012 0.00,"28,60127"
05/05/2012 1.00,
05/05/2012 2.00,"22,78388"
05/05/2012 3.00,
05/05/2012 4.00,"16,36955"
05/05/2012 5.00,
05/05/2012 6.00,"11,37294"
05/05/2012 7.00,
05/05/2012 8.00,"10,63661"
05/05/2012 9.00,
05/05/2012 10.00,"19,18215"
05/05/2012 11.00,
05/05/2012 12.00,"19,07814"
05/05/2012 13.00,
05/05/2012 14.00,"11,71313"
05/05/2012 15.00,
05/05/2012 16.00,"7,998576"
05/05/2012 17.00,
05/05/2012 18.00,"15,01644"
