"NetC","Provincia di TARANTO","","","","","",""
"Stat","MANDURIA","","","","","",""
,NO2,NOX,CO,O3,PM10
04/01/2012 18.00,"70,427714","145,112863","1,823855","11,240502","27,59462"
04/01/2012 19.00,"75,021622","156,1377","1,867515","7,569543",
04/01/2012 20.00,"47,028372","91,659444","1,0296","16,808629","52,503052"
04/01/2012 21.00,"49,389216","96,214593","0,891137","16,334009",
04/01/2012 22.00,"35,529222","58,831951","0,716267","21,225064","65,68985"
04/01/2012 23.00,"36,34689","53,522137","0,804143","19,229784",
05/01/2012 0.00,"25,412315","35,497294","0,563164","28,438446","52,014641"
05/01/2012 1.00,"19,146193","29,488584","0,558298","23,971221",
05/01/2012 2.00,,,"0,738342","2,912702","32,96703"
05/01/2012 3.00,"23,09172","39,012544",,"8,04006",
05/01/2012 4.00,"13,442056","20,562393","0,598211",,"25,15262"
05/01/2012 5.00,"15,451168","21,012325","0,476626","17,450478",
05/01/2012 6.00,"21,535582","30,345676","0,475001","20,260263","17,826611"
05/01/2012 7.00,"43,807073","122,080318","0,941609","5,266156",
05/01/2012 8.00,"49,792856","125,194889","1,048373","3,065717","18,80341"
05/01/2012 9.00,"50,789621","113,955485","1,107881","7,199155",
05/01/2012 10.00,"41,106201","84,316467","0,925313","15,977882","28,81562"
05/01/2012 11.00,"31,460409","66,111396","0,755827","34,187339",
05/01/2012 12.00,"27,778339","57,500282","0,630008","46,449526","33,699631"
05/01/2012 13.00,"29,326713","60,463154","0,661462","48,073116",
05/01/2012 14.00,"29,347458","53,312085","0,614468","49,348678","21,24542"
05/01/2012 15.00,"20,410332","35,882408","0,475529","54,869422",
05/01/2012 16.00,"20,778239","34,462347","0,547612","54,274732","14,16361"
05/01/2012 17.00,"18,577736","32,616118","0,543279","51,689274",
05/01/2012 18.00,"19,0255","33,269641","0,607361","54,541044","17,094"
05/01/2012 19.00,"27,147569","48,443139","0,667284","47,264702",
05/01/2012 20.00,"26,939906","53,105914","0,519877","47,267415","18,55921"
05/01/2012 21.00,"22,446687","44,16934","0,488612","50,960761",
05/01/2012 22.00,"11,155202","20,354921","0,457572","58,316304","12,21001"
05/01/2012 23.00,"11,316141","19,182751","0,54566","56,736066",
06/01/2012 0.00,"8,578935","16,410503","0,429671","65,799171","12,21001"
06/01/2012 1.00,"11,711988","21,510247","0,462827","62,811298",
06/01/2012 2.00,,,"0,39901","66,877028","6,105006"
06/01/2012 3.00,"5,521974","11,932006",,"67,802131",
06/01/2012 4.00,"5,51985","11,131809","0,272811",,"3,418803"
06/01/2012 5.00,"4,451702","10,549609","0,28408","64,052351",
06/01/2012 6.00,"5,800191","11,707523","0,244297","53,907991","3,174603"
06/01/2012 7.00,"9,802827","16,926572","0,301437","40,339759",
06/01/2012 8.00,"8,824233","18,43718","0,318305","53,186239","2,686203"
06/01/2012 9.00,"9,029295","17,563232","0,373668","57,728638",
06/01/2012 10.00,"11,493956","23,627693","0,444499","55,679175","7,570208"
06/01/2012 11.00,"14,253229","34,685592","0,453689","45,035848",
06/01/2012 12.00,"15,478417","47,635318","0,519074","26,430957","5,372406"
06/01/2012 13.00,"20,312974","49,796853","0,6087","41,625496",
06/01/2012 14.00,"13,152636","30,510357","0,486249","48,836842","3,907204"
06/01/2012 15.00,"10,577656","21,756608","0,523913","54,314234",
06/01/2012 16.00,"13,095523","27,00937","0,539721","47,884209","12,69841"
06/01/2012 17.00,"15,753564","31,699391","0,626738","47,329698",
06/01/2012 18.00,"17,634187","34,286193","0,663079","50,957367","9,523809"
06/01/2012 19.00,"18,986563","38,709108","0,667164","47,605268",
06/01/2012 20.00,"17,208484","36,980679","0,614977","46,014855","20,757021"
06/01/2012 21.00,"17,632883","36,503482","0,615695","45,932941",
06/01/2012 22.00,"13,349909","29,797199","0,538851","44,739293","18,07081"
06/01/2012 23.00,"8,656807","22,264914","0,449339","44,335744",
07/01/2012 0.00,"7,340764","18,610932","0,382253","49,092081","17,094"
07/01/2012 1.00,"6,320638","17,035492","0,331123","47,274858",
07/01/2012 2.00,,,"0,328818","50,520683","9,523809"
07/01/2012 3.00,"7,487424","16,235454",,"51,139512",
07/01/2012 4.00,"6,250552","14,897304","0,306497",,"5,128205"
07/01/2012 5.00,"5,784616","13,975379","0,284429","50,725149",
07/01/2012 6.00,"6,135042","14,549799","0,313753","50,824003","5,860806"
07/01/2012 7.00,"8,283021","19,659928","0,362197","47,702086",
07/01/2012 8.00,"11,296673","26,239158","0,370245","46,799567","7,570208"
07/01/2012 9.00,"13,827528","32,878024","0,465962","45,017553",
07/01/2012 10.00,"18,66729","45,209276","0,505828","43,488765","9,76801"
07/01/2012 11.00,"19,856138","50,465919","0,496382","46,24845",
07/01/2012 12.00,"21,991136","52,069877","0,517694","49,011503","12,94261"
07/01/2012 13.00,"21,407076","50,481484","0,559827","52,010886",
07/01/2012 14.00,"16,47129","34,666147","0,45542","57,425318","10,74481"
07/01/2012 15.00,"11,869032","24,872481","0,457952","58,815993",
07/01/2012 16.00,"16,812628","32,587592","0,597502","56,772634","15,14041"
07/01/2012 17.00,"26,17547","50,047097","0,701343","50,830088",
07/01/2012 18.00,"32,880281","64,004334","0,822265","45,691226","20,757021"
07/01/2012 19.00,"45,679895","81,637563","1,018572","37,528605",
07/01/2012 20.00,"50,402843","81,854113","1,272771","32,615199","24,42001"
07/01/2012 21.00,"47,483944","76,772497","1,050692","30,773614",
07/01/2012 22.00,"36,185958","55,701815","0,902941","32,026175","38,339432"
07/01/2012 23.00,"29,897772","42,788416","1,014642","34,550907",
08/01/2012 0.00,"17,669228","28,645755","0,711735","32,342361","41,025631"
08/01/2012 1.00,"15,930077","24,969724","0,575547","32,729632",
08/01/2012 2.00,,,"0,518865","35,905712","35,89743"
08/01/2012 3.00,"11,951007","19,005672",,"39,563605",
08/01/2012 4.00,"9,37453","16,092822","0,4053",,"23,44322"
08/01/2012 5.00,"12,736019","19,487467","0,417388","35,805503",
08/01/2012 6.00,"13,198054","19,694938","0,465633","37,351905","15,14041"
08/01/2012 7.00,"11,631529","19,962044","0,453391","40,180657",
08/01/2012 8.00,"13,644527","22,774501","0,441643","39,3174","12,21001"
08/01/2012 9.00,"18,734779","29,868499","0,567251","36,48797",
08/01/2012 10.00,"24,878905","41,935207","0,723768","39,701298","9,035409"
08/01/2012 11.00,"17,601739","32,437174","0,592761","51,12054",
08/01/2012 12.00,"26,973672","53,089029","0,669517","47,419077","16,11721"
08/01/2012 13.00,"36,35857","81,226519","0,72791","42,61671",
08/01/2012 14.00,"25,674487","47,986706","0,602569","49,079235","16,84981"
08/01/2012 15.00,"21,290291","36,686327","0,660241","47,380474",
08/01/2012 16.00,"24,214389","42,011707","0,708751","48,902496","17,3382"
08/01/2012 17.00,"37,613608","71,351191","0,815008","38,020829",
08/01/2012 18.00,"58,81306","114,89816","1,253724","23,483046","21,97802"
08/01/2012 19.00,"42,736314","71,185194","1,085955","35,144699",
08/01/2012 20.00,"40,889439","62,8101","1,221181","35,868463","32,96703"
08/01/2012 21.00,"40,474132","61,775364","1,291703","30,203542",
08/01/2012 22.00,"31,420162","45,550282","1,050524","30,89074","36,630032"
08/01/2012 23.00,"34,533759","50,539837","1,079568","19,429521",
09/01/2012 0.00,"24,764682","35,410429","0,979127","23,42551","44,688641"
09/01/2012 1.00,"16,254549","24,055598","0,635683","27,338223",
09/01/2012 2.00,,,"0,50958","33,360649","41,26984"
09/01/2012 3.00,"9,591274","16,26009",,"38,378994",
09/01/2012 4.00,"8,359594","14,783198","0,385094",,"22,46641"
09/01/2012 5.00,"8,516637","15,074946","0,404895","36,926712",
09/01/2012 6.00,"15,516054","23,208868","0,512827","28,467553","12,94261"
09/01/2012 7.00,"31,980858","53,795745","0,62015","22,075452",
09/01/2012 8.00,"49,556628","84,357975","0,912666","12,879665","11,96581"
09/01/2012 9.00,"44,280791","93,50068","1,11633","19,292754",
09/01/2012 10.00,"19,141013","36,852307","0,540227","41,432521","14,16361"
09/01/2012 11.00,"21,257825","42,206215","0,549729","42,364842",
09/01/2012 12.00,"23,268237","47,792216","0,554744","46,972214","11,96581"
09/01/2012 13.00,"28,886724","62,773806","0,75172","47,54432",
09/01/2012 14.00,"34,890691","71,132059","0,801694","46,269435","10,98901"
09/01/2012 15.00,"25,578448","50,394601","0,796146","48,407578",
09/01/2012 16.00,"30,182009","58,192713","0,818302","46,450203","9,76801"
09/01/2012 17.00,"39,27879","68,930332","0,963706","38,17995",
09/01/2012 18.00,"53,233499","93,575915","1,427771","26,204824","29,79241"
09/01/2012 19.00,"69,236273","145,385151","1,696499","14,084824",
09/01/2012 20.00,"64,745636","119,027984","1,9539","22,378773","40,04884"
09/01/2012 21.00,"74,387522","153,840666","2,028084","12,388796",
09/01/2012 22.00,"60,836453","112,636777","2,310491","20,24943","59,096451"
09/01/2012 23.00,"26,235163","41,648637","0,996313","18,319142",
10/01/2012 0.00,"22,035264","34,584447","0,917797","19,357748","80,830269"
10/01/2012 1.00,"14,210397","22,944362","0,675103","27,007133",
10/01/2012 2.00,,,"0,489415","28,679482","55,921841"
