"NetC","Provincia di TARANTO","","","","","",""
"Stat","Massafra (TA) Via Frappietro","","","","","",""
,SO2,NO2,NOX,O3,BENZENE
04/03/2012 13.00,"0,076758","11,560795","13,85104","124,954448","1,843312"
04/03/2012 14.00,"0,00903","10,287575","11,900391","134,398316","2,160261"
04/03/2012 15.00,"0,140874","11,592591","13,552738","131,62446","1,80431"
04/03/2012 16.00,"3,03871","21,491453","24,927851","116,49314","2,097867"
04/03/2012 17.00,"2,462574","20,651722","23,831894","111,596751","1,768868"
04/03/2012 18.00,"0,315159","21,568028","24,807874","95,347635","1,833854"
04/03/2012 19.00,"0,005419","25,738101","30,629321","76,214747","2,033491"
04/03/2012 20.00,"1,491813","63,471784","93,071533","33,305965","3,924908"
04/03/2012 21.00,"1,977645","58,673543","77,073982","35,722508","4,552753"
04/03/2012 22.00,"1,701317","50,733809","68,659881","36,804879","3,948808"
04/03/2012 23.00,"0,300711","35,586984","43,443449","52,8115","3,328336"
05/03/2012 0.00,"0,237498","25,000241","29,692919","57,566824","2,085409"
05/03/2012 1.00,"0,009933","10,58739","11,835541","70,960871","1,5225"
05/03/2012 2.00,,"6,894297","7,695599","73,977336","1,23657"
05/03/2012 3.00,,"6,388127","7,122335","77,760153","1,13248"
05/03/2012 4.00,,"8,021497","9,094385","74,236726","1,413884"
05/03/2012 5.00,,"7,253809","8,177425","73,61991","1,431173"
05/03/2012 6.00,,"11,098098","12,170161","68,222419","1,245011"
05/03/2012 7.00,,"12,744451","13,823803","58,955921","1,409053"
05/03/2012 8.00,,"22,128053","24,836401","58,266448","1,572841"
05/03/2012 9.00,,"24,873054","31,605951","54,2724","1,881552"
05/03/2012 10.00,,"14,9411","18,651791","70,385477","1,338524"
05/03/2012 11.00,,"16,13384","20,649771","84,726709","1,579503"
05/03/2012 12.00,,"10,013733","12,841346","102,886975","1,222841"
05/03/2012 13.00,,"16,1929","19,950706","101,751401","1,123429"
05/03/2012 14.00,,"28,429222","35,751742","81,538723","2,168803"
05/03/2012 15.00,,"24,748468","30,740867","77,639316","1,641184"
05/03/2012 16.00,,"16,845074","19,923461","89,973805","1,759918"
05/03/2012 17.00,,"26,566781","32,280392","82,294945","1,956606"
05/03/2012 18.00,"0,025285","45,237306","56,162876","49,959806","3,645589"
05/03/2012 19.00,"0,093013","37,049051","46,405749","48,868143","3,861854"
05/03/2012 20.00,"1,346424","52,689057","73,702513","31,545119","5,507665"
05/03/2012 21.00,"1,405121","48,193869","64,836399","33,400611","5,522106"
05/03/2012 22.00,"0,58607","34,614884","43,844223","50,871503","3,320403"
05/03/2012 23.00,"0,093013","18,478449","21,507075","62,497087","2,131683"
06/03/2012 0.00,,"20,60306","23,710635","52,079775","1,661625"
06/03/2012 1.00,,"18,819145","21,78982","41,708947","1,687101"
06/03/2012 2.00,,"17,662089","19,959138","41,215482","1,58774"
06/03/2012 3.00,,,,"39,917656","2,030084"
06/03/2012 4.00,,"12,102008","13,629906",,"1,837719"
06/03/2012 5.00,,"9,205159","10,361529","59,847325","1,695034"
06/03/2012 6.00,,"12,046196","13,522904","72,522341","1,460005"
06/03/2012 7.00,,"50,846081","70,09302","43,537383","2,376068"
06/03/2012 8.00,"0,549045","60,249146","86,864857","37,922736","2,968165"
06/03/2012 9.00,"2,40478","51,112787","80,887734","43,693711","5,520835"
06/03/2012 10.00,"0,6249","34,911438","52,644836","65,277795","2,666625"
06/03/2012 11.00,"0,360311","19,102726","28,495166","81,70602","2,071781"
06/03/2012 12.00,"0,039733","18,836661","26,829202","90,124185","1,690051"
06/03/2012 13.00,"0,117394","24,714722","37,022133","88,885506","1,673931"
06/03/2012 14.00,,"17,68286","26,328583","93,28259",
06/03/2012 15.00,,"15,933323","21,649098","95,472703",
06/03/2012 16.00,,"26,17937","36,471572","84,212959",
06/03/2012 17.00,,"26,404547","33,861404","82,477448",
06/03/2012 18.00,"0,554463","43,731149","56,773111","56,197194",
06/03/2012 19.00,"0,295292","47,515741","63,438919","40,705979",
06/03/2012 20.00,"0,013545","26,884115","31,543047","62,193747",
06/03/2012 21.00,,"19,499875","23,018701","75,117157",
06/03/2012 22.00,,"15,503724","18,031838","80,496055",
06/03/2012 23.00,"0,084885","11,160399","12,542393","75,325854",
07/03/2012 0.00,"0,05057","11,647102","12,872472","71,765259",
07/03/2012 1.00,,"7,069509","7,88755","77,106989",
07/03/2012 2.00,"0,000903","3,93385","4,551084","84,42168",
07/03/2012 3.00,,"2,726107","3,204676","88,789989","1,749952"
07/03/2012 4.00,,"2,589903","3,158783","87,849627","0,816397"
07/03/2012 5.00,,"3,041564","3,532959","87,757496","0,790412"
07/03/2012 6.00,"0,000903","10,509514","11,087837","77,384157","0,854738"
07/03/2012 7.00,,"12,817128","14,226515","71,550656","1,026255"
07/03/2012 8.00,,"17,553066","22,145835","67,615754","1,243537"
07/03/2012 9.00,,"16,675703","21,522637","75,025909","1,730985"
07/03/2012 10.00,,"9,59971","12,637071","85,158473","1,252537"
07/03/2012 11.00,,"8,991658","12,075482","90,659883","1,257419"
07/03/2012 12.00,,"8,480945","10,596282","96,739266","1,264436"
07/03/2012 13.00,,"9,989074","12,532016","96,337076","1,401934"
07/03/2012 14.00,,"9,586731","11,577445","97,421973","1,478972"
07/03/2012 15.00,,"11,029967","12,828376","99,042575","1,551891"
07/03/2012 16.00,"0,004515","16,769803","19,312595","90,616793","1,901383"
07/03/2012 17.00,"0,009933","13,922267","15,808823","97,025688","1,850177"
07/03/2012 18.00,,"17,932689","20,422798","90,407258","2,171346"
07/03/2012 19.00,"0,014449","21,625121","25,368167","87,600351","2,102546"
07/03/2012 20.00,,"21,165036","24,570518","82,226498","2,412629"
07/03/2012 21.00,,"22,149467","26,048437","79,739848","2,470039"
07/03/2012 22.00,"0,03883","16,128652","18,551277","82,73263","2,219602"
07/03/2012 23.00,"0,570718","9,733391","11,315455","86,582204","1,599182"
08/03/2012 0.00,"0,698948","5,759309","6,566582","89,972945","1,344423"
08/03/2012 1.00,"0,632123","4,372532","5,046529","91,274165","1,152668"
08/03/2012 2.00,,"3,34786","3,85785","94,223035","0,975201"
08/03/2012 3.00,"0,329608",,,"95,690693","0,879196"
08/03/2012 4.00,"0,202279","3,410159","3,773548",,"0,862823"
08/03/2012 5.00,"0,234789","3,399775","3,876008","93,896035",
08/03/2012 6.00,"0,167062","6,47768","7,483543","86,022846",
08/03/2012 7.00,"0,026188","17,679605","21,083604","73,173785",
08/03/2012 8.00,"0,013545","22,001516","26,467356","71,299705",
08/03/2012 9.00,"0,56259","22,349998","28,290257","72,232525",
08/03/2012 10.00,"1,061066","16,627683","21,267137","80,704776",
08/03/2012 11.00,"0,828985","9,898871","13,753119","88,960703",
08/03/2012 12.00,"0,959022","10,658765","15,875617","92,234017",
08/03/2012 13.00,"1,460207","14,669196","22,018075","82,687006",
08/03/2012 14.00,"1,463819","12,176627","17,398267","84,281406",
08/03/2012 15.00,"1,164011","11,641904","15,674586","88,226444",
08/03/2012 16.00,"1,133308","20,102729","24,953779","77,614818",
08/03/2012 17.00,"1,667904","32,648604","43,713863","75,08759",
08/03/2012 18.00,"2,119421","45,9492","60,475966","61,860841",
08/03/2012 19.00,"2,930346","56,46392","74,702472","51,039642",
08/03/2012 20.00,"3,082056","49,916791","66,024419","53,544902",
08/03/2012 21.00,"3,490227","51,217907","73,251798","49,713087",
08/03/2012 22.00,"2,422841","30,63043","37,40084","64,540987",
08/03/2012 23.00,"1,499037","28,385742","33,55338","61,457791",
09/03/2012 0.00,"0,831694","20,995671","23,938258","66,054292",
09/03/2012 1.00,"0,416299","15,957979","18,187474","66,571398",
09/03/2012 2.00,"0,56259","9,616583","10,642974","71,902976",
09/03/2012 3.00,"0,161643","7,010457","7,650204","65,363122",
09/03/2012 4.00,"0,016255","4,205755","4,758599","63,76365",
09/03/2012 5.00,,"5,015625","5,526408","64,345813",
09/03/2012 6.00,,"7,095466","7,7598","61,681709",
09/03/2012 7.00,,"11,326527","12,706459","57,145201",
09/03/2012 8.00,"0,08037","24,357808","30,629992","50,249622",
09/03/2012 9.00,"0,44068","20,076114","25,063376","54,994828",
09/03/2012 10.00,,,,,"1,288234"
09/03/2012 11.00,"2,18842","20,616025","26,996522","61,817748","1,583876"
09/03/2012 12.00,"1,951883","23,606986","28,241615","68,77078","1,849059"
09/03/2012 13.00,"1,674719","22,446687","26,838934","70,720918","2,050221"
09/03/2012 14.00,"2,332871","27,477886","34,957345","57,582882","2,822836"
09/03/2012 15.00,"2,167656","20,383066","25,900583","65,189919","2,700643"
09/03/2012 16.00,"1,673816","17,603681","22,020675","72,462349","1,806802"
09/03/2012 17.00,"2,003343","23,666047","28,283125","70,336459","2,185838"
09/03/2012 18.00,"2,024109","23,046941","28,371306","67,155254","2,395289"
09/03/2012 19.00,"1,989801","21,71923","25,798768","68,820636","2,843125"
09/03/2012 20.00,"2,292244","21,090411","25,033548","72,341513","2,548805"
09/03/2012 21.00,"2,058415","18,72894","22,261261","70,756405","2,338693"
09/03/2012 22.00,"1,880561","18,400572","21,74701","69,7129","2,638708"
09/03/2012 23.00,"2,195643","12,03646","13,59813","79,461851","2,045339"
10/03/2012 0.00,"1,786669","10,516003","11,760966","80,602531","1,604521"
10/03/2012 1.00,"2,059318","8,986467","9,882946","80,819684","1,482328"
10/03/2012 2.00,,"7,036414","7,868745","84,103134","1,391002"
10/03/2012 3.00,"2,177586",,,"90,136034","1,387442"
10/03/2012 4.00,"2,02772","5,316733","5,897992",,"1,453242"
10/03/2012 5.00,"1,654857","4,153191","4,600369","75,55991","1,29698"
10/03/2012 6.00,"2,367177","4,707382","5,302682","96,859243","1,506584"
10/03/2012 7.00,"2,990119","6,45951","7,455658","100,845696","1,707594"
10/03/2012 8.00,"2,326551","10,512108","14,181768","91,667915","1,62481"
10/03/2012 9.00,"2,464681","12,863858","16,400893","81,359591","1,625217"
10/03/2012 10.00,"4,044605","12,247364","15,980025","81,542094","1,557383"
10/03/2012 11.00,"4,099676","10,78272","14,04818","83,760914","1,527381"
10/03/2012 12.00,"4,031965","7,958551","10,319379","85,381531","1,569638"
10/03/2012 13.00,"3,18964","9,060446","11,328426","87,746522","1,563587"
10/03/2012 14.00,"3,632019","15,250639","21,068041","81,968805","1,946233"
10/03/2012 15.00,"2,225436","7,557509","9,12227","90,069284","1,670626"
10/03/2012 16.00,"2,839349","8,285615","10,006807","92,023645","1,632692"
10/03/2012 17.00,"3,45868","8,405019","10,208487","92,288103","1,84016"
10/03/2012 18.00,"3,863139","10,815166","13,078692","91,497246","1,855872"
10/03/2012 19.00,"3,597713","25,369505","36,059784","81,425504","2,212026"
10/03/2012 20.00,"2,149599","30,718669","45,332467","74,992111","3,480632"
10/03/2012 21.00,"1,073446","16,45117","20,398153","89,553875","2,337371"
10/03/2012 22.00,"0,950663","11,582858","13,667519","91,531873","2,266079"
10/03/2012 23.00,"4,031965","13,730182","17,240035","90,857606","1,908197"
11/03/2012 0.00,"4,098774","9,751563","11,006775","95,02995","1,606046"
11/03/2012 1.00,"3,028037","7,103902","7,901818","96,626884","1,549399"
11/03/2012 2.00,"2,372595","6,858606","7,556822","90,373461","1,374882"
11/03/2012 3.00,"2,575727","6,005253","6,674231","90,257708","1,402596"
11/03/2012 4.00,"2,806848","6,186308","7,3519","86,457136","1,528805"
11/03/2012 5.00,"2,944979","5,936467","6,74362","86,889752","1,659642"
11/03/2012 6.00,"2,886296","5,499734","6,303296","88,645552","1,680491"
11/03/2012 7.00,"2,755387","7,279116","8,557439","85,668813","1,714408"
11/03/2012 8.00,"2,548643","13,329138","15,064361","75,255733","1,749545"
11/03/2012 9.00,"2,410513","13,910591","15,671993","69,876811","2,450004"
11/03/2012 10.00,"3,953421","13,087741","15,266041","81,854734","2,170481"
11/03/2012 11.00,"5,643488","7,665233","9,56","103,193731","1,616776"
11/03/2012 12.00,"5,305836","7,776201","9,831716","107,685472","1,630098"
11/03/2012 13.00,"4,763245","9,691211","12,438634","108,292068","1,862686"
11/03/2012 14.00,"4,530319","8,961808","11,041146","109,612725","2,178516"
11/03/2012 15.00,"3,774663","6,604222","7,956291","107,768288","2,108088"
11/03/2012 16.00,"4,230584","7,547777","8,888815","111,732687","1,88084"
11/03/2012 17.00,"3,82161","8,793734","10,219512","110,729783","1,935809"
11/03/2012 18.00,"4,102386","11,357022","13,210335","112,628345","2,175922"
11/03/2012 19.00,"4,42469","12,248014","13,888653","114,439921","2,143022"
11/03/2012 20.00,"3,951615","17,488822","19,844991","106,007396","2,254028"
11/03/2012 21.00,"2,586561","20,739329","23,663293","93,045163","2,754138"
11/03/2012 22.00,"1,417417","10,926134","12,666902","96,994425","1,890857"
11/03/2012 23.00,"3,23749","10,039042","11,822572","90,185874","1,647642"
12/03/2012 0.00,"4,169193","7,840447","8,872603","82,513795","1,419681"
12/03/2012 1.00,"4,196278","4,392","5,095813","86,996221","0,987914"
12/03/2012 2.00,,"4,869617","5,658699","85,275078","0,973676"
12/03/2012 3.00,"2,847475",,,"85,667976","1,051629"
12/03/2012 4.00,"2,543226","2,664533","3,147758",,"0,821278"
12/03/2012 5.00,"2,491766","2,312809","2,807302","104,013294","0,764682"
12/03/2012 6.00,"2,545934","2,996786","3,565383","99,720213","0,827787"
12/03/2012 7.00,"1,435474","4,120742","5,019941","96,746869","0,983897"
12/03/2012 8.00,"1,619648","6,178521","7,737102","95,60198","1,01822"
12/03/2012 9.00,"2,03404","7,492615","9,886837","92,99447","1,19228"
12/03/2012 10.00,"2,428569","6,290137","8,509451","92,010958","1,123632"
12/03/2012 11.00,"2,787889","5,173967","6,728704","93,428761","1,042171"
12/03/2012 12.00,"2,253423","5,037692","7,112609","96,462121","1,1097"
12/03/2012 13.00,"3,073178","5,140871","7,41221","98,509411","1,118598"
12/03/2012 14.00,"3,808971","5,482212","7,87069","99,389842","1,22757"
12/03/2012 15.00,"3,536322","4,64833","6,269576","101,361105","1,226044"
12/03/2012 16.00,"3,985923","6,424467","8,425147","101,432087","1,221722"
12/03/2012 17.00,"4,315449","8,173999","10,462695","101,440527","1,46326"
12/03/2012 18.00,"4,033772","11,184406","13,990465","97,263115","1,73312"
12/03/2012 19.00,"3,031648","14,006633","17,107095","92,9125","2,124513"
12/03/2012 20.00,"3,318743","13,399232","16,524753","94,410599","2,023881"
12/03/2012 21.00,"4,304616","15,374593","18,869681","91,589331","2,071324"
12/03/2012 22.00,"4,486082","15,074779","18,300961","85,568266","1,889789"
12/03/2012 23.00,"5,72113","16,351883","19,101193","79,139074","2,04717"
13/03/2012 0.00,"8,20477","6,151265","7,152167","89,328259","1,650693"
13/03/2012 1.00,"8,747362","4,057797","4,806588","93,42539","0,987914"
13/03/2012 2.00,"7,313694","3,332935","3,800136","95,189652","0,89618"
13/03/2012 3.00,"5,790647","3,89232","4,562108","93,957716","0,921656"
13/03/2012 4.00,"4,677478","3,375766","3,840342","94,519586","0,890333"
13/03/2012 5.00,"4,188153","3,441957","3,830613","96,66661","0,862721"
13/03/2012 6.00,"5,013325","3,992254","4,492072","96,259329","0,890638"
13/03/2012 7.00,"6,067811","8,069519","9,441326","89,358685","1,06963"
13/03/2012 8.00,"5,889956","12,414792","15,514411","82,714898","1,160397"
13/03/2012 9.00,"5,994683","9,828784","13,535875","86,900727","1,351796"
13/03/2012 10.00,"6,526441","7,748945","10,875132","91,585945","1,262453"
13/03/2012 11.00,"6,299834","6,868988","9,691643","95,72449","1,158261"
13/03/2012 12.00,"6,508384","6,301818","8,752633","100,323506","1,054832"
13/03/2012 13.00,"6,398241","6,688585","9,146265","102,783101","0,951759"
13/03/2012 14.00,"6,021768","6,439392","8,992573","104,734045","1,265351"
13/03/2012 15.00,"5,33924","4,818349","6,662559","108,177198","1,090885"
13/03/2012 16.00,"6,158092","5,719723","7,461496","109,660145","1,093885"
13/03/2012 17.00,"6,500259","6,645106","8,48416","107,832504","1,206365"
13/03/2012 18.00,"6,849647","11,777537","13,89449","101,839307","1,529059"
13/03/2012 19.00,"6,122883","21,043031","25,181402","85,94933","2,129903"
13/03/2012 20.00,"5,154163","29,757601","35,234239","63,112202","3,012608"
13/03/2012 21.00,"5,681406","31,431194","37,439099","54,085665","3,263553"
13/03/2012 22.00,"5,487302","32,498051","39,337869","42,311376","3,329454"
13/03/2012 23.00,"2,38072","21,796456","25,557531","48,627326","2,643081"
14/03/2012 0.00,"2,051192","17,387589","19,84176","48,904471","1,973082"
14/03/2012 1.00,"1,31901","13,10136","14,76411","45,992789","1,517059"
14/03/2012 2.00,,"10,906663","12,143574","50,805586","1,415003"
14/03/2012 3.00,"0,809824",,,"57,659769","1,175754"
14/03/2012 4.00,"0,985873","3,878691","4,551084",,"0,93864"
14/03/2012 5.00,"0,910939","5,315435","6,023798","59,575268","0,946929"
14/03/2012 6.00,"0,853159","6,797605","7,702733","58,629776","0,963811"
14/03/2012 7.00,"0,826978","14,734094","18,094093","41,452928","1,312032"
14/03/2012 8.00,"1,500477","18,960603","25,965419","40,39843","1,604216"
14/03/2012 9.00,"2,225436","13,143543","18,813914","53,805149","1,875195"
14/03/2012 10.00,"3,533613","8,877444","12,431502","64,236825","1,696814"
14/03/2012 11.00,"3,203183","9,869669","12,955478","70,006088","1,790225"
14/03/2012 12.00,"2,9838","7,998137","10,868647","77,225292","1,176872"
14/03/2012 13.00,"2,847475","8,596457","11,683148","82,340577","1,148447"
14/03/2012 14.00,"2,907963","9,115605","12,33747","85,173671","1,231434"
14/03/2012 15.00,"2,262452","6,586052","8,544468","88,397974","1,096021"
14/03/2012 16.00,"1,754167","8,088987","10,722739","87,667086","1,127294"
14/03/2012 17.00,"1,724374","8,873551","11,425048","87,531067","1,190958"
14/03/2012 18.00,"1,727083","12,675668","15,173955","82,231589","1,440987"
14/03/2012 19.00,"2,313009","19,368138","22,353344","71,488129","2,044119"
14/03/2012 20.00,"2,375303","26,736146","32,557305","63,37329","2,628233"
14/03/2012 21.00,"2,794208","28,010665","33,601355","58,351794","2,877194"
14/03/2012 22.00,"2,569408","20,364903","24,032291","62,988835","2,442834"
14/03/2012 23.00,"2,742748","16,197435","18,78927","63,575222","2,258655"
15/03/2012 0.00,"2,54774","12,131212","13,690864","65,072469","1,643523"
15/03/2012 1.00,"1,45985","15,06894","16,521511","58,612882","1,230621"
15/03/2012 2.00,"1,301858","9,756105","10,875132","61,319237","1,032357"
15/03/2012 3.00,"1,458044","5,047424","5,773483","66,5148","0,802108"
15/03/2012 4.00,"1,126712","2,615863","3,205474","77,234569","0,70351"
15/03/2012 5.00,"1,578118","4,923478","5,460263","75,461889","0,622353"
15/03/2012 6.00,"0,84052","10,314837","11,187702","64,229222","0,671118"
15/03/2012 7.00,"1,27387","15,632866","17,46182","61,454419","0,847364"
15/03/2012 8.00,"2,110778","43,624708","77,175795","32,44329","1,75341"
15/03/2012 9.00,"2,933242","27,194949","50,17346","58,27068","2,771783"
15/03/2012 10.00,"2,92963","9,147401","11,989882","94,05318","1,238452"
15/03/2012 11.00,"2,53149","10,449164","13,546252","96,93613","1,320473"
15/03/2012 12.00,"2,162239","7,683404","9,756492","105,121898","1,137006"
15/03/2012 13.00,"1,958203","9,541956","12,085208","110,180562","1,042272"
15/03/2012 14.00,"1,985288","9,254478","11,575498","112,664669","1,097292"
15/03/2012 15.00,"1,958203","8,532211","10,296682","116,673109","0,987049"
15/03/2012 16.00,"2,160872","9,102051","10,954029","117,865159","0,996965"
15/03/2012 17.00,"2,388845","11,016986","12,842644","114,293811","1,287064"
15/03/2012 18.00,"2,517947","12,711351","14,469696","107,611919","1,406816"
15/03/2012 19.00,"2,704829","22,835398","26,023141","93,313016","2,14109"
15/03/2012 20.00,"2,435791","27,706314","31,912024","73,570054","2,789631"
15/03/2012 21.00,"2,521559","29,535658","34,365924","72,395599","3,148734"
15/03/2012 22.00,"2,621771","25,030105","29,088536","71,616553","2,504464"
15/03/2012 23.00,"1,868824","14,561466","16,82176","87,62908","1,648608"
16/03/2012 0.00,"1,910354","11,244114","12,956128","89,352757","1,752749"
16/03/2012 1.00,"1,890492","6,780084","7,706624","92,458772","1,20362"
16/03/2012 2.00,,"5,255084","6,027689","93,897709","1,139854"
16/03/2012 3.00,"1,211576",,,"97,034151","1,025543"
16/03/2012 4.00,"1,185395","5,522447","6,080865",,"1,015474"
16/03/2012 5.00,"1,448113","5,345935","5,902531","103,705822","0,988168"
16/03/2012 6.00,"1,613328","11,118869","12,039168","96,386094","1,03373"
16/03/2012 7.00,"1,523949","13,66724","14,884729","96,755308","1,235553"
16/03/2012 8.00,"1,831809","20,303891","24,809174","90,44273","1,690152"
16/03/2012 9.00,"2,582047","17,667277","21,793702","91,972929","2,046306"
16/03/2012 10.00,"2,688579","12,287603","16,300377","95,173572","1,830346"
16/03/2012 11.00,"2,306689","27,572626","41,513554","87,046061","1,696763"
16/03/2012 12.00,"2,302175","26,520701","36,348994","95,389887","2,016762"
16/03/2012 13.00,"8,265259","31,371502","42,560871","94,59225","2,054747"
16/03/2012 14.00,"16,600033","37,026338","50,178642","91,780297","2,651166"
16/03/2012 15.00,"9,426278","26,564829","33,968399","102,402053","2,376424"
16/03/2012 16.00,"5,190276","27,629088","36,009191","102,033637","1,614284"
16/03/2012 17.00,"3,910989","32,572027","41,335201","95,752382","1,827651"
16/03/2012 18.00,"3,928142","50,53588","64,12112","79,285253","2,352168"
16/03/2012 19.00,"4,850817","79,222094","122,870839","41,667531","3,546991"
16/03/2012 20.00,"8,012472","98,002309","215,439559","9,051036","7,663552"
16/03/2012 21.00,"7,839131","92,439636","173,78745","9,398307","7,495798"
16/03/2012 22.00,"6,713322","71,17984","101,95451","23,239316","4,574873"
16/03/2012 23.00,"3,343119","36,895252","44,924599","51,611668","2,949097"
17/03/2012 0.00,"2,375303","29,401339","34,671366","53,396197","3,150615"
17/03/2012 1.00,"1,721666","19,689355","22,257381","65,440869","2,063188"
17/03/2012 2.00,"2,263354","16,79511","19,050611","72,234222","1,69244"
17/03/2012 3.00,"3,372912","20,719214","22,894192","65,393548","1,590893"
17/03/2012 4.00,"3,314229","17,797719","18,906648","76,344861","1,426037"
17/03/2012 5.00,"1,919382","13,805465","14,972923","83,11202","1,426444"
17/03/2012 6.00,"0,886563","24,073571","29,210444","77,41456","1,097648"
17/03/2012 7.00,"1,509505","51,753287","69,646223","53,35394","2,871245"
17/03/2012 8.00,"1,32172","40,189893","53,310193","61,207697","3,151225"
17/03/2012 9.00,"2,080082","27,218963","38,003293","77,259949","1,855567"
17/03/2012 10.00,"12,124785","42,004325","61,734045","62,728585","2,341439"
17/03/2012 11.00,"20,902838","40,71229","61,563475","70,851868","2,443342"
17/03/2012 12.00,"22,937773","52,726686","83,821523","67,276091","2,967911"
17/03/2012 13.00,"14,816977","45,230825","70,973669","80,142883","2,983827"
17/03/2012 14.00,"10,713688","29,488278","41,231437","98,766283","2,828226"
17/03/2012 15.00,"8,660692","21,407076","28,379088","110,555697","2,015236"
17/03/2012 16.00,"9,967966","27,244909","35,681055","97,23778","2,069646"
17/03/2012 17.00,"4,181833","22,732858","28,751317","105,808896","1,791293"
17/03/2012 18.00,"2,575727","33,631084","40,467535","99,799658","2,056476"
17/03/2012 19.00,"2,829418","41,656492","51,355649","85,973827","3,179091"
17/03/2012 20.00,"3,151723","45,773987","57,294493","81,976407","2,86972"
17/03/2012 21.00,"4,002173","51,160148","65,454394","75,380778","3,021049"
17/03/2012 22.00,"3,108387","39,144451","47,043211","79,1788","2,540517"
17/03/2012 23.00,"3,248323","22,516113","26,10031","93,361174","2,271927"
18/03/2012 0.00,"3,196863","22,399958","25,72353","97,612938","1,687355"
18/03/2012 1.00,"3,081304","14,959918","16,837974","104,047168","1,305523"
18/03/2012 2.00,,"15,300615","16,810088","111,332209","1,313252"
18/03/2012 3.00,"2,840252",,,"109,192019","1,000423"
18/03/2012 4.00,"2,598297","10,256431","11,258387",,"0,779734"
18/03/2012 5.00,"2,722886","9,349221","10,478258","109,144698","0,938742"
18/03/2012 6.00,"2,763512","12,283056","13,570245","103,626348","1,040391"
18/03/2012 7.00,"2,656078","16,84832","19,244508","99,845259","1,364661"
18/03/2012 8.00,"2,40329","22,253308","26,880444","100,38012","1,919435"
18/03/2012 9.00,"2,258839","18,799024","23,708035","97,721926","1,72173"
18/03/2012 10.00,"2,099944","19,71272","25,528334","102,089398","1,978777"
18/03/2012 11.00,"2,540518","17,920361","24,431745","105,889969","2,041526"
18/03/2012 12.00,"3,585977","18,799024","25,360384","114,564951","1,966064"
18/03/2012 13.00,"3,305201","20,094947","28,468589","111,738691","1,966369"
18/03/2012 14.00,"3,515556","16,01184","21,823528","113,549339","1,727171"
18/03/2012 15.00,"2,695801","7,891711","9,952334","118,341025","1,156583"
18/03/2012 16.00,"2,154114","11,779477","14,397716","115,380344","1,162939"
18/03/2012 17.00,"1,942855","15,5206","18,802889","113,803699","1,352508"
18/03/2012 18.00,"2,199254","21,517417","24,851315","108,64696","2,34449"
18/03/2012 19.00,"2,377108","29,971095","34,483302","99,497155","2,763901"
18/03/2012 20.00,"2,457458","32,405264","39,031796","87,806537","2,557196"
18/03/2012 21.00,"2,885393","29,444167","35,563677","87,44488","2,466886"
18/03/2012 22.00,"3,252838","30,658328","37,885266","82,23496","2,081087"
18/03/2012 23.00,"3,093943","24,802329","28,329816","87,215056","1,981574"
19/03/2012 0.00,"3,537224","23,146881","26,150883","86,677683","1,448462"
19/03/2012 1.00,"4,087038","19,591364","21,423423","92,855902","0,915402"
19/03/2012 2.00,"2,03404","6,132445","6,924547","107,767367","0,747953"
19/03/2012 3.00,"1,605202","4,158382","4,850684","110,134976","0,72446"
19/03/2012 4.00,"1,628676","5,884552","6,407054","108,05044","0,740732"
19/03/2012 5.00,"2,53149","11,309002","12,037221","101,378837","0,912198"
19/03/2012 6.00,"3,645562","22,571275","26,743602","89,310527","1,249588"
19/03/2012 7.00,"3,910086","32,063263","38,725705","77,463556","1,989405"
19/03/2012 8.00,"4,255863","41,523459","55,080531","71,006503","2,383899"
19/03/2012 9.00,"5,381672","44,413176","58,871607","64,41426","3,55711"
19/03/2012 10.00,"11,996582","47,857072","64,851942","64,839258","2,628589"
19/03/2012 11.00,"21,217925","41,356674","59,870931","72,474183","2,400374"
19/03/2012 12.00,"16,487176","30,734252","43,226188","90,024497","2,105393"
19/03/2012 13.00,"10,910497","27,966537","40,242514","94,734213","2,052967"
19/03/2012 14.00,"6,632069","21,22863","28,918636","100,189999","1,845753"
19/03/2012 15.00,"5,453897","16,850914","22,808592","101,644156","1,313811"
19/03/2012 16.00,"4,926654","17,46806","22,332599","104,080029","1,760427"
19/03/2012 17.00,"3,929045","22,94637","29,634566","99,923006","1,57279"
19/03/2012 18.00,"2,48003","22,985949","28,916685","101,079744","1,750918"
19/03/2012 19.00,"1,951883","27,667365","32,466506","92,712257","2,180499"
19/03/2012 20.00,"2,209185","32,066516","37,664792","88,659913","2,098529"
19/03/2012 21.00,"15,250382",,"60,543899","52,16584","0,042409"
19/03/2012 22.00,"16,782391","40,376772","48,656651","52,462536","4,474749"
19/03/2012 23.00,"4,815609","34,000998","40,239932","48,049394","4,275214"
20/03/2012 0.00,"4,916724","34,302731","38,738038","60,585815","3,646504"
20/03/2012 1.00,"4,709076","22,133253","24,283241","61,189942","2,436173"
20/03/2012 2.00,,"26,403898","28,396602","61,467947","2,38756"
20/03/2012 3.00,"11,364619",,,"50,025723","2,480158"
20/03/2012 4.00,"16,042992","41,48323","43,981046",,"2,64303"
20/03/2012 5.00,"20,3747","55,249763","58,690694","25,2486","2,580943"
20/03/2012 6.00,"29,069694","70,301175","75,813324","10,575303","3,390424"
20/03/2012 7.00,"33,358952","66,87803","80,879952","18,415541","3,819699"
20/03/2012 8.00,"32,338778","55,912957","75,000799","35,132747","3,553245"
