"NetC","Provincia di TARANTO","","","","","",""
"Stat","Massafra (TA) Via Frappietro","","","","","",""
,SO2,NO2,NOX,O3,BENZENE
02/01/2012 17.00,"2,138385","41,705805","55,825006","26,951153","3,118274"
02/01/2012 18.00,"7,01206","67,003934","197,503283","5,483684","6,926888"
02/01/2012 19.00,"7,304643","62,414008","153,667499","2,443578","9,062028"
02/01/2012 20.00,"5,862498","55,662466","107,864829","1,935766","5,594771"
02/01/2012 21.00,"4,219879","47,080304","71,705162","5,491289","4,197515"
02/01/2012 22.00,"4,168406","42,023139","60,066778","10,614182","3,306521"
02/01/2012 23.00,"2,070658","37,13989","49,387494","7,621391","3,39978"
03/01/2012 0.00,"1,238963","37,677851","53,828975","6,887979","3,070526"
03/01/2012 1.00,"0,651991","25,839972","31,891948","13,148161","2,569247"
03/01/2012 2.00,"0,397335","18,359693","23,760556","19,034037","1,80787"
03/01/2012 3.00,"0,249237","12,160404","15,25696","20,605618","1,701288"
03/01/2012 4.00,"0,55627","13,604287","16,345771","18,660572","1,986099"
03/01/2012 5.00,"0,626706","13,388846","16,836028","22,842192","2,234756"
03/01/2012 6.00,"0,534596","20,702333","32,075443","11,342513","2,108953"
03/01/2012 7.00,"2,278356","40,056856","88,158591","2,539054","3,596366"
03/01/2012 8.00,"3,539894","51,03621","136,942328","1,238687","4,76556"
03/01/2012 9.00,"1,893663","34,195029","64,774125","2,759586","4,153631"
03/01/2012 10.00,"2,541138","31,143075","60,268456","5,044312","4,209414"
03/01/2012 11.00,"1,782589","53,744864","82,416224","12,680062","3,14675"
03/01/2012 12.00,"1,220902","45,06276","69,16505","17,238534","2,346778"
03/01/2012 13.00,"0,828082","50,313302","73,432099","16,640313","3,187685"
03/01/2012 14.00,"0,95541","41,267785","60,586192","18,955459","2,910349"
03/01/2012 15.00,"0,133649","25,982741","34,505996","35,025437","2,400984"
03/01/2012 16.00,"0,698948","39,33913","54,843865","27,35165","2,406425"
03/01/2012 17.00,"1,150466","50,872029","74,002772","16,701146","3,254247"
03/01/2012 18.00,"3,719598","63,041529","163,778684","2,91421","5,723421"
03/01/2012 19.00,"3,570597","47,55857","97,121339","3,794642","6,582787"
03/01/2012 20.00,"1,778977","30,962027","43,742411","10,41477","3,713321"
03/01/2012 21.00,"1,471946","31,539586","45,199564","10,172276","3,290503"
03/01/2012 22.00,"1,517097","36,077584","52,926281","6,478182","3,463495"
03/01/2012 23.00,"1,821419","25,499922","33,452847","10,307461","3,551822"
04/01/2012 0.00,"2,0833","18,274687","23,119216","17,072922","2,895907"
04/01/2012 1.00,"1,337394","7,586063","10,615737","26,394329","1,706119"
04/01/2012 2.00,"1,391575","8,196711","10,759701","31,038987","1,297539"
04/01/2012 3.00,"1,219096",,,"36,594484","1,192941"
04/01/2012 4.00,"1,314818","4,783956","6,775396",,"1,190093"
04/01/2012 5.00,"1,265151","4,698298","6,282545","41,555154","1,111632"
04/01/2012 6.00,"0,838016","4,186288","5,66778","41,89059","0,997575"
04/01/2012 7.00,"1,334684","9,967659","12,143574","40,495588","1,096377"
04/01/2012 8.00,"1,632871",,"49,478983",,
04/01/2012 9.00,"3,618458","41,304112","116,983195","3,975458","1,850381"
04/01/2012 10.00,"4,283995","51,532645","115,588312","3,067145","5,446645"
04/01/2012 11.00,"3,29156","63,162232","124,701499","3,381463","4,170361"
04/01/2012 12.00,"3,176874","39,043229","62,184723","10,479827","3,512311"
04/01/2012 13.00,"2,233204","31,750479","50,153326","22,924985","2,318811"
04/01/2012 14.00,"1,769044","25,248781","37,778271","29,057595","2,454174"
04/01/2012 15.00,"1,611916","16,865196","22,430512","43,013516","1,972014"
04/01/2012 16.00,"1,481879","26,285793","35,364599","38,851347","2,158888"
04/01/2012 17.00,"1,841287","31,894548","40,801525","27,538382","2,704508"
04/01/2012 18.00,"2,027312","44,516349","68,748733","10,417303","3,866888"
04/01/2012 19.00,"3,087474","45,827198","77,766585","3,928143","4,382355"
04/01/2012 20.00,"3,525446","44,595526","75,232286","4,393706","4,629384"
