"NetC","Provincia di TARANTO","","","","",""
"Stat","MARTINA FRANCA","","","","",""
,NO2,NOX,CO,O3,PM10
04/01/2012 17.00,"28,786631","49,065839","0,489267","39,637939",
04/01/2012 18.00,"31,85541","56,583095","0,611583","32,95253","14,16015"
04/01/2012 19.00,"24,971331","45,456365","0,538371","41,69518",
04/01/2012 20.00,"30,047882","56,003359","0,702691","37,890617","26,36718"
04/01/2012 21.00,"22,325887","41,208761","0,624185","47,232841",
04/01/2012 22.00,"13,660404","22,851382","0,355357","51,88602","25,878901"
04/01/2012 23.00,"16,372247","27,779887","0,375813","39,496493",
05/01/2012 0.00,"16,346127","24,57765","0,357709","33,179923","26,85545"
05/01/2012 1.00,"14,130517","19,406627","0,296384","36,920186",
05/01/2012 2.00,"9,433766","14,427546","0,244969","38,318305","20,99609"
05/01/2012 3.00,"11,737521","18,474104","0,288276","18,821808",
05/01/2012 4.00,"9,962642","17,184913","0,280001","19,518841","14,16015"
05/01/2012 5.00,"7,396621","17,775037","0,247197","40,046674",
05/01/2012 6.00,"38,445652","165,736459","0,280548","12,496443","8,300781"
05/01/2012 7.00,"111,028669","597,373421","1,076026","2,022737",
05/01/2012 8.00,"53,520758","208,82423","0,626201","4,335792","12,69531"
05/01/2012 9.00,"55,932249","217,274129","0,774897","3,379576",
05/01/2012 10.00,"37,910254","96,148607","0,517368","20,319394","27,83202"
05/01/2012 11.00,"28,29584","66,441407","0,419245","43,516238",
05/01/2012 12.00,"20,762101","49,522366","0,292854","54,272837","26,85545"
05/01/2012 13.00,"19,535687","45,212529","0,331456","61,01506",
05/01/2012 14.00,"20,368172","44,884389","0,355902","60,172533","20,01952"
05/01/2012 15.00,"12,043305","25,862955","0,270844","69,354363",
05/01/2012 16.00,"17,421289","30,489267","0,444952","59,154063","11,71875"
05/01/2012 17.00,"18,16127","35,421673","0,313226","58,902995",
05/01/2012 18.00,"15,636612","31,879636","0,271096","59,671747","14,16015"
05/01/2012 19.00,"19,321315","45,426519","0,330658","53,604914",
05/01/2012 20.00,"11,542728","27,363568","0,287268","64,241018","11,23046"
05/01/2012 21.00,"9,669911","23,259939","0,287521","69,960723",
05/01/2012 22.00,"6,647926","13,138353","0,258328","68,876594","7,324219"
05/01/2012 23.00,"3,086188","7,855775","0,238627","74,837896",
06/01/2012 0.00,"0,939132","3,507019","0,260218","81,242445","4,882813"
06/01/2012 1.00,"0,599609","2,557634","0,239802","80,797143",
06/01/2012 2.00,"0,583284","2,630264","0,202041","78,596436","3,90625"
06/01/2012 3.00,"0,94131","2,933757",,"71,434629",
06/01/2012 4.00,"0,563698","2,283972","0,112981",,"5,859375"
06/01/2012 5.00,"2,917513","5,797476","0,125924","54,973242",
06/01/2012 6.00,"4,808839","7,809084","0,181413","54,140189","6,347656"
06/01/2012 7.00,"0,519079","2,678253","0,122459","69,216981",
06/01/2012 8.00,"0,921722","3,421419","0,162206","75,02062","6,835938"
