"NetC","ENEL Brindisi","","","","","","","","","","","","","","",""
"Stat","Terminale Passeggeri","","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10,BENZENE,PM2.5
03/01/2012 20.00,"0,128179","2,313076","4,6545","0,701254","62,594103","15,1","0,494465","9,2"
03/01/2012 21.00,"0,098017","3,706919","6,249127","0,704662","62,560268","15,1","0,314355","9,2"
03/01/2012 22.00,"0,31215","7,268074","9,868573","0,732507","60,83992","15,1","0,31644","9,2"
03/01/2012 23.00,"0,214132","7,096883","9,499837","0,768333","61,501322","15,1","0,312473","9,2"
04/01/2012 0.00,"0,428911","2,781912","5,265827","0,770086","67,873554","15,1","0,32127","9,2"
04/01/2012 1.00,"0,239767","2,743211","5,133211","0,762102","63,681797","26,4","0,344865","19,4"
04/01/2012 2.00,,"2,322783","4,660968","0,749543","61,281414","26,4","0,370951","19,4"
04/01/2012 3.00,"0,94631","2,31955","4,657735","0,728807","63,40098","26,4","0,459125","19,4"
04/01/2012 4.00,"1,721315","2,316311","4,657735","0,715079",,"26,4","0,335","19,4"
04/01/2012 5.00,"1,810227","2,481273","4,822697","0,785857","47,696222","26,4","0,444531","19,4"
04/01/2012 6.00,"2,548711","2,94705","5,285235","0,765704","43,111989","26,4","0,617675","19,4"
04/01/2012 7.00,"1,475662","4,140583","6,488483","0,58248","38,80688","26,4","0,63293","19,4"
04/01/2012 8.00,"0,266088","5,922825","8,261008","0,568462","37,749609","26,4","0,641727","19,4"
04/01/2012 9.00,"0,390001","8,908168","14,012017","0,549477","35,890548","26,4","0,963862","19,4"
04/01/2012 10.00,"0,301523","15,156494","23,573296","0,634761","31,390927","26,4","0,685509","19,4"
04/01/2012 11.00,"0,086087","21,387841","31,119483","0,804452","36,765138","26,4","0,709612","19,4"
04/01/2012 12.00,"0,125218","8,272102","12,443267","0,782645","54,153039","26,4","0,582741","19,4"
04/01/2012 13.00,"0,115436","3,813287","6,659913","0,778848","60,780708","26,4","0,736155","19,4"
04/01/2012 14.00,"0,136956","4,014093","6,643741","0,735913","63,940609","26,4","0,921453","19,4"
04/01/2012 15.00,"0,105653","2,322765","4,677142","0,670003","64,349983","26,4","0,942047","19,4"
04/01/2012 16.00,"0,070652","2,316304","4,664203","0,617237","63,538019","26,4","0,713375","19,4"
04/01/2012 17.00,"0,119349","5,515242","7,879335","0,625706","56,577083","26,4","0,796158","19,4"
04/01/2012 18.00,"0,229132","25,190924","27,561479","0,57732","29,379627","26,4","0,801599","19,4"
04/01/2012 19.00,"0,15848","34,967344","38,636528","0,605456","22,616617","26,4","0,689424","19,4"
04/01/2012 20.00,"0,250435","18,818102","21,833127","0,647223","34,04336","26,4","0,813956","19,4"
04/01/2012 21.00,"0,140871","24,285191","29,359887","0,764925","20,219624","26,4","1,065511","19,4"
04/01/2012 22.00,"0,901309","31,020307","40,745465","0,768917","14,278757","26,4","1,151447","19,4"
04/01/2012 23.00,"0,858048","30,635269","40,464056","0,768333","12,678509","26,4","1,127192","19,4"
05/01/2012 0.00,"0,892613","24,448208","28,457461","0,825967","14,417468","26,4","1,156176","19,4"
05/01/2012 1.00,"0,217175","18,146064","20,549009","0,914464","18,062857","22,4","1,198687","16,79999"
05/01/2012 2.00,"1,137833","17,249087","20,481075","0,83619","15,907765","22,4","1,254266","16,79999"
05/01/2012 3.00,"2,563059","14,300245","16,664338","0,587543","27,199152","22,4","1,806243","16,79999"
05/01/2012 4.00,"1,980231","7,316899","9,664798","0,45475","36,00223","22,4","1,457463","16,79999"
05/01/2012 5.00,"0,757832","5,780501","8,121925","0,484249","31,36555","22,4","1,175499","16,79999"
05/01/2012 6.00,"2,09762","2,533018","4,880917","0,476168","39,458149","22,4","0,649202","16,79999"
05/01/2012 7.00,"1,885446","5,392352","7,737015","0,677111","38,59206","22,4","0,529399","16,79999"
05/01/2012 8.00,"0,687829","31,548954","48,074905","0,797248","10,775464","22,4","0,659626","16,79999"
05/01/2012 9.00,"0,84218","39,682624","75,775484","0,891781","9,503384","22,4","0,732748","16,79999"
05/01/2012 10.00,"0,19174","34,641903","55,876631","0,946884","19,228367","22,4","0,705645","16,79999"
05/01/2012 11.00,"0,133045","24,909364","35,372878","0,928288","36,042827","22,4","0,732596","16,79999"
05/01/2012 12.00,"0,09","12,32074","19,970016","0,816037","47,486467","22,4","0,559909","16,79999"
05/01/2012 13.00,"0,115436","18,621232","26,587889","0,841641","54,648677","22,4","0,630794","16,79999"
05/01/2012 14.00,"0,125218","7,939751","11,447029","0,757916","62,704027","22,4","0,567333","16,79999"
05/01/2012 15.00,"0,431525","2,691511","5,039409","0,672827","68,631413","22,4","0,625455","16,79999"
05/01/2012 16.00,"1,515009","5,531303","7,986074","0,717708","62,815708","22,4","0,619353","16,79999"
05/01/2012 17.00,"1,02392","13,277899","15,833062","0,738348","49,274485","22,4","0,884739","16,79999"
05/01/2012 18.00,"0,172176","11,657642","14,012017","0,731533","50,431505","22,4","0,614471","16,79999"
05/01/2012 19.00,"0,631544","8,91716","11,248867","0,673421","52,1738","22,4","0,400088","16,79999"
05/01/2012 20.00,"1,090877","9,07648","11,430855","0,630964","52,123127","22,4","0,536467","16,79999"
05/01/2012 21.00,"1,529575","2,759452","5,094396","0,563496","61,029364","22,4","0,571249","16,79999"
05/01/2012 22.00,"1,46153","2,31955","4,657735","0,532829","63,696998","22,4","0,830838","16,79999"
05/01/2012 23.00,"0,356523","2,332489","4,670672","0,528447","63,40098","22,4","1,009881","16,79999"
06/01/2012 0.00,"0,28087","2,273792","5,000595","0,521925","59,936583","22,4","1,583215","16,79999"
06/01/2012 1.00,"0,993919","2,681806","5,029705",,"65,160254","13,4","0,838262","4,8"
06/01/2012 2.00,"2,126098","2,329261","4,660968","0,354278","67,359302","13,4","2,153497","4,8"
06/01/2012 3.00,"1,175006",,,"0,347853","65,845335","13,4","1,39446","4,8"
06/01/2012 4.00,"1,54088","2,316311","4,657735","0,358659",,"13,4","1,24674","4,8"
06/01/2012 5.00,"2,042621","2,316311","4,657735","0,393416","65,24482","13,4","1,016085","4,8"
06/01/2012 6.00,"0,99131","2,293643","4,657735","0,495931","59,310691","13,4","1,088546","4,8"
06/01/2012 7.00,"5,813078","2,309833","4,657735","0,586958","63,318107","13,4","0,376137","4,8"
06/01/2012 8.00,"7,023957","4,309208","8,959668","0,609838","60,762093","13,4","0,313389","4,8"
06/01/2012 9.00,"5,358728","6,365752","11,527893","0,610811","65,089212","13,4","0,233249","4,8"
06/01/2012 10.00,"9,32397","2,316311","4,657735","0,580728","67,694262","13,4","0,30154","4,8"
06/01/2012 11.00,"9,300056","3,665438","8,39686","0,589782","65,730305","13,4","0,388392","4,8"
06/01/2012 12.00,"11,137024",,,"0,597181","68,741359","13,4","0,37807","4,8"
06/01/2012 13.00,"14,189214",,,"0,600491","68,670317","13,4","0,268742","4,8"
06/01/2012 14.00,"14,793566",,,"0,558141","70,465097","13,4","0,253436","4,8"
06/01/2012 15.00,"15,278349",,,"0,491647","70,377137","13,4","0,246267","4,8"
06/01/2012 16.00,"11,887021",,,"0,462343","72,315698","13,4","0,248199","4,8"
06/01/2012 17.00,"10,008757",,,"0,437809","71,727032","13,4","0,268386","4,8"
06/01/2012 18.00,"8,587011",,,"0,426225","72,244656","13,4","0,26559","4,8"
06/01/2012 19.00,"9,002228",,,"0,37044","70,34837","13,4","0,272505","4,8"
06/01/2012 20.00,"8,247876",,,"0,358561","68,661839","13,4","0,274539","4,8"
06/01/2012 21.00,"9,2631",,,"0,344348","66,43741","13,4","0,287302","4,8"
06/01/2012 22.00,"11,245721",,,"0,358465","64,371969","13,4","0,296557","4,8"
06/01/2012 23.00,"10,047887",,,"0,356322","64,329656","13,4","0,288472","4,8"
07/01/2012 0.00,"10,217453",,,"0,333444","65,928227","13,4","0,275302","4,8"
07/01/2012 1.00,"10,552229",,,"0,323221","65,422437",,"0,266301",
07/01/2012 2.00,"9,24136",,,"0,332179","63,703783",,"0,277997",
07/01/2012 3.00,"7,047869",,,"0,318452","62,117058",,"0,282472",
