"NetC","ENEL Brindisi","","","","","","","","","","","","","","",""
"Stat","Terminale Passeggeri","","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10,BENZENE,PM2.5
01/02/2012 0.00,"10,705939","22,844251","25,583993","0,790584","50,679723","19,29999","1,778224","12,1"
01/02/2012 1.00,"9,743132","17,497521","19,83893","0,910846","51,472456",,"6,756032",
01/02/2012 2.00,"10,780352","18,543551","20,884967","0,927007","52,620598",,"3,06478",
01/02/2012 3.00,"9,068934","14,19103","16,535692","0,939271","49,269938",,"3,871159",
01/02/2012 4.00,"10,726237","11,791315","14,126261","0,979484",,,"2,841752",
01/02/2012 5.00,"11,420716","2,626409","4,967831","0,743431","75,061099",,"1,303133",
01/02/2012 6.00,"10,748784","2,568116","5,045556","0,720424","80,943215",,"1,07263",
01/02/2012 7.00,"16,137826","9,906517","12,306234","0,743526","72,323202",,"1,057731",
01/02/2012 8.00,"15,547061","9,284729","11,924092","0,736491","74,313514",,"1,154854",
01/02/2012 9.00,"16,744375","31,834244","43,887913","0,765392","56,874277",,"1,113106",
01/02/2012 10.00,"17,474948","26,720716","33,107006","0,770621","62,48418",,"1,100038",
01/02/2012 11.00,"15,700395","16,629607","21,257386","0,804655","71,761028",,"1,092716",
01/02/2012 12.00,"18,025124","15,658061","20,110969","0,772616","72,597394",,"1,047764",
01/02/2012 13.00,"19,761347","20,952976","25,937006","0,755885","67,737055",,"0,996253",
01/02/2012 14.00,"16,685755","26,944171","31,601075","0,796098","63,006868",,"1,002609",
01/02/2012 15.00,"12,079132","6,752235","9,355976","0,824049","86,511702",,"1,012627",
01/02/2012 16.00,"4,230064","4,038387","6,444579","0,890502","88,545385",,"1,005304",
01/02/2012 17.00,"1,878276","3,193143","5,644675","0,893162","89,239705",,"0,981659",
01/02/2012 18.00,"1,87151","13,371694","15,855609","0,944405","74,003789",,"1,007593",
01/02/2012 19.00,"8,304548","13,2292","15,622438","0,938416","75,769224",,"1,068969",
01/02/2012 20.00,"16,640651","8,154498","10,563929","0,893258","76,637151",,"1,13726",
01/02/2012 21.00,"10,40154","12,698089","15,06542","0,911986","66,806009",,"1,133853",
01/02/2012 22.00,"9,48157","14,450108","20,28261","0,976728","62,03245",,"1,143972",
01/02/2012 23.00,"11,402685","17,021463","21,03393","1,015895","60,123036",,"1,445869",
02/02/2012 0.00,"10,268496","11,422127","13,776505","1,031486","59,06377",,"1,549196",
02/02/2012 1.00,"9,105012","7,477656","9,828794",,"72,058881","12,5","1,578892","6,9"
02/02/2012 2.00,,"6,279417","8,627317","0,890121","75,930959","12,5","2,476344","6,9"
02/02/2012 3.00,"8,863745",,,"0,925201","71,763006","12,5","1,547009","6,9"
02/02/2012 4.00,"10,568399","4,258605","6,600027","0,942883","71,654499","12,5","1,60864","6,9"
02/02/2012 5.00,"9,429709","13,744119","24,667514","0,984713","57,81911","12,5","1,426698","6,9"
02/02/2012 6.00,"9,450003","10,117019","12,458443","0,941933","59,464206","12,5","1,645608","6,9"
02/02/2012 7.00,"10,013711","36,322817","95,804009","0,651405","38,247541","12,5","1,493668","6,9"
02/02/2012 8.00,"13,147928","49,408737","86,020552","0,654922","34,371517","12,5","1,471396","6,9"
02/02/2012 9.00,"10,022729","69,203101","132,029656","0,886318","10,527451","12,5","3,183871","6,9"
02/02/2012 10.00,"6,000109","70,25885","124,331811","1,07113","13,82554","12,5","2,849736","6,9"
02/02/2012 11.00,"5,691197","68,38054","114,496525","1,160969","18,910752","12,5","3,239806","6,9"
02/02/2012 12.00,"6,115105","63,924395","98,942117","1,046222","29,396764","12,5","3,139784","6,9"
02/02/2012 13.00,"2,065425","38,761382","48,599902","0,90324","57,13662","12,5","2,918434","6,9"
02/02/2012 14.00,"2,798246","15,794079","19,958755","0,701126","76,85215","12,5","2,036187","6,9"
02/02/2012 15.00,"5,59015","9,543732","12,560038","0,619584","81,384492","12,5","1,207687","6,9"
02/02/2012 16.00,"8,052006","9,841748","12,199363","0,677929","79,467756","12,5","1,58052","6,9"
02/02/2012 17.00,"7,659666","13,530381","15,900948","0,697324","73,627033","12,5","1,620183","6,9"
02/02/2012 18.00,"7,977597","19,515096","23,705682","0,77119","68,401786","12,5","1,687508","6,9"
02/02/2012 19.00,"6,929099","21,487323","25,418834","0,705784","62,906301","12,5","1,532212","6,9"
02/02/2012 20.00,"7,330459","47,641302","65,391413","0,681257","36,551173","12,5","1,818243","6,9"
02/02/2012 21.00,"8,708162","56,81269","68,636381","0,674317","38,452707","12,5","2,248383","6,9"
02/02/2012 22.00,"8,360918","32,915922","37,592289","0,667757","42,729171","12,5","1,651455","6,9"
02/02/2012 23.00,"6,207552","25,972627","30,784998","0,801232","47,086529","12,5","2,173634","6,9"
03/02/2012 0.00,"6,762243","15,113998","17,494283","0,809598","50,272164","12,5","1,901485","6,9"
03/02/2012 1.00,"5,129744","25,671448","28,216893","0,901434","35,089516","27,6","2,321353","9,5"
03/02/2012 2.00,"7,305656","27,705203","32,358916","0,942408","32,241175","27,6","2,712949","9,5"
03/02/2012 3.00,"7,61457","20,66151","23,022354","0,941743","43,510272","27,6","2,619588","9,5"
03/02/2012 4.00,"7,145564","7,785312","10,126734","0,780223",,"27,6","1,754376","9,5"
03/02/2012 5.00,"7,294382","3,643293","6,000907","0,711583","73,155315","27,6","1,14443","9,5"
03/02/2012 6.00,"9,691268","8,714756","11,444798","0,705784","67,405367","27,6","1,126582","9,5"
03/02/2012 7.00,"8,500718","26,46164","31,542817","0,716432","51,872215","27,6","1,039069","9,5"
03/02/2012 8.00,"6,313531","27,287451","30,891858","0,754269","59,570481","27,6","1,00383","9,5"
03/02/2012 9.00,"6,376664","31,989727","38,511999","0,801232","62,851359","27,6","1,032153","9,5"
03/02/2012 10.00,"6,71038","26,370954","31,248082","0,821577","70,741686","27,6","1,403409","9,5"
03/02/2012 11.00,"7,080174","28,935824","33,628389","0,824904","63,821568","27,6","1,282945","9,5"
03/02/2012 12.00,"7,641627","26,390379","31,756541","0,878998","71,638616","27,6","1,205704","9,5"
03/02/2012 13.00,"10,063316","20,807244","25,40264","0,886318","74,040357","27,6","1,213942","9,5"
03/02/2012 14.00,"12,581958","18,148455","22,724426","0,88879","73,272141","27,6","1,138887","9,5"
03/02/2012 15.00,"9,867147","12,426057","16,043442","0,881659","80,964463","27,6","0,945251","9,5"
03/02/2012 16.00,"11,560523","7,396694","9,75107","0,865117","87,347985","27,6","1,114327","9,5"
03/02/2012 17.00,"13,939367","6,661559","9,041842","0,836882","84,372045","27,6","0,917995","9,5"
03/02/2012 18.00,"11,008089","6,774904","9,155189","0,856372","80,837721","27,6","1,131311","9,5"
03/02/2012 19.00,"10,940438","7,811219","10,210934","0,870822","83,985951","27,6","1,283301","9,5"
03/02/2012 20.00,"13,538009","5,541043","7,905135","0,815397","86,851031","27,6","1,260724","9,5"
03/02/2012 21.00,"10,699176","4,297466","6,664796","0,813115","85,82933","27,6","1,521127","9,5"
03/02/2012 22.00,"14,618073","4,006003","6,37981","0,787352","87,249013","27,6","1,198484","9,5"
03/02/2012 23.00,"14,37681","2,305799","4,663414","0,757692","89,22504","27,6","1,133701","9,5"
04/02/2012 0.00,"16,453504","2,383524","4,7379","0,715576","92,751442","27,6","1,089004","9,5"
04/02/2012 1.00,,"3,873224","6,266463","0,72071","91,367429",,"1,094495",
04/02/2012 2.00,,"1,716395","4,080487","0,69314","89,048823",,"1,090021",
04/02/2012 3.00,,"2,143876","4,495014","0,672606","87,943972",,"1,066833",
04/02/2012 4.00,,"5,803359","8,167452","0,678689","83,785952",,"1,056358",
04/02/2012 5.00,,"7,814457","10,262751","0,691904","83,152362",,"1,075274",
04/02/2012 6.00,,"6,055962","8,420054","0,670229","85,698638",,"1,008711",
04/02/2012 7.00,,"13,33607","24,204409","0,684109","72,5712",,"1,685423",
04/02/2012 8.00,,"52,586461","137,570709","0,836217","18,196266",,"1,552044",
04/02/2012 9.00,,"36,947832","93,669836","0,884417","32,012747",,"2,885127",
04/02/2012 10.00,,"46,083597","121,106288","0,882705","24,169944",,"2,685134",
04/02/2012 11.00,,"46,323247","127,411605","0,88204","24,365952",,"2,626148",
04/02/2012 12.00,,"54,328773","198,214551","0,873769","16,756801",,"2,130869",
04/02/2012 13.00,,"69,290611","242,630505","0,883941","22,417635",,"2,099749",
04/02/2012 14.00,,"35,944164","66,340302","0,813876","39,198199",,"2,642013",
04/02/2012 15.00,,"43,168943","88,209757","0,769575","35,756945",,"2,571535",
04/02/2012 16.00,,"30,574505","49,862912","0,749801","52,242487",,"2,152735",
04/02/2012 17.00,,"14,581619","20,664322","0,693877","69,440367",,"1,787988",
04/02/2012 18.00,,"16,736476","23,553468","0,695517","70,725841",,"2,722204",
04/02/2012 19.00,,"14,055014","18,401057","0,72166","72,389054",,"2,749256",
04/02/2012 20.00,,"35,454903","85,861878","0,674887","53,763136",,"2,375661",
04/02/2012 21.00,,"8,909065","11,512803","0,630395","79,833859",,"1,999117",
04/02/2012 22.00,,"45,157385","92,62707","0,744857","43,142374",,"2,19194",
04/02/2012 23.00,,"57,217498","108,916639","0,74923","39,546645",,"2,537415",
05/02/2012 0.00,,"11,655298","14,310853","0,678785","70,541687",,"2,041577",
05/02/2012 1.00,,"18,546789","33,291591",,"60,083295",,"2,403578",
05/02/2012 2.00,,"15,615961","19,194472","0,648649","62,865225",,"2,231094",
05/02/2012 3.00,,,,"0,678499","64,827409",,"2,350795",
05/02/2012 4.00,,"8,300231","10,664323","0,682492",,,"2,522821",
05/02/2012 5.00,,"7,529471","9,896803","0,674032","63,256821",,"2,547382",
05/02/2012 6.00,,"6,078632","8,442722","0,656348","64,984494",,"2,576162",
05/02/2012 7.00,,"7,53271","9,932425","0,608244","64,867386",,"2,530398",
05/02/2012 8.00,,"7,973143","10,340474","0,618321","66,218302",,"2,501718",
05/02/2012 9.00,,"8,138305","11,195433","0,591608","64,410554",,"1,957369",
05/02/2012 10.00,,"8,656463","11,03351","0,611096","65,121152",,"2,436681",
05/02/2012 11.00,,"6,917398","9,368929","0,611192","70,880118",,"2,48865",
05/02/2012 12.00,,"6,632413","9,083943","0,615184","75,481425",,"2,448732",
05/02/2012 13.00,,"5,631721","8,008767","0,615565","80,252586",,"2,524194",
05/02/2012 14.00,,"4,627791","7,024269","0,623266","81,498084",,"2,174905",
05/02/2012 15.00,,"8,335853","13,138524","0,557574","83,061769",,"1,97837",
05/02/2012 16.00,,"6,580595","11,56786","0,515363","85,75777",,"1,69483",
05/02/2012 17.00,,"2,574594","5,152425","0,494163","89,693387",,"1,676067",
05/02/2012 18.00,,"9,925949","16,542168","0,476005","84,348263",,"1,637319",
05/02/2012 19.00,,"6,752235","12,286803","0,465452","88,07111",,"1,640573",
05/02/2012 20.00,,"7,017791","10,337236","0,461079","90,017435",,"1,680287",
05/02/2012 21.00,,"6,363618","9,589146","0,446153","91,96573",,"1,659795",
05/02/2012 22.00,,"4,870678","8,245177","0,435886","92,649",,"1,64454",
05/02/2012 23.00,,"5,414742","8,724471","0,433509","91,313685",,"1,647692",
06/02/2012 0.00,,"2,723564","5,094132","0,439119","95,778356",,"1,608945",
06/02/2012 1.00,,"2,221599","4,569498","0,434366","97,100003",,"1,67449",
06/02/2012 2.00,,"2,134159","4,475583","0,481994","95,67685",,"1,678864",
06/02/2012 3.00,,"2,296084","4,660177","0,574115","90,429343",,"2,269588",
06/02/2012 4.00,,"3,6271","6,519065","0,584952","89,564529",,"2,139921",
06/02/2012 5.00,,"2,299323","4,647223","0,577537","92,647044",,"1,968403",
06/02/2012 6.00,,"2,328468","4,663414","0,572784","93,980403",,"1,952793",
06/02/2012 7.00,,"3,526707","6,412196","0,624881","90,833466",,"2,012541",
06/02/2012 8.00,,"5,622004","8,721234","0,649599","87,096974",,"2,075036",
06/02/2012 9.00,,"29,845841","64,377786","0,660152","66,395934",,"2,124004",
06/02/2012 10.00,,"18,838251","26,497261","0,651501","74,409693",,"1,913587",
06/02/2012 11.00,,,,,,,,
06/02/2012 12.00,,,,,,,"1,63615",
06/02/2012 13.00,,"3,248197","6,561165","0,70683","82,903664",,"1,797242",
06/02/2012 14.00,,"8,271084","14,563455","0,71377","82,714297",,"1,753969",
06/02/2012 15.00,,"3,361544","5,767737","0,690003","86,778771",,"1,733527",
06/02/2012 16.00,,"3,555853","6,901205","0,717668","86,675309",,"1,819972",
06/02/2012 17.00,,"9,825555","14,330284","0,702457","85,576203",,"1,905248",
06/02/2012 18.00,,"15,713115","26,52963","0,703407","80,705491",,"1,937436",
06/02/2012 19.00,,"17,834322","26,060062","0,756645","78,222297",,"2,01727",
06/02/2012 20.00,,"15,988387","25,626096","0,755885","77,382879",,"2,318912",
06/02/2012 21.00,,"12,299756","18,284471","0,752367","77,915822",,"2,372101",
06/02/2012 22.00,,"11,791315","17,652968","0,752653","77,798676",,"2,463021",
06/02/2012 23.00,,"8,316424","12,351572","0,753128","79,541987",,"2,491752",
07/02/2012 0.00,,"8,445962","11,354119","0,729551","78,155943",,"2,514177",
07/02/2012 1.00,,"6,179024","9,09042","0,67812","79,938295","32,099991","2,472378","20,5"
07/02/2012 2.00,,"19,664058","30,202085","0,695992","67,889353","32,099991","2,503854","20,5"
07/02/2012 3.00,,"20,904392","30,733161","0,724988","66,801998","32,099991","2,49826","20,5"
07/02/2012 4.00,,"19,097331","28,450062","0,697038",,"32,099991","2,4109","20,5"
07/02/2012 5.00,,"14,942358","22,177116","0,685915","73,25622","32,099991","2,430986","20,5"
07/02/2012 6.00,,"18,07397","27,387831","0,66481","69,325033","32,099991","2,592638","20,5"
07/02/2012 7.00,,"20,408898","30,529171","0,661197","67,856378","32,099991","2,674863","20,5"
07/02/2012 8.00,,"22,575461","33,855095","0,62897","63,531253","32,099991","2,627725","20,5"
07/02/2012 9.00,,"22,044347","34,574006","0,593128","63,977717","32,099991","2,45936","20,5"
07/02/2012 10.00,,"22,352006","34,642016","0,561091","63,442376","32,099991","2,36483","20,5"
07/02/2012 11.00,,,,,,"32,099991",,"20,5"
07/02/2012 12.00,,"20,128025","31,916462","0,573331","65,103915","32,099991","2,057543","20,5"
07/02/2012 13.00,,"17,338834","27,106079","0,552154","63,446406","32,099991","2,205873","20,5"
07/02/2012 14.00,,"28,472719","46,29409","0,551869","64,52722","32,099991","2,216094","20,5"
07/02/2012 15.00,,"20,833151","31,115333","0,502434","71,444164","32,099991","2,247672","20,5"
07/02/2012 16.00,,"21,169951","31,163916","0,502814","70,84215","32,099991","2,173837","20,5"
07/02/2012 17.00,,"21,001541","31,623773","0,503385","73,755191","32,099991","2,149277","20,5"
07/02/2012 18.00,,"21,153755","27,543278","0,493212","69,504826","32,099991","2,080629","20,5"
07/02/2012 19.00,,"14,229891","17,559051","0,493687","76,571276","32,099991","1,931232","20,5"
07/02/2012 20.00,,"33,45675","146,317841","0,530288","50,867055","32,099991","1,959403","20,5"
07/02/2012 21.00,,"56,849552","206,663676","0,51137","35,633194","32,099991","2,271673","20,5"
07/02/2012 22.00,,"39,477102","57,052339","0,492927","52,685157","32,099991","2,018745","20,5"
07/02/2012 23.00,,"24,081352","33,926336","0,509944","64,504975","32,099991","1,981319","20,5"
08/02/2012 0.00,,"31,374409","44,571223","0,537989","51,808414","32,099991","1,84733","20,5"
08/02/2012 1.00,,"22,581924","27,329534",,"62,624248",9,"1,657557","5,7"
08/02/2012 2.00,,"24,855348","33,981382","0,470206","59,026385",9,"1,631217","5,7"
08/02/2012 3.00,,,,"0,499011","72,50674",9,"2,710051","5,7"
08/02/2012 4.00,,"18,94836","27,776444","0,524109","61,185912",9,"2,600418","5,7"
08/02/2012 5.00,,"37,903161","51,362322","0,531144","44,483392",9,"2,047119","5,7"
08/02/2012 6.00,,"15,483185","19,064945","0,625261","66,050403",9,"1,491278","5,7"
08/02/2012 7.00,,"18,640705","24,418151","0,697893","60,804068",9,"2,889195","5,7"
08/02/2012 8.00,,"25,836606","31,639965","0,733164","53,862884",9,"2,365593","5,7"
08/02/2012 9.00,,"11,360595","14,408008","0,696563","70,757287",9,"1,64098","5,7"
08/02/2012 10.00,,"16,574552","23,106558","0,691429","63,971674",9,"1,451005","5,7"
08/02/2012 11.00,,"33,469692","44,593899","0,724322","50,658955",9,"2,530194","5,7"
08/02/2012 12.00,,"27,225903","32,621223","0,719569","55,858782",9,"2,055815","5,7"
08/02/2012 13.00,,"42,252464","56,628086","0,740103","39,895693",9,"2,281843","5,7"
08/02/2012 14.00,,"34,444488","44,720168","0,762635","49,000433",9,"1,57635","5,7"
08/02/2012 15.00,,"41,539997","56,900123","0,739248","41,311802",9,"1,698339","5,7"
08/02/2012 16.00,,"43,593178","59,837435","0,758642","43,707657",9,"1,619522","5,7"
08/02/2012 17.00,,"42,64756","57,389137","0,742005","43,806648",9,"1,418054","5,7"
08/02/2012 18.00,,"32,598547","40,128002","0,764917","48,816614",9,"1,793429","5,7"
08/02/2012 19.00,,"29,583534","35,237912","0,724892","57,955708",9,"1,670473","5,7"
08/02/2012 20.00,,"21,406369","27,867131","0,696657","67,678623",9,"1,483955","5,7"
08/02/2012 21.00,,"53,334149","141,06181","0,694091","40,689601",9,"1,526771","5,7"
08/02/2012 22.00,,"54,05027","73,196177","0,662623","44,285429",9,"1,627861","5,7"
08/02/2012 23.00,,"41,48493","58,438405","0,612903","51,361973",9,"1,463056","5,7"
09/02/2012 0.00,,"41,72137","59,730553","0,597026","50,70139",9,"1,38012","5,7"
09/02/2012 1.00,,"20,590269","26,876161","0,550063","70,371452","16,1","1,35383","12,1"
09/02/2012 2.00,,"8,403861","11,014077","0,558714","77,155071","16,1","1,280556","12,1"
09/02/2012 3.00,,"13,258346","23,258772","0,498726","72,735027","16,1","1,296827","12,1"
09/02/2012 4.00,,"14,281706","24,411669","0,471537",,"16,1","1,282335","12,1"
09/02/2012 5.00,,"28,692944","47,466432","0,457181","60,64822","16,1","1,274911","12,1"
09/02/2012 6.00,,"35,370679","55,407157","0,602636","55,698764","16,1","1,276132","12,1"
09/02/2012 7.00,,"35,179613","58,930649","0,73459","54,868843","16,1","1,254317","12,1"
09/02/2012 8.00,,"39,292498","64,423102","0,72033","54,156669","16,1","1,286556","12,1"
09/02/2012 9.00,,"41,899471","69,867003","0,701791","52,55674","16,1","1,296878","12,1"
09/02/2012 10.00,,"41,501144","68,218612","0,725938","55,46934","16,1","1,268657","12,1"
09/02/2012 11.00,,"43,405361","72,308818","0,753033","56,791964","16,1","1,260724","12,1"
09/02/2012 12.00,,"38,376001","66,171912","0,765107","63,483034","16,1","1,288183","12,1"
09/02/2012 13.00,,"33,152989","63,879269","0,818345","65,334416","16,1","1,060731","12,1"
09/02/2012 14.00,,"41,284171","79,151731","0,934897","48,656614","16,1","1,539128","12,1"
09/02/2012 15.00,,"46,623948","96,292373","0,919925","44,717326","16,1","1,50638","12,1"
09/02/2012 16.00,,"52,294997","91,746173","0,908469","41,841872","16,1","1,544721","12,1"
09/02/2012 17.00,,"54,36116","87,999282","0,861886","40,756633","16,1","1,5674","12,1"
09/02/2012 18.00,,"48,774776","83,737434","0,926437","38,869445","16,1","1,739477","12,1"
09/02/2012 19.00,,"30,865969","36,555985","1,003537","49,829654","16,1","2,107275","12,1"
09/02/2012 20.00,,"24,385762","28,032289","1,003727","51,908364","16,1","2,191635","12,1"
09/02/2012 21.00,,"21,509999","24,110492","0,952485","54,805004","16,1","1,947453","12,1"
09/02/2012 22.00,,"17,844038","20,509296","0,905616","64,576238","16,1","2,281385","12,1"
09/02/2012 23.00,,"16,720284","32,002674","0,819771","67,578631","16,1","1,405596","12,1"
10/02/2012 0.00,,"14,495447","17,099185","0,872343","65,236563","16,1","1,555908","12,1"
10/02/2012 1.00,,"12,973361","15,327738","0,896775","57,62787","19,9","1,598775","13,7"
10/02/2012 2.00,,"18,828536","21,289775","0,936229","47,99629","19,9","2,092935","13,7"
10/02/2012 3.00,,"12,989552","15,962478","0,968266","55,407513","19,9","2,52099","13,7"
10/02/2012 4.00,,"15,476706","18,899783","0,921207","47,37786","19,9","2,177854","13,7"
10/02/2012 5.00,,"14,456586","16,801246","0,908945","48,269603","19,9","1,820633","13,7"
10/02/2012 6.00,,"13,990243","16,629607","0,800282","51,451509","19,9","1,683847","13,7"
10/02/2012 7.00,,"28,900203","31,270758","0,755599","29,407437","19,9","1,77619","13,7"
10/02/2012 8.00,,"37,935571","45,429425","0,86721","19,957382","19,9","1,976387","13,7"
10/02/2012 9.00,,"59,031047","150,595903","1,140529","4,757935","19,9","3,022626","13,7"
10/02/2012 10.00,,"71,957794","165,318019","1,121308","7,094801","19,9","3,839632","13,7"
10/02/2012 11.00,,,,,,"19,9",,"13,7"
10/02/2012 12.00,,"15,881518","22,264551","0,840401","61,967812","19,9","1,738307","13,7"
10/02/2012 13.00,,"10,635177","12,992791","0,736586","69,72583","19,9","2,521855","13,7"
10/02/2012 14.00,,"15,83294","21,380441","0,768338","61,69392","19,9","2,804021","13,7"
10/02/2012 15.00,,"33,46323","38,489363","0,855231","46,266665","19,9","2,399713","13,7"
10/02/2012 16.00,,"21,633055","24,936303","0,825854","59,793623","19,9","2,454631","13,7"
10/02/2012 17.00,,"16,62313","19,042276","0,842111","63,505458","19,9","1,583367","13,7"
10/02/2012 18.00,,"14,540786","18,414011","0,890216","62,390953","19,9","2,462004","13,7"
10/02/2012 19.00,,"10,314567","12,824389","0,872818","67,270185","19,9","1,887501","13,7"
10/02/2012 20.00,,"20,337657","27,484999","0,922633","61,826127","19,9","1,985845","13,7"
10/02/2012 21.00,,"12,192887","14,82901","0,927578","72,423308","19,9","2,202568","13,7"
10/02/2012 22.00,,"16,380245","19,000177","0,96551","65,430314","19,9","1,884755","13,7"
10/02/2012 23.00,,"13,277779","16,004579","0,926627","68,745469","19,9","2,325574","13,7"
11/02/2012 0.00,,"11,017317","13,384648","0,894494","64,616177","19,9","2,128784","13,7"
11/02/2012 1.00,,"7,555379","9,912995",,"76,953055","12,5","1,696051","6,4"
11/02/2012 2.00,,"3,089513","5,434173","0,753793","83,286783","12,5","1,915062","6,4"
11/02/2012 3.00,,,,"0,75484","82,204397","12,5","1,861669","6,4"
11/02/2012 4.00,,"5,01317","7,354594","0,762255",,"12,5","1,854754","6,4"
11/02/2012 5.00,,"9,278253","11,626151","0,783454","68,379861","12,5","2,687473","6,4"
11/02/2012 6.00,,"10,045772","12,413103","0,742005","77,362551","12,5","1,761851","6,4"
11/02/2012 7.00,,"11,6974","14,048536","0,734969","82,626618","12,5","1,689084","6,4"
11/02/2012 8.00,,"29,619154","33,038996","0,761019","58,412821","12,5","1,736629","6,4"
11/02/2012 9.00,,"34,036449","39,768547","0,777465","62,844395","12,5","1,902451","6,4"
11/02/2012 10.00,,"25,049647","29,670969","0,75484","70,579472","12,5","1,839855","6,4"
11/02/2012 11.00,,"17,228726","21,267099","0,746093","78,928207","12,5","2,032729","6,4"
11/02/2012 12.00,,"10,350189","13,906044","0,711869","84,380622","12,5","1,762512","6,4"
11/02/2012 13.00,,"14,32057","18,899783","0,698369","82,760263","12,5","1,700526","6,4"
11/02/2012 14.00,,"8,734186","11,875514","0,643704","91,696408","12,5","1,566739","6,4"
11/02/2012 15.00,,"7,173239","9,534092","0,614709","93,160756","12,5","1,507702","6,4"
11/02/2012 16.00,,"8,080014","10,628698","0,635814","87,582794","12,5","1,590385","6,4"
11/02/2012 17.00,,"16,153551","18,56622","0,714055","75,282445","12,5","1,850177","6,4"
11/02/2012 18.00,,"13,601627","16,04668","0,709111","68,556063","12,5","1,73968","6,4"
11/02/2012 19.00,,"12,950691","16,224796","0,715196","70,119702","12,5","1,414901","6,4"
11/02/2012 20.00,,"22,322848","26,351527","0,761113","58,348004","12,5","1,492447","6,4"
11/02/2012 21.00,,"15,716354","19,978182","0,77813","65,319454","12,5","1,557078","6,4"
11/02/2012 22.00,,"14,343239","17,856991","0,821767","74,336596","12,5","2,403527","6,4"
11/02/2012 23.00,,"10,560691","12,921544","0,785166","78,008652","12,5","1,981319","6,4"
12/02/2012 0.00,,"10,910448","13,277779","0,808458","67,500846","12,5","1,996218","6,4"
12/02/2012 1.00,,"12,341856","14,722141","0,886222","62,558852","17,9","2,278588","13,9"
12/02/2012 2.00,,"13,656679","17,04737","0,894113","56,918048","17,9","2,224789","13,9"
12/02/2012 3.00,,"21,872706","34,013773","0,855991","57,91457","17,9","1,95625","13,9"
12/02/2012 4.00,,"43,259648","72,318533","0,775184","47,751043","17,9","1,429648","13,9"
12/02/2012 5.00,,"54,247816","92,575234","0,702742","49,72787","17,9","1,20128","13,9"
12/02/2012 6.00,,"35,302691","56,971364","0,664144","68,05783","17,9","1,077054","13,9"
12/02/2012 7.00,,"49,467816","79,773534","0,672986","55,220783","17,9","1,07446","13,9"
12/02/2012 8.00,,"16,451491","20,227544","0,641518","84,852538","17,9","1,044408","13,9"
12/02/2012 9.00,,"4,799432","7,801505","0,591133","95,682398","17,9","0,933199","13,9"
12/02/2012 10.00,,"15,535","19,764458","0,649504","69,696386","17,9","1,027729","13,9"
12/02/2012 11.00,,"41,028326","65,339599","0,698464","51,109208","17,9","1,124751","13,9"
12/02/2012 12.00,,"67,493181","124,733373","0,703122","38,537475","17,9","1,159431","13,9"
12/02/2012 13.00,,"46,94828","79,65046","0,750942","51,246901","17,9","1,426342","13,9"
12/02/2012 14.00,,"53,801861","95,149895","0,781348","48,547806","17,9","1,337762","13,9"
12/02/2012 15.00,,"69,815189","111,633725","0,875005","39,827641","17,9","2,228196","13,9"
12/02/2012 16.00,,"43,70654","60,795995","0,817774","65,232392","17,9","2,252197","13,9"
12/02/2012 17.00,,"67,049519","107,501413","0,858273","40,293515","17,9","2,274063","13,9"
12/02/2012 18.00,,"61,476096","91,001333","0,861886","44,652189","17,9","2,366","13,9"
12/02/2012 19.00,,"56,388455","83,523692","0,866639","44,638007","17,9","2,375","13,9"
12/02/2012 20.00,,"52,680378","81,959485","0,838118","46,009208","17,9","2,319014","13,9"
12/02/2012 21.00,,"38,842356","52,628563","0,835552","60,043276","17,9","2,390153","13,9"
12/02/2012 22.00,,"26,001765","36,53654","0,81226","73,445428","17,9","2,300301","13,9"
12/02/2012 23.00,,"43,59968","64,4296","0,793342","58,21434","17,9","2,18716","13,9"
13/02/2012 0.00,,"57,593167","92,895857","0,78374","46,946979","17,9","2,122174","13,9"
13/02/2012 1.00,,"50,960746","86,418898","0,756741","50,272704","24,1","2,06512","19,79999"
13/02/2012 2.00,,"55,141619","91,662004","0,74809","48,2392","24,1","2,081494","19,79999"
13/02/2012 3.00,,"51,718547","85,107308","0,729076","51,246901","24,1","2,171244","19,79999"
13/02/2012 4.00,,"55,604744","90,20791","0,723466",,"24,1","2,194533","19,79999"
13/02/2012 5.00,,"48,561012","72,211651","0,721375","53,524514","24,1","2,229467","19,79999"
13/02/2012 6.00,,"50,724346","75,032388","0,665285","53,639784","24,1","2,311082","19,79999"
13/02/2012 7.00,,"33,923087","49,156908","0,567555","64,358461","24,1","2,253621","19,79999"
13/02/2012 8.00,,"50,202923","74,277832","0,569171","54,386193","24,1","2,284131","19,79999"
13/02/2012 9.00,,"57,53485","85,771173","0,559855","51,679738","24,1","2,353643","19,79999"
13/02/2012 10.00,,"43,360009","58,885315","0,57269","67,568578","24,1","2,338896","19,79999"
13/02/2012 11.00,,"32,3006","45,947577","0,563943","74,72919","24,1","2,169363","19,79999"
13/02/2012 12.00,,"32,922402","45,387322","0,573069","79,17928","24,1","2,145514","19,79999"
13/02/2012 13.00,,"33,15882","44,937181","0,556813","85,312346","24,1","2,185126","19,79999"
13/02/2012 14.00,,"36,277464","48,910774","0,535993","84,207913","24,1","2,149379","19,79999"
13/02/2012 15.00,,"23,890268","31,937913","0,49017","92,539693","24,1","2,030186","19,79999"
