"NetC","ENEL Brindisi"
"Stat","Costa Morena EST"
,PM10

,,,,,

01/01/2012 1.00,
01/01/2012 2.00,"7,95177"
01/01/2012 3.00,
01/01/2012 4.00,"6,837268"
01/01/2012 5.00,
01/01/2012 6.00,"6,144689"
01/01/2012 7.00,
01/01/2012 8.00,"7,006851"
01/01/2012 9.00,
01/01/2012 10.00,"8,825804"
01/01/2012 11.00,
01/01/2012 12.00,"7,382648"
01/01/2012 13.00,
01/01/2012 14.00,"5,308642"
01/01/2012 15.00,
01/01/2012 16.00,"4,678131"
01/01/2012 17.00,
01/01/2012 18.00,"4,090015"
01/01/2012 19.00,
01/01/2012 20.00,"4,854836"
01/01/2012 21.00,
01/01/2012 22.00,"7,229684"
01/01/2012 23.00,
02/01/2012 0.00,"10,23606"
02/01/2012 1.00,
02/01/2012 2.00,"19,34744"
02/01/2012 3.00,
02/01/2012 4.00,"31,6263"
02/01/2012 5.00,
02/01/2012 6.00,"33,11558"
02/01/2012 7.00,
02/01/2012 8.00,"29,26841"
02/01/2012 9.00,
02/01/2012 10.00,"32,49795"
02/01/2012 11.00,
02/01/2012 12.00,"35,3595"
02/01/2012 13.00,
02/01/2012 14.00,"35,92863"
02/01/2012 15.00,
02/01/2012 16.00,"32,62501"
02/01/2012 17.00,
02/01/2012 18.00,"25,31168"
02/01/2012 19.00,
02/01/2012 20.00,"20,83976"
02/01/2012 21.00,
02/01/2012 22.00,"28,03927"
02/01/2012 23.00,
03/01/2012 0.00,"47,16896"
03/01/2012 1.00,
03/01/2012 2.00,"55,27064"
03/01/2012 3.00,
03/01/2012 4.00,"46,78775"
03/01/2012 5.00,
03/01/2012 6.00,"42,76862"
03/01/2012 7.00,
03/01/2012 8.00,"34,95251"
03/01/2012 9.00,
03/01/2012 10.00,"25,55114"
03/01/2012 11.00,
03/01/2012 12.00,"21,94002"
03/01/2012 13.00,
03/01/2012 14.00,"14,15717"
03/01/2012 15.00,
03/01/2012 16.00,"11,86372"
03/01/2012 17.00,
03/01/2012 18.00,"16,62664"
03/01/2012 19.00,
03/01/2012 20.00,"25,29982"
03/01/2012 21.00,
03/01/2012 22.00,"27,50847"
03/01/2012 23.00,
04/01/2012 0.00,"22,70519"
04/01/2012 1.00,
04/01/2012 2.00,"20,563"
04/01/2012 3.00,
04/01/2012 4.00,"20,49247"
04/01/2012 5.00,
04/01/2012 6.00,"20,78042"
04/01/2012 7.00,
04/01/2012 8.00,"25,52367"
04/01/2012 9.00,
04/01/2012 10.00,"31,18132"
04/01/2012 11.00,
04/01/2012 12.00,"29,07271"
04/01/2012 13.00,
04/01/2012 14.00,"20,37307"
