, Brindisi,,
,P.za San Giusto Casale,,
Parm,SO2,NO2,PM10



06/01/2008 13.00,"0,729781","9,519892",
06/01/2008 14.00,"0,777516","12,490715","22,46641"
06/01/2008 15.00,"0,642717","9,920934",
06/01/2008 16.00,"0,762784","11,491351","18,55921"
06/01/2008 17.00,"0,34482","12,691882",
06/01/2008 18.00,"0,620455","16,102694","23,44322"
06/01/2008 19.00,"0,718975","14,588076",
06/01/2008 20.00,"0,549648","17,259099","29,79241"
06/01/2008 21.00,"0,300492","20,5505",
06/01/2008 22.00,"0,487797","22,45707","23,44322"
06/01/2008 23.00,"0,596832","17,539436",
07/01/2008 0.00,"0,35462","9,135723","32,234421"
07/01/2008 1.00,"0,693663","5,993573",
07/01/2008 2.00,"0,416438","4,885191","25,39682"
07/01/2008 3.00,"0,420397","2,790424",
07/01/2008 4.00,"0,478678","2,577573","18,07081"
07/01/2008 5.00,"0,421371","4,545149",
07/01/2008 6.00,"0,393041","8,445254","17,582411"
07/01/2008 7.00,"0,318405","18,510246",
07/01/2008 8.00,"0,728483","36,68174","11,23321"
07/01/2008 9.00,"2,211829","41,935531",
07/01/2008 10.00,"3,237915","34,829679","14,65201"
07/01/2008 11.00,"0,868604","8,502362",
07/01/2008 12.00,"1,143979","5,961126","7,326007"
07/01/2008 13.00,"0,932499","6,157104",
07/01/2008 14.00,"0,983123","5,486105","7,326007"
07/01/2008 15.00,"1,775694","10,162339",
07/01/2008 16.00,"1,870677","13,771714","3,907204"
07/01/2008 17.00,"5,440008","36,307959",
07/01/2008 18.00,"3,035423","37,020488","15,62881"
07/01/2008 19.00,"2,001549","30,705037",
07/01/2008 20.00,"2,548666","46,42487","24,42001"
07/01/2008 21.00,"3,062682","46,876521",
07/01/2008 22.00,"4,092662","51,685145","46,88644"
07/01/2008 23.00,"3,18924","46,967379",
08/01/2008 0.00,"1,106402","29,252719","55,67765"
08/01/2008 1.00,,"15,370698",
08/01/2008 2.00,"1,062401",,"26,86202"
08/01/2008 3.00,"1,053317","9,321317",
08/01/2008 4.00,"0,486105","16,200039","14,65201"
08/01/2008 5.00,"0,445872","15,073487",
08/01/2008 6.00,"1,021944","13,946925","28,81562"
08/01/2008 7.00,"1,12676","34,232657",
08/01/2008 8.00,"2,334693","43,361902","30,28083"
08/01/2008 9.00,"2,450429","35,538324",
08/01/2008 10.00,"0,648998","15,005997","27,83882"
08/01/2008 11.00,"0,56557","10,328465",
08/01/2008 12.00,"0,685687","12,569893","23,44322"
08/01/2008 13.00,"0,982194","13,558869",
08/01/2008 14.00,"0,709749","12,363527","15,62881"
08/01/2008 15.00,"0,826548","14,180541",
08/01/2008 16.00,"1,070712","7,303127","15,62881"
08/01/2008 17.00,"0,846809","9,809317",
08/01/2008 18.00,"0,310197","6,194744","12,69841"
08/01/2008 19.00,"0,359062","3,508149",
08/01/2008 20.00,"0,725371","5,236914","6,837607"
08/01/2008 21.00,"0,490614","6,098702",
08/01/2008 22.00,"0,437175","14,440116","11,23321"
08/01/2008 23.00,"0,307008","6,079232",
09/01/2008 0.00,"0,231504","7,475744","12,69841"
09/01/2008 1.00,"0,383124","9,4537",
09/01/2008 2.00,"0,351621","4,473766","9,27961"
09/01/2008 3.00,"0,288486","1,648299",
09/01/2008 4.00,"0,186988","1,336809","7,814408"
09/01/2008 5.00,"0,0938","3,081148",
09/01/2008 6.00,"0,365826","2,625595","10,25641"
09/01/2008 7.00,"0,304463","3,654809",
09/01/2008 8.00,"0,298569","11,004648","12,21001"
09/01/2008 9.00,"0,606156","22,139085",
09/01/2008 10.00,"0,692419","9,50302","21,001221"
09/01/2008 11.00,"1,665981","7,972827",
09/01/2008 12.00,"1,291522","2,229744","15,62881"
09/01/2008 13.00,"0,647129","1,449722",
09/01/2008 14.00,"0,994435","1,679447","7,814408"
09/01/2008 15.00,"1,555914","2,843637",
09/01/2008 16.00,"1,019302","10,092255","4,884005"
09/01/2008 17.00,"1,310978","13,516037",
09/01/2008 18.00,"0,342376","28,51943","16,60561"
09/01/2008 19.00,"0,717061","48,648125",
09/01/2008 20.00,"2,769549","65,347855","27,35042"
09/01/2008 21.00,"3,00727","64,667754",
09/01/2008 22.00,"1,106402","51,890208","43,956032"
09/01/2008 23.00,"0,647162","42,975124",
10/01/2008 0.00,"0,254374","32,641471","49,816841"
10/01/2008 1.00,,"24,496028",
10/01/2008 2.00,"1,240181",,"33,699631"
10/01/2008 3.00,"0,811108","16,925545",
10/01/2008 4.00,"1,007119","12,362225","30,28083"
10/01/2008 5.00,"0,841972","17,714656",
10/01/2008 6.00,"1,182962","13,348607","26,86202"
10/01/2008 7.00,"0,198847","19,32401",
10/01/2008 8.00,"1,330325","36,545472","27,83882"
10/01/2008 9.00,"6,516318","62,03308",
10/01/2008 10.00,"5,576856","48,931062","44,444431"
10/01/2008 11.00,"2,57869","32,101562",
10/01/2008 12.00,"3,810045","26,215698","38,58363"
10/01/2008 13.00,"3,535552","18,218223",
10/01/2008 14.00,"4,1174","24,131314","22,954821"
10/01/2008 15.00,"2,014239","15,549804",
10/01/2008 16.00,"4,720512","29,273484","15,62881"
10/01/2008 17.00,"4,359032","37,13729",
10/01/2008 18.00,"4,297174","35,047725","21,97802"
10/01/2008 19.00,"2,953703","36,955593",
10/01/2008 20.00,"2,420889","53,97459","30,28083"
10/01/2008 21.00,"4,061342","63,973416",
10/01/2008 22.00,"4,239182","54,693618","41,514042"
10/01/2008 23.00,"4,038145","51,564438",
11/01/2008 0.00,"2,043751","34,854343","51,770451"
11/01/2008 1.00,"2,341762","35,941965",
11/01/2008 2.00,"1,564547","25,68487","52,25885"
11/01/2008 3.00,"1,322078","28,305285",
11/01/2008 4.00,"1,931891","30,899717","41,514042"
11/01/2008 5.00,"1,406423","24,553139",
11/01/2008 6.00,"1,830599","26,436344","41,514042"
11/01/2008 7.00,"2,084602","34,291069",
11/01/2008 8.00,"4,393827","45,847311","43,46764"
11/01/2008 9.00,"4,103868","39,434539",
11/01/2008 10.00,"6,790812","44,576711","44,444431"
11/01/2008 11.00,"9,640131","21,313657",
11/01/2008 12.00,"8,488032","15,205862","26,37361"
11/01/2008 13.00,"5,031735","10,820356",
11/01/2008 14.00,"4,710848","16,872334","20,51281"
11/01/2008 15.00,"4,627726","14,015717",
11/01/2008 16.00,"4,009149","17,331777","13,18681"
11/01/2008 17.00,"3,392505","27,260492",
11/01/2008 18.00,"2,907309","37,921209","15,14041"
11/01/2008 19.00,"1,925318","34,579188",
11/01/2008 20.00,"1,991557","35,416319","25,88522"
11/01/2008 21.00,"2,087696","32,357235",
11/01/2008 22.00,"1,602563","30,4312","37,606831"
11/01/2008 23.00,"1,464479","23,835412",
12/01/2008 0.00,"1,437287","18,276632","44,444431"
12/01/2008 1.00,,"19,984626",
12/01/2008 2.00,"0,125937",,"40,537231"
12/01/2008 3.00,"0,231984","13,638037",
12/01/2008 4.00,"0,164559","9,693807","29,79241"
12/01/2008 5.00,"0,172954","10,794397",
12/01/2008 6.00,"0,186388","20,785408","24,42001"
12/01/2008 7.00,"0,285459","26,261129",
12/01/2008 8.00,"0,326404","29,518793","19,0476"
12/01/2008 9.00,"0,792826","32,841333",
12/01/2008 10.00,"0,343842","18,097525","11,72161"
12/01/2008 11.00,"0,405971","14,477763",
12/01/2008 12.00,"0,550897","9,726254","17,094"
12/01/2008 13.00,"1,609159","8,638638",
12/01/2008 14.00,"0,935942","9,500424","15,14041"
12/01/2008 15.00,"1,345014","6,648999",
12/01/2008 16.00,"1,051805","6,404999","12,21001"
12/01/2008 17.00,"0,776938","9,635401",
12/01/2008 18.00,"0,26363","13,172095","16,11721"
12/01/2008 19.00,"0,257946","9,872914",
12/01/2008 20.00,"0,439167","15,88465","15,14041"
12/01/2008 21.00,"0,52403","14,903464",
12/01/2008 22.00,"0,46513","14,589378","21,001221"
12/01/2008 23.00,"0,314392","14,135125",
13/01/2008 0.00,"0,990968","11,709395","20,51281"
13/01/2008 1.00,"1,303163","9,50951",
13/01/2008 2.00,"1,033721","7,031871","16,11721"
13/01/2008 3.00,"0,171275","5,151255",
13/01/2008 4.00,"0,856376","2,70217","7,814408"
13/01/2008 5.00,"1,974314","5,077276",
13/01/2008 6.00,"1,065626","1,040893","4,884005"
13/01/2008 7.00,"1,023389","3,242085",
13/01/2008 8.00,"0,780296","8,959213","13,18681"
13/01/2008 9.00,"0,492513","9,414764",
13/01/2008 10.00,"0,265309","8,989063","8,791209"
13/01/2008 11.00,"0,299409","10,532227",
13/01/2008 12.00,"0,320204","13,381055","11,23321"
13/01/2008 13.00,"0,766992","13,253867",
13/01/2008 14.00,"0,193104","16,729564","9,76801"
13/01/2008 15.00,"0,745034","6,870934",
13/01/2008 16.00,"1,219076","11,62504","6,349206"
13/01/2008 17.00,"0,967846","24,144296",
13/01/2008 18.00,"0,713","35,867992","22,954821"
13/01/2008 19.00,"0,483472","44,289872",
13/01/2008 20.00,"0,342292","35,716119","38,09523"
13/01/2008 21.00,"0,610184","34,64668",
13/01/2008 22.00,"0,592746","30,793294","42,97924"
13/01/2008 23.00,"0,289075","27,778339",
14/01/2008 0.00,"0,277321","11,013741","35,164822"
14/01/2008 1.00,,"2,607425",
14/01/2008 2.00,"0,278732",,"18,55921"
14/01/2008 3.00,"0,114057","6,587998",
14/01/2008 4.00,"0,126872","12,03646","8,791209"
14/01/2008 5.00,,,
14/01/2008 6.00,,,
14/01/2008 7.00,,,
14/01/2008 8.00,,,
14/01/2008 9.00,,,
14/01/2008 10.00,,,
14/01/2008 11.00,,,
14/01/2008 12.00,,,
14/01/2008 13.00,,,
14/01/2008 14.00,,,
14/01/2008 15.00,,,
14/01/2008 16.00,,,
14/01/2008 17.00,,,
14/01/2008 18.00,,,
14/01/2008 19.00,,,
14/01/2008 20.00,,,
14/01/2008 21.00,,,
14/01/2008 22.00,,,
14/01/2008 23.00,,,
15/01/2008 0.00,,,
15/01/2008 1.00,,,
15/01/2008 2.00,,,
15/01/2008 3.00,,,
15/01/2008 4.00,,,
15/01/2008 5.00,,,
15/01/2008 6.00,,,
15/01/2008 7.00,,,
15/01/2008 8.00,,,
15/01/2008 9.00,,,
15/01/2008 10.00,,,
15/01/2008 11.00,,,
15/01/2008 12.00,,,
15/01/2008 13.00,,,
