,Provincia di TARANTO,,,,
,STATTE sc.elementare,,,,
Parm,SO2,NOX,NO,NO2,PM10



04/01/2008 13.00,"2,265602","8,999708","2,548657","5,788511","20,20892"
04/01/2008 14.00,"0,350742","6,894718","0,729155","5,810573","20,20892"
04/01/2008 15.00,"0,575732","8,152783","0,021993","8,124681","20,20892"
04/01/2008 16.00,"0,682166","8,84407","0,466929","8,133765","20,20892"
04/01/2008 17.00,"0,664743","8,557439","1,11657","6,85017","20,20892"
04/01/2008 18.00,"0,747693","8,755876","1,218077","6,892999","20,20892"
04/01/2008 19.00,"0,649971","8,94264","1,229919","7,061723","20,20892"
04/01/2008 20.00,"0,535582","9,88554","1,218923","8,022147","20,20892"
04/01/2008 21.00,"0,640502","9,632631","1,388099","7,509489","20,20892"
04/01/2008 22.00,"0,481417","7,809084","1,429548","5,621085","20,20892"
04/01/2008 23.00,"0,521189","7,036087","1,728146","4,389403","20,20892"
05/01/2008 0.00,"0,667016","7,375895","2,151937","4,079212","20,20892"
05/01/2008 1.00,"0,613987","7,619725","2,596872","3,64053","23,38298"
05/01/2008 2.00,"0,542021","7,780551","3,323489","2,686595","23,38298"
05/01/2008 3.00,"0,550354","8,733829","4,321636","2,109043","23,38298"
05/01/2008 4.00,"0,580655","9,85571","5,295252","1,737851","23,38298"
05/01/2008 5.00,"0,651486","10,602768","5,87976","1,588595","23,38298"
05/01/2008 6.00,"0,536718","11,292757","6,260407","1,69502","23,38298"
05/01/2008 7.00,"0,506416","12,567685","6,821231","2,110339","23,38298"
05/01/2008 8.00,"0,695424","18,2627","7,942876","6,088318","23,38298"
05/01/2008 9.00,"0,649971","20,882577","8,573062","7,743107","23,38298"
05/01/2008 10.00,"0,505658","16,708924","7,685727","4,928021","23,38298"
05/01/2008 11.00,"0,503007","17,243277","7,459029","5,810573","23,38298"
05/01/2008 12.00,"0,511719","16,204401","6,961647","5,534127","23,38298"
05/01/2008 13.00,"0,435208","14,396419","6,043014","5,134383","23,38298"
05/01/2008 14.00,"0,317789","13,150026","5,603154","4,56202","23,38298"
05/01/2008 15.00,"0,399603","13,051455","5,552401","4,541254","23,38298"
05/01/2008 16.00,"0,490508","11,978857","5,350233","3,778106","23,38298"
05/01/2008 17.00,"0,543157","16,929409","5,845078","7,972827","23,38298"
05/01/2008 18.00,"0,365892","19,66991","5,840002","10,72301","23,38298"
05/01/2008 19.00,"0,401876","13,724586","5,471195","5,339445","23,38298"
05/01/2008 20.00,"0,381801","20,999304","5,742724","12,202586","23,38298"
05/01/2008 21.00,"0,327258","23,492094","6,087848","14,167562","23,38298"
05/01/2008 22.00,"0,366272","26,172946","6,43889","16,311655","23,38298"
05/01/2008 23.00,"0,347711","27,07692","6,825461","16,623136","23,38298"
06/01/2008 0.00,"0,337484","26,599648","6,729029","16,293488","23,38298"
06/01/2008 1.00,"0,32953","27,415441","6,268022","17,817188","25,225201"
06/01/2008 2.00,"0,431041","33,818594","6,889749","23,270837","25,225201"
06/01/2008 3.00,"0,423845","37,60707","6,897362","27,050229","25,225201"
06/01/2008 4.00,"0,424602","35,99879","6,867755","25,48629","25,225201"
06/01/2008 5.00,"0,492781","27,216994","6,703652","16,950202","25,225201"
06/01/2008 6.00,"0,237868","13,976198","6,646132","3,788488","25,225201"
06/01/2008 7.00,"0,301502","17,299049","6,412668","7,471849","25,225201"
06/01/2008 8.00,"0,468539","24,396088","8,661035","11,124055","25,225201"
06/01/2008 9.00,"0,413239","15,898315","7,305078","4,700893","25,225201"
06/01/2008 10.00,"0,381801","18,659575","8,00801","6,385531","25,225201"
06/01/2008 11.00,"0,369681","24,647706","9,166028","10,601009","25,225201"
06/01/2008 12.00,"0,315137","15,673939","6,583536","5,583445","25,225201"
06/01/2008 13.00,"0,292033","14,777729","6,15298","5,347233","25,225201"
06/01/2008 14.00,"0,276503","15,151257","5,826469","6,222","25,225201"
06/01/2008 15.00,"0,153781","15,107161","5,821392","6,185658","25,225201"
06/01/2008 16.00,"0,220823","14,051423","6,18005","4,578894","25,225201"
06/01/2008 17.00,"0,128782","13,223954","6,08108","3,902702","25,225201"
06/01/2008 18.00,"0,251504","13,97101","6,61568","3,830021","25,225201"
06/01/2008 19.00,"0,256807","15,532569","6,288321","5,894935","25,225201"
06/01/2008 20.00,"0,1909","14,308224","5,790941","5,432892","25,225201"
06/01/2008 21.00,"0,256807","12,475599","5,545633","3,975382","25,225201"
06/01/2008 22.00,"0,288244","13,168183","5,477117","4,773574","25,225201"
06/01/2008 23.00,"0,264003","13,095554","5,347696","4,899467","25,225201"
07/01/2008 0.00,"0,221959","38,36707","8,271927","25,701753","25,225201"
07/01/2008 1.00,"0,222717","29,082055","6,098844","19,744515","27,97217"
07/01/2008 2.00,"0,337864","21,706151","5,011879","14,03129","27,97217"
07/01/2008 3.00,"0,241655","15,967055","4,780106","8,643829","27,97217"
07/01/2008 4.00,"0,201127","12,284944","4,369005","5,589937","27,97217"
07/01/2008 5.00,"0,186734","9,868681","4,363083","3,181084","27,97217"
07/01/2008 6.00,"0,205673","9,639114","4,795332","2,288148","27,97217"
07/01/2008 7.00,"0,221203","10,173468","4,871461","2,706063","27,97217"
07/01/2008 8.00,"0,21249","23,222329","5,43313","14,902162","27,97217"
07/01/2008 9.00,"0,390513","40,280142","9,48662","25,752364","27,97217"
07/01/2008 10.00,"27,97217",,,,
07/01/2008 11.00,"2,695718","27,97217",,,
