,,,ARPA Puglia,,,,
,,,De Santis,,,,
Field,,,Aver,Aver,Aver,Aver,Aver



04/01/2008 2.00,,,,"0,8386053","28,5676029","37,11843109","3,82804608"
04/01/2008 3.00,,,"33,12732555",,"32,47284618",,"2,56921291"
04/01/2008 4.00,,,"19,44098145","0,4236071","37,47794742","34,18803024","3,30086088"
04/01/2008 5.00,,,"11,29355033","0,3338358",,,"1,81720603"
04/01/2008 6.00,,,"11,16459086","0,30519965","37,0497213","24,90842056","1,40394902"
04/01/2008 7.00,,,"29,24830854","0,33887855","18,32870578",,"1,34590197"
04/01/2008 8.00,,,"33,94832562","0,43347065","22,01919246","27,8388195","1,76782298"
04/01/2008 9.00,,,"32,49147231","0,44414495","24,62223672",,"2,33031201"
04/01/2008 10.00,,,"23,90350347","0,4161344","32,9967198","31,74603081","2,02448511"
04/01/2008 11.00,,,"22,75564203","0,46795915","36,17706294",,"1,78341806"
04/01/2008 12.00,,,"16,79796766","0,42231795","42,22447668","28,32722092","2,07884908"
04/01/2008 13.00,,,"13,53310844","0,4514325","45,66139056",,"2,00607395"
04/01/2008 14.00,,,"11,45571134","0,44337215","48,94018686","30,28083038","2,04614401"
04/01/2008 15.00,,,"10,87730196","0,3905538","48,42106128",,"1,89149702"
04/01/2008 16.00,,,"8,9671728","0,3404966","50,3259867","31,74603081","1,578089"
04/01/2008 17.00,,,"11,9907016","0,41105485","47,45444274",,"1,60364699"
04/01/2008 18.00,,,"12,64316407","0,39699495","46,50868026","37,11843109","1,50141501"
04/01/2008 19.00,,,"10,88878923","0,39353575","50,26184892",,"1,64458203"
04/01/2008 20.00,,,"12,55633335","0,34226415","48,77161182","33,21123123","1,61555898"
04/01/2008 21.00,,,"15,57476088","0,3394294","45,62707518",,"1,58155406"
04/01/2008 22.00,,,"10,40487565","0,3578685","48,03621498","37,11843109","1,81872201"
04/01/2008 23.00,,,"5,10476314","0,2832128","49,79344104",,"1,400267"
05/01/2008 0.00,,,"3,99519886","0,3071742","49,0371489","28,32722092","1,28417301"
05/01/2008 1.00,,,"5,28607273","0,3520495","47,35598958",,"1,25688303"
05/01/2008 2.00,,,"2,11570554","0,3463961","46,98752598","28,32722092","1,129094"
05/01/2008 3.00,,,,"0,32863205","48,27191004",,"1,08166003"
05/01/2008 4.00,,,,"0,27933615","48,95509806","28,32722092","1,04982102"
05/01/2008 5.00,,,,"0,2942321","47,4663717",,"1,00152099"
05/01/2008 6.00,,,,"0,29037845","46,39829814","25,88521957","0,92701298"
05/01/2008 7.00,,,"3,05800565","0,3068936","40,54928184",,"0,911852"
05/01/2008 8.00,,,"8,9212068","0,2947956","40,4955819","28,32722092","0,99675602"
05/01/2008 9.00,,,"15,55944014","0,3252821","37,2451365",,"1,08490896"
05/01/2008 10.00,,,"14,93890012","0,34362575","34,61672358","33,69963074","1,38445604"
05/01/2008 11.00,,,"11,0752095","0,3240447","41,74863282",,"1,34178698"
05/01/2008 12.00,,,"12,97129888","0,3850338","42,34233402","29,7924099","1,47694004"
05/01/2008 13.00,,,"13,95062648","0,3865794","43,4342655",,"1,56812501"
05/01/2008 14.00,,,"11,24885966","0,39438215","46,78316406","33,69963074","1,84362996"
05/01/2008 15.00,,,"9,17146445","0,30115165","47,36195406",,"1,34525204"
05/01/2008 16.00,,,"9,00547748","0,30071925","48,42555426","37,11843109","1,20446801"
05/01/2008 17.00,,,"7,37751901","0,2786726","49,45929282",,"1,09855402"
05/01/2008 18.00,,,"11,91919163","0,309051","46,62355536","36,14162064","1,24237096"
05/01/2008 19.00,,,"15,71776015","0,32702665","43,61773212",,"1,46502805"
05/01/2008 20.00,,,"14,98486235","0,365194","46,64443104","37,11843109","1,77042198"
05/01/2008 21.00,,,"14,62096974","0,3572199","47,64836682",,"1,83301699"
05/01/2008 22.00,,,"15,33216267","0,32939335","46,75630428","41,5140419","2,02015305"
05/01/2008 23.00,,,"15,90673105","0,30166685","45,58532382",,"1,78320098"
06/01/2008 0.00,,,"20,61310779","0,30269725","42,41094516","36,14162064","1,39376903"
06/01/2008 1.00,,,"12,31628765","0,2510059","51,2806959",,"1,34633505"
06/01/2008 2.00,,,,"0,24917855","52,3084896","32,72283173","0,980295"
06/01/2008 3.00,,,"17,24612531",,"59,39411526",,"0,78059697"
06/01/2008 4.00,,,"6,952334","0,28655585","66,21275196","36,14162064","0,55079299"
06/01/2008 5.00,,,"3,44616129","0,2872401",,,"0,37860301"
06/01/2008 6.00,,,"2,07867805","0,2706617","64,78841844","29,30401993","0,301063"
06/01/2008 7.00,,,"1,91396641","0,2608361","64,81935918",,"0,26727399"
06/01/2008 8.00,,,"3,55086339","0,28463075","63,28140624","29,30401993","0,29759699"
06/01/2008 9.00,,,"4,77917144","0,2737138","62,21042892",,"0,36885601"
06/01/2008 10.00,,,"3,95178726","0,28265045","64,44224316","29,7924099","0,387916"
06/01/2008 11.00,,,"3,34529267","0,2688309","65,52204948",,"0,32597101"
06/01/2008 12.00,,,"4,17012433","0,28792435","65,9875536","17,58241081","0,41433999"
06/01/2008 13.00,,,"5,40737277","0,30296635","64,55125188",,"0,52047002"
06/01/2008 14.00,,,"6,94978149","0,28912725","62,66857554","25,88521957","0,59714401"
06/01/2008 15.00,,,"3,2661289","0,29369735","65,98311948",,"0,54559499"
