,,,ARPA Puglia,,,,
,,,De Santis,,,,
Field,,,Aver,Aver,Aver,Aver,Aver



05/04/2008 13.00,,,"20,62461951","0,4865374","72,65152584",,
05/04/2008 14.00,,,"14,79461049","0,3228602","74,63226294","38,58362961",
05/04/2008 15.00,,,"20,15346663","0,3763283","63,94083444",,
05/04/2008 16.00,,,"13,61610756","0,4030405","77,18303952","46,39804077",
05/04/2008 17.00,,,"17,2027156","0,34813605","76,17380634",,
05/04/2008 18.00,,,"24,71428971","0,50538015","68,26849632","36,63003159",
05/04/2008 19.00,,,"46,38463236","0,7451011","45,48757698",,
05/04/2008 20.00,,,"44,56132263","0,7505728","39,65612058","36,63003159",
05/04/2008 21.00,,,"44,21913111","0,8107615","39,48246396",,
05/04/2008 22.00,,,"53,45060886","0,88361745","27,2180412","36,63003159",
05/04/2008 23.00,,,"49,551183","0,88185105","27,16646022",,
06/04/2008 0.00,,,"31,93093431","0,60882495","34,78987008","40,04883957",
06/04/2008 1.00,,,"22,09934232","0,4674658","35,56505628",,
06/04/2008 2.00,,,"12,95853065","0,39167965","43,74090648","28,32722092",
06/04/2008 3.00,,,"9,47024249","0,35212885","41,77150974",,
06/04/2008 4.00,,,"8,41558271","0,3553454","38,71610676","19,04759979",
06/04/2008 5.00,,,"8,63519699","0,3358","37,83395232",,
06/04/2008 6.00,,,"9,47024249","0,2978569","57,29646258","21,48962021",
06/04/2008 7.00,,,"13,05046453","0,31800605","62,68872528",,
06/04/2008 8.00,,,"14,80610904","0,43655955","59,39674434","21,48962021",
06/04/2008 9.00,,,"17,16824251","0,44355385","57,27884382",,
06/04/2008 10.00,,,"10,68067727","0,35372275","67,25424042","20,02441978",
06/04/2008 11.00,,,"8,31215969","0,35482905","74,01815694",,
06/04/2008 12.00,,,"12,43503895","0,38919565","73,73376504","26,86202049",
06/04/2008 13.00,,,"14,76269933","0,4114562","76,8269169",,
06/04/2008 14.00,,,"11,76597665","0,43673205","76,34620728","20,51280975",
06/04/2008 15.00,,,"13,25987061","0,4228734","79,84835766",,
06/04/2008 16.00,,,"18,76172602","0,5535479","73,049184","18,07081032",
06/04/2008 17.00,,,"23,04420624","0,5429058","72,4363533",,
06/04/2008 18.00,,,"22,9497048","0,61063505","67,44172914","24,90842056",
06/04/2008 19.00,,,"29,40537204","1,10481305","50,01406794",,
06/04/2008 20.00,,,"42,62182353","1,0688376","41,99423598","40,53723145",
06/04/2008 21.00,,,"25,9796196","0,5373053","66,58349148",,
06/04/2008 22.00,,,"18,06968543","0,4417012","72,22114152","38,0952301",
06/04/2008 23.00,,,"14,57883158","0,42209715","72,2161188",,
07/04/2008 0.00,,,"17,64066695","0,46255415","63,95468616","31,25761986",
07/04/2008 1.00,,,"14,18045459","0,372163","66,33559278",,
07/04/2008 2.00,,,,"0,36706505","71,331453","29,7924099",
07/04/2008 3.00,,,"25,37952417",,"69,25383234",,
07/04/2008 4.00,,,"15,8786402","0,237268","65,74036122","25,88521957",
07/04/2008 5.00,,,"15,35131689","0,257669",,,
07/04/2008 6.00,,,"26,15327352","0,3247094","45,53058402","20,51280975",
07/04/2008 7.00,,,"53,90389224","0,4687883","30,08723076",,
07/04/2008 8.00,,,"57,84035499","0,70018555","32,38922574","37,6068306",
07/04/2008 9.00,,,"27,86295204","0,38175055","64,7534556",,
07/04/2008 10.00,,,"20,94510429","0,40421235","71,94965958","27,8388195",
07/04/2008 11.00,,,"16,42257649","0,35476695","82,47751614",,
07/04/2008 12.00,,,"13,63525802","0,3314967","86,15944458","33,21123123",
07/04/2008 13.00,,,"15,80075551","0,4364848","83,32823934",,
07/04/2008 14.00,,,"14,08725104","0,2760069","87,24413628","36,14162064",
07/04/2008 15.00,,,"15,83651144","0,30069395","84,97969398",,
07/04/2008 16.00,,,"17,3916865","0,3688418","85,40128854","25,39682007",
07/04/2008 17.00,,,"17,66747684","0,3365981","86,29705926",,
07/04/2008 18.00,,,"16,4455529","0,35678175","85,38004008","28,81562042",
07/04/2008 19.00,,,"19,8419166","0,50015685","75,44894544",,
07/04/2008 20.00,,,"18,08117457","0,43680105","73,37089314","47,86323166",
07/04/2008 21.00,,,"11,89110265","0,41763055","81,83696238",,
07/04/2008 22.00,,,"9,4319378","0,3880238","83,7360999","50,30524063",
07/04/2008 23.00,,,"6,76081058","0,3329802","88,60280166",,
08/04/2008 0.00,,,"5,76360784","0,33239715","90,60078474","44,4444313",
08/04/2008 1.00,,,"4,46507078","0,2638675","94,21516152",,
08/04/2008 2.00,,,"4,06414691","0,31224915","92,19716604","38,58362961",
08/04/2008 3.00,,,"4,00030577","0,2788359","90,36558018",,
08/04/2008 4.00,,,"4,08202205","0,251528","88,38511776","39,07204056",
08/04/2008 5.00,,,"4,36164963","0,26897695","85,32498636",,
08/04/2008 6.00,,,"6,36499364","0,29735435","85,25867076","42,49084091",
08/04/2008 7.00,,,"13,50630042","0,3325248","78,04369044",,
08/04/2008 8.00,,,"19,82530737","0,5043233","70,60474782","43,46763992",
08/04/2008 9.00,,,"19,47801834","0,4585878","67,7935746",,
08/04/2008 10.00,,,"17,00097647","0,4174178","67,1555322","37,6068306",
08/04/2008 11.00,,,"17,94455942","0,41574225","68,68810926",,
08/04/2008 12.00,,,"16,87840298","0,42353925","71,47675872","51,28205109",
08/04/2008 13.00,,,"19,54185948","0,54100485","69,1372503",,
08/04/2008 14.00,,,"19,46906478","0,3918303","63,2584116","61,53845978",
08/04/2008 15.00,,,"22,80926934","0,4140851","55,68811308",,
08/04/2008 16.00,,,"22,46070123","0,45420975","55,17765954","51,28205109",
08/04/2008 17.00,,,"23,38256052","0,60769565","55,7231544",,
08/04/2008 18.00,,,"20,97190854","0,53586205","58,65316596","51,28205109",
08/04/2008 19.00,,,"20,49437907","0,51545875","60,5423169",,
08/04/2008 20.00,,,"24,73983369","0,5055975","58,08518658","42,97924042",
08/04/2008 21.00,,,"25,79193342","0,50191865","57,16314468",,
08/04/2008 22.00,,,"22,77734877","0,48366585","56,59265394","47,86323166",
08/04/2008 23.00,,,"11,56423752","0,34730345","70,67106342",,
09/04/2008 0.00,,,"8,61221305","0,291847","71,5030299","59,58485031",
09/04/2008 1.00,,,"6,92807663","0,3024247","67,81235094",,
09/04/2008 2.00,,,,"0,24595165","63,77259294","51,77045059",
09/04/2008 3.00,,,"23,45917365",,"63,01068948",,
09/04/2008 4.00,,,"15,48282701","0,14872835","57,24947268","45,42124176",
09/04/2008 5.00,,,"12,47845055","0,11366025",,,
09/04/2008 6.00,,,"17,20654907","0,1510318","47,8715247","43,9560318",
09/04/2008 7.00,,,"31,84154919","0,3042992","31,80782628",,
09/04/2008 8.00,,,"38,45170296","0,48376935","29,15665416","47,86323166",
09/04/2008 9.00,,,"22,33683738","0,2505827","51,32097576",,
09/04/2008 10.00,,,"19,64399778","0,2871251","57,78788472","50,79365158",
09/04/2008 11.00,,,"18,11181606","0,3002213","61,80317658",,
09/04/2008 12.00,,,"22,46324058","0,36705355","66,29968818","34,18803024",
09/04/2008 13.00,,,"26,56570158","0,4218039","71,7687828",,
09/04/2008 14.00,,,"21,93464196","0,25636605","79,84988802","32,23442078",
09/04/2008 15.00,,,"17,17462662","0,3507776","75,45063276",,
09/04/2008 16.00,,,"18,34802828","0,2646426","76,20215724","36,14162064",
09/04/2008 17.00,,,"24,37081911","0,40414335","70,68885876",,
09/04/2008 18.00,,,"36,31556412","0,5808374","55,0962954","29,30401993",
09/04/2008 19.00,,,"46,95282603","0,75935075","39,74621562",,
09/04/2008 20.00,,,"50,37855966","0,85003055","33,79337028","32,72283173",
09/04/2008 21.00,,,"32,70596274","0,59768835","47,05560738",,
09/04/2008 22.00,,,"26,03836323","0,4527504","48,99439692","34,18803024",
09/04/2008 23.00,,,"21,62691036","0,30472815","51,3778149",,
10/04/2008 0.00,,,"20,31051132","0,27974095","45,21656592","38,0952301",
10/04/2008 1.00,,,"15,83778111","0,32400215","50,51135646",,
10/04/2008 2.00,,,"12,37119593","0,1610667","60,92408286","36,14162064",
10/04/2008 3.00,,,"10,27208269","0,16953415","57,42412992",,
10/04/2008 4.00,,,"6,69696944","0,1561907","63,79882488","25,39682007",
10/04/2008 5.00,,,"9,33872861","0,15083285","56,69279442",,
10/04/2008 6.00,,,"16,04973972","0,1883033","44,9753184","24,42000961",
10/04/2008 7.00,,,"31,73813181","0,29708985","26,02424268",,
10/04/2008 8.00,,,"52,99606521","0,7210316","11,66127453","51,77045059",
10/04/2008 9.00,,,"38,06737704","0,4985411","28,87498944",,
10/04/2008 10.00,,,"28,49882409","0,36158415","45,50705964","52,7472496",
10/04/2008 11.00,,,"19,67719743","0,32762465","67,75980858",,
10/04/2008 12.00,,,"14,86100791","0,4198282","73,3084623","54,21244049",
10/04/2008 13.00,,,"15,99739149","0,4962549","69,76934784",,
10/04/2008 14.00,,,"15,04359282","0,3601294","67,6158174","56,65444183",
10/04/2008 15.00,,,"11,7608735","0,2705329","73,21120596",,
10/04/2008 16.00,,,"11,83747534","0,2898552","72,28663308","50,30524063",
10/04/2008 17.00,,,"16,18891303","0,3062082","66,38052258",,
10/04/2008 18.00,,,"19,74615489","0,39446955","56,8582695","59,58485031",
10/04/2008 19.00,,,"21,81333627","0,4232437","51,58243188",,
10/04/2008 20.00,,,"29,70031284","0,4567225","38,75091264","55,18925095",
10/04/2008 21.00,,,"38,45298204","0,52835255","24,9076881",,
10/04/2008 22.00,,,"23,20253001","0,42216385","33,40813158","59,09645081",
10/04/2008 23.00,,,"19,41927471","0,3045522","38,14212366",,
11/04/2008 0.00,,,"13,97872674","0,230552","44,06084982","67,39926147",
11/04/2008 1.00,,,"9,40001723","0,17833855","45,76726008",,
11/04/2008 2.00,,,,"0,11732645","50,71597344","57,14284134",
11/04/2008 3.00,,,"21,63330576",,"54,20454678",,
11/04/2008 4.00,,,"13,66078695","0,17929535","50,4140805","58,6080513",
11/04/2008 5.00,,,"11,55019774","0,1469861",,,
11/04/2008 6.00,,,"12,80659664","0,14729545","47,62140894","54,70085144",
11/04/2008 7.00,,,"17,89475431","0,2055165","51,88100904",,
11/04/2008 8.00,,,"22,49388207","0,29805355","49,45091508","65,93405151",
11/04/2008 9.00,,,"22,3840881","0,2950394","49,17081996",,
11/04/2008 10.00,,,"18,99537255","0,2462518","52,32512736","78,14408112",
11/04/2008 11.00,,,"18,28036119","0,2660755","54,85363524",,
11/04/2008 12.00,,,"20,50969041","0,3126413","53,97420798","81,56288147",
11/04/2008 13.00,,,"18,96473106","0,3778532","58,698135",,
11/04/2008 14.00,,,"17,21038067","0,1783926","62,92744182","89,86569214",
11/04/2008 15.00,,,"16,18508143","0,2119634","65,79661176",,
11/04/2008 16.00,,,"16,4046957","0,1983221","64,19169576","74,72527313",
11/04/2008 17.00,,,"14,67076545","0,2369621","64,97524008",,
11/04/2008 18.00,,,"17,11206268","0,2995543","62,45175492","82,05126953",
11/04/2008 19.00,,,"15,40366136","0,26232305","64,11723786",,
11/04/2008 20.00,,,"16,47747347","0,3270922","63,41068242","88,88887024",
11/04/2008 21.00,,,"15,78415568","0,3105299","62,94131316",,
11/04/2008 22.00,,,"13,27774199","0,2620597","65,62375956","78,14408112",
11/04/2008 23.00,,,"10,92709768","0,22935255","68,85631152",,
12/04/2008 0.00,,,"10,20696811","0,17768075","67,33213182","71,79486084",
12/04/2008 1.00,,,"8,56114014","0,18686465","66,4489179",,
12/04/2008 2.00,,,"6,62929671","0,1132888","65,7108135","71,79486084",
12/04/2008 3.00,,,"5,4609982","0,117967","66,03128658",,
12/04/2008 4.00,,,"5,1813725","0,10181525","55,960164","77,16725922",
12/04/2008 5.00,,,"4,9962332","0,1172747","57,05156574",,
12/04/2008 6.00,,,"7,6596991","0,10430385","51,99835626","91,33087921",
12/04/2008 7.00,,,"16,60004884","0,17968175","39,8188881",,
12/04/2008 8.00,,,"23,82179283","0,3280582","36,68853672","116,7276001",
12/04/2008 9.00,,,"17,39807061","0,27345505","41,56763832",,"0,70977199"
12/04/2008 10.00,,,"19,13072931","0,27083075","38,5685055","128,44920349","0,154863"
12/04/2008 11.00,,,"20,54289006","0,3274004","42,39785862",,"0,419539"
12/04/2008 12.00,,,"17,81815246","0,3743963","49,33735452","147,00840759","0,52545202"
12/04/2008 13.00,,,"18,39655056","0,33732145","54,33001668",,"0,774966"
12/04/2008 14.00,,,"12,02900817","0,11372465","60,2488017","149,93890381","0,32727"
12/04/2008 15.00,,,"9,03484365","0,1475841","64,75694796",,0
12/04/2008 16.00,,,"16,89883628","0,27848745","58,715793","137,24040222","0,023175"
12/04/2008 17.00,,,"20,0525886","0,2881601","55,59931296",,"0,32445499"
12/04/2008 18.00,,,"42,52224339","0,62012715","39,05553276","133,82170105","0,452894"
12/04/2008 19.00,,,"56,14472754","0,9473263","24,61756716",,"1,22634304"
12/04/2008 20.00,,,"55,06708383","1,07934745","21,13393806","141,63600159","2,19710898"
12/04/2008 21.00,,,"52,26571053","0,7427827","21,42413748",,"3,04268289"
12/04/2008 22.00,,,"40,8342528","0,4567639","25,90326576","138,70570374","1,93394899"
12/04/2008 23.00,,,"41,92978482","0,42907305","25,50584304",,"1,05978405"
13/04/2008 0.00,,,"35,34773319","0,3232305","35,62740864","126,49559784","1,07148004"
13/04/2008 1.00,,,"24,18569109","0,1994031","44,27025408",,"0,51180702"
13/04/2008 2.00,,,,"0,17946555","48,65854176","92,30769348","0,109596"
13/04/2008 3.00,,,"30,64643703",,"49,7234565",,
13/04/2008 4.00,,,"21,05999577","0,1858722","49,10393538","56,65444183",
13/04/2008 5.00,,,"18,7221479","0,1855042",,,
13/04/2008 6.00,,,"17,98158503","0,20037485","41,17029408","44,93283081",
13/04/2008 7.00,,,"22,64199201","0,27058465","41,15773728",,
13/04/2008 8.00,,,"21,97549728","0,31976785","45,78662502","30,76922989",
13/04/2008 9.00,,,"17,44659477","0,3001454","57,19626324",,
13/04/2008 10.00,,,"18,80002882","0,328279","61,05176982","36,14162064",
13/04/2008 11.00,,,"18,09266184","0,41423575","66,34605024",,
13/04/2008 12.00,,,"24,87645072","0,41557435","64,67377878","38,58362961","0,14425001"
13/04/2008 13.00,,,"16,556641","0,27119645","76,18134042",,"0,31297499"
13/04/2008 14.00,,,"11,15692578","0,2918447","81,30235662","34,18803024",0
13/04/2008 15.00,,,"14,10895589","0,29041065","75,6050814",,0
13/04/2008 16.00,,,"16,74177655","0,32769365","68,92351002","26,37360954","0,000217"
13/04/2008 17.00,,,"21,72269088","0,3696399","63,38694222",,"0,065411"
13/04/2008 18.00,,,"31,77261054","0,56122875","55,10842056","35,65322113","0,059346"
13/04/2008 19.00,,,"41,51353833","0,61232555","46,20721896",,"0,44488001"
13/04/2008 20.00,,,"46,45614798","0,8000987","40,24252314","33,21123123","0,804856"
13/04/2008 21.00,,,"56,29027932","0,98277735","33,28476102",,"1,68335199"
13/04/2008 22.00,,,"54,00347238","1,10051895","29,45058138","38,58362961","1,45506501"
13/04/2008 23.00,,,"52,4125602","0,8084316","26,03948742",,"1,24540401"
14/04/2008 0.00,,,"50,20236639","0,6991954","22,7200581","29,30401993","1,37211001"
14/04/2008 1.00,,,,"0,6138792","33,20942022",,
14/04/2008 2.00,,,,"0,51237215","50,20083072","27,35042",
14/04/2008 3.00,,,,"0,46176985","56,2784985",,
14/04/2008 4.00,,,,"0,52143875","43,1187759","16,60560989",
14/04/2008 5.00,,,,"0,4991828","35,49185406",,
14/04/2008 6.00,,,,"0,51276085","29,99670408","17,58241081",
14/04/2008 7.00,,,,"0,634777","25,96918896",,
14/04/2008 8.00,,,,"0,77501375","32,29043904","52,2588501",
14/04/2008 9.00,,,,"0,7964716","45,7138152",,
14/04/2008 10.00,,,,"0,6628416","59,81388516","45,90964127",
14/04/2008 11.00,,,,"1,0323872","56,25968292",,
14/04/2008 12.00,,,,"1,3722697","60,23950182","37,11843109",
14/04/2008 13.00,,,,"1,84936675","69,08547312",,
14/04/2008 14.00,,,,"1,6945204","64,44830574","32,72283173",
14/04/2008 15.00,,,"9,3859718","0,46475065","70,23294882",,"0,087287"
14/04/2008 16.00,,,"11,75959254","0,49419525","75,32635968","24,42000961",0
14/04/2008 17.00,,,"15,17128074","0,4897482","76,33574982",,"0,009747"
14/04/2008 18.00,,,"17,4619174","0,6447291","72,43127172","27,8388195","0,088153"
14/04/2008 19.00,,,"26,87085621","0,58784435","60,59226942",,"0,35174501"
14/04/2008 20.00,,,"42,09066675","0,8269972","44,124399","33,21123123","0,50812501"
14/04/2008 21.00,,,"41,42161386","0,86127985","38,3329674",,"1,13732398"
14/04/2008 22.00,,,"43,59093354","0,82198895","31,83970878","40,04883957","1,06216705"
14/04/2008 23.00,,,"32,88983049","0,5898304","42,12068688",,"1,26381397"
15/04/2008 0.00,,,"20,47521168","0,4974762","51,23156742","38,58362961","0,30236199"
15/04/2008 1.00,,,"10,44573473","0,41678185","53,1511686",,"0,054581"
15/04/2008 2.00,,,,"0,40922405","49,97484756","34,67642975",0
15/04/2008 3.00,,,"25,95537351",,"36,77745456",,"0,003899"
15/04/2008 4.00,,,"17,46957119","0,12877815","36,50249988","26,86202049","0,018843"
15/04/2008 5.00,,,"13,07345035","0,1302467",,,0
15/04/2008 6.00,,,"32,50934181","0,1689511","25,57822122","29,30401993",0
15/04/2008 7.00,,,"47,14690761","0,2935099","21,46973436",,"0,012562"
15/04/2008 8.00,,,"44,5332393","0,6407386","25,49483622","32,23442078","0,40546"
15/04/2008 9.00,,,"30,36298914","0,403006","40,7601576",,"1,84514701"
15/04/2008 10.00,,,"18,43612868","0,2422935","66,3004926","32,23442078","0,77929801"
15/04/2008 11.00,,,"14,7231118","0,2216786","72,45059742",,"0,091835"
15/04/2008 12.00,,,"13,79996402","0,3880445","77,17813452","25,39682007",0
15/04/2008 13.00,,,"12,14775005",,"78,4693071",,"1,81460702"
15/04/2008 14.00,,,"10,07672767","0,28719755","82,45777842","32,72283173","0,499461"
15/04/2008 15.00,,,"9,49960866","0,2948117","85,8474081",,"0,067577"
15/04/2008 16.00,,,"10,83261128","0,4015455","84,12922584","27,8388195","0,000866"
15/04/2008 17.00,,,"16,56174227","0,4410112","75,70125864",,"0,001083"
15/04/2008 18.00,,,"13,21389709","0,3687015","76,44032442","29,7924099","0,025991"
15/04/2008 19.00,,,"27,21560589","0,5235674","63,9531558",,"0,014295"
15/04/2008 20.00,,,"34,22539692","0,8146531","55,69955154","39,07204056","0,38401699"
15/04/2008 21.00,,,"34,36329303","0,6225962","50,2998921",,"0,50747502"
15/04/2008 22.00,,,"25,34888268","0,4391666","58,79101608","36,63003159","0,486682"
15/04/2008 23.00,,,"15,54667191","0,4586453","59,41006632",,"0,088586"
16/04/2008 0.00,,,"14,82653294","0,44806415","54,7166484","32,72283173","0,088803"
16/04/2008 1.00,,,"11,58339174","0,4577437","58,70258874",,"0,046784"
16/04/2008 2.00,,,"9,58771094","0,44267525","54,39574368","32,23442078","0,022309"
16/04/2008 3.00,,,"12,24862056","0,51373145","51,60116898",,"0,041369"
16/04/2008 4.00,,,"8,59178351","0,4360432","54,81264906","19,53602028","0,022959"
16/04/2008 5.00,,,"8,13595702","0,4195361","50,8090311",,
16/04/2008 6.00,,,"11,05350464","0,4009084","50,58667764","26,86202049",
16/04/2008 7.00,,,"22,23851751","0,47213595","43,6911894",,
16/04/2008 8.00,,,"35,70013854","0,8199316","37,63333782","29,30401993","0,228504"
16/04/2008 9.00,,,"23,45151798","0,60080485","52,42487544",,
16/04/2008 10.00,,,"15,59646574","0,49943005","72,60345684","31,74603081",
16/04/2008 11.00,,,"17,01374469","0,54472625","76,12573734",,"3,67859697"
16/04/2008 12.00,,,"16,59111221","0,59471445","78,00945354","29,7924099","1,43340504"
16/04/2008 13.00,,,"26,65506789","0,86856625","75,9021282",,"1,34416902"
16/04/2008 14.00,,,"24,27761556","0,7812226","79,99040646","29,7924099","1,93005097"
16/04/2008 15.00,,,"26,87851188","0,7135497","80,45910864",,"1,04570603"
16/04/2008 16.00,,,"21,5643483","0,63518295","82,78751214","20,02441978","1,12324595"
16/04/2008 17.00,,,"29,60071389","0,8825974","74,00200968",,"1,39615202"
16/04/2008 18.00,,,"37,78392915","0,8837704","64,2765915","20,02441978","1,53672004"
16/04/2008 19.00,,,"43,99186869","1,1197711","56,16952902",,"1,53693604"
16/04/2008 20.00,,,"44,10166266","1,01853085","48,66635052","40,53723145","1,97380197"
16/04/2008 21.00,,,"32,77108296","0,74219735","54,35026452",,"2,10743904"
16/04/2008 22.00,,,"25,27099047","0,66022305","56,43229968","37,6068306","1,12216306"
16/04/2008 23.00,,,"17,67386095","0,5537043","63,58172958",,"0,73359698"
17/04/2008 0.00,,,"15,24789575","0,56994575","65,33275572","35,65322113","0,25427899"
17/04/2008 1.00,,,"8,41813523","0,5254626","76,19018904",,"0,17977101"
17/04/2008 2.00,,,,"0,51657425","77,31078534","32,72283173","0,003465"
17/04/2008 3.00,,,"19,18561689",,"78,70176486",,"0,054365"
17/04/2008 4.00,,,"9,68347453","0,314249","81,980208","23,44322014","0,002383"
17/04/2008 5.00,,,"9,03612085","0,34766685",,,0
17/04/2008 6.00,,,"10,81345706","0,337755","73,0987245","23,44322014",0
17/04/2008 7.00,,,"17,34572615","0,47444055","72,30678282",,0
17/04/2008 8.00,,,"25,17650784","0,56550445","65,1967695","33,69963074","0,15096501"
17/04/2008 9.00,,,"21,09321423","0,4932787","68,46697224",,"0,76695198"
17/04/2008 10.00,,,"20,18920563","0,5097651","69,1664841","39,56044006","0,55230898"
17/04/2008 11.00,,,"18,74640339","0,50963055","69,96342888",,"0,85423899"
17/04/2008 12.00,,,"13,67100266","0,4978396","77,09092362","33,69963074","0,729698"
17/04/2008 13.00,,,"15,43430285","0,8463402","75,56450724",,"1,21009898"
17/04/2008 14.00,,,"12,95598002","0,44542605","76,84736094","44,93283081","0,93805999"
17/04/2008 15.00,,,"10,54276988","0,45432475","78,589872",,"0,168942"
17/04/2008 16.00,,,"11,48507187","0,43620305","77,01597522","36,63003159","0,61555398"
17/04/2008 17.00,,,"13,47693049","0,429341","75,8280627",,"0,085554"
17/04/2008 18.00,,,"12,94194023","0,5104781","76,0566357","39,07204056","0,239334"
17/04/2008 19.00,,,"12,56271746","0,52754295","77,75421696",,"0,281569"
17/04/2008 20.00,,,"12,25245404","0,469085","77,87662614","36,14162064","0,31470799"
17/04/2008 21.00,,,"9,75497698","0,3819587","80,46605412",,"0,272039"
17/04/2008 22.00,,,"7,81802475","0,3957426","81,40663692","25,88521957","0,111978"
17/04/2008 23.00,,,"9,10506891","0,35473475","75,76060914",,"0,08642"
18/04/2008 0.00,,,"7,6022402","0,4409951","76,98224844","33,69963074","0,051982"
18/04/2008 1.00,,,"4,62978242","0,35013705","80,37113256",,"0,064978"
18/04/2008 2.00,,,"3,12950811","0,32616185","81,07937532","29,7924099",0
18/04/2008 3.00,,,"3,71429596","0,31866845","79,25689314",,0
18/04/2008 4.00,,,"4,09606748","0,30093545","72,3217725","19,53602028",0
18/04/2008 5.00,,,"4,57998671","0,28110485","73,00878642",,0
18/04/2008 6.00,,,"15,22107457","0,35708765","61,36820118","21,97801971","0,0496"
18/04/2008 7.00,,,"30,35661255","0,4272273","44,34388794",,"0,42170399"
18/04/2008 8.00,,,"32,81577552","0,7067026","46,37871738","30,76922989","0,69222802"
18/04/2008 9.00,,,"20,40499395","0,4836992","68,12472096",,"2,32771301"
18/04/2008 10.00,,,"17,34699394","0,44244065","71,73717498","38,0952301","1,00953496"
18/04/2008 11.00,,,"13,51905925","0,45577145","77,10716898",,"1,03336"
18/04/2008 12.00,,,"13,2573181","0,48581865","79,85273292","83,51647186","1,78904903"
18/04/2008 13.00,,,"14,56989494","0,57420075","77,40321516",,"1,26446402"
18/04/2008 14.00,,,"14,06554618","0,40137645","73,28483982","86,4468689","0,68031502"
18/04/2008 15.00,,,"15,55560666","0,4274412","71,75842344",,"0,30950999"
18/04/2008 16.00,,,"13,81656385","0,4143703","73,34729028","65,44566345","0,212043"
18/04/2008 17.00,,,"13,64674717","0,4487231","69,54497352",,"0,106347"
18/04/2008 18.00,,,"13,19474475","0,4708675","66,10238946","66,91085052","0,27615499"
18/04/2008 19.00,,,"23,59962792","0,6448142","52,4819304",,"0,46437299"
18/04/2008 20.00,,,"24,19590492","0,67301795","48,77078778","72,77165985","1,13255894"
18/04/2008 21.00,,,"21,87845649","0,6448142","45,0159318",,"0,99523997"
18/04/2008 22.00,,,"13,1053728","0,48383375","52,26832746","74,23686981","0,60797399"
18/04/2008 23.00,,,"14,61330466","0,47701655","50,51455452",,"0,42235401"
19/04/2008 0.00,,,"9,09996199","0,4791268","55,4123736","59,58485031","0,03812"
19/04/2008 1.00,,,"7,46562128","0,36453735","57,85816356",,"0,24150001"
19/04/2008 2.00,,,,"0,33174855","63,09199476","65,44566345",0
19/04/2008 3.00,,,"16,24254034",,"62,90462376",,0
19/04/2008 4.00,,,"9,96565086","0,16796325","66,5358345","55,18925095",0
19/04/2008 5.00,,,"8,01721137","0,1882642",,,0
19/04/2008 6.00,,,"8,73606561","0,18232675","60,44415804","69,84127045",0
19/04/2008 7.00,,,"11,52976255","0,17207565","61,42882698",,0
19/04/2008 8.00,,,"18,97750305","0,31856495","54,9924075","73,74845886","0,0966"
19/04/2008 9.00,,,"19,22649102","0,3198334","53,8457166",,"0,99632299"
19/04/2008 10.00,,,"14,15236749","0,22335645","61,2244062","94,74967957","1,30236697"
19/04/2008 11.00,,,"13,88168031","0,23096485","62,24272344",,"0,86723399"
19/04/2008 12.00,,,"11,91919163","0,21463485","64,1733903","109,40170288","0,52610201"
19/04/2008 13.00,,,"12,38141164","0,3655597","63,05536422",,"0,79879099"
19/04/2008 14.00,,,"10,75983163","0,19256405","61,11971388","115,26239777","0,43470001"
19/04/2008 15.00,,,"8,78458413","0,19859695","62,0669871",,"0,022742"
19/04/2008 16.00,,,"9,83541606","0,2459712","59,24761272","95,72647858","0,009747"
19/04/2008 17.00,,,"12,9061843","0,2568502","57,9625812",,"0,047434"
19/04/2008 18.00,,,"15,35514849","0,2339997","61,2119475","101,58730316","0,12692299"
19/04/2008 19.00,,,"20,99361528","0,2879807","56,13285924",,"0,41044199"
19/04/2008 20.00,,,"37,2208518","0,6599873","39,04346646","105,00610352","1,17371202"
19/04/2008 21.00,,,"57,03978258","0,8699106","16,7532806",,"4,50381184"
19/04/2008 22.00,,,"42,31792917","0,8147681","31,60122768","106,47119904","4,52547216"
19/04/2008 23.00,,,"34,94297961","0,570952","39,95459964",,"3,29262996"
20/04/2008 0.00,,,"63,20558772","0,9087415","13,1108845","106,47119904","3,14794707"
20/04/2008 1.00,,,"52,09461477","0,73778595","20,85849288",,"4,33205509"
20/04/2008 2.00,,,"41,29519185","0,5360196","22,9948362","100,61039734","2,37406397"
20/04/2008 3.00,,,"37,09826703","0,45350365","24,19385364",,"1,99286199"
20/04/2008 4.00,,,"16,30893964","0,1512549","42,33022848","88,40048981","1,30020106"
20/04/2008 5.00,,,"11,6497854","0,1055907","46,44460134",,"0,076674"
20/04/2008 6.00,,,"9,34128113","0,0862592","48,5821611","81,07447052","0,000217"
20/04/2008 7.00,,,"22,16446254","0,13560685","38,64586716",,"0,006281"
20/04/2008 8.00,,,"15,49559524","0,19937665","48,96480996","70,32967377","0,117393"
20/04/2008 9.00,,,"9,71922481","0,1430945","58,21934814",,"0,244965"
20/04/2008 10.00,,,"10,14440605","0,19383365","61,41262086","82,05126953","0,014512"
20/04/2008 11.00,,,"20,84038902","0,34012975","53,29107882",,"0,46588901"
20/04/2008 12.00,,,"18,7553419","0,240166","63,36324126","83,51647186","0,795542"
20/04/2008 13.00,,,"11,16459086","0,1803223","72,21392136",,"0,49014801"
20/04/2008 14.00,,,"8,08488222","0,153065","73,1175597","88,40048981","0,168292"
