,,,ARPA Puglia,,
,,,Viale Pitagora,,
Parm,NO2,CO,O3,PM2.5,Benzene



04/01/2008 17.00,"14,71409805","0,3683634","63,02779812",,
04/01/2008 18.00,"13,50972008","0,3262435","61,43793066",,
04/01/2008 19.00,"8,70610881","0,2946001","64,94594742",,
04/01/2008 20.00,"12,11128123","0,3277431","61,80923916",,
04/01/2008 21.00,"10,49848549","0,3452737","60,00321816",,
04/01/2008 22.00,"6,15644152","0,3136717","63,21732732",,
04/01/2008 23.00,"3,0775831","0,30029375","63,09621306",,
05/01/2008 0.00,"3,04823574","0,311558","61,5097791",,
05/01/2008 1.00,"3,2625945","0,29987055","60,09902262",,
05/01/2008 2.00,"1,94709458","0,2866835","59,68647288",,
05/01/2008 3.00,"1,98920076","0,28653055","58,43010618",,
05/01/2008 4.00,"2,56975637","0,27788025","57,70079154",,
05/01/2008 5.00,"3,21666048","0,28626145","56,50428546",,
05/01/2008 6.00,"9,44072583","0,29556495","50,81075766",,
05/01/2008 7.00,"12,2733275","0,32143765","49,05396324",,
05/01/2008 8.00,"13,78404888","0,3342015","51,7743351",,
05/01/2008 9.00,"14,70655712","0,4208563","47,35975662",,
05/01/2008 10.00,"16,66513332","0,4544961","49,26026754",,
05/01/2008 11.00,"10,70646578","0,42658445","54,28173186",,
05/01/2008 12.00,"22,65472638","0,5170515","49,69124046",,
05/01/2008 13.00,"27,44049825","0,63407205","49,89909474",,
05/01/2008 14.00,"24,85670022","0,5592588","51,79162032",,
05/01/2008 15.00,"14,23190558","0,43231375","56,12234292",,
05/01/2008 16.00,"17,89387212","0,419819","55,72572462",,
05/01/2008 17.00,"18,88271946","0,45253535","56,59612668",,
05/01/2008 18.00,"26,69406102","0,5920522","51,66518904",,
05/01/2008 19.00,"26,02545957","0,5562596","53,78397246",,
05/01/2008 20.00,"31,03228656","0,61907835","53,30752038",,
05/01/2008 21.00,"24,82991478","0,52800295","57,53439432",,
05/01/2008 22.00,"16,02460956","0,38775585","60,69792312",,
05/01/2008 23.00,"11,66725237","0,32851245","64,33129206",,
06/01/2008 0.00,"12,8092244","0,3231293","63,97593462",,
06/01/2008 1.00,"15,50785183","0,3044073","63,70710138","5,11803007",
06/01/2008 2.00,"11,10966377","0,27580335","63,79994322","5,11803007",
06/01/2008 3.00,"6,73827244",,"69,74003556","5,11803007",
06/01/2008 4.00,"1,35633079","0,28266195","75,0702402","5,11803007",
06/01/2008 5.00,"0,80767319","0,28793815","76,27867524","5,11803007",
06/01/2008 6.00,"1,6204514","0,2806483","76,12299054","5,11803007",
06/01/2008 7.00,"3,06737492","0,277909","75,2632029","5,11803007",
06/01/2008 8.00,"3,97584901","0,2897908","74,82002634","5,11803007",
06/01/2008 9.00,"6,20365086","0,33578735","72,80640612","5,11803007",
06/01/2008 10.00,"6,27382721","0,40482185","75,77962092","5,11803007",
06/01/2008 11.00,"14,18979939","0,4643102","71,66713158","5,11803007",
06/01/2008 12.00,"14,87370654","0,45826925","72,57483126","5,11803007",
06/01/2008 13.00,"20,74942386","0,5521541","67,57732296","5,11803007",
06/01/2008 14.00,"13,43061086","0,4180319","72,56816046","5,11803007",
06/01/2008 15.00,"12,52596461","0,3852868","72,80905482","5,11803007",
06/01/2008 16.00,"27,7084467","0,4955649","62,1552771","5,11803007",
06/01/2008 17.00,"40,98083913","0,7772206","51,48684324","5,11803007",
06/01/2008 18.00,"65,64742668","1,0060729","33,69150324","5,11803007",
06/01/2008 19.00,"61,5937212","0,88089195","32,94088128","5,11803007",
06/01/2008 20.00,"56,11611753","0,88298725","36,20023416","5,11803007",
06/01/2008 21.00,"50,68568934","0,71003875","41,52380724","5,11803007",
06/01/2008 22.00,"40,24843416","0,6167174","45,95833926","5,11803007",
06/01/2008 23.00,"28,94100957","0,46829725","57,75533514","5,11803007",
07/01/2008 0.00,"17,45749705","0,41106405","66,3050052","5,11803007",
07/01/2008 1.00,"13,99457981","0,36446375","67,778271","15,97842026","0,043927"
07/01/2008 2.00,"13,76746034","0,35145495","64,71458838","15,97842026",0
07/01/2008 3.00,"6,5137055","0,2995382","67,40562834","15,97842026",0
07/01/2008 4.00,"4,93918811","0,2748891","69,9316641","15,97842026",0
