,ARPA Puglia,,,,
,Arnesano,,,,
Parm,SO2,NO2,,,PM10



01/01/2008 1.00,"0,75257599","11,561685",,,"30,11042976"
01/01/2008 2.00,"0,85560501","16,10719862",,,"30,11042976"
01/01/2008 3.00,"0,69806999","13,69399037",,,"30,11042976"
01/01/2008 4.00,"0,66717798","8,54964911",,,"30,11042976"
01/01/2008 5.00,"0,51886201","8,03636183",,,"30,11042976"
01/01/2008 6.00,"0,54635799","6,50799854",,,"30,11042976"
01/01/2008 7.00,"0,36181301","5,44695466",,,"30,11042976"
01/01/2008 8.00,"0,34741801","5,25415216",,,"30,11042976"
01/01/2008 9.00,"0,48133799","4,55189585",,,"30,11042976"
01/01/2008 10.00,"0,393352","4,5289138",,,"30,11042976"
01/01/2008 11.00,"0,513201","3,63257968",,,"30,11042976"
01/01/2008 12.00,"0,46597299","3,6913139",,,"30,11042976"
01/01/2008 13.00,"0,60620201","5,33203872",,,"30,11042976"
01/01/2008 14.00,"0,54360801","5,15072913",,,"30,11042976"
01/01/2008 15.00,"0,54603398","3,80622795",,,"30,11042976"
01/01/2008 16.00,"0,48667601","3,56235442",,,"30,11042976"
01/01/2008 17.00,"0,625934","6,34201158",,,"30,11042976"
01/01/2008 18.00,"0,51578897","6,97404263",,,"30,11042976"
01/01/2008 19.00,"0,47325099","8,25980958",,,"30,11042976"
01/01/2008 20.00,"0,490558","8,15255496",,,"30,11042976"
01/01/2008 21.00,"0,37992701","3,99775325",,,"30,11042976"
01/01/2008 22.00,"0,47001699","4,84301258",,,"30,11042976"
01/01/2008 23.00,"0,57288301","6,31902764",,,"30,11042976"
02/01/2008 0.00,"0,50721699","6,55907145",,,"30,11042976"
02/01/2008 1.00,"0,54975402","4,46507078",,,"37,2494812"
02/01/2008 2.00,"0,503012",,,,"37,2494812"
02/01/2008 3.00,"0,461606","3,51127963",,,"37,2494812"
02/01/2008 4.00,"0,45950401","3,55852283",,,"37,2494812"
02/01/2008 5.00,"0,398366","3,06566697",,,"37,2494812"
02/01/2008 6.00,"0,31668699","3,43339494",,,"37,2494812"
02/01/2008 7.00,"0,388661","6,57311688",,,"37,2494812"
02/01/2008 8.00,"0,461606","13,35052353",,,"37,2494812"
02/01/2008 9.00,"0,40095401","10,15079017",,,"37,2494812"
02/01/2008 10.00,"0,49573299","10,34741486",,,"37,2494812"
02/01/2008 11.00,"0,35534301","10,42274703",,,"37,2494812"
02/01/2008 12.00,"0,50187898","7,94315452",,,"37,2494812"
02/01/2008 13.00,"0,74465102","5,38949575",,,"37,2494812"
02/01/2008 14.00,"1,22404802","5,01410834",,,"37,2494812"
02/01/2008 15.00,"1,50369704","4,97963525",,,"37,2494812"
02/01/2008 16.00,"0,8459","8,27257593",,,"37,2494812"
02/01/2008 17.00,"0,77942502","10,60278318",,,"37,2494812"
02/01/2008 18.00,"0,58566099","12,6763562",,,"37,2494812"
02/01/2008 19.00,"0,49945301","7,61245591",,,"37,2494812"
02/01/2008 20.00,"0,58841002","10,46361551",,,"37,2494812"
02/01/2008 21.00,"0,83037299","25,2812043",,,"37,2494812"
02/01/2008 22.00,"0,69515902","21,10598622",,,"37,2494812"
02/01/2008 23.00,"0,708583","21,13151139",,,"37,2494812"
03/01/2008 0.00,"0,63903499","14,16769764",,,"37,2494812"
03/01/2008 1.00,"0,45982701","10,10099633",,,"48,51607132"
03/01/2008 2.00,"0,38106","9,81498652",,,"48,51607132"
03/01/2008 3.00,"0,33836001","7,74269258",,,"48,51607132"
03/01/2008 4.00,"0,385427","6,10452028",,,"48,51607132"
03/01/2008 5.00,"0,45529801","4,83152155",,,"48,51607132"
03/01/2008 6.00,"0,46047401","5,0843336",,,"48,51607132"
03/01/2008 7.00,"0,43831599","5,66146202",,,"48,51607132"
03/01/2008 8.00,"0,64404899","5,61421882",,,"48,51607132"
03/01/2008 9.00,"0,718126","7,02894525",,,"48,51607132"
03/01/2008 10.00,"0,53859401","14,03872876",,,"48,51607132"
03/01/2008 11.00,"0,65682602","21,22599402",,,"48,51607132"
03/01/2008 12.00,"1,24556005","16,01271411",,,"48,51607132"
03/01/2008 13.00,"2,29492903","15,62072312",,,"48,51607132"
03/01/2008 14.00,"3,016289","11,89493613",,,"48,51607132"
03/01/2008 15.00,"1,14867795","8,63647231",,,"48,51607132"
03/01/2008 16.00,"0,97011697","9,27488747",,,"48,51607132"
03/01/2008 17.00,"0,72540402","14,88654437",,,"48,51607132"
03/01/2008 18.00,"0,552019","21,52605114",,,"48,51607132"
03/01/2008 19.00,"1,04386997","29,35174473",,,"48,51607132"
03/01/2008 20.00,"1,30297697","28,8052578",,,"48,51607132"
