, Brindisi,,,,
,S.I.S.R.I.,,,,
Parm,SO2,NO2,PM10,CO,BENZENE



04/01/2008 16.00,"2,640536","6,150617","13,67521","0,278667","0,814688"
04/01/2008 17.00,"1,811425","3,906595",,"0,274986","0,509016"
04/01/2008 18.00,"1,797006","3,393936","17,582411","0,266661","0,481287"
04/01/2008 19.00,"1,061201","3,187573",,"0,276307","0,712358"
04/01/2008 20.00,"1,407805","7,002019","17,582411","0,276547","0,55721"
04/01/2008 21.00,"2,227782","9,316126",,"0,288473","0,590441"
04/01/2008 22.00,"1,528807","5,858596","17,094","0,284872","0,602544"
04/01/2008 23.00,"1,250754","5,253786",,"0,287993","0,692111"
05/01/2008 0.00,"2,301681","9,17985","18,55921","0,304882","0,736565"
05/01/2008 1.00,"2,754087","9,10068",,"0,303882","0,631373"
05/01/2008 2.00,"1,959223","8,089637","9,76801","0,30092","0,316236"
05/01/2008 3.00,"0,677707","3,714509",,"0,312126","0,436613"
05/01/2008 4.00,"0,341977","2,898148","11,72161","0,309124","0,481287"
05/01/2008 5.00,"0,864317","5,160341",,"0,312726","0,569974"
05/01/2008 6.00,"0,540724","3,309574","18,07081","0,308924","0,615968"
05/01/2008 7.00,"0,4783","2,780042",,"0,306442","0,436173"
05/01/2008 8.00,"0,345222","3,261553","15,62881","0,302241","0,673406"
05/01/2008 9.00,"0,365649","3,865064",,"0,3028","0,554569"
05/01/2008 10.00,"0,361564","4,507511","21,97802","0,306322","0,670104"
05/01/2008 11.00,"0,348286","5,761256",,"0,318129","0,509455"
05/01/2008 12.00,"0,348286","6,709997","22,46641","0,315768","0,316016"
05/01/2008 13.00,"0,3585","5,136978",,"0,294916","0,397221"
05/01/2008 14.00,"0,335009","4,282977","13,18681","0,297438","0,42781"
05/01/2008 15.00,"0,320709","4,289467",,"0,310125","0,367953"
05/01/2008 16.00,"0,344201","5,914403","18,55921","0,310485","0,316677"
05/01/2008 17.00,"0,374842","5,161639",,"0,316208","0,478646"
05/01/2008 18.00,"0,377906","4,963064","21,97802","0,316967","0,521119"
05/01/2008 19.00,"0,346244","3,901403",,"0,316769","0,552149"
05/01/2008 20.00,"0,314581","4,118148","19,0476","0,317089","0,513416"
05/01/2008 21.00,"0,369735","3,875446",,"0,314686","0,357389"
05/01/2008 22.00,"0,367692","2,940977","30,28083","0,314326","0,3926"
05/01/2008 23.00,"0,354414","2,532148",,"0,310846","0,393921"
06/01/2008 0.00,"0,359522","2,473746","21,97802","0,294476","0,344185"
06/01/2008 1.00,,"2,515276",,"0,278148","0,411965"
06/01/2008 2.00,"0,374338",,"10,25641","0,278868","0,356289"
06/01/2008 3.00,"0,359411","12,847634",,,"0,354969"
06/01/2008 4.00,"0,429456","6,084424","12,21001","0,216885","0,408885"
06/01/2008 5.00,"0,369746","4,148",,"0,212109","0,435073"
06/01/2008 6.00,"0,409934","3,878041","17,582411","0,214878","0,42539"
06/01/2008 7.00,"0,404193","2,970829",,"0,202557","0,356508"
06/01/2008 8.00,"0,397303","3,111","18,07081","0,199186","0,434413"
06/01/2008 9.00,"0,412232","3,277128",,"0,202718","0,355409"
06/01/2008 10.00,"0,415676","2,956552","24,42001","0,192043","0,36069"
06/01/2008 11.00,"0,376635","2,515276",,"0,184938","0,333841"
06/01/2008 12.00,"0,391562","2,748894","18,07081","0,184015","0,337803"
06/01/2008 13.00,"0,422566","2,903339",,"0,195132","0,340663"
06/01/2008 14.00,"0,435197","3,360191","8,302809","0,193446","0,400962"
06/01/2008 15.00,"0,389266","2,568489",,"0,196055","0,32834"
06/01/2008 16.00,"0,444383","3,313467","12,69841","0,217486","0,325699"
06/01/2008 17.00,"0,420269","4,362147",,"0,230731","0,398762"
06/01/2008 18.00,"0,383524","5,265468","13,18681","0,236511","0,315797"
06/01/2008 19.00,"0,422566","6,722978",,"0,26918","0,439254"
06/01/2008 20.00,"0,407638","6,258339","20,51281","0,288163","0,471604"
06/01/2008 21.00,"0,401897","4,90336",,"0,244336","0,537845"
06/01/2008 22.00,"0,384673","5,14736","20,02442","0,246423","0,39348"
06/01/2008 23.00,"0,420269","5,299213",,"0,25754","0,39436"
07/01/2008 0.00,"0,404193","6,39202","18,07081","0,226717","0,421209"
07/01/2008 1.00,"0,407638","6,948808",,"0,255334","0,330981"
07/01/2008 2.00,"0,403045","5,452361","13,18681","0,30201","0,528822"
07/01/2008 3.00,"0,393859","4,825488",,"0,252122","0,381156"
07/01/2008 4.00,"0,428308","4,193425","9,76801","0,232176","0,3948"
07/01/2008 5.00,"0,415676","7,022786",,"0,253848","0,381597"
07/01/2008 6.00,"0,40649","12,577673","7,814408","0,273032","0,343085"
07/01/2008 7.00,"0,444383","34,459801",,"0,329622","0,402063"
07/01/2008 8.00,"1,603212","43,468324","15,14041","0,411375","0,512317"
07/01/2008 9.00,"2,404057","45,315184",,"0,397369","0,354309"
07/01/2008 10.00,"2,128347","42,745398","18,07081","0,488072","0,538945"
07/01/2008 11.00,"1,125932","23,409706",,"0,307789","0,946949"
07/01/2008 12.00,"0,384673","12,392077","9,27961","0,266611","0,610907"
07/01/2008 13.00,"1,260311","16,194841",,"0,258023","0,464562"
07/01/2008 14.00,"0,831569","10,312882","5,860806","0,261073","0,351007"
07/01/2008 15.00,"1,475412","9,571806",,"0,225634","0,263201"
07/01/2008 16.00,"0,59251","8,14934","5,372406","0,230771","0,222267"
07/01/2008 17.00,"0,615476","13,143543",,"0,244096","0,36025"
