NetC,ARPA Puglia,
Stat,Suolo Giuffreda,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3,ug/m3
Field,Aver,Aver
06/01/2008 7.00,"7,90976286","3,20611748"
06/01/2008 8.00,"7,42850018","3,18441262"
06/01/2008 9.00,"8,05183315","3,36316781"
06/01/2008 10.00,"7,75170898","3,39253586"
06/01/2008 11.00,"7,86358976","6,68675561"
06/01/2008 12.00,"7,61496687","4,0143512"
06/01/2008 13.00,"7,84405518","3,3133721"
06/01/2008 14.00,"8,10333347","3,12567839"
06/01/2008 15.00,"7,89910698","3,61981145"
06/01/2008 16.00,"8,13885117","5,01793994"
06/01/2008 17.00,"7,51196623","4,89025578"
06/01/2008 18.00,"8,06604004","4,59913905"
06/01/2008 19.00,"7,82629681","3,83431881"
06/01/2008 20.00,"8,19035053","4,0552084"
06/01/2008 21.00,"7,955935","3,24953096"
06/01/2008 22.00,"7,93640089","3,21377879"
06/01/2008 23.00,"7,37344694","3,43467026"
07/01/2008 0.00,"7,89555597","3,51894094"
07/01/2008 1.00,"8,1654892","3,72578699"
07/01/2008 2.00,"8,2223177","5,53760757"
07/01/2008 3.00,"8,20278263","10,27336365"
07/01/2008 4.00,"8,02164364","5,16094296"
07/01/2008 5.00,"7,34503412","3,51894094"
07/01/2008 6.00,"7,61851883","3,17802662"
07/01/2008 7.00,"7,72329617","2,89201869"
07/01/2008 8.00,"7,90976286","3,1333397"
07/01/2008 9.00,"8,46383667","4,01690372"
07/01/2008 10.00,"8,58814812","11,27949926"
07/01/2008 11.00,"8,43719864","9,74603659"
07/01/2008 12.00,"9,06053257","8,81778378"
07/01/2008 13.00,"8,66451168","6,54630511"
07/01/2008 14.00,"9,37308693","6,54375071"
07/01/2008 15.00,"8,44430256","5,32820901"
07/01/2008 16.00,"8,34307766","4,85578269"
07/01/2008 17.00,"8,64675236","7,84611561"
07/01/2008 18.00,"8,09445381","10,05247218"
07/01/2008 19.00,"8,52776814","9,16380313"
07/01/2008 20.00,"8,10510921","12,98918343"
07/01/2008 21.00,"8,41944027","11,81066733"
07/01/2008 22.00,"8,68937397","9,66176779"
07/01/2008 23.00,"8,28447342","7,19620942"
08/01/2008 0.00,"8,36083603","6,12877954"
08/01/2008 1.00,,"5,26819758"
08/01/2008 2.00,"7,81208897",
08/01/2008 3.00,"7,7890029","5,45461409"
08/01/2008 4.00,"7,80320978","5,73934858"
08/01/2008 5.00,"7,90798712","8,66967196"
08/01/2008 6.00,"7,35213709","11,14927011"
08/01/2008 7.00,"7,56346703","9,62218402"
08/01/2008 8.00,"7,55281115","10,04225459"
08/01/2008 9.00,"7,73750305","15,95780584"
08/01/2008 10.00,"7,37167215","23,94054036"
08/01/2008 11.00,"7,85826302","24,14737512"
08/01/2008 12.00,"8,22942066","14,30176028"
08/01/2008 13.00,"8,21166229","9,81753904"
08/01/2008 14.00,"8,19035053","13,56119741"
08/01/2008 15.00,"8,04472923","26,36778276"
08/01/2008 16.00,"8,50645828","29,52156141"
08/01/2008 17.00,"7,51551819","20,37563154"
08/01/2008 18.00,"8,45495796","19,83424212"
08/01/2008 19.00,"7,81031418","14,23919633"
08/01/2008 20.00,"8,06248856","12,77339323"
08/01/2008 21.00,"7,97191906","10,1533408"
08/01/2008 22.00,"7,65581179","6,86551081"
08/01/2008 23.00,"6,91349506","5,09710182"
09/01/2008 0.00,"7,75170898","5,02942909"
09/01/2008 1.00,"7,49598312","3,57001385"
09/01/2008 2.00,"7,36279202","2,77455024"
09/01/2008 3.00,"6,86554623","4,34504981"
09/01/2008 4.00,"7,05556488","12,67763716"
09/01/2008 5.00,"7,47467279","7,71077201"
09/01/2008 6.00,"7,55103493","10,5453318"
09/01/2008 7.00,"7,36812019","11,06372035"
09/01/2008 8.00,"7,32549906","10,97945155"
09/01/2008 9.00,"6,6915102","8,99398457"
09/01/2008 10.00,"8,02164364","8,9671728"
09/01/2008 11.00,"7,59010506","4,7625735"
09/01/2008 12.00,"8,28447342","7,98784331"
09/01/2008 13.00,"8,29868031","12,05071491"
09/01/2008 14.00,"8,74620247","12,41077217"
09/01/2008 15.00,"8,90425491","9,65538179"
09/01/2008 16.00,"8,86518574","8,14744805"
09/01/2008 17.00,"8,25428295","11,66893962"
09/01/2008 18.00,"8,48869896","11,28206119"
09/01/2008 19.00,"8,25073147","7,53840094"
09/01/2008 20.00,"8,43187141","6,11345879"
09/01/2008 21.00,"7,48888016","4,45613414"
09/01/2008 22.00,"7,55991507","4,35526552"
09/01/2008 23.00,"7,57234621","5,34863855"
10/01/2008 0.00,"7,70731306","5,75722373"
10/01/2008 1.00,,"4,34887952"
10/01/2008 2.00,"6,81404591",
10/01/2008 3.00,"7,68955421","4,09351496"
10/01/2008 4.00,"7,89378023","3,95178726"
10/01/2008 5.00,"7,13015223","3,63257968"
10/01/2008 6.00,"7,33082581","3,54958619"
10/01/2008 7.00,"7,69132996","3,92114201"
10/01/2008 8.00,"7,79255486","4,97963525"
10/01/2008 9.00,"7,53860378","4,34887952"
10/01/2008 10.00,"7,8209691","3,90198966"
10/01/2008 11.00,"8,44075012","11,69830956"
10/01/2008 12.00,"8,16726494","29,52665892"
10/01/2008 13.00,"8,99482441","17,50149364"
10/01/2008 14.00,"8,48337173","9,36298787"
10/01/2008 15.00,"8,93266869","8,63647231"
10/01/2008 16.00,"9,22746468","6,92552035"
10/01/2008 17.00,"8,52599239","10,94497846"
10/01/2008 18.00,"8,55973434","14,65161311"
10/01/2008 19.00,"8,30400753","15,87737052"
10/01/2008 20.00,"7,98967695","9,35405123"
10/01/2008 21.00,"7,92929697","8,51134442"
10/01/2008 22.00,"8,26493835","7,33665992"
10/01/2008 23.00,"8,07847118","7,36092106"
11/01/2008 0.00,"7,95771217","4,76895761"
11/01/2008 1.00,"7,68067503","3,71046624"
11/01/2008 2.00,"7,71441603","15,82246225"
11/01/2008 3.00,"7,54038","19,69508574"
11/01/2008 4.00,"7,63805294","29,82543696"
11/01/2008 5.00,"7,19941092","19,95300846"
11/01/2008 6.00,"7,35568905","14,68225272"
11/01/2008 7.00,"7,4444828","8,40153729"
11/01/2008 8.00,"7,42672396","15,30534337"
11/01/2008 9.00,"7,79788303","38,46063771"
11/01/2008 10.00,"8,35018063","17,95731825"
11/01/2008 11.00,"8,16726494","24,72578262"
11/01/2008 12.00,"8,19212723","16,41491141"
11/01/2008 13.00,"8,68227005","13,09515521"
11/01/2008 14.00,"8,90247917","21,27068658"
11/01/2008 15.00,"8,56861401","25,42421673"
