NetC,ARPA Puglia,
Stat,Suolo Giuffreda,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3,ug/m3
Field,Aver,Aver
18/03/2008 0.00,"5,87105417","5,65763042"
18/03/2008 1.00,,"5,65507602"
18/03/2008 2.00,"5,74851799",
18/03/2008 3.00,"5,45727396","5,61038722"
18/03/2008 4.00,"5,93853807","5,16349736"
18/03/2008 5.00,"5,72720814","4,65404168"
18/03/2008 6.00,"5,92433119","4,74342116"
18/03/2008 7.00,"5,66682816","4,6693643"
18/03/2008 8.00,"5,2565999","6,06366308"
18/03/2008 9.00,"6,12322903","5,3167161"
18/03/2008 10.00,"6,14809084","10,48532225"
18/03/2008 11.00,"6,54943991","7,09661799"
18/03/2008 12.00,"6,52990484","7,06724994"
18/03/2008 13.00,"6,90284014","9,25062821"
18/03/2008 14.00,"6,71992397","10,31932589"
18/03/2008 15.00,"7,59898376","7,30474124"
18/03/2008 16.00,"6,67197609","6,96510411"
18/03/2008 17.00,"6,55831909","6,23603416"
18/03/2008 18.00,"6,26707506","8,85098155"
18/03/2008 19.00,"7,16034222","7,54606037"
18/03/2008 20.00,"6,99341011","7,15918193"
18/03/2008 21.00,"6,75011396","7,56521271"
18/03/2008 22.00,"6,49616289","7,16556605"
18/03/2008 23.00,"6,34876585","6,93190634"
19/03/2008 0.00,"6,44288683","7,894636"
19/03/2008 1.00,"6,11079788","9,63750665"
19/03/2008 2.00,"6,58140612","8,4475014"
19/03/2008 3.00,"6,20847082","8,47176254"
19/03/2008 4.00,"6,54411221","7,9380476"
19/03/2008 5.00,"6,19959211","7,48349643"
19/03/2008 6.00,"5,97938299","6,96765851"
19/03/2008 7.00,"6,5405612","5,76488504"
19/03/2008 8.00,"5,92788219","6,46458694"
19/03/2008 9.00,"6,43045616","6,77996293"
19/03/2008 10.00,"6,01667595","7,69417219"
19/03/2008 11.00,"7,42850018","12,23457137"
19/03/2008 12.00,"6,17117786","9,66049059"
19/03/2008 13.00,"6,55831909","7,98528892"
19/03/2008 14.00,"6,88685703","8,47048534"
19/03/2008 15.00,"6,95256376","7,64182396"
19/03/2008 16.00,"7,48710394","6,87189492"
19/03/2008 17.00,"7,22427416","8,94035914"
19/03/2008 18.00,"6,99341011","10,86836533"
19/03/2008 19.00,"6,6577692","9,86605943"
19/03/2008 20.00,"6,43756008","10,77388082"
19/03/2008 21.00,"6,78030396","11,79406562"
19/03/2008 22.00,"6,77320099","10,41764387"
19/03/2008 23.00,"6,93658209","9,86988915"
20/03/2008 0.00,"6,28483391","10,22356982"
20/03/2008 1.00,,"12,5448442"
20/03/2008 2.00,"6,82114887",
20/03/2008 3.00,"6,29548883","8,27896192"
20/03/2008 4.00,"6,25286818","7,67119013"
20/03/2008 5.00,"6,1516428","6,46458694"
20/03/2008 6.00,"6,47307682","6,95872"
20/03/2008 7.00,"6,22267818","7,30090964"
20/03/2008 8.00,"6,56542301","11,70469367"
20/03/2008 9.00,"6,81937408","16,49790866"
20/03/2008 10.00,"7,34148216","14,20088977"
20/03/2008 11.00,"6,98630619","12,92661949"
20/03/2008 12.00,"6,87975311","12,46057728"
20/03/2008 13.00,"7,14258289","10,76239167"
20/03/2008 14.00,"6,92059898","10,87858292"
20/03/2008 15.00,"7,36634398","17,46573771"
20/03/2008 16.00,"7,05556488","14,52648523"
20/03/2008 17.00,"7,01294422","8,90843857"
20/03/2008 18.00,"6,595613","7,35964386"
20/03/2008 19.00,"6,32923079","6,61142156"
20/03/2008 20.00,"6,41980124","5,48015054"
20/03/2008 21.00,"6,03265905","5,23627701"
20/03/2008 22.00,"5,81777811","5,99088343"
20/03/2008 23.00,"5,53008604","4,78683275"
21/03/2008 0.00,"6,08771086","4,09734468"
21/03/2008 1.00,"5,92077923","4,73065293"
21/03/2008 2.00,"6,66842413","4,7638507"
21/03/2008 3.00,"6,6577692","4,89408549"
21/03/2008 4.00,"6,55121613","5,29628656"
21/03/2008 5.00,"5,90301991","4,54168202"
21/03/2008 6.00,"5,18911695","4,5289138"
21/03/2008 7.00,"5,6224308","3,81516458"
21/03/2008 8.00,"5,64729404","4,29780661"
21/03/2008 9.00,"6,06107283","7,13236828"
21/03/2008 10.00,"6,91882277","6,3994686"
21/03/2008 11.00,"7,73217487","7,30729375"
21/03/2008 12.00,"7,37167215","6,41989814"
21/03/2008 13.00,"8,06071281","6,15176348"
21/03/2008 14.00,"8,30400753","6,47480077"
21/03/2008 15.00,"7,97547102","7,04043628"
21/03/2008 16.00,"7,73572683","7,30346404"
21/03/2008 17.00,"7,90798712","10,22612234"
21/03/2008 18.00,"7,45869017","7,28686421"
21/03/2008 19.00,"6,98097801","6,89870858"
21/03/2008 20.00,"6,44821501","6,2564637"
21/03/2008 21.00,"6,5743022","6,20155919"
21/03/2008 22.00,"6,46597385","5,3614049"
21/03/2008 23.00,"6,56364679","5,15328353"
22/03/2008 0.00,"6,06995201","4,86854904"
22/03/2008 1.00,,"4,82641464"
22/03/2008 2.00,"6,91171885",
22/03/2008 3.00,"6,066401","4,47784088"
22/03/2008 4.00,"5,78936386","3,83176441"
22/03/2008 5.00,"6,07528019","3,67343688"
22/03/2008 6.00,"6,0344348","4,02584223"
22/03/2008 7.00,"6,776752","4,30419073"
22/03/2008 8.00,"6,45709419","4,12926525"
22/03/2008 9.00,"6,47662878","4,06159439"
22/03/2008 10.00,"6,12322903","4,57998671"
22/03/2008 11.00,"6,6133709","5,09454931"
22/03/2008 12.00,"6,88152885","6,06238588"
22/03/2008 13.00,"6,62047482","6,89232446"
22/03/2008 14.00,"7,00584078","7,83079298"
22/03/2008 15.00,"7,2136178","9,89287309"
22/03/2008 16.00,"7,31661892","6,18623844"
22/03/2008 17.00,"6,95433998","6,56290305"
22/03/2008 18.00,"6,52813005","7,78610606"
22/03/2008 19.00,"6,40737009","8,83565892"
22/03/2008 20.00,"6,76609707","11,24375462"
22/03/2008 21.00,"7,38410282","12,27415702"
22/03/2008 22.00,"8,37504292","25,31696211"
22/03/2008 23.00,"7,8600378","8,53943528"
23/03/2008 0.00,"7,39653397","6,487569"
23/03/2008 1.00,"6,27950621","4,60169157"
23/03/2008 2.00,"6,51924992","4,43825712"
23/03/2008 3.00,"6,7305789","4,74725087"
23/03/2008 4.00,"6,25464392","5,08305828"
23/03/2008 5.00,"5,83908796","4,34887952"
23/03/2008 6.00,"5,90301991","3,9722168"
23/03/2008 7.00,"6,39493799","4,00413737"
23/03/2008 8.00,"6,1676259","4,69490076"
23/03/2008 9.00,"6,44466305","4,92856046"
23/03/2008 10.00,"5,87105417","5,58229637"
23/03/2008 11.00,"6,21024704","4,64255065"
23/03/2008 12.00,"6,45709419","5,28352021"
23/03/2008 13.00,"6,60981989","8,29683518"
23/03/2008 14.00,"7,3219471","15,70882352"
23/03/2008 15.00,"8,75863266","24,17419818"
23/03/2008 16.00,"7,41962099","13,13346177"
23/03/2008 17.00,"8,09090233","11,57955827"
23/03/2008 18.00,"7,28110218","7,07108153"
23/03/2008 19.00,"7,39120579","5,81340355"
23/03/2008 20.00,"7,24380779","5,96789949"
23/03/2008 21.00,"6,40026617","6,00109726"
23/03/2008 22.00,"6,44999123","4,75746658"
23/03/2008 23.00,"5,61355209","4,40250683"
24/03/2008 0.00,"6,51747417","4,16757182"
24/03/2008 1.00,,"3,63640939"
24/03/2008 2.00,"5,63841391",
24/03/2008 3.00,"6,13921213","4,4357046"
24/03/2008 4.00,"6,06817722","3,84197824"
24/03/2008 5.00,"5,65262079","3,4997886"
24/03/2008 6.00,"5,77338123","3,20356496"
24/03/2008 7.00,"5,47325802","3,44743849"
24/03/2008 8.00,"6,02200413","3,39253586"
24/03/2008 9.00,"5,9332099","4,41655226"
24/03/2008 10.00,"6,34166193","4,46251826"
24/03/2008 11.00,"6,6577692","4,47656369"
24/03/2008 12.00,"6,9099431","6,51565985"
24/03/2008 13.00,"6,75544214","5,33842472"
24/03/2008 14.00,"7,0236001","5,43290923"
24/03/2008 15.00,"7,03603077","5,88362881"
24/03/2008 16.00,"7,18875599","5,68316687"
24/03/2008 17.00,"7,35391283","5,46738232"
24/03/2008 18.00,"7,00406504","4,28248587"
24/03/2008 19.00,"6,43400812","3,67599128"
24/03/2008 20.00,"6,34876585","3,84708704"
24/03/2008 21.00,"6,1622982","3,25591507"
24/03/2008 22.00,"6,35054207","3,06311257"
24/03/2008 23.00,"6,27950621","3,50872711"
25/03/2008 0.00,"6,22267818","3,85347115"
25/03/2008 1.00,"6,66842413","3,12312399"
25/03/2008 2.00,"6,59028482","3,27123581"
25/03/2008 3.00,"6,10369396","3,79090721"
25/03/2008 4.00,"6,48550797","3,3133721"
25/03/2008 5.00,"6,20136786","3,67854567"
25/03/2008 6.00,"5,97760677","3,42828615"
25/03/2008 7.00,"5,54962015","3,30954238"
25/03/2008 8.00,"6,08060789","3,21250159"
25/03/2008 9.00,"6,38961077","3,65428454"
25/03/2008 10.00,"6,82647705","4,13309685"
25/03/2008 11.00,"6,91527081","5,01793994"
25/03/2008 12.00,"6,9614439","4,27354736"
25/03/2008 13.00,"7,64338112","4,34121821"
25/03/2008 14.00,"8,11221313","5,44312306"
25/03/2008 15.00,"8,13174725","5,9755608"
25/03/2008 16.00,"7,73039913","5,42141632"
25/03/2008 17.00,"7,82807302","7,23706662"
25/03/2008 18.00,"7,6256218","13,34413753"
25/03/2008 19.00,"7,49243212","12,32395273"
25/03/2008 20.00,"7,40363693","13,04025822"
25/03/2008 21.00,"6,94368505","11,50933865"
25/03/2008 22.00,"6,96322012","8,17809142"
25/03/2008 23.00,"7,9683671","7,12215445"
26/03/2008 0.00,"7,00939178","7,94315452"
26/03/2008 1.00,,"4,79449407"
26/03/2008 2.00,"6,75011396",
26/03/2008 3.00,"6,9614439","4,82513744"
26/03/2008 4.00,"7,09463501","8,67860859"
26/03/2008 5.00,"7,26867104","6,57056436"
26/03/2008 6.00,"6,6133709","5,91171966"
26/03/2008 7.00,"6,67019987","6,78890144"
26/03/2008 8.00,"6,71104479","8,03508651"
26/03/2008 9.00,"6,83535624","9,06931862"
26/03/2008 10.00,"7,47644901","13,33265027"
26/03/2008 11.00,"8,12997246","10,07672767"
26/03/2008 12.00,"8,98416901","12,74913773"
26/03/2008 13.00,"8,92201328","13,81784481"
26/03/2008 14.00,"8,46383667","19,82786553"
26/03/2008 15.00,"8,31288719","19,67209992"
26/03/2008 16.00,"8,93444443","21,54010221"
26/03/2008 17.00,"8,17792034","21,37412277"
26/03/2008 18.00,"8,21699047","16,66006026"
26/03/2008 19.00,"7,60963917","14,62607477"
26/03/2008 20.00,"7,67179489","11,94472996"
26/03/2008 21.00,"7,40186214","8,13851141"
26/03/2008 22.00,"7,12659979","8,03636183"
26/03/2008 23.00,"7,57412195","7,99295211"
27/03/2008 0.00,"7,34148216","8,60966053"
27/03/2008 1.00,"7,11772108","6,65611036"
27/03/2008 2.00,"7,26334286","5,76488504"
27/03/2008 3.00,"6,6417861","5,83638561"
27/03/2008 4.00,"6,97387505","6,38670038"
27/03/2008 5.00,"6,33810997","5,60145059"
27/03/2008 6.00,"6,54943991","7,37751901"
27/03/2008 7.00,"6,51037121","6,74931956"
27/03/2008 8.00,"6,26352406","6,46841666"
27/03/2008 9.00,"6,81404591","5,4622754"
27/03/2008 10.00,"6,75366592","8,93014343"
27/03/2008 11.00,"7,79965782","6,56928716"
27/03/2008 12.00,"7,27399778","7,67629705"
27/03/2008 13.00,"9,29494762","24,59682126"
27/03/2008 14.00,"9,57376099","20,4981975"
27/03/2008 15.00,"7,84405518","10,00523462"
27/03/2008 16.00,"7,35746479","14,15364845"
27/03/2008 17.00,"7,58122492","13,48841776"
27/03/2008 18.00,"7,37877512","18,67745534"
27/03/2008 19.00,"8,06071281","13,828053"
27/03/2008 20.00,"7,3769989","14,78312322"
27/03/2008 21.00,"7,28820515","12,66103545"
27/03/2008 22.00,"7,38055086","11,11224451"
27/03/2008 23.00,"6,68795776","12,42992639"
28/03/2008 0.00,"6,73413086","11,26929296"
28/03/2008 1.00,,"9,51365597"
28/03/2008 2.00,"6,62047482",
28/03/2008 3.00,"6,61159611","10,51596186"
28/03/2008 4.00,"6,26352406","10,34103074"
28/03/2008 5.00,"6,93835688","8,83565892"
28/03/2008 6.00,"6,60981989","12,91384938"
28/03/2008 7.00,"6,27772999","13,75910494"
28/03/2008 8.00,"7,03070307","16,61281707"
28/03/2008 9.00,"6,67375088","16,28850445"
28/03/2008 10.00,"6,66309595","17,39295806"
28/03/2008 11.00,"6,9951849","17,5474634"
28/03/2008 12.00,"7,39831018","18,42974456"
28/03/2008 13.00,"7,36634398","18,40420623"
28/03/2008 14.00,"7,14968681","17,91007505"
28/03/2008 15.00,"7,12304878","17,04438618"
28/03/2008 16.00,"7,91686583","17,29081599"
28/03/2008 17.00,"7,78012419","18,08500805"
28/03/2008 18.00,"7,65048504","23,78603502"
28/03/2008 19.00,"7,85293484","11,2067309"
28/03/2008 20.00,"7,3219471","12,22180126"
28/03/2008 21.00,"7,16922092","10,02948448"
28/03/2008 22.00,"6,78208017","8,29172827"
28/03/2008 23.00,"6,76076889","8,3632326"
29/03/2008 0.00,"6,46597385","7,11449313"
29/03/2008 1.00,"6,44466305","7,17705707"
29/03/2008 2.00,"6,02733183","7,22940719"
29/03/2008 3.00,"7,00228882","7,22430027"
29/03/2008 4.00,"6,20314407","6,95872"
29/03/2008 5.00,"6,54411221","6,73910573"
29/03/2008 6.00,"6,85844278","6,43521889"
29/03/2008 7.00,"6,30081701","6,84508127"
29/03/2008 8.00,"6,45531797","6,37903906"
29/03/2008 9.00,"7,00406504","6,58460791"
29/03/2008 10.00,"7,55103493","10,48148878"
29/03/2008 11.00,"7,75703716","12,00474139"
29/03/2008 12.00,"7,66469097","11,90898532"
29/03/2008 13.00,"7,93284893","12,98918343"
29/03/2008 14.00,"7,25801611","12,74785677"
29/03/2008 15.00,"8,01098824","10,3525293"
29/03/2008 16.00,"7,48355198","8,67222447"
29/03/2008 17.00,"6,9561162","7,13747707"
29/03/2008 18.00,"7,51374197","6,1670861"
29/03/2008 19.00,"7,18697977","6,20539079"
29/03/2008 20.00,"6,93658209","6,04067914"
29/03/2008 21.00,"6,78208017","6,62036008"
29/03/2008 22.00,"7,71796799","6,4441574"
29/03/2008 23.00,"7,61674309","6,23858667"
30/03/2008 0.00,"7,73927784","7,33410741"
30/03/2008 1.00,,"11,12501273"
30/03/2008 2.00,"7,02537489",
30/03/2008 3.00,"7,40186214","5,70870333"
30/03/2008 4.00,"6,59206104","5,07028817"
30/03/2008 5.00,"6,99696112","5,48525746"
30/03/2008 6.00,"6,87975311","10,05757533"
30/03/2008 7.00,"7,28287792","7,79631801"
30/03/2008 8.00,"7,18520498","7,46434409"
30/03/2008 9.00,"8,21699047","11,2641804"
30/03/2008 10.00,"9,10315323","12,04304983"
30/03/2008 11.00,"8,99304867","13,03514378"
30/03/2008 12.00,"11,30346012","18,63915065"
30/03/2008 13.00,"9,95379925","8,45771711"
30/03/2008 14.00,"10,56470013","9,21743044"
30/03/2008 15.00,"9,68386555","8,65690185"
30/03/2008 16.00,"10,33205986","9,26594896"
30/03/2008 17.00,"10,18644047","7,62394694"
30/03/2008 18.00,"9,25055122","8,48070105"
30/03/2008 19.00,"9,34822464","8,14744805"
30/03/2008 20.00,"8,19923115","9,95671423"
30/03/2008 21.00,"7,67712307","7,63033105"
30/03/2008 22.00,"7,60431194","6,86295829"
30/03/2008 23.00,"7,33260298","7,17961147"
31/03/2008 0.00,"7,28998089","6,24369547"
31/03/2008 1.00,"7,82629681","5,10604034"
31/03/2008 2.00,"7,19941092","5,70998053"
31/03/2008 3.00,"6,62225103","4,50975957"
31/03/2008 4.00,"6,54766417","4,71022339"
31/03/2008 5.00,"7,19053221","4,0564856"
31/03/2008 6.00,"7,19941092","4,07053291"
31/03/2008 7.00,"7,26156712","5,32310021"
31/03/2008 8.00,"7,423172","16,23743718"
31/03/2008 9.00,"7,44803381","14,99507995"
31/03/2008 10.00,"8,44785404","11,22588324"
31/03/2008 11.00,"9,04987717","14,94272419"
31/03/2008 12.00,"9,98931694","18,31611524"
31/03/2008 13.00,"8,58814812","14,13321327"
31/03/2008 14.00,"7,94172907","14,31580946"
31/03/2008 15.00,"7,99322891","13,04919297"
31/03/2008 16.00,"8,01453972","11,91408847"
31/03/2008 17.00,"8,30045605","11,20161646"
31/03/2008 18.00,"8,17792034","14,31197787"
31/03/2008 19.00,"8,26849079","16,14550519"
31/03/2008 20.00,"8,43187141","11,14160315"
31/03/2008 21.00,"8,28447342","8,97610943"
31/03/2008 22.00,"7,31129217","9,13699136"
31/03/2008 23.00,"7,45869017","8,25087107"
01/04/2008 0.00,"7,40363693","8,41302832"
01/04/2008 1.00,,"7,99933622"
01/04/2008 2.00,"7,21539402",
01/04/2008 3.00,"7,67179489","15,21085886"
01/04/2008 4.00,"7,24736023","8,58539939"
01/04/2008 5.00,"7,26334286","4,71022339"
01/04/2008 6.00,"6,48018122","4,36164963"
01/04/2008 7.00,"6,23333406","4,50592986"
01/04/2008 8.00,"6,70926905","4,64255065"
01/04/2008 9.00,"6,9561162","5,60655751"
01/04/2008 10.00,"7,94528103","14,71800865"
01/04/2008 11.00,"8,94687557","26,18775225"
01/04/2008 12.00,"10,28765965","38,04183306"
01/04/2008 13.00,"10,89678955","30,94011756"
01/04/2008 14.00,"9,14577389","10,80452231"
01/04/2008 15.00,"9,12446404","11,41357318"
01/04/2008 16.00,"8,66983891","10,57469233"
01/04/2008 17.00,"8,58992386","8,17681422"
01/04/2008 18.00,"9,59862328","28,32517017"
01/04/2008 19.00,"8,56328583","8,97355691"
01/04/2008 20.00,"7,86891699","6,78762424"
01/04/2008 21.00,"7,68067503","5,52483934"
01/04/2008 22.00,"7,10173798","6,447989"
01/04/2008 23.00,"7,3219471","6,96893383"
02/04/2008 0.00,"7,0964098","9,75114538"
02/04/2008 1.00,"8,08202267","32,88599325"
02/04/2008 2.00,"7,687778","25,41910041"
02/04/2008 3.00,"6,51924992","9,9911892"
02/04/2008 4.00,"6,79983902","5,44056866"
02/04/2008 5.00,"6,84601212","5,57463694"
02/04/2008 6.00,"6,860219","6,93318354"
02/04/2008 7.00,"6,76432085","9,39746471"
02/04/2008 8.00,"6,7305789","10,10609761"
02/04/2008 9.00,"7,36279202","21,08427948"
02/04/2008 10.00,"8,92556572","29,37982806"
02/04/2008 11.00,"10,11894989","27,3356325"
02/04/2008 12.00,"10,01416969","23,96096802"
02/04/2008 13.00,"11,1898098","23,45917365"
02/04/2008 14.00,"11,81490993","20,97318762"
02/04/2008 15.00,"9,24877453","9,81498652"
02/04/2008 16.00,"8,30223179","9,48045632"
02/04/2008 17.00,"8,08202267","8,99781617"
02/04/2008 18.00,"7,50131083","10,04608618"
02/04/2008 19.00,"8,30045605","9,07059394"
02/04/2008 20.00,"7,804986","9,40001723"
02/04/2008 21.00,"7,49953508","7,74014007"
02/04/2008 22.00,"8,54197598","8,87907052"
02/04/2008 23.00,"7,43205214","6,05983148"
03/04/2008 0.00,"8,01631546","9,25701233"
03/04/2008 1.00,,"6,79911527"
03/04/2008 2.00,"7,2136178",
03/04/2008 3.00,"7,21894598","5,75722373"
03/04/2008 4.00,"6,89040899","5,85426263"
03/04/2008 5.00,"7,02537489","5,82744898"
03/04/2008 6.00,"6,4269042","5,976838"
03/04/2008 7.00,"6,58673286","5,77765139"
03/04/2008 8.00,"7,23848104","13,34413753"
03/04/2008 9.00,"6,92237377","18,97878213"
03/04/2008 10.00,"6,45531797","12,64060215"
03/04/2008 11.00,"6,88152885","15,22362709"
03/04/2008 12.00,"7,36634398","16,51067689"
03/04/2008 13.00,"6,99873686","11,39442084"
03/04/2008 14.00,"7,28642893","10,34997678"
03/04/2008 15.00,"7,15501499","8,94801857"
03/04/2008 16.00,"6,85666704","7,92400217"
03/04/2008 17.00,"6,72880411","8,74244973"
03/04/2008 18.00,"6,88863277","7,71077201"
03/04/2008 19.00,"6,5831809","5,61166442"
03/04/2008 20.00,"6,18893719","5,72147156"
03/04/2008 21.00,"6,03088284","5,86192395"
03/04/2008 22.00,"6,48018122","5,42397072"
03/04/2008 23.00,"5,88526201","5,33076152"
04/04/2008 0.00,"6,52635288","5,90405835"
04/04/2008 1.00,"6,30614519","5,34097724"
04/04/2008 2.00,"6,63290596","5,43290923"
04/04/2008 3.00,"6,54411221","4,14331068"
04/04/2008 4.00,"6,6755271","4,84301258"
04/04/2008 5.00,"6,74123478","4,6719187"
04/04/2008 6.00,"6,52102613","5,96279257"
04/04/2008 7.00,"6,08593607","6,1645317"
04/04/2008 8.00,"6,24221277","7,55116916"
04/04/2008 9.00,"6,09481478","8,48197637"
04/04/2008 10.00,"7,16922092","9,11783714"
04/04/2008 11.00,"7,23492908","9,79455698"
04/04/2008 12.00,"7,30774021","9,82775475"
04/04/2008 13.00,"7,70020914","9,46896529"
04/04/2008 14.00,"7,55103493","12,02389561"
04/04/2008 15.00,"7,67001915","10,32315748"
04/04/2008 16.00,"7,09108305","9,57494271"
04/04/2008 17.00,"7,5865531","8,00955005"
04/04/2008 18.00,"7,67534685","9,57366551"
04/04/2008 19.00,"7,22604895","7,86016103"
04/04/2008 20.00,"7,35924101","12,69167694"
04/04/2008 21.00,"7,38765478","12,08007356"
04/04/2008 22.00,"6,95966816","12,38141164"
04/04/2008 23.00,"7,3219471","11,10586039"
05/04/2008 0.00,"6,75189018","11,03946485"
05/04/2008 1.00,,"10,2682605"
05/04/2008 2.00,"6,94901323",
05/04/2008 3.00,"6,64356089","8,67988391"
05/04/2008 4.00,"7,23670483","6,96382691"
05/04/2008 5.00,"6,70216608","5,19669513"
05/04/2008 6.00,"6,3771801","4,79321687"
05/04/2008 7.00,"6,6133709","5,52356214"
05/04/2008 8.00,"6,57785416","6,81571321"
05/04/2008 9.00,"7,46046495","8,01210257"
05/04/2008 10.00,"7,28998089","7,03149777"
05/04/2008 11.00,"7,85293484","8,79097012"
05/04/2008 12.00,"7,99145317","11,23226735"
05/04/2008 13.00,"8,23474884","8,98121822"
05/04/2008 14.00,"8,39280224","12,92023537"
05/04/2008 15.00,"7,99145317","12,47972022"
05/04/2008 16.00,"8,08024693","9,3859718"
05/04/2008 17.00,"8,01276398","10,72408699"
05/04/2008 18.00,"7,95060778","9,90564132"
05/04/2008 19.00,"7,7588129","7,11704565"
05/04/2008 20.00,"7,08042812","6,28966147"
05/04/2008 21.00,"7,04313421","5,99216063"
05/04/2008 22.00,"6,59738922","5,87213778"
05/04/2008 23.00,"6,29904079","5,77892858"
06/04/2008 0.00,"7,11949682","5,6525235"
06/04/2008 1.00,"7,29175711","7,78099727"
06/04/2008 2.00,"6,58850908","7,6622535"
06/04/2008 3.00,"7,0964098","4,81747801"
06/04/2008 4.00,"6,29726505","5,51717991"
06/04/2008 5.00,"6,83358002","5,31288638"
06/04/2008 6.00,"6,98630619","5,11497885"
06/04/2008 7.00,"6,68618202","4,92600794"
06/04/2008 8.00,"6,64888906","4,60169157"
06/04/2008 9.00,"6,98808193","4,46124106"
06/04/2008 10.00,"7,45158577","5,86703086"
06/04/2008 11.00,"7,91509104","6,51183014"
06/04/2008 12.00,"8,05183315","6,33945718"
06/04/2008 13.00,"8,4460783","5,68444407"
06/04/2008 14.00,"8,14773083","7,37624369"
06/04/2008 15.00,"8,5934763","6,00620417"
06/04/2008 16.00,"8,03585052","5,63720088"
06/04/2008 17.00,"8,11221313","5,62443265"
06/04/2008 18.00,"8,00566006","5,47121391"
06/04/2008 19.00,"7,81741714","5,53633225"
06/04/2008 20.00,"7,35924101","5,34097724"
06/04/2008 21.00,"7,51907015","4,55061866"
06/04/2008 22.00,"7,48177624","4,26077913"
06/04/2008 23.00,"6,60271597","4,11266731"
07/04/2008 0.00,"6,98097801","4,27993147"
07/04/2008 1.00,,"4,10117628"
07/04/2008 2.00,"6,89928818",
07/04/2008 3.00,"6,94368505","4,67830282"
07/04/2008 4.00,"7,423172","4,24290398"
07/04/2008 5.00,"6,87265015","3,76409355"
07/04/2008 6.00,"6,81404591","4,43953432"
07/04/2008 7.00,"7,23670483","3,63513219"
07/04/2008 8.00,"7,3272748","7,89718852"
07/04/2008 9.00,"7,03070307","10,7815459"
07/04/2008 10.00,"8,85985756","20,29646025"
07/04/2008 11.00,"9,71227932","16,30893964"
07/04/2008 12.00,"8,69292545","11,32930438"
07/04/2008 13.00,"8,36083603","7,11193874"
07/04/2008 14.00,"8,28092194","5,71763996"
07/04/2008 15.00,"8,75863266","5,61549602"
07/04/2008 16.00,,"1,85680846"
07/04/2008 17.00,,
07/04/2008 18.00,,
07/04/2008 19.00,"3,97974396","10,31167022"
07/04/2008 20.00,"4,54980087","8,63264259"
07/04/2008 21.00,"4,57999086","7,35709135"
07/04/2008 22.00,"4,39885092","11,23353891"
07/04/2008 23.00,"4,62793922","10,96413269"
08/04/2008 0.00,"4,22836685","7,96996817"
08/04/2008 1.00,"3,94600201","6,82082201"
08/04/2008 2.00,"4,54447317","6,46713946"
08/04/2008 3.00,"3,8128109","5,80574224"
08/04/2008 4.00,"3,80393195","5,60911002"
08/04/2008 5.00,"4,49830008","4,9987876"
08/04/2008 6.00,"3,89094996","5,73296259"
08/04/2008 7.00,"3,63167095","5,46993671"
08/04/2008 8.00,"3,67251706","6,77485601"
08/04/2008 9.00,"3,99395108","8,33131203"
08/04/2008 10.00,"4,08274508","12,54867768"
08/04/2008 11.00,"4,29229784","11,74555275"
08/04/2008 12.00,"3,82346606","12,36097833"
08/04/2008 13.00,"3,75953507","31,81346586"
08/04/2008 14.00,"4,15733099","28,81930887"
08/04/2008 15.00,"4,04190016","16,4493845"
08/04/2008 16.00,"4,19640112","20,00024037"
08/04/2008 17.00,"3,55886102","16,21827544"
08/04/2008 18.00,"4,4201622","17,51809346"
08/04/2008 19.00,"3,62989593","15,56837677"
08/04/2008 20.00,"3,52156711","11,53359603"
08/04/2008 21.00,"3,86608696","8,11680467"
08/04/2008 22.00,"3,31378889","11,12756525"
08/04/2008 23.00,"3,40968704","13,01471988"
09/04/2008 0.00,"3,5517571","12,8857604"
09/04/2008 1.00,,"9,04633468"
09/04/2008 2.00,"3,26406503",
09/04/2008 3.00,"3,11666703","6,69441505"
09/04/2008 4.00,"2,56791997","5,84276972"
09/04/2008 5.00,"3,10601091","5,420141"
09/04/2008 6.00,"3,24808192","5,82489458"
09/04/2008 7.00,"2,8129921","6,24241827"
09/04/2008 8.00,"3,11844301","6,05472457"
09/04/2008 9.00,"3,148633","7,76312213"
09/04/2008 10.00,"3,82169104","7,84100869"
09/04/2008 11.00,"3,40613508","7,79887429"
09/04/2008 12.00,"3,66186094","8,0274252"
09/04/2008 13.00,"3,9886229","13,58290227"
09/04/2008 14.00,"3,413239","13,56503089"
09/04/2008 15.00,"3,41501403","11,7544875"
09/04/2008 16.00,"3,10245991","12,57803821"
09/04/2008 17.00,"2,77924991","10,34869582"
09/04/2008 18.00,"2,87869906","10,07162452"
09/04/2008 19.00,"3,33509994","9,78817287"
09/04/2008 20.00,"3,54110193","14,69757534"
09/04/2008 21.00,"3,24452996","9,7077319"
09/04/2008 22.00,"3,40613508","9,65793807"
09/04/2008 23.00,"3,37239289","8,31471221"
10/04/2008 0.00,"3,20546103","8,61349025"
10/04/2008 1.00,"3,00123501","7,29707992"
10/04/2008 2.00,"3,40258288","7,77972195"
10/04/2008 3.00,"3,37772107","6,79145396"
10/04/2008 4.00,"3,11133909","6,32796615"
10/04/2008 5.00,"3,54642892","5,79935813"
10/04/2008 6.00,"3,40613508","5,77765139"
10/04/2008 7.00,"3,43099689","5,78148298"
10/04/2008 8.00,"3,22144389","6,08664514"
10/04/2008 9.00,"3,57484293","5,5490986"
10/04/2008 10.00,"3,82346606","5,71636464"
10/04/2008 11.00,"3,76131105","6,39563701"
