,Provincia di TARANTO,,,,
,TA Carcere,,,,
Parm,SO2,NOX,NO,NO2,PM10



01/01/2008 1.00,"24,058619","34,023503","3,111171","29,273484",
01/01/2008 2.00,"9,579387","15,022857","2,102875","11,806739","37,606831"
01/01/2008 3.00,"22,312155","32,603346","3,134857","27,815985",
01/01/2008 4.00,"14,072879","22,909755","2,269515","19,443415","33,699631"
01/01/2008 5.00,"17,809633","22,550491","2,486907","18,750353",
01/01/2008 6.00,"18,17264","20,240584","2,275436","16,763313","25,39682"
01/01/2008 7.00,"23,168245","22,406517","2,368482","18,787988",
01/01/2008 8.00,"27,163255","33,644814","6,07262","24,350657","14,65201"
01/01/2008 9.00,"41,642518","49,310958","11,651235","31,468191",
01/01/2008 10.00,"23,96833","23,661993","5,837465","14,721756","25,39682"
01/01/2008 11.00,"22,913578","23,39871","6,554775","13,35769",
01/01/2008 12.00,"15,851856","14,428842","3,992586","8,312871","22,46641"
01/01/2008 13.00,"8,403636","7,500405","2,673002","3,404318",
01/01/2008 14.00,"8,578825","7,761097","2,810883","3,453638","18,07081"
01/01/2008 15.00,"8,586049","5,698907","2,178159","2,360829",
01/01/2008 16.00,"7,971985","5,857136","2,358333","2,242722","10,25641"
01/01/2008 17.00,"7,753452","5,685936","2,190847","2,328382",
01/01/2008 18.00,"7,498795","11,601438","2,19423","8,242785","8,791209"
01/01/2008 19.00,"21,096678","29,646247","3,028275","25,020374",
01/01/2008 20.00,"15,214319","18,957879","2,304195","15,435585","12,21001"
01/01/2008 21.00,"17,11069","22,721691","2,768588","18,489484",
01/01/2008 22.00,"12,93325","23,449283","2,272898","19,978143","18,55921"
01/01/2008 23.00,"15,831995","23,623085","2,158703","20,327255",
02/01/2008 0.00,"11,800851","15,851625","1,95569","12,861905","15,62881"
02/01/2008 1.00,"12,69868","1,925238","9,75351",,
02/01/2008 2.00,"9,801533","17,094",,,
02/01/2008 3.00,"15,431043","24,358478","2,392167","20,704952",
02/01/2008 4.00,"24,905679","32,027491","2,936919","27,543429","21,48962"
02/01/2008 5.00,"31,046303","36,788676","4,072945","30,564868",
02/01/2008 6.00,"30,004215","38,172543","3,320952","33,103508","27,83882"
02/01/2008 7.00,"23,49874","34,678477","3,102713","29,941901",
02/01/2008 8.00,"22,756453","25,752727","2,749978","21,551145","22,46641"
02/01/2008 9.00,"23,245904","31,172749","5,288484","23,080038",
02/01/2008 10.00,"16,157078","24,056267","5,261416","16,000163","16,60561"
02/01/2008 11.00,"17,943287","22,782646","5,883988","13,770424",
02/01/2008 12.00,"13,778488","17,509158","4,638842","10,403737","16,11721"
02/01/2008 13.00,"9,032148","12,671443","3,607707","7,144786",
02/01/2008 14.00,"11,073004","12,246035","3,486745","6,904679","16,60561"
02/01/2008 15.00,"9,536041","13,067019","3,452909","7,778148",
02/01/2008 16.00,"9,360852","12,412047","2,991055","7,831361","15,62881"
02/01/2008 17.00,"8,725117","19,295081","3,187301","14,418053",
02/01/2008 18.00,"7,0238","22,017426","3,357325","16,881419","14,65201"
02/01/2008 19.00,"7,92864","26,440111","3,584868","20,958025",
02/01/2008 20.00,"6,545192","28,484152","3,750663","22,74909","12,21001"
02/01/2008 21.00,"7,81847","30,46204","3,540036","25,05152",
02/01/2008 22.00,"11,2229","38,994839","3,592481","33,509749","15,62881"
02/01/2008 23.00,"15,084276","66,673544","9,831742","51,634534",
03/01/2008 0.00,"17,184736","64,480364","7,341452","53,260767","21,97802"
03/01/2008 1.00,"16,200433","55,448246","5,513489","47,027092",
03/01/2008 2.00,"14,464801","28,023725","2,687382","23,919769","32,722832"
03/01/2008 3.00,"9,927958","18,842447","2,007288","15,775628",
03/01/2008 4.00,"8,510195","16,374306","1,994601","13,325253","28,327221"
03/01/2008 5.00,"7,07437","25,34677","5,074474","17,578374",
03/01/2008 6.00,"7,191764","34,89897","7,188345","23,893823","24,908421"
03/01/2008 7.00,"3,418887","39,770421","10,719913","23,349994",
03/01/2008 8.00,"8,929202","140,358581","65,222926","40,381973","19,53602"
03/01/2008 9.00,"8,678159","132,725898","59,096175","42,144496",
03/01/2008 10.00,"6,066584","80,916946","30,776733","33,75116","33,699631"
03/01/2008 11.00,"8,515612","37,482541","10,148103","21,937924",
03/01/2008 12.00,"15,479808","20,64004","4,799561","13,29021","38,09523"
03/01/2008 13.00,"15,017459","11,877694","3,070569","7,174636",
03/01/2008 14.00,"15,226961","13,524851","3,083257","8,803465","27,35042"
03/01/2008 15.00,"13,876018","13,440547","3,342944","8,320659",
03/01/2008 16.00,"14,181241","11,026879","2,30758","7,493913","23,44322"
03/01/2008 17.00,"10,825568","15,140881","3,027428","10,50627",
03/01/2008 18.00,"7,121327","32,174047","5,335853","24,009328","25,88522"
03/01/2008 19.00,"8,380157","26,124955","2,980059","21,570628",
03/01/2008 20.00,"9,09536","27,146976","3,842864","21,269508","23,44322"
03/01/2008 21.00,"3,263566","38,976674","6,331461","29,289067",
03/01/2008 22.00,"7,081595","39,079139","6,975182","28,403925","28,327221"
03/01/2008 23.00,"10,504084","24,224886","3,571334","18,762039",
04/01/2008 0.00,"11,732214","23,691821","2,94284","19,192924","34,18803"
04/01/2008 1.00,"14,834796","2,261902","11,374549",,
04/01/2008 2.00,"9,402392","29,79241",,,
04/01/2008 3.00,"8,698026","12,461332","1,864335","9,609446",
04/01/2008 4.00,"9,089942","8,938749","1,883789","6,054574","26,37361"
04/01/2008 5.00,"9,165797","7,774066","1,849108","4,942296",
04/01/2008 6.00,"8,528255","7,850588","1,94131","4,877403","23,44322"
04/01/2008 7.00,"8,389188","9,547031","2,014901","6,462106",
04/01/2008 8.00,"7,182734","12,829673","2,469989","9,048765","22,46641"
04/01/2008 9.00,"9,292222","13,124086","3,068031","8,425786",
04/01/2008 10.00,"9,44935","15,729709","3,032503","11,087713","17,582411"
04/01/2008 11.00,"7,020188","19,489628","3,454601","14,202614",
04/01/2008 12.00,"6,561446","11,580688","2,812573","7,273274","31,746031"
04/01/2008 13.00,"7,867234","9,399175","2,832028","5,060404",
04/01/2008 14.00,"7,387126","15,512256","3,311861","10,441485","25,88522"
04/01/2008 15.00,"7,307353","10,330404","2,367636","6,737255",
04/01/2008 16.00,"6,723993","8,026975","2,044508","4,895574","23,44322"
04/01/2008 17.00,"8,295272","9,259103","2,071578","6,08702",
04/01/2008 18.00,"6,212875","7,316233","1,835574","4,504915","20,02442"
04/01/2008 19.00,"5,638545","7,266948","2,054658","4,119446",
04/01/2008 20.00,"5,091306","5,936253","1,948924","2,950063","15,14041"
04/01/2008 21.00,"5,524763","6,036119","1,94131","3,06168",
04/01/2008 22.00,"5,447103","5,89864","1,847417","3,068169","18,55921"
04/01/2008 23.00,"5,774001","6,097077","2,08934","2,895552",
05/01/2008 0.00,"4,833039","6,599008","1,986143","3,556169","14,16361"
05/01/2008 1.00,"1,466527","6,165818","2,036896","3,044808",
05/01/2008 2.00,"4,926954","5,776726","1,89817","2,868296","20,02442"
05/01/2008 3.00,"4,516977","5,790991","1,875331","2,917616",
05/01/2008 4.00,"5,098531","6,685905","2,591797","2,713851","24,42001"
05/01/2008 5.00,"4,887221","5,578289","1,929467","2,621702",
05/01/2008 6.00,"4,829427","5,60293","1,97007","2,584064","23,44322"
05/01/2008 7.00,"4,954046","5,973866","2,196768","2,607425",
05/01/2008 8.00,"6,60118","8,15797","2,891242","3,72749","26,86202"
