,ARPA Puglia,,,,
,Baldassarre,,,,
Parm,SO2,NO2,,,PM10


07/01/2008 2.00,,"3,70791185",,,
07/01/2008 3.00,,"3,02736228",,,
07/01/2008 4.00,,"3,19590365",,,
07/01/2008 5.00,,"2,87414167",,,
07/01/2008 6.00,,"4,18927667",,,
07/01/2008 7.00,,"6,48246209",,,
07/01/2008 8.00,,"16,49407706",,,
07/01/2008 9.00,,"23,04548532",,,
07/01/2008 10.00,,"24,2993223",,,
07/01/2008 11.00,,"19,21243995",,,
07/01/2008 12.00,,"7,36858049",,,
07/01/2008 13.00,,"8,83310452",,,
07/01/2008 14.00,,"6,9114768",,,
07/01/2008 15.00,,"6,97021103",,,
07/01/2008 16.00,,"8,3491853",,,
07/01/2008 17.00,,"9,61707899",,,
07/01/2008 18.00,,"14,12555948",,,
07/01/2008 19.00,,"20,61822411",,,
07/01/2008 20.00,,"18,13096841",,,
07/01/2008 21.00,,"31,41508887",,,
07/01/2008 22.00,,"30,89798316",,,
07/01/2008 23.00,,"23,8537134",,,
08/01/2008 0.00,,"18,74385087",,,
08/01/2008 1.00,,"18,79109407",,,
08/01/2008 2.00,,,,,
08/01/2008 3.00,,"9,77412744",,,
08/01/2008 4.00,,"11,268012",,,
08/01/2008 5.00,,"13,73995072",,,
08/01/2008 6.00,,"13,98511085",,,
08/01/2008 7.00,,"11,35100924",,,
08/01/2008 8.00,,"15,32067352",,,
08/01/2008 9.00,,"17,98158503",,,
08/01/2008 10.00,,"16,08676344",,,
08/01/2008 11.00,,"15,75734579",,,
08/01/2008 12.00,,"13,88168031",,,
08/01/2008 13.00,,"13,821667",,,
08/01/2008 14.00,,"15,44325077",,,
08/01/2008 15.00,,"13,99148556",,,
08/01/2008 16.00,,"13,34413753",,,
08/01/2008 17.00,,"15,42026307",,,
08/01/2008 18.00,,"7,82824046",,,
08/01/2008 19.00,"1,701424","6,33307307",,,
08/01/2008 20.00,"1,79797101","5,71253493",,,
08/01/2008 21.00,"0,982068","7,94826331",,,
08/01/2008 22.00,"7,99839401","8,67477887",,,
08/01/2008 23.00,"1,48901999","9,74731379",,,
09/01/2008 0.00,"22,27087975","9,29659421",,,
09/01/2008 1.00,"0,59932399","5,5107958",,,
09/01/2008 2.00,"0,37022001","5,00772423",,,
09/01/2008 3.00,"1,22995996","5,2273385",,,
09/01/2008 4.00,"3,464324","5,77637607",,,
09/01/2008 5.00,"5,495574","5,35885238",,,
09/01/2008 6.00,"7,54947376","4,26716324",,,
09/01/2008 7.00,"7,57452393","5,77382167",,,
09/01/2008 8.00,"7,62932205","7,08767948",,,
09/01/2008 9.00,"7,17215681","18,38250137",,,
09/01/2008 10.00,"5,56018305","16,47237032",,,
09/01/2008 11.00,"2,85884309","11,41612382",,,
09/01/2008 12.00,"3,96376109","12,81041883",,,
09/01/2008 13.00,"2,11485505","14,91974778",,,
09/01/2008 14.00,"1,39424706","20,21730777",,,
09/01/2008 15.00,"3,02542591","21,85802883",,,
09/01/2008 16.00,"2,67253304","5,4175866",,,
09/01/2008 17.00,"1,72229898","7,1464137",,,
09/01/2008 18.00,"1,795048","10,28868628",,,
09/01/2008 19.00,"2,34990811","8,45388552",,,
09/01/2008 20.00,"3,3759191","19,86106518",,,
09/01/2008 21.00,"1,58640206","22,97141154",,,
09/01/2008 22.00,"1,59517002","18,95579631",,,
09/01/2008 23.00,"1,86779797","19,19329137",,,
10/01/2008 0.00,"6,17631102","15,66413284",,,
10/01/2008 1.00,,"12,96364509",,,
10/01/2008 2.00,"1,13852596",,,,
10/01/2008 3.00,"0,090319","8,10148205",,,
10/01/2008 4.00,"0,000285","7,42093249",,,
10/01/2008 5.00,0,"7,21280736",,,
10/01/2008 6.00,"0,004844","6,28583175",,,
10/01/2008 7.00,"0,004274","5,40226398",,,
10/01/2008 8.00,"0,102855","8,23682564",,,
10/01/2008 9.00,"0,013961","11,87578191",,,
10/01/2008 10.00,"0,019659","12,75041681",,,
10/01/2008 11.00,"0,028207","11,77874676",,,
10/01/2008 12.00,"0,030486","11,19396079",,,
10/01/2008 13.00,"0,038464","19,58655204",,,
10/01/2008 14.00,"0,006268","19,04772078",,,
10/01/2008 15.00,"0,024503","16,93074933",,,
10/01/2008 16.00,"0,035615","11,90770436",,,
10/01/2008 17.00,"0,482364","13,43479045",,,
10/01/2008 18.00,"0,62539202","21,06894933",,,
10/01/2008 19.00,"1,44367194","29,94546357",,,
10/01/2008 20.00,"2,03145409","26,12774835",,,
10/01/2008 21.00,"4,51991415","19,52143182",,,
10/01/2008 22.00,"5,11482","25,34376636",,,
10/01/2008 23.00,"4,03555584","18,89451333",,,
11/01/2008 0.00,"4,34526014","17,59598003",,,
11/01/2008 1.00,"4,2857132","13,1219745",,,
11/01/2008 2.00,"3,70904207","11,46847017",,,
11/01/2008 3.00,"3,9295671","10,91177693",,,
11/01/2008 4.00,"3,86147189","8,64541082",,,
11/01/2008 5.00,"3,36486292","8,77054058",,,
