,Provincia di TARANTO,,,,,
,MANDURIA,,,,,
Parm,NOX,NO,NO2,CO,O3,Benzene



01/01/2008 1.00,"20,209458","0,230081","20,721816","1,294734","16,01105","3,248302"
01/01/2008 2.00,"49,401757","14,852069","26,647887","1,561247","13,046893","3,081216"
01/01/2008 3.00,"26,982257","3,513813","21,609557","0,97702","23,854095","2,787334"
01/01/2008 4.00,"11,893257",0,"14,619222","0,637889","33,301757","1,908582"
01/01/2008 5.00,"0,645893",0,"4,693105","0,413144","41,993813","1,177739"
01/01/2008 6.00,0,0,"0,488","0,380485","46,53553","0,825079"
01/01/2008 7.00,"1,107616","0,510916","0,430894","0,320339","50,018302","0,611221"
01/01/2008 8.00,0,0,0,"0,32756","52,546424","0,723807"
01/01/2008 9.00,0,0,"0,025957","0,421266","53,700134","0,801072"
01/01/2008 10.00,0,0,0,"0,429226","62,523559","1,028865"
01/01/2008 11.00,"0,173795",0,"0,539914","0,666444","59,155859","1,421675"
01/01/2008 12.00,"7,945266","1,414322","6,216808","0,827189","57,13283","2,559126"
01/01/2008 13.00,"4,513471","0,329895","5,697659","0,711","64,348902","2,133202"
01/01/2008 14.00,"31,622836","8,502854","18,990458","1,109292","52,160513","2,072081"
01/01/2008 15.00,"2,295645",0,"5,848211","0,669727","66,891929","2,205915"
01/01/2008 16.00,0,0,"1,65349","0,718139","66,553399","1,814623"
01/01/2008 17.00,"1,807983",0,"4,633403","0,776889","66,282578","1,996333"
01/01/2008 18.00,"8,331765","0,08628","9,980636","0,92631","62,512726","2,248824"
01/01/2008 19.00,"14,609123","0,73423","13,567953","0,939686","58,244542","2,545742"
01/01/2008 20.00,"11,234395","0,040602","12,79182","1,008528","57,414484","2,534152"
01/01/2008 21.00,"14,461268","0,138726","14,951486","1,030108","51,387312","2,881155"
01/01/2008 22.00,"15,732301","0,301136","15,779524","1,085989","46,772478","2,571268"
01/01/2008 23.00,"8,129438","0,035527","10,429696","0,872811","44,731831","2,489863"
02/01/2008 0.00,"5,613307","0,182712","8,314169","0,811106","40,32689","2,058007"
02/01/2008 1.00,"0,806719",0,"3,872851","0,599161","46,123861","1,479762"
02/01/2008 2.00,"0,53204","47,530797","1,067498",,,
02/01/2008 3.00,"0,412438",0,"3,852085","45,354728","0,780789",
02/01/2008 4.00,0,0,"0,106426","0,300435","0,745469",
02/01/2008 5.00,0,0,0,"0,311106","50,08194","0,689176"
02/01/2008 6.00,0,0,"0,002596","0,315374","47,854426","0,632469"
02/01/2008 7.00,"2,568009",0,"5,884552","0,333187","39,236821","0,645162"
02/01/2008 8.00,"3,058267",0,"7,016298","0,473555","45,054101","0,95781"
02/01/2008 9.00,"11,125448","0,333279","12,687997","0,794018","36,199554","1,350757"
02/01/2008 10.00,"24,489469","2,131634","21,23578","0,78737","34,209002","2,19322"
02/01/2008 11.00,"12,941213","0,067671","13,043616","0,637644","50,986495","1,862637"
02/01/2008 12.00,"15,763429","2,082573","12,976124","0,73976","52,6358","2,078979"
