,ARPA Puglia,
,Scuola Elementare,
Parm,SO2,NO2



06/01/2008 20.00,"5,10209894","21,13916706"
06/01/2008 21.00,"5,13228893","19,42950735"
06/01/2008 22.00,"4,77711296","13,42585382"
06/01/2008 23.00,"4,96535587","9,52642231"
07/01/2008 0.00,"5,13583994","7,07363405"
07/01/2008 1.00,"4,99554586","10,54788431"
07/01/2008 2.00,"4,79842377","8,10531176"
07/01/2008 3.00,"5,14472008","10,5146809"
07/01/2008 4.00,"5,155375","11,56934067"
07/01/2008 5.00,"5,18201399","5,86447646"
07/01/2008 6.00,"4,94582176","10,2682605"
07/01/2008 7.00,"4,91030407","15,07551527"
07/01/2008 8.00,"5,56915522","48,45183255"
07/01/2008 9.00,"5,32230806","43,7684247"
07/01/2008 10.00,"5,04527092","19,27244385"
07/01/2008 11.00,"5,2477212","24,86239965"
07/01/2008 12.00,"5,36848116","21,40730361"
07/01/2008 13.00,"5,37735987","12,53079501"
07/01/2008 14.00,"5,43063593","9,08463937"
07/01/2008 15.00,"5,46970606","5,87213778"
07/01/2008 16.00,"5,26548004",
07/01/2008 17.00,"5,30810118","12,56216821"
07/01/2008 18.00,"4,9884429","10,89262271"
07/01/2008 19.00,"5,13583994","15,51730198"
07/01/2008 20.00,"4,9369421","17,76069167"
07/01/2008 21.00,"5,02040911","15,61306557"
07/01/2008 22.00,"5,16070318","21,98315295"
07/01/2008 23.00,"5,09854698","22,60369485"
08/01/2008 0.00,"5,42708492","26,44055865"
08/01/2008 1.00,,"20,75867838"
08/01/2008 2.00,"4,92983913",
08/01/2008 3.00,"5,11630583","11,08159361"
08/01/2008 4.00,"5,13051319","9,09613228"
08/01/2008 5.00,"5,04527092","10,05375126"
08/01/2008 6.00,"4,9422698","9,23147587"
08/01/2008 7.00,"4,93339109","12,58186981"
08/01/2008 8.00,"5,45194721","37,81710999"
08/01/2008 9.00,"5,53541279","34,13347245"
08/01/2008 10.00,"5,39511919","28,13874426"
08/01/2008 11.00,"5,18201399","25,58381958"
08/01/2008 12.00,"4,9369421","25,14075003"
08/01/2008 13.00,"5,63486195","32,35483647"
08/01/2008 14.00,"5,57803392","45,0873819"
08/01/2008 15.00,"5,44306803","39,29952609"
08/01/2008 16.00,"5,52298212","36,82501416"
08/01/2008 17.00,"5,28678989","20,07173718"
08/01/2008 18.00,"5,24594498","32,0701095"
08/01/2008 19.00,"5,46260214","41,87232027"
08/01/2008 20.00,"5,05592585","26,09199054"
08/01/2008 21.00,"5,17668581","33,08135391"
08/01/2008 22.00,"5,17135811","45,70408656"
08/01/2008 23.00,"5,038167","22,76585586"
09/01/2008 0.00,"5,03106403","16,75582762"
09/01/2008 1.00,"4,9032011","16,15061022"
09/01/2008 2.00,"4,93339109","10,20313463"
09/01/2008 3.00,"4,96890783","21,55797171"
09/01/2008 4.00,"4,77888918","21,45199617"
09/01/2008 5.00,"4,94937277","20,50969041"
09/01/2008 6.00,"4,71495724","19,61463537"
09/01/2008 7.00,"4,8357172","22,60753209"
09/01/2008 8.00,"5,00264978","42,13152207"
09/01/2008 9.00,"5,55494785","43,34324346"
09/01/2008 10.00,"5,05770206","33,10817697"
09/01/2008 11.00,"5,33651495","29,95057989"
09/01/2008 12.00,"5,39334297","18,53954982"
09/01/2008 13.00,"5,27791119","15,65647529"
09/01/2008 14.00,"5,37380791","19,51121799"
09/01/2008 15.00,"5,37735987","17,12738343"
09/01/2008 16.00,"5,46260214","10,91688949"
09/01/2008 17.00,"5,14472008","9,74476127"
09/01/2008 18.00,"5,4821372","39,95708607"
09/01/2008 19.00,"5,22285795","34,3709487"
09/01/2008 20.00,"4,89254522","21,20684544"
09/01/2008 21.00,"5,03994322","30,92990373"
09/01/2008 22.00,"4,91207981","21,672882"
09/01/2008 23.00,"4,83749294","14,98102888"
10/01/2008 0.00,"5,01330519","28,51285635"
10/01/2008 1.00,,"27,35094384"
10/01/2008 2.00,"4,74514723",
10/01/2008 3.00,"4,8410449","9,64133825"
10/01/2008 4.00,"4,87833786","8,81012246"
10/01/2008 5.00,"4,890769","11,73916864"
10/01/2008 6.00,"5,11453009","14,65671438"
10/01/2008 7.00,"5,01330519","22,61390868"
10/01/2008 8.00,"5,13228893","28,58309289"
10/01/2008 9.00,"6,40204191","35,76142152"
10/01/2008 10.00,"6,31857586","43,65093744"
10/01/2008 11.00,"5,27613497","35,61331158"
10/01/2008 12.00,"5,18911695","19,7397783"
10/01/2008 13.00,"5,37025595","14,89931447"
10/01/2008 14.00,"5,40222216","12,22436318"
10/01/2008 15.00,"5,51765394","11,03818389"
10/01/2008 16.00,"5,32763481","19,673379"
10/01/2008 17.00,"5,61177588","15,73691249"
10/01/2008 18.00,"5,34894609","20,39989644"
10/01/2008 19.00,"5,36137676","42,12640575"
10/01/2008 20.00,"5,19799614","38,75557851"
10/01/2008 21.00,"5,44661999","46,26462456"
10/01/2008 22.00,"5,50167179","48,66506271"
10/01/2008 23.00,"5,27613497","35,70141762"
11/01/2008 0.00,"5,07901192","29,68628058"
11/01/2008 1.00,"5,22818613","24,29038755"
11/01/2008 2.00,"4,91740799","13,28667674"
11/01/2008 3.00,"4,86235523","13,94297081"
11/01/2008 4.00,"4,74692297","22,25001042"
11/01/2008 5.00,"4,73982","18,46933209"
11/01/2008 6.00,"5,038167","24,0707808"
11/01/2008 7.00,"4,92628717","29,7628749"
11/01/2008 8.00,"5,58158588","32,87577942"
11/01/2008 9.00,"5,24949694","33,55634403"
11/01/2008 10.00,"4,94404602","20,29773933"
11/01/2008 11.00,"4,97956324","12,09412463"
11/01/2008 12.00,"5,05237389","15,47772386"
11/01/2008 13.00,"5,04349518","21,1915341"
11/01/2008 14.00,"5,44839478","33,12732555"
11/01/2008 15.00,"5,45194721","29,73607065"
11/01/2008 16.00,"5,53186083","35,14343778"
11/01/2008 17.00,"5,33651495","39,38761332"
11/01/2008 18.00,"6,12145281","59,73899877"
11/01/2008 19.00,"6,43933487","60,16673817"
11/01/2008 20.00,"6,12855721","51,93373284"
11/01/2008 21.00,"5,86395121","53,15055174"
11/01/2008 22.00,"6,05219412","46,94517036"
11/01/2008 23.00,"6,0504179","39,40804098"
12/01/2008 0.00,"5,13761711","30,38597496"
12/01/2008 1.00,,"19,31329917"
12/01/2008 2.00,"4,73271608",
12/01/2008 3.00,"4,9422698","11,45826386"
12/01/2008 4.00,"4,90675211","15,47133786"
12/01/2008 5.00,"4,82328606","10,32571188"
12/01/2008 6.00,"5,00797701","17,13760102"
12/01/2008 7.00,"4,77178621","33,15796704"
12/01/2008 8.00,"5,04527092","39,00840372"
12/01/2008 9.00,"5,16958189","38,47978629"
12/01/2008 10.00,"5,11453009","29,41684614"
12/01/2008 11.00,"5,00797701","25,13565252"
12/01/2008 12.00,"5,08256388","17,61258173"
12/01/2008 13.00,"5,26725578","7,84611561"
12/01/2008 14.00,"5,52653408","8,08232971"
12/01/2008 15.00,"5,64196587","8,74117441"
12/01/2008 16.00,"5,67748404","8,59178351"
12/01/2008 17.00,"5,41643","15,85693722"
12/01/2008 18.00,"5,47325802","16,26808055"
12/01/2008 19.00,"5,29567003","11,97410178"
12/01/2008 20.00,"5,04882193","17,78366809"
12/01/2008 21.00,"5,00797701","12,06858629"
12/01/2008 22.00,"4,99377012","8,39132158"
12/01/2008 23.00,"4,97245979","5,82106487"
13/01/2008 0.00,"5,18911695","9,11783714"
13/01/2008 1.00,"4,83216476","6,03046531"
13/01/2008 2.00,"4,773561","4,27865427"
13/01/2008 3.00,"5,03461599","4,55827997"
13/01/2008 4.00,"4,920959","4,13054245"
13/01/2008 5.00,"4,59597301","4,26844044"
13/01/2008 6.00,"4,69364691","2,42214489"
13/01/2008 7.00,"4,6101799","5,59251208"
13/01/2008 8.00,"4,64925003","16,88861869"
13/01/2008 9.00,"4,92273521","21,44561958"
13/01/2008 10.00,"4,67411184","15,46112027"
13/01/2008 11.00,"4,85169983","15,77138746"
13/01/2008 12.00,"5,0843401","13,99276652"
13/01/2008 13.00,"5,00797701","19,04134419"
13/01/2008 14.00,"5,02396011","14,64650807"
13/01/2008 15.00,"5,13406515","6,91658372"
13/01/2008 16.00,"5,1056509","9,51365597"
13/01/2008 17.00,"4,91918278","15,73436185"
13/01/2008 18.00,"5,07723713","27,30243285"
13/01/2008 19.00,"4,79131985","40,16775807"
13/01/2008 20.00,"4,83394098","21,5043444"
13/01/2008 21.00,"4,71140623","40,12818183"
13/01/2008 22.00,"4,73804379","24,96711492"
13/01/2008 23.00,"4,7238369","25,64892099"
14/01/2008 0.00,"4,70607805","10,40615661"
14/01/2008 1.00,,"5,49036626"
14/01/2008 2.00,"4,71495724",
14/01/2008 3.00,"4,70963001","4,11139011"
14/01/2008 4.00,"4,61906004","4,91962383"
14/01/2008 5.00,,
14/01/2008 6.00,"4,46278286","6,42117534"
14/01/2008 7.00,"4,71318102","37,0880532"
14/01/2008 8.00,"4,64214706","44,44769142"
14/01/2008 9.00,"4,66168118","55,42842393"
14/01/2008 10.00,"4,69542313","31,23122112"
14/01/2008 11.00,"4,76290607","22,93693281"
14/01/2008 12.00,"5,2175312","18,28036119"
14/01/2008 13.00,"5,03994322","15,17766485"
14/01/2008 14.00,"5,21930695","13,94935681"
14/01/2008 15.00,"5,1003232","13,11047595"
14/01/2008 16.00,"5,27613497","10,43934873"
14/01/2008 17.00,"5,26370382","13,12324418"
14/01/2008 18.00,"5,49456787","51,57239274"
14/01/2008 19.00,"5,06480598","44,46174249"
14/01/2008 20.00,"5,22463512","43,08913917"
14/01/2008 21.00,"5,41820478","60,92133894"
14/01/2008 22.00,"4,96358109","40,6657152"
14/01/2008 23.00,"5,06302977","41,99616531"
15/01/2008 0.00,"4,890769","17,70068213"
15/01/2008 1.00,"4,67055988","13,13984777"
15/01/2008 2.00,"4,60662889","9,22636895"
15/01/2008 3.00,"4,42904091","4,42676797"
15/01/2008 4.00,"4,43969584","5,2707501"
15/01/2008 5.00,"4,5711112","10,20824907"
15/01/2008 6.00,"4,887218","18,32632342"
15/01/2008 7.00,"4,8357172","35,73587754"
15/01/2008 8.00,"5,61355209","47,59251651"
15/01/2008 9.00,"5,31697989","43,45047927"
15/01/2008 10.00,"5,26015186","41,7139965"
15/01/2008 11.00,"4,80019999","24,31974996"
15/01/2008 12.00,"4,97245979","13,71186175"
15/01/2008 13.00,"5,21930695","14,4498721"
15/01/2008 14.00,"5,32408381","9,29148541"
15/01/2008 15.00,"5,26548004","12,14902161"
15/01/2008 16.00,,
15/01/2008 17.00,"4,64747381","16,91415703"
15/01/2008 18.00,"4,84637308","39,16161117"
15/01/2008 19.00,"5,5886898","50,68499337"
15/01/2008 20.00,"2,39033198","50,19471072"
15/01/2008 21.00,"2,88225102","59,35339377"
15/01/2008 22.00,"2,67802501","52,51214034"
15/01/2008 23.00,"2,60166192","42,80313312"
16/01/2008 0.00,"2,4009881","33,80147595"
16/01/2008 1.00,"2,47202301","23,43874599"
16/01/2008 2.00,"2,40631509","18,19353235"
16/01/2008 3.00,"2,36369395","20,20453578"
16/01/2008 4.00,"2,28733206","9,87499795"
16/01/2008 5.00,"2,15058899","8,24576227"
16/01/2008 6.00,"2,3423841","20,18666628"
16/01/2008 7.00,"2,43295407","36,50071095"
16/01/2008 8.00,"3,16106391","52,92838683"
16/01/2008 9.00,"3,31556511","55,37351754"
16/01/2008 10.00,"2,93375111","58,08422664"
16/01/2008 11.00,"3,05273509","57,34237905"
16/01/2008 12.00,"2,98880291","25,45230006"
16/01/2008 13.00,"3,1663909","28,81163439"
16/01/2008 14.00,"3,08825302","20,12152725"
16/01/2008 15.00,"2,95328593","15,7943714"
16/01/2008 16.00,"2,976969","9,11911433"
16/01/2008 17.00,,
16/01/2008 18.00,"2,86735201","48,82287861"
16/01/2008 19.00,"3,53754997","54,54484299"
16/01/2008 20.00,"2,58212709","38,33807175"
16/01/2008 21.00,"2,72774911","39,19864806"
16/01/2008 22.00,"2,83430195","35,42816475"
16/01/2008 23.00,"2,59100699","23,36724918"
17/01/2008 0.00,"2,71531796","13,12963017"
17/01/2008 1.00,"2,67980099","7,09023388"
17/01/2008 2.00,"2,74728394","5,79169869"
17/01/2008 3.00,"2,72597289","10,35891341"
17/01/2008 4.00,"2,51464391","37,83116106"
17/01/2008 5.00,"2,766819","4,28631558"
17/01/2008 6.00,"2,57147193","3,93263303"
17/01/2008 7.00,"2,46491909","5,49802757"
17/01/2008 8.00,"2,78635311","15,55050351"
17/01/2008 9.00,"2,68867993","36,51858045"
17/01/2008 10.00,"2,68690395","43,68287682"
17/01/2008 11.00,"2,85738802","29,55602133"
17/01/2008 12.00,"2,82187104","11,48251936"
17/01/2008 13.00,"2,57324791","10,10865012"
17/01/2008 14.00,"2,86449194","17,60746541"
17/01/2008 15.00,"2,7508359","12,71466276"
17/01/2008 16.00,"3,02964902","16,31532375"
17/01/2008 17.00,"2,87337089","22,34577213"
17/01/2008 18.00,"2,92131996","19,9925847"
17/01/2008 19.00,"2,95861411","35,63883675"
17/01/2008 20.00,"3,09180498","45,33253263"
17/01/2008 21.00,"3,10601091","37,86563979"
17/01/2008 22.00,"2,76859498","25,63616781"
17/01/2008 23.00,"2,67802501","19,91852973"
18/01/2008 0.00,"2,92487192","26,96407857"
18/01/2008 1.00,,"16,90265848"
18/01/2008 2.00,"2,75971508","10,38445175"
18/01/2008 3.00,"2,44538498","9,63750665"
18/01/2008 4.00,"2,39033198","10,27464461"
18/01/2008 5.00,"2,56969595","9,73582276"
18/01/2008 6.00,"2,37790108","13,48076209"
18/01/2008 7.00,"2,18788195","20,09856024"
18/01/2008 8.00,"2,443609","21,4200756"
18/01/2008 9.00,"2,61231709","21,35879262"
18/01/2008 10.00,"3,32089305","28,84995036"
18/01/2008 11.00,"3,50203204","35,94401019"
18/01/2008 12.00,"2,79523301","27,94468149"
18/01/2008 13.00,"2,82897401","18,03265042"
18/01/2008 14.00,"3,00833797","15,32833107"
18/01/2008 15.00,"2,81831908","12,86787962"
18/01/2008 16.00,"2,63185191","12,77722482"
18/01/2008 17.00,"2,70643902","14,27877446"
18/01/2008 18.00,"2,84673309","34,77953952"
18/01/2008 19.00,"2,7206459","38,6240778"
18/01/2008 20.00,"2,93375111","47,63083248"
18/01/2008 21.00,"2,78812909","40,52909817"
18/01/2008 22.00,"2,64250708","42,7265388"
18/01/2008 23.00,"2,65493798","31,55298498"
19/01/2008 0.00,"2,41519499","17,1350391"
19/01/2008 1.00,"2,39921188","21,21833835"
19/01/2008 2.00,"2,36014199","15,49559524"
19/01/2008 3.00,"2,16124392","11,09819344"
19/01/2008 4.00,"2,24115896","11,80428322"
