, Brindisi,,
,Quartiere Bozzano,,
Parm,SO2,NO2,PM10



06/01/2008 10.00,"0,089588","5,479616","25,88522"
06/01/2008 11.00,"0,078408","6,375147",
06/01/2008 12.00,"0,068135","6,630829","5,372406"
06/01/2008 13.00,"0,09835","5,879362",
06/01/2008 14.00,"0,103335","5,957234","4,884005"
06/01/2008 15.00,"0,090494","7,380998",
06/01/2008 16.00,"0,09699","6,581509","6,349206"
06/01/2008 17.00,"0,090343","8,18438",
06/01/2008 18.00,"0,108774","3,802765","26,37361"
06/01/2008 19.00,"0,108472","2,305021",
06/01/2008 20.00,"0,090947","6,712594","26,86202"
06/01/2008 21.00,"0,100465","2,668425",
06/01/2008 22.00,"0,108623","5,175914","8,791209"
06/01/2008 23.00,"0,108774","4,371233",
07/01/2008 0.00,"0,148507","14,591972","6,837607"
07/01/2008 1.00,"0,137479","6,176572",
07/01/2008 2.00,"0,090947","6,856657","6,837607"
07/01/2008 3.00,"0,104847","8,247978",
07/01/2008 4.00,"0,092761","6,835893","6,837607"
07/01/2008 5.00,"0,133702","2,52436",
07/01/2008 6.00,"0,353215","7,541935","3,907204"
07/01/2008 7.00,"0,828349","35,712239",
07/01/2008 8.00,"4,631982","59,34259","6,837607"
07/01/2008 9.00,"4,421685","64,460095",
07/01/2008 10.00,"1,860044","62,791056","7,814408"
07/01/2008 11.00,"0,378293","16,671167",
07/01/2008 12.00,"0,122976","13,056594","5,860806"
07/01/2008 13.00,"0,217398","9,791147",
07/01/2008 14.00,"0,103789","2,207681","1,465201"
07/01/2008 15.00,"0,590404","3,927361",
07/01/2008 16.00,"0,055747","16,057267",
07/01/2008 17.00,"0,440385","51,766922",
07/01/2008 18.00,"0,937123","63,565873","5,372406"
07/01/2008 19.00,"1,684193","61,874748",
07/01/2008 20.00,"1,83829","60,765059","35,653221"
07/01/2008 21.00,"2,34953","53,97199",
07/01/2008 22.00,"1,765773","55,394463","35,653221"
07/01/2008 23.00,"1,892677","50,976518",
08/01/2008 0.00,"0,708545","3,12917","32,234421"
08/01/2008 1.00,,"2,096062",
08/01/2008 2.00,"1,944245",,"29,30402"
08/01/2008 3.00,"1,528817","6,525702",
08/01/2008 4.00,"1,122127","3,319957","25,88522"
08/01/2008 5.00,"0,844327","8,07536",
08/01/2008 6.00,"2,050559","36,044489","33,211231"
08/01/2008 7.00,"2,124469","49,468389",
08/01/2008 8.00,"4,471034","62,988314","37,118431"
08/01/2008 9.00,"4,667643","55,153052",
08/01/2008 10.00,"2,357487","54,706601","32,722832"
08/01/2008 11.00,"1,148343","22,189716",
08/01/2008 12.00,"0,86071","42,770062","25,39682"
08/01/2008 13.00,"0,784251","49,483954",
08/01/2008 14.00,"0,922242","45,932968","31,746031"
08/01/2008 15.00,"0,783159","24,863322",
08/01/2008 16.00,"0,795902","4,610042","24,908421"
08/01/2008 17.00,"0,778062","4,272595",
08/01/2008 18.00,"0,77879","7,579573","4,884005"
08/01/2008 19.00,"0,865444","30,049621",
08/01/2008 20.00,"0,783159","58,466529","1,953602"
08/01/2008 21.00,"1,650059","73,035146",
08/01/2008 22.00,"2,111726","67,982537","23,44322"
08/01/2008 23.00,"0,828307","21,727662",
09/01/2008 0.00,"1,295071","30,401334","6,837607"
