,ARPA Puglia,,,
,Viale Grassi,,,
Parm,NO2,CO,PM10,BENZENE



01/01/2008 1.00,"39,6595683","0,8886073",,"1,91857195"
01/01/2008 2.00,"125,8417215","2,1705974","69,84127045","3,64242697"
01/01/2008 3.00,"93,26342223","1,25642445",,"8,30846882"
01/01/2008 4.00,"74,99454831","1,1408736","75,70207214","5,06716919"
01/01/2008 5.00,"51,46257996","0,9341105",,"3,71195292"
01/01/2008 6.00,"59,20016751","0,79984915","58,6080513","2,46113491"
01/01/2008 7.00,"42,41624904","0,81094435",,"2,10570693"
01/01/2008 8.00,"21,52733022","0,77877655","42,00244141","2,00910711"
01/01/2008 9.00,"21,59882703","0,68972745",,"1,24237204"
01/01/2008 10.00,"19,34140131","0,74522185","23,93161964","0,84362602"
01/01/2008 11.00,"27,8655102","0,7490088",,"0,80463898"
01/01/2008 12.00,"24,32486628","0,80437325","12,21000957","1,72883701"
01/01/2008 13.00,"42,21197244","1,1359056",,"1,36257994"
01/01/2008 14.00,"46,45996641","1,0005736","17,58241081","3,23371792"
01/01/2008 15.00,"32,087979","0,801596",,"2,61231589"
01/01/2008 16.00,"22,57815087","0,87800775","11,72161007","1,42365897"
01/01/2008 17.00,"42,01915113","0,99425435",,"1,65108097"
01/01/2008 18.00,"58,49409654","1,05901315","17,09399986","2,8068161"
01/01/2008 19.00,"79,52474871","1,1886653",,"2,83150697"
01/01/2008 20.00,"92,64288033","1,5331547","24,90842056","3,88522696"
01/01/2008 21.00,"58,57069086","1,34652235",,"5,23849297"
01/01/2008 22.00,"68,50697931","1,15353395","20,02441978","2,81288004"
01/01/2008 23.00,"52,73942157","1,2240117",,"3,43926406"
02/01/2008 0.00,"57,87481491","1,37690995","16,11721039","2,83562207"
02/01/2008 1.00,"54,45803484","1,3568712",,"4,4635272"
02/01/2008 2.00,,"1,0533287","15,14041042","3,34028101"
02/01/2008 3.00,"25,23651174",,,"1,58870196"
02/01/2008 4.00,"17,08907686","0,6378521","11,23320961","0,85055703"
02/01/2008 5.00,"8,39770569","0,58347435",,"0,72601599"
02/01/2008 6.00,"24,76026135","0,57171675","11,23320961","0,56660497"
02/01/2008 7.00,"30,94267572","0,8974692",,"0,73489702"
02/01/2008 8.00,"63,98317431","1,1586595","16,60560989","2,74508691"
02/01/2008 9.00,"71,4717927","1,64893555",,"4,18628979"
02/01/2008 10.00,"87,64282494","1,67612845","24,42000961","6,88199377"
02/01/2008 11.00,"101,4376275","1,47696685",,"8,06523514"
02/01/2008 12.00,"103,35415959","1,52806365","38,0952301","7,45119715"
02/01/2008 13.00,"95,89114161","1,328296",,"7,74706221"
02/01/2008 14.00,"82,15372836","1,4610497","36,63003159","6,83737612"
02/01/2008 15.00,"57,71523087","1,12125",,"7,12609196"
02/01/2008 16.00,"72,205947","1,2678014","46,88644028","4,3745079"
02/01/2008 17.00,"95,29612488","1,43272405",,"6,03468609"
02/01/2008 18.00,"115,70239791","1,78980595","51,28205109","6,65825415"
02/01/2008 19.00,"109,15608528","1,8229271",,"8,79688358"
02/01/2008 20.00,"92,94933285","1,71622895","52,7472496","7,46765804"
02/01/2008 21.00,"107,88560145","1,50660235",,"7,95628977"
02/01/2008 22.00,"87,24061071","1,44875505","51,28205109","7,16746187"
02/01/2008 23.00,"58,15446318","1,18899075",,"6,11915588"
03/01/2008 0.00,"53,88600393","1,251315","58,11965179","4,54193401"
03/01/2008 1.00,"53,15694714","1,3202253",,"5,12370014"
03/01/2008 2.00,"45,2980539","0,91887875","57,14284134","5,59305477"
03/01/2008 3.00,"34,22539692","1,0232447",,"3,03943491"
03/01/2008 4.00,"31,43041902","0,90470385","46,39804077","2,33681107"
03/01/2008 5.00,"21,08681883","0,880302",,"2,49578905"
03/01/2008 6.00,"26,15583168","0,96558945","37,6068306","2,05892301"
03/01/2008 7.00,"35,92358253","0,90540995",,"2,5661819"
03/01/2008 8.00,"74,76089049","1,5759692","45,42124176","3,83779311"
03/01/2008 9.00,"89,29885734","3,09207285",,"9,1980114"
03/01/2008 10.00,"113,06958102","2,6886885","69,35285187",
03/01/2008 11.00,"113,00703777","2,70617885",,
03/01/2008 12.00,"58,5923976","1,06560035","68,37606049",
03/01/2008 13.00,"66,11803407","1,15077855",,"4,81332302"
03/01/2008 14.00,"51,84308745","1,14495955","40,04883957","5,83347178"
03/01/2008 15.00,"16,256582","0,68639015",,"5,24953985"
03/01/2008 16.00,"14,28515857","0,86452055","42,97924042","2,95149899"
03/01/2008 17.00,"30,42171396","0,90399775",,"1,83301795"
03/01/2008 18.00,"48,24497898","0,98522225","41,5140419","2,97380805"
03/01/2008 19.00,"83,03729049","1,36081225",,"5,12261677"
03/01/2008 20.00,"90,59484753","1,3248575","63,49206161","6,94350576"
03/01/2008 21.00,"73,27467477","0,9608917",,"7,19107008"
03/01/2008 22.00,"73,27721412","0,92058995","45,90964127","3,649575"
03/01/2008 23.00,"40,17287439","0,76567115",,"2,99373388"
04/01/2008 0.00,"19,73720133","0,73132295","40,53723145","1,88521695"
04/01/2008 1.00,"14,32218417","0,68101275",,"1,61685896"
04/01/2008 2.00,,"0,75498765","35,16482162","1,52437401"
04/01/2008 3.00,"15,12914258",,,"1,23370802"
04/01/2008 4.00,"9,89670281","0,61063965","25,39682007","0,94758999"
04/01/2008 5.00,"7,21536176","0,67440255",,"0,81633502"
04/01/2008 6.00,"7,13875239","0,6821018","24,42000961","0,70977199"
04/01/2008 7.00,"17,76579483","0,67365275",,"0,78384602"
04/01/2008 8.00,"19,30948074","0,82464085","23,93161964","1,02902901"
04/01/2008 9.00,"21,72269088","0,8688319",,"1,010185"
04/01/2008 10.00,"18,28419467","0,8155662","14,65200996","1,83475101"
04/01/2008 11.00,"18,22928639","0,7778232",,"1,92528605"
04/01/2008 12.00,"22,53091896","0,8497695","21,97801971","1,58307099"
04/01/2008 13.00,"18,07478858","0,8400129",,"1,88456702"
04/01/2008 14.00,"29,98503981","0,95056355","30,28083038","2,07365203"
04/01/2008 15.00,"15,29895926","0,84239455",,"2,57051396"
04/01/2008 16.00,"15,39472661","0,8210632","24,90842056","0,99264097"
04/01/2008 17.00,"18,51019117","0,89562575",,"1,071697"
04/01/2008 18.00,"25,76512917","0,9511236","32,23442078","2,21270394"
04/01/2008 19.00,,,,
04/01/2008 20.00,"19,36438713","0,84877935","55,67765045",
04/01/2008 21.00,"18,99920979","0,82158415",,
04/01/2008 22.00,"16,52983111","0,82599555","37,6068306",
04/01/2008 23.00,"11,28333274","0,79544005",,
05/01/2008 0.00,"7,71077201","0,70322385","31,25761986",
05/01/2008 1.00,"6,447989","0,64121585",,
05/01/2008 2.00,"6,73655133","0,7274394","21,97801971",
05/01/2008 3.00,"4,4829478","0,69478055",,
05/01/2008 4.00,"2,87286635","0,75246455","21,0012207",
05/01/2008 5.00,"2,64303636","0,8240854",,
05/01/2008 6.00,"2,99544171","0,80654215","15,62880993",
05/01/2008 7.00,"6,2590181","0,8374921",,
05/01/2008 8.00,"10,12908343","0,76245805","25,88521957",
05/01/2008 9.00,"14,8520694","0,84606535",,
05/01/2008 10.00,"15,85693722","0,83376725","65,44566345",
05/01/2008 11.00,"19,19838888","0,79426705",,
05/01/2008 12.00,"18,80641481","0,7734394","50,30524063",
05/01/2008 13.00,"19,65804885","0,79103095",,
05/01/2008 14.00,"20,55054573","0,91645455","41,02563095",
05/01/2008 15.00,"15,4662253","0,9540584",,
05/01/2008 16.00,"13,66334888","0,85880735","36,63003159",
05/01/2008 17.00,"13,26880536","0,9371028",,
05/01/2008 18.00,"14,66821293","0,9457991","36,14162064",
05/01/2008 19.00,"18,78471184","0,9980942",,
05/01/2008 20.00,"28,98912555","1,65273975","31,74603081",
05/01/2008 21.00,"21,38431779",,,
05/01/2008 22.00,"26,47247922",,"36,63003159",
05/01/2008 23.00,"9,67964293",,,
06/01/2008 0.00,"8,35556941",,"33,69963074",
06/01/2008 1.00,"9,06038011",,,
06/01/2008 2.00,,,"31,25761986",
06/01/2008 3.00,"7,14896622",,,
06/01/2008 4.00,"4,80087818",,"29,7924099",
06/01/2008 5.00,"4,4803934",,,
06/01/2008 6.00,"3,13206251",,"30,28083038",
06/01/2008 7.00,"3,11546268",,,
06/01/2008 8.00,"3,68620511",,"25,39682007",
06/01/2008 9.00,"4,2045993",,,
06/01/2008 10.00,"7,28814141",,"25,39682007",
06/01/2008 11.00,"9,21998296",,,
06/01/2008 12.00,"12,59080644",,"22,46640968",
06/01/2008 13.00,"14,43965639",,,
06/01/2008 14.00,"17,37253228",,"21,97801971",
06/01/2008 15.00,"9,72177733",,,
06/01/2008 16.00,"13,32626615",,"20,51280975",
06/01/2008 17.00,"32,41741734",,,
06/01/2008 18.00,"37,4672628",,"33,69963074",
06/01/2008 19.00,"47,8887552",,,
06/01/2008 20.00,"43,96760379",,"36,63003159",
06/01/2008 21.00,"30,92862465",,,
06/01/2008 22.00,"48,89872053",,"33,69963074",
06/01/2008 23.00,"39,7923669",,,
07/01/2008 0.00,"25,76257101",,"36,63003159",
07/01/2008 1.00,"25,06541598",,,
07/01/2008 2.00,"36,51092478",,"36,14162064",
07/01/2008 3.00,"23,00716935",,,
07/01/2008 4.00,"8,43984197",,"20,02441978",
07/01/2008 5.00,"6,8552951",,,
07/01/2008 6.00,"17,8168715",,"22,46640968",
07/01/2008 7.00,"65,36599146",,,
07/01/2008 8.00,"120,23252307",,"29,30401993",
07/01/2008 9.00,"110,55805101",,,
07/01/2008 10.00,"124,80621219",,"44,4444313",
07/01/2008 11.00,"123,63788547",,,
07/01/2008 12.00,"93,35024919",,"37,6068306",
07/01/2008 13.00,"76,85105769",,,
07/01/2008 14.00,"77,56480314",,"28,32722092",
07/01/2008 15.00,"79,53240438",,,
07/01/2008 16.00,"105,12508347",,"26,86202049",
07/01/2008 17.00,"51,67964736",,,
07/01/2008 18.00,"42,92697816",,"35,16482162",
07/01/2008 19.00,"61,69764645",,,
07/01/2008 20.00,"84,38307075",,"44,4444313",
07/01/2008 21.00,"86,74139331",,,
07/01/2008 22.00,"79,56560403",,"68,86447144",
07/01/2008 23.00,"61,67721879",,,
08/01/2008 0.00,"68,51081655",,"82,53968048",
08/01/2008 1.00,"55,863819",,,
08/01/2008 2.00,,,"74,72527313",
08/01/2008 3.00,"39,83068287",,,
08/01/2008 4.00,"17,72493763",,"68,86447144",
08/01/2008 5.00,"12,20903303",,,
08/01/2008 6.00,"7,1949341",,"45,42124176",
08/01/2008 7.00,"23,77454211",,,
08/01/2008 8.00,"47,12775903",,"30,76922989",
08/01/2008 9.00,"76,78849563",,,
08/01/2008 10.00,"82,64402982",,"41,5140419",
08/01/2008 11.00,"112,32647316",,,
08/01/2008 12.00,"93,21235308",,"38,0952301",
08/01/2008 13.00,"69,43139676",,,
08/01/2008 14.00,"78,66287451",,"47,86323166",
08/01/2008 15.00,"48,31393644",,,
08/01/2008 16.00,"51,04635228",,"43,9560318",
08/01/2008 17.00,"48,95488719",,,
08/01/2008 18.00,"33,56909721",,"38,0952301",
08/01/2008 19.00,"53,46721809",,,
08/01/2008 20.00,"36,70882479",,"30,76922989",
08/01/2008 21.00,"44,71071165",,,
08/01/2008 22.00,"57,71267271",,"22,46640968",
08/01/2008 23.00,"41,0934546",,,
09/01/2008 0.00,"57,59010675",,"25,39682007",
09/01/2008 1.00,"50,27514228",,,
09/01/2008 2.00,"43,30236933",,"17,58241081",
09/01/2008 3.00,"29,74244724",,,
09/01/2008 4.00,"21,67671924",,"21,97801971",
09/01/2008 5.00,"13,54971014",,,
09/01/2008 6.00,"13,14495092",,"17,09399986",
09/01/2008 7.00,"21,94485579",,,
09/01/2008 8.00,"108,87007923",,"26,37360954",
09/01/2008 9.00,"137,09059056",,,
09/01/2008 10.00,"137,08289727",,"50,30524063",
09/01/2008 11.00,"67,29016041",,,
09/01/2008 12.00,"50,51389761",,"38,0952301",
09/01/2008 13.00,"40,57506981",,,
09/01/2008 14.00,"31,9858407",,"21,97801971",
09/01/2008 15.00,"22,1848902",,,
09/01/2008 16.00,"12,89469704",,"17,58241081",
09/01/2008 17.00,"39,74257683",,,
09/01/2008 18.00,"146,93360022",,"36,14162064",
09/01/2008 19.00,"150,26101398",,,
09/01/2008 20.00,"176,95447308",,"59,09645081",
09/01/2008 21.00,"176,66205282",,,
09/01/2008 22.00,"149,14894797",,"83,51647186",
09/01/2008 23.00,"115,53769755",,,
10/01/2008 0.00,"100,22590611",,"103,05239868",
10/01/2008 1.00,"80,35468353",,,
10/01/2008 2.00,,,"106,95970154",
10/01/2008 3.00,"61,79340816",,,
10/01/2008 4.00,"51,93757008",,"114,77410126",
10/01/2008 5.00,"52,79432796",,,
10/01/2008 6.00,"47,68318071",,"105,98290253",
10/01/2008 7.00,"57,19554819",,,
10/01/2008 8.00,"70,38521424",,"99,63368988",
10/01/2008 9.00,"127,00741482",,,
10/01/2008 10.00,"110,78279289",,"106,95970154",
10/01/2008 11.00,"106,77603717",,,
10/01/2008 12.00,"98,97468372",,"103,54090118",
10/01/2008 13.00,"75,69552177",,,
10/01/2008 14.00,"59,44022073",,"62,02685165",
10/01/2008 15.00,"57,36026736",,,
10/01/2008 16.00,"93,62092509",,"53,72404099",
10/01/2008 17.00,"52,23378996",,,
10/01/2008 18.00,"48,0151584",,"47,37483978",
10/01/2008 19.00,"86,88054969",,,
10/01/2008 20.00,"130,04633961",,"63,49206161",
10/01/2008 21.00,"134,76287187",,,
10/01/2008 22.00,"139,30072794",,"98,65689087",
10/01/2008 23.00,"112,72864977",,,
11/01/2008 0.00,"74,08162377",,"132,84480286",
11/01/2008 1.00,"68,97047652",,,
11/01/2008 2.00,"63,09449586",,"121,61170197",
11/01/2008 3.00,"55,54589238",,,
11/01/2008 4.00,"43,40580552",,"110,8667984",
11/01/2008 5.00,"38,63938914",,,
11/01/2008 6.00,"38,89221435",,"101,58730316",
11/01/2008 7.00,"42,79547745",,,
11/01/2008 8.00,"68,08691439",,"101,09889984",
11/01/2008 9.00,"108,61599375",,,
11/01/2008 10.00,"147,75335883",,"118,68119812",
11/01/2008 11.00,"97,30969776",,,
11/01/2008 12.00,"64,21685094",,"84,00488281",
11/01/2008 13.00,"54,7312689",,,"4,31841087"
11/01/2008 14.00,"65,76053121",,"46,39804077","3,42388606"
11/01/2008 15.00,"46,48295223",,,"2,53629208"
11/01/2008 16.00,"73,9347741",,"47,37483978","2,8299911"
11/01/2008 17.00,"118,14878889",,,"4,23263979"
11/01/2008 18.00,"148,78117485",,"54,70085144","8,51054859"
11/01/2008 19.00,"93,85969923",,,
11/01/2008 20.00,"89,76874995",,"58,11965179","6,94133902"
11/01/2008 21.00,"69,72251913",,,"5,09727621"
11/01/2008 22.00,"75,77980938",,"58,11965179","3,28678298"
11/01/2008 23.00,"46,2378015",,,"2,3621521"
12/01/2008 0.00,"33,59592027",,"54,70085144","1,67339003"
12/01/2008 1.00,"27,95361624",,,"1,973153"
12/01/2008 2.00,,,"46,88644028","1,653247"
12/01/2008 3.00,"19,30692258",,,"1,06996405"
12/01/2008 4.00,"13,03131218",,"31,74603081","0,66212201"
12/01/2008 5.00,"12,58058885",,,"0,41910499"
12/01/2008 6.00,"9,87627515",,"20,02441978","0,319473"
12/01/2008 7.00,"15,18021737",,,"0,171974"
12/01/2008 8.00,"30,71155725",,"22,46640968","0,186919"
12/01/2008 9.00,"38,3470065",,,"0,39354801"
12/01/2008 10.00,"25,34504544",,"17,09399986","1,18172598"
12/01/2008 11.00,"24,00693966",,,"1,56617701"
12/01/2008 12.00,"21,29495148",,"28,32722092","2,71822906"
12/01/2008 13.00,"20,41264962",,,"1,30236804"
12/01/2008 14.00,"27,51948144",,"24,90842056","1,06953096"
12/01/2008 15.00,"20,72675781",,,"1,29002202"
12/01/2008 16.00,"14,33113021",,"15,62880993","0,39831299"
12/01/2008 17.00,"12,58315077",,,"0,30344501"
12/01/2008 18.00,"21,13916706",,"21,0012207","0,48473299"
12/01/2008 19.00,"23,42213676",,,"0,52415299"
12/01/2008 20.00,"19,42311195",,"33,69963074","0,60125899"
12/01/2008 21.00,"20,17261521",,,"0,63786298"
12/01/2008 22.00,"18,24077554",,"28,32722092","0,604725"
12/01/2008 23.00,"14,94783675",,,"0,607324"
13/01/2008 0.00,"9,0093072",,"21,48962021","0,30907699"
13/01/2008 1.00,"6,96127252",,,"0,180638"
13/01/2008 2.00,"9,32851478",,"23,93161964","0,12649"
13/01/2008 3.00,"7,74269258",,,"0,069526"
13/01/2008 4.00,"5,62953956",,"17,58241081","0,035738"
13/01/2008 5.00,"4,58509362",,,"0,0013"
13/01/2008 6.00,"3,28272872",,"8,30280876","0,001949"
13/01/2008 7.00,"3,6900367",,,"0,001516"
13/01/2008 8.00,"5,83511029",,"10,7448101","0,001083"
13/01/2008 9.00,"26,68189095",,,"0,040286"
13/01/2008 10.00,"15,43303318",,"6,34920597","0,26229301"
13/01/2008 11.00,"20,62204254",,,"0,188868"
13/01/2008 12.00,"23,50512648",,"6,34920597","0,71951902"
13/01/2008 13.00,"30,10122918",,,"1,03639305"
13/01/2008 14.00,"36,31556412",,"12,21000957","1,29803598"
13/01/2008 15.00,"13,36839491",,,"1,14295602"
13/01/2008 16.00,"26,89000479",,"15,14041042","0,55534202"
13/01/2008 17.00,"35,49072681",,,"0,93026298"
13/01/2008 18.00,"45,49851207",,"36,14162064","1,42430902"
13/01/2008 19.00,"41,91701283",,,"1,92442"
13/01/2008 20.00,"56,42051976",,"36,63003159","1,98939705"
13/01/2008 21.00,"50,98760865",,,"2,34352493"
