,ARPA Puglia,,,,
,Zona 167,,,,
Parm,SO2,NO2,CO,,PM10



01/01/2008 1.00,"25,72182083","5,42397072","0,37423875",,"26,35367966"
01/01/2008 2.00,"21,08498955","6,11601319","0,3688924",,"26,35367966"
01/01/2008 3.00,"16,53874969","7,67246733","0,35259345",,"26,35367966"
01/01/2008 4.00,"13,58014011","3,05800565","0,31122105",,"26,35367966"
01/01/2008 5.00,"11,28748035","2,25998764","0,3042877",,"26,35367966"
01/01/2008 6.00,"9,69807243","2,74518219","0,3402413",,"26,35367966"
01/01/2008 7.00,"8,10688496","2,46555649","0,2847078",,"26,35367966"
01/01/2008 8.00,"7,33260298","2,30467644","0,28326915",,"26,35367966"
01/01/2008 9.00,"6,57607794","2,45023574","0,2882475",,"26,35367966"
01/01/2008 10.00,"5,85152006","3,12057148","0,30804935",,"26,35367966"
01/01/2008 11.00,"5,49279213","2,90734132","0,41963155",,"26,35367966"
01/01/2008 12.00,"5,41820478","3,09886474","0,34473895",,"26,35367966"
01/01/2008 13.00,"5,21042824","3,65556173","0,36612665",,"26,35367966"
01/01/2008 14.00,"5,00797701","5,2298929","0,4261946",,"26,35367966"
01/01/2008 15.00,"5,22996187","3,44105438","0,2645",,"26,35367966"
01/01/2008 16.00,"5,38624001","2,24721941","0,2462472",,"26,35367966"
01/01/2008 17.00,"5,44484282","3,30060387","0,2442186",,"26,35367966"
01/01/2008 18.00,"5,4714818","6,09558365","0,34138325",,"26,35367966"
01/01/2008 19.00,"5,44839478","6,36371644","0,32482785",,"26,35367966"
01/01/2008 20.00,"5,70767403","6,05089485","0,3144652",,"26,35367966"
01/01/2008 21.00,"5,73963881","8,84076584","0,3374376",,"26,35367966"
01/01/2008 22.00,"5,7307601","7,36092106","0,33201765",,"26,35367966"
01/01/2008 23.00,"6,01490116","8,24448695","0,3324604",,"26,35367966"
02/01/2008 0.00,"5,99714184","5,83255589","0,3087129",,"26,35367966"
02/01/2008 1.00,,"3,44488597","0,2870676",,"36,47388077"
02/01/2008 2.00,,,"0,2758574",,"36,47388077"
02/01/2008 3.00,,,,,"36,47388077"
02/01/2008 4.00,,,"0,28994835",,"36,47388077"
02/01/2008 5.00,,,"0,3034689",,"36,47388077"
02/01/2008 6.00,,,"0,2843697",,"36,47388077"
02/01/2008 7.00,,,"0,29164805",,"36,47388077"
02/01/2008 8.00,,"14,52520427","0,3021395",,"36,47388077"
02/01/2008 9.00,,"11,05095212","0,3769079",,"36,47388077"
02/01/2008 10.00,,"12,19499325","0,31170635",,"36,47388077"
02/01/2008 11.00,,"11,08159361","0,4637191",,"36,47388077"
02/01/2008 12.00,,"8,62498316","0,30479945",,"36,47388077"
02/01/2008 13.00,,"11,74299083","0,2822652",,"36,47388077"
02/01/2008 14.00,,"12,10177841","0,25419025",,"36,47388077"
02/01/2008 15.00,,"13,36200891","0,2622805",,"36,47388077"
02/01/2008 16.00,,"8,9186524","0,3504947",,"36,47388077"
02/01/2008 17.00,,"11,34845861","0,3914255",,"36,47388077"
02/01/2008 18.00,,"19,37969847","0,43508985",,"36,47388077"
02/01/2008 19.00,,"21,71375613","0,46478975",,"36,47388077"
02/01/2008 20.00,,"21,29749083","0,44901635",,"36,47388077"
02/01/2008 21.00,,"8,50113059","0,35374575",,"36,47388077"
02/01/2008 22.00,,"13,33008834","0,3468745",,"36,47388077"
02/01/2008 23.00,,"8,69903813","0,34997835",,"36,47388077"
03/01/2008 0.00,,"5,73423979","0,3367522",,"36,47388077"
03/01/2008 1.00,,"4,9987876","0,3426632",,"37,91276169"
03/01/2008 2.00,,"4,73320544","0,39726175",,"37,91276169"
03/01/2008 3.00,,"6,2539093","0,3523048",,"37,91276169"
03/01/2008 4.00,,"3,65173202","0,3642372",,"37,91276169"
03/01/2008 5.00,,"4,95537412","0,33025125",,"37,91276169"
03/01/2008 6.00,,"7,17067296","0,3377872",,"37,91276169"
03/01/2008 7.00,,"12,35459422","0,39168425",,"37,91276169"
03/01/2008 8.00,,"37,74305502","1,32418245",,"37,91276169"
03/01/2008 9.00,,"29,39769756","0,6007324",,"37,91276169"
03/01/2008 10.00,,"19,28393676","0,5832225",,"37,91276169"
03/01/2008 11.00,,"30,79326789","0,4680776",,"37,91276169"
03/01/2008 12.00,,"33,7746717","0,4576609",,"37,91276169"
03/01/2008 13.00,,"22,28830758","0,36301705",,"37,91276169"
03/01/2008 14.00,,"14,38475752","0,35079025",,"37,91276169"
03/01/2008 15.00,,"12,13114835","0,31026655",,"37,91276169"
03/01/2008 16.00,,"14,75503425","0,33638305",,"37,91276169"
03/01/2008 17.00,,"21,95506962","0,53361035",,"37,91276169"
03/01/2008 18.00,,"28,68778935","0,7080826",,"37,91276169"
03/01/2008 19.00,,"19,59802614","0,5253729",,"37,91276169"
03/01/2008 20.00,,"25,74342243","0,64912555",,"37,91276169"
03/01/2008 21.00,,"18,23567239","0,56238795",,"37,91276169"
03/01/2008 22.00,,"12,42227072","0,4753916",,"37,91276169"
03/01/2008 23.00,,"10,69471517","0,4411101",,"37,91276169"
04/01/2008 0.00,,"8,85480938","0,3647547",,"37,91276169"
04/01/2008 1.00,,"8,43345786","0,4217165",,"47,13702011"
04/01/2008 2.00,,,"0,44022345",,"47,13702011"
04/01/2008 3.00,,"11,20161646",,,"47,13702011"
04/01/2008 4.00,,"9,46896529","0,3603111",,"47,13702011"
