,Foggia,,,,,
,Manfredonia Liceo Scientifico Via dei mandorli,,,,,
Parm,SO2,NO2,CO,O3,BENZENE,PM10



04/01/2010 5.00,,"7,49910491","0,22757926",,,"18,39999962"
04/01/2010 6.00,,"7,81578756","0,24274639","34,7122419",,"18,39999962"
04/01/2010 7.00,,"22,13260456","0,33410103","18,98531177",,"18,39999962"
04/01/2010 8.00,,"36,9984428","0,42391671","9,51428069",,"18,39999962"
04/01/2010 9.00,,"46,30288488","0,71982438","8,24931303",,"18,39999962"
04/01/2010 10.00,,"50,54043136","0,73668892","13,62406448",,"18,39999962"
04/01/2010 11.00,,"42,11853024","0,70220958","38,7004065",,"18,39999962"
04/01/2010 12.00,,"38,14185704","0,53004471","32,03094195",,"18,39999962"
04/01/2010 13.00,,"32,29754224","0,46791643","34,60413285",,"18,39999962"
04/01/2010 14.00,,"34,15868304","0,49899979","36,7705233",,"18,39999962"
04/01/2010 15.00,,"34,68431096","0,50516148","35,87450895",,"18,39999962"
04/01/2010 16.00,,"36,18465736","0,56203678","36,2975088",,"18,39999962"
04/01/2010 17.00,,"33,15543752","0,59616079","37,6395054",,"18,39999962"
04/01/2010 18.00,,"54,601462","0,98848037","23,3910558",,"18,39999962"
04/01/2010 19.00,,"47,560522","0,72365606","28,37929395",,"18,39999962"
04/01/2010 20.00,,"47,89277024","0,71749438","27,39679635",,"18,39999962"
04/01/2010 21.00,,"46,26783792","0,69296647","28,46715375",,"18,39999962"
04/01/2010 22.00,,"37,1048456","0,54947575","29,83077615",,"18,39999962"
04/01/2010 23.00,,"23,33054904","0,40748671","36,2150754",,"18,39999962"
05/01/2010 0.00,,"16,73215674","0,35001843","43,1804982",,"18,39999962"
05/01/2010 1.00,,"15,11501773","0,3660931","43,1791416",,"36,5"
05/01/2010 2.00,,"9,88199801","0,28228183","46,67807235",,"36,5"
05/01/2010 3.00,,"7,33816996","0,26383639","47,8146438",,"36,5"
05/01/2010 4.00,,"6,18825492","0,26648327","45,72123045",,"36,5"
05/01/2010 5.00,,"7,69119017","0,29397261","42,97507305",,"36,5"
05/01/2010 6.00,,"7,94427587","0,29417066","42,28177065",,"36,5"
05/01/2010 7.00,,"20,09364776","0,44725865","27,16162575",,"36,5"
05/01/2010 8.00,,"51,15561736","0,93338286","9,71835123",,"36,5"
05/01/2010 9.00,,"59,63721112","1,38024657","8,70610619",,"36,5"
05/01/2010 10.00,,"58,48729608","1,60640452","12,23882226",,"36,5"
05/01/2010 11.00,,,,,,"36,5"
05/01/2010 12.00,,,,,"2,618775","36,5"
05/01/2010 13.00,"3,82705948","46,92327152","0,71216217","24,333015","1,926198","36,5"
05/01/2010 14.00,"4,82942688","80,0241788","1,66063294","16,03102001","1,842804","36,5"
05/01/2010 15.00,"3,57782126","41,01534448","0,52723939","25,38040995","3,689676","36,5"
05/01/2010 16.00,"3,53808808","35,63176432","0,6294961","24,0546327","1,5280425","36,5"
05/01/2010 17.00,"3,67173714","50,86749808","0,88255158","15,28366508","1,8351765","36,5"
05/01/2010 18.00,"3,62116681","54,66117376","1,00159361","8,84125148","1,9368765","36,5"
05/01/2010 19.00,"3,87040504","59,06615408","0,93942571","8,2141751","3,2416875","36,5"
05/01/2010 20.00,"3,85595652","56,23807664","1,02987282","7,8263072","2,2033305","36,5"
05/01/2010 21.00,"3,97154467","54,26271296","0,97047063","7,82225136","2,530296","36,5"
05/01/2010 22.00,"3,76023444","53,56316952","0,92891858","8,12497865","2,2012965","36,5"
05/01/2010 23.00,"4,32734009","60,7183324","1,10633876","8,23850213","2,7097965","36,5"
06/01/2010 0.00,"3,22744442","30,85818864","0,47719798","15,64990917","2,076714","36,5"
06/01/2010 1.00,"2,84455815","16,03391154","0,26735236","30,22538715","1,157346","18,2999897"
06/01/2010 2.00,"2,97098244",,"0,26367911","30,17674905","0,95053905","18,2999897"
06/01/2010 3.00,"2,40207061","24,69848944",,"40,9938186","0,70920495","18,2999897"
06/01/2010 4.00,"2,73799994","12,41803657","0,16766331","40,7951565","0,54292545","18,2999897"
06/01/2010 5.00,"3,04864361","11,05916096","0,16947954",,"0,4663962","18,2999897"
06/01/2010 6.00,"3,32316649","24,66734296","0,21715251","38,2476612","0,5158224","18,2999897"
06/01/2010 7.00,"3,34122638","10,92548157","0,14278007","54,10569675","0,6273873","18,2999897"
06/01/2010 8.00,"3,18771124","22,0547288","0,26573301","39,6639915","0,51617835","18,2999897"
06/01/2010 9.00,"3,18048647","14,5738051","0,28623235","75,8817801","0,5758254","18,2999897"
06/01/2010 10.00,"3,52002718","33,3241524","0,67539128","60,75487215","0,59550435","18,2999897"
06/01/2010 11.00,"3,4441722","45,98490016","0,88642054","31,15789005","1,25091","18,2999897"
06/01/2010 12.00,"3,22563822","39,35924656","0,86055172","29,1388104","1,5056685","18,2999897"
06/01/2010 13.00,"3,56156654","56,43925728","1,01190153","23,82758175","1,553976","18,2999897"
06/01/2010 14.00,"3,42430612","53,74486688","0,72744697","27,84682845","2,241468","18,2999897"
06/01/2010 15.00,"3,39360289","9,08510509","0,20064213","56,8491609","1,2059586","18,2999897"
06/01/2010 16.00,"2,74883608","8,1584237","0,22299731","51,9812013","0,5209074","18,2999897"
06/01/2010 17.00,"3,15339563","10,24410022","0,24167925","48,50525295","0,54577305","18,2999897"
06/01/2010 18.00,"2,96014631","20,4323968","0,3096139","37,85574345","0,68906835","18,2999897"
06/01/2010 19.00,"2,88790371","38,31837288","0,59635884","22,7126361","0,71968005","18,2999897"
06/01/2010 20.00,"3,32677786","24,9385984","0,476605","19,13126198","1,5300765","18,2999897"
06/01/2010 21.00,"3,17868028","23,57193904","0,37106998","18,51500448","1,06240905","18,2999897"
06/01/2010 22.00,"3,70966412","47,75520184","0,90494521","8,79530264","1,28584395","18,2999897"
06/01/2010 23.00,"3,53989427","31,99384016","0,66283141","11,3414553","1,605843","18,2999897"
07/01/2010 0.00,"3,97696223","48,04850264","0,78108474","8,41959825","1,6938135","18,2999897"
07/01/2010 1.00,"3,14436569","39,43714144","0,66247609","9,48454721","1,9043325","27,2999897"
07/01/2010 2.00,"2,97278863","28,89062592","0,51171693","9,07370489","1,862127","27,2999897"
07/01/2010 3.00,"2,98001238","13,93784139","0,34918895","20,75300745","1,646523","27,2999897"
07/01/2010 4.00,"2,67478729","8,13895571","0,26328418","26,4331914","1,11071655","27,2999897"
07/01/2010 5.00,"3,29968701","6,01304115","0,23164744","30,90113355","0,7049844","27,2999897"
07/01/2010 6.00,"3,09740774","18,45314029","0,26604872","28,4712036","0,62275995","27,2999897"
07/01/2010 7.00,"3,18409886","31,76021288","0,37016128","21,59226405","0,68052555","27,2999897"
07/01/2010 8.00,"3,97876842","48,55986704","0,53371679","7,88577017","0,88636635","27,2999897"
07/01/2010 9.00,"3,64825868","47,66046224","0,59055248","19,35290648","0,8971974","27,2999897"
07/01/2010 10.00,"3,39902045","29,6291168","0,41479243","38,6274294","1,0235088","27,2999897"
07/01/2010 11.00,"3,34303257","25,621278","0,3547192","37,03675605","0,7755642","27,2999897"
07/01/2010 12.00,"3,19854738","20,41551384","0,31320792","43,8332622","1,0011348","27,2999897"
07/01/2010 13.00,"2,81204873","26,3221216","0,38607867","45,0684864","0,95043735","27,2999897"
07/01/2010 14.00,"4,21175193","72,94169104","1,69456007","27,8630478","1,511262","27,2999897"
07/01/2010 15.00,"2,691042","41,78238152","0,38090491","33,97299465","2,775393","27,2999897"
07/01/2010 16.00,"2,83733339","47,57478552","0,51503602","29,4658707","1,3266765","27,2999897"
07/01/2010 17.00,"2,71632666","62,194014","0,67941985","25,02498075","1,2076875","27,2999897"
07/01/2010 18.00,"2,80482396","63,14276752","0,72930398","13,60109604","1,6826265","27,2999897"
07/01/2010 19.00,"3,14436569","67,2336636","0,99942088","8,476358","1,9765395","27,2999897"
07/01/2010 20.00,"3,47487543","77,66335592","1,18462093","8,35472684","2,2877415","27,2999897"
07/01/2010 21.00,"3,18229267","84,54468216","1,03090035","8,71421586","2,861838","27,2999897"
07/01/2010 22.00,"3,26356622","73,0961424","0,84380484","10,58463609","2,134683","27,2999897"
07/01/2010 23.00,"2,86442423","55,07389808","0,64825726","23,56675545","2,1392595","27,2999897"
08/01/2010 0.00,"2,53391449","25,22283632","0,30388676","46,3996701","1,6968645","27,2999897"
08/01/2010 1.00,"2,12574255","19,7522984","0,29203754","46,10235525","0,9044181","30,70000076"
08/01/2010 2.00,"2,63685929",,"0,25171107","53,00290065","0,80459955","30,70000076"
08/01/2010 3.00,"2,88609752","19,63029368",,"59,334492","0,57821535","30,70000076"
08/01/2010 4.00,"3,04503123","8,08185001","0,17339045","62,7888345","0,4937535","30,70000076"
08/01/2010 5.00,"2,69826575","5,82225414","0,19396784",,"0,380358","30,70000076"
08/01/2010 6.00,"2,03363286","5,23561622","0,17386344","56,65590525","0,40390155","30,70000076"
08/01/2010 7.00,"2,03363286","9,91963764","0,19878628","72,76800405","0,56804535","30,70000076"
08/01/2010 8.00,"2,22146361","20,84640216","0,35906349","43,72646985","0,61828515","30,70000076"
08/01/2010 9.00,"2,1004579","44,75190872","0,87457249","33,39456435","0,8590599","30,70000076"
08/01/2010 10.00,"2,00292963","51,54887752","0,88768457","27,70087425","2,122479","30,70000076"
08/01/2010 11.00,"1,98848111","57,39837384","0,94463909","21,40441485","1,9856925","30,70000076"
08/01/2010 12.00,"2,25939161","53,98237552","0,87520392","24,55196625","1,9419615","30,70000076"
08/01/2010 13.00,,"50,27435744","0,71093776","30,2673021","2,2002795","30,70000076"
08/01/2010 14.00,,"47,24901896","0,91015858","33,58783995","2,3029965","30,70000076"
08/01/2010 15.00,,"26,601178","0,3750601","43,0237311","1,797039","30,70000076"
08/01/2010 16.00,"2,94931017","37,0075248","0,51124278","33,8851548","1,0010331","30,70000076"
08/01/2010 17.00,"2,68923581","20,72181624","0,29559196","43,6089045","1,157346","30,70000076"
08/01/2010 18.00,"2,82649725","22,14428688","0,31506377","45,97531365","0,62286165","30,70000076"
08/01/2010 19.00,"2,18173044","35,46044912","0,53687627","37,65708135","0,6865767","30,70000076"
08/01/2010 20.00,"2,6928482","53,99405784","0,77875357","23,91001515","1,0762911","30,70000076"
08/01/2010 21.00,"2,67478729","65,61131248","0,71725788","20,7367881","1,8443295","30,70000076"
08/01/2010 22.00,"2,61157464","50,00830264","0,48707252","27,4278585","1,3988835","30,70000076"
08/01/2010 23.00,"2,35511368","33,27354176","0,41818957","35,37176895","1,396341","30,70000076"
09/01/2010 0.00,"2,36414363","24,31042992","0,3284135","35,0393022","0,92663955","30,70000076"
09/01/2010 1.00,"2,01557196","27,15927168","0,2562534","30,798411","0,53651835","14,5"
09/01/2010 2.00,"1,93791181","17,16954777","0,2483547","38,3841591","0,5136867","14,5"
09/01/2010 3.00,"2,21062748","6,57891476","0,20190732","48,41200665","0,59814855","14,5"
09/01/2010 4.00,"1,8494145","4,36604244","0,16841357","48,77960535","0,7953957","14,5"
09/01/2010 5.00,"1,97583879","2,1726381","0,1681363","53,39212515","0,3898161","14,5"
09/01/2010 6.00,"2,53752585","5,18759442","0,1778524","49,75400325","0,5609772","14,5"
09/01/2010 7.00,"1,63629808","13,92746688","0,23137017","41,76957435","0,42332625","14,5"
09/01/2010 8.00,"1,57850401","23,009964","0,26158561","38,50715085","0,40064715","14,5"
09/01/2010 9.00,"1,82774121","35,33454392","0,56460327","34,32842385","0,72303615","14,5"
09/01/2010 10.00,"2,0805908","31,64600912","0,4250619","41,20331355","0,9821169","14,5"
09/01/2010 11.00,"1,71034687","21,29029208","0,29116845","49,34179635","0,7858359","14,5"
09/01/2010 12.00,"1,72840777","25,09044944","0,33820882","46,2212772","1,0143558","14,5"
09/01/2010 13.00,"2,25577922","33,66938312","0,42616865","43,9967724","0,69354315","14,5"
09/01/2010 14.00,"2,76870317","41,29568192","0,57025119","43,11292755","1,3266765","14,5"
09/01/2010 15.00,"2,23952451","17,8055","0,25435795","54,2259753","1,26591075","14,5"
09/01/2010 16.00,"2,99626709","15,22792515","0,25510821","54,970629","0,6896277","14,5"
09/01/2010 17.00,"2,32982801","22,05602896","0,34527921","44,22246675","0,53600985","14,5"
09/01/2010 18.00,"2,76147841","30,25208464","0,4194932","39,7477815","0,82697355","14,5"
09/01/2010 19.00,"2,91138217","36,68045808","0,49260045","41,05735935","1,22889195","14,5"
09/01/2010 20.00,"3,052256","29,49672992","0,3877388","37,93817685","1,5402465","14,5"
09/01/2010 21.00,"3,2111897","35,99777848","0,41980892","30,53082165","1,04751","14,5"
09/01/2010 22.00,"3,00891044","27,3422692","0,41388489","30,7875981","1,07563005","14,5"
09/01/2010 23.00,"3,40443903","18,19875442","0,33248168","35,287959","0,9467253","14,5"
10/01/2010 0.00,"3,13172234","19,80290904","0,37328231","29,122611","0,78964965","14,5"
10/01/2010 1.00,,"12,99688501","0,34231661","37,44624975","0,79687035","9,89999962"
10/01/2010 2.00,,,"0,30349182","36,7597104","0,7233921","9,89999962"
10/01/2010 3.00,,"29,6719456",,"27,34137525","0,75374955","9,89999962"
10/01/2010 4.00,,"17,11503665","0,32130467","34,81089465","0,7710894","9,89999962"
10/01/2010 5.00,,"7,81578756","0,26075613",,"0,6533208","9,89999962"
10/01/2010 6.00,,"10,19218368","0,23500497","37,6097799","0,5774526","9,89999962"
10/01/2010 7.00,,"7,88457367","0,23930964","42,80749305","0,6513885","9,89999962"
10/01/2010 8.00,,"7,1746366","0,23911276","40,37486985","0,5386032","9,89999962"
10/01/2010 9.00,,"9,88848734","0,32896688","29,7321234","0,483075","9,89999962"
10/01/2010 10.00,,"12,00790874","0,36214375","38,2463046","0,91301175","9,89999962"
10/01/2010 11.00,,"14,23505223","0,35069063","45,66987915","0,95114925","9,89999962"
10/01/2010 12.00,,"15,09424767","0,42478463","48,40119375","0,8642466","9,89999962"
10/01/2010 13.00,,"16,41808397","0,38923815","46,9456617","0,9271989","9,89999962"
10/01/2010 14.00,,"16,1130779","0,36174881","49,92022665","0,86083965","9,89999962"
10/01/2010 15.00,,"7,18631892","0,30124104","53,3664495","0,7240023","9,89999962"
10/01/2010 16.00,,"8,93844513","0,31719688","50,08106355","0,6449814","9,89999962"
10/01/2010 17.00,,"8,49587258","0,31901312","51,0595113","0,91657125","9,89999962"
10/01/2010 18.00,,"16,55176145","0,36885881","36,6745638","0,71337465","9,89999962"
10/01/2010 19.00,,"15,70164801","0,40243061","34,6081827","0,88555275","9,89999962"
10/01/2010 20.00,,"15,46284494","0,36889725","35,90694765","0,82717695","9,89999962"
10/01/2010 21.00,,"18,16371129","0,35827362","35,91369075","0,73879965","9,89999962"
10/01/2010 22.00,,"15,39145851","0,32055441","35,6663706","0,83643165","9,89999962"
10/01/2010 23.00,,"12,91382199","0,34816142","36,0677646","0,75832605","9,89999962"
11/01/2010 0.00,,"11,80414499","0,36538245","37,23677475","0,8645517","9,89999962"
11/01/2010 1.00,,"5,94295679","0,30202975","40,2518781",,"19,5"
11/01/2010 2.00,,"3,83002089","0,29440715","42,79396695",,"19,5"
11/01/2010 3.00,,"2,72553114","0,3068878","44,14003335",,"19,5"
11/01/2010 4.00,,"2,10774482","0,28350625","44,41302915",,"19,5"
11/01/2010 5.00,,"2,40106474","0,30594065","44,5130385",,"19,5"
11/01/2010 6.00,,"3,67816985","0,30641481","41,67225825",,"19,5"
11/01/2010 7.00,,"11,70680125","0,39417659","35,7812427",,"19,5"
11/01/2010 8.00,,"43,97448952","0,57388483","16,78783722","1,134972","19,5"
11/01/2010 9.00,,"44,83756632","0,66867622","21,77201355","1,429902","19,5"
11/01/2010 10.00,,"48,74676504","0,94815389","21,29764245","1,363797","19,5"
11/01/2010 11.00,,"34,32869808","0,56488054","30,6105618","2,3680845","19,5"
11/01/2010 12.00,,"26,01063768","0,47289214","32,95534515","1,483803","19,5"
11/01/2010 13.00,,"28,80366816","0,53782458","32,84857275","1,270233","19,5"
11/01/2010 14.00,,"37,2891624","0,5589938","27,9765633","1,209213","19,5"
11/01/2010 15.00,,"33,91727392","0,37055621","26,05344315","1,504143","19,5"
11/01/2010 16.00,,"53,36070784","0,50745187","18,37309415","1,04878125","19,5"
11/01/2010 17.00,,"45,65783344","0,54110289","15,80532366","1,679067","19,5"
11/01/2010 18.00,,"30,807578","0,46522994","29,8631949","1,485837","19,5"
11/01/2010 19.00,,"29,47984696","0,54473653","29,33477925","1,2737925","19,5"
11/01/2010 20.00,,"26,72448288","0,4354106","32,0768868","1,561095","19,5"
11/01/2010 21.00,,"30,73230256","0,50310642","26,64132975","1,1324295","19,5"
11/01/2010 22.00,,"30,6700096","0,51163888","24,12220335","1,2331125","19,5"
11/01/2010 23.00,,"19,90156824","0,37719205","34,14193125","1,0387638","19,5"
12/01/2010 0.00,,"10,57245945","0,38998841","38,9058117","0,8271261","19,5"
12/01/2010 1.00,,"10,30769525","0,35918115","37,473282","1,0160847","16,10000038"
12/01/2010 2.00,,,"0,37584881","33,74999355","0,85514445","16,10000038"
12/01/2010 3.00,,"21,5680292",,"38,02061025","0,7723098","16,10000038"
12/01/2010 4.00,,"8,26095661","0,28275599","47,6362509","0,85687335","16,10000038"
12/01/2010 5.00,,"5,45495703","0,25384418",,,"16,10000038"
12/01/2010 6.00,,"9,09938199","0,28326975","47,18216895",,"16,10000038"
12/01/2010 7.00,,"23,25007296","0,37892907","41,02220745",,"16,10000038"
12/01/2010 8.00,,"26,8944788","0,43197385","37,7962725",,"16,10000038"
12/01/2010 9.00,,"38,9049936","0,80055538","30,72002745",,"16,10000038"
12/01/2010 10.00,,"43,07636576","0,63360389","28,26577845",,"16,10000038"
12/01/2010 11.00,,"37,30472608","0,5411425","34,20138225",,"16,10000038"
12/01/2010 12.00,,"21,33182072","0,43252722","45,8753043",,"16,10000038"
12/01/2010 13.00,"5,15632526","25,22543664","0,49702512","48,1835991",,"16,10000038"
12/01/2010 14.00,"4,73189963","24,1884252","0,57499041","48,14846715",,"16,10000038"
12/01/2010 15.00,"4,84748779","12,14937762","0,36028674","54,300309",,"16,10000038"
12/01/2010 16.00,"4,05642959","18,89052176","0,43355359","54,2489577",,"16,10000038"
12/01/2010 17.00,"4,95765736","20,80617368","0,44413878","50,42703645",,"16,10000038"
12/01/2010 18.00,"4,49169237","22,60502152","0,44733787","48,19574865",,"16,10000038"
12/01/2010 19.00,"5,23940501","28,16771784","0,50903161","45,30092385",,"16,10000038"
12/01/2010 20.00,"5,35860554","35,68367512","0,55062094","43,66701885",,"16,10000038"
12/01/2010 21.00,"5,1129797","32,42862896","0,55129315","42,1601355",,"16,10000038"
12/01/2010 22.00,"5,78303117","19,40836784","0,39464958","36,6826635",,"16,10000038"
12/01/2010 23.00,"5,50489693","12,46475629","0,344607","29,70373455",,"16,10000038"
13/01/2010 0.00,"5,36221691","11,6535922","0,38414361","31,8241602",,"16,10000038"
13/01/2010 1.00,"5,1129797","7,67561502","0,3378535","36,21912525",,"27,89999962"
13/01/2010 2.00,"4,68132931","4,62561556","0,30562377","38,49362475",,"27,89999962"
13/01/2010 3.00,"4,5946382","4,40108558","0,32126506","42,40474245",,"27,89999962"
13/01/2010 4.00,"4,60005575","5,52244681","0,30949507","35,9812614",,"27,89999962"
13/01/2010 5.00,"4,95043361","4,60874407","0,30084494","35,17713675",,"27,89999962"
13/01/2010 6.00,"4,71745112","6,11816865","0,28579664","31,06464375",,"27,89999962"
13/01/2010 7.00,"4,86916006","21,60305704","0,34725388","19,75834833",,"27,89999962"
13/01/2010 8.00,"4,93959748","44,6364048","0,49244317","8,24120336",,"27,89999962"
13/01/2010 9.00,"7,03644299","51,94601904","0,98488634","8,10605807",,"27,89999962"
13/01/2010 10.00,"6,38264624","52,46516528","0,92279767","9,31426398",,"27,89999962"
13/01/2010 11.00,"5,58978185","49,91096272","0,71496633","20,85706665",,"27,89999962"
13/01/2010 12.00,"5,80289827","38,11071056","0,5134155","33,6094458",,"27,89999962"
13/01/2010 13.00,"7,0689514","65,338776","1,05574281","23,2045632",,"27,89999962"
13/01/2010 14.00,"6,50365195","68,0967404","1,30429556","26,5926717",,"27,89999962"
13/01/2010 15.00,"5,57713952","36,16779352","0,6059165","48,1619733",,"27,89999962"
13/01/2010 16.00,"5,42181718","29,24753896","0,53849562","49,72966425",,"27,89999962"
13/01/2010 17.00,"5,9040379","47,83955928","0,72784191","35,51636655",,"27,89999962"
13/01/2010 18.00,"6,30317887","65,58146616","0,99772231","23,52350385",,"27,89999962"
13/01/2010 19.00,"6,03046219","75,31161504","1,05266138","18,90151578",,"27,89999962"
13/01/2010 20.00,"6,63549583","66,01625496","0,78744331","19,40290716",,"27,89999962"
13/01/2010 21.00,"6,20384441","68,15385184","1,06277358","18,22443273",,"27,89999962"
13/01/2010 22.00,"5,89500694","58,00709728","0,74443151","21,72604875",,"27,89999962"
13/01/2010 23.00,"5,22314928","23,05019248","0,40183763","30,7997676",,"27,89999962"
14/01/2010 0.00,"5,66563683","16,8671382","0,35744297","35,1109227",,"27,89999962"
14/01/2010 1.00,"4,74092958","11,38493326","0,36024829","33,31213095",,
14/01/2010 2.00,"5,10214357",,"0,39729529","25,9196385",,
14/01/2010 3.00,"5,9943414","22,65045064",,"30,98492355",,
14/01/2010 4.00,"5,94015869","9,60555149","0,31557753","36,0758643",,
14/01/2010 5.00,"5,17438616","6,43095655","0,31237844",,,
