,,,Provincia di Lecce,,,
,,,Galatina,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,
23/03/2009 5.00,,"42,1","49,0","0,2",,"17,7"
23/03/2009 6.00,,"41,3","48,3","0,2",,"17,7"
23/03/2009 7.00,,"46,8","53,8","0,3",,"17,7"
23/03/2009 8.00,,"57,3","70,1","0,3",,"17,7"
23/03/2009 9.00,,"63,9","87,4","0,4",,"17,7"
23/03/2009 10.00,,"37,7","45,5","0,3",,"17,7"
23/03/2009 11.00,,"31,4","37,0","0,3",,"17,7"
23/03/2009 12.00,,"31,1","36,6","0,2",,"17,7"
23/03/2009 13.00,,"29,0","34,2","0,3",,"17,7"
23/03/2009 14.00,,"31,3","37,6","0,3",,"17,7"
23/03/2009 15.00,,"26,5","31,4","0,2",,"17,7"
23/03/2009 16.00,,"27,9","32,8","0,2",,"17,7"
23/03/2009 17.00,,"32,6","37,5","0,2",,"17,7"
23/03/2009 18.00,,"36,6","41,8","0,3",,"17,7"
23/03/2009 19.00,,"52,3","57,4","0,4",,"17,7"
23/03/2009 20.00,,"66,3","73,5","0,4",,"17,7"
23/03/2009 21.00,,"70,8","80,1","0,6",,"17,7"
23/03/2009 22.00,,"79,5","91,2","0,5",,"17,7"
23/03/2009 23.00,,"80,4","95,2","0,5",,"17,7"
24/03/2009 0.00,,"59,7","71,6","0,5",,"17,7"
24/03/2009 1.00,,"62,2","74,5","0,4",,
24/03/2009 2.00,,"55,5","66,5","0,3",,
24/03/2009 3.00,,"53,9","64,2","0,3",,
24/03/2009 4.00,,"37,9","44,2","0,2",,"18,0"
24/03/2009 5.00,,"46,9","53,2","0,2",,"18,0"
24/03/2009 6.00,,"50,9","58,1","0,2",,"18,0"
24/03/2009 7.00,,"48,2","54,5","0,2",,"18,0"
24/03/2009 8.00,,"50,1","56,9","0,2",,"18,0"
24/03/2009 9.00,,"48,4","55,5","0,2",,"18,0"
24/03/2009 10.00,,"47,0","52,9","0,2",,"18,0"
24/03/2009 11.00,,"42,3","47,8","0,2",,"18,0"
24/03/2009 12.00,,"38,1","42,6","0,2",,"18,0"
24/03/2009 13.00,,"35,6","40,1","0,2",,"18,0"
24/03/2009 14.00,,"36,4","40,5","0,2",,"18,0"
24/03/2009 15.00,,"35,7","39,7","0,2",,"18,0"
24/03/2009 16.00,,"33,1","36,8","0,2",,"18,0"
24/03/2009 17.00,,"20,1","23,0","0,2",,"18,0"
24/03/2009 18.00,,"24,9","27,0","0,2","5,7","18,0"
24/03/2009 19.00,,"32,4","35,3","0,2","5,6","18,0"
24/03/2009 20.00,,"33,8","36,9","0,2","5,7","18,0"
24/03/2009 21.00,,"38,8","42,6","0,2","5,6","18,0"
24/03/2009 22.00,,"36,5","40,2","0,2","5,7","18,0"
24/03/2009 23.00,,"36,1","40,4","0,2","5,6","18,0"
25/03/2009 0.00,,"41,1","46,7","0,2","5,8","18,0"
25/03/2009 1.00,,"35,4","39,8","0,2","5,7",
25/03/2009 2.00,,,,"0,2","5,6",
25/03/2009 3.00,,"34,2","38,0",,"5,8",
25/03/2009 4.00,,"29,9","33,0","0,2","5,7","8,1"
25/03/2009 5.00,,"25,6","28,6","0,2","5,7","8,1"
25/03/2009 6.00,,"25,3","28,4","0,2","5,6","8,1"
25/03/2009 7.00,,"28,7","32,6","0,2","5,6","8,1"
25/03/2009 8.00,,"41,9","48,8","0,2","5,6","8,1"
25/03/2009 9.00,,"31,6","38,3","0,2","5,8","8,1"
25/03/2009 10.00,,"22,3","27,2","0,2","5,7","8,1"
25/03/2009 11.00,,"21,1","26,2","0,2","5,7","8,1"
25/03/2009 12.00,,"26,6","32,0","0,2","5,6","8,1"
25/03/2009 13.00,,"20,0","24,9","0,2","5,7","8,1"
25/03/2009 14.00,,"21,4","26,8","0,3","5,6","8,1"
25/03/2009 15.00,,"13,9","18,2","0,2","5,7","8,1"
25/03/2009 16.00,,"17,7","22,2","0,2","8,7","8,1"
25/03/2009 17.00,,"14,0","18,7","0,2",,"8,1"
25/03/2009 18.00,,"18,2","21,8","0,2","89,7","8,1"
25/03/2009 19.00,,"36,5","40,6","0,3","76,7","8,1"
25/03/2009 20.00,,"34,4","38,6","0,3","80,3","8,1"
25/03/2009 21.00,,"33,0","36,8","0,3","80,7","8,1"
25/03/2009 22.00,,"38,5","43,0","0,3","75,2","8,1"
25/03/2009 23.00,,"35,8","40,3","0,3","77,9","8,1"
26/03/2009 0.00,,"35,8","40,7","0,3","77,3","8,1"
26/03/2009 1.00,,"39,3","45,0","0,2","76,2",
26/03/2009 2.00,,"54,4","63,4","0,3","55,6",
26/03/2009 3.00,,"55,3","66,9","0,3","43,7",
26/03/2009 4.00,,"50,1","61,6","0,3","51,1","13,7"
26/03/2009 5.00,,"49,6","60,7","0,2","50,3","13,7"
26/03/2009 6.00,,"48,5","59,1","0,2","59,9","13,7"
26/03/2009 7.00,,"49,0","58,2","0,2","63,4","13,7"
26/03/2009 8.00,,"65,9","81,2","0,3","41,6","13,7"
26/03/2009 9.00,,"74,7","99,0","0,4","55,1","13,7"
26/03/2009 10.00,,"73,6","94,8","0,4","45,0","13,7"
26/03/2009 11.00,,"57,8","73,2","0,3","74,8","13,7"
26/03/2009 12.00,,"42,6","49,8","0,3","97,7","13,7"
26/03/2009 13.00,,"59,3","67,3","0,3","80,6","13,7"
26/03/2009 14.00,,"59,6","69,7","0,3","78,6","13,7"
26/03/2009 15.00,,"47,5","54,7","0,3","87,5","13,7"
26/03/2009 16.00,,"46,8","53,0","0,3","83,2","13,7"
26/03/2009 17.00,,"49,3","55,8","0,3","86,1","13,7"
26/03/2009 18.00,,"58,2","66,1","0,3","74,1","13,7"
26/03/2009 19.00,,"76,6","87,9","0,5","51,2","13,7"
26/03/2009 20.00,,"81,0","93,6","0,5","53,1","13,7"
26/03/2009 21.00,,"78,4","90,0","0,5","54,5","13,7"
26/03/2009 22.00,,"84,3","100,4","0,6","26,8","13,7"
26/03/2009 23.00,,"79,4","100,0","0,7","28,1","13,7"
27/03/2009 0.00,,"64,5","79,1","0,6","41,4","13,7"
27/03/2009 1.00,,"52,4","63,6","0,5","52,4",
27/03/2009 2.00,,,,"0,4","57,2",
27/03/2009 3.00,,"50,9","61,5","0,4","43,7",
27/03/2009 4.00,,"51,8","64,3","0,4","33,4","18,8"
27/03/2009 5.00,,"47,9","62,9","0,4",,"18,8"
27/03/2009 6.00,,"47,2","64,0","0,3","26,4","18,8"
27/03/2009 7.00,,"48,2","67,7","0,3","25,9","18,8"
27/03/2009 8.00,,"61,8","82,1","0,4","37,4","18,8"
27/03/2009 9.00,,"63,6","77,8","0,3","74,8","18,8"
27/03/2009 10.00,,"57,8","66,2","0,2","86,4","18,8"
27/03/2009 11.00,,"54,4","61,1","0,2","97,4","18,8"
27/03/2009 12.00,,"49,7","54,7","0,2","104,2","18,8"
27/03/2009 13.00,,"42,7","47,3","0,2","108,1","18,8"
27/03/2009 14.00,,"45,9","50,9","0,2","105,9","18,8"
27/03/2009 15.00,,"38,7","42,1","0,2","108,2","18,8"
27/03/2009 16.00,,"32,7","35,5","0,2","108,0","18,8"
27/03/2009 17.00,,"26,1","28,8","0,2","107,4","18,8"
27/03/2009 18.00,,"23,0","25,5","0,2","103,6","18,8"
27/03/2009 19.00,,"32,1","35,4","0,2","92,5","18,8"
27/03/2009 20.00,,"43,7","49,0","0,3","77,9","18,8"
27/03/2009 21.00,,"61,1","72,6","0,5","55,6","18,8"
27/03/2009 22.00,,"52,1","61,7","0,3","62,2","18,8"
27/03/2009 23.00,,"53,4","63,8","0,3","60,3","18,8"
28/03/2009 0.00,,"50,9","61,4","0,3","57,5","18,8"
28/03/2009 1.00,,"48,5","60,0","0,3","56,0",
28/03/2009 2.00,,"46,3","57,6","0,2","57,3",
28/03/2009 3.00,,"44,5","53,8","0,2","62,6",
28/03/2009 4.00,,"43,0","50,8","0,2","68,3","7,3"
28/03/2009 5.00,,"42,6","49,2","0,2","68,7","7,3"
28/03/2009 6.00,,"43,2","49,6","0,2","67,0","7,3"
28/03/2009 7.00,,"42,6","48,7","0,2","73,8","7,3"
28/03/2009 8.00,,"35,6","39,8","0,2","86,2","7,3"
28/03/2009 9.00,,"27,6","31,6","0,2","93,2","7,3"
28/03/2009 10.00,,"21,7","24,6","0,2","98,6","7,3"
28/03/2009 11.00,,"19,2","22,4","0,2","99,3","7,3"
28/03/2009 12.00,,"19,8","22,9","0,2","95,8","7,3"
28/03/2009 13.00,,"19,6","22,9","0,2","94,8","7,3"
28/03/2009 14.00,,"19,5","23,2","0,2","95,1","7,3"
28/03/2009 15.00,,"20,6","23,8","0,2","98,7","7,3"
28/03/2009 16.00,,"19,1","22,3","0,2","100,5","7,3"
28/03/2009 17.00,,"19,5","22,6","0,2","102,9","7,3"
28/03/2009 18.00,,"20,3","23,5","0,2","107,2","7,3"
28/03/2009 19.00,,"20,6","23,5","0,2","106,5","7,3"
28/03/2009 20.00,,"21,4","24,4","0,2","106,9","7,3"
28/03/2009 21.00,,"23,2","26,3","0,2","105,6","7,3"
28/03/2009 22.00,,"26,3","29,5","0,2","103,3","7,3"
28/03/2009 23.00,,"28,1","31,2","0,2","104,9","7,3"
29/03/2009 0.00,,"23,2","26,2","0,2","112,2","7,3"
29/03/2009 1.00,,"19,7","22,6","0,2","114,5",
29/03/2009 2.00,,,,"0,2","114,9",
29/03/2009 3.00,,"17,8","20,8",,"113,9",
29/03/2009 4.00,,"17,8","20,6","0,2","115,7","11,0"
29/03/2009 5.00,,"18,2","21,3","0,2",,"11,0"
29/03/2009 6.00,,"18,7","21,8","0,2","116,4","11,0"
29/03/2009 7.00,,"19,7","22,6","0,2","110,6","11,0"
29/03/2009 8.00,,"17,6","20,6","0,2","107,8","11,0"
29/03/2009 9.00,,"16,5","19,7","0,2","108,7","11,0"
29/03/2009 10.00,,"17,4","20,5","0,2","106,6","11,0"
29/03/2009 11.00,,"18,4","21,4","0,2","104,0","11,0"
29/03/2009 12.00,,"16,2","19,3","0,2","107,5","11,0"
29/03/2009 13.00,,"18,1","21,2","0,2","104,7","11,0"
29/03/2009 14.00,,"18,6","21,6","0,2","104,1","11,0"
29/03/2009 15.00,,"18,9","21,9","0,2","103,8","11,0"
29/03/2009 16.00,,"18,5","21,6","0,2","102,9","11,0"
29/03/2009 17.00,,"23,6","27,1","0,2","97,9","11,0"
29/03/2009 18.00,,"24,7","28,0","0,2","99,2","11,0"
29/03/2009 19.00,,"26,6","30,0","0,2","97,3","11,0"
29/03/2009 20.00,,"24,6","27,8","0,2","98,8","11,0"
29/03/2009 21.00,,"21,6","24,7","0,2","101,2","11,0"
29/03/2009 22.00,,"19,1","21,9","0,2","102,1","11,0"
29/03/2009 23.00,,"14,1","16,8","0,2","100,8","11,0"
30/03/2009 0.00,,"16,4","19,4","0,2","92,3","11,0"
30/03/2009 1.00,,"17,3","20,8","0,2","88,7",
30/03/2009 2.00,,"21,8","25,9","0,2","83,7",
30/03/2009 3.00,,"24,7","29,5","0,2","81,5",
30/03/2009 4.00,,"30,7","36,0","0,2","77,8","12,0"
30/03/2009 5.00,,"29,4","34,0","0,2","88,4","12,0"
30/03/2009 6.00,,"28,0","32,5","0,2","89,3","12,0"
30/03/2009 7.00,,"31,7","36,9","0,2","86,1","12,0"
30/03/2009 8.00,,"37,1","44,6","0,2","82,7","12,0"
30/03/2009 9.00,,"27,4","32,2","0,2","87,2","12,0"
30/03/2009 10.00,,"28,1","33,3","0,2","85,9","12,0"
30/03/2009 11.00,,"22,4","26,7","0,2","89,9","12,0"
30/03/2009 12.00,,"19,7","23,8","0,2","91,3","12,0"
30/03/2009 13.00,,"22,8","28,3","0,2","90,4","12,0"
30/03/2009 14.00,,"33,4","41,1","0,2","85,4","12,0"
30/03/2009 15.00,,"35,1","42,1","0,2","86,9","12,0"
30/03/2009 16.00,,"30,6","36,3","0,2","90,0","12,0"
30/03/2009 17.00,,"16,7","19,9","0,2","95,6","12,0"
30/03/2009 18.00,,"19,8","23,3","0,2","93,9","12,0"
30/03/2009 19.00,,"26,1","31,2","0,2","86,6","12,0"
30/03/2009 20.00,,"39,7","50,1","0,4","74,5","12,0"
30/03/2009 21.00,,"39,0","49,1","0,3","73,9","12,0"
30/03/2009 22.00,,"36,8","47,8","0,3","71,2","12,0"
30/03/2009 23.00,,"35,9","49,3","0,2","66,5","12,0"
31/03/2009 0.00,,"35,6","45,8","0,2","79,4","12,0"
31/03/2009 1.00,,"31,0","37,2","0,2","84,2",
31/03/2009 2.00,,,,"0,2","80,9",
31/03/2009 3.00,,"33,2","41,4",,"74,8",
31/03/2009 4.00,,"34,5","42,7","0,1","73,2","11,7"
31/03/2009 5.00,,"35,7","42,6","0,1",,"11,7"
31/03/2009 6.00,,"30,9","36,7","0,1","77,9","11,7"
31/03/2009 7.00,,"30,0","38,6","0,2","73,9","11,7"
31/03/2009 8.00,,"27,1","36,7","0,2","73,4","11,7"
31/03/2009 9.00,,"23,4","30,7","0,2","80,1","11,7"
31/03/2009 10.00,,"26,1","32,7","0,2","80,3","11,7"
31/03/2009 11.00,,"33,3","43,0","0,2","68,8","11,7"
31/03/2009 12.00,,"24,8","31,9","0,2","84,3","11,7"
31/03/2009 13.00,,"35,4","48,7","0,4","69,7","11,7"
31/03/2009 14.00,,"30,7","43,0","0,2","78,7","11,7"
31/03/2009 15.00,,"29,4","38,6","0,2","85,9","11,7"
31/03/2009 16.00,,"28,8","37,1","0,2","82,9","11,7"
31/03/2009 17.00,,"37,3","48,7","0,2","74,9","11,7"
31/03/2009 18.00,,"43,7","54,9","0,2","71,6","11,7"
31/03/2009 19.00,,"40,2","49,1","0,3","74,1","11,7"
31/03/2009 20.00,,"43,4","55,3","0,5","60,3","11,7"
31/03/2009 21.00,,"48,7","62,0","0,4","53,6","11,7"
31/03/2009 22.00,,"51,9","66,3","0,4","47,7","11,7"
31/03/2009 23.00,,"45,2","58,7","0,3","51,4","11,7"
01/04/2009 0.00,,"40,3","54,1","0,3","51,6","11,7"
01/04/2009 1.00,,"39,1","53,7","0,3","50,4",
01/04/2009 2.00,,"39,6","55,6","0,3","46,3",
01/04/2009 3.00,,"40,6","56,6","0,2","47,4",
01/04/2009 4.00,,"40,7","57,3","0,2","49,8","12,8"
01/04/2009 5.00,,"42,0","57,1","0,2","52,5","12,8"
01/04/2009 6.00,,"44,4","58,8","0,2","48,6","12,8"
01/04/2009 7.00,,"54,5","75,0","0,2","37,1","12,8"
01/04/2009 8.00,,"60,7","97,2","0,4","35,6","12,8"
01/04/2009 9.00,,"42,0","61,8","0,3","59,6","12,8"
01/04/2009 10.00,,"29,4","39,7","0,2","78,6","12,8"
01/04/2009 11.00,,"26,6","33,7","0,2","81,9","12,8"
01/04/2009 12.00,,"23,3","28,6","0,1","82,2","12,8"
01/04/2009 13.00,,"20,5","25,7","0,2","84,8","12,8"
01/04/2009 14.00,,"26,5","31,9","0,1","81,4","12,8"
01/04/2009 15.00,,"30,3","35,9","0,2","80,1","12,8"
01/04/2009 16.00,,"28,1","33,5","0,1","80,6","12,8"
01/04/2009 17.00,,"24,6","28,5","0,1","80,1","12,8"
01/04/2009 18.00,,"27,6","32,2","0,2","75,2","12,8"
01/04/2009 19.00,,"28,8","35,0","0,3","71,1","12,8"
01/04/2009 20.00,,"31,2","40,1","0,3","74,2","12,8"
01/04/2009 21.00,,"32,2","41,3","0,3","73,7","12,8"
01/04/2009 22.00,,"30,1","39,1","0,2","69,3","12,8"
01/04/2009 23.00,,"36,4","48,2","0,2","65,6","12,8"
02/04/2009 0.00,,"29,2","38,9","0,2","72,9","12,8"
02/04/2009 1.00,,"35,6","47,5","0,2","65,3",
02/04/2009 2.00,,,,"0,2","57,1",
02/04/2009 3.00,,"37,6","50,8",,"61,9",
02/04/2009 4.00,,"34,8","46,8","0,1","63,4","18,5"
02/04/2009 5.00,,"34,6","47,2","0,2",,"18,5"
02/04/2009 6.00,,"40,4","55,7","0,2","44,5","18,5"
02/04/2009 7.00,,"55,2","76,1","0,2","37,1","18,5"
02/04/2009 8.00,,"46,4","65,5","0,2","58,9","18,5"
02/04/2009 9.00,,"35,2","46,1","0,2","84,2","18,5"
02/04/2009 10.00,,"35,1","44,2","0,2","88,2","18,5"
02/04/2009 11.00,,"37,4","45,7","0,2","93,7","18,5"
02/04/2009 12.00,,"39,4","49,5","0,2","95,4","18,5"
02/04/2009 13.00,,"37,7","50,1","0,3","86,0","18,5"
02/04/2009 14.00,,"32,7","40,8","0,2","89,1","18,5"
02/04/2009 15.00,,"35,3","43,7","0,2","87,8","18,5"
02/04/2009 16.00,,"33,8","41,6","0,2","93,6","18,5"
02/04/2009 17.00,,"34,7","41,9","0,2","91,7","18,5"
02/04/2009 18.00,,"35,4","43,6","0,2","84,5","18,5"
02/04/2009 19.00,,"41,5","52,5","0,3","74,0","18,5"
02/04/2009 20.00,,"45,8","60,2","0,3","69,2","18,5"
02/04/2009 21.00,,"43,7","56,8","0,2","71,9","18,5"
02/04/2009 22.00,,"37,7","49,3","0,2","73,1","18,5"
02/04/2009 23.00,,"38,3","50,1","0,2","71,4","18,5"
03/04/2009 0.00,,"34,6","45,5","0,2","79,9","18,5"
03/04/2009 1.00,,"34,0","43,9","0,2","82,6",
03/04/2009 2.00,,"32,9","42,8","0,1","81,2",
03/04/2009 3.00,,"32,6","41,8","0,1","80,3",
03/04/2009 4.00,,"32,7","41,7","0,1","76,9","10,6"
03/04/2009 5.00,,"36,0","46,6","0,1","71,1","10,6"
03/04/2009 6.00,,"39,0","50,3","0,1","67,4","10,6"
03/04/2009 7.00,,"41,6","53,8","0,2","62,3","10,6"
03/04/2009 8.00,,"54,8","76,9","0,3","60,8","10,6"
03/04/2009 9.00,,"39,9","52,1","0,2","75,5","10,6"
03/04/2009 10.00,,"33,5","43,5","0,2","79,6","10,6"
03/04/2009 11.00,,"34,3","44,1","0,2","81,7","10,6"
03/04/2009 12.00,,"34,2","44,1","0,2","81,0","10,6"
03/04/2009 13.00,,"40,7","54,7","0,3","80,5","10,6"
03/04/2009 14.00,,"41,5","52,5","0,2","84,5","10,6"
03/04/2009 15.00,,"36,4","45,4","0,2","85,3","10,6"
03/04/2009 16.00,,"33,8","42,5","0,2","85,9","10,6"
03/04/2009 17.00,,"38,2","47,1","0,2","82,1","10,6"
03/04/2009 18.00,,"34,4","43,1","0,2","81,2","10,6"
03/04/2009 19.00,,"33,4","41,9","0,2","79,1","10,6"
03/04/2009 20.00,,"35,5","44,7","0,2","75,1","10,6"
03/04/2009 21.00,,"33,5","42,7","0,2","75,8","10,6"
03/04/2009 22.00,,"34,0","43,9","0,2","75,2","10,6"
03/04/2009 23.00,,"34,9","46,6","0,2","71,7","10,6"
04/04/2009 0.00,,"32,9","44,2","0,2","70,2","10,6"
04/04/2009 1.00,,"31,9","43,8","0,2","68,4",
04/04/2009 2.00,,,,"0,2","66,9",
04/04/2009 3.00,,"31,6","43,7",,"65,8",
04/04/2009 4.00,,"28,6","38,4","0,2","68,0",
04/04/2009 5.00,,"29,8","39,9","0,2",,
04/04/2009 6.00,,"32,9","44,2","0,2","63,2",
04/04/2009 7.00,,"36,9","49,6","0,2","63,9",
04/04/2009 8.00,,"41,3","55,7","0,3","67,8",
04/04/2009 9.00,,"36,3","47,6","0,2","72,9",
04/04/2009 10.00,,"36,6","47,7","0,2","73,8",
04/04/2009 11.00,,"35,0","45,9","0,2","78,9",
04/04/2009 12.00,,"35,9","47,1","0,3","79,8",
04/04/2009 13.00,,"43,3","59,1","0,3","76,2",
04/04/2009 14.00,,"36,4","45,9","0,2","80,7",
04/04/2009 15.00,,"34,4","42,1","0,2","82,1",
04/04/2009 16.00,,"36,2","43,9","0,2","81,2",
04/04/2009 17.00,,"37,4","45,6","0,2","83,4",
04/04/2009 18.00,,"38,0","46,1","0,2","78,9",
04/04/2009 19.00,,"41,2","51,1","0,3","70,6",
04/04/2009 20.00,,"42,4","53,0","0,2","81,1",
04/04/2009 21.00,,"41,2","50,1","0,2","86,8",
04/04/2009 22.00,,"35,5","42,8","0,2","90,6",
04/04/2009 23.00,,"31,6","37,1","0,2","89,2",
05/04/2009 0.00,,"32,5","38,9","0,2","85,1",
05/04/2009 1.00,,"36,5","43,5","0,2","72,0",
05/04/2009 2.00,,"31,9","38,9","0,2","71,6",
05/04/2009 3.00,,"34,0","41,3","0,2","64,2",
05/04/2009 4.00,,"27,5","33,7","0,2","77,2",
05/04/2009 5.00,,"28,4","33,7","0,2","73,7",
05/04/2009 6.00,,"25,4","31,0","0,2","83,2",
05/04/2009 7.00,,"24,0","28,7","0,2","82,0",
05/04/2009 8.00,,"26,7","32,2","0,2","78,0",
05/04/2009 9.00,,"28,6","34,7","0,2","79,0",
05/04/2009 10.00,,"24,1","29,1","0,2","85,1",
05/04/2009 11.00,,"24,8","29,7","0,2","85,0",
05/04/2009 12.00,,"25,1","30,4","0,2","88,5",
05/04/2009 13.00,,"27,2","32,8","0,2","86,9",
05/04/2009 14.00,,"27,0","32,1","0,2","93,1",
05/04/2009 15.00,,"28,1","33,3","0,2","94,6",
05/04/2009 16.00,,"27,8","33,6","0,2","91,7",
05/04/2009 17.00,,"30,0","36,1","0,2","88,9",
05/04/2009 18.00,,"32,2","38,7","0,3","86,0",
05/04/2009 19.00,,"34,7","42,6","0,3","76,4",
05/04/2009 20.00,,"41,2","51,6","0,3","68,8",
05/04/2009 21.00,,"52,1","66,3","0,3","57,4",
05/04/2009 22.00,,"42,9","55,2","0,3","70,8",
05/04/2009 23.00,,"40,4","52,1","0,3","70,3",
06/04/2009 0.00,,"39,2","51,1","0,3","71,4",
06/04/2009 1.00,,"30,3","39,2","0,2","78,6",
06/04/2009 2.00,,,,"0,2","78,1",
06/04/2009 3.00,,"25,5","33,1",,"77,1",
06/04/2009 4.00,,"29,5","39,2","0,2","67,1",
06/04/2009 5.00,,"38,6","51,4","0,2",,
06/04/2009 6.00,,"47,5","61,8","0,3","56,0",
06/04/2009 7.00,,"62,4","83,7","0,3","42,8",
06/04/2009 8.00,,"76,6","121,1","0,5","41,5",
06/04/2009 9.00,,"47,9","69,8","0,3","69,9",
06/04/2009 10.00,,"35,7","45,8","0,3","81,7",
06/04/2009 11.00,,"31,9","39,3","0,3","92,4",
06/04/2009 12.00,,"31,6","39,0","0,3","95,7",
06/04/2009 13.00,,"35,9","46,2","0,3","96,2",
06/04/2009 14.00,,"32,9","39,7","0,3","105,2",
06/04/2009 15.00,,"34,0","40,3","0,3","104,4",
06/04/2009 16.00,,"35,4","41,6","0,3","104,6",
06/04/2009 17.00,,"34,5","40,2","0,3","105,4",
06/04/2009 18.00,,"43,0","49,7","0,4","93,4",
06/04/2009 19.00,,"49,2","57,5","0,4","82,0",
06/04/2009 20.00,,"57,9","71,4","0,8","61,2",
06/04/2009 21.00,,"68,9","84,6","0,5","43,5",
06/04/2009 22.00,,"55,4","71,6","0,4","52,0",
06/04/2009 23.00,,"59,2","78,5","0,4","39,5",
07/04/2009 0.00,,"56,6","77,8","0,4","28,6",
07/04/2009 1.00,,"53,8","77,1","0,4","25,3",
07/04/2009 2.00,,"47,5","69,7","0,4","29,0",
07/04/2009 3.00,,"42,9","64,6","0,3","34,6",
07/04/2009 4.00,,"42,7","65,2","0,3","29,7",
07/04/2009 5.00,,"35,6","53,5","0,3","50,1",
07/04/2009 6.00,,"48,3","70,1","0,3","34,0",
07/04/2009 7.00,,"52,0","76,9","0,3","27,1",
07/04/2009 8.00,,"60,5","90,5","0,4","34,4",
07/04/2009 9.00,,"47,3","64,7","0,4","74,2",
07/04/2009 10.00,,"46,8","62,2","0,3","79,7",
07/04/2009 11.00,,"43,8","56,5","0,3","87,9",
07/04/2009 12.00,,"34,3","42,6","0,3","110,3",
07/04/2009 13.00,,"32,8","39,9","0,3","119,7",
07/04/2009 14.00,,"31,0","36,8","0,3","124,8",
07/04/2009 15.00,,"28,8","33,4","0,3","129,4",
07/04/2009 16.00,,"24,3","28,1","0,2","132,2",
07/04/2009 17.00,,"25,3","29,2","0,3","126,3",
07/04/2009 18.00,,"36,0","41,8","0,3","112,5",
07/04/2009 19.00,,"33,9","40,3","0,3","104,7",
07/04/2009 20.00,,"49,7","60,5","0,4","70,8",
07/04/2009 21.00,,"66,6","81,2","0,4","40,3",
07/04/2009 22.00,,"69,3","89,4","0,4","31,2",
07/04/2009 23.00,,"55,6","74,6","0,4","40,1",
08/04/2009 0.00,,"48,5","67,4","0,3","47,9",
08/04/2009 1.00,,"47,6","66,1","0,3","50,5",
08/04/2009 2.00,,,,"0,3","42,8",
08/04/2009 3.00,,"43,6","62,0",,"49,3",
08/04/2009 4.00,,"43,0","59,8","0,3","51,8",
08/04/2009 5.00,,"44,1","60,8","0,2",,
08/04/2009 6.00,,"52,2","70,9","0,2","36,1",
08/04/2009 7.00,,"55,4","75,9","0,3","40,2",
08/04/2009 8.00,,"57,7","78,6","0,3","51,5",
08/04/2009 9.00,,"40,2","52,4","0,2","82,1",
08/04/2009 10.00,,"34,7","43,2","0,3","99,8",
08/04/2009 11.00,,"33,9","41,3","0,2","119,0",
08/04/2009 12.00,"12,1","23,9","28,6","0,2","127,3",
08/04/2009 13.00,"20,1","9,3","11,9","0,2","122,0",
08/04/2009 14.00,"19,2","21,3","25,4","0,2","114,4",
08/04/2009 15.00,"19,4","24,5","30,0","0,2","115,2",
08/04/2009 16.00,"18,9","30,4","37,3","0,2","111,7",
08/04/2009 17.00,"19,3","26,5","32,4","0,2","114,7",
08/04/2009 18.00,"18,6","32,4","39,8","0,2","109,4",
08/04/2009 19.00,"17,1","34,2","43,3","0,2","98,6",
08/04/2009 20.00,"15,5","40,4","52,0","0,2","85,9",
08/04/2009 21.00,"13,2","48,8","61,7","0,3","66,7",
08/04/2009 22.00,"12,3","50,4","65,2","0,3","61,9",
08/04/2009 23.00,"12,0","45,0","59,8","0,3","58,1",
09/04/2009 0.00,"11,5","43,6","60,4","0,3","54,3",
09/04/2009 1.00,"10,8","40,4","55,6","0,2","49,6","13,8"
09/04/2009 2.00,"9,9","38,7","53,6","0,2","43,0","13,8"
09/04/2009 3.00,"8,8","37,3","54,2","0,2","34,7","13,8"
09/04/2009 4.00,"8,2","37,3","56,4","0,2","30,2","13,8"
09/04/2009 5.00,"8,7","38,7","58,0","0,2","33,0","13,8"
09/04/2009 6.00,"8,7","40,4","59,0","0,2","34,9","13,8"
09/04/2009 7.00,"10,4","43,9","62,5","0,2","46,4","13,8"
09/04/2009 8.00,"12,8","56,4","71,7","0,2","64,7","13,8"
09/04/2009 9.00,"11,9","57,8","75,9","0,3","56,8","13,8"
09/04/2009 10.00,"12,2","65,4","94,8","0,3","60,2","13,8"
09/04/2009 11.00,"18,0","48,7","68,6","0,2","103,3","13,8"
09/04/2009 12.00,"20,7","30,5","37,0","0,2","123,9","13,8"
09/04/2009 13.00,"21,0","26,7","31,4","0,2","127,5","13,8"
09/04/2009 14.00,"20,7","29,1","33,5","0,2","127,3","13,8"
09/04/2009 15.00,"20,1","22,8","27,0","0,2","121,5","13,8"
09/04/2009 16.00,"20,0","26,3","30,8","0,2","119,6","13,8"
09/04/2009 17.00,"18,4","23,4","28,2","0,2","107,0","13,8"
09/04/2009 18.00,"18,2","22,1","26,4","0,2","106,5","13,8"
09/04/2009 19.00,"17,3","30,0","34,9","0,3","98,7","13,8"
09/04/2009 20.00,"12,4","52,8","62,1","0,4","60,7","13,8"
09/04/2009 21.00,"9,9","60,2","73,8","0,4","41,9","13,8"
09/04/2009 22.00,"9,9","54,4","69,3","0,3","42,7","13,8"
09/04/2009 23.00,"7,3","63,8","84,6","0,4","22,6","13,8"
10/04/2009 0.00,"8,5","51,0","70,9","0,3","32,2","13,8"
