,,,Provincia di Lecce,,,
,,,Galatina,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,
04/01/2009 15.00,"0,4","14,2","27,3","0,3","42,7","13,2"
04/01/2009 16.00,"0,4","15,1","29,2","0,3","40,2","13,2"
04/01/2009 17.00,"0,3","17,9","34,1","0,3","36,7","13,2"
04/01/2009 18.00,"0,3","22,1","43,8","0,4","30,7","13,2"
04/01/2009 19.00,"0,6","26,4","52,7","0,5","26,3","13,2"
04/01/2009 20.00,"0,6","26,2","54,1","0,5","26,3","13,2"
04/01/2009 21.00,"0,7","28,3","59,4","0,5","22,5","13,2"
04/01/2009 22.00,"0,7","25,6","60,3","0,5","18,1","13,2"
04/01/2009 23.00,"0,6","21,2","50,4","0,5","22,1","13,2"
05/01/2009 0.00,"0,6","21,1","47,8","0,4","29,2","13,2"
05/01/2009 1.00,"0,3","20,7","47,2","0,3","32,5",
05/01/2009 2.00,"0,5","19,7","44,3","0,3","30,6",
05/01/2009 3.00,"0,4","16,8","46,7","0,3","26,9",
05/01/2009 4.00,"0,2","14,3","45,6","0,3","23,2",
05/01/2009 5.00,"0,5","13,6","41,0","0,3","30,3","24,2"
05/01/2009 6.00,"0,3","14,4","45,5","0,3","22,4","24,2"
05/01/2009 7.00,"0,6","13,9","47,8","0,3","16,6","24,2"
05/01/2009 8.00,"0,7","26,2","63,3","0,4","13,1","24,2"
05/01/2009 9.00,"1,1","32,6","79,9","0,5","12,9","24,2"
05/01/2009 10.00,"1,2","29,0","74,9","0,5","19,4","24,2"
05/01/2009 11.00,"1,7","27,0","68,7","0,5","26,7","24,2"
05/01/2009 12.00,"1,7","25,8","62,4","0,4","34,0","24,2"
05/01/2009 13.00,"1,7","23,2","53,4","0,3","41,1","24,2"
05/01/2009 14.00,"1,9","22,4","52,7","0,3","42,0","24,2"
05/01/2009 15.00,"1,5","20,1","46,0","0,2","46,2","24,2"
05/01/2009 16.00,"0,9","20,6","42,1","0,2","45,9","24,2"
05/01/2009 17.00,"0,7","32,8","58,2","0,4","31,9","24,2"
05/01/2009 18.00,"1,3","53,2","97,5","0,7","13,4","24,2"
05/01/2009 19.00,"1,5","53,8","100,4","0,8","13,7","24,2"
05/01/2009 20.00,"1,3","47,3","90,4","0,7","15,7","24,2"
05/01/2009 21.00,"1,0","41,9","77,7","0,7","19,1","24,2"
05/01/2009 22.00,"0,9","36,6","67,1","0,6","22,2","24,2"
05/01/2009 23.00,"0,7","32,5","61,8","0,7","22,6","24,2"
06/01/2009 0.00,"0,7","24,9","52,5","0,5","28,2","24,2"
06/01/2009 1.00,"0,7","23,4","48,5","0,4","30,4",
06/01/2009 2.00,"0,6",,,"0,4","31,2",
06/01/2009 3.00,"0,6","19,4","45,5",,"31,3",
06/01/2009 4.00,,"16,8","41,3","0,3","34,3",
06/01/2009 5.00,"0,5","15,3","37,8","0,3",,"31,8"
06/01/2009 6.00,"0,5","15,7","38,5","0,3","33,9","31,8"
06/01/2009 7.00,"0,4","15,0","37,3","0,2","35,3","31,8"
06/01/2009 8.00,"0,4","18,0","42,0","0,3","32,4","31,8"
06/01/2009 9.00,"0,5","18,4","43,6","0,3","32,7","31,8"
06/01/2009 10.00,"0,7","18,6","46,8","0,4","31,4","31,8"
06/01/2009 11.00,"1,1","16,9","40,9","0,3","39,2","31,8"
06/01/2009 12.00,"1,3","19,7","43,3","0,3","40,2","31,8"
06/01/2009 13.00,"2,0","19,4","40,0","0,3","47,1","31,8"
06/01/2009 14.00,"1,6","18,7","40,9","0,3","49,3","31,8"
06/01/2009 15.00,"1,2","16,5","35,3","0,3","52,5","31,8"
06/01/2009 16.00,"1,1","17,6","38,1","0,3","51,1","31,8"
06/01/2009 17.00,"0,8","27,0","53,2","0,5","37,5","31,8"
06/01/2009 18.00,"1,0","42,9","78,5","0,9","17,1","31,8"
06/01/2009 19.00,"1,7","47,9","110,8","1,0","6,1","31,8"
06/01/2009 20.00,"1,7","35,6","106,9","1,1","6,7","31,8"
06/01/2009 21.00,"1,6","28,8","100,3","1,0","6,2","31,8"
