Stat,BR-Via Crati-Rione_PERRINO,,,,,,  ,
,,,,,,,,,,,
Parm,SO2,NO2,NOX,CO,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,
01/01/2014 1.00,"2,9","8,6","15,1","0,7",,,,
01/01/2014 2.00,"2,8","5,3","7,8","0,7","15,9",,,
01/01/2014 3.00,"2,8","5,2","7,5","0,7",,,,
01/01/2014 4.00,"2,3","3,6","6,0","0,7","37,9",,,
01/01/2014 5.00,"2,7","3,6","5,9","0,7",,,,
01/01/2014 6.00,"2,4","15,8","18,9","0,7","33,7",,,
01/01/2014 7.00,"2,4","3,9","6,3","0,7",,,,
01/01/2014 8.00,"2,4","6,5","8,9","0,7","24,9",,,
01/01/2014 9.00,"2,4","10,2","13,0","0,7",,,,
01/01/2014 10.00,"2,3","12,0","16,0","0,7","14,2",,,
01/01/2014 11.00,"2,4","7,0","10,6","0,7",,,, 
01/01/2014 12.00,"2,4","6,7","9,8","0,7","13,7",,,
01/01/2014 13.00,"2,2","6,8","9,1","0,7",,,,
01/01/2014 14.00,"2,6","5,3","7,7","0,7","7,6",,,
01/01/2014 15.00,"2,3","21,1","24,5","0,7",,,,
01/01/2014 16.00,"2,4","19,4","21,9","0,7","11,2",,,
01/01/2014 17.00,"2,3","28,0","31,3","0,8",,,,
01/01/2014 18.00,"3,0","51,8","61,2","1,1","11,7",,,
01/01/2014 19.00,"2,5","25,5","28,4","0,9",,,,
01/01/2014 20.00,"2,1","29,5","32,6","0,9","14,7",,,
01/01/2014 21.00,"2,4","33,4","36,7","0,9",,,,
01/01/2014 22.00,"2,4","30,2","33,7","0,9","15,1",,,
01/01/2014 23.00,"2,5","38,2","45,9","1,0",,,,
02/01/2014 0.00,"2,8","31,7","37,6","1,0","19,8",,,
02/01/2014 1.00,,"17,1","19,5","0,8",,,,
02/01/2014 2.00,"2,5",,,"0,9","20,3",,,
02/01/2014 3.00,"2,5","23,4","26,7","0,9",,,,
02/01/2014 4.00,"2,5","20,0","22,4","0,9","17,6",,,
02/01/2014 5.00,"2,7","21,7","25,2","1,0",,,,
02/01/2014 6.00,"2,7","31,3","49,3","1,0","17,6",,,
02/01/2014 7.00,"2,5","37,0","56,3","1,0",,,,
02/01/2014 8.00,"3,8","45,5","165,4","1,2","24,2",,,
02/01/2014 9.00,"2,9","34,0","71,1","1,0",,,,
02/01/2014 10.00,"2,6","17,2","25,6","0,8","24,2",,,
02/01/2014 11.00,"2,5","12,5","17,4","0,8",,,,
02/01/2014 12.00,"2,3","11,0","15,3","0,8","32,0",,,
02/01/2014 13.00,"2,5","7,6","11,7","0,7",,,,
02/01/2014 14.00,"2,1","7,9","11,6","0,8","17,1",,,
02/01/2014 15.00,"2,5","8,4","11,7","0,8",,,,
02/01/2014 16.00,"2,7","11,4","14,7","0,8","9,3",,,
02/01/2014 17.00,"2,7","27,8","31,7","0,9",,,,
02/01/2014 18.00,"3,2","37,7","42,8","1,0","5,1",,,
02/01/2014 19.00,"2,8","23,7","27,1","1,0",,,,
02/01/2014 20.00,"2,5","15,1","18,0","0,8","14,2",,,
02/01/2014 21.00,"3,4","26,6","30,6","0,9",,,,
02/01/2014 22.00,"3,1","15,5","18,3","0,9","21,0",,,
02/01/2014 23.00,"2,4","10,4","12,8","0,8",,,,
03/01/2014 0.00,"2,6","9,8","12,1","0,8","16,4",,,
03/01/2014 1.00,"2,4","8,5","10,8","0,8",,,,
03/01/2014 2.00,"2,5","9,4","11,7","0,8","20,5",,,
03/01/2014 3.00,"2,4","8,6","11,0","0,8",,,,
03/01/2014 4.00,"2,7","12,8","15,2","0,9","16,8",,,
03/01/2014 5.00,"2,9","17,0","19,3","0,9",,,,
03/01/2014 6.00,"2,9","22,2","25,4","0,9","20,0",,,
03/01/2014 7.00,"2,9","27,0","33,1","0,9",,,,
03/01/2014 8.00,"3,4","35,0","74,2","1,0","13,2",,,
03/01/2014 9.00,"3,3","23,7","32,3","0,9",,,,
03/01/2014 10.00,"2,9","22,0","29,9","0,8","17,1",,,
03/01/2014 11.00,"3,2","18,5","24,5","0,8",,,,
03/01/2014 12.00,"2,7","20,7","26,4","0,9","17,1",,,
03/01/2014 13.00,"3,0","22,6","28,0","0,9",,,,
03/01/2014 14.00,"2,6","19,2","23,3","0,8","17,3",,,
03/01/2014 15.00,"2,8","15,5","19,5","0,8",,,,
03/01/2014 16.00,"3,1","20,8","24,2","0,8","14,7",,,
03/01/2014 17.00,"3,0","37,3","42,8","0,9",,,,
03/01/2014 18.00,"3,1","30,2","33,6","0,9","14,7",,,
03/01/2014 19.00,"2,7","24,1","27,5","0,9",,,,
03/01/2014 20.00,"3,1","20,4","23,2","0,9","22,7",,,
03/01/2014 21.00,"3,7","24,1","27,0","1,0",,,,
03/01/2014 22.00,"3,7","23,6","26,5","1,1","16,6",,,
03/01/2014 23.00,"3,7","19,5","22,0","1,1",,,,
04/01/2014 0.00,"2,9","12,2","14,5","0,9","23,4",,,
04/01/2014 1.00,,"13,4","15,8","0,9",,,,
04/01/2014 2.00,"3,1",,,"0,9","33,2",,,
04/01/2014 3.00,"3,2","10,3","12,6","0,9",,,,
04/01/2014 4.00,"2,9","10,8","13,1","0,8","29,5",,,
04/01/2014 5.00,"2,7","13,7","16,1","0,8",,,,
04/01/2014 6.00,"3,1","22,1","26,3","0,9","25,9",,,
04/01/2014 7.00,"2,7","22,3","25,9","0,9",,,,
04/01/2014 8.00,"3,2","28,0","42,7","0,9","17,1",,,
04/01/2014 9.00,"3,1","23,3","36,2","1,0",,,,
04/01/2014 10.00,"3,2","13,5","19,4","0,9","20,0",,,
04/01/2014 11.00,"2,8","7,2","11,3","0,7",,,,
04/01/2014 12.00,"3,3","6,4","9,9","0,7","32,0",,,
04/01/2014 13.00,"2,7","6,1","9,6","0,7",,,,
04/01/2014 14.00,"2,8","5,0","8,0","0,7","16,6",,,
04/01/2014 15.00,"2,8","5,3","7,8","0,7",,,,
04/01/2014 16.00,"2,6","6,8","9,2","0,7","9,3",,,
04/01/2014 17.00,"2,8","18,3","20,8","0,7",,,,
04/01/2014 18.00,"2,8","19,7","22,2","0,8","5,1",,,
04/01/2014 19.00,"2,5","18,8","21,4","0,8",,,,
04/01/2014 20.00,"2,7","15,3","17,9","0,8","11,7",,,
04/01/2014 21.00,"2,9","14,2","16,6","0,8",,,,
04/01/2014 22.00,"2,9","11,4","13,9","0,8","21,2",,,
04/01/2014 23.00,"2,5","9,4","11,7","0,7",,,,
05/01/2014 0.00,"2,7","8,0","10,4","0,7","20,0",,,
05/01/2014 1.00,"2,5","7,0","9,3","0,7",,,,
05/01/2014 2.00,"2,7","4,6","6,9","0,7","19,5",,,
05/01/2014 3.00,"2,4","4,2","6,5","0,7",,,,
05/01/2014 4.00,"2,6","4,2","6,5","0,7","18,3",,,
05/01/2014 5.00,"2,4","7,0","9,4","0,7",,,,
05/01/2014 6.00,"2,8","5,8","8,1","0,6","13,9",,,
05/01/2014 7.00,"2,6","6,6","8,9","0,7",,,,
