Stat,LECCE Piazza_libertini,,,,,,  ,
,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,
,,,,,
,,,,,
14/04/2014 8.00,"44,6","59,7","0,7","16,1","0,2",,,
14/04/2014 9.00,"28,4","42,0","0,7",,"0,3",,,
14/04/2014 10.00,"23,8","37,7","0,7","8,8","0,3",,,
14/04/2014 11.00,"20,6","33,5","0,7",,"0,2",,,
14/04/2014 12.00,"24,9","42,7","0,7","9,3","0,2",,,
14/04/2014 13.00,"20,5","33,6","0,6",,"0,1",,,
14/04/2014 14.00,"18,5","29,4","0,6","12,7","0,1",,,
14/04/2014 15.00,"18,9","28,2","0,6",,"0,2",,,
14/04/2014 16.00,"17,1","25,0","0,6","12,7","0,1",,,
14/04/2014 17.00,"23,5","33,2","0,6",,"0,2",,,
14/04/2014 18.00,"39,9","51,3","0,7","15,6","0,2",,,
14/04/2014 19.00,"49,4","61,1","0,7",,"0,4",,,
14/04/2014 20.00,"53,8","65,2","0,8","21,0","0,4",,,
14/04/2014 21.00,"69,4","96,4","0,9",,"0,7",,,
14/04/2014 22.00,"50,0","69,6","0,8","28,3","1,3",,,
14/04/2014 23.00,"28,7","38,5","0,7",,"0,8",,,
15/04/2014 0.00,"19,3","27,0","0,7","16,1","0,4",,,
15/04/2014 1.00,"11,0","17,4","0,6",,"0,2",,,
15/04/2014 2.00,"6,1","12,7","0,6","15,1","0,1",,,
15/04/2014 3.00,"5,1","10,7","0,5",,"0,1",,,
15/04/2014 4.00,"6,2","11,9","0,6","8,8","0,1",,,
15/04/2014 5.00,"23,7","38,3","0,6",,"0,1",,,
15/04/2014 6.00,"43,3","72,8","0,7","8,3","0,1",,,
15/04/2014 7.00,"49,7","81,2","0,8",,"0,4",,,
15/04/2014 8.00,"23,5","38,7","0,7","12,7","1,0",,,
15/04/2014 9.00,"25,5","45,1","0,7",,"0,5",,,
15/04/2014 10.00,"36,8","71,5","0,7","7,8","0,6",,,
15/04/2014 11.00,"28,3","50,7","0,7",,"0,4",,,
15/04/2014 12.00,"23,0","42,0","0,7","5,4","0,3",,,
15/04/2014 13.00,"17,7","32,1","0,6",,"0,1",,,
15/04/2014 14.00,"19,5","34,0","0,6","4,4","0,1",,,
15/04/2014 15.00,"32,5","52,2","0,7",,"0,2",,,
15/04/2014 16.00,"24,4","34,4","0,7","5,9","0,1",,,
15/04/2014 17.00,"34,8","48,7","0,7",,"0,3",,,
15/04/2014 18.00,"20,3","28,3","0,6","11,2","0,2",,,
15/04/2014 19.00,"23,9","34,1","0,6",,"0,3",,,
15/04/2014 20.00,"21,4","31,9","0,6","9,8","0,1",,,
15/04/2014 21.00,"13,5","21,0","0,6",,"0,1",,,
15/04/2014 22.00,"14,5","22,7","0,6","6,8","0,1",,,
15/04/2014 23.00,"14,3","22,5","0,6",,"0,3",,,
16/04/2014 0.00,"7,8","14,8","0,6","4,9","0,1",,,
16/04/2014 1.00,"6,6","13,3","0,5",,"0,1",,,
16/04/2014 2.00,"5,9","13,4","0,5","3,9",,,,
16/04/2014 3.00,"1,3","7,4",,,,,,
16/04/2014 4.00,,,"0,5","3,9",,,,
16/04/2014 5.00,"5,8","12,3","0,5",,,,,
16/04/2014 6.00,"30,3","43,0","0,6","2,9","0,1",,,
16/04/2014 7.00,"35,0","46,8","0,6",,"0,1",,,
16/04/2014 8.00,"32,4","50,3","0,7","2,4","0,2",,,
16/04/2014 9.00,"29,7","44,0","0,6",,"0,2",,,
16/04/2014 10.00,"25,9","41,9","0,6","2,9","0,1",,,
16/04/2014 11.00,"21,6","33,8","0,6",,"0,1",,,
16/04/2014 12.00,"26,7","46,2","0,7","2,9","0,3",,,
16/04/2014 13.00,"16,1","29,9","0,6",,"0,1",,,
16/04/2014 14.00,"14,4","24,4","0,6","7,8","0,1",,,
16/04/2014 15.00,"17,3","29,3","0,6",,"0,1",,,
16/04/2014 16.00,"18,9","30,8","0,6","4,4","0,1",,,
16/04/2014 17.00,"17,6","26,6","0,6",,"0,1",,,
16/04/2014 18.00,"28,9","38,0","0,6","3,9","0,1",,,
16/04/2014 19.00,"38,3","56,6","0,7",,"0,2",,,
16/04/2014 20.00,"42,6","61,3","0,7","8,3","0,3",,,
16/04/2014 21.00,"30,1","43,8","0,7",,"0,2",,,
16/04/2014 22.00,"24,4","37,9","0,7","6,3","0,3",,,
16/04/2014 23.00,"16,6","25,5","0,7",,"1,0",,,
17/04/2014 0.00,"10,9","19,1","0,6","4,4","0,2",,,
17/04/2014 1.00,"7,0","13,7","0,6",,"0,1",,,
17/04/2014 2.00,"7,3","14,1","0,6","3,9","0,1",,,
17/04/2014 3.00,"3,7","9,6","0,6",,"0,1",,,
17/04/2014 4.00,"4,1","10,1","0,6","6,8","0,1",,,
17/04/2014 5.00,"8,3","15,3","0,6",,"0,1",,,
17/04/2014 6.00,"24,0","38,1","0,6","5,4","0,1",,,
17/04/2014 7.00,"29,6","53,5","0,7",,"0,2",,,
17/04/2014 8.00,"15,6","28,6","0,6","5,9","0,5",,,
17/04/2014 9.00,"15,4","28,3","0,7",,"0,2",,,
17/04/2014 10.00,"13,7","26,2","0,7","4,4","0,2",,,
17/04/2014 11.00,"20,7","36,0","0,7",,"0,1",,,
17/04/2014 12.00,"14,5","28,0","0,6","4,4","0,2",,,
17/04/2014 13.00,"14,4","26,9","0,6",,"0,2",,,
17/04/2014 14.00,"13,0","23,4","0,6","2,9","0,2",,,
17/04/2014 15.00,"9,9","19,0","0,6",,"0,2",,,
17/04/2014 16.00,"16,6","26,4","0,6","3,4","0,1",,,
17/04/2014 17.00,"16,6","25,7","0,6",,"0,2",,,
17/04/2014 18.00,"19,6","29,3","0,7","3,4","0,2",,,
17/04/2014 19.00,"28,7","37,1","0,7",,"0,2",,,
17/04/2014 20.00,"26,8","35,3","0,7","2,4","0,3",,,
17/04/2014 21.00,"23,0","31,9","0,7",,"0,2",,,
17/04/2014 22.00,"21,4","29,5","0,7","2,4","0,3",,,
17/04/2014 23.00,"16,4","23,9","0,7",,"0,2",,,
18/04/2014 0.00,"12,5","19,7","0,7","7,8","0,2",,,
18/04/2014 1.00,"9,1","15,8","0,6",,"0,2",,,
18/04/2014 2.00,"7,2","14,2","0,6","5,4","0,2",,,
18/04/2014 3.00,"6,0","11,7",,,"0,1",,,
18/04/2014 4.00,,,"0,6","3,9","0,2",,,
18/04/2014 5.00,"31,9","48,4","0,7",,"0,1",,,
18/04/2014 6.00,"26,3","38,5","0,7","4,4","0,2",,,
18/04/2014 7.00,"28,3","46,6","0,7",,"0,2",,,
18/04/2014 8.00,"21,7","35,8","0,7","6,8","0,2",,,
18/04/2014 9.00,"15,8","27,5","0,6",,"0,2",,,
18/04/2014 10.00,"16,1","28,9","0,7","3,9","0,3",,,
18/04/2014 11.00,"15,6","26,4","0,6",,"0,2",,,
18/04/2014 12.00,"18,1","29,7","0,7","10,7","0,2",,,
18/04/2014 13.00,"12,4","21,5","0,6",,"0,1",,,
18/04/2014 14.00,"14,7","24,0","0,6","6,8","0,1",,,
18/04/2014 15.00,"14,5","22,8","0,6",,"0,2",,,
18/04/2014 16.00,"22,8","34,6","0,7","4,9","0,1",,,
18/04/2014 17.00,"25,1","36,7","0,7",,"0,2",,,
18/04/2014 18.00,"32,6","44,7","0,8","6,8","0,4",,,
18/04/2014 19.00,"31,4","43,2","0,8",,"0,4",,,
18/04/2014 20.00,"33,7","47,3","0,8","10,7","0,3",,,
18/04/2014 21.00,"23,9","33,8","0,7",,"0,2",,,
18/04/2014 22.00,"17,5","26,1","0,7","11,7","0,2",,,
18/04/2014 23.00,"18,3","29,1","0,7",,"0,2",,,
19/04/2014 0.00,"18,5","30,0","0,7","12,2","1,1",,,
19/04/2014 1.00,"20,6","34,4","0,7",,"0,2",,,
19/04/2014 2.00,"14,0","22,8","0,7","7,8","0,3",,,
19/04/2014 3.00,"15,0","23,9","0,7",,"0,2",,,
19/04/2014 4.00,"18,4","27,9","0,7","9,3","0,3",,,
19/04/2014 5.00,"32,0","46,2","0,8",,"0,2",,,
19/04/2014 6.00,"44,1","76,0","0,8","12,7","0,3",,,
19/04/2014 7.00,"34,8","60,4","0,7",,"0,3",,,
19/04/2014 8.00,"18,2","35,8","0,7","10,7","0,1",,,
19/04/2014 9.00,"11,2","20,1","0,6",,"0,1",,,
19/04/2014 10.00,"11,4","21,0","0,6","10,3","0,1",,,
19/04/2014 11.00,"14,0","24,8","0,6",,"0,1",,,
19/04/2014 12.00,"17,3","29,5","0,6","10,3","0,1",,,
19/04/2014 13.00,"18,4","31,7","0,7",,"0,1",,,
19/04/2014 14.00,"14,6","27,1","0,7","7,3","0,1",,,
19/04/2014 15.00,"15,9","27,7","0,6",,"0,4",,,
19/04/2014 16.00,"29,9","47,8","0,7","4,4","0,1",,,
19/04/2014 17.00,"47,3","76,8","0,8",,"0,4",,,
19/04/2014 18.00,"60,0","97,1","1,3","3,9","0,6",,,
19/04/2014 19.00,"57,3","80,3","2,0",,"0,5",,,
19/04/2014 20.00,"50,4","66,9","1,6","7,8","1,6",,,
19/04/2014 21.00,"47,6","61,7","0,8",,"0,9",,,
19/04/2014 22.00,"65,5","90,3","0,8","15,6","0,4",,,
19/04/2014 23.00,"61,1","90,8","0,9",,"0,4",,,
20/04/2014 0.00,"51,6","71,7","0,8","14,2","0,4",,,
20/04/2014 1.00,"25,9","36,4","0,7",,"0,2",,,
20/04/2014 2.00,"18,5","27,7","0,7","15,6","0,1",,,
20/04/2014 3.00,"9,1","15,7",,,,,,
20/04/2014 4.00,,,"0,6","8,8",,,,
20/04/2014 5.00,"4,7","10,3","0,5",,,,,
20/04/2014 6.00,"13,2","22,7","0,6","9,8",,,,
20/04/2014 7.00,"5,9","12,9","0,6",,,,,
20/04/2014 8.00,"10,4","19,0","0,6","5,9",,,,
20/04/2014 9.00,"10,9","19,7","0,6",,,,,
20/04/2014 10.00,"15,3","27,4","0,6","4,4","0,1",,,
20/04/2014 11.00,"19,0","33,5","0,6",,,,,
20/04/2014 12.00,"17,2","28,4","0,6","6,8","0,2",,,
20/04/2014 13.00,"10,1","19,0","0,6",,,,,
20/04/2014 14.00,"4,9","12,6","0,6","8,3",,,,
20/04/2014 15.00,"7,7","15,7","0,6",,,,,
20/04/2014 16.00,"9,1","17,5","0,6","9,3",,,,
20/04/2014 17.00,"15,0","25,2","0,6",,,,,
20/04/2014 18.00,"20,0","30,2","0,6","12,2","0,1",,,
20/04/2014 19.00,"25,9","36,9","0,7",,"0,1",,,
20/04/2014 20.00,"25,3","36,3","0,7","14,7","0,2",,,
20/04/2014 21.00,"23,9","34,9","0,7",,"0,7",,,
20/04/2014 22.00,"24,8","38,8","0,7","8,3","0,2",,,
20/04/2014 23.00,"17,2","27,1","0,6",,"0,1",,,
21/04/2014 0.00,"10,1","17,8","0,6","10,7",,,,
21/04/2014 1.00,"6,6","13,4","0,6",,,,,
21/04/2014 2.00,"2,7","9,3","0,6","9,3",,,,
21/04/2014 3.00,"1,5","7,8","0,5",,,,,
21/04/2014 4.00,"1,1","7,8","0,5","4,4",,,,
21/04/2014 5.00,"1,8","8,1","0,5",,,,,
21/04/2014 6.00,"9,4","17,8","0,5","6,8",,,,
21/04/2014 7.00,"6,5","14,1","0,6",,,,,
21/04/2014 8.00,"6,6","14,5","0,6","4,9",,,,
21/04/2014 9.00,"7,4","15,5","0,6",,"0,1",,,
21/04/2014 10.00,"10,6","20,9","0,6","6,8","0,1",,,
21/04/2014 11.00,"11,5","22,2","0,6",,"0,1",,,
21/04/2014 12.00,"7,4","16,5","0,6","4,4","0,1",,,
21/04/2014 13.00,"3,5","11,0","0,6",,"0,1",,,
21/04/2014 14.00,"2,8","10,8","0,6","2,9",,,,
21/04/2014 15.00,"4,9","13,4","0,6",,,,,
21/04/2014 16.00,"8,2","16,7","0,6","10,3","0,1",,,
21/04/2014 17.00,"10,4","19,3","0,6",,,,,
21/04/2014 18.00,"16,6","25,8","1,0","5,9",,,,
21/04/2014 19.00,"20,1","29,6","1,6",,"0,4",,,
21/04/2014 20.00,"21,3","31,4","1,8","5,4","0,4",,,
21/04/2014 21.00,"17,1","26,5","1,0",,"0,2",,,
21/04/2014 22.00,"20,2","29,8","0,7","20,5","0,1",,,
21/04/2014 23.00,"16,5","26,4","0,7",,"0,2",,,
22/04/2014 0.00,"13,6","22,7","0,6","17,6","0,1",,,
22/04/2014 1.00,"9,5","17,5","0,6",,"0,1",,,
22/04/2014 2.00,"9,1","17,1","0,6","11,7",,,,
22/04/2014 3.00,"7,8","15,1",,,"0,1",,,
22/04/2014 4.00,,,"0,6","11,2","0,6",,,
22/04/2014 5.00,"28,8","39,5","0,6",,,,,
22/04/2014 6.00,"25,7","41,8","0,6","6,8","0,1",,,
22/04/2014 7.00,"38,4","60,2","0,7",,"0,1",,,
22/04/2014 8.00,"55,1","97,2","0,8","16,1","0,4",,,
22/04/2014 9.00,"47,5","86,0","0,8",,"0,5",,,
22/04/2014 10.00,"30,2","52,6","0,7","13,2","0,2",,,
22/04/2014 11.00,"14,8","26,6","0,6",,"0,8",,,
22/04/2014 12.00,"23,4","38,6","0,7","7,8","0,1",,,
22/04/2014 13.00,"23,6","40,0","0,7",,"0,3",,,
22/04/2014 14.00,"20,6","33,1","0,6","8,3","0,1",,,
22/04/2014 15.00,"21,6","32,4","0,7",,"0,2",,,
22/04/2014 16.00,"26,1","37,7","0,7","10,3","0,3",,,
22/04/2014 17.00,"35,8","47,5","0,7",,"0,3",,,
22/04/2014 18.00,"53,1","69,4","0,8","7,3","0,7",,,
22/04/2014 19.00,"66,3","89,3","0,9",,"0,5",,,
22/04/2014 20.00,"38,3","52,8","0,7","10,7","0,4",,,
22/04/2014 21.00,"51,5","68,7","0,8",,"0,4",,,
22/04/2014 22.00,"42,5","52,0","0,7","12,7","0,5",,,
22/04/2014 23.00,"41,1","56,9","0,8",,"0,2",,,
23/04/2014 0.00,"33,8","45,2","0,8","21,5","0,3",,,
23/04/2014 1.00,"14,8","21,7","0,6",,"0,2",,,
23/04/2014 2.00,"14,1","20,1","0,6","12,7",,,,
23/04/2014 3.00,"11,0","17,3","0,6",,"0,1",,,
23/04/2014 4.00,"11,6","18,4","0,7","20,5","0,2",,,
23/04/2014 5.00,"12,7","21,0","0,6",,"0,1",,,
23/04/2014 6.00,"23,7","34,9","0,6","17,6",,,,
23/04/2014 7.00,"33,3","49,9","0,7",,"0,1",,,
23/04/2014 8.00,"35,9","51,1","0,7","12,7","0,4",,,
23/04/2014 9.00,"29,3","43,7","0,7",,"0,4",,,
23/04/2014 10.00,"28,3","44,3","0,7","7,3","0,2",,,
23/04/2014 11.00,"27,5","43,7","0,7",,"0,3",,,
23/04/2014 12.00,"28,5","44,1","0,7","14,2","0,4",,,
23/04/2014 13.00,"21,5","34,7","0,7",,"0,5",,,
23/04/2014 14.00,"12,6","22,0","0,6","12,2","0,4",,,
23/04/2014 15.00,"14,8","26,2","0,6",,"0,2",,,
23/04/2014 16.00,"14,8","26,2","0,7","8,3","0,1",,,
23/04/2014 17.00,"22,1","35,7","0,7",,"0,2",,,
23/04/2014 18.00,"27,5","40,5","0,7","5,9","0,2",,,
23/04/2014 19.00,"23,3","34,1","0,6",,"0,4",,,
23/04/2014 20.00,"17,8","27,1","0,6","4,4","0,1",,,
23/04/2014 21.00,"15,6","23,3","0,6",,"0,1",,,
23/04/2014 22.00,"12,3","19,5","0,6","10,7","0,1",,,
23/04/2014 23.00,"18,7","28,2","0,6",,"0,1",,,
24/04/2014 0.00,"13,6","21,5","0,6","10,7","0,1",,,
24/04/2014 1.00,"10,2","16,6","0,6",,"0,1",,,
24/04/2014 2.00,"10,6","17,5","0,6","14,7","0,1",,,
24/04/2014 3.00,"4,0","10,4",,,"0,1",,,
24/04/2014 4.00,,,"0,5","15,1",,,,
24/04/2014 5.00,"6,6","14,1","0,6",,,,,
24/04/2014 6.00,"17,1","28,8","0,6","8,3","0,2",,,
24/04/2014 7.00,"21,0","31,2","0,6",,,,,
24/04/2014 8.00,"19,2","29,6","0,6","5,9","0,2",,,
24/04/2014 9.00,"15,7","27,6","0,6",,"0,1",,,
24/04/2014 10.00,"17,6","29,8","0,6","9,8","0,1",,,
24/04/2014 11.00,"18,4","31,4","0,6",,"0,1",,,
24/04/2014 12.00,"13,8","24,7","0,6","6,8","0,1",,,
24/04/2014 13.00,"13,8","25,4","0,6",,"0,2",,,
24/04/2014 14.00,"13,3","24,5","0,6","4,4",,,,
24/04/2014 15.00,"18,6","28,3","0,6",,"0,1",,,
24/04/2014 16.00,"45,9","71,0","0,7","9,8","0,1",,,
24/04/2014 17.00,"40,0","61,3","0,8",,"0,2",,,
24/04/2014 18.00,"35,5","50,2","0,7","6,8","0,3",,,
24/04/2014 19.00,"32,4","42,9","0,8",,"0,2",,,
24/04/2014 20.00,"23,4","31,9","0,8","4,4","0,3",,,
24/04/2014 21.00,"17,6","24,6","0,7",,"0,5",,,
24/04/2014 22.00,"26,5","33,8","0,7","3,4","0,1",,,
24/04/2014 23.00,"32,4","40,4","0,7",,"0,1",,,
25/04/2014 0.00,"23,6","31,5","0,7","3,9","0,2",,,
25/04/2014 1.00,"16,6","24,2","0,7",,"0,2",,,
25/04/2014 2.00,"13,9","21,1","0,7","6,8","0,2",,,
25/04/2014 3.00,"17,5","25,4","0,7",,"0,1",,,
25/04/2014 4.00,"26,3","40,5","0,8","10,7","0,1",,,
25/04/2014 5.00,"26,4","40,7","0,8",,"0,3",,,
25/04/2014 6.00,"23,6","36,3","0,7","9,8","0,1",,,
25/04/2014 7.00,"14,9","26,2","0,7",,"0,1",,,
25/04/2014 8.00,"6,3","14,0","0,6","9,8","0,1",,,
25/04/2014 9.00,"7,4","15,4","0,7",,"0,1",,,
25/04/2014 10.00,"23,0","35,5","0,7","6,3","0,2",,,
25/04/2014 11.00,"30,2","51,6","0,7",,"0,5",,,
25/04/2014 12.00,"21,0","32,9","0,7","13,2","0,2",,,
25/04/2014 13.00,"20,0","32,5","0,7",,"0,2",,,
25/04/2014 14.00,"13,7","22,7","0,6","7,8","0,1",,,
25/04/2014 15.00,"14,3","24,4","0,7",,"0,1",,,
25/04/2014 16.00,"20,5","31,9","0,7","5,9","0,2",,,
25/04/2014 17.00,"28,5","40,6","0,7",,"0,7",,,
25/04/2014 18.00,"49,1","67,1","1,1","3,9","0,2",,,
25/04/2014 19.00,"61,8","80,2","1,0",,"0,7",,,
25/04/2014 20.00,"94,1","141,6","1,1","3,9","0,6",,,
25/04/2014 21.00,"93,9","129,7","1,1",,"0,6",,,
25/04/2014 22.00,"58,6","76,1","0,9","7,8","0,8",,,
25/04/2014 23.00,"70,4","115,7","1,0",,"0,6",,,
26/04/2014 0.00,"54,0","82,0","0,9","11,7","0,8",,,
26/04/2014 1.00,"32,4","48,6","0,8",,"0,7",,,
26/04/2014 2.00,"22,8","32,9","0,7","12,7","0,1",,,
26/04/2014 3.00,"6,7","13,3",,,"0,1",,,
26/04/2014 4.00,,,"0,6","11,7","0,1",,,
26/04/2014 5.00,"6,9","13,7","0,6",,,,,
26/04/2014 6.00,"15,9","25,8","0,6","10,3",,,,
26/04/2014 7.00,"24,7","36,2","0,6",,,,,
26/04/2014 8.00,"18,7","29,1","0,6","16,1",,,,
26/04/2014 9.00,"29,7","42,2","0,7",,"0,1",,,
26/04/2014 10.00,"28,5","41,4","0,7","9,8","0,1",,,
26/04/2014 11.00,"30,1","45,1","0,7",,"0,2",,,
26/04/2014 12.00,"25,8","41,6","0,7","11,2","0,2",,,
26/04/2014 13.00,"29,2","47,8","0,7",,"0,1",,,
26/04/2014 14.00,"13,2","22,8","0,6","6,3","0,1",,,
26/04/2014 15.00,"12,4","21,3","0,6",,,,,
26/04/2014 16.00,"17,0","27,5","0,6","6,3","0,1",,,
26/04/2014 17.00,"51,0","74,7","0,8",,"0,1",,,
26/04/2014 18.00,"52,2","76,7","0,8","5,4","0,3",,,
26/04/2014 19.00,"66,9","102,5","0,9",,"0,2",,,
26/04/2014 20.00,"77,3","119,8","1,0","5,4","0,3",,,
26/04/2014 21.00,"74,5","122,4","0,9",,"0,5",,,
26/04/2014 22.00,"63,3","118,0","1,0","17,1","0,3",,,
26/04/2014 23.00,"86,3","183,2","1,2",,"0,8",,,
27/04/2014 0.00,"73,1","149,4","1,1","10,3","1,0",,,
27/04/2014 1.00,"69,3","165,7","1,1",,"0,5",,,
27/04/2014 2.00,"70,5","160,6","1,5","15,1","0,8",,,
27/04/2014 3.00,"63,4","109,2","1,0",,"0,9",,,
27/04/2014 4.00,"26,9","38,3","0,7","12,7","0,3",,,
27/04/2014 5.00,"30,9","48,4","0,7",,"0,2",,,
27/04/2014 6.00,"44,4","71,9","0,7","10,7","0,3",,,
27/04/2014 7.00,"30,6","50,7","0,7",,"0,3",,,
27/04/2014 8.00,"10,9","19,2","0,7","20,0","0,1",,,
27/04/2014 9.00,"6,2","13,5","0,6",,"0,2",,,
27/04/2014 10.00,"26,8","45,3","0,7","11,2","0,1",,,
27/04/2014 11.00,"19,9","33,5","0,7",,"0,1",,,
27/04/2014 12.00,"16,3","29,6","0,7","7,8","0,1",,,
27/04/2014 13.00,"11,1","20,9","0,6",,"0,1",,,
27/04/2014 14.00,"9,3","19,1","0,6","5,4","0,1",,,
27/04/2014 15.00,"8,6","17,9","0,6",,"0,1",,,
27/04/2014 16.00,"13,0","24,0","0,6","4,4","0,1",,,
27/04/2014 17.00,"35,8","60,6","0,8",,"0,1",,,
27/04/2014 18.00,"53,4","87,1","1,6","6,8","0,7",,,
27/04/2014 19.00,"61,4","99,7","1,6",,"0,8",,,
27/04/2014 20.00,"55,3","91,7","1,2","5,9","0,8",,,
27/04/2014 21.00,"42,7","67,7","1,0",,"0,5",,,
27/04/2014 22.00,"28,4","43,4","0,8","4,4","0,3",,,
27/04/2014 23.00,"30,4","48,7","0,7",,"0,2",,,
28/04/2014 0.00,"14,9","24,4","0,6","5,9","0,1",,,
28/04/2014 1.00,"8,3","15,2","0,6",,,,,
28/04/2014 2.00,"10,4","18,4","0,6","11,7",,,,
28/04/2014 3.00,"3,8","10,3",,,"0,1",,,
28/04/2014 4.00,,,"0,6","7,8","0,1",,,
28/04/2014 5.00,"13,6","22,5","0,6",,"0,1",,,
28/04/2014 6.00,"35,1","52,3","0,6","5,4",,,,
28/04/2014 7.00,"46,5","63,3","0,7",,"0,1",,,
28/04/2014 8.00,"58,2","90,6","0,8","3,9","0,3",,,
28/04/2014 9.00,"45,2","80,7","0,8",,"0,3",,,
28/04/2014 10.00,"30,4","50,8","0,7","2,9","0,1",,,
28/04/2014 11.00,"11,0","20,5","0,6",,"0,1",,,
28/04/2014 12.00,"17,3","28,3","0,7","2,9","0,1",,,
28/04/2014 13.00,"26,7","40,6","0,7",,"0,2",,,
28/04/2014 14.00,"24,0","37,6","0,7","3,4","0,1",,,
28/04/2014 15.00,"23,6","35,9","0,7",,"0,1",,,
28/04/2014 16.00,"28,8","41,5","0,7","7,8","0,1",,,
28/04/2014 17.00,"33,5","48,4","0,7",,"0,1",,,
28/04/2014 18.00,"28,9","43,4","0,7","4,4",,,,
28/04/2014 19.00,"60,9","96,5","0,9",,,,,
28/04/2014 20.00,"62,5","90,6","0,9","3,9",,,,
28/04/2014 21.00,"39,8","54,2","0,7",,,,,
28/04/2014 22.00,"26,2","40,4","0,7","10,7","0,1",,,
28/04/2014 23.00,"14,2","22,7","0,6",,"0,1",,,
29/04/2014 0.00,"13,9","23,8","0,6","6,3","0,1",,,
29/04/2014 1.00,"9,1","17,4","0,6",,"0,1",,,
29/04/2014 2.00,"10,0","20,4","0,6","6,3",,,,
29/04/2014 3.00,"2,8","9,8","0,6",,,,,
29/04/2014 4.00,"9,5","17,3","0,6","6,3",,,,
29/04/2014 5.00,"26,5","40,5","0,6",,"0,1",,,
29/04/2014 6.00,"44,8","73,8","0,7","4,4","0,1",,,
29/04/2014 7.00,"44,6","76,2","0,7",,"0,1",,,
29/04/2014 8.00,"18,7","29,8","0,6","3,9","0,1",,,
29/04/2014 9.00,"9,6","19,1","0,6",,"0,1",,,
29/04/2014 10.00,"27,3","52,1","0,8","3,9","0,1",,,
29/04/2014 11.00,"22,7","41,0","0,7",,"0,5",,,
29/04/2014 12.00,"24,9","45,9","0,7","13,7","0,3",,,
29/04/2014 13.00,"16,3","30,2","0,7",,"0,5",,,
29/04/2014 14.00,"10,8","21,5","0,6","7,8","0,3",,,
29/04/2014 15.00,"15,5","26,1","0,6",,"0,1",,,
29/04/2014 16.00,"24,3","37,6","0,7","4,4","0,1",,,
29/04/2014 17.00,"34,6","50,3","0,7",,"0,1",,,
29/04/2014 18.00,"41,7","56,5","0,8","3,4","0,2",,,
29/04/2014 19.00,"47,4","66,2","0,8",,"0,2",,,
29/04/2014 20.00,"45,6","61,0","0,8","2,4","0,4",,,
29/04/2014 21.00,"36,3","50,6","0,7",,"0,1",,,
29/04/2014 22.00,"46,2","66,8","0,9","2,9","0,1",,,
29/04/2014 23.00,"42,2","59,5","0,8",,"0,5",,,
30/04/2014 0.00,"20,2","29,1","0,7","2,4","0,2",,,
30/04/2014 1.00,"9,9","16,3","0,6",,"0,1",,,
30/04/2014 2.00,"7,2","13,8","0,6","5,9","0,1",,,
30/04/2014 3.00,"5,9","12,4",,,"0,1",,,
30/04/2014 4.00,,,"0,6","4,4",,,,
30/04/2014 5.00,"19,3","32,7","0,6",,"0,1",,,
30/04/2014 6.00,"31,0","42,2","0,6","5,9","0,2",,,
30/04/2014 7.00,"31,2","44,9","0,7",,"0,1",,,
30/04/2014 8.00,"17,9","28,9","0,7","3,4","0,1",,,
30/04/2014 9.00,"25,2","38,6","0,7",,"0,2",,,
30/04/2014 10.00,"18,2","30,6","0,6","5,9","0,1",,,
30/04/2014 11.00,"9,8","18,5","0,6",,"0,1",,,
30/04/2014 12.00,"24,1","37,7","0,7","4,4","0,1",,,
30/04/2014 13.00,"35,2","52,1","0,8",,"0,1",,,
30/04/2014 14.00,"20,5","32,0","0,6","3,9","0,1",,,
30/04/2014 15.00,"24,7","34,0","0,7",,"0,1",,,
30/04/2014 16.00,"29,2","40,6","0,7","3,4","0,1",,,
30/04/2014 17.00,"25,7","38,8","0,7",,"0,1",,,
30/04/2014 18.00,"30,2","43,7","0,9","2,4","0,1",,,
30/04/2014 19.00,"64,7","99,1","1,4",,"0,5",,,
30/04/2014 20.00,"72,8","117,7","1,1","2,4","1,3",,,
30/04/2014 21.00,"65,6","99,6","0,9",,"0,6",,,
30/04/2014 22.00,"57,0","94,5","0,9","10,7","0,4",,,
30/04/2014 23.00,"48,4","79,7","0,8",,"0,3",,,
01/05/2014 0.00,"30,5","46,4","0,7","9,3","0,1",,,
01/05/2014 1.00,"36,5","61,2","0,8",,"0,2",,,
01/05/2014 2.00,"34,7","58,5","0,8","10,3","0,3",,,
01/05/2014 3.00,"19,6","30,3","0,7",,"0,2",,,
01/05/2014 4.00,"6,5","12,8","0,6","6,8",,,,
01/05/2014 5.00,"15,4","23,3","0,6",,,,,
01/05/2014 6.00,"41,6","63,9","0,7",,"0,1",,,
01/05/2014 7.00,"41,4","72,0","0,8",,"0,2",,,
01/05/2014 8.00,"19,6","29,5","0,7",,"0,2",,,
01/05/2014 9.00,"7,3","15,1","0,6",,"0,1",,,
01/05/2014 10.00,"11,7","20,5","0,6","7,8","0,1",,,
01/05/2014 11.00,"20,2","32,2","0,6",,"0,1",,,
01/05/2014 12.00,"26,2","43,0","0,7","9,8",,,,
01/05/2014 13.00,"16,4","26,8","0,6",,"0,2",,,
01/05/2014 14.00,"9,4","17,9","0,6","6,8",,,,
