Stat,LECCE Piazza_libertini,,,,,,  ,
,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,
,,,,,
,,,,,
04/01/2014 5.00,"27,8","29,2","0,8",,"1,3",,,
04/01/2014 6.00,"44,0","64,5","0,8","29,8","1,4",,,
04/01/2014 7.00,"71,0","173,8","0,8",,"1,2",,,
04/01/2014 8.00,"75,7","235,7","1,2","31,3","1,3",,,
04/01/2014 9.00,"73,4","225,1","1,7",,"2,3",,,
04/01/2014 10.00,"57,8","121,0","1,1","42,5","3,9",,,
04/01/2014 11.00,"43,0","64,8","0,8",,"1,8",,,
04/01/2014 12.00,"50,5","81,9","0,8","23,0","2,6",,,
04/01/2014 13.00,"35,3","42,5","0,6",,"0,8",,,
04/01/2014 14.00,"39,7","53,3","0,6","12,7","1,1",,,
04/01/2014 15.00,"29,4","37,9","0,5",,"0,6",,,
04/01/2014 16.00,"48,6","68,0","0,7","15,1","0,6",,,
04/01/2014 17.00,"49,7","61,1","2,0",,"1,9",,,
04/01/2014 18.00,"59,7","71,7","2,4","21,0","2,2",,,
04/01/2014 19.00,"58,9","76,1","2,5",,"1,9",,,
04/01/2014 20.00,"58,0","72,5","1,7","34,7","2,4",,,
04/01/2014 21.00,"50,8","64,8","0,9",,"1,7",,,
04/01/2014 22.00,"40,4","48,8","0,7","28,3","1,3",,,
04/01/2014 23.00,"43,1","59,7","0,7",,"1,1",,,
05/01/2014 0.00,"34,6","48,6","0,7","21,0","0,7",,,
05/01/2014 1.00,"30,0","43,1","0,6",,"0,6",,,
05/01/2014 2.00,"14,6","22,4","0,5","23,9","0,3",,,
05/01/2014 3.00,"14,2","22,8","0,4",,"0,3",,,
05/01/2014 4.00,"7,1","14,3","0,4","12,7","0,2",,,
05/01/2014 5.00,"5,1","12,4","0,4",,"0,2",,,
05/01/2014 6.00,"5,6","13,3","0,4","11,2",,,,
05/01/2014 7.00,"15,4","33,8","0,4",,"0,1",,,
05/01/2014 8.00,"12,2","23,5","0,4","21,0","0,2",,,
05/01/2014 9.00,"10,7","20,4","0,4",,"0,4",,,
05/01/2014 10.00,"10,3","20,0","0,4","13,7","0,1",,,
05/01/2014 11.00,"13,2","25,2","0,4",,"0,2",,,
05/01/2014 12.00,"15,8","32,0","0,5","16,6","0,2",,,
05/01/2014 13.00,"16,3","30,9","0,5",,"0,4",,,
05/01/2014 14.00,"10,6","21,6","0,4","15,6","0,5",,,
05/01/2014 15.00,"9,0","19,5","0,4",,"0,3",,,
05/01/2014 16.00,"12,2","22,9","0,4","19,0","0,2",,,
05/01/2014 17.00,"14,9","27,6","0,5",,"0,4",,,
05/01/2014 18.00,"22,9","41,1","0,5","15,6","0,3",,,
05/01/2014 19.00,"25,1","38,4","0,5",,"0,4",,,
05/01/2014 20.00,"41,8","65,8","0,6","15,6","0,6",,,
05/01/2014 21.00,"48,0","80,8","0,7",,"0,7",,,
05/01/2014 22.00,"55,3","88,3","0,7","16,6","0,8",,,
05/01/2014 23.00,"44,8","69,4","0,7",,"0,8",,,
06/01/2014 0.00,"54,7","86,1","0,8","17,6","1,0",,,
06/01/2014 1.00,"52,2","75,8","0,8",,"1,0",,,
06/01/2014 2.00,"31,8","43,5","0,6","14,2","0,9",,,
06/01/2014 3.00,"15,6","23,8",,,"0,7",,,
06/01/2014 4.00,,,"0,5","12,2","0,5",,,
06/01/2014 5.00,"19,2","27,3","0,5",,"0,4",,,
06/01/2014 6.00,"24,7","37,3","0,5","15,6","0,3",,,
06/01/2014 7.00,"48,8","74,8","0,6",,"0,2",,,
06/01/2014 8.00,"59,9","96,5","0,7","9,3","0,4",,,
06/01/2014 9.00,"50,2","81,0","0,8",,"0,7",,,
06/01/2014 10.00,"51,8","100,1","0,8","11,2","1,5",,,
06/01/2014 11.00,"38,2","64,9","0,7",,"1,1",,,
06/01/2014 12.00,"37,8","63,3","0,6","9,8","1,3",,,
06/01/2014 13.00,"41,9","63,2","0,6",,"0,6",,,
06/01/2014 14.00,"32,6","51,5","0,5","5,9","0,8",,,
