,ARPA Puglia,,,
,Molfetta ASM,,,
Parm,SO2,NO2,O3,PM10
,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
05/01/2009 6.00,"0,01264233","5,77423235","45,23289435",
05/01/2009 7.00,"0,60142126","8,1869775","43,36018785",
05/01/2009 8.00,"0,49125066","13,2318048","36,9452454",
05/01/2009 9.00,"7,63244465","17,67960436","32,26407765",
05/01/2009 10.00,"1,3292668","14,1052695","38,1121608",
05/01/2009 11.00,"4,91070044","15,4472717","38,3691567",
05/01/2009 12.00,"6,44766406","13,55367279","43,3220634",
05/01/2009 13.00,"3,66993095","17,85223119","43,46225205",
05/01/2009 14.00,"3,89749588","18,04431454","44,46438045",
05/01/2009 15.00,"4,92876134","16,69841758","47,07487785",
05/01/2009 16.00,,"29,87830776","35,37009315",
05/01/2009 17.00,"1,35274526","48,15882504","16,10388339",
05/01/2009 18.00,"7,51324514","21,74712624","20,1452706",
05/01/2009 19.00,"1,89095387","32,42862896","8,16346818",
05/01/2009 20.00,"3,75662206","31,92894688","10,19234528",
05/01/2009 21.00,"0,04695794","24,79842968","17,42867312",
05/01/2009 22.00,,"13,94173805","28,0107975",
05/01/2009 23.00,"2,04988757","13,37327368","30,1823151",
06/01/2009 0.00,"1,23535092","12,7996125","30,80082495",
06/01/2009 1.00,,"9,67044477","33,1567803",
06/01/2009 2.00,"4,3435948",,"35,0786835",
06/01/2009 3.00,"1,97042021","6,81382882",,
06/01/2009 4.00,"3,01974657","4,87610477",,
06/01/2009 5.00,"1,84218973","4,52567914",,
06/01/2009 6.00,"5,66924819","4,57759377",,
06/01/2009 7.00,"16,19862345","5,48740367",,
06/01/2009 8.00,"8,25192681","8,76063678",,
06/01/2009 9.00,"2,86261804","13,07216618",,
06/01/2009 10.00,"6,29956649","14,63740013",,
06/01/2009 11.00,"8,53006106","10,69705302",,
06/01/2009 12.00,"8,58424275","11,1759746",,
06/01/2009 13.00,"5,34234982","13,45113988",,
06/01/2009 14.00,"5,28275057","12,25839986",,
06/01/2009 15.00,"3,10643769","7,85472353",,
06/01/2009 16.00,"2,30634955","13,981978",,
06/01/2009 17.00,"0,88136169","28,35979736",,
06/01/2009 18.00,"0,06863021","26,50381896",,
06/01/2009 19.00,"0,02528465","31,79135936",,
06/01/2009 20.00,"4,68674789","27,69918224",,
06/01/2009 21.00,"7,63425186","16,20522674",,
06/01/2009 22.00,"0,13545525","14,55303504",,
06/01/2009 23.00,"4,37068564","14,41027365",,
07/01/2009 0.00,"2,75425466","20,30909192",,
07/01/2009 1.00,"3,68437946","31,69011896",,
07/01/2009 2.00,"1,45388489","20,826938",,
07/01/2009 3.00,"0,4677722","8,16491302",,
07/01/2009 4.00,"0,24201346","7,90404166",,
07/01/2009 5.00,"0,75674258","8,68535942",,
07/01/2009 6.00,"5,63312741","21,22149832",,
07/01/2009 7.00,"3,53989427","49,71368256",,
07/01/2009 8.00,"4,85832392","62,64178528",,
07/01/2009 9.00,"0,79828195","61,25566176",,
07/01/2009 10.00,"2,05349996","54,06415176",,
07/01/2009 11.00,"12,4365879","30,43638232","25,387173",
07/01/2009 12.00,"19,80533259","22,72702624","35,2078398",
07/01/2009 13.00,"27,18854919","30,07558792","28,93549995",
07/01/2009 14.00,"31,07519775","34,32351656","25,3730883",
07/01/2009 15.00,"42,00914781","28,90100808","29,94512955",
07/01/2009 16.00,"19,91912472","19,58618384","39,58640595",
07/01/2009 17.00,"8,08757453","37,34755488","21,9560922",
07/01/2009 18.00,"5,80831684","58,14336552","3,30465167",
07/01/2009 19.00,"5,31887135","35,62138216","14,31414894",
07/01/2009 20.00,"4,70480777","36,6583936","9,5427653",
07/01/2009 21.00,"7,14841876","49,3295044","2,83724511",
07/01/2009 22.00,"9,75818822","53,28933288","0,56656803",
07/01/2009 23.00,"3,19493499","51,33991504","0,78553724",
08/01/2009 0.00,"1,0601625","38,86736544","4,74396237",
08/01/2009 1.00,,"44,54556568","1,34942798",
08/01/2009 2.00,,"45,1321864","4,1611331",
08/01/2009 3.00,"4,08532663","16,82821179",,
08/01/2009 4.00,"5,90042552","12,80090501","18,85152707",
08/01/2009 5.00,"2,67839968","12,14548288","22,42557555",
08/01/2009 6.00,"0,83440375","23,05927448","15,1642364",
08/01/2009 7.00,"3,00710425","26,35068688","17,29091238",
08/01/2009 8.00,"1,77355952","20,57644688","21,68666745",
08/01/2009 9.00,"10,58536314","29,85494312","17,51096487",
08/01/2009 10.00,,"60,83255528","1,52366729",
08/01/2009 11.00,"6,01962605","44,19643448","9,06123614",
08/01/2009 12.00,"7,91238611","27,05673112","18,09799163",
08/01/2009 13.00,"2,6928482","26,54796704","18,40476477",
08/01/2009 14.00,"9,61912059","30,54930504","16,51547184",
08/01/2009 15.00,"1,24257467","29,94060072","15,01694156",
08/01/2009 16.00,"2,45444712","29,98342952","13,6084955",
08/01/2009 17.00,"1,82232264","40,27037192","6,22376759",
08/01/2009 18.00,,"28,66868096",,
08/01/2009 19.00,,"26,44932696",,
08/01/2009 20.00,"3,87221021","18,85288404","14,17897971",
08/01/2009 21.00,"4,63256518","15,42260499","18,2907605",
08/01/2009 22.00,"3,76565302","16,38692602","18,30030258",
08/01/2009 23.00,"1,94694175","9,91444656","24,5750883",
09/01/2009 0.00,"5,9564134","9,59127458","23,9268729",
09/01/2009 1.00,"5,65660587","9,40048949","24,60511305",
09/01/2009 2.00,"3,48571157",,"29,7690309",
09/01/2009 3.00,"3,73494979","9,44461462","29,6912658",
