,SIMAGE Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NO2,PM10,NOX



02/01/2010 20.00,"0,48049385","9,17725393","16,89999962","12,79595102"
02/01/2010 21.00,"0,96973493","9,8677211","16,89999962","13,98397986"
02/01/2010 22.00,"0,9178364","11,98584426","16,89999962","16,34317946"
02/01/2010 23.00,"0,43501056","9,66136086","16,89999962","14,31081714"
03/01/2010 0.00,"0,37961356","8,17659534","16,89999962","12,8050311"
03/01/2010 1.00,"0,2670703","5,87416877","17,7999897","10,81158182"
03/01/2010 2.00,"0,32596579","5,88195634","17,7999897","11,08783714"
03/01/2010 3.00,"0,47058014","10,39465492","17,7999897","15,64929554"
03/01/2010 4.00,"0,76972357","9,69640399","17,7999897","15,08640847"
03/01/2010 5.00,"1,05253805","6,30506282","17,7999897","12,18378024"
03/01/2010 6.00,"0,6495996","4,82808489","17,7999897","10,69615055"
03/01/2010 7.00,"0,7947977","5,95204262","17,7999897","12,43669004"
03/01/2010 8.00,"0,68808593","6,50363741","17,7999897","12,2732714"
03/01/2010 9.00,"1,25138392","8,88133942","17,7999897","15,31337817"
03/01/2010 10.00,"0,61869398","7,68729734","17,7999897","13,70642821"
03/01/2010 11.00,"1,00297252","6,9527012","17,7999897","12,4418773"
03/01/2010 12.00,"1,3534297","8,03772296","17,7999897","13,67270626"
03/01/2010 13.00,"0,87410235","8,57504085","17,7999897","13,93728882"
03/01/2010 14.00,"0,57029495","7,05004112","17,7999897","11,40429799"
03/01/2010 15.00,"0,67292449","8,74376529","17,7999897","13,68178635"
03/01/2010 16.00,"0,4711639","7,42902055","17,7999897","11,18121922"
03/01/2010 17.00,"0,4577517","7,70936182","17,7999897","12,0333307"
03/01/2010 18.00,"0,64610112","8,2518727","17,7999897","13,30955437"
03/01/2010 19.00,"0,32071807","8,86706252","17,7999897","14,59485622"
03/01/2010 20.00,"0,42276487","10,22073558","17,7999897","16,68817309"
03/01/2010 21.00,"0,21867127","9,0967855","17,7999897","14,74400751"
03/01/2010 22.00,"0,14636359","14,87491259","17,7999897","23,12374712"
03/01/2010 23.00,"0,08630262","14,66205537","17,7999897","21,7658256"
04/01/2010 0.00,"0,27523376","14,71526633","17,7999897","21,38451544"
04/01/2010 1.00,,"9,32391389","31,2999897","13,57024601"
04/01/2010 2.00,"0,1226624",,"31,2999897",
04/01/2010 3.00,"0,36345749","7,15127578","31,2999897","11,50675825"
04/01/2010 4.00,"0,43097918","6,35308462","31,2999897","11,03984785"
04/01/2010 5.00,"0,1971302","5,82225414","31,2999897","10,84919277"
04/01/2010 6.00,"0,45942568","5,89882974","31,2999897","11,40170341"
04/01/2010 7.00,"0,53196016","8,33882854","31,2999897","13,87892502"
04/01/2010 8.00,"0,66392404","16,00665216","31,2999897","22,99535632"
04/01/2010 9.00,"0,98148128","45,98229984","31,2999897","67,99647512"
04/01/2010 10.00,"1,12999277","43,70323408","31,2999897","62,37148584"
04/01/2010 11.00,"0,95472604","18,18058851","31,2999897","25,85907344"
04/01/2010 12.00,"1,04537939","16,47259318","31,2999897","23,53100312"
04/01/2010 13.00,"0,52894068","16,69062618","31,2999897","22,92011912"
04/01/2010 14.00,"0,64731542","21,50701728","31,2999897","28,25327984"
04/01/2010 15.00,"0,77541267","26,92174392","31,2999897","36,28415784"
04/01/2010 16.00,"0,63426934","26,94640872","31,2999897","33,9469864"
04/01/2010 17.00,"1,09876883","18,31167141","31,2999897","23,66977608"
04/01/2010 18.00,"0,94602967","22,25330912","31,2999897","29,90953072"
04/01/2010 19.00,"0,82155497","22,66471416","31,2999897","30,40106768"
04/01/2010 20.00,"1,07901971","25,3396404","31,2999897","32,99243952"
04/01/2010 21.00,"1,06204802","21,52390024","31,2999897","28,39595328"
04/01/2010 22.00,"0,67219835","15,38108209","31,2999897","20,658204"
04/01/2010 23.00,"0,64749644","13,75224738","31,2999897","19,14852704"
05/01/2010 0.00,"0,61747969","8,65291278","31,2999897","13,64028257"
