,Provincia di Taranto,,,
,Martina Franca,,,
Parm,NO2,CO,O3,Benzene
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
,,,,,,,
05/01/2005 1.00,"17,069609",0,"55,973695","2,164581"
05/01/2005 2.00,"17,889866",0,"54,226894","2,212115"
05/01/2005 3.00,"13,137053",0,"62,28388","1,826557"
05/01/2005 4.00,"11,717187",0,,"1,954196"
05/01/2005 5.00,"11,8885",0,"62,352947","1,719164"
05/01/2005 6.00,"15,605606",0,"52,871431","1,898739"
05/01/2005 7.00,"20,477826",0,"46,647908","2,020216"
05/01/2005 8.00,"26,292293",0,"42,091308","2,484999"
05/01/2005 9.00,"35,063308",0,"31,751283","3,238508"
05/01/2005 10.00,"35,016577","0,004775","34,190052","3,266677"
05/01/2005 11.00,"34,853045",0,"39,66475","3,160165"
05/01/2005 12.00,"29,677126",0,"44,084573","2,926893"
05/01/2005 13.00,"30,022376",0,"47,111027","2,914569"
05/01/2005 14.00,"32,028887",0,"48,888973","3,197136"
05/01/2005 15.00,"26,481772",0,"59,21138","3,151362"
05/01/2005 16.00,"36,236587",0,"48,620842","3,128475"
05/01/2005 17.00,"51,245175","0,356328","27,228538","3,477942"
05/01/2005 18.00,"88,603128","5,017218","19,663106","6,077374"
05/01/2005 19.00,"59,842271","2,873151","17,710467","7,000776"
05/01/2005 20.00,"57,415255","2,412157","13,103769","6,614339"
05/01/2005 21.00,"62,292655","2,559383","13,801138","6,137233"
05/01/2005 22.00,"45,638368","1,2433","11,10916","5,86787"
05/01/2005 23.00,"39,286572","0,52325","9,138923","5,194465"
06/01/2005 0.00,"38,55458","0,248842","8,660921","4,643416"
06/01/2005 1.00,"37,648655","0,279166","7,703563","4,398702"
06/01/2005 2.00,,"0,009019","34,62472","3,674241"
06/01/2005 3.00,"34,244684",,"49,738003","2,29398"
06/01/2005 4.00,"17,788625","0,293822",,"2,075674"
06/01/2005 5.00,"13,630244","0,25069","60,296022","1,96828"
06/01/2005 6.00,"12,477734","0,269142","62,604796","1,800149"
06/01/2005 7.00,"13,163012","0,263225","61,164029","1,743812"
06/01/2005 8.00,"13,549775","0,280665","61,772025","1,996449"
06/01/2005 9.00,"16,950202","0,36646","53,046092","1,883775"
06/01/2005 10.00,"20,828237","0,524581","50,008824","2,464752"
06/01/2005 11.00,"16,187058","0,41979","60,239165","2,354719"
06/01/2005 12.00,"18,746456","0,607886","57,570195","2,669855"
06/01/2005 13.00,"21,108574","0,648447","56,922937","2,526371"
06/01/2005 14.00,"17,072204","0,444158","65,352293","2,767565"
06/01/2005 15.00,"11,649697","0,295378","73,942823","2,243805"
06/01/2005 16.00,"15,2448","0,410058","72,340896","2,296621"
06/01/2005 17.00,"21,0411","0,548716","61,112556","2,704186"
06/01/2005 18.00,"25,988572","0,679044","51,260029","3,044849"
06/01/2005 19.00,"35,675891","1,004941","35,49542","3,028123"
06/01/2005 20.00,"42,149674","1,271047","27,340936","3,794838"
06/01/2005 21.00,"33,845898","0,940867","33,160909","3,447131"
06/01/2005 22.00,"24,875005","0,616449","45,036506","2,91545"
06/01/2005 23.00,"22,681596","0,50107","44,944437","2,584468"
07/01/2005 0.00,"17,596553","0,401571","54,62771","2,740276"
07/01/2005 1.00,"15,449866","0,328778","55,881625","2,036941"
07/01/2005 2.00,"14,42195","0,302697","54,642611","2,193629"
07/01/2005 3.00,"10,17531","0,212309","60,060414","1,831839"
07/01/2005 4.00,"8,625659","0,212853",,"1,949795"
07/01/2005 5.00,"8,89821","0,227879","66,858078","1,830959"
07/01/2005 6.00,"11,299266","0,265326","65,703014","1,970041"
07/01/2005 7.00,"22,497298","0,532134","53,518689","1,805431"
07/01/2005 8.00,"27,089177","0,808594","48,03589","2,39345"
07/01/2005 9.00,"57,116753","1,864452","25,227155","3,577411"
07/01/2005 10.00,"33,529213","1,047994","42,069642","3,396957"
07/01/2005 11.00,"26,429861","0,692046","50,29455","2,970026"
07/01/2005 12.00,"24,194926","0,696872","55,216753","2,531653"
07/01/2005 13.00,"26,993137","0,6908","52,706226","2,890802"
07/01/2005 14.00,"30,403935","0,860911","49,980376","3,099425"
07/01/2005 15.00,"25,59143","0,515239","54,367719","2,887281"
07/01/2005 16.00,"24,314329","0,539918","54,910719","2,435704"
07/01/2005 17.00,"27,958754","0,711586","49,295193","2,757002"
07/01/2005 18.00,"30,798495","0,997077","41,257179","3,218262"
07/01/2005 19.00,"34,287189","1,101248","37,258461","3,47442"
07/01/2005 20.00,"38,88943","1,21577","30,212997","3,580052"
07/01/2005 21.00,"39,995213","1,177233","26,494617","3,73498"
07/01/2005 22.00,"34,6376","0,925687","27,747158","3,510511"
07/01/2005 23.00,"25,630359","0,641285","35,063462","3,169848"
08/01/2005 0.00,"18,728289","0,459885","48,184816","2,693622"
08/01/2005 1.00,"15,107226","0,418076","52,336551","2,318628"
08/01/2005 2.00,,"0,306356","52,863292","2,124088"
08/01/2005 3.00,"26,257993",,"52,859239","2,291339"
08/01/2005 4.00,"15,327864","0,317604",,"2,097681"
08/01/2005 5.00,"13,926164","0,309828","50,266098","1,988527"
08/01/2005 6.00,"12,088377","0,259602","57,331889","1,875852"
08/01/2005 7.00,"18,338932","0,381358","49,407593","1,749974"
08/01/2005 8.00,"25,819858","0,654255","41,8557","2,857352"
08/01/2005 9.00,"43,834318","1,346375","26,291487","3,323014"
08/01/2005 10.00,"30,933465","0,936327","38,876644","3,417202"
08/01/2005 11.00,"28,467519","0,854536","45,445443","3,028125"
08/01/2005 12.00,"28,233891","0,820248","51,854479","3,193615"
08/01/2005 13.00,"34,889371","0,895587","50,910666","3,064215"
08/01/2005 14.00,"40,807681","1,167164","47,330379","3,255233"
08/01/2005 15.00,"32,766076","0,718009","56,922937","3,235867"
08/01/2005 16.00,"32,405264","0,80501","53,670347","2,646087"
08/01/2005 17.00,"42,206787","1,112895","31,939513","3,4753"
08/01/2005 18.00,"60,247213","2,800431","13,083459","4,558911"
08/01/2005 19.00,"58,861071","2,949941","11,484251","5,500798"
08/01/2005 20.00,"50,427507","3,329354","12,099017","5,249923"
08/01/2005 21.00,"48,24448","2,836427","9,371832","5,495517"
08/01/2005 22.00,"41,256754","2,217081","9,268919","5,059784"
08/01/2005 23.00,"40,034143","2,059408","8,211357","4,98144"
09/01/2005 0.00,"38,092527","1,32787","7,023796","4,109094"
09/01/2005 1.00,"38,982888","1,166618","8,189688","3,756986"
09/01/2005 2.00,"36,610364","1,154257","7,237746","3,712093"
09/01/2005 3.00,"36,431267","0,963773","6,904633","3,152242"
09/01/2005 4.00,"36,566233","0,805943",,"3,084461"
09/01/2005 5.00,"34,432537","0,759216","7,520757","2,959463"
09/01/2005 6.00,"29,069722","0,665295","9,159236","2,927773"
09/01/2005 7.00,"33,010069","0,584749","8,723212","2,367923"
09/01/2005 8.00,"28,496065","0,689398","6,108415","2,564222"
09/01/2005 9.00,"49,202318","1,236437","11,950062","2,575666"
09/01/2005 10.00,"25,446061","0,65993","43,333035","3,017561"
09/01/2005 11.00,"22,437587","0,716999","43,070334","2,587989"
09/01/2005 12.00,"22,216961","0,789459","54,458434","3,035166"
09/01/2005 13.00,"21,915859","0,703236","70,373369","2,866154"
09/01/2005 14.00,"24,719253","0,729672","73,031487","2,873197"
09/01/2005 15.00,"15,673097","0,517652","85,701949","2,520209"
09/01/2005 16.00,"22,377895","0,65993","67,601493","2,633763"
09/01/2005 17.00,"26,7102","0,778498","53,04745","3,028123"
09/01/2005 18.00,"38,235294","1,176105","34,039726","3,24467"
09/01/2005 19.00,"29,531776","0,90072","44,99589","3,698008"
09/01/2005 20.00,"31,675854","0,929174","40,065544","3,345021"
09/01/2005 21.00,"31,361769","0,868452","44,014147","3,181291"
09/01/2005 22.00,"31,84199","0,784873","44,038527","3,163685"
09/01/2005 23.00,"25,713416","0,642282","46,796854","2,98147"
10/01/2005 0.00,"24,66216","0,683488","44,015506","2,816859"
10/01/2005 1.00,"19,657558","0,480875","44,398723","2,49116"
10/01/2005 2.00,,"0,480254","45,954585","2,631123"
10/01/2005 3.00,"27,954797",,"59,329207","2,229721"
10/01/2005 4.00,"15,008589","0,346053",,"2,059829"
10/01/2005 5.00,"13,199356","0,303377","61,689411","2,168982"
10/01/2005 6.00,"12,784039","0,315171","59,22764","1,817754"
10/01/2005 7.00,"23,278618","0,647258","43,741972","1,981485"
10/01/2005 8.00,"49,106278","1,85875","16,690819","3,368788"
10/01/2005 9.00,"61,74756","2,493361","10,184297","4,146946"
10/01/2005 10.00,"40,927086","1,147326","23,824291","4,255219"
10/01/2005 11.00,"30,131398","0,692726","40,634278","3,053652"
10/01/2005 12.00,"25,68747","0,568969","49,418423","2,736755"
10/01/2005 13.00,"31,281294","0,660525","46,137408","2,526371"
10/01/2005 14.00,"30,9153","0,741064","46,286353","2,984991"
10/01/2005 15.00,"26,564829","0,502319","48,937728","2,838866"
10/01/2005 16.00,"29,386407","0,655249","43,083881","2,909288"
10/01/2005 17.00,"31,740746","0,801274","37,992401","3,219143"
10/01/2005 18.00,"37,765478","1,010767","31,935441","3,462976"
10/01/2005 19.00,"43,242478","1,393675","22,01249","3,674241"
10/01/2005 20.00,"41,550074","1,396003","17,874317","3,916315"
10/01/2005 21.00,"43,239896","1,384442","11,488313","3,658396"
10/01/2005 22.00,"38,964705","1,431927","8,056985","4,092369"
10/01/2005 23.00,"32,618109","1,130333","7,820015","3,827408"
11/01/2005 0.00,"28,166399","1,014726","8,692065","3,602939"
11/01/2005 1.00,"24,85684","0,762479","14,935891","3,460336"
11/01/2005 2.00,"16,303863","0,398503","29,231279","2,667214"
11/01/2005 3.00,"13,918373","0,396874","20,034128","2,528132"
11/01/2005 4.00,"13,012458","0,372898",,"2,124969"
11/01/2005 5.00,"15,179905","0,337983","25,934003","1,897859"
11/01/2005 6.00,"17,627697","0,313775","30,187282","1,977963"
11/01/2005 7.00,"50,54173","0,986947","8,846434","2,42514"
11/01/2005 8.00,"57,23354","1,540476","9,470684","3,593256"
11/01/2005 9.00,"53,002493","1,877295","11,254045","4,483208"
11/01/2005 10.00,"42,616912","1,302895","17,151215","4,09413"
11/01/2005 11.00,"31,893899","0,819275","27,990907","3,34238"
11/01/2005 12.00,"31,927625","0,723761","37,016088","3,205058"
11/01/2005 13.00,"37,017906","0,856518","36,555683","3,226184"
11/01/2005 14.00,"35,779713","1,036838","38,218534","3,528997"
11/01/2005 15.00,"33,448737","0,669604","39,769007","3,347662"
11/01/2005 16.00,"39,001031","0,916417","33,805476","2,790452"
11/01/2005 17.00,"44,934923","1,266194","23,258269","3,521075"
11/01/2005 18.00,"55,042749","1,781317","14,396948","3,885505"
11/01/2005 19.00,"45,59942","1,690769","14,86006","3,893428"
11/01/2005 20.00,"43,156821","1,439298","17,59808","4,119657"
11/01/2005 21.00,"36,535089","0,995948","18,673249","3,789557"
11/01/2005 22.00,"38,336535","1,001147","15,041512","3,621425"
11/01/2005 23.00,"30,71802","0,746805","19,772788","3,019321"
12/01/2005 0.00,"21,196833","0,603729","33,281429","2,975308"
12/01/2005 1.00,"16,462206","0,476947","44,007386","2,722671"
12/01/2005 2.00,,"0,358623","51,892386","2,13201"
12/01/2005 3.00,"26,348163",,"56,964912","2,273734"
12/01/2005 4.00,"14,00404","0,26019",,"2,047505"
12/01/2005 5.00,"12,07799","0,255528","61,302141","1,982365"
12/01/2005 6.00,"13,671776","0,264928","58,407038","1,99733"
12/01/2005 7.00,"26,240364","0,475473","40,121065","2,110884"
12/01/2005 8.00,"39,546144","0,780646","21,94883","2,441865"
12/01/2005 9.00,"46,219807","1,335364","16,652908","2,996435"
12/01/2005 10.00,"37,308626","1,032523","25,442454","3,809803"
12/01/2005 11.00,"32,379299","0,748404","38,715488","2,809817"
12/01/2005 12.00,"34,455903","0,702798","39,87191","3,167206"
12/01/2005 13.00,"36,94521","0,7916","41,194873","2,626722"
12/01/2005 14.00,"42,648056","1,238561","33,086438","3,085341"
12/01/2005 15.00,"42,144496","0,835574","34,107457","3,480582"
12/01/2005 16.00,"45,165951","1,118061","32,320018","3,466497"
12/01/2005 17.00,"47,603331","1,447939","30,860276","3,517554"
12/01/2005 18.00,"54,427544","1,840437","18,116704","4,175114"
12/01/2005 19.00,"56,405508","2,140404","18,598772","4,325641"
