,SIMAGE Brindisi,,,,,,
,Torchiarolo,,,,,,
Parm,SO2,NOX,NO2,CO,PM10,O3,BENZENE
,,,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,
01/01/2009 1.00,"1,8","70,0","61,8","3,5","112,0",,
01/01/2009 2.00,"0,8","54,6","46,9","2,5","112,0",,
01/01/2009 3.00,"0,8","44,8","37,2","2,0","112,0",,
01/01/2009 4.00,"0,6","39,3","31,8","1,7","112,0",,
01/01/2009 5.00,"0,4","32,0","24,5","1,3","112,0",,
01/01/2009 6.00,"0,4","28,0","20,5","1,1","112,0",,
01/01/2009 7.00,"0,3","25,8","18,3","0,9","112,0",,
01/01/2009 8.00,"0,3","26,2","18,6","0,7","112,0",,
01/01/2009 9.00,"0,4","27,4","19,9","0,7","112,0",,
01/01/2009 10.00,"0,6","27,8","20,3","0,9","112,0",,
01/01/2009 11.00,"0,9","28,6","21,2","0,9","112,0",,
01/01/2009 12.00,"0,8","28,5","21,1","0,7","112,0",,
01/01/2009 13.00,"0,7","26,9","19,7","0,7","112,0",,
01/01/2009 14.00,"0,8","26,1","18,7","0,6","112,0",,
01/01/2009 15.00,"0,6","24,9","17,5","0,6","112,0",,
01/01/2009 16.00,"0,6","25,4","17,9","0,6","112,0",,
01/01/2009 17.00,"0,6","31,7","24,2","1,0","112,0",,
01/01/2009 18.00,"0,5","38,9","31,5","1,2","112,0",,
01/01/2009 19.00,"0,5","43,8","36,4","1,4","112,0",,
01/01/2009 20.00,"0,5","45,5","38,1","1,3","112,0",,
01/01/2009 21.00,"0,3","38,4","30,9","1,1","112,0",,
01/01/2009 22.00,"0,3","34,2","26,7","1,0","112,0",,
01/01/2009 23.00,"0,3","29,6","22,2","0,8","112,0",,
02/01/2009 0.00,"0,5","26,6","19,0","0,6","112,0",,
02/01/2009 1.00,,"23,1","15,6","0,5","72,7",,
02/01/2009 2.00,"0,1","20,8","13,2",,"72,7",,
02/01/2009 3.00,"0,1","18,6","10,9","0,2","72,7",,
02/01/2009 4.00,"0,1",,,"0,2","72,7",,
02/01/2009 5.00,"0,0","16,7","9,3","0,1","72,7",,
02/01/2009 6.00,"0,1","16,5","9,1","0,2","72,7",,
02/01/2009 7.00,"0,0","17,1","9,7","0,2","72,7",,
02/01/2009 8.00,"0,0","19,3","11,8","0,2","72,7",,
02/01/2009 9.00,"0,1","21,3","13,8","0,2","72,7",,
02/01/2009 10.00,"0,1","20,3","12,8","0,4","72,7",,
02/01/2009 11.00,"0,1","20,8","13,4","0,3","72,7",,
02/01/2009 12.00,"0,1","20,1","12,9","0,5","72,7",,
02/01/2009 13.00,"0,1","23,4","16,3","0,7","72,7",,
02/01/2009 14.00,"0,0","22,9","15,6","0,6","72,7",,
02/01/2009 15.00,"0,0","21,0","13,6","0,6","72,7",,
02/01/2009 16.00,"0,1","20,9","13,5","0,6","72,7",,
02/01/2009 17.00,"0,0","24,1","16,6","0,9","72,7",,
02/01/2009 18.00,"0,1","32,6","25,2","1,3","72,7",,
02/01/2009 19.00,"0,4","46,9","39,5","2,1","72,7",,
02/01/2009 20.00,"0,6","52,2","44,8","2,5","72,7",,
02/01/2009 21.00,"0,6","55,8","48,3","2,5","72,7",,
02/01/2009 22.00,"0,6","68,8","61,1","2,7","72,7",,
02/01/2009 23.00,"0,9","67,2","59,5","2,4","72,7",,
03/01/2009 0.00,"0,9","58,7","51,1","2,1","72,7",,
03/01/2009 1.00,"0,6","45,1","37,6","1,6","21,2",,
03/01/2009 2.00,"0,5","31,3","23,8","1,0","21,2",,
03/01/2009 3.00,"0,5","24,4","16,7","0,7","21,2",,
03/01/2009 4.00,"0,5","20,4","12,7","0,4","21,2",,
03/01/2009 5.00,"0,2","18,1","10,5","0,5","21,2",,
03/01/2009 6.00,"0,4","17,8","10,2","0,5","21,2",,
03/01/2009 7.00,"0,2","20,1","12,4","0,6","21,2",,
03/01/2009 8.00,"0,5","27,4","19,8","0,8","21,2",,
03/01/2009 9.00,"0,6","31,1","23,5","0,8","21,2",,
03/01/2009 10.00,"0,6","25,8","18,2","0,8","21,2",,
03/01/2009 11.00,"0,5","26,6","19,0","0,8","21,2",,
03/01/2009 12.00,"0,4","23,7","16,1","0,6","21,2",,
03/01/2009 13.00,"0,4","21,3","13,7","0,7","21,2",,
03/01/2009 14.00,"0,5","21,8","14,1","0,7","21,2",,
03/01/2009 15.00,"0,4","19,0","11,3","0,6","21,2",,
03/01/2009 16.00,"0,3","18,1","10,4","0,6","21,2",,
03/01/2009 17.00,"0,3","17,6","10,0","0,6","21,2",,
03/01/2009 18.00,"0,3","17,7","10,2","0,6","21,2",,
03/01/2009 19.00,"0,1","17,5","10,0","0,6","21,2",,
03/01/2009 20.00,"0,2","16,9","9,4","0,5","21,2",,
03/01/2009 21.00,"0,2","16,5","8,9","0,5","21,2",,
03/01/2009 22.00,"0,4","15,9","8,4","0,6","21,2",,
03/01/2009 23.00,"0,2","15,4","7,9","0,5","21,2",,
04/01/2009 0.00,"0,1","14,8","7,3","0,4","21,2",,
04/01/2009 1.00,,"14,3","6,6","0,4","32,8",,
04/01/2009 2.00,"0,2","14,4","6,7",,"32,8",,
04/01/2009 3.00,"0,2","14,1","6,5","0,2","32,8",,
04/01/2009 4.00,"0,1",,,"0,1","32,8",,
04/01/2009 5.00,"0,1","13,3","6,4","0,2","32,8",,
04/01/2009 6.00,"0,1","13,5","6,4","0,1","32,8",,
04/01/2009 7.00,"0,2","13,7","6,4","0,0","32,8",,
04/01/2009 8.00,"0,2","14,2","7,0",,"32,8",,
04/01/2009 9.00,"0,2","15,6","8,3",,"32,8",,
04/01/2009 10.00,"0,2","16,0","8,5",,"32,8",,
04/01/2009 11.00,"0,2","16,3","8,8",,"32,8",,
04/01/2009 12.00,"0,3","16,2","8,8",,"32,8",,
04/01/2009 13.00,"0,4","16,6","9,3","0,1","32,8",,
04/01/2009 14.00,"0,2","16,1","8,7","0,3","32,8",,
04/01/2009 15.00,"0,2","15,9","8,4","0,2","32,8",,
04/01/2009 16.00,"0,3","15,9","8,4","0,3","32,8",,
04/01/2009 17.00,"0,4","16,9","9,5","0,3","32,8",,
04/01/2009 18.00,"0,3","17,0","9,6","0,4","32,8",,
04/01/2009 19.00,"0,2","18,3","10,9","0,5","32,8",,
04/01/2009 20.00,"0,3","22,4","14,9","0,7","32,8",,
04/01/2009 21.00,"0,3","28,2","20,7","1,0","32,8",,
04/01/2009 22.00,"0,4","33,0","25,4","1,5","32,8",,
04/01/2009 23.00,"0,3","34,2","26,7","1,6","32,8",,
05/01/2009 0.00,"0,1","31,5","24,0","1,2","32,8",,
05/01/2009 1.00,"0,1","25,6","17,9","0,8","59,7",,
05/01/2009 2.00,"0,1","21,7","13,9","0,8","59,7",,
05/01/2009 3.00,"0,1","19,4","11,5","0,5","59,7",,
05/01/2009 4.00,"0,0","17,0","8,9","0,3","59,7",,
05/01/2009 5.00,"0,1","18,4","10,4","0,3","59,7",,
05/01/2009 6.00,"0,1","18,6","10,6","0,2","59,7",,
05/01/2009 7.00,"0,2","19,9","11,8","0,1","59,7",,
05/01/2009 8.00,"0,3","25,2","17,4","0,0","59,7",,
05/01/2009 9.00,"0,5","40,4","32,5","0,4","59,7",,
05/01/2009 10.00,"0,9","34,5","28,3","0,1","59,7",,
05/01/2009 11.00,"0,7","26,9","19,8","0,0","59,7",,
05/01/2009 12.00,"0,9","22,9","15,7","0,1","59,7",,
05/01/2009 13.00,"1,1","21,5","14,9","0,1","59,7",,
05/01/2009 14.00,"1,2","20,6","13,9","0,2","59,7",,
05/01/2009 15.00,"0,8","18,2","11,6","0,1","59,7",,
05/01/2009 16.00,"0,7","17,2","10,4","0,2","59,7",,
05/01/2009 17.00,"0,5","20,4","13,4","0,2","59,7",,
05/01/2009 18.00,"0,6","28,9","21,6","0,9","59,7",,
05/01/2009 19.00,"1,0","58,2","50,6","1,7","59,7",,
05/01/2009 20.00,"0,8","54,5","46,7","1,7","59,7",,
05/01/2009 21.00,"0,5","40,6","33,2","1,3","59,7",,
05/01/2009 22.00,"0,6","32,9","25,4","0,8","59,7",,
05/01/2009 23.00,"0,8","27,9","20,5","0,7","59,7",,
06/01/2009 0.00,"1,4","23,0","15,6","0,4","59,7",,
06/01/2009 1.00,,"19,1","11,6","0,2","114,3",,
06/01/2009 2.00,"0,8","17,7","10,3",,"114,3",,
06/01/2009 3.00,"0,9","16,3","8,9","0,3","114,3",,
06/01/2009 4.00,"0,8",,,"0,2","114,3",,
06/01/2009 5.00,"0,8","15,0","8,1","0,2","114,3",,
06/01/2009 6.00,"0,7","15,2","7,9","0,2","114,3",,
06/01/2009 7.00,"1,0","14,9","7,6","0,2","114,3",,
06/01/2009 8.00,"0,9","15,2","7,9","0,1","114,3",,
06/01/2009 9.00,"0,9","16,2","9,0","0,2","114,3",,
06/01/2009 10.00,"0,9","16,7","9,2","0,2","114,3",,
06/01/2009 11.00,"0,9","18,6","11,2","0,3","114,3",,
06/01/2009 12.00,"1,0","19,5","12,4","0,3","114,3",,
06/01/2009 13.00,"1,2","16,9","10,3","0,3","114,3",,
06/01/2009 14.00,"1,1","15,0","8,3","0,3","114,3",,
06/01/2009 15.00,"1,1","14,2","7,4","0,4","114,3",,
06/01/2009 16.00,"1,2","16,7","9,9","0,3","114,3",,
06/01/2009 17.00,"1,0","17,5","10,6","0,4","114,3",,
06/01/2009 18.00,"1,0","29,6","22,3","1,5","114,3",,
06/01/2009 19.00,"1,9","58,3","50,5","2,9","114,3",,
06/01/2009 20.00,"2,5","67,1","58,8","3,5","114,3",,
06/01/2009 21.00,"3,4","80,8","72,2","4,3","114,3",,
