Stat,LECCE-Via Garigliano,,,,,,,,  ,
Parm,SO2,NO2,NOX,CO,PM10,BENZENE,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver,,,
16/03/2014 12.00,"2,8","6,2","8,1","0,7","29,5","0,3","18,4",,,
16/03/2014 13.00,"3,3","5,0","6,7","0,7","29,5","0,3","18,4",,,
16/03/2014 14.00,"3,0","5,3","7,2","0,7","29,5","0,2","18,4",,,
16/03/2014 15.00,"2,8","4,7","6,5","0,7","29,5","0,2","18,4",,,
16/03/2014 16.00,"3,2","9,9","12,1","0,7","29,5","0,2","18,4",,,
16/03/2014 17.00,"2,9","9,3","10,9","0,7","29,5","0,2","18,4",,,
16/03/2014 18.00,"2,8","9,2","10,9","0,8","29,5","0,1","18,4",,,
16/03/2014 19.00,"2,7","11,4","13,4","0,8","29,5","0,1","18,4",,,
16/03/2014 20.00,"2,4","8,7","10,6","0,8","29,5","0,1","18,4",,,
16/03/2014 21.00,"2,1","7,6","9,2","0,8","29,5","0,1","18,4",,,
16/03/2014 22.00,"2,3","9,3","11,1","0,8","29,5","0,2","18,4",,,
16/03/2014 23.00,"2,1","11,9","13,8","0,8","29,5","0,1","18,4",,,
17/03/2014 0.00,"2,0","7,7","9,4","0,8","29,5","0,1","18,4",,,
17/03/2014 1.00,"2,3","7,3","8,8","0,8","45,9","0,3","29,6",,,
17/03/2014 2.00,"2,0",,,"0,9","45,9","0,3","29,6",,,
17/03/2014 3.00,,"14,6","16,4","0,8","45,9","0,3","29,6",,,
17/03/2014 4.00,"1,8","23,4","25,4",,"45,9","0,3","29,6",,,
17/03/2014 5.00,"1,6","28,3","30,2","0,8","45,9","0,3","29,6",,,
17/03/2014 6.00,"1,6","36,5","40,3","0,9","45,9","0,4","29,6",,,
17/03/2014 7.00,"1,7","31,6","36,3","1,0","45,9","0,6","29,6",,,
17/03/2014 8.00,"1,6","21,9","26,4","0,8","45,9","0,6","29,6",,,
17/03/2014 9.00,"2,4","14,2","17,1","0,8","45,9","0,6","29,6",,,
17/03/2014 10.00,"2,5","10,2","12,3","0,8","45,9","0,5","29,6",,,
17/03/2014 11.00,"2,3","9,3","11,6","0,8","45,9","0,3","29,6",,,
17/03/2014 12.00,"2,5","10,1","12,7","0,8","45,9","0,3","29,6",,,
17/03/2014 13.00,"2,4","13,4","16,1","0,8","45,9","0,6","29,6",,,
17/03/2014 14.00,"2,1","8,9","11,0","0,8","45,9","0,9","29,6",,,
17/03/2014 15.00,"2,3","10,9","13,6","0,8","45,9","0,2","29,6",,,
17/03/2014 16.00,"1,9","9,4","11,9","0,9","45,9","0,8","29,6",,,
17/03/2014 17.00,"1,6","11,7","14,4","0,9","45,9","0,8","29,6",,,
17/03/2014 18.00,"1,6","22,9","25,3","0,9","45,9","0,3","29,6",,,
17/03/2014 19.00,"1,8","45,8","49,4","1,0","45,9",,"29,6",,,
17/03/2014 20.00,"2,0","95,3","106,9","1,2","45,9",,"29,6",,,
17/03/2014 21.00,"2,3","90,3","106,5","1,3","45,9","0,1","29,6",,,
17/03/2014 22.00,"1,9","43,4","46,0","1,0","45,9","0,1","29,6",,,
17/03/2014 23.00,"1,9","73,1","78,0","1,2","45,9",,"29,6",,,
18/03/2014 0.00,"1,8","44,7","47,7","1,1","45,9","0,1","29,6",,,
18/03/2014 1.00,"1,7","38,5","41,8","1,2","59,5","0,1","44,5",,,
18/03/2014 2.00,"1,6","11,5","14,0","0,9","59,5","0,9","44,5",,,
18/03/2014 3.00,"1,7","31,9","35,0","1,0","59,5","0,4","44,5",,,
18/03/2014 4.00,"1,7","28,2","31,7","1,1","59,5","0,7","44,5",,,
18/03/2014 5.00,"1,6","34,8","38,0","1,1","59,5","0,1","44,5",,,
18/03/2014 6.00,"1,8","47,0","54,8","1,1","59,5","0,4","44,5",,,
18/03/2014 7.00,"2,1","54,2","75,4","1,2","59,5","0,1","44,5",,,
18/03/2014 8.00,"2,3","37,5","49,2","1,1","59,5","0,2","44,5",,,
18/03/2014 9.00,"2,3","13,9","18,0","0,9","59,5","1,4","44,5",,,
18/03/2014 10.00,"2,6","13,2","17,4","0,9","59,5","0,8","44,5",,,
18/03/2014 11.00,"3,2","14,7","18,7","0,9","59,5","1,2","44,5",,,
18/03/2014 12.00,"2,4","12,5","15,3","0,9","59,5","1,3","44,5",,,
18/03/2014 13.00,"2,2","13,5","16,4","0,9","59,5","1,3","44,5",,,
18/03/2014 14.00,"2,8","12,3","15,2","0,9","59,5","0,8","44,5",,,
18/03/2014 15.00,"2,3","13,3","16,2",,"59,5","1,0","44,5",,,
18/03/2014 16.00,"2,5","14,9","17,9","0,9","59,5","1,1","44,5",,,
18/03/2014 17.00,"2,2","13,8","16,5","0,9","59,5","1,0","44,5",,,
18/03/2014 18.00,"2,1","50,2","54,9","1,1","59,5",,"44,5",,,
18/03/2014 19.00,"2,3","70,7","78,0","1,3","59,5","0,7","44,5",,,
18/03/2014 20.00,"2,1","82,3","89,0","1,3","59,5","0,2","44,5",,,
18/03/2014 21.00,"2,1","66,0","71,5","1,2","59,5","0,2","44,5",,,
18/03/2014 22.00,"1,7","44,0","46,8","1,1","59,5","0,1","44,5",,,
18/03/2014 23.00,"1,8","30,9","33,8","1,0","59,5","0,2","44,5",,,
19/03/2014 0.00,"1,7","18,7","21,1","0,9","59,5","0,2","44,5",,,
19/03/2014 1.00,"1,7","7,8","10,5","0,8","30,0","0,1","20,6",,,
19/03/2014 2.00,"1,3",,,"0,8","30,0",,"20,6",,,
19/03/2014 3.00,,"10,4","12,5","0,8","30,0","0,6","20,6",,,
19/03/2014 4.00,"2,7","11,3","13,7",,"30,0",,"20,6",,,
19/03/2014 5.00,"2,6","10,9","13,4","0,8","30,0","0,3","20,6",,,
19/03/2014 6.00,"3,2","27,5","31,7","0,8","30,0","0,4","20,6",,,
19/03/2014 7.00,"3,1","39,2","52,6","0,9","30,0","0,2","20,6",,,
19/03/2014 8.00,"4,1","48,6","74,0","1,0","30,0","0,5","20,6",,,
19/03/2014 9.00,"3,9","35,8","51,4","0,9","30,0","0,6","20,6",,,
19/03/2014 10.00,"3,2","22,6","32,0","0,9","30,0","0,4","20,6",,,
19/03/2014 11.00,"3,2","17,4","24,8","0,9","30,0","0,4","20,6",,,
19/03/2014 12.00,"4,2","15,6","22,3","0,8","30,0","0,8","20,6",,,
19/03/2014 13.00,"3,2","16,6","26,0","0,8","30,0","0,7","20,6",,,
19/03/2014 14.00,"3,5","8,3","12,0","0,8","30,0","0,3","20,6",,,
19/03/2014 15.00,"2,7","3,1","5,6","0,8","30,0","0,6","20,6",,,
19/03/2014 16.00,"2,4","3,8","6,0","0,8","30,0","0,5","20,6",,,
19/03/2014 17.00,"2,5","6,7","9,4","0,8","30,0","0,3","20,6",,,
19/03/2014 18.00,"2,6","14,1","16,8","0,8","30,0","0,2","20,6",,,
19/03/2014 19.00,"2,8","15,0","17,6","0,8","30,0",,"20,6",,,
19/03/2014 20.00,"3,0","21,9","24,5","0,8","30,0",,"20,6",,,
19/03/2014 21.00,"2,5","7,9","10,5","0,8","30,0","0,4","20,6",,,
19/03/2014 22.00,"2,6","2,7","4,7","0,8","30,0","0,4","20,6",,,
19/03/2014 23.00,"2,3","4,5","6,9","0,8","30,0","0,2","20,6",,,
20/03/2014 0.00,"2,1","3,8","6,1","0,8","30,0","0,2","20,6",,,
20/03/2014 1.00,"2,1","3,7","5,8","0,8","21,1","0,1","8,6",,,
20/03/2014 2.00,"2,1","2,7","4,6","0,7","21,1","0,3","8,6",,,
20/03/2014 3.00,"2,1",,,"0,7","21,1","0,2","8,6",,,
20/03/2014 4.00,"2,0","1,1","3,4","0,7","21,1","0,1","8,6",,,
20/03/2014 5.00,"3,0","2,3","4,9","0,8","21,1","0,2","8,6",,,
20/03/2014 6.00,"3,9","6,2","8,9","0,8","21,1","0,1","8,6",,,
20/03/2014 7.00,"3,3","6,8","10,6","0,7","21,1","0,3","8,6",,,
20/03/2014 8.00,"2,4","5,8","10,3","0,7","21,1",,"8,6",,,
20/03/2014 9.00,"2,5","3,9","7,7","0,7","21,1","0,1","8,6",,,
20/03/2014 10.00,"2,4","1,5","4,5","0,7","21,1","0,2","8,6",,,
20/03/2014 11.00,"2,7","1,6","4,6","0,7","21,1","0,1","8,6",,,
20/03/2014 12.00,"2,4","1,6","4,7","0,7","21,1",,"8,6",,,
20/03/2014 13.00,"3,4","2,4","6,2","0,7","21,1",,"8,6",,,
20/03/2014 14.00,"2,3",,,"0,7","21,1","0,1","8,6",,,
20/03/2014 15.00,"2,0",,,"0,7","21,1",,"8,6",,,
20/03/2014 16.00,"2,0",,,,"21,1",,"8,6",,,
20/03/2014 17.00,"1,8","9,7","12,4","0,8","21,1","0,1","8,6",,,
20/03/2014 18.00,"2,1","17,7","20,4","0,8","21,1",,"8,6",,,
20/03/2014 19.00,"2,0","17,3","20,1","0,8","21,1","0,3","8,6",,,
20/03/2014 20.00,"2,2","28,4","31,1","0,9","21,1","0,5","8,6",,,
20/03/2014 21.00,"2,1","22,7","25,4","0,8","21,1",,"8,6",,,
20/03/2014 22.00,"2,1","14,8","17,4","0,8","21,1","0,6","8,6",,,
20/03/2014 23.00,"2,1","14,3","16,8","0,8","21,1","0,1","8,6",,,
21/03/2014 0.00,"2,0","15,4","18,1","0,8","21,1","0,6","8,6",,,
21/03/2014 1.00,"1,9","16,9","19,7","0,8","25,4","0,4",,,,
21/03/2014 2.00,"2,2",,,"0,8","25,4","0,3",,,,
21/03/2014 3.00,,"17,1","19,8","0,8","25,4","0,5",,,,
21/03/2014 4.00,"1,3","21,3","23,9",,"25,4","0,2",,,,
21/03/2014 5.00,"1,3","27,4","30,1","0,8","25,4","0,4",,,,
21/03/2014 6.00,"1,6","40,7","50,0","0,9","25,4",,,,,
21/03/2014 7.00,"1,6","29,9","39,3","0,9","25,4",,,,,
21/03/2014 8.00,"2,4","25,1","36,6","0,9","25,4","0,3",,,,
21/03/2014 9.00,"2,7","22,5","32,9","0,9","25,4","0,2",,,,
21/03/2014 10.00,"2,7","17,4","25,2","0,8","25,4","0,2",,,,
21/03/2014 11.00,"2,6","16,9","23,3",,"25,4","0,6",,,,
21/03/2014 12.00,"2,0","20,4","26,6","0,3","25,4",,,,,
21/03/2014 13.00,"2,2","24,6","32,6","0,3","25,4","0,5",,,,
21/03/2014 14.00,"2,1","14,9","19,6","0,3","25,4","0,6",,,,
21/03/2014 15.00,"2,0","13,9","18,0","0,3","25,4","0,5",,,,
21/03/2014 16.00,"1,8","16,0","20,3","0,3","25,4","0,4",,,,
21/03/2014 17.00,"1,6","21,7","25,9","0,3","25,4","0,4",,,,
21/03/2014 18.00,"1,7","32,3","37,2","0,4","25,4","0,2",,,,
21/03/2014 19.00,"1,6","52,6","65,0","0,5","25,4",,,,,
21/03/2014 20.00,"1,6","46,0","54,0","0,5","25,4",,,,,
21/03/2014 21.00,"1,5","32,4","36,1","0,4","25,4",,,,,
21/03/2014 22.00,"1,7","31,1","34,7","0,5","25,4","0,3",,,,
21/03/2014 23.00,"1,6","17,9","21,0","0,4","25,4",,,,,
22/03/2014 0.00,"1,4","15,2","17,6","0,4","25,4",,,,,
22/03/2014 1.00,"1,6","10,7","12,9","0,3","23,4","0,2","11,6",,,
22/03/2014 2.00,"1,9","7,1","9,3","0,3","23,4","0,2","11,6",,,
22/03/2014 3.00,"1,8","6,7","9,1","0,3","23,4","0,2","11,6",,,
22/03/2014 4.00,"1,8","5,8","8,0","0,3","23,4","0,2","11,6",,,
22/03/2014 5.00,"2,3","6,1","8,3","0,3","23,4","0,1","11,6",,,
22/03/2014 6.00,"2,0","16,0","19,9","0,3","23,4","0,1","11,6",,,
22/03/2014 7.00,"2,0","26,2","35,5","0,3","23,4","0,1","11,6",,,
22/03/2014 8.00,"2,5","22,9","33,4","0,4","23,4",,"11,6",,,
22/03/2014 9.00,"2,3","18,3","26,0","0,3","23,4","0,2","11,6",,,
22/03/2014 10.00,"2,3","18,0","25,2","0,3","23,4",,"11,6",,,
22/03/2014 11.00,"2,5","15,6","21,5","0,3","23,4",,"11,6",,,
22/03/2014 12.00,"2,9","15,3","20,7","0,3","23,4","0,4","11,6",,,
22/03/2014 13.00,"3,2","18,3","24,6","0,3","23,4","1,3","11,6",,,
22/03/2014 14.00,"2,4","15,1","19,3","0,3","23,4","1,0","11,6",,,
22/03/2014 15.00,"2,2","14,3","18,4","0,3","23,4","0,9","11,6",,,
22/03/2014 16.00,"2,3","15,3","18,9","0,3","23,4","0,8","11,6",,,
22/03/2014 17.00,"2,4","21,8","26,9","0,3","23,4","1,1","11,6",,,
22/03/2014 18.00,"2,0","32,3","36,7","0,4","23,4","1,3","11,6",,,
22/03/2014 19.00,"2,1","33,2","37,8","0,4","23,4","2,1","11,6",,,
22/03/2014 20.00,"2,8","40,0","45,1","0,5","23,4","2,0","11,6",,,
22/03/2014 21.00,"3,3","34,6","38,8","0,4","23,4","2,2","11,6",,,
22/03/2014 22.00,"3,0","30,0","33,8","0,4","23,4","2,1","11,6",,,
22/03/2014 23.00,"2,0","28,5","32,1","0,4","23,4","2,0","11,6",,,
23/03/2014 0.00,"2,3","24,8","28,9","0,4","23,4","2,0","11,6",,,
23/03/2014 1.00,"1,9","17,6","20,7","0,4","21,5","1,8","10,4",,,
23/03/2014 2.00,"1,8",,,"0,3","21,5","1,4","10,4",,,
23/03/2014 3.00,,"12,5","15,2","0,3","21,5","1,2","10,4",,,
23/03/2014 4.00,"1,8","8,5","11,0",,"21,5","0,8","10,4",,,
23/03/2014 5.00,"2,0","8,7","11,1","0,3","21,5","0,6","10,4",,,
23/03/2014 6.00,"2,2","9,5","12,0","0,2","21,5","0,6","10,4",,,
23/03/2014 7.00,"2,4","9,9","12,7","0,3","21,5","0,7","10,4",,,
23/03/2014 8.00,"2,4","10,3","14,2","0,3","21,5","0,8","10,4",,,
23/03/2014 9.00,"3,0","11,9","16,7","0,3","21,5","0,9","10,4",,,
23/03/2014 10.00,"2,8","13,4","18,7","0,3","21,5","1,0","10,4",,,
23/03/2014 11.00,"3,0","10,6","15,4","0,3","21,5","1,1","10,4",,,
23/03/2014 12.00,"2,8","15,6","20,4","0,3","21,5","1,0","10,4",,,
23/03/2014 13.00,"2,8","10,3","14,3","0,3","21,5","1,3","10,4",,,
23/03/2014 14.00,"4,1","6,2","9,2","0,2","21,5","0,8","10,4",,,
23/03/2014 15.00,"3,8","7,1","10,1","0,2","21,5","0,5","10,4",,,
23/03/2014 16.00,"2,7","9,6","12,8","0,3","21,5","0,5","10,4",,,
23/03/2014 17.00,"2,5","13,2","16,5","0,3","21,5","0,5","10,4",,,
23/03/2014 18.00,"2,4","21,4","25,2","0,3","21,5","0,7","10,4",,,
23/03/2014 19.00,"2,5","20,0","23,9","0,3","21,5","1,8","10,4",,,
23/03/2014 20.00,"3,9","17,9","21,6","0,3","21,5","0,9","10,4",,,
23/03/2014 21.00,"2,4","15,6","18,5","0,3","21,5","1,0","10,4",,,
23/03/2014 22.00,"2,4","10,3","13,0","0,3","21,5","0,9","10,4",,,
23/03/2014 23.00,"2,7","11,1","13,9","0,2","21,5","0,7","10,4",,,
24/03/2014 0.00,"2,4","8,2","10,8","0,2","21,5","0,6","10,4",,,
24/03/2014 1.00,"2,6","5,1","7,4","0,2","8,4","0,6",,,,
24/03/2014 2.00,"3,0","4,0","6,2","0,2","8,4","0,5",,,,
24/03/2014 3.00,"2,8","3,3","5,4","0,2","8,4","0,4",,,,
24/03/2014 4.00,"2,4","4,0","6,2","0,2","8,4","0,1",,,,
24/03/2014 5.00,"3,1","6,0","8,7","0,2","8,4",,,,,
24/03/2014 6.00,"2,4","11,1","13,8","0,2","8,4","0,2",,,,
24/03/2014 7.00,"2,2","30,2","39,4","0,3","8,4",,,,,
24/03/2014 8.00,"1,8","37,3","47,5","0,3","8,4","0,2",,,,
24/03/2014 9.00,"1,8","44,3","55,5","0,3","8,4","0,3",,,,
24/03/2014 10.00,"2,1","38,3","49,2","0,3","8,4",,,,,
24/03/2014 11.00,"2,0","19,9","30,7",,"8,4",,,,,
24/03/2014 12.00,"3,0","15,5","24,1","0,3","8,4",,,,,
24/03/2014 13.00,"2,2","22,8","34,6","0,3","8,4",,,,,
24/03/2014 14.00,"2,6","13,3","19,0","0,3","8,4",,,,,
24/03/2014 15.00,"2,3","10,4","14,8","0,3","8,4",,,,,
24/03/2014 16.00,"2,3","13,0","17,0","0,3","8,4",,,,,
24/03/2014 17.00,"2,7","23,1","29,2","0,3","8,4",,,,,
24/03/2014 18.00,"2,2","35,2","44,0","0,3","8,4",,,,,
24/03/2014 19.00,"2,3","35,5","43,4","0,3","8,4",,,,,
24/03/2014 20.00,"2,0","46,9","56,8","0,4","8,4",,,,,
24/03/2014 21.00,"2,2","36,2","41,5","0,4","8,4",,,,,
24/03/2014 22.00,"2,3","18,5","21,9","0,3","8,4",,,,,
24/03/2014 23.00,"2,5","9,5","12,2","0,2","8,4",,,,,
25/03/2014 0.00,"2,2","8,0","10,9","0,2","8,4",,,,,
25/03/2014 1.00,"2,0","5,3","7,8","0,2","7,0",,"2,3",,,
25/03/2014 2.00,"2,0",,,"0,2","7,0",,"2,3",,,
25/03/2014 3.00,,"10,3","12,8","0,2","7,0",,"2,3",,,
25/03/2014 4.00,"2,0","10,5","13,0",,"7,0",,"2,3",,,
25/03/2014 5.00,"1,5","13,6","16,2","0,2","7,0",,"2,3",,,
25/03/2014 6.00,"2,0","26,8","33,1","0,3","7,0",,"2,3",,,
25/03/2014 7.00,"1,7","32,8","50,9","0,3","7,0",,"2,3",,,
25/03/2014 8.00,"2,3","25,9","39,5","0,4","7,0",,"2,3",,,
25/03/2014 9.00,"2,2","18,9","28,7","0,3","7,0",,"2,3",,,
25/03/2014 10.00,"2,6","17,8","25,8","0,3","7,0",,"2,3",,,
25/03/2014 11.00,"2,4","16,4","24,6","0,3","7,0",,"2,3",,,
25/03/2014 12.00,"2,1","17,9","27,1","0,3","7,0",,"2,3",,,
25/03/2014 13.00,"2,3","20,8","30,9","0,3","7,0",,"2,3",,,
25/03/2014 14.00,"1,9","15,5","21,3","0,2","7,0","0,2","2,3",,,
25/03/2014 15.00,"2,1","12,4","17,7","0,3","7,0","1,1","2,3",,,
25/03/2014 16.00,"2,1","18,4","24,3","0,3","7,0","0,5","2,3",,,
25/03/2014 17.00,"2,1","22,8","28,3","0,3","7,0","0,7","2,3",,,
25/03/2014 18.00,"1,8","32,1","37,8","0,4","7,0","0,7","2,3",,,
25/03/2014 19.00,"2,4","31,8","38,1","0,4","7,0","1,0","2,3",,,
25/03/2014 20.00,"2,2","25,8","31,0","0,4","7,0","1,4","2,3",,,
25/03/2014 21.00,"1,8","20,6","23,7","0,3","7,0","1,2","2,3",,,
25/03/2014 22.00,"2,0","16,7","19,9","0,3","7,0","0,9","2,3",,,
25/03/2014 23.00,"2,2","13,3","16,0","0,3","7,0","1,0","2,3",,,
26/03/2014 0.00,"1,9","6,8","9,0","0,3","7,0","0,9","2,3",,,
26/03/2014 1.00,"2,3","2,5","4,4","0,3","10,8","0,8","4,1",,,
26/03/2014 2.00,"2,3","0,9","3,2","0,2","10,8","0,6","4,1",,,
26/03/2014 3.00,"2,6","2,8","5,1","0,2","10,8","0,4","4,1",,,
26/03/2014 4.00,"2,5","5,8","7,8","0,2","10,8","0,4","4,1",,,
26/03/2014 5.00,"2,4","4,9","7,4","0,3","10,8","0,5","4,1",,,
26/03/2014 6.00,"2,5","16,9","21,0","0,3","10,8","0,5","4,1",,,
26/03/2014 7.00,"2,6","36,2","54,2","0,4","10,8","0,5","4,1",,,
26/03/2014 8.00,"2,7","29,0","44,3","0,4","10,8","0,8","4,1",,,
26/03/2014 9.00,"2,5","25,1","36,8","0,4","10,8","1,0","4,1",,,
26/03/2014 10.00,"2,4","20,5","30,0","0,4","10,8","0,8","4,1",,,
26/03/2014 11.00,"2,3","21,3","32,4","0,4","10,8","0,8","4,1",,,
26/03/2014 12.00,"2,1","15,7","25,0","0,3","10,8","0,8","4,1",,,
26/03/2014 13.00,"2,3","19,3","30,9","0,4","10,8","0,7","4,1",,,
26/03/2014 14.00,"1,6","13,6","19,8","0,3","10,8","0,7","4,1",,,
26/03/2014 15.00,"1,9","11,2","15,6","0,3","10,8","0,6","4,1",,,
26/03/2014 16.00,"2,2","16,1","20,5","0,3","10,8","0,7","4,1",,,
26/03/2014 17.00,"1,8","21,2","26,2","0,4","10,8","0,7","4,1",,,
26/03/2014 18.00,"1,6","29,2","34,4","0,4","10,8","0,7","4,1",,,
26/03/2014 19.00,"2,3","32,8","38,5","0,4","10,8","0,9","4,1",,,
26/03/2014 20.00,"1,9","30,4","35,6","0,5","10,8","1,5","4,1",,,
26/03/2014 21.00,"1,6","19,5","22,9","0,4","10,8","1,3","4,1",,,
26/03/2014 22.00,"1,8","14,2","16,9","0,4","10,8","1,1","4,1",,,
26/03/2014 23.00,"2,0","11,9","14,7","0,4","10,8","1,0","4,1",,,
27/03/2014 0.00,"1,9","9,2","11,7","0,3","10,8","1,0","4,1",,,
27/03/2014 1.00,"2,2","3,5","5,8","0,3","24,0","0,9","3,6",,,
27/03/2014 2.00,"2,3",,,"0,3","24,0","0,6","3,6",,,
27/03/2014 3.00,,"3,7","6,2","0,3","24,0","0,4","3,6",,,
27/03/2014 4.00,"1,6","2,1","4,4",,"24,0","0,4","3,6",,,
27/03/2014 5.00,"1,8","2,7","5,1","0,3","24,0","0,3","3,6",,,
27/03/2014 6.00,"2,0","5,0","7,8","0,3","24,0","0,3","3,6",,,
27/03/2014 7.00,"2,0","9,0","13,7","0,3","24,0","0,4","3,6",,,
27/03/2014 8.00,"1,9","13,8","20,7","0,3","24,0","0,5","3,6",,,
27/03/2014 9.00,"2,1","9,2","14,0","0,3","24,0","0,6","3,6",,,
27/03/2014 10.00,"1,8","13,0","17,2","0,3","24,0","0,5","3,6",,,
27/03/2014 11.00,"2,1","25,0","31,4","0,3","24,0","0,4","3,6",,,
27/03/2014 12.00,"2,1","37,7","53,2","0,4","24,0","0,5","3,6",,,
27/03/2014 13.00,"2,2","20,1","29,9","0,4","24,0","1,2","3,6",,,
27/03/2014 14.00,"2,3","14,6","20,7","0,3","24,0","0,7","3,6",,,
27/03/2014 15.00,"2,2","16,0","21,6","0,3","24,0","0,5","3,6",,,
27/03/2014 16.00,"2,0","23,0","28,9","0,3","24,0","0,4","3,6",,,
27/03/2014 17.00,"2,2","40,6","48,1","0,5","24,0","0,6","3,6",,,
27/03/2014 18.00,"2,2","56,6","66,9","0,5","24,0","0,9","3,6",,,
27/03/2014 19.00,"2,1","36,9","43,0","0,5","24,0","1,2","3,6",,,
27/03/2014 20.00,"1,9","38,6","44,1","0,5","24,0","1,0","3,6",,,
27/03/2014 21.00,"2,1","28,0","31,6","0,4","24,0","1,3","3,6",,,
27/03/2014 22.00,"1,7","24,0","27,2","0,4","24,0","1,5","3,6",,,
27/03/2014 23.00,"1,6","18,5","21,6","0,4","24,0","1,4","3,6",,,
28/03/2014 0.00,"2,0","16,3","19,1","0,4","24,0","1,2","3,6",,,
28/03/2014 1.00,"1,8","9,1","11,8","0,3","11,2","1,0","6,1",,,
28/03/2014 2.00,"1,7","6,3","8,6","0,3","11,2","0,7","6,1",,,
28/03/2014 3.00,"1,7","6,8","9,4","0,3","11,2","0,6","6,1",,,
28/03/2014 4.00,"1,7","7,7","10,1","0,3","11,2","0,6","6,1",,,
28/03/2014 5.00,"1,5","14,6","17,2","0,3","11,2","0,9","6,1",,,
28/03/2014 6.00,"1,7","9,3","12,2","0,3","11,2","0,6","6,1",,,
28/03/2014 7.00,"1,3","9,9","14,0","0,3","11,2","0,8","6,1",,,
28/03/2014 8.00,"1,7","18,7","27,0","0,4","11,2","0,6","6,1",,,
28/03/2014 9.00,"2,1","17,6","26,5","0,4","11,2","0,7","6,1",,,
28/03/2014 10.00,"3,3","14,6","21,2","0,4","11,2","0,7","6,1",,,
28/03/2014 11.00,"2,3","7,0","10,8","0,3","11,2","0,8","6,1",,,
28/03/2014 12.00,"1,9","6,7","10,4","0,3","11,2","0,7","6,1",,,
28/03/2014 13.00,"1,8","15,6","19,6","0,4","11,2","0,6","6,1",,,
28/03/2014 14.00,"1,4","48,9","57,2","0,5","11,2","0,9","6,1",,,
28/03/2014 15.00,"1,1","36,0","43,0","0,4","11,2","1,1","6,1",,,
28/03/2014 16.00,"1,5","8,0","10,9","0,3","11,2","0,9","6,1",,,
28/03/2014 17.00,"1,3","9,4","12,1","0,3","11,2","0,6","6,1",,,
28/03/2014 18.00,"1,3","11,6","14,5","0,3","11,2","0,7","6,1",,,
28/03/2014 19.00,"1,5","10,9","13,8","0,3","11,2","1,0","6,1",,,
28/03/2014 20.00,"1,5","4,3","6,8","0,3","11,2","0,9","6,1",,,
28/03/2014 21.00,"1,2","2,8","5,5","0,3","11,2","0,6","6,1",,,
28/03/2014 22.00,"1,1","1,7","3,9","0,3","11,2","0,5","6,1",,,
28/03/2014 23.00,"1,3","0,9","3,1","0,3","11,2","0,4","6,1",,,
29/03/2014 0.00,"1,4","7,9","10,4","0,3","11,2","0,4","6,1",,,
29/03/2014 1.00,"1,1","16,3","19,0","0,3","19,2","0,5","8,4",,,
29/03/2014 2.00,"1,1",,,"0,3","19,2","0,7","8,4",,,
29/03/2014 3.00,,"7,5","9,8","0,3","19,2","0,4","8,4",,,
29/03/2014 4.00,"1,8","4,5","6,7",,"19,2","0,5","8,4",,,
29/03/2014 5.00,"1,6","4,9","7,1","0,3","19,2","0,5","8,4",,,
29/03/2014 6.00,"1,6","5,2","7,5","0,3","19,2","0,5","8,4",,,
29/03/2014 7.00,"1,8","8,2","12,7","0,3","19,2","0,6","8,4",,,
29/03/2014 8.00,"2,0","7,1","11,6","0,3","19,2","0,8","8,4",,,
29/03/2014 9.00,"2,1","4,0","7,2","0,3","19,2","1,0","8,4",,,
29/03/2014 10.00,"3,0","2,3","5,1","0,3","19,2","0,7","8,4",,,
29/03/2014 11.00,"3,1","1,9","4,6","0,3","19,2","0,6","8,4",,,
29/03/2014 12.00,"2,5","2,4","5,5","0,3","19,2","0,5","8,4",,,
29/03/2014 13.00,"2,6","2,6","5,7","0,3","19,2","0,5","8,4",,,
29/03/2014 14.00,"3,0","1,5","3,8","0,3","19,2","0,5","8,4",,,
29/03/2014 15.00,"3,7","1,3","3,5","0,3","19,2","0,6","8,4",,,
29/03/2014 16.00,"2,9","3,4","5,9","0,3","19,2","0,5","8,4",,,
29/03/2014 17.00,"2,7","2,7","5,3","0,3","19,2","0,5","8,4",,,
29/03/2014 18.00,"2,5","11,3","14,0","0,3","19,2","0,6","8,4",,,
29/03/2014 19.00,"2,4","22,2","25,0","0,4","19,2","1,1","8,4",,,
29/03/2014 20.00,"1,4","14,5","17,4","0,4","19,2","1,6","8,4",,,
29/03/2014 21.00,"1,7","9,8","12,4","0,3","19,2","1,2","8,4",,,
29/03/2014 22.00,"1,7","8,0","10,4","0,3","19,2","1,0","8,4",,,
29/03/2014 23.00,"1,8","9,0","11,4","0,3","19,2","0,9","8,4",,,
30/03/2014 0.00,"1,6","12,3","14,6","0,3","19,2","1,2","8,4",,,
30/03/2014 1.00,"1,8","27,7","31,2","0,4","26,7","1,2","11,8",,,
30/03/2014 2.00,"1,3","8,0","10,4","0,3","26,7","1,1","11,8",,,
30/03/2014 3.00,"1,5","11,2","13,7","0,3","26,7",,"11,8",,,
30/03/2014 4.00,"1,5","14,9","17,7","0,3","26,7","0,4","11,8",,,
30/03/2014 5.00,"1,5","11,6","14,1","0,3","26,7","1,0","11,8",,,
