Stat,LECCE-Via Garigliano,,,,,,,,  ,
Parm,SO2,NO2,NOX,CO,PM10,BENZENE,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver,,,
03/01/2014 23.00,"4,5","58,0","86,7","1,4","39,4","7,5","29,0",,,
04/01/2014 0.00,"4,1","43,0","49,1","1,1","39,4","4,8","29,0",,,
04/01/2014 1.00,"4,3","42,5","47,6","1,2","26,5","3,6","18,3",,,
04/01/2014 2.00,"3,8",,,"1,2","26,5","3,9","18,3",,,
04/01/2014 3.00,"3,9","47,2","53,2","1,2","26,5","3,8","18,3",,,
04/01/2014 4.00,"3,6","39,4","46,7",,"26,5","3,5","18,3",,,
04/01/2014 5.00,"4,0","43,6","59,9","1,1","26,5","3,2","18,3",,,
04/01/2014 6.00,"3,9","43,6","54,8","1,0","26,5","2,6","18,3",,,
04/01/2014 7.00,"5,0","58,5","116,2","1,1","26,5","2,2","18,3",,,
04/01/2014 8.00,"5,2","65,9","140,2","1,3","26,5","3,0","18,3",,,
04/01/2014 9.00,"4,2","49,6","79,5","1,1","26,5","3,4","18,3",,,
04/01/2014 10.00,"4,5","26,5","37,7","0,9","26,5","3,0","18,3",,,
04/01/2014 11.00,"4,3","26,6","36,7","0,9","26,5","1,9","18,3",,,
04/01/2014 12.00,"4,3","22,9","30,2","0,8","26,5","2,0","18,3",,,
04/01/2014 13.00,"4,6","22,8","28,7","0,8","26,5","1,8","18,3",,,
04/01/2014 14.00,"4,0","20,6","25,8","0,7","26,5","1,8","18,3",,,
04/01/2014 15.00,"4,1","22,6","26,7","0,8","26,5","1,3","18,3",,,
04/01/2014 16.00,"3,8","29,9","34,1","0,9","26,5","1,2","18,3",,,
04/01/2014 17.00,"4,2","41,3","46,9","0,9","26,5","1,8","18,3",,,
04/01/2014 18.00,"4,3","48,2","56,3","1,0","26,5","2,1","18,3",,,
04/01/2014 19.00,"4,5","47,7","55,7","1,0","26,5","2,6","18,3",,,
04/01/2014 20.00,"4,6","47,0","55,9","1,0","26,5","3,0","18,3",,,
04/01/2014 21.00,"4,1","33,8","38,4","0,9","26,5","2,7","18,3",,,
04/01/2014 22.00,"4,0","27,6","30,5","0,8","26,5","1,9","18,3",,,
04/01/2014 23.00,"4,3","24,7","27,9","0,8","26,5","1,6","18,3",,,
05/01/2014 0.00,"4,3","17,7","19,8","0,8","26,5","1,2","18,3",,,
05/01/2014 1.00,"4,4","13,7","15,7","0,7","14,4","0,8","4,8",,,
05/01/2014 2.00,"4,7","10,8","12,4","0,7","14,4","0,7","4,8",,,
05/01/2014 3.00,"4,5","7,5","8,9","0,7","14,4","0,6","4,8",,,
05/01/2014 4.00,"4,4","5,4","6,5","0,7","14,4","0,6","4,8",,,
05/01/2014 5.00,"4,3","6,1","7,5","0,7","14,4","0,4","4,8",,,
05/01/2014 6.00,"4,7","7,8","9,2","0,7","14,4","0,4","4,8",,,
05/01/2014 7.00,"4,4","9,9","11,7","0,7","14,4","0,6","4,8",,,
05/01/2014 8.00,"4,1","10,4","12,3","0,7","14,4","0,7","4,8",,,
05/01/2014 9.00,"4,6","9,4","11,4","0,7","14,4","0,7","4,8",,,
05/01/2014 10.00,"4,7","10,5","13,4","0,7","14,4","0,7","4,8",,,
05/01/2014 11.00,"4,4","10,9","14,1","0,7","14,4","0,7","4,8",,,
05/01/2014 12.00,"4,7","12,3","15,5","0,7","14,4","0,7","4,8",,,
05/01/2014 13.00,"4,8","10,4","13,3","0,7","14,4","0,9","4,8",,,
05/01/2014 14.00,"4,9","6,8","8,8","0,7","14,4","0,7","4,8",,,
05/01/2014 15.00,"5,0","8,6","10,7","0,7","14,4","0,7","4,8",,,
05/01/2014 16.00,"4,8","11,1","13,3","0,7","14,4","0,7","4,8",,,
05/01/2014 17.00,"5,0","11,8","14,1","0,7","14,4","0,8","4,8",,,
05/01/2014 18.00,"4,7","21,9","26,0","0,8","14,4","0,7","4,8",,,
05/01/2014 19.00,"4,9","31,5","35,6","0,8","14,4","1,1","4,8",,,
05/01/2014 20.00,"5,1","32,5","36,5","0,8","14,4","1,1","4,8",,,
05/01/2014 21.00,"4,6","41,3","45,2","0,9","14,4","1,6","4,8",,,
05/01/2014 22.00,"4,8","32,9","35,3","0,9","14,4","1,5","4,8",,,
05/01/2014 23.00,"5,0","34,1","36,5","0,9","14,4","1,6","4,8",,,
06/01/2014 0.00,"5,2","26,0","27,9","0,8","14,4","1,6","4,8",,,
06/01/2014 1.00,"4,8","22,0","23,9","0,8","15,4","1,2","9,6",,,
06/01/2014 2.00,"4,6",,,"0,8","15,4","1,3","9,6",,,
06/01/2014 3.00,"4,6","23,9","25,6","0,8","15,4","1,2","9,6",,,
06/01/2014 4.00,"4,7","24,1","25,7",,"15,4","1,0","9,6",,,
06/01/2014 5.00,"4,4","19,7","21,3","0,9","15,4","1,2","9,6",,,
06/01/2014 6.00,"4,6","19,3","21,0","0,8","15,4","0,9","9,6",,,
06/01/2014 7.00,"4,7","33,6","37,0","0,8","15,4","0,7","9,6",,,
06/01/2014 8.00,"4,1","34,8","42,1","0,9","15,4","1,1","9,6",,,
06/01/2014 9.00,"4,5","22,7","28,3","0,8","15,4","1,5","9,6",,,
06/01/2014 10.00,"4,8","11,6","14,4","0,7","15,4","1,1","9,6",,,
06/01/2014 11.00,"4,5","7,8","10,0","0,7","15,4","0,9","9,6",,,
06/01/2014 12.00,"4,3","8,4","10,4","0,7","15,4","0,6","9,6",,,
06/01/2014 13.00,"4,8","9,4","11,3","0,7","15,4","0,6","9,6",,,
06/01/2014 14.00,"4,2","5,9","7,6","0,7","15,4","0,5","9,6",,,
06/01/2014 15.00,"4,1","9,7","11,5","0,7","15,4","0,5","9,6",,,
06/01/2014 16.00,"4,6","17,0","18,7","0,9","15,4","1,0","9,6",,,
06/01/2014 17.00,"4,4","20,1","21,9","0,8","15,4","2,4","9,6",,,
06/01/2014 18.00,"4,2","37,5","42,3","1,0","15,4","2,1","9,6",,,
06/01/2014 19.00,"4,3","24,7","27,0","1,0","15,4","3,2","9,6",,,
06/01/2014 20.00,"4,3","31,5","34,5","1,0","15,4","2,9","9,6",,,
06/01/2014 21.00,"4,0","32,5","35,2","1,0","15,4","2,9","9,6",,,
06/01/2014 22.00,"4,0","29,3","33,1","0,9","15,4","2,8","9,6",,,
06/01/2014 23.00,"4,3","19,3","21,3","0,8","15,4","2,2","9,6",,,
07/01/2014 0.00,"4,4","21,3","23,9","0,8","15,4","1,7","9,6",,,
07/01/2014 1.00,"4,0","26,8","30,4","0,9","24,2","1,5","17,0",,,
07/01/2014 2.00,"4,3","17,1","19,2","0,8","24,2","1,5","17,0",,,
07/01/2014 3.00,"4,2","10,2","11,7","0,7","24,2","1,2","17,0",,,
07/01/2014 4.00,"4,2","8,4","9,8","0,7","24,2","1,0","17,0",,,
07/01/2014 5.00,"4,1","11,6","13,4","0,7","24,2","0,9","17,0",,,
07/01/2014 6.00,"4,0","18,4","20,7","0,8","24,2","1,0","17,0",,,
07/01/2014 7.00,"4,3","26,4","33,8","0,9","24,2","1,1","17,0",,,
07/01/2014 8.00,"4,4","27,7","40,1","0,9","24,2","1,7","17,0",,,
07/01/2014 9.00,"3,8","17,1","24,1","0,8","24,2","2,4","17,0",,,
07/01/2014 10.00,"4,1","11,4","15,6","0,7","24,2","1,3","17,0",,,
07/01/2014 11.00,"3,9","7,9","10,3","0,7","24,2","1,1","17,0",,,
07/01/2014 12.00,"4,4","8,1","10,9","0,7","24,2","1,0","17,0",,,
07/01/2014 13.00,"4,0","8,0","10,6","0,7","24,2","1,0","17,0",,,
07/01/2014 14.00,"4,0","5,8","7,7","0,7","24,2","1,0","17,0",,,
07/01/2014 15.00,"3,8","7,2","8,8","0,7","24,2","0,9","17,0",,,
07/01/2014 16.00,"4,1","14,0","16,0","0,7","24,2","1,0","17,0",,,
07/01/2014 17.00,"3,7","21,7","23,9","0,8","24,2","1,8","17,0",,,
07/01/2014 18.00,"3,9","29,9","35,1","1,0","24,2","2,2","17,0",,,
07/01/2014 19.00,"4,2","40,0","46,7","1,0","24,2","2,4","17,0",,,
07/01/2014 20.00,"4,9","47,7","69,6","1,1","24,2","2,6","17,0",,,
07/01/2014 21.00,"5,5","64,1","138,6","1,6","24,2","4,0","17,0",,,
07/01/2014 22.00,"5,5","62,0","127,5","1,7","24,2","6,8","17,0",,,
07/01/2014 23.00,"4,6","42,5","57,6","1,3","24,2","6,2","17,0",,,
08/01/2014 0.00,"4,1","32,6","41,8","1,1","24,2","3,8","17,0",,,
08/01/2014 1.00,"3,9","20,7","24,0","0,9","17,9","2,8","9,1",,,
08/01/2014 2.00,"3,9",,,"0,9","17,9","2,0","9,1",,,
08/01/2014 3.00,"3,9","26,0","27,9","0,8","17,9","1,6","9,1",,,
08/01/2014 4.00,"4,1","23,8","27,8",,"17,9","1,3","9,1",,,
08/01/2014 5.00,"4,0","23,2","26,2","0,8","17,9","1,2","9,1",,,
08/01/2014 6.00,"4,1","31,6","38,5","0,8","17,9","1,2","9,1",,,
08/01/2014 7.00,"5,6","60,5","151,7","1,1","17,9","1,4","9,1",,,
08/01/2014 8.00,"7,0","72,0","227,1","1,5","17,9","3,1","9,1",,,
08/01/2014 9.00,"4,3","30,5","46,4","0,9","17,9","4,8","9,1",,,
08/01/2014 10.00,"4,3","20,1","26,9","0,8","17,9","2,2","9,1",,,
08/01/2014 11.00,"4,4","15,0","19,5","0,8","17,9","1,5","9,1",,,
08/01/2014 12.00,"3,9","11,0","13,9","0,7","17,9","0,9","9,1",,,
08/01/2014 13.00,"4,2","10,6","13,4","0,7","17,9","0,8","9,1",,,
