,BAT,,,,
,Andria,,,,
Parm,O3,NO2,CO,Benzene,PM10
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
03/01/2010 8.00,"45,30335775",,"0,33745856",,"12,21000957"
03/01/2010 9.00,"43,53610695",,"0,35941881",,
03/01/2010 10.00,"45,85689045",,"0,36826582",,"5,86080599"
03/01/2010 11.00,"50,0610537",,"0,37411179",,
03/01/2010 12.00,"57,58641315",,"0,40258789",,"10,25640965"
03/01/2010 13.00,"59,16330105",,"0,37395335",,
03/01/2010 14.00,"54,51766425",,"0,40578814",,"9,76801014"
03/01/2010 15.00,"61,918815",,"0,32205493",,
03/01/2010 16.00,"60,52285365",,"0,30321455",,"9,27960968"
03/01/2010 17.00,"49,93143855",,"0,35582479",,
03/01/2010 18.00,"45,0441474",,"0,439558",,"9,76801014"
03/01/2010 19.00,"29,8867758",,"0,59098703",,
03/01/2010 20.00,"30,49969965",,"0,57427976",,"10,25640965"
03/01/2010 21.00,"31,30974945",,"0,52953095",,
03/01/2010 22.00,"35,05352655",,"0,47652578",,"10,7448101"
03/01/2010 23.00,"41,13835635",,"0,594503",,
04/01/2010 0.00,"43,3065822",,"0,3797201",,"9,76801014"
04/01/2010 1.00,"51,60823605",,"0,30056884",,
04/01/2010 2.00,,,"0,2585834",,"13,18680954"
04/01/2010 3.00,"52,8449166",,"0,21936368",,
04/01/2010 4.00,"55,6881906",,,,"6,34920597"
04/01/2010 5.00,"49,2010491",,"0,25585847",,
04/01/2010 6.00,"30,30259365",,"0,38797413",,"8,30280876"
04/01/2010 7.00,"29,3953275",,"0,39935035",,
04/01/2010 8.00,"32,86505145",,"0,43817398",,"4,88400507"
04/01/2010 9.00,"31,4960625",,"0,5758595",,
04/01/2010 10.00,"36,26321475",,"0,62436195",,"4,88400507"
04/01/2010 11.00,"42,59103555",,"0,5959243",,
04/01/2010 12.00,"40,31346375",,"0,66176427",,"18,55920982"
04/01/2010 13.00,"38,4314406",,"0,571436",,
04/01/2010 14.00,"32,8582884",,"0,65469505",,"10,25640965"
04/01/2010 15.00,"36,42656535",,"0,51448264",,
04/01/2010 16.00,"30,2890875",,"0,72258892",,"8,30280876"
04/01/2010 17.00,"23,5292295",,"0,87954821",,
04/01/2010 18.00,"18,53933351",,"0,94132233",,"9,27960968"
04/01/2010 19.00,"12,27629235",,"1,02991243",,
04/01/2010 20.00,"10,96672248",,"1,1031385",,"16,11721039"
04/01/2010 21.00,"24,12056745",,"0,75817501",,
04/01/2010 22.00,"24,20292105",,"0,78005721",,"16,60560989"
04/01/2010 23.00,"29,2238772",,"0,67641881",,
05/01/2010 0.00,"17,34991052",,"0,68498855",,"16,60560989"
05/01/2010 1.00,"19,47898649",,"0,60200676",,
05/01/2010 2.00,"20,20936995",,"0,51539018",,"12,69841003"
05/01/2010 3.00,"11,96982843",,"0,65777648",,
05/01/2010 4.00,"20,74805985",,"0,69383672",,"8,30280876"
05/01/2010 5.00,"25,2316827",,"0,49117915",,
05/01/2010 6.00,"6,44529438",,"0,83400952",,"8,30280876"
05/01/2010 7.00,"6,49119734",,"0,82350355",,
05/01/2010 8.00,"4,26086115",,"1,11846408",,"10,7448101"
05/01/2010 9.00,"7,68467018",,"2,82558401",,
05/01/2010 10.00,"7,65091877",,"2,53627141",,"16,11721039"
05/01/2010 11.00,"11,20432698",,"1,62832516",,
05/01/2010 12.00,"27,0650877",,"0,93678",,
05/01/2010 13.00,"30,02313405",,"0,80786226",,
05/01/2010 14.00,"10,12831974",,"1,69459968",,"11,23320961"
05/01/2010 15.00,"9,09280701",,"1,79800275",,
05/01/2010 16.00,"9,06850592",,"1,51113898",,"38,58362961"
05/01/2010 17.00,"20,1378093",,"1,2596248",,
05/01/2010 18.00,"29,77200345",,"0,96632323",,"62,02685165"
05/01/2010 19.00,"43,1985729",,"0,74948644",,
05/01/2010 20.00,"24,12595395",,"0,8940443",,"52,2588501"
05/01/2010 21.00,"35,22230355",,"0,74956566",,
05/01/2010 22.00,"29,3642853",,"0,93519909",,"40,53723145"
05/01/2010 23.00,"37,94136885",,"0,80446629",,
06/01/2010 0.00,"49,35225015",,"0,46917929",,"29,7924099"
06/01/2010 1.00,"54,36512655",,"0,44982631",,
06/01/2010 2.00,,,"0,3302309",,"23,44322014"
06/01/2010 3.00,"62,1456465",,"0,30906052",,
06/01/2010 4.00,"66,76696425",,,,"18,55920982"
06/01/2010 5.00,"76,09199325",,"0,25487171",,
06/01/2010 6.00,"68,3533284",,"0,33587882",,"21,97801971"
06/01/2010 7.00,"59,23891155",,"0,35258609",,
06/01/2010 8.00,"64,7729019",,"0,3785353",,"11,23320961"
06/01/2010 9.00,"58,45990395",,"0,43213229",,
06/01/2010 10.00,"65,1617274",,"0,49508889",,"9,27960968"
06/01/2010 11.00,"64,4421309",,"0,50670044",,
06/01/2010 12.00,"53,38226985",,"0,69415127",,"5,37240601"
06/01/2010 13.00,"67,5108798",,"0,566776",,
06/01/2010 14.00,"78,0226146",,"0,44129501",,"4,88400507"
06/01/2010 15.00,"79,6022157",,"0,37912828",,
06/01/2010 16.00,"79,22418315",,"0,38900166",,"7,32600689"
06/01/2010 17.00,"66,3659892",,"0,44559969",,
06/01/2010 18.00,"60,69294735",,"0,45741046",,"6,34920597"
06/01/2010 19.00,"32,5369737",,"0,93203961",,
06/01/2010 20.00,"21,7120239",,"0,96754765",,"10,25640965"
06/01/2010 21.00,"35,22769005",,"0,79285357",,
06/01/2010 22.00,"56,3807748",,"0,54659237",,"13,18680954"
06/01/2010 23.00,"57,70387875",,"0,50164667",,
07/01/2010 0.00,"58,80823095",,"0,43572631",,"15,62880993"
07/01/2010 1.00,"59,07284775",,"0,37363764",,
07/01/2010 2.00,"58,797438",,"0,34049921",,"11,23320961"
07/01/2010 3.00,"65,87863065",,"0,30866559",,
07/01/2010 4.00,"71,7298659",,"0,28445456",,"15,14041042"
07/01/2010 5.00,"68,9298036",,"0,29669871",,
07/01/2010 6.00,"62,49666675",,"0,3614331",,"7,32600689"
07/01/2010 7.00,"60,21502515",,"0,38303802",,
07/01/2010 8.00,"61,34638965",,"0,55224146",,"3,41880298"
07/01/2010 9.00,"17,69688291",,"1,91309543",,
07/01/2010 10.00,"27,3945021",,"1,20326326",,"6,83760691"
07/01/2010 11.00,"45,1508001",,"0,85948458",,
07/01/2010 12.00,"58,0710984",,"0,5275155",,"25,88521957"
07/01/2010 13.00,"58,2290625",,"0,53727121",,
07/01/2010 14.00,"69,5656899",,"0,52242095",,"15,14041042"
07/01/2010 15.00,"77,94295425",,"0,36309206",,
07/01/2010 16.00,"56,77771995",,"0,55998172",,"14,65200996"
07/01/2010 17.00,"16,20638849",,"2,30205631",,
07/01/2010 18.00,"12,56251899",,"1,38372176",,"17,09399986"
07/01/2010 19.00,"28,71624945",,"0,86971328",,
07/01/2010 20.00,"37,45127715",,"0,79095811",,"26,86202049"
07/01/2010 21.00,"43,0757208",,"0,82820316",,
07/01/2010 22.00,"58,5422775",,"0,64533428",,"19,04759979"
07/01/2010 23.00,"61,54349565",,"0,6003478",,
08/01/2010 0.00,"75,0780744",,"0,38054958",,"22,95482063"
08/01/2010 1.00,"85,27525755",,"0,3004104",,
08/01/2010 2.00,,,"0,28192651",,"17,09399986"
08/01/2010 3.00,"85,7261874",,"0,27256573",,
08/01/2010 4.00,"79,97753505",,,,"10,7448101"
08/01/2010 5.00,"73,6631805",,"0,28796936",,
08/01/2010 6.00,"72,8895993",,"0,31624857",,"10,25640965"
08/01/2010 7.00,"66,8047695",,"0,35610089",,
08/01/2010 8.00,"61,524603",,"0,46526955",,"20,51280975"
08/01/2010 9.00,"60,41348775",,"0,51760251",,
08/01/2010 10.00,"59,7073974",,"0,53818107",,"17,58241081"
08/01/2010 11.00,"65,5910514",,"0,45879215",,
08/01/2010 12.00,"61,141164",,"0,49872369",,"22,46640968"
