,Comune Bari,,
,Piazza Kennedy,,
Parm,NO2,O3,PM10
,,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,
06/01/2009 8.00,"22,02163208","33,46957635",
06/01/2009 9.00,"23,37790928","33,3668937",
06/01/2009 10.00,"27,4889196","36,74664315",
06/01/2009 11.00,"20,04724352","51,53737365",
06/01/2009 12.00,"16,15526236","62,0591433",
06/01/2009 13.00,"11,69220504","65,87440125",
06/01/2009 14.00,"11,30932704","66,5632548",
06/01/2009 15.00,"10,7820701","67,98734565",
06/01/2009 16.00,"12,28273006","68,2423665",
06/01/2009 17.00,"45,3297916","26,89720845",
06/01/2009 18.00,"85,06575952","3,33337767",
06/01/2009 19.00,"70,04290784","5,34864089",
06/01/2009 20.00,"56,35197448","7,32912926",
06/01/2009 21.00,"39,10812448","14,41814231",
06/01/2009 22.00,"32,14341592","21,9906855",
06/01/2009 23.00,"34,8722032","19,88601038",
07/01/2009 0.00,"37,2035048","18,80138474",
07/01/2009 1.00,"24,4016132","28,82138595",
07/01/2009 2.00,"21,5803616","26,1834972",
07/01/2009 3.00,,"24,674958",
07/01/2009 4.00,"16,25097899","35,72823555",
07/01/2009 5.00,"12,0263997","40,78212915",
07/01/2009 6.00,"26,10830264",,
07/01/2009 7.00,"40,02148688","11,371899",
07/01/2009 8.00,"47,9839344","7,21192301",
07/01/2009 9.00,"62,7251676","5,4996584",
07/01/2009 10.00,"60,9448088","8,13852071",
07/01/2009 11.00,"46,5205852","22,48458765",
07/01/2009 12.00,"16,61437754","56,2471497",
07/01/2009 13.00,"12,76294225","62,5276092",
07/01/2009 14.00,"19,5183652","56,88864195",
07/01/2009 15.00,"16,67927464","59,0836407",
07/01/2009 16.00,"24,59304264","50,2825785",
07/01/2009 17.00,"33,569462","40,6472472",
07/01/2009 18.00,"61,3309372","11,17749822",
07/01/2009 19.00,"67,64994424","5,90139953",
07/01/2009 20.00,"62,26540808","5,00233881",
07/01/2009 21.00,"63,96886624","5,43648074",
07/01/2009 22.00,"72,6045672","4,54713767",
07/01/2009 23.00,"64,33551136","3,98664441",
08/01/2009 0.00,"54,930804","2,71499949",
08/01/2009 1.00,"51,36327968","3,3548718",
08/01/2009 2.00,"46,83531952","3,44072862","0,31576401"
08/01/2009 3.00,,"2,63724237",
08/01/2009 4.00,"48,05532848","3,34515216","14,33218002"
08/01/2009 5.00,"38,85665824","7,6768418",
08/01/2009 6.00,"39,98093336",,"33,70438004"
08/01/2009 7.00,"34,28814456","13,04744963",
08/01/2009 8.00,"47,74221936","5,2648469","33,71828079"
08/01/2009 9.00,"57,57846512","5,13635693",
08/01/2009 10.00,"48,99953144","14,04121499","33,7091217"
08/01/2009 11.00,"38,15743984","26,9829336",
08/01/2009 12.00,"49,5036876","25,31744775","33,70640182"
08/01/2009 13.00,"28,76569584","42,28141155",
08/01/2009 14.00,"21,7344688","47,2242036","33,67589188"
08/01/2009 15.00,"25,44153088","42,8457771",
08/01/2009 16.00,"37,31868368","29,83249185","33,67419052"
08/01/2009 17.00,"62,91271568","6,46354664",
08/01/2009 18.00,"74,03709496","3,19273815","33,68912125"
08/01/2009 19.00,"65,87836152","2,71618652",
08/01/2009 20.00,"56,9944256","2,66576489","33,67147064"
08/01/2009 21.00,"67,32062136","3,11629374",
08/01/2009 22.00,"52,7666112","2,82190556","33,69997025"
08/01/2009 23.00,"42,93684712","2,66739281",
09/01/2009 0.00,"43,75126352","2,41691657","33,76169968"
09/01/2009 1.00,"41,39724736","2,60395979",
09/01/2009 2.00,"38,91344464","3,13093305","33,76745987"
09/01/2009 3.00,,"19,05070787",
09/01/2009 4.00,"13,05172117","24,8847921","35,28659058"
09/01/2009 5.00,"13,75419953","25,57117185",
09/01/2009 6.00,"18,58065539",,"37,3192215"
09/01/2009 7.00,"30,70926296","14,53590317",
09/01/2009 8.00,"41,20581792","6,70900545","37,34431076"
09/01/2009 9.00,"46,56763952","7,97509829",
09/01/2009 10.00,"42,52251672","13,4921072","37,37789154"
09/01/2009 11.00,"40,6120272","15,81810762",
09/01/2009 12.00,"37,53445288","20,67468375","37,33855057"
09/01/2009 13.00,"32,08662952","25,1575485",
09/01/2009 14.00,"39,43909168","18,11995259","37,33177185"
09/01/2009 15.00,"40,15777424","16,20630669",
09/01/2009 16.00,"45,67859776","10,70218548","37,32701111"
09/01/2009 17.00,"43,4300284","14,19119709",
09/01/2009 18.00,"50,04269952","8,44223153","37,33652115"
09/01/2009 19.00,"55,29584304","4,69549784",
09/01/2009 20.00,"53,55991912","3,77733899","37,36331177"
09/01/2009 21.00,"55,75818376","2,55795908",
09/01/2009 22.00,"51,4038332","2,90106117","37,38637161"
09/01/2009 23.00,"42,93684712","5,63137628",
10/01/2009 0.00,"37,42575568","9,34589471","37,39011002"
10/01/2009 1.00,"35,65090344","11,59779684",
10/01/2009 2.00,"37,71940064","9,34911464","37,45251083"
10/01/2009 3.00,,"50,80480965",
10/01/2009 4.00,"7,78561046","60,6661545","35,38698959"
10/01/2009 5.00,"7,78723375","60,56949675",
10/01/2009 6.00,"13,12472515",,"32,43420029"
10/01/2009 7.00,"22,52779584","39,6281214",
10/01/2009 8.00,"39,00267768","21,71252265","32,43928146"
10/01/2009 9.00,"54,46194336","9,23964899",
10/01/2009 10.00,"34,35628824","27,36742995","32,42741013"
10/01/2009 11.00,"28,81437536","27,22973505",
10/01/2009 12.00,"30,21443736","27,8047938","32,46031189"
