"NetC","SIMAGE Brindisi","","",""
"Stat","S. Pancrazio S.","","",""
Parm,SO2,NOX,NO2,PM10
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,,
06/01/2011 18.00,"0,1","17,5","12,9","48,5"
06/01/2011 19.00,"0,3","23,6","16,7","48,5"
06/01/2011 20.00,"0,3","58,2","41,4","48,5"
06/01/2011 21.00,"0,5","52,9","37,8","48,5"
06/01/2011 22.00,"0,3","45,4","34,2","48,5"
06/01/2011 23.00,"0,3","37,3","26,2","48,5"
07/01/2011 0.00,"0,3","37,6",20,"48,5"
07/01/2011 1.00,"0,2","28,5",18,
07/01/2011 2.00,"0,2",31,"19,7",
07/01/2011 3.00,"0,2","26,3","16,1",
07/01/2011 4.00,"0,3","25,2","15,1",
07/01/2011 5.00,"0,3","29,8","19,6",
07/01/2011 6.00,"0,3","24,3","13,7",
07/01/2011 7.00,"0,2",29,"15,4",
07/01/2011 8.00,"0,3","47,1","19,7",
07/01/2011 9.00,"0,6","89,8","24,6",
07/01/2011 10.00,"0,9","61,7","25,1",
07/01/2011 11.00,"0,5","36,9","20,7",
07/01/2011 12.00,"0,2","23,4",15,
07/01/2011 13.00,"0,2","20,2","13,3",
07/01/2011 14.00,"0,3",16,"10,4",
07/01/2011 15.00,"0,2","16,5","11,1",
07/01/2011 16.00,"0,2","16,5","11,8",
07/01/2011 17.00,"0,2","31,7","23,9",
07/01/2011 18.00,"0,3","32,1","25,7",
07/01/2011 19.00,"0,7","49,4","35,3",
07/01/2011 20.00,"0,4","40,9","28,9",
07/01/2011 21.00,"0,6","43,2","29,7",
07/01/2011 22.00,"0,5","44,8","30,9",
07/01/2011 23.00,"0,7","39,1","28,2",
08/01/2011 0.00,"0,3","33,3","24,3",
08/01/2011 1.00,,"30,7","21,5",
08/01/2011 2.00,"0,5",,,
08/01/2011 3.00,"0,4","25,2","16,8",
08/01/2011 4.00,"0,6","23,6","15,1",
08/01/2011 5.00,"0,5","18,3","10,8",
08/01/2011 6.00,"0,3",15,"9,1",
08/01/2011 7.00,"0,4","18,4","11,5",
08/01/2011 8.00,"0,4","18,8","13,9",
08/01/2011 9.00,"0,4","33,9","20,3",
08/01/2011 10.00,"0,9","34,2","20,3",
08/01/2011 11.00,"0,5","18,4","12,9",
08/01/2011 12.00,"0,4",19,"12,3",
08/01/2011 13.00,"0,5",19,"13,2",
08/01/2011 14.00,"0,3","17,9","12,6",
08/01/2011 15.00,"0,5","15,1","9,9",
08/01/2011 16.00,"0,2","12,2","8,2",
08/01/2011 17.00,"0,2","14,6","10,2",
08/01/2011 18.00,"0,5","28,6","22,3",
08/01/2011 19.00,"0,4","20,7",15,
08/01/2011 20.00,"0,4","22,7","16,2",
08/01/2011 21.00,"0,6",29,"22,2",
08/01/2011 22.00,"0,5","27,8","20,1",
08/01/2011 23.00,"0,6","22,8","16,3",
09/01/2011 0.00,"0,6","21,4","14,7",
09/01/2011 1.00,"0,3","16,2","11,1",
09/01/2011 2.00,"0,3","20,4","13,3",
09/01/2011 3.00,"0,4","17,7","10,8",
09/01/2011 4.00,"0,2","15,6","8,6",
09/01/2011 5.00,"0,2","20,9","10,9",
09/01/2011 6.00,"0,3","14,1","7,5",
09/01/2011 7.00,"0,4","15,3",8,
09/01/2011 8.00,"0,3","17,5","10,5",
09/01/2011 9.00,"0,3","17,3","10,8",
09/01/2011 10.00,"1,1","38,6",22,
09/01/2011 11.00,"0,5","23,1","14,6",
09/01/2011 12.00,"0,5","15,8","9,6",
09/01/2011 13.00,"0,1","14,6","9,9",
09/01/2011 14.00,"0,3","12,8","8,8",
09/01/2011 15.00,"0,1","11,3","7,3",
09/01/2011 16.00,"0,1","12,7","7,8",
09/01/2011 17.00,"0,1","12,3",8,
09/01/2011 18.00,"0,2","14,3","9,8",
09/01/2011 19.00,"0,2","19,6","14,5",
09/01/2011 20.00,"0,2","22,4",17,
09/01/2011 21.00,"0,1","23,8","18,7",
09/01/2011 22.00,"0,1","18,4",14,
09/01/2011 23.00,"0,2","19,8","16,4",
10/01/2011 0.00,"0,3","19,2","15,4",
10/01/2011 1.00,,"14,3","9,8",
10/01/2011 2.00,"0,2",,,
10/01/2011 3.00,"0,2",10,5,
10/01/2011 4.00,"0,4","10,5","4,5",
10/01/2011 5.00,"0,3","11,6","4,8",
10/01/2011 6.00,"0,3","13,6",6,
10/01/2011 7.00,"0,3","16,2",9,
10/01/2011 8.00,"0,4","41,9","26,2",
10/01/2011 9.00,"0,6","47,8","27,6",
10/01/2011 10.00,"0,4","40,7",27,
10/01/2011 11.00,"0,5","23,1","14,3",
10/01/2011 12.00,"0,3","16,7","10,4",
10/01/2011 13.00,"0,2",17,"11,8",
10/01/2011 14.00,"0,4","17,4","11,9",
10/01/2011 15.00,"0,2","15,4","10,1",
10/01/2011 16.00,"0,3","13,9","9,1",
10/01/2011 17.00,"0,2","20,1","13,6",
10/01/2011 18.00,"0,2","17,7","12,3",
10/01/2011 19.00,"0,3","20,1","13,9",
10/01/2011 20.00,"0,6","24,5",17,
10/01/2011 21.00,"0,5","17,2","11,3",
10/01/2011 22.00,"0,8","19,4","13,4",
10/01/2011 23.00,"0,7","16,1","10,5",
11/01/2011 0.00,"0,7","12,1","7,1",
11/01/2011 1.00,"0,5","12,3","6,8",
11/01/2011 2.00,"0,4","10,7","5,1",
11/01/2011 3.00,"0,2","9,8","4,1",
11/01/2011 4.00,"0,4","9,2","3,6",
11/01/2011 5.00,"0,5","9,4","3,6",
11/01/2011 6.00,"0,5","10,3","4,2",
11/01/2011 7.00,"0,5","12,4","6,7",
11/01/2011 8.00,"0,4","26,2","17,3",
11/01/2011 9.00,"0,6","32,6","22,1",
11/01/2011 10.00,"0,9","34,2","21,8",
11/01/2011 11.00,"0,5","19,1","11,9",
11/01/2011 12.00,"0,7","14,9","9,2",
11/01/2011 13.00,,,,
11/01/2011 14.00,"0,5","14,4","8,9",
11/01/2011 15.00,"0,3","16,3","10,2",
11/01/2011 16.00,"0,4","14,1","8,8",
11/01/2011 17.00,"0,4","18,1","11,3",
11/01/2011 18.00,"0,5","21,6","15,3",
11/01/2011 19.00,"0,5","25,9","18,4",
11/01/2011 20.00,"0,8","29,1","21,1",
11/01/2011 21.00,"0,7","29,8","22,5",
11/01/2011 22.00,"0,8","31,5",21,
11/01/2011 23.00,"0,6","28,7","20,3",
12/01/2011 0.00,"0,6","25,4","18,6",
12/01/2011 1.00,,"28,3","20,1","33,8"
12/01/2011 2.00,"0,4",,,"33,8"
12/01/2011 3.00,"0,3","24,1","15,2","33,8"
12/01/2011 4.00,"0,2","21,9","12,4","33,8"
12/01/2011 5.00,"0,3","20,3","10,9","33,8"
12/01/2011 6.00,"0,2","17,1","8,1","33,8"
12/01/2011 7.00,"0,2","17,6","7,9","33,8"
12/01/2011 8.00,"0,4",24,"12,9","33,8"
12/01/2011 9.00,"0,4","37,6","22,7","33,8"
12/01/2011 10.00,"0,4","38,6",22,"33,8"
12/01/2011 11.00,"0,2","23,4","12,5","33,8"
12/01/2011 12.00,"0,2",18,"8,8","33,8"
12/01/2011 13.00,"0,1","16,4","7,6","33,8"
12/01/2011 14.00,"0,2","13,9","6,8","33,8"
12/01/2011 15.00,"0,2","13,4","7,4","33,8"
12/01/2011 16.00,"0,3","14,3","8,2","33,8"
12/01/2011 17.00,"0,2","16,3","9,4","33,8"
12/01/2011 18.00,"0,3","19,3","12,1","33,8"
12/01/2011 19.00,"0,3","20,4","13,1","33,8"
12/01/2011 20.00,"0,3","19,2","10,8","33,8"
12/01/2011 21.00,"0,3","20,2","11,2","33,8"
12/01/2011 22.00,"0,2","19,4","10,6","33,8"
12/01/2011 23.00,"0,4","24,3","13,4","33,8"
13/01/2011 0.00,"0,3","18,6",9,"33,8"
13/01/2011 1.00,"0,3","16,4","8,3","39,4"
13/01/2011 2.00,"0,3","15,6","7,1","39,4"
13/01/2011 3.00,"0,3",15,"5,8","39,4"
13/01/2011 4.00,"0,1","21,9",10,"39,4"
13/01/2011 5.00,"0,2","15,8","6,3","39,4"
