, Brindisi,
,S. Pietro  Vernotico,
Parm,SO2,NO2
,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
06/01/2008 17.00,"0,306362","10,964419"
06/01/2008 18.00,"0,304563","12,370017"
06/01/2008 19.00,"0,336504","11,048784"
06/01/2008 20.00,"0,439975","11,188953"
06/01/2008 21.00,"0,270823","11,843082"
06/01/2008 22.00,"0,328856","9,602957"
06/01/2008 23.00,"0,323007","8,399829"
07/01/2008 0.00,"0,199743","7,683404"
07/01/2008 1.00,"0,233483","8,507551"
07/01/2008 2.00,"0,300514","12,432307"
07/01/2008 3.00,"0,296466","19,183841"
07/01/2008 4.00,"0,321208","17,815886"
07/01/2008 5.00,"0,284769","12,90474"
07/01/2008 6.00,"0,326157","30,620678"
07/01/2008 7.00,"0,350001","34,480548"
07/01/2008 8.00,"0,589782","40,419623"
07/01/2008 9.00,"0,417931","28,089822"
07/01/2008 10.00,"0,417031","13,884632"
07/01/2008 11.00,"0,463368",
07/01/2008 12.00,"0,56234","11,484862"
07/01/2008 13.00,"0,515103","9,787254"
07/01/2008 14.00,"0,481362","12,453077"
07/01/2008 15.00,"0,487661",
07/01/2008 16.00,"0,547044","17,59118"
07/01/2008 17.00,"0,450771","20,216934"
07/01/2008 18.00,"0,542545","26,542766"
07/01/2008 19.00,"0,582583","28,415588"
07/01/2008 20.00,"1,008612","39,861527"
07/01/2008 21.00,"1,131427","38,762242"
07/01/2008 22.00,"0,775578","26,493455"
07/01/2008 23.00,"0,494408","22,645268"
08/01/2008 0.00,"0,509704","19,653658"
08/01/2008 1.00,,"13,723693"
08/01/2008 2.00,"0,331881",
08/01/2008 3.00,"0,349917","12,77106"
08/01/2008 4.00,"0,41097","18,342817"
08/01/2008 5.00,"0,321022","19,22537"
08/01/2008 6.00,"0,465351","27,718646"
08/01/2008 7.00,"0,907429","31,125562"
08/01/2008 8.00,"0,940602","37,026987"
08/01/2008 9.00,"1,112062","37,424129"
08/01/2008 10.00,"0,434151","24,037874"
08/01/2008 11.00,"0,483986","19,696506"
08/01/2008 12.00,"0,37645","19,330492"
08/01/2008 13.00,"0,363453","17,240139"
08/01/2008 14.00,"0,394877","18,750353"
08/01/2008 15.00,"0,362301","15,02806"
08/01/2008 16.00,"0,325927","8,790489"
08/01/2008 17.00,"0,366878","7,613318"
08/01/2008 18.00,"0,243608","8,17919"
08/01/2008 19.00,"0,249142","10,943649"
08/01/2008 20.00,"0,1883","11,848272"
08/01/2008 21.00,"0,320753","15,811972"
08/01/2008 22.00,"0,275346","17,628988"
08/01/2008 23.00,"0,336667","21,274708"
09/01/2008 0.00,"0,317372","12,693184"
09/01/2008 1.00,"0,236967","10,403737"
09/01/2008 2.00,"0,290331","10,347935"
09/01/2008 3.00,"0,302955","9,495231"
09/01/2008 4.00,"0,183574","8,288212"
09/01/2008 5.00,"0,319586","7,583468"
09/01/2008 6.00,"0,268735","14,251927"
09/01/2008 7.00,"0,351743","21,828902"
