,SIMAGE Brindisi,,,
,Via Dei Mille,,,
Parm,SO2,NOX,NO2,PM10



01/01/2010 1.00,"1,50616988","35,93915656","24,81531264",
01/01/2010 2.00,"1,2507483","67,42580048","47,59815016","71,79486084"
01/01/2010 3.00,"1,31696415","74,45542144","45,0465288",
01/01/2010 4.00,"0,42464123","43,70933336","29,82897816","62,51525116"
01/01/2010 5.00,"0,65455747","52,98918712","34,25992344",
01/01/2010 6.00,"0,21495719","40,70164264","27,18909888","49,32844162"
01/01/2010 7.00,"0,17608541","31,5735252","22,4804356",
01/01/2010 8.00,"0,22991624","18,65568227","11,86903254","40,04883957"
01/01/2010 9.00,"0,17633051","17,57659918","10,91509558",
01/01/2010 10.00,"0,59385986","19,13684472","11,4005065","30,76922989"
01/01/2010 11.00,"0,91414977","19,61543744","11,13184755",
01/01/2010 12.00,"1,40709171","24,24175088","14,20131308","21,97801971"
01/01/2010 13.00,"1,74368921","30,88612296","18,99435483",
01/01/2010 14.00,"1,91842609","31,48016224","19,60694816","12,21000957"
01/01/2010 15.00,"1,53032668","13,09036651","6,87612751",
01/01/2010 16.00,"0,7596451","14,83998418","8,38036101","16,11721039"
01/01/2010 17.00,"0,29772675","24,40775072","16,04689211",
01/01/2010 18.00,"0,17584032","30,4996504","22,91002376","21,97801971"
01/01/2010 19.00,"0,19815737","35,76145528","27,25271112",
01/01/2010 20.00,"0,17559522","43,1386396","32,0444508","25,88521957"
01/01/2010 21.00,"0,17608541","58,50263032","42,26518064",
01/01/2010 22.00,"0,58257828","65,34544888","49,82918648","25,88521957"
01/01/2010 23.00,"0,59569961","79,52139928","60,393866",
02/01/2010 0.00,"0,17584032","31,16628832","22,97751736","21,48962021"
02/01/2010 1.00,,"25,03289824","17,98721074",
02/01/2010 2.00,"0,00180924",,,"17,09399986"
02/01/2010 3.00,,"19,03051075","14,00404057",
02/01/2010 4.00,,"10,72468333","7,04485004","16,11721039"
02/01/2010 5.00,,"9,67932218","6,12206339",
02/01/2010 6.00,,"8,3862385","5,45884986","8,30280876"
02/01/2010 7.00,,"11,59624941","7,60553066",
02/01/2010 8.00,,"16,49232884","11,58739302","8,79120922"
02/01/2010 9.00,,"25,13666248","17,16175637",
02/01/2010 10.00,"0,49212833","32,22591872","20,88404944","9,76801014"
02/01/2010 11.00,"0,24968265","29,6138208","18,8373108",
02/01/2010 12.00,"0,44870549","21,86308904","12,2363373","4,88400507"
02/01/2010 13.00,"1,34430721","29,37776528","17,50179983",
02/01/2010 14.00,"2,63252586","32,18959072","20,41421368","2,93040299"
02/01/2010 15.00,"3,57878741","29,51653824","20,1195936",
02/01/2010 16.00,"2,23448019","42,83646712","31,6953196","2,93040299"
02/01/2010 17.00,"0,33652937","37,69397104","28,79198584",
02/01/2010 18.00,"0,12122233","36,05846536","27,01520248","16,11721039"
02/01/2010 19.00,,"37,03769616","28,83221432",
02/01/2010 20.00,,"44,68466368","33,87964576","20,02441978"
02/01/2010 21.00,,"39,18678416","28,85817928",
02/01/2010 22.00,"0,01447394","29,47244752","22,88275864","22,95482063"
