NetC,Provincia di TARANTO,,,,
Stat,GROTTAGLIE,,,,
Parm,SO2,NOX,NO2,CO,O3
PtId,1,2,4,5,6
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver
,,,,,
,,,,,
04/01/2007 11.00,"4,32734","7,872635","0,295915","0,190166","65,551714"
04/01/2007 12.00,"3,315942",,,"0,175416","43,572357"
04/01/2007 13.00,"2,607962",,,"0,151596","42,671755"
04/01/2007 14.00,"2,665757","36,686193","34,77777","0,169342","49,275124"
04/01/2007 15.00,"2,355114","27,340223","25,68747","0,158378","52,707463"
04/01/2007 16.00,"3,352063","21,607587","20,358402","0,166818","56,413792"
04/01/2007 17.00,"3,413469","20,94353","19,932715","0,202391","53,034821"
04/01/2007 18.00,"2,781345","28,930299","26,930826","0,33127","51,208378"
04/01/2007 19.00,"3,120886","48,613191","38,8479","0,544072","41,219032"
04/01/2007 20.00,"5,226761","143,359793","79,440153","1,204877","17,60569"
04/01/2007 21.00,"7,343474","205,209793","74,619849","1,366175","12,55341"
04/01/2007 22.00,"6,50907","154,513743","78,287639","1,547427","22,822322"
04/01/2007 23.00,"5,598811","88,988016","61,360783","0,977642","20,44091"
05/01/2007 0.00,"5,88417","98,839808","57,6281","0,998858","21,993398"
05/01/2007 1.00,"4,995585","52,41593","46,949217","0,762868","23,590856"
05/01/2007 2.00,"6,108123","46,538021","43,990072","0,618292","22,740846"
05/01/2007 3.00,"6,382646","30,385522","28,932153","0,401942","31,623064"
05/01/2007 4.00,"5,577139","27,405058","26,326021","0,291597","34,125311"
05/01/2007 5.00,"5,988923","23,511557","22,588158","0,235123","36,91137"
05/01/2007 6.00,"5,920292","22,411718","20,277946","0,20736","40,82564"
05/01/2007 7.00,"5,51212","38,029889","33,996447","0,267304","30,365615"
05/01/2007 8.00,"5,62771","38,984456","34,653165","0,270064","27,333695"
05/01/2007 9.00,"6,140633","40,221748","33,640835","0,314943","38,965464"
05/01/2007 10.00,"7,896131","97,999384","50,0096","0,666169","19,381568"
05/01/2007 11.00,"7,646894","69,323287","47,338577","0,512365","25,883769"
05/01/2007 12.00,"6,61021","36,701776","31,385134","0,322674","40,461752"
05/01/2007 13.00,"6,801653","25,840908","23,38244","0,286944","48,068249"
05/01/2007 14.00,"6,971424","15,672641","14,258417","0,18425","58,724959"
05/01/2007 15.00,"7,123134","19,311946","17,087776","0,180542","57,81454"
05/01/2007 16.00,"7,090624","15,789371","14,284376","0,134165","60,951838"
05/01/2007 17.00,"5,154519","14,653219","13,933956","0,140001","59,201247"
05/01/2007 18.00,"4,775245","15,405465","14,512805","0,16808","59,080429"
05/01/2007 19.00,"4,898058","15,070844","14,149396","0,148677","55,952949"
05/01/2007 20.00,"3,799968","16,004666","14,902162","0,182909","51,25614"
05/01/2007 21.00,"5,819152","24,339014","22,987898","0,307687","43,985422"
05/01/2007 22.00,"8,152593","14,990434","14,146801","0,206097","52,212921"
05/01/2007 23.00,"8,752208","19,288599","18,16242","0,320464","42,427308"
06/01/2007 0.00,"7,982822","12,710352","11,958584","0,266121","48,853642"
06/01/2007 1.00,"6,852223","9,501636","8,755445","0,162874","54,436988"
06/01/2007 2.00,"6,581313",,,"0,144892","55,69725"
06/01/2007 3.00,"5,898619","92,147443","90,913342",,"54,310543"
06/01/2007 4.00,"5,410981","50,792108","49,773393","0,138572",
06/01/2007 5.00,"5,678279","37,326904","36,332627","0,1442","51,379249"
