,ARPA Puglia,,
,Giorgiloro,,
Parm,SO2,NO2,CO



01/01/2008 1.00,"0,776914","9,48556323","1,5101271"
01/01/2008 2.00,"0,98302001","10,53128261","1,53212085"
01/01/2008 3.00,"1,11812401","13,89189602","1,5863813"
01/01/2008 4.00,"1,00166798","17,58832248","1,62183695"
01/01/2008 5.00,"0,91614097","11,62041547","1,48472245"
01/01/2008 6.00,"0,84424102","9,97459125","1,4072826"
01/01/2008 7.00,"0,70510298","10,15079017","1,4013486"
01/01/2008 8.00,"0,65929198","9,33617609","1,3848806"
01/01/2008 9.00,"0,835724","4,51869809","1,3235373"
01/01/2008 10.00,"0,58102697","3,63513219","1,3052155"
01/01/2008 11.00,"0,89274198","6,50416883","1,27068675"
01/01/2008 12.00,"0,99915701","4,36930907","1,2651978"
01/01/2008 13.00,"0,93962902","3,72706419","1,29902275"
01/01/2008 14.00,"0,82263499","5,35374546","1,36756045"
01/01/2008 15.00,"1,27447498","5,77765139","1,37546095"
01/01/2008 16.00,"1,51518703","4,65787328","1,4078392"
01/01/2008 17.00,"1,06738198","3,61853425","1,3374086"
01/01/2008 18.00,"0,61312199","4,82641464","1,3807268"
01/01/2008 19.00,"0,71326101","6,63951242","1,44095805"
01/01/2008 20.00,"0,542925","7,10938434","1,4612084"
01/01/2008 21.00,"0,58138502","7,62267162","1,46232045"
01/01/2008 22.00,"0,598957",,"1,4546442"
01/01/2008 23.00,"0,569372",,"1,41844565"
02/01/2008 0.00,"0,49200401",,"1,4088397"
02/01/2008 1.00,,,"1,39374595"
02/01/2008 2.00,"0,57138002",,"1,3984184"
02/01/2008 3.00,"0,52009797",,
02/01/2008 4.00,"0,55173999",,"1,29110155"
02/01/2008 5.00,"0,55301303",,"1,2995943"
02/01/2008 6.00,"0,50154901",,"1,3138129"
02/01/2008 7.00,"0,42462599",,"1,2879586"
02/01/2008 8.00,"0,60429603",,"1,34179815"
02/01/2008 9.00,"0,49991199",,"1,46646505"
02/01/2008 10.00,"0,51482397",,"1,4286381"
02/01/2008 11.00,"0,624663",,"1,46912155"
02/01/2008 12.00,"0,94508702",,"1,50073735"
02/01/2008 13.00,"2,3853581",,"1,4892132"
02/01/2008 14.00,"7,01950121",,"1,4721886"
02/01/2008 15.00,"8,18881226",,"1,48506055"
02/01/2008 16.00,"10,72928047",,"1,4402738"
02/01/2008 17.00,"7,23772383",,"1,54305275"
02/01/2008 18.00,"4,640872",,"1,62775945"
02/01/2008 19.00,"2,68414092",,"1,6661476"
02/01/2008 20.00,"1,76105905",,"1,6019431"
02/01/2008 21.00,"1,60212004",,"1,54436145"
02/01/2008 22.00,"1,22604895",,"1,70835145"
02/01/2008 23.00,"0,99346",,"1,7281441"
03/01/2008 0.00,"0,875983",,"1,7326705"
03/01/2008 1.00,"0,90908003",,"1,7129526"
03/01/2008 2.00,"0,612297",,"1,71224305"
03/01/2008 3.00,"0,64466703",,"1,5613481"
03/01/2008 4.00,"0,498458",,"1,5064609"
03/01/2008 5.00,"0,62066197",,"1,4715538"
03/01/2008 6.00,"0,48300001",,"1,4800086"
03/01/2008 7.00,"0,62048101","30,31573842","1,537665"
03/01/2008 8.00,"0,631392","73,38956625","1,7284431"
03/01/2008 9.00,"1,21895695","74,90262384","2,20637965"
03/01/2008 10.00,"1,41972196","112,12853553","2,0854928"
03/01/2008 11.00,"1,30479097","94,75859151","1,99891505"
03/01/2008 12.00,"3,53520989","32,48507691","1,5996983"
03/01/2008 13.00,"5,97930622","10,56447662","1,4556516"
03/01/2008 14.00,"6,28663588","9,11400742","1,47196435"
03/01/2008 15.00,"4,80272102","6,75187395","1,4929921"
03/01/2008 16.00,"3,61522508","6,1211201","1,5122224"
03/01/2008 17.00,"2,79870796","6,1211201","1,4896617"
03/01/2008 18.00,"1,98146403","15,04487378","1,64212755"
03/01/2008 19.00,"1,73723602","22,24491291","1,6931979"
03/01/2008 20.00,"1,47245896","29,76925149","1,75077955"
03/01/2008 21.00,"1,43190598","30,62345121","1,7530255"
03/01/2008 22.00,"1,22586703","21,17876211","1,6417538"
03/01/2008 23.00,"1,211501","16,12251937","1,5734714"
04/01/2008 0.00,"1,04965198","12,32650337","1,57395785"
04/01/2008 1.00,,"11,04456801","1,5610123"
04/01/2008 2.00,"1,88418901",,"1,4959844"
04/01/2008 3.00,"2,11081195","7,02000674",
04/01/2008 4.00,"2,04804206","5,16222016","1,2892121"
04/01/2008 5.00,"1,60093999","4,62850522","1,28724675"
04/01/2008 6.00,"1,71057701","4,33994101","1,2879517"
04/01/2008 7.00,"1,81575596","5,92448789","1,28817365"
04/01/2008 8.00,"1,69865","9,50854717","1,3889493"
04/01/2008 9.00,"1,85057497","10,76111259","1,35171"
04/01/2008 10.00,"1,81937099","10,85687807","1,35768195"
04/01/2008 11.00,"2,02936792","9,89670281","1,3629478"
04/01/2008 12.00,"1,99635601","9,42427649","1,3704044"
04/01/2008 13.00,"2,61911798","9,2429669","1,40204205"
04/01/2008 14.00,"2,77574301","8,30832809","1,41391005"
04/01/2008 15.00,"2,93899298","8,50496031","1,3908767"
04/01/2008 16.00,"2,65116596","8,04785474","1,3689945"
04/01/2008 17.00,"2,61237097","7,80270401","1,34755505"
04/01/2008 18.00,"2,43695211","8,78841572","1,39851845"
04/01/2008 19.00,"2,19177508","9,25190541","1,39792505"
04/01/2008 20.00,"2,08009005","9,6655975","1,3936965"
04/01/2008 21.00,"1,95262206","9,00420028","1,36261545"
04/01/2008 22.00,"1,94744098","9,60558608","1,39384485"
