, Brindisi,,,
,Via Dei Mille,,,
Parm,SO2,NO2,NOX,PM10



05/01/2009 23.00,"2,7","46,4","29,1",
06/01/2009 0.00,"1,7","37,9","14,6","18,1"
06/01/2009 1.00,,"32,0","10,3",
06/01/2009 2.00,"0,4","43,9","24,8","8,3"
06/01/2009 3.00,"0,2","25,9","1,4",
06/01/2009 4.00,"0,1","26,9","7,2","10,7"
06/01/2009 5.00,"0,0",,,
06/01/2009 6.00,"0,3","22,9","1,5","9,8"
06/01/2009 7.00,"0,0","15,1","0,2",
06/01/2009 8.00,"0,1","21,2","2,9","12,2"
06/01/2009 9.00,"0,1","39,4","14,6",
06/01/2009 10.00,"0,2","39,4","12,2","12,7"
06/01/2009 11.00,"0,6","38,6","19,3",
06/01/2009 12.00,"2,4","47,7","41,3","15,1"
06/01/2009 13.00,"2,5","45,8","32,8",
06/01/2009 14.00,"1,1","34,1","10,8","16,1"
06/01/2009 15.00,"1,0","55,0","34,0",
06/01/2009 16.00,"1,3","49,7","33,9","14,2"
06/01/2009 17.00,"1,9","106,8","150,8",
06/01/2009 18.00,"1,7","115,3","180,7","33,7"
06/01/2009 19.00,"3,1","119,5","239,2",
06/01/2009 20.00,"3,5","125,5","285,1","43,0"
06/01/2009 21.00,"5,5","130,6","354,1",
06/01/2009 22.00,"4,3","111,6","276,5","45,9"
06/01/2009 23.00,"1,0","89,3","131,3",
07/01/2009 0.00,"1,0","85,6","118,8","65,4"
07/01/2009 1.00,"0,7","78,3","94,3",
07/01/2009 2.00,"1,1","81,5","113,4","58,6"
07/01/2009 3.00,"0,1","65,6","60,0",
07/01/2009 4.00,"0,1","47,7","21,4","63,0"
07/01/2009 5.00,"0,0","33,7","2,6",
07/01/2009 6.00,"0,2","52,1","29,5","39,1"
07/01/2009 7.00,"0,2","88,6","79,9",
07/01/2009 8.00,"2,2","112,5","198,3","34,2"
07/01/2009 9.00,"4,1","124,8","276,8",
07/01/2009 10.00,"3,5","119,2","243,9","46,9"
07/01/2009 11.00,"2,4","115,4","184,0",
07/01/2009 12.00,"1,9","83,1","102,0","31,7"
07/01/2009 13.00,"2,2","70,2","71,9",
07/01/2009 14.00,"2,1","79,5","93,4","23,4"
07/01/2009 15.00,,,,
07/01/2009 16.00,,,,"23,4"
07/01/2009 17.00,"0,2","61,8","90,6",
07/01/2009 18.00,"0,2","57,6","86,7","20,5"
07/01/2009 19.00,"0,4","86,5","133,5",
07/01/2009 20.00,"0,5","104,4","178,2","23,9"
07/01/2009 21.00,"0,7","101,8","180,4",
07/01/2009 22.00,"0,3","82,2","122,1","32,7"
07/01/2009 23.00,"0,0","52,5","66,8",
08/01/2009 0.00,"0,0","37,7","48,6","24,4"
08/01/2009 1.00,,"30,4","39,9",
08/01/2009 2.00,"0,0",,,"16,1"
08/01/2009 3.00,"0,0","27,8","34,3",
08/01/2009 4.00,"0,0","20,2","21,8","10,7"
08/01/2009 5.00,"0,0","16,3","18,6",
08/01/2009 6.00,"0,1","23,4","26,6","13,7"
08/01/2009 7.00,"0,5","61,5","113,2",
08/01/2009 8.00,"2,1","81,5","202,5","15,6"
08/01/2009 9.00,"1,3","77,0","179,8",
08/01/2009 10.00,"4,1","103,8","334,3","18,1"
08/01/2009 11.00,"6,9","125,9","423,5",
08/01/2009 12.00,"5,8","119,9","374,5","38,1"
08/01/2009 13.00,"4,3","110,2","288,5",
08/01/2009 14.00,"1,9","86,2","154,1","38,1"
08/01/2009 15.00,"5,2","85,8","137,9",
08/01/2009 16.00,"3,1","41,7","58,8","23,0"
08/01/2009 17.00,"0,2","41,1","59,0",
08/01/2009 18.00,"2,3","75,4","129,0","29,8"
08/01/2009 19.00,"1,0","64,3","104,5",
08/01/2009 20.00,"1,5","81,9","151,0","23,0"
08/01/2009 21.00,"1,4","100,6","191,8",
08/01/2009 22.00,"0,9","82,7","137,3","23,0"
08/01/2009 23.00,"0,2","58,0","98,0",
09/01/2009 0.00,"0,6","60,0","113,9","25,4"
09/01/2009 1.00,"0,7","62,9","115,1",
09/01/2009 2.00,"0,2","29,3","41,5","22,0"
09/01/2009 3.00,"1,3","34,9","38,7",
09/01/2009 4.00,"1,4","28,8","32,7","10,3"
09/01/2009 5.00,"1,6","26,8","28,8",
09/01/2009 6.00,"2,7","33,7","35,5","10,3"
09/01/2009 7.00,"3,1","41,3","47,3",
09/01/2009 8.00,"4,7","65,7","88,0","13,2"
09/01/2009 9.00,"4,9","73,8","112,5",
09/01/2009 10.00,"4,1","52,5","86,3","14,7"
09/01/2009 11.00,"2,9","41,3","62,1",
09/01/2009 12.00,"4,3","54,9","82,2","11,7"
09/01/2009 13.00,"3,6","48,0","87,4",
09/01/2009 14.00,"3,3","46,9","82,7","14,7"
09/01/2009 15.00,"0,9","42,8","66,0",
09/01/2009 16.00,"0,3","49,1","73,7","18,6"
09/01/2009 17.00,"0,1","42,8","61,6",
09/01/2009 18.00,"0,7","75,0","110,2","20,0"
09/01/2009 19.00,"0,4","59,6","87,1",
09/01/2009 20.00,"0,2","58,7","86,1","25,9"
09/01/2009 21.00,"0,2","58,6","87,5",
09/01/2009 22.00,"0,2","57,2","86,5","28,3"
09/01/2009 23.00,"0,6","73,4","114,3",
10/01/2009 0.00,"0,4","57,6","85,2","26,4"
10/01/2009 1.00,,"38,7","54,0",
10/01/2009 2.00,"0,5",,,"16,6"
10/01/2009 3.00,"0,6","26,9","33,7",
10/01/2009 4.00,"4,4","43,6","50,4","18,1"
10/01/2009 5.00,"5,4","36,4","40,4",
10/01/2009 6.00,"3,0","18,2","20,8","15,6"
10/01/2009 7.00,"1,3","15,7","21,1",
10/01/2009 8.00,"1,5","26,1","31,5","7,3"
10/01/2009 9.00,"1,8","37,1","59,3",
10/01/2009 10.00,"1,0","24,1","33,1","16,6"
10/01/2009 11.00,"1,6","40,3","67,1",
10/01/2009 12.00,"2,9","57,4","96,6","7,3"
10/01/2009 13.00,"2,5","48,5","75,5",
10/01/2009 14.00,"1,7","54,2","91,2","14,7"
10/01/2009 15.00,"1,1","30,8","46,8",
10/01/2009 16.00,"0,2","37,5","54,5","19,5"
10/01/2009 17.00,"0,4","61,2","93,1",
10/01/2009 18.00,"0,6","47,6","78,0","21,0"
10/01/2009 19.00,"1,2","48,9","83,6",
10/01/2009 20.00,"1,4","48,2","83,6","24,4"
10/01/2009 21.00,"1,2","41,6","71,3",
10/01/2009 22.00,"1,0","45,1","76,4","19,0"
10/01/2009 23.00,"0,9","47,6","88,6",
11/01/2009 0.00,"1,2","43,3","75,0","18,1"
11/01/2009 1.00,"1,6","47,4","86,1",
11/01/2009 2.00,"1,2","44,0","80,7","12,7"
11/01/2009 3.00,"1,3","41,2","75,5",
11/01/2009 4.00,"1,3","39,2","67,6","23,4"
11/01/2009 5.00,"1,3","35,1","59,4",
11/01/2009 6.00,"0,4","26,9","42,5","22,0"
11/01/2009 7.00,"0,3","22,0","30,5",
11/01/2009 8.00,"1,8","30,1","46,1","20,5"
11/01/2009 9.00,"1,6","24,1","37,1",
11/01/2009 10.00,"1,5","26,5","40,9","26,9"
11/01/2009 11.00,"4,6","42,3","74,6",
11/01/2009 12.00,"2,8","31,4","52,4","23,9"
11/01/2009 13.00,"0,8","26,9","44,6",
11/01/2009 14.00,"0,6","24,2","39,2","22,5"
11/01/2009 15.00,"2,0","33,4","50,1",
11/01/2009 16.00,"2,7","36,8","55,0","26,4"
11/01/2009 17.00,"0,2","29,1","41,0",
11/01/2009 18.00,"0,4","48,4","73,2","27,8"
11/01/2009 19.00,"0,2","49,0","74,8",
11/01/2009 20.00,"0,9","66,0","100,4","30,8"
11/01/2009 21.00,"0,4","51,5","72,8",
11/01/2009 22.00,"0,5","58,1","96,2","30,3"
11/01/2009 23.00,"0,0","52,9","79,9",
12/01/2009 0.00,"0,0","51,7","73,3","32,7"
12/01/2009 1.00,,"41,7","63,3",
12/01/2009 2.00,"0,0",,,"29,3"
12/01/2009 3.00,"0,0","31,1","37,3",
12/01/2009 4.00,"0,0","26,2","29,1","23,4"
12/01/2009 5.00,"0,0","22,1","24,2",
12/01/2009 6.00,"0,0","29,7","40,1","23,9"
12/01/2009 7.00,"0,4","42,1","87,5",
12/01/2009 8.00,"1,6","55,0","177,1","24,4"
12/01/2009 9.00,"5,6","80,3","350,4",
12/01/2009 10.00,"2,7","73,3","203,1","35,7"
12/01/2009 11.00,"1,2","57,6","118,0",
12/01/2009 12.00,,"39,4","69,8","29,3"
12/01/2009 13.00,,"42,9","76,4",
12/01/2009 14.00,"6,9","44,0","74,3","24,9"
12/01/2009 15.00,"6,0","41,8","61,8",
12/01/2009 16.00,"6,4","57,6","89,5","25,4"
12/01/2009 17.00,"5,4","71,7","111,7",
12/01/2009 18.00,"6,1","95,1","170,7","34,7"
12/01/2009 19.00,"11,3","124,9","402,9",
12/01/2009 20.00,"12,1","125,0","414,3","45,9"
12/01/2009 21.00,"9,7","107,2","329,2",
12/01/2009 22.00,"6,6","86,3","189,8","51,8"
12/01/2009 23.00,"5,0","73,4","132,1",
13/01/2009 0.00,"4,3","63,0","124,0","39,1"
13/01/2009 1.00,"4,6","51,6","114,8",
13/01/2009 2.00,"4,1","44,3","92,0","28,3"
13/01/2009 3.00,"4,3","48,1","89,4",
13/01/2009 4.00,"3,6","47,1","67,9","34,2"
13/01/2009 5.00,"5,1","59,6","70,5",
13/01/2009 6.00,"5,4","48,2","52,8","30,3"
13/01/2009 7.00,"5,6","40,4","45,8",
13/01/2009 8.00,"6,2","54,6","69,4","21,0"
13/01/2009 9.00,"6,8","78,5","119,8",
13/01/2009 10.00,"6,2","93,2","176,3","24,4"
13/01/2009 11.00,"4,4","47,4","67,1",
13/01/2009 12.00,"5,2","47,7","71,6","16,1"
13/01/2009 13.00,"5,4","39,2","49,9",
13/01/2009 14.00,"5,3","39,8","55,7","17,1"
13/01/2009 15.00,"7,2","37,2","49,7",
13/01/2009 16.00,"8,3","34,9","42,5","14,2"
13/01/2009 17.00,"7,0","30,1","39,9",
13/01/2009 18.00,"5,6","26,5","38,7","15,1"
13/01/2009 19.00,"5,5","30,7","44,5",
13/01/2009 20.00,"5,2","24,4","42,1","26,9"
13/01/2009 21.00,"5,3","24,1","40,8",
13/01/2009 22.00,"5,0","25,0","35,7","21,0"
13/01/2009 23.00,"5,9","25,7","33,3",
14/01/2009 0.00,"4,8","11,1","15,9","17,6"
14/01/2009 1.00,,"7,0","10,0",
14/01/2009 2.00,"1,0",,,"32,7"
14/01/2009 3.00,"0,7","9,9","11,8",
14/01/2009 4.00,"0,6","8,0","10,0","56,2"
14/01/2009 5.00,"0,4","7,1","8,9",
14/01/2009 6.00,"0,1","10,1","11,8","46,9"
14/01/2009 7.00,"0,6","32,3","41,0",
14/01/2009 8.00,"0,6","66,1","93,5","61,5"
14/01/2009 9.00,"1,5","75,3","124,5",
14/01/2009 10.00,"1,0","46,5","72,0","102,6"
14/01/2009 11.00,"1,3","31,7","48,7",
14/01/2009 12.00,"1,4","42,6","69,6","124,5"
14/01/2009 13.00,"1,9","44,9","73,5",
14/01/2009 14.00,"1,7","40,1","66,0","118,7"
14/01/2009 15.00,"1,6","31,4","49,4",
14/01/2009 16.00,"1,3","29,8","40,8","83,0"
14/01/2009 17.00,"1,0","33,1","44,7",
14/01/2009 18.00,"0,9","43,8","62,4","61,1"
14/01/2009 19.00,"0,4","40,0","56,9",
14/01/2009 20.00,"0,5","43,3","66,0","47,9"
14/01/2009 21.00,"0,5","43,4","61,9",
14/01/2009 22.00,"0,5","32,0","42,9","29,8"
14/01/2009 23.00,"0,2","27,0","36,1",
15/01/2009 0.00,"0,2","24,3","31,7","25,9"
15/01/2009 1.00,"0,2","15,0","19,3",
15/01/2009 2.00,"0,1","9,5","12,4","16,1"
15/01/2009 3.00,"0,1","6,8","8,8",
15/01/2009 4.00,"0,1","4,9","6,4","13,2"
15/01/2009 5.00,"0,1","6,6","8,3",
15/01/2009 6.00,"0,1","11,8","14,9","10,3"
15/01/2009 7.00,"0,1","30,6","42,0",
15/01/2009 8.00,"1,2","78,5","153,7","15,1"
15/01/2009 9.00,"3,5","99,9","254,3",
15/01/2009 10.00,"1,9","76,5","167,0","25,9"
15/01/2009 11.00,"1,1","53,0","93,9",
15/01/2009 12.00,"1,1","37,2","55,7","25,4"
15/01/2009 13.00,"4,6","43,9","73,2",
15/01/2009 14.00,"2,8","54,8","94,1","17,1"
15/01/2009 15.00,"2,7","49,7","68,1",
15/01/2009 16.00,"2,6","69,9","108,8","21,5"
15/01/2009 17.00,"7,3","109,9","228,4",
15/01/2009 18.00,"7,3","118,9","303,8","41,5"
15/01/2009 19.00,"8,5","139,0","417,2",
15/01/2009 20.00,"10,8","175,3","526,0","54,2"
15/01/2009 21.00,"5,8","108,2","289,2",
15/01/2009 22.00,"2,4","98,2","179,8","54,7"
15/01/2009 23.00,"0,6","70,9","107,0",
16/01/2009 0.00,"0,4","50,5","74,8","45,4"
16/01/2009 1.00,,"46,0","63,1",
16/01/2009 2.00,"0,1",,,"34,2"
16/01/2009 3.00,"0,0","41,5","51,7",
16/01/2009 4.00,"1,1","61,6","128,2","32,2"
16/01/2009 5.00,"1,1","60,4","117,2",
16/01/2009 6.00,"1,0","52,9","101,4","34,7"
16/01/2009 7.00,"1,2","47,9","85,4",
16/01/2009 8.00,"0,5","42,5","72,8","24,4"
16/01/2009 9.00,"0,8","48,5","90,9",
16/01/2009 10.00,"1,3","40,2","78,1","33,7"
16/01/2009 11.00,"1,3","37,3","73,8",
16/01/2009 12.00,"1,0","32,4","56,3","25,4"
16/01/2009 13.00,"1,8","28,7","52,3",
16/01/2009 14.00,"1,8","28,6","53,2","23,4"
16/01/2009 15.00,"1,7","27,7","48,4",
16/01/2009 16.00,"1,0","26,6","42,9","24,9"
16/01/2009 17.00,"0,4","20,7","32,0",
16/01/2009 18.00,"0,5","22,8","36,7","18,1"
16/01/2009 19.00,"0,4","23,2","35,8",
16/01/2009 20.00,"0,3","17,6","28,8","25,9"
16/01/2009 21.00,"0,3","25,2","39,1",
16/01/2009 22.00,"0,4","37,1","54,4","32,7"
16/01/2009 23.00,"0,5","38,0","58,9",
17/01/2009 0.00,"0,7","38,8","59,0","26,4"
17/01/2009 1.00,"0,5","34,5","50,0",
17/01/2009 2.00,"0,8","34,2","53,7","26,4"
17/01/2009 3.00,"0,6","28,2","39,8",
17/01/2009 4.00,"0,7","28,7","44,1","23,0"
17/01/2009 5.00,"0,6","31,1","48,2",
17/01/2009 6.00,"1,3","31,2","48,8","20,0"
17/01/2009 7.00,"1,5","32,6","50,3",
17/01/2009 8.00,"1,3","39,5","62,0","18,1"
17/01/2009 9.00,"1,5","42,5","73,0",
17/01/2009 10.00,"2,0","34,7","61,9","18,6"
17/01/2009 11.00,"2,2","31,3","56,5",
17/01/2009 12.00,"1,8","27,4","47,8","21,0"
