,Provincia di TARANTO,Provincia di TARANTO
Stazione,TA V. Machiavelli,TA V. Machiavelli
,IPA TOT,IPA TOT 2
Unit,ng/m3,ng/m3
21/01/2014 20.00.00,2,2
21/01/2014 21.00.00,2,2
21/01/2014 22.00.00,3,2
21/01/2014 23.00.00,8,4
22/01/2014 00.00.00,3,2
22/01/2014 01.00.00,2,2
22/01/2014 02.00.00,1,1
22/01/2014 03.00.00,3,3
22/01/2014 04.00.00,2,2
22/01/2014 05.00.00,1,1
22/01/2014 06.00.00,14,7
22/01/2014 07.00.00,23,11
22/01/2014 08.00.00,31,14
22/01/2014 09.00.00,38,18
22/01/2014 10.00.00,24,18
22/01/2014 11.00.00,10,8
22/01/2014 12.00.00,12,9
22/01/2014 13.00.00,4,6
22/01/2014 14.00.00,3,5
22/01/2014 15.00.00,2,5
22/01/2014 16.00.00,8,8
22/01/2014 17.00.00,7,6
22/01/2014 18.00.00,6,7
22/01/2014 19.00.00,9,8
22/01/2014 20.00.00,8,8
22/01/2014 21.00.00,1,5
22/01/2014 22.00.00,4,6
22/01/2014 23.00.00,3,5
23/01/2014 00.00.00,11,10
23/01/2014 01.00.00,3,5
23/01/2014 02.00.00,11,10
23/01/2014 03.00.00,2,5
23/01/2014 04.00.00,3,5
23/01/2014 05.00.00,3,6
23/01/2014 06.00.00,13,11
23/01/2014 07.00.00,51,33
23/01/2014 08.00.00,74,47
23/01/2014 09.00.00,49,33
23/01/2014 10.00.00,23,17
23/01/2014 11.00.00,26,19
23/01/2014 12.00.00,22,17
23/01/2014 13.00.00,15,12
23/01/2014 14.00.00,9,9
23/01/2014 15.00.00,8,9
23/01/2014 16.00.00,8,9
23/01/2014 17.00.00,21,17
23/01/2014 18.00.00,29,22
23/01/2014 19.00.00,46,32
23/01/2014 20.00.00,37,28
23/01/2014 21.00.00,16,15
23/01/2014 22.00.00,17,15
23/01/2014 23.00.00,14,13
24/01/2014 00.00.00,10,10
24/01/2014 01.00.00,5,8
24/01/2014 02.00.00,2,6
24/01/2014 03.00.00,3,6
24/01/2014 04.00.00,2,6
24/01/2014 05.00.00,2,6
24/01/2014 06.00.00,3,6
24/01/2014 07.00.00,16,14
24/01/2014 08.00.00,16,14
24/01/2014 09.00.00,10,10
24/01/2014 10.00.00,7,8
24/01/2014 11.00.00,12,11
24/01/2014 12.00.00,6,7
24/01/2014 13.00.00,9,9
24/01/2014 14.00.00,12,11
24/01/2014 15.00.00,4,6
24/01/2014 16.00.00,6,8
24/01/2014 17.00.00,16,13
24/01/2014 18.00.00,8,9
24/01/2014 19.00.00,16,13
24/01/2014 20.00.00,4,6
24/01/2014 21.00.00,17,15
24/01/2014 22.00.00,2,5
24/01/2014 23.00.00,7,7
25/01/2014 00.00.00,51,37
25/01/2014 01.00.00,2,5
25/01/2014 02.00.00,2,5
25/01/2014 03.00.00,2,5
25/01/2014 04.00.00,3,6
25/01/2014 05.00.00,2,5
25/01/2014 06.00.00,9,10
25/01/2014 07.00.00,29,22
25/01/2014 08.00.00,,
25/01/2014 09.00.00,39,26
25/01/2014 10.00.00,34,23
25/01/2014 11.00.00,31,22
25/01/2014 12.00.00,29,20
25/01/2014 13.00.00,32,23
25/01/2014 14.00.00,25,18
25/01/2014 15.00.00,11,10
25/01/2014 16.00.00,12,11
25/01/2014 17.00.00,13,12
25/01/2014 18.00.00,11,11
25/01/2014 19.00.00,16,14
25/01/2014 20.00.00,10,9
25/01/2014 21.00.00,11,10
25/01/2014 22.00.00,11,11
25/01/2014 23.00.00,8,8
26/01/2014 00.00.00,3,6
26/01/2014 01.00.00,5,6
26/01/2014 02.00.00,6,8
26/01/2014 03.00.00,2,5
26/01/2014 04.00.00,1,4
26/01/2014 05.00.00,1,4
26/01/2014 06.00.00,3,5
26/01/2014 07.00.00,4,7
26/01/2014 08.00.00,4,7
26/01/2014 09.00.00,6,8
26/01/2014 10.00.00,9,10
26/01/2014 11.00.00,12,11
26/01/2014 12.00.00,16,14
26/01/2014 13.00.00,15,13
26/01/2014 14.00.00,12,11
26/01/2014 15.00.00,8,9
26/01/2014 16.00.00,4,6
26/01/2014 17.00.00,5,7
26/01/2014 18.00.00,5,7
26/01/2014 19.00.00,6,7
26/01/2014 20.00.00,6,8
26/01/2014 21.00.00,7,8
26/01/2014 22.00.00,10,10
26/01/2014 23.00.00,7,9
27/01/2014 00.00.00,6,7
27/01/2014 01.00.00,3,6
27/01/2014 02.00.00,5,7
27/01/2014 03.00.00,4,6
27/01/2014 04.00.00,2,5
27/01/2014 05.00.00,2,5
27/01/2014 06.00.00,5,6
27/01/2014 07.00.00,12,12
27/01/2014 08.00.00,20,17
27/01/2014 09.00.00,35,25
27/01/2014 10.00.00,25,20
27/01/2014 11.00.00,23,18
27/01/2014 12.00.00,19,15
27/01/2014 13.00.00,21,16
27/01/2014 14.00.00,26,19
27/01/2014 15.00.00,16,13
27/01/2014 16.00.00,18,15
27/01/2014 17.00.00,27,21
27/01/2014 18.00.00,16,15
27/01/2014 19.00.00,27,22
27/01/2014 20.00.00,33,25
27/01/2014 21.00.00,24,19
27/01/2014 22.00.00,17,15
27/01/2014 23.00.00,19,16
28/01/2014 00.00.00,12,12
28/01/2014 01.00.00,7,8
28/01/2014 02.00.00,8,9
28/01/2014 03.00.00,1,5
28/01/2014 04.00.00,1,5
28/01/2014 05.00.00,3,6
28/01/2014 06.00.00,3,6
28/01/2014 07.00.00,10,10
28/01/2014 08.00.00,26,21
28/01/2014 09.00.00,25,20
28/01/2014 10.00.00,20,17
28/01/2014 11.00.00,25,21
28/01/2014 12.00.00,20,16
28/01/2014 13.00.00,20,15
28/01/2014 14.00.00,20,16
28/01/2014 15.00.00,7,9
28/01/2014 16.00.00,17,13
28/01/2014 17.00.00,15,13
28/01/2014 18.00.00,22,18
28/01/2014 19.00.00,18,15
28/01/2014 20.00.00,25,18
28/01/2014 21.00.00,18,14
28/01/2014 22.00.00,22,16
28/01/2014 23.00.00,14,12
29/01/2014 00.00.00,7,9
29/01/2014 01.00.00,8,9
29/01/2014 02.00.00,5,7
29/01/2014 03.00.00,21,17
29/01/2014 04.00.00,8,9
29/01/2014 05.00.00,7,9
29/01/2014 06.00.00,27,21
29/01/2014 07.00.00,27,21
29/01/2014 08.00.00,18,16
29/01/2014 09.00.00,56,41
29/01/2014 10.00.00,28,21
29/01/2014 11.00.00,16,14
29/01/2014 12.00.00,4,6
29/01/2014 13.00.00,8,9
29/01/2014 14.00.00,7,8
29/01/2014 15.00.00,3,6
29/01/2014 16.00.00,4,7
29/01/2014 17.00.00,8,9
29/01/2014 18.00.00,19,16
29/01/2014 19.00.00,24,19
29/01/2014 20.00.00,31,24
29/01/2014 21.00.00,31,24
29/01/2014 22.00.00,26,20
29/01/2014 23.00.00,19,16
30/01/2014 00.00.00,9,10
30/01/2014 01.00.00,2,5
30/01/2014 02.00.00,1,4
30/01/2014 03.00.00,1,4
30/01/2014 04.00.00,1,4
30/01/2014 05.00.00,1,4
30/01/2014 06.00.00,1,4
30/01/2014 07.00.00,2,5
30/01/2014 08.00.00,4,7
30/01/2014 09.00.00,3,6
30/01/2014 10.00.00,3,6
30/01/2014 11.00.00,2,5
30/01/2014 12.00.00,3,6
30/01/2014 13.00.00,3,6
30/01/2014 14.00.00,4,7
30/01/2014 15.00.00,3,6
30/01/2014 16.00.00,3,6
30/01/2014 17.00.00,3,6
30/01/2014 18.00.00,4,6
30/01/2014 19.00.00,4,6
30/01/2014 20.00.00,4,6
30/01/2014 21.00.00,3,6
30/01/2014 22.00.00,2,5
30/01/2014 23.00.00,2,5
31/01/2014 00.00.00,2,4
31/01/2014 01.00.00,1,4
31/01/2014 02.00.00,1,4
31/01/2014 03.00.00,0,4
31/01/2014 04.00.00,0,4
31/01/2014 05.00.00,,
31/01/2014 06.00.00,,
31/01/2014 07.00.00,2,5
31/01/2014 08.00.00,4,6
31/01/2014 09.00.00,5,7
31/01/2014 10.00.00,5,7
31/01/2014 11.00.00,5,7
31/01/2014 12.00.00,5,7
31/01/2014 13.00.00,7,8
31/01/2014 14.00.00,5,7
31/01/2014 15.00.00,3,6
31/01/2014 16.00.00,3,6
31/01/2014 17.00.00,3,6
31/01/2014 18.00.00,2,5
31/01/2014 19.00.00,4,7
31/01/2014 20.00.00,3,6
31/01/2014 21.00.00,3,6
31/01/2014 22.00.00,3,6
31/01/2014 23.00.00,2,5
01/02/2014 00.00.00,1,4
01/02/2014 01.00.00,1,4
01/02/2014 02.00.00,1,4
01/02/2014 03.00.00,0,4
01/02/2014 04.00.00,1,4
01/02/2014 05.00.00,1,4
01/02/2014 06.00.00,1,4
01/02/2014 07.00.00,1,4
01/02/2014 08.00.00,2,6
01/02/2014 09.00.00,3,6
01/02/2014 10.00.00,3,6
01/02/2014 11.00.00,4,6
01/02/2014 12.00.00,11,11
01/02/2014 13.00.00,7,8
01/02/2014 14.00.00,9,10
01/02/2014 15.00.00,4,6
01/02/2014 16.00.00,1,5
01/02/2014 17.00.00,2,5
01/02/2014 18.00.00,3,6
01/02/2014 19.00.00,3,6
01/02/2014 20.00.00,2,6
01/02/2014 21.00.00,7,8
01/02/2014 22.00.00,8,9
01/02/2014 23.00.00,6,8
02/02/2014 00.00.00,4,7
02/02/2014 01.00.00,3,6
02/02/2014 02.00.00,2,5
02/02/2014 03.00.00,3,6
02/02/2014 04.00.00,1,5
02/02/2014 05.00.00,1,4
02/02/2014 06.00.00,1,4
02/02/2014 07.00.00,1,5
02/02/2014 08.00.00,2,5
02/02/2014 09.00.00,3,6
02/02/2014 10.00.00,4,7
02/02/2014 11.00.00,10,11
02/02/2014 12.00.00,6,7
02/02/2014 13.00.00,3,6
02/02/2014 14.00.00,5,7
02/02/2014 15.00.00,2,5
02/02/2014 16.00.00,2,5
02/02/2014 17.00.00,3,6
02/02/2014 18.00.00,4,7
02/02/2014 19.00.00,9,9
02/02/2014 20.00.00,8,10
02/02/2014 21.00.00,9,9
02/02/2014 22.00.00,7,9
02/02/2014 23.00.00,5,7
03/02/2014 00.00.00,4,7
03/02/2014 01.00.00,1,4
03/02/2014 02.00.00,1,4
03/02/2014 03.00.00,1,4
03/02/2014 04.00.00,1,4
03/02/2014 05.00.00,1,4
03/02/2014 06.00.00,3,6
03/02/2014 07.00.00,9,10
03/02/2014 08.00.00,15,14
03/02/2014 09.00.00,17,16
03/02/2014 10.00.00,18,15
03/02/2014 11.00.00,24,19
03/02/2014 12.00.00,17,14
03/02/2014 13.00.00,22,18
03/02/2014 14.00.00,19,16
03/02/2014 15.00.00,10,10
03/02/2014 16.00.00,8,9
03/02/2014 17.00.00,11,11
03/02/2014 18.00.00,13,13
03/02/2014 19.00.00,13,12
03/02/2014 20.00.00,12,12
03/02/2014 21.00.00,11,11
03/02/2014 22.00.00,9,10
03/02/2014 23.00.00,5,7
04/02/2014 00.00.00,2,5
04/02/2014 01.00.00,1,5
04/02/2014 02.00.00,1,4
04/02/2014 03.00.00,1,4
04/02/2014 04.00.00,1,4
04/02/2014 05.00.00,1,4
04/02/2014 06.00.00,2,5
04/02/2014 07.00.00,6,8
04/02/2014 08.00.00,9,10
04/02/2014 09.00.00,16,15
04/02/2014 10.00.00,15,14
04/02/2014 11.00.00,15,14
04/02/2014 12.00.00,13,13
04/02/2014 13.00.00,17,15
04/02/2014 14.00.00,6,7
04/02/2014 15.00.00,8,7
04/02/2014 16.00.00,7,6
04/02/2014 17.00.00,8,7
04/02/2014 18.00.00,18,14
04/02/2014 19.00.00,19,15
04/02/2014 20.00.00,24,18
04/02/2014 21.00.00,21,16
04/02/2014 22.00.00,16,12
04/02/2014 23.00.00,11,9
05/02/2014 00.00.00,7,6
05/02/2014 01.00.00,3,4
05/02/2014 02.00.00,1,3
05/02/2014 03.00.00,1,2
05/02/2014 04.00.00,1,2
05/02/2014 05.00.00,1,2
05/02/2014 06.00.00,1,3
05/02/2014 07.00.00,27,20
05/02/2014 08.00.00,44,31
05/02/2014 09.00.00,32,23
05/02/2014 10.00.00,21,16
05/02/2014 11.00.00,26,19
05/02/2014 12.00.00,7,7
05/02/2014 13.00.00,17,11
05/02/2014 14.00.00,8,6
05/02/2014 15.00.00,4,5
05/02/2014 16.00.00,3,4
05/02/2014 17.00.00,3,4
05/02/2014 18.00.00,5,5
05/02/2014 19.00.00,7,6
05/02/2014 20.00.00,7,6
05/02/2014 21.00.00,5,5
05/02/2014 22.00.00,4,4
05/02/2014 23.00.00,2,3
06/02/2014 00.00.00,2,3
06/02/2014 01.00.00,3,4
06/02/2014 02.00.00,1,3
06/02/2014 03.00.00,1,2
06/02/2014 04.00.00,1,2
06/02/2014 05.00.00,1,2
06/02/2014 06.00.00,3,4
06/02/2014 07.00.00,14,11
06/02/2014 08.00.00,15,12
06/02/2014 09.00.00,20,15
06/02/2014 10.00.00,30,20
06/02/2014 11.00.00,17,13
06/02/2014 12.00.00,11,8
06/02/2014 13.00.00,9,8
06/02/2014 14.00.00,12,10
06/02/2014 15.00.00,16,11
06/02/2014 16.00.00,12,9
06/02/2014 17.00.00,16,11
06/02/2014 18.00.00,27,18
06/02/2014 19.00.00,22,15
06/02/2014 20.00.00,11,8
06/02/2014 21.00.00,11,9
06/02/2014 22.00.00,12,10
06/02/2014 23.00.00,7,6
07/02/2014 00.00.00,6,5
07/02/2014 01.00.00,5,5
07/02/2014 02.00.00,2,3
07/02/2014 03.00.00,3,4
07/02/2014 04.00.00,4,4
07/02/2014 05.00.00,3,4
07/02/2014 06.00.00,15,12
07/02/2014 07.00.00,93,63
07/02/2014 08.00.00,143,97
07/02/2014 09.00.00,62,45
07/02/2014 10.00.00,22,17
07/02/2014 11.00.00,22,16
07/02/2014 12.00.00,10,8
07/02/2014 13.00.00,6,6
07/02/2014 14.00.00,8,7
07/02/2014 15.00.00,3,4
07/02/2014 16.00.00,3,4
07/02/2014 17.00.00,3,4
07/02/2014 18.00.00,6,6
07/02/2014 19.00.00,18,14
07/02/2014 20.00.00,14,11
07/02/2014 21.00.00,5,6
07/02/2014 22.00.00,5,5
07/02/2014 23.00.00,2,3
08/02/2014 00.00.00,2,3
08/02/2014 01.00.00,1,2
08/02/2014 02.00.00,1,2
08/02/2014 03.00.00,1,2
08/02/2014 04.00.00,1,2
08/02/2014 05.00.00,1,2
08/02/2014 06.00.00,1,2
08/02/2014 07.00.00,1,3
08/02/2014 08.00.00,4,4
08/02/2014 09.00.00,6,6
08/02/2014 10.00.00,12,9
08/02/2014 11.00.00,14,11
08/02/2014 12.00.00,8,7
08/02/2014 13.00.00,8,7
08/02/2014 14.00.00,10,8
08/02/2014 15.00.00,8,7
08/02/2014 16.00.00,9,8
08/02/2014 17.00.00,9,8
08/02/2014 18.00.00,40,28
08/02/2014 19.00.00,30,22
08/02/2014 20.00.00,103,69
08/02/2014 21.00.00,18,13
08/02/2014 22.00.00,7,6
08/02/2014 23.00.00,3,4
09/02/2014 00.00.00,5,5
09/02/2014 01.00.00,23,17
09/02/2014 02.00.00,18,14
09/02/2014 03.00.00,9,8
09/02/2014 04.00.00,2,3
09/02/2014 05.00.00,1,3
09/02/2014 06.00.00,17,13
09/02/2014 07.00.00,12,10
09/02/2014 08.00.00,7,6
09/02/2014 09.00.00,14,11
09/02/2014 10.00.00,3,3
09/02/2014 11.00.00,2,3
09/02/2014 12.00.00,2,3
09/02/2014 13.00.00,2,3
09/02/2014 14.00.00,1,2
09/02/2014 15.00.00,2,3
09/02/2014 16.00.00,3,4
09/02/2014 17.00.00,1,3
09/02/2014 18.00.00,4,4
09/02/2014 19.00.00,3,4
09/02/2014 20.00.00,8,7
09/02/2014 21.00.00,16,12
09/02/2014 22.00.00,11,9
09/02/2014 23.00.00,10,8
10/02/2014 00.00.00,13,10
10/02/2014 01.00.00,6,6
10/02/2014 02.00.00,3,4
10/02/2014 03.00.00,2,3
10/02/2014 04.00.00,1,3
10/02/2014 05.00.00,5,5
10/02/2014 06.00.00,10,9
10/02/2014 07.00.00,24,18
10/02/2014 08.00.00,30,22
10/02/2014 09.00.00,34,25
10/02/2014 10.00.00,15,12
10/02/2014 11.00.00,18,14
10/02/2014 12.00.00,8,7
10/02/2014 13.00.00,7,7
10/02/2014 14.00.00,5,5
10/02/2014 15.00.00,3,4
10/02/2014 16.00.00,4,4
10/02/2014 17.00.00,4,4
10/02/2014 18.00.00,4,5
10/02/2014 19.00.00,4,4
10/02/2014 20.00.00,4,4
10/02/2014 21.00.00,5,5
10/02/2014 22.00.00,3,4
10/02/2014 23.00.00,1,2
11/02/2014 00.00.00,1,2
11/02/2014 01.00.00,1,2
11/02/2014 02.00.00,1,2
11/02/2014 03.00.00,1,2
11/02/2014 04.00.00,0,2
11/02/2014 05.00.00,1,2
11/02/2014 06.00.00,1,2
11/02/2014 07.00.00,2,3
11/02/2014 08.00.00,3,4
11/02/2014 09.00.00,5,5
11/02/2014 10.00.00,5,5
11/02/2014 11.00.00,5,5
11/02/2014 12.00.00,5,5
11/02/2014 13.00.00,6,6
11/02/2014 14.00.00,5,5
11/02/2014 15.00.00,3,4
11/02/2014 16.00.00,3,4
11/02/2014 17.00.00,4,4
11/02/2014 18.00.00,4,5
11/02/2014 19.00.00,5,5
11/02/2014 20.00.00,4,4
11/02/2014 21.00.00,3,4
11/02/2014 22.00.00,2,3
11/02/2014 23.00.00,1,2
12/02/2014 00.00.00,1,2
12/02/2014 01.00.00,1,2
12/02/2014 02.00.00,1,2
12/02/2014 03.00.00,1,2
12/02/2014 04.00.00,0,2
12/02/2014 05.00.00,1,2
12/02/2014 06.00.00,1,2
12/02/2014 07.00.00,,
12/02/2014 08.00.00,6,5
12/02/2014 09.00.00,7,7
12/02/2014 10.00.00,4,4
12/02/2014 11.00.00,6,6
12/02/2014 12.00.00,6,6
12/02/2014 13.00.00,9,7
12/02/2014 14.00.00,6,6
12/02/2014 15.00.00,7,6
12/02/2014 16.00.00,6,6
12/02/2014 17.00.00,11,9
12/02/2014 18.00.00,20,14
12/02/2014 19.00.00,12,10
12/02/2014 20.00.00,18,13
12/02/2014 21.00.00,12,10
12/02/2014 22.00.00,20,16
12/02/2014 23.00.00,41,30
13/02/2014 00.00.00,15,12
13/02/2014 01.00.00,6,6
13/02/2014 02.00.00,4,5
13/02/2014 03.00.00,7,7
13/02/2014 04.00.00,3,4
13/02/2014 05.00.00,5,5
13/02/2014 06.00.00,15,12
13/02/2014 07.00.00,38,28
13/02/2014 08.00.00,43,30
13/02/2014 09.00.00,62,44
13/02/2014 10.00.00,24,18
13/02/2014 11.00.00,12,9
13/02/2014 12.00.00,7,6
13/02/2014 13.00.00,6,6
13/02/2014 14.00.00,4,4
13/02/2014 15.00.00,3,4
13/02/2014 16.00.00,5,5
13/02/2014 17.00.00,8,6
13/02/2014 18.00.00,7,7
13/02/2014 19.00.00,10,9
13/02/2014 20.00.00,8,7
13/02/2014 21.00.00,14,11
13/02/2014 22.00.00,3,3
13/02/2014 23.00.00,4,4
14/02/2014 00.00.00,2,3
14/02/2014 01.00.00,3,3
14/02/2014 02.00.00,1,2
14/02/2014 03.00.00,2,3
14/02/2014 04.00.00,1,3
14/02/2014 05.00.00,3,3
14/02/2014 06.00.00,10,9
14/02/2014 07.00.00,16,12
14/02/2014 08.00.00,134,91
14/02/2014 09.00.00,118,81
14/02/2014 10.00.00,42,29
14/02/2014 11.00.00,26,18
14/02/2014 12.00.00,14,11
14/02/2014 13.00.00,19,14
14/02/2014 14.00.00,17,13
14/02/2014 15.00.00,6,5
14/02/2014 16.00.00,6,6
14/02/2014 17.00.00,6,6
14/02/2014 18.00.00,6,5
14/02/2014 19.00.00,21,16
14/02/2014 20.00.00,12,9
14/02/2014 21.00.00,17,12
14/02/2014 22.00.00,7,6
14/02/2014 23.00.00,7,6
15/02/2014 00.00.00,4,4
15/02/2014 01.00.00,8,6
15/02/2014 02.00.00,3,4
15/02/2014 03.00.00,2,3
15/02/2014 04.00.00,3,3
15/02/2014 05.00.00,1,2
15/02/2014 06.00.00,8,7
15/02/2014 07.00.00,13,11
15/02/2014 08.00.00,58,41
15/02/2014 09.00.00,35,25
15/02/2014 10.00.00,36,24
15/02/2014 11.00.00,17,13
15/02/2014 12.00.00,6,6
15/02/2014 13.00.00,8,7
15/02/2014 14.00.00,6,6
15/02/2014 15.00.00,3,3
15/02/2014 16.00.00,3,3
15/02/2014 17.00.00,3,3
15/02/2014 18.00.00,4,5
15/02/2014 19.00.00,25,18
15/02/2014 20.00.00,54,38
15/02/2014 21.00.00,113,76
15/02/2014 22.00.00,31,22
15/02/2014 23.00.00,34,25
16/02/2014 00.00.00,31,22
16/02/2014 01.00.00,13,11
16/02/2014 02.00.00,12,10
16/02/2014 03.00.00,6,6
16/02/2014 04.00.00,3,4
16/02/2014 05.00.00,1,3
16/02/2014 06.00.00,2,3
16/02/2014 07.00.00,9,8
16/02/2014 08.00.00,22,16
16/02/2014 09.00.00,19,14
16/02/2014 10.00.00,22,15
16/02/2014 11.00.00,5,6
16/02/2014 12.00.00,3,4
16/02/2014 13.00.00,3,4
16/02/2014 14.00.00,3,4
16/02/2014 15.00.00,2,3
16/02/2014 16.00.00,1,3
16/02/2014 17.00.00,1,3
16/02/2014 18.00.00,3,4
16/02/2014 19.00.00,4,5
16/02/2014 20.00.00,6,6
16/02/2014 21.00.00,8,7
16/02/2014 22.00.00,13,10
16/02/2014 23.00.00,5,5
17/02/2014 00.00.00,3,3
17/02/2014 01.00.00,2,3
17/02/2014 02.00.00,1,2
17/02/2014 03.00.00,1,2
17/02/2014 04.00.00,1,2
17/02/2014 05.00.00,1,2
17/02/2014 06.00.00,1,3
17/02/2014 07.00.00,6,6
17/02/2014 08.00.00,14,11
17/02/2014 09.00.00,15,12
17/02/2014 10.00.00,13,10
17/02/2014 11.00.00,8,7
17/02/2014 12.00.00,6,5
17/02/2014 13.00.00,8,7
17/02/2014 14.00.00,7,7
17/02/2014 15.00.00,4,4
17/02/2014 16.00.00,4,5
17/02/2014 17.00.00,4,4
17/02/2014 18.00.00,5,5
17/02/2014 19.00.00,5,5
17/02/2014 20.00.00,6,6
17/02/2014 21.00.00,4,5
17/02/2014 22.00.00,4,4
17/02/2014 23.00.00,2,3
18/02/2014 00.00.00,2,3
18/02/2014 01.00.00,1,2
18/02/2014 02.00.00,1,2
18/02/2014 03.00.00,1,2
18/02/2014 04.00.00,1,2
18/02/2014 05.00.00,1,2
18/02/2014 06.00.00,2,3
18/02/2014 07.00.00,3,4
18/02/2014 08.00.00,5,5
18/02/2014 09.00.00,14,11
18/02/2014 10.00.00,15,12
18/02/2014 11.00.00,7,7
18/02/2014 12.00.00,5,6
18/02/2014 13.00.00,8,7
18/02/2014 14.00.00,8,7
18/02/2014 15.00.00,7,6
18/02/2014 16.00.00,5,5
18/02/2014 17.00.00,5,5
18/02/2014 18.00.00,6,6
18/02/2014 19.00.00,6,6
18/02/2014 20.00.00,6,6
18/02/2014 21.00.00,5,5
18/02/2014 22.00.00,4,5
18/02/2014 23.00.00,2,3
19/02/2014 00.00.00,5,5
19/02/2014 01.00.00,1,2
19/02/2014 02.00.00,1,2
19/02/2014 03.00.00,1,2
19/02/2014 04.00.00,1,2
19/02/2014 05.00.00,1,2
19/02/2014 06.00.00,2,3
19/02/2014 07.00.00,3,4
19/02/2014 08.00.00,4,4
19/02/2014 09.00.00,7,6
19/02/2014 10.00.00,6,6
19/02/2014 11.00.00,6,6
19/02/2014 12.00.00,5,5
19/02/2014 13.00.00,4,5
19/02/2014 14.00.00,4,4
19/02/2014 15.00.00,3,4
19/02/2014 16.00.00,2,3
19/02/2014 17.00.00,3,3
19/02/2014 18.00.00,2,3
19/02/2014 19.00.00,3,4
19/02/2014 20.00.00,4,4
19/02/2014 21.00.00,4,4
19/02/2014 22.00.00,3,4
19/02/2014 23.00.00,2,3
20/02/2014 00.00.00,2,3
20/02/2014 01.00.00,1,2
20/02/2014 02.00.00,1,2
20/02/2014 03.00.00,0,2
20/02/2014 04.00.00,1,2
20/02/2014 05.00.00,1,2
20/02/2014 06.00.00,1,2
20/02/2014 07.00.00,3,4
20/02/2014 08.00.00,4,5
20/02/2014 09.00.00,5,5
20/02/2014 10.00.00,5,5
20/02/2014 11.00.00,4,5
20/02/2014 12.00.00,6,5
20/02/2014 13.00.00,5,5
20/02/2014 14.00.00,5,5
20/02/2014 15.00.00,4,4
20/02/2014 16.00.00,4,4
20/02/2014 17.00.00,6,6
20/02/2014 18.00.00,5,5
20/02/2014 19.00.00,6,6
20/02/2014 20.00.00,7,6
20/02/2014 21.00.00,5,6
20/02/2014 22.00.00,4,4
20/02/2014 23.00.00,2,3
21/02/2014 00.00.00,2,3
21/02/2014 01.00.00,1,2
21/02/2014 02.00.00,1,2
21/02/2014 03.00.00,1,2
21/02/2014 04.00.00,1,2
21/02/2014 05.00.00,1,2
21/02/2014 06.00.00,1,2
21/02/2014 07.00.00,3,4
21/02/2014 08.00.00,15,12
21/02/2014 09.00.00,30,22
21/02/2014 10.00.00,15,12
21/02/2014 11.00.00,9,8
21/02/2014 12.00.00,9,7
21/02/2014 13.00.00,9,7
21/02/2014 14.00.00,4,4
21/02/2014 15.00.00,,9
21/02/2014 16.00.00,,10
21/02/2014 17.00.00,,13
21/02/2014 18.00.00,,7
21/02/2014 19.00.00,10,
21/02/2014 20.00.00,11,
21/02/2014 21.00.00,15,
21/02/2014 22.00.00,15,
21/02/2014 23.00.00,8,
22/02/2014 00.00.00,7,
22/02/2014 01.00.00,7,
22/02/2014 02.00.00,4,
22/02/2014 03.00.00,3,
22/02/2014 04.00.00,4,
22/02/2014 05.00.00,5,
22/02/2014 06.00.00,10,
22/02/2014 07.00.00,21,
22/02/2014 08.00.00,20,
22/02/2014 09.00.00,18,
22/02/2014 10.00.00,11,
22/02/2014 11.00.00,10,
22/02/2014 12.00.00,5,
22/02/2014 13.00.00,3,
22/02/2014 14.00.00,4,
22/02/2014 15.00.00,3,
22/02/2014 16.00.00,5,
22/02/2014 17.00.00,5,
22/02/2014 18.00.00,5,
22/02/2014 19.00.00,18,
22/02/2014 20.00.00,36,
22/02/2014 21.00.00,20,
22/02/2014 22.00.00,18,
22/02/2014 23.00.00,7,
23/02/2014 00.00.00,5,
23/02/2014 01.00.00,4,
23/02/2014 02.00.00,3,
23/02/2014 03.00.00,4,
23/02/2014 04.00.00,3,
23/02/2014 05.00.00,3,
23/02/2014 06.00.00,4,
23/02/2014 07.00.00,6,
23/02/2014 08.00.00,5,
23/02/2014 09.00.00,7,
23/02/2014 10.00.00,4,
23/02/2014 11.00.00,8,
23/02/2014 12.00.00,7,
23/02/2014 13.00.00,9,
23/02/2014 14.00.00,5,
23/02/2014 15.00.00,3,
23/02/2014 16.00.00,3,
23/02/2014 17.00.00,6,
23/02/2014 18.00.00,8,
23/02/2014 19.00.00,10,
23/02/2014 20.00.00,7,
23/02/2014 21.00.00,11,
23/02/2014 22.00.00,7,
23/02/2014 23.00.00,6,
24/02/2014 00.00.00,5,
24/02/2014 01.00.00,6,
24/02/2014 02.00.00,5,
24/02/2014 03.00.00,10,
24/02/2014 04.00.00,4,
24/02/2014 05.00.00,4,
24/02/2014 06.00.00,7,
24/02/2014 07.00.00,16,
24/02/2014 08.00.00,18,
24/02/2014 09.00.00,18,
24/02/2014 10.00.00,14,
24/02/2014 11.00.00,11,
24/02/2014 12.00.00,17,
24/02/2014 13.00.00,15,
24/02/2014 14.00.00,11,
24/02/2014 15.00.00,10,
24/02/2014 16.00.00,6,
24/02/2014 17.00.00,6,
24/02/2014 18.00.00,7,
24/02/2014 19.00.00,11,
24/02/2014 20.00.00,15,
24/02/2014 21.00.00,10,
24/02/2014 22.00.00,9,
24/02/2014 23.00.00,10,
25/02/2014 00.00.00,6,
25/02/2014 01.00.00,4,
25/02/2014 02.00.00,3,
25/02/2014 03.00.00,3,
