,Provincia di TARANTO,Provincia di TARANTO
Stazione,TA V. Machiavelli,TA V. Machiavelli
,IPA TOT,IPA TOT 2
Unit,ng/m3,ng/m3
09/09/2013 03.00.00,,1
09/09/2013 04.00.00,,2
09/09/2013 05.00.00,,8
09/09/2013 06.00.00,,18
09/09/2013 07.00.00,,42
09/09/2013 08.00.00,,26
09/09/2013 09.00.00,,10
09/09/2013 10.00.00,,4
09/09/2013 11.00.00,,4
09/09/2013 12.00.00,,3
09/09/2013 13.00.00,,4
09/09/2013 14.00.00,,3
09/09/2013 15.00.00,,3
09/09/2013 16.00.00,,6
09/09/2013 17.00.00,,3
09/09/2013 18.00.00,,3
09/09/2013 19.00.00,,3
09/09/2013 20.00.00,,7
09/09/2013 21.00.00,,3
09/09/2013 22.00.00,,2
09/09/2013 23.00.00,,2
10/09/2013 00.00.00,,2
10/09/2013 01.00.00,,1
10/09/2013 02.00.00,,1
10/09/2013 03.00.00,,2
10/09/2013 04.00.00,,1
10/09/2013 05.00.00,,4
10/09/2013 06.00.00,,5
10/09/2013 07.00.00,,7
10/09/2013 08.00.00,,17
10/09/2013 09.00.00,,8
10/09/2013 10.00.00,,4
10/09/2013 11.00.00,,4
10/09/2013 12.00.00,,3
10/09/2013 13.00.00,,5
10/09/2013 14.00.00,,3
10/09/2013 15.00.00,,4
10/09/2013 16.00.00,,3
10/09/2013 17.00.00,,4
10/09/2013 18.00.00,,5
10/09/2013 19.00.00,,6
10/09/2013 20.00.00,,6
10/09/2013 21.00.00,,3
10/09/2013 22.00.00,,1
10/09/2013 23.00.00,,3
11/09/2013 00.00.00,,1
11/09/2013 01.00.00,,1
11/09/2013 02.00.00,,1
11/09/2013 03.00.00,,1
11/09/2013 04.00.00,,2
11/09/2013 05.00.00,,9
11/09/2013 06.00.00,,11
11/09/2013 07.00.00,,26
11/09/2013 08.00.00,,6
11/09/2013 09.00.00,,4
11/09/2013 10.00.00,,3
11/09/2013 11.00.00,,2
11/09/2013 12.00.00,,2
11/09/2013 13.00.00,,3
11/09/2013 14.00.00,,4
11/09/2013 15.00.00,,4
11/09/2013 16.00.00,,3
11/09/2013 17.00.00,,4
11/09/2013 18.00.00,,4
11/09/2013 19.00.00,,5
11/09/2013 20.00.00,,4
11/09/2013 21.00.00,,4
11/09/2013 22.00.00,,4
11/09/2013 23.00.00,,5
12/09/2013 00.00.00,,7
12/09/2013 01.00.00,,3
12/09/2013 02.00.00,,1
12/09/2013 03.00.00,,2
12/09/2013 04.00.00,,3
12/09/2013 05.00.00,,12
12/09/2013 06.00.00,,17
12/09/2013 07.00.00,,40
12/09/2013 08.00.00,,12
12/09/2013 09.00.00,,7
12/09/2013 10.00.00,,4
12/09/2013 11.00.00,,4
12/09/2013 12.00.00,,7
12/09/2013 13.00.00,,6
12/09/2013 14.00.00,,3
12/09/2013 15.00.00,,3
12/09/2013 16.00.00,,9
12/09/2013 17.00.00,,3
