,Provincia di TARANTO,,,,,,,
,MARTINA FRANCA,,,,,,,
Parm,NOX,NO,NO2,CO,O3,Benzene,Toluene,Xylene
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
03/01/2006 11.00,"73,040405","25,149894","34,502612","0,811166","35,343758","2,815539","10,851359","10,109315"
03/01/2006 12.00,"92,396443","32,436365","42,692187","0,822553","28,742444","3,17909","9,056471","8,433401"
03/01/2006 13.00,"79,053186","25,613443","39,808316","0,783758","34,181909","2,985871","8,292422","7,786242"
03/01/2006 14.00,"57,891745","18,130718","30,113215","0,650565","44,948485","2,907528","9,069966","8,119391"
03/01/2006 15.00,"38,623892","9,651568","23,841894","0,422742","50,883573","2,650049","9,524658","9,155324"
03/01/2006 16.00,"27,264985","5,933049","18,180587","0,364549","55,226228","2,39433","6,420709","5,237082"
03/01/2006 17.00,"35,098719","8,024083","22,811383","0,596458","47,750164","2,519769","7,832539","6,802944"
03/01/2006 18.00,"96,155091","30,753053","49,036201","0,910982","24,765412","3,24379","13,334517","14,38642"
03/01/2006 19.00,"93,862047","29,927464","48,008274","1,206579","23,546706","3,164126","12,538287","12,266108"
03/01/2006 20.00,"139,982474","51,201507","61,519136","1,876071","11,987983","5,063305","20,532772","21,402297"
03/01/2006 21.00,"103,41813","34,674581","50,28734","1,344954","18,151908","4,409265","19,224748","20,618749"
03/01/2006 22.00,"47,422571","11,028667","30,533721","0,693289","36,792649","3,544842","13,598194","13,740452"
03/01/2006 23.00,"35,524098","6,479492","25,606995","0,514627","37,603776","2,841067","10,749618","10,161949"
04/01/2006 0.00,"16,577929","2,179005","13,261659","0,35434","49,040631","2,502164","8,966155","6,115113"
04/01/2006 1.00,"14,020296","1,184241","12,358337","0,369026","50,599225","2,354279","6,103047","5,544512"
04/01/2006 2.00,,,,"0,491536","39,150159","2,637284","7,412104","7,218034"
04/01/2006 3.00,"31,457772","1,031091","29,922091",,"34,825118","2,45551","6,279526","6,268829"
04/01/2006 4.00,"17,516939","0,529525","17,072204","0,342678",,"2,214316","5,718947","4,327949"
04/01/2006 5.00,"16,079892","0,646258","15,403146","0,318156","35,567178","2,439665","5,963941","4,701173"
04/01/2006 6.00,"20,142002","2,29912","16,877524","0,310902","30,407989","2,160179","6,386452","5,679087"
04/01/2006 7.00,"28,792825","5,197129","20,83862","0,440293","22,066655","2,346797","6,225545","5,707798"
04/01/2006 8.00,"73,312788","26,45256","32,776441","1,073609","17,88786","2,853391","10,326079","8,762962"
04/01/2006 9.00,"92,105935","35,285311","38,030232","1,25236","12,985958","3,722216","15,611091","16,777072"
04/01/2006 10.00,"87,608012","32,099701","38,416991","0,859377","24,499996","3,551884","15,906957","17,75021"
04/01/2006 11.00,"59,995442","18,506303","31,642106","0,640491","46,840206","2,944058","11,307087","10,280375"
04/01/2006 12.00,"51,352399","14,929894","28,480482","0,509522","49,922161","2,837546","10,683188","10,728953"
04/01/2006 13.00,"63,302723","19,132247","33,991268","0,488943","45,816473","2,546617","10,697721","8,870024"
04/01/2006 14.00,"86,772774","29,624629","41,378737","0,621332","40,806249","2,705946","9,427076","8,207912"
04/01/2006 15.00,"37,508506","9,387652","23,130667","0,418059","56,545142","2,68922","12,179103","11,483181"
04/01/2006 16.00,"78,767842","25,775851","39,273607","0,741812","29,871773","3,011399","10,190085","10,458614"
04/01/2006 17.00,"91,54564","32,180904","42,232753","1,157268","26,250868","3,557605","13,403033","13,882212"
04/01/2006 18.00,"102,671072","37,354358","45,428105","1,348477","20,755861","4,035151","15,666111","15,510276"
04/01/2006 19.00,"99,747721","35,3885","45,518963","1,473059","19,488421","4,151786","18,442003","19,421943"
04/01/2006 20.00,"115,160944","42,894903","49,425542","1,541342","14,32247","4,532063","19,78013","21,063147"
04/01/2006 21.00,"120,979195","47,472851","48,223737","1,486069","14,744955","4,108654","16,402135","18,261598"
04/01/2006 22.00,"108,971802","40,071334","47,564401","1,205129","13,004924","4,281627","14,919714","15,270437"
04/01/2006 23.00,"64,363636","16,550607","39,014014","0,748436","23,678036","3,500828","14,066381","14,048491"
05/01/2006 0.00,"41,360518","8,50962","28,332531","0,623775","33,652459","2,863074","9,948207","8,361029"
05/01/2006 1.00,"43,407141","10,125264","27,901643","0,621962","27,079592","2,942738","11,381836","8,303611"
05/01/2006 2.00,"16,964428","2,322804","13,412202","0,418925","38,849551","2,723991","9,736432","7,058338"
05/01/2006 3.00,"10,27982","0,971079","8,856678","0,325174","41,94234","2,513167","6,476767","4,801656"
05/01/2006 4.00,"4,090659","0,087972","4,70868","0,244117","48,436684","2,200232","4,837592","3,832114"
05/01/2006 5.00,"3,750851","0,003383","4,682723","0,219674","46,610005","2,487198","4,357985","2,07665"
05/01/2006 6.00,"3,737882","0,042294","4,337488","0,221566","47,400801","2,321708","3,660375","2,241131"
05/01/2006 7.00,"22,728173","5,491497","14,318127","0,345201","36,65182","2,280776","5,532087","1,941476"
05/01/2006 8.00,"49,030829","16,01093","24,498628","0,580408","29,33825","2,496882","6,761209","5,629445"
05/01/2006 9.00,"64,7294","23,074088","29,370842","0,984667","23,362527","3,120112","11,44723","10,349154"
