, Brindisi,,,,,,
,SISRI,,,,,,
Parm,SO2,NO2,NOX,CO,,PM10,BENZENE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
01/01/2009 1.00,"1,0","35,0","39,3","1,6",,,"6,9"
01/01/2009 2.00,"0,8","39,3","47,9","1,9",,"90,4","6,5"
01/01/2009 3.00,"1,3","42,8","53,6","2,2",,,"8,9"
01/01/2009 4.00,"0,5","29,3","32,7","1,8",,"143,1","7,9"
01/01/2009 5.00,"0,9","20,1","22,9","1,3",,,"5,3"
01/01/2009 6.00,"0,9","38,2","66,0","0,9",,"99,6","2,7"
01/01/2009 7.00,"0,8","21,1","23,9","0,7",,,"1,9"
01/01/2009 8.00,"0,6","16,3","18,4","0,6",,"61,1","1,3"
01/01/2009 9.00,"0,6","13,1","14,9","0,6",,,"1,3"
01/01/2009 10.00,"0,5","12,3","14,4","0,6",,"35,2","1,2"
01/01/2009 11.00,"0,5","11,4","14,9","0,6",,,"1,4"
01/01/2009 12.00,"0,8","9,4","12,2","0,6",,"24,4","1,3"
01/01/2009 13.00,"0,7","5,1","6,5","0,5",,,"1,1"
01/01/2009 14.00,"0,3","5,5","6,5","0,5",,"23,0","1,0"
01/01/2009 15.00,"0,8","3,4","4,4","0,5",,,"0,9"
01/01/2009 16.00,"0,6","4,9","5,9","0,5",,"4,4","0,7"
01/01/2009 17.00,"0,4","7,5","8,5","0,6",,,"0,9"
01/01/2009 18.00,"0,8","10,8","11,8","0,6",,"11,2","0,9"
01/01/2009 19.00,"0,4","20,1","21,4","0,7",,,"1,2"
01/01/2009 20.00,"0,8","20,6","21,7","0,9",,"21,0","2,1"
01/01/2009 21.00,"0,9","10,0","10,9","0,7",,,"1,8"
01/01/2009 22.00,"0,6","7,9","8,9","0,7",,"15,6","1,3"
01/01/2009 23.00,"0,5","8,8","9,8","0,8",,,"1,3"
02/01/2009 0.00,"0,4","8,2","9,2","0,7",,"20,0","1,2"
