NetC,SIMAGE Brindisi,,
Stat,S. Pancrazio S.,,
Parm,SO2,NO2,PM10
PtId,1,4,6
Unit,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver
,,,,,,,
,,,,,,,
01/01/2006 1.00,"2,444204","18,585528","26,97381"
01/01/2006 2.00,"1,616582","15,325271","26,97381"
01/01/2006 3.00,"1,524363","12,472548","26,97381"
01/01/2006 4.00,"1,358514","10,124701","26,97381"
01/01/2006 5.00,"1,10738","9,657465","26,97381"
01/01/2006 6.00,"0,960418","8,811255","26,97381"
01/01/2006 7.00,"1,256998","8,055893","26,97381"
01/01/2006 8.00,"1,135414","8,119487","26,97381"
01/01/2006 9.00,"0,964992","9,387508","26,97381"
01/01/2006 10.00,"1,358366","11,336913","26,97381"
01/01/2006 11.00,"1,194436","12,998187","26,97381"
01/01/2006 12.00,"1,24239","12,049439","26,97381"
01/01/2006 13.00,"1,558447","13,913186","26,97381"
01/01/2006 14.00,"1,079345","11,90797","26,97381"
01/01/2006 15.00,"1,467998","9,800233","26,97381"
01/01/2006 16.00,"1,229995","10,183101","26,97381"
01/01/2006 17.00,"1,519641","10,41931","26,97381"
01/01/2006 18.00,"1,489097","11,211016","26,97381"
01/01/2006 19.00,"1,372678","9,858637","26,97381"
01/01/2006 20.00,"1,019881","10,918992","26,97381"
01/01/2006 21.00,"0,72522","11,656187","26,97381"
01/01/2006 22.00,"0,602308","11,331714","26,97381"
01/01/2006 23.00,"0,905234","10,036445","26,97381"
02/01/2006 0.00,"0,821866","7,894955","26,97381"
02/01/2006 1.00,,"7,207085","39,635052"
02/01/2006 2.00,"0,172138",,"39,635052"
02/01/2006 3.00,"0,239421","7,138295","39,635052"
02/01/2006 4.00,"0,162819","6,284296","39,635052"
02/01/2006 5.00,"0,156993","6,074041","39,635052"
02/01/2006 6.00,"0,232139","7,188915","39,635052"
02/01/2006 7.00,"0,217285","8,237595","39,635052"
02/01/2006 8.00,"0,36321","13,343419","39,635052"
02/01/2006 9.00,"0,570883","23,155314","39,635052"
02/01/2006 10.00,"0,898558","26,281892","39,635052"
02/01/2006 11.00,"0,725837","17,361632","39,635052"
02/01/2006 12.00,"0,430201","12,495912","39,635052"
02/01/2006 13.00,"0,627097","13,16172","39,635052"
02/01/2006 14.00,"0,906714","12,275275","39,635052"
02/01/2006 15.00,"0,666128","14,738629","39,635052"
02/01/2006 16.00,"0,861568","15,201967","39,635052"
02/01/2006 17.00,"1,305459","21,122857","39,635052"
02/01/2006 18.00,"1,934595","28,433771","39,635052"
02/01/2006 19.00,"2,502565","45,486517","39,635052"
02/01/2006 20.00,"2,187997","44,977752","39,635052"
02/01/2006 21.00,"3,023351","54,916845","39,635052"
02/01/2006 22.00,"1,65993","33,443555","39,635052"
02/01/2006 23.00,"1,703911","28,137851","39,635052"
03/01/2006 0.00,"1,4942","23,038509","39,635052"
03/01/2006 1.00,"0,787586","16,739948","29,3629"
03/01/2006 2.00,"0,457581","11,338204","29,3629"
03/01/2006 3.00,"0,799819","9,103275","29,3629"
03/01/2006 4.00,"0,836227","10,151955","29,3629"
03/01/2006 5.00,"0,775644","8,969593","29,3629"
03/01/2006 6.00,"0,579913","9,913146","29,3629"
03/01/2006 7.00,"0,567096","10,907315","29,3629"
03/01/2006 8.00,"0,95186","18,734779","29,3629"
03/01/2006 9.00,"1,352643","32,311806","29,3629"
03/01/2006 10.00,"13,143707","21,570628","29,3629"
03/01/2006 11.00,"3,856957","26,524601","29,3629"
03/01/2006 12.00,"1,568472","15,439479","29,3629"
03/01/2006 13.00,"1,50818","11,835291","29,3629"
03/01/2006 14.00,"0,997589","10,632167","29,3629"
03/01/2006 15.00,"1,303711","12,131212","29,3629"
03/01/2006 16.00,"1,758087","12,58286","29,3629"
03/01/2006 17.00,"1,504685","12,281765","29,3629"
03/01/2006 18.00,"1,356139","20,477826","29,3629"
03/01/2006 19.00,"1,289439","24,315629","29,3629"
03/01/2006 20.00,"1,004871","22,076793","29,3629"
03/01/2006 21.00,"1,223321","24,224771","29,3629"
03/01/2006 22.00,"1,270507","20,420694","29,3629"
03/01/2006 23.00,"0,994385","14,785357","29,3629"
04/01/2006 0.00,"0,829819","13,897613","29,3629"
04/01/2006 1.00,,"12,57508","22,81793"
04/01/2006 2.00,"0,316334",,"22,81793"
04/01/2006 3.00,"0,201797","8,868361","22,81793"
04/01/2006 4.00,"0,300573","6,411488","22,81793"
04/01/2006 5.00,"0,261057","5,913105","22,81793"
04/01/2006 6.00,"0,146288","7,022786","22,81793"
04/01/2006 7.00,"0,315577","15,639356","22,81793"
04/01/2006 8.00,"0,238057","22,94377","22,81793"
04/01/2006 9.00,"0,259313","22,276673","22,81793"
04/01/2006 10.00,"0,484866","24,667342","22,81793"
04/01/2006 11.00,"0,558083","26,872432","22,81793"
04/01/2006 12.00,"0,497805","11,90797","22,81793"
04/01/2006 13.00,"0,580182","12,739904","22,81793"
04/01/2006 14.00,"0,402606","16,981359","22,81793"
04/01/2006 15.00,"0,838098","18,184482","22,81793"
04/01/2006 16.00,"0,513333","16,457009","22,81793"
04/01/2006 17.00,"0,341078","12,773654","22,81793"
04/01/2006 18.00,"0,827486","13,22272","22,81793"
04/01/2006 19.00,"0,655057","14,995611","22,81793"
04/01/2006 20.00,"0,6288","20,533617","22,81793"
04/01/2006 21.00,"0,603793","17,826272","22,81793"
04/01/2006 22.00,"0,390597","19,643275","22,81793"
04/01/2006 23.00,"0,278533","21,936624","22,81793"
05/01/2006 0.00,"0,225059","18,032627","22,81793"
05/01/2006 1.00,"0,271321","12,809998","27,55867"
05/01/2006 2.00,"0,338578","10,101338","27,55867"
05/01/2006 3.00,"0,319066","10,800886","27,55867"
05/01/2006 4.00,"0,202554","10,32457","27,55867"
05/01/2006 5.00,"0,266815","9,083809","27,55867"
05/01/2006 6.00,"0,266815","8,236297","27,55867"
05/01/2006 7.00,"0,239801","11,689925","27,55867"
05/01/2006 8.00,"0,250066","19,561518","27,55867"
05/01/2006 9.00,"0,477102","15,292822","27,55867"
05/01/2006 10.00,"0,579048","12,131212","27,55867"
05/01/2006 11.00,"0,493241","11,157806","27,55867"
05/01/2006 12.00,"0,685064","12,489423","27,55867"
05/01/2006 13.00,"0,863803","12,445286","27,55867"
05/01/2006 14.00,"0,762759","11,078628","27,55867"
05/01/2006 15.00,"0,672154","13,662693","27,55867"
05/01/2006 16.00,"0,642321","14,325908","27,55867"
05/01/2006 17.00,"0,885","16,135142","27,55867"
05/01/2006 18.00,"0,640081","22,534947","27,55867"
05/01/2006 19.00,"0,782474","25,516156","27,55867"
05/01/2006 20.00,"0,670264","28,999647","27,55867"
05/01/2006 21.00,"0,584979","26,432462","27,55867"
05/01/2006 22.00,"0,944901","22,081993","27,55867"
05/01/2006 23.00,"1,025532","24,773765","27,55867"
06/01/2006 0.00,"0,513101","20,777626","27,55867"
06/01/2006 1.00,,"14,386909","31,058201"
06/01/2006 2.00,"0,807712",,"31,058201"
06/01/2006 3.00,"0,782536","10,166232","31,058201"
06/01/2006 4.00,"0,937025","8,52183","31,058201"
06/01/2006 5.00,"0,592055","7,439403","31,058201"
06/01/2006 6.00,"0,77268","6,765807","31,058201"
06/01/2006 7.00,"0,813003","9,80802","31,058201"
06/01/2006 8.00,"1,095991","12,629589","31,058201"
06/01/2006 9.00,"1,656444","12,318098","31,058201"
06/01/2006 10.00,"1,316969","12,559505","31,058201"
06/01/2006 11.00,"0,970486","10,398549","31,058201"
06/01/2006 12.00,"1,121633","10,807375","31,058201"
06/01/2006 13.00,"1,154747","11,187651","31,058201"
06/01/2006 14.00,"1,693075","10,170127","31,058201"
06/01/2006 15.00,"1,460004","9,888487","31,058201"
06/01/2006 16.00,"1,15745","10,85021","31,058201"
06/01/2006 17.00,"1,43695","13,09423","31,058201"
06/01/2006 18.00,"1,934461","18,08844","31,058201"
06/01/2006 19.00,"1,47047","20,733497","31,058201"
06/01/2006 20.00,"1,436398","21,591393","31,058201"
06/01/2006 21.00,"2,087962","26,628441","31,058201"
06/01/2006 22.00,"2,060054","27,9886","31,058201"
06/01/2006 23.00,"1,726886","23,176098","31,058201"
07/01/2006 0.00,"1,836779","20,194868","31,058201"
07/01/2006 1.00,"1,008135","16,421968","41,05806"
07/01/2006 2.00,"1,136779","14,299949","41,05806"
07/01/2006 3.00,"0,902283","12,38689","41,05806"
07/01/2006 4.00,"1,077617","10,528332","41,05806"
07/01/2006 5.00,"0,768377","8,58153","41,05806"
07/01/2006 6.00,"0,694999","8,334935","41,05806"
07/01/2006 7.00,"0,966533","10,820356","41,05806"
07/01/2006 8.00,"1,222107","19,12543","41,05806"
07/01/2006 9.00,"1,688511","23,998946","41,05806"
07/01/2006 10.00,"1,616993","26,013238","41,05806"
07/01/2006 11.00,"2,759529","15,173413","41,05806"
07/01/2006 12.00,"3,734609","15,094248","41,05806"
07/01/2006 13.00,"2,194367","14,067634","41,05806"
07/01/2006 14.00,"1,976325","10,69446","41,05806"
07/01/2006 15.00,"1,897162","14,793142","41,05806"
07/01/2006 16.00,"1,95016","13,239584","41,05806"
07/01/2006 17.00,"1,801892","15,369396","41,05806"
07/01/2006 18.00,"1,733863","15,382375","41,05806"
07/01/2006 19.00,"1,498524","15,976797","41,05806"
07/01/2006 20.00,"1,828057","17,030671","41,05806"
07/01/2006 21.00,"2,3531","22,859412","41,05806"
07/01/2006 22.00,"2,682779","24,710171","41,05806"
07/01/2006 23.00,"2,101917","24,668642","41,05806"
08/01/2006 0.00,"2,070519","19,934015","41,05806"
08/01/2006 1.00,,"16,098797","32,535881"
08/01/2006 2.00,"0,284813",,"32,535881"
08/01/2006 3.00,"0,196044","11,203222","32,535881"
08/01/2006 4.00,"0,135322","9,95338","32,535881"
08/01/2006 5.00,"0,104673","8,793083","32,535881"
08/01/2006 6.00,"0,055083","8,946232","32,535881"
08/01/2006 7.00,"0,094986","10,385571","32,535881"
08/01/2006 8.00,"0,234645","13,377158","32,535881"
08/01/2006 9.00,"0,215272","17,58876","32,535881"
08/01/2006 10.00,"0,144575","14,700993","32,535881"
08/01/2006 11.00,"0,1599","11,617248","32,535881"
08/01/2006 12.00,"0,200092","13,12797","32,535881"
08/01/2006 13.00,"0,267174","12,811291","32,535881"
08/01/2006 14.00,"0,311848","11,848272","32,535881"
08/01/2006 15.00,"0,339173","12,732122","32,535881"
08/01/2006 16.00,"0,20067","13,348607","32,535881"
08/01/2006 17.00,"0,273247","16,091017","32,535881"
08/01/2006 18.00,"0,298836","17,121525","32,535881"
08/01/2006 19.00,"0,102648","15,125393","32,535881"
08/01/2006 20.00,"0,386016","16,158507","32,535881"
08/01/2006 21.00,"1,119011","23,379858","32,535881"
08/01/2006 22.00,"0,358835","22,415523","32,535881"
08/01/2006 23.00,"0,302595","26,96069","32,535881"
09/01/2006 0.00,"0,097588","21,560247","32,535881"
09/01/2006 1.00,"0,09195","17,392778","28,33441"
09/01/2006 2.00,"0,12737","13,641932","28,33441"
09/01/2006 3.00,"0,05595","8,748956","28,33441"
09/01/2006 4.00,"0,05465","6,948808","28,33441"
09/01/2006 5.00,"0,053059","6,584105","28,33441"
09/01/2006 6.00,"0,034842","6,201234","28,33441"
09/01/2006 7.00,"0,071999","11,257735","28,33441"
09/01/2006 8.00,"0,517","20,706233","28,33441"
09/01/2006 9.00,"0,293921","29,854941","28,33441"
09/01/2006 10.00,"0,369244","21,752327","28,33441"
09/01/2006 11.00,"0,367509","9,111062","28,33441"
09/01/2006 12.00,"2,128723","16,933337","28,33441"
09/01/2006 13.00,"3,218242","19,311027","28,33441"
09/01/2006 14.00,"2,652663","12,729528","28,33441"
09/01/2006 15.00,"1,877162","8,00268","28,33441"
09/01/2006 16.00,"1,462521","8,175297","28,33441"
09/01/2006 17.00,"1,205756","8,468615","28,33441"
09/01/2006 18.00,"1,30638","18,044313","28,33441"
09/01/2006 19.00,"0,886679","22,624484","28,33441"
09/01/2006 20.00,"0,35898","21,028117","28,33441"
09/01/2006 21.00,"0,492422","22,662132","28,33441"
09/01/2006 22.00,"0,242307","22,94637","28,33441"
09/01/2006 23.00,"0,348136","22,096256","28,33441"
10/01/2006 0.00,"0,205007","17,883376","28,33441"
10/01/2006 1.00,,"10,382978","33,016682"
10/01/2006 2.00,"0,083786",,"33,016682"
10/01/2006 3.00,"0,125982","6,754127","33,016682"
10/01/2006 4.00,"0,116711","7,36802","33,016682"
10/01/2006 5.00,"0,084132","6,355679","33,016682"
10/01/2006 6.00,"0,063511","7,100657","33,016682"
10/01/2006 7.00,"0,034831","13,932654","33,016682"
10/01/2006 8.00,"0,256643","30,702455","33,016682"
10/01/2006 9.00,"0,411478","36,612964","33,016682"
10/01/2006 10.00,"0,668815","32,562298","33,016682"
10/01/2006 11.00,"0,240614","8,547787","33,016682"
10/01/2006 12.00,"0,182735","7,047446","33,016682"
10/01/2006 13.00,"0,413558","9,562722","33,016682"
10/01/2006 14.00,"0,617434","9,426445","33,016682"
10/01/2006 15.00,"1,242493","9,56402","33,016682"
10/01/2006 16.00,"0,911509","10,154551","33,016682"
10/01/2006 17.00,"0,530962","14,909953","33,016682"
10/01/2006 18.00,"0,631817","15,240906","33,016682"
10/01/2006 19.00,"0,539193","23,034629","33,016682"
10/01/2006 20.00,"0,546905","22,046947","33,016682"
10/01/2006 21.00,"2,150536","39,948486","33,016682"
10/01/2006 22.00,"1,770683","38,317071","33,016682"
10/01/2006 23.00,"0,234288","30,409135","33,016682"
11/01/2006 0.00,"0,113245","19,252615","33,016682"
11/01/2006 1.00,"0,1317","8,972189","28,24609"
11/01/2006 2.00,"0,021575","8,562062","28,24609"
11/01/2006 3.00,"0,061258","12,777549","28,24609"
11/01/2006 4.00,"0,0798","10,625678","28,24609"
11/01/2006 5.00,"0,060478","5,297915","28,24609"
11/01/2006 6.00,"0,084393","6,456914","28,24609"
11/01/2006 7.00,"0,103108","12,022189","28,24609"
11/01/2006 8.00,"0,404634","33,55776","28,24609"
11/01/2006 9.00,"0,868013","45,337248","28,24609"
11/01/2006 10.00,"1,239027","29,063241","28,24609"
11/01/2006 11.00,"0,352559","16,360967","28,24609"
11/01/2006 12.00,"0,442671","15,786014","28,24609"
11/01/2006 13.00,"0,423523","15,819753","28,24609"
11/01/2006 14.00,"0,654431","20,747762","28,24609"
11/01/2006 15.00,"0,823044","13,413504","28,24609"
11/01/2006 16.00,"0,852503","9,975444","28,24609"
11/01/2006 17.00,"0,849124","13,078657","28,24609"
11/01/2006 18.00,"0,446223","22,279255","28,24609"
11/01/2006 19.00,"0,744717","25,452562","28,24609"
11/01/2006 20.00,"0,422309","20,424595","28,24609"
11/01/2006 21.00,"0,333064","19,116354","28,24609"
11/01/2006 22.00,"0,680599","18,699736","28,24609"
11/01/2006 23.00,"1,032638","20,376586","28,24609"
12/01/2006 0.00,"0,590921","14,164967","28,24609"
12/01/2006 1.00,,"10,13768","35,83543"
12/01/2006 2.00,"0,268167",,"35,83543"
12/01/2006 3.00,"0,34829","8,960509","35,83543"
12/01/2006 4.00,"0,400616","5,994871","35,83543"
12/01/2006 5.00,"0,577557","8,870957","35,83543"
12/01/2006 6.00,"0,56112","6,986446","35,83543"
12/01/2006 7.00,"0,395882","12,626996","35,83543"
12/01/2006 8.00,"0,418689","20,867165","35,83543"
12/01/2006 9.00,"0,848306","21,307156","35,83543"
12/01/2006 10.00,"0,854761","14,170166","35,83543"
12/01/2006 11.00,"0,866379","6,684042","35,83543"
12/01/2006 12.00,"0,721021","6,661978","35,83543"
12/01/2006 13.00,"1,201847","6,847574","35,83543"
12/01/2006 14.00,"2,192843","10,425801","35,83543"
12/01/2006 15.00,"2,363243","8,281723","35,83543"
12/01/2006 16.00,"1,742484","7,604234","35,83543"
12/01/2006 17.00,"1,774068","12,528361","35,83543"
12/01/2006 18.00,"1,28851","13,906694","35,83543"
12/01/2006 19.00,"1,029293","14,637399","35,83543"
12/01/2006 20.00,"0,629625","14,816504","35,83543"
12/01/2006 21.00,"0,374453","15,02935","35,83543"
12/01/2006 22.00,"0,814226","18,4791","35,83543"
12/01/2006 23.00,"0,790215","24,196206","35,83543"
13/01/2006 0.00,"0,631088","17,334372","35,83543"
13/01/2006 1.00,"0,560948","11,121463","37,528011"
13/01/2006 2.00,"0,34829","10,177912","37,528011"
13/01/2006 3.00,"0,274708","14,136416","37,528011"
13/01/2006 4.00,"0,19622","9,919638","37,528011"
13/01/2006 5.00,"0,134083","6,308957","37,528011"
13/01/2006 6.00,"0,089934","7,506892","37,528011"
13/01/2006 7.00,"0,147423","15,43299","37,528011"
13/01/2006 8.00,"0,125908","20,126094","37,528011"
13/01/2006 9.00,"1,826996","34,20411","37,528011"
13/01/2006 10.00,"1,443506","36,240467","37,528011"
13/01/2006 11.00,"0,228923","10,667208","37,528011"
13/01/2006 12.00,"0,755274","9,830083","37,528011"
13/01/2006 13.00,"1,5695","9,766488","37,528011"
13/01/2006 14.00,"1,350819","11,203222","37,528011"
13/01/2006 15.00,"1,63353","12,079293","37,528011"
13/01/2006 16.00,"1,146939","10,14936","37,528011"
13/01/2006 17.00,"0,923696","10,20386","37,528011"
13/01/2006 18.00,"0,924213","17,619906","37,528011"
13/01/2006 19.00,"0,559571","22,734807","37,528011"
13/01/2006 20.00,"1,029637","23,250072","37,528011"
13/01/2006 21.00,"2,67186","32,675219","37,528011"
13/01/2006 22.00,"1,155029","33,738177","37,528011"
13/01/2006 23.00,"0,337102","24,181943","37,528011"
14/01/2006 0.00,"0,784449","19,849638","37,528011"
14/01/2006 1.00,,"16,839888","42,714691"
14/01/2006 2.00,"0,758172",,"42,714691"
14/01/2006 3.00,"0,904949","7,857318","42,714691"
14/01/2006 4.00,"0,719294","7,153872","42,714691"
14/01/2006 5.00,"0,822124","8,105213","42,714691"
14/01/2006 6.00,"0,712916","9,138318","42,714691"
14/01/2006 7.00,"0,849908","11,431653","42,714691"
14/01/2006 8.00,"1,331562","15,885952","42,714691"
14/01/2006 9.00,"1,714754","31,254048","42,714691"
14/01/2006 10.00,"1,125289","27,980799","42,714691"
14/01/2006 11.00,"1,366073","14,399887","42,714691"
14/01/2006 12.00,"1,478515","9,767786","42,714691"
14/01/2006 13.00,"2,390365","15,038434","42,714691"
14/01/2006 14.00,"2,940777","14,699691","42,714691"
14/01/2006 15.00,"3,181911","13,378461","42,714691"
14/01/2006 16.00,"2,365902","12,346649","42,714691"
14/01/2006 17.00,"2,550073","16,786679","42,714691"
14/01/2006 18.00,"1,827721","27,087877","42,714691"
14/01/2006 19.00,"3,655441","30,737483","42,714691"
14/01/2006 20.00,"1,852184","19,937895","42,714691"
14/01/2006 21.00,"1,825449","19,456396","42,714691"
14/01/2006 22.00,"1,639619","26,144324","42,714691"
14/01/2006 23.00,"1,677799","21,795156","42,714691"
15/01/2006 0.00,"1,233537","14,769775","42,714691"
15/01/2006 1.00,"0,984715","10,000106","78,997681"
15/01/2006 2.00,"1,375858","17,522569","78,997681"
15/01/2006 3.00,"1,277307","22,485636","78,997681"
15/01/2006 4.00,"1,03233","17,213672","78,997681"
15/01/2006 5.00,"1,06885","11,822312","78,997681"
15/01/2006 6.00,"0,932731","14,700993","78,997681"
15/01/2006 7.00,"1,251971","28,629751","78,997681"
15/01/2006 8.00,"1,046046","23,531709","78,997681"
15/01/2006 9.00,"1,771805","29,616133","78,997681"
15/01/2006 10.00,"2,79173","27,834149","78,997681"
15/01/2006 11.00,"4,284484","47,346356","78,997681"
15/01/2006 12.00,"2,154474","17,392778","78,997681"
15/01/2006 13.00,"1,811994","12,201294","78,997681"
15/01/2006 14.00,"1,644861","13,077355","78,997681"
15/01/2006 15.00,"2,37525","20,132575","78,997681"
15/01/2006 16.00,"1,459381","17,151369","78,997681"
15/01/2006 17.00,"2,003678","17,666633","78,997681"
15/01/2006 18.00,"1,568065","23,653715","78,997681"
15/01/2006 19.00,"1,58519","26,105396","78,997681"
15/01/2006 20.00,"1,667838","30,048321","78,997681"
15/01/2006 21.00,"2,168452","28,168999","78,997681"
15/01/2006 22.00,"2,570341","35,360508","78,997681"
15/01/2006 23.00,"2,093316","33,463019","78,997681"
16/01/2006 0.00,"2,820211","52,565105","78,997681"
16/01/2006 1.00,,"26,311738","60,697182"
16/01/2006 2.00,"1,11543",,"60,697182"
16/01/2006 3.00,"0,704528","18,254567","60,697182"
16/01/2006 4.00,"0,742317","14,93461","60,697182"
16/01/2006 5.00,"0,678466","9,576999","60,697182"
16/01/2006 6.00,"0,599414","12,315503","60,697182"
16/01/2006 7.00,"0,705396","19,540755","60,697182"
16/01/2006 8.00,"1,352155","53,028441","60,697182"
16/01/2006 9.00,"2,534911","61,210234","60,697182"
16/01/2006 10.00,"0,397437","55,272457","60,697182"
16/01/2006 11.00,"0,3818","24,205288","60,697182"
16/01/2006 12.00,"0,907807","11,752228","60,697182"
16/01/2006 13.00,"1,779129","11,865145","60,697182"
16/01/2006 14.00,"1,728743","18,729591","60,697182"
16/01/2006 15.00,"1,746118","15,744482","60,697182"
16/01/2006 16.00,"1,422956","16,688033","60,697182"
16/01/2006 17.00,"0,98686","13,939143","60,697182"
16/01/2006 18.00,"0,690628","25,87955","60,697182"
16/01/2006 19.00,"0,734064","46,809047","60,697182"
16/01/2006 20.00,"0,646324","33,46172","60,697182"
16/01/2006 21.00,"0,568574","29,392889","60,697182"
16/01/2006 22.00,"0,443479","31,992539","60,697182"
16/01/2006 23.00,"0,42567","43,278827","60,697182"
17/01/2006 0.00,"0,670213","55,150474","60,697182"
17/01/2006 1.00,"0,310565","23,100803","61,753071"
17/01/2006 2.00,"0,264958","20,056","61,753071"
17/01/2006 3.00,"0,262786","21,776991","61,753071"
17/01/2006 4.00,"0,228038","12,900843","61,753071"
17/01/2006 5.00,"0,236725","11,273318","61,753071"
17/01/2006 6.00,"0,241503","13,679568","61,753071"
17/01/2006 7.00,"0,308394","43,991352","61,753071"
17/01/2006 8.00,"0,243674","28,934753","61,753071"
17/01/2006 9.00,"0,389619","44,729843","61,753071"
17/01/2006 10.00,"0,617657","77,175357","61,753071"
17/01/2006 11.00,"0,796612","26,915261","61,753071"
17/01/2006 12.00,"0,55728","22,55051","61,753071"
17/01/2006 13.00,"0,452166","22,833447","61,753071"
17/01/2006 14.00,"0,563796","19,008636","61,753071"
17/01/2006 15.00,"0,685851","16,367466","61,753071"
17/01/2006 16.00,"0,456944","18,733477","61,753071"
17/01/2006 17.00,"0,906938","24,930816","61,753071"
17/01/2006 18.00,"0,577696","52,147197","61,753071"
17/01/2006 19.00,"0,379194","39,58119","61,753071"
17/01/2006 20.00,"0,458681","32,541532","61,753071"
17/01/2006 21.00,"0,508198","33,635635","61,753071"
17/01/2006 22.00,"0,358345","29,144998","61,753071"
17/01/2006 23.00,"0,400912","25,88735","61,753071"
18/01/2006 0.00,"0,368335","22,411641","61,753071"
18/01/2006 1.00,,"18,950229","21,98494"
18/01/2006 2.00,"0,172851",,"21,98494"
18/01/2006 3.00,"0,127885","13,501754","21,98494"
18/01/2006 4.00,"0,10984","7,771658","21,98494"
18/01/2006 5.00,"0,131321","6,878724","21,98494"
18/01/2006 6.00,"0,218822","7,706765","21,98494"
18/01/2006 7.00,"0,150941","11,273318","21,98494"
18/01/2006 8.00,"0,131608","36,649312","21,98494"
18/01/2006 9.00,"0,181157","25,285128","21,98494"
18/01/2006 10.00,"0,164832","22,908723","21,98494"
18/01/2006 11.00,"0,185883","20,289626","21,98494"
18/01/2006 12.00,"0,131894","16,259736","21,98494"
18/01/2006 13.00,"0,215098","15,504375","21,98494"
18/01/2006 14.00,"0,174713","15,357719","21,98494"
18/01/2006 15.00,"0,132037","15,641951","21,98494"
18/01/2006 16.00,"0,104255","14,456991","21,98494"
18/01/2006 17.00,"0,095089","14,985225","21,98494"
18/01/2006 18.00,"0,119149","19,944377","21,98494"
18/01/2006 19.00,"0,135044","20,190986","21,98494"
18/01/2006 20.00,"0,089648","18,745165","21,98494"
18/01/2006 21.00,"0,131894","16,811335","21,98494"
18/01/2006 22.00,"0,086211","14,192229","21,98494"
18/01/2006 23.00,"0,040814","11,950803","21,98494"
19/01/2006 0.00,"0,059145","10,332352","21,98494"
19/01/2006 1.00,"0,093801","8,206446","17,78537"
19/01/2006 2.00,"0,050982","7,968934","17,78537"
19/01/2006 3.00,"0,074182","7,863808","17,78537"
19/01/2006 4.00,"0,044681","7,824871","17,78537"
19/01/2006 5.00,"0,035801","11,660083","17,78537"
