NetC,Provincia di TARANTO,,,
Stat,S.VITO Colonia Marina,,,
Parm,SO2,NOX,NO,NO2
PtId,1,2,3,4
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver
,,,,,,,
,,,,,,,,,
04/01/2007 22.00,"2,559774","86,099653","26,002557","46,262636"
04/01/2007 23.00,"1,579788","52,581931","11,743445","34,599972"
05/01/2007 0.00,"1,51432","48,98932","10,145566","33,456538"
05/01/2007 1.00,"1,282996","35,220625","4,906143","27,717345"
05/01/2007 2.00,"1,377842","21,263886","2,583339","17,314912"
05/01/2007 3.00,"1,215558","21,69837","3,057881","17,021587"
05/01/2007 4.00,"1,295253","15,347101","1,528518","13,012458"
05/01/2007 5.00,"1,176819","11,614407","1,703615","9,008531"
05/01/2007 6.00,"1,362629","21,116032","5,486422","13,009866"
05/01/2007 7.00,"1,517831","33,778405","7,452263","22,367512"
05/01/2007 8.00,"2,285153","81,708093","28,654413","37,890065"
05/01/2007 9.00,"5,034618","118,819727","48,646942","44,261325"
05/01/2007 10.00,"2,148306","72,932743","25,714948","33,527932"
05/01/2007 11.00,"1,76098","41,309925","9,352125","26,989237"
05/01/2007 12.00,"1,654925","52,382182","11,262134","35,138564"
05/01/2007 13.00,"1,861614","41,175053","8,315912","28,444154"
05/01/2007 14.00,"1,768617","69,136524","16,805233","43,39953"
05/01/2007 15.00,"1,399582","43,859788","10,214078","28,218328"
05/01/2007 16.00,"1,597161","23,577694","8,61874","11,073442"
05/01/2007 17.00,"1,374516","21,704871","8,203409","9,133127"
05/01/2007 18.00,"1,142146","17,802274","6,357685","8,059786"
05/01/2007 19.00,"0,954118","27,222194","6,674046","17,000826"
05/01/2007 20.00,"1,09614","21,36375","5,897523","12,329786"
05/01/2007 21.00,"1,11671","21,843644","6,065853","12,551714"
05/01/2007 22.00,"1,274559","41,265834","7,238253","30,188491"
05/01/2007 23.00,"1,35062","49,011366","8,97063","35,281353"
06/01/2007 0.00,"1,232741","29,074273","4,881612","21,604376"
06/01/2007 1.00,,"35,863937","6,273942","26,262429"
06/01/2007 2.00,"0,602238",,,
06/01/2007 3.00,"0,710191","20,904622","2,563036","16,986544"
06/01/2007 4.00,"0,718","15,350992","2,433616","11,627633"
06/01/2007 5.00,"0,675279","17,328878","3,717672","11,636717"
06/01/2007 6.00,"0,478208","19,6323","2,470836","15,854806"
06/01/2007 7.00,"0,486936","26,530912","3,097638","21,796456"
06/01/2007 8.00,"0,530882","19,594692","2,354948","15,994973"
06/01/2007 9.00,"0,641285","11,751888","2,730523","7,570487"
06/01/2007 10.00,"0,65675","12,701272","3,71598","7,00851"
06/01/2007 11.00,"0,521542","12,095585","3,836943","6,216808"
06/01/2007 12.00,"1,381335","22,393553","7,002251","11,665268"
06/01/2007 13.00,"3,306262","29,056108","10,501683","12,963146"
06/01/2007 14.00,"4,748387","30,50743","12,340635","11,593882"
06/01/2007 15.00,"5,255381","33,101386","14,345388","11,11367"
06/01/2007 16.00,"4,057949","34,835434","14,852917","12,070209"
06/01/2007 17.00,"2,763129","40,39167","14,189737","18,64782"
06/01/2007 18.00,"1,729999","35,581171","13,440277","14,983932"
06/01/2007 19.00,"2,48429","76,959872","25,378284","38,074363"
06/01/2007 20.00,"1,557122","68,798002","21,705444","35,542205"
06/01/2007 21.00,"1,360664","96,750411","33,152828","45,949853"
06/01/2007 22.00,"1,552222","89,38227","27,969237","46,530008"
06/01/2007 23.00,"1,369851","92,587108","30,568646","45,748689"
07/01/2007 0.00,"1,285632","89,463989","29,431769","44,367747"
07/01/2007 1.00,"0,924565","56,300369","13,638214","35,413737"
07/01/2007 2.00,"0,675431","29,809648","4,141462","23,475898"
07/01/2007 3.00,"0,683395","19,139444","2,278819","15,656232"
07/01/2007 4.00,"0,618011","20,815141","2,679769","16,717886"
07/01/2007 5.00,"0,782006","19,571346","2,738135","15,383677"
07/01/2007 6.00,"0,903121","13,711615","2,569804","10,380374"
07/01/2007 7.00,"0,578044","17,97477","3,105251","13,22272"
07/01/2007 8.00,"0,503013","23,017401","3,527348","17,621208"
07/01/2007 9.00,"0,737294","28,036687","5,454278","19,687404"
07/01/2007 10.00,"0,660732","20,977258","4,26327","14,450502"
07/01/2007 11.00,"0,953506","24,486869","5,913595","15,430395"
07/01/2007 12.00,"1,84423","34,959945","9,994998","19,648475"
07/01/2007 13.00,"3,581579","39,88455","12,594401","20,588128"
07/01/2007 14.00,"4,394516","38,559054","13,558718","17,782136"
07/01/2007 15.00,"4,171873","32,438629","13,154378","12,277868"
07/01/2007 16.00,"3,989503","33,761521","13,696587","12,769758"
07/01/2007 17.00,"3,498279","93,882775","34,994325","40,254789"
07/01/2007 18.00,"3,09204","142,126355","56,577972","55,497005"
07/01/2007 19.00,"2,856841","116,37881","40,509504","54,304258"
07/01/2007 20.00,"2,378328","83,501819","23,218729","47,934297"
07/01/2007 21.00,"1,324985","54,711572","12,768643","35,158045"
07/01/2007 22.00,"1,43646","54,379515","13,395448","33,864063"
07/01/2007 23.00,"1,388532","59,444232","13,542632","38,706431"
08/01/2007 0.00,"1,13067","44,361708","8,309145","31,643408"
08/01/2007 1.00,,"26,953711","3,710059","21,27989"
08/01/2007 2.00,"0,471478",,,
08/01/2007 3.00,"0,598555","12,281053","1,67824","9,714571"
08/01/2007 4.00,"0,558038","10,661132","1,270521","8,719104"
08/01/2007 5.00,"0,407018","12,902304","1,30774","10,904721"
08/01/2007 6.00,"0,486211","17,261435","2,934382","12,77106"
08/01/2007 7.00,"0,617894","28,440044","5,204741","20,473925"
08/01/2007 8.00,"1,125285","66,170344","21,9313","32,566196"
08/01/2007 9.00,"0,930064","51,48339","14,722643","28,929553"
08/01/2007 10.00,"0,994523","55,994256","15,697946","31,94711"
08/01/2007 11.00,"0,918093","58,920248","15,833296","34,667446"
08/01/2007 12.00,"1,03412","56,483211","16,021082","31,940608"
08/01/2007 13.00,"0,930064","52,45094","14,243034","30,633661"
08/01/2007 14.00,"1,208161","31,948372","10,412857","15,993673"
08/01/2007 15.00,"1,214608","33,490476","11,992977","15,112415"
08/01/2007 16.00,"1,390491","42,381238","14,290395","20,484306"
08/01/2007 17.00,"1,327872","96,379482","34,772706","43,093227"
08/01/2007 18.00,"1,904328","122,55241","44,918262","53,717619"
08/01/2007 19.00,"2,057191","108,075588","36,5313","52,099168"
08/01/2007 20.00,"1,567296","117,958546","40,611859","55,728029"
08/01/2007 21.00,"1,574662","108,137825","36,565992","52,108249"
08/01/2007 22.00,"1,298406","77,917039","21,526112","44,942706"
08/01/2007 23.00,"1,173169","72,500861","22,804251","37,561699"
09/01/2007 0.00,"0,927301","48,565181","10,184473","32,972419"
09/01/2007 1.00,"0,655649","33,783588","6,531091","23,786083"
09/01/2007 2.00,"0,833373","26,886276","6,185125","17,41484"
09/01/2007 3.00,"0,630786","22,227535","5,278334","14,144207"
09/01/2007 4.00,"0,663016","14,994324","5,072782","7,22136"
09/01/2007 5.00,"0,589347","16,810088","5,373072","8,577637"
09/01/2007 6.00,"0,66854","20,489603","5,949968","11,378443"
09/01/2007 7.00,"0,717346","47,807781","15,132058","24,627114"
09/01/2007 8.00,"1,835264","129,751935","59,071648","39,591573"
09/01/2007 9.00,"2,008385","120,548597","52,88144","39,494231"
09/01/2007 10.00,"1,382204","72,70577","22,574166","38,119791"
09/01/2007 11.00,"1,267097","67,670935","19,64232","37,579882"
09/01/2007 12.00,"0,976106","43,06344","13,946123","21,695216"
09/01/2007 13.00,"0,962293","31,312843","12,021739","12,889167"
09/01/2007 14.00,"1,941162","30,707159","12,917523","10,908606"
09/01/2007 15.00,"2,352785","31,286895","13,725342","10,249289"
09/01/2007 16.00,"1,494548","41,874118","15,503402","18,115691"
09/01/2007 17.00,"1,341685","61,545328","21,466058","28,651798"
09/01/2007 18.00,"1,46508","92,603971","32,041341","43,505952"
09/01/2007 19.00,"1,2496","70,573544","22,333931","36,35469"
09/01/2007 20.00,"1,741337","70,685108","21,544731","37,67722"
09/01/2007 21.00,"0,930984","83,685985","25,989861","43,866765"
09/01/2007 22.00,"0,929142","82,31118","24,918962","44,134122"
09/01/2007 23.00,"1,162119","82,663962","27,350898","40,755771"
10/01/2007 0.00,"0,66762","61,173101","16,242699","36,293678"
10/01/2007 1.00,,"67,481591","21,455058","34,633698"
10/01/2007 2.00,"0,786529",,,
10/01/2007 3.00,"0,772344","28,953644","5,57101","20,425895"
10/01/2007 4.00,"0,856598","26,698211","4,373234","20,006689"
10/01/2007 5.00,"0,821869","19,532436","3,065494","14,842464"
10/01/2007 6.00,"0,598579","21,106949","4,696363","13,915779"
10/01/2007 7.00,"0,936449","46,759815","14,515417","24,520691"
10/01/2007 8.00,"1,777272","156,924837","73,756245","43,897912"
10/01/2007 9.00,"3,104907","204,979969","99,356154","52,676727"
10/01/2007 10.00,"1,098108","34,915854","7,232332","23,843194"
10/01/2007 11.00,"1,117796","23,265119","7,95049","11,082523"
10/01/2007 12.00,"0,904655","52,367938","26,33836","12,009211"
10/01/2007 13.00,"0,93168","22,020026","10,132032","6,506234"
10/01/2007 14.00,"1,099942","23,259939","10,546511","7,094168"
10/01/2007 15.00,"1,055921","28,755217","11,968445","10,411528"
10/01/2007 16.00,"1,353804","34,275143","12,524182","15,08257"
10/01/2007 17.00,"2,237303","117,967604","46,491611","46,715608"
10/01/2007 18.00,"2,380865","148,769443","59,619779","57,429518"
10/01/2007 19.00,"2,139232","131,484685","50,346316","54,327606"
10/01/2007 20.00,"1,655356","77,114192","21,251212","44,561129"
10/01/2007 21.00,"1,937708","121,119271","44,066458","53,590413"
10/01/2007 22.00,"2,187167","116,112947","44,182342","48,402834"
10/01/2007 23.00,"1,685804","70,181872","19,666013","40,056207"
11/01/2007 0.00,"1,08001","50,152695","12,316956","31,289095"
11/01/2007 1.00,"1,087469","34,68498","5,890754","25,670607"
11/01/2007 2.00,"1,018746","26,494584","4,544104","19,540755"
11/01/2007 3.00,"0,909669","21,903298","3,475749","16,585499"
11/01/2007 4.00,"0,732846","15,310786","2,580801","11,361568"
11/01/2007 5.00,"0,981939","12,129307","2,164624","8,816446"
