, Brindisi,,
,Mesagne,,
Parm,SO2,NOX,NO2



05/01/2007 8.00,"1,21069477","38,6680012","30,44546432"
05/01/2007 9.00,"1,39488872","60,62189112","36,53638888"
05/01/2007 10.00,"1,09438048","50,44712576","35,38387352"
05/01/2007 11.00,"0,86670164","47,54059896","36,85827408"
05/01/2007 12.00,"1,46418202","64,60229272","45,386578"
05/01/2007 13.00,"1,23349794","58,49092888","37,85891928"
05/01/2007 14.00,"1,11682974","55,62723088","36,90498424"
05/01/2007 15.00,"1,41574739","42,83906744","31,54606888"
05/01/2007 16.00,"1,63582518","42,48108368","29,75890336"
05/01/2007 17.00,"1,32259019","43,18276856","31,181374"
05/01/2007 18.00,"1,25064456","35,0429448","25,35910456"
05/01/2007 19.00,"1,14299206","41,89098312","30,57395072"
05/01/2007 20.00,"0,97258659","50,88809032","36,3027616"
05/01/2007 21.00,"1,12708313","61,18346464","40,78691784"
05/01/2007 22.00,"0,96056565","43,54591472","34,72585872"
05/01/2007 23.00,"0,85273619","29,84467568","24,31951192"
06/01/2007 0.00,"0,84743356","16,88920459","13,38495026"
06/01/2007 1.00,,"12,92046237","9,98063618"
06/01/2007 2.00,"0,70301345",,
06/01/2007 3.00,"0,5897105","9,83366265","7,12791306"
06/01/2007 4.00,"0,66357216","8,2695109","5,62367956"
06/01/2007 5.00,"0,70582037","8,77922142","6,3128504"
06/01/2007 6.00,"0,65249296","10,96462403","8,15063803"
06/01/2007 7.00,"0,44922619","16,387274","13,38105552"
06/01/2007 8.00,"0,89948565","15,65837562","12,94886322"
06/01/2007 9.00,"0,62412985","14,14999309","10,29991341"
06/01/2007 10.00,"0,45675911","13,14613573","9,85474245"
06/01/2007 11.00,"0,36650036","12,389999","8,80736032"
06/01/2007 12.00,"0,32587731","13,27713067","7,95725453"
06/01/2007 13.00,"0,5338711","18,43779266","9,27719034"
06/01/2007 14.00,"0,47256634","16,40024501","7,22525489"
06/01/2007 15.00,"0,63683421","15,44566945","5,94555329"
06/01/2007 16.00,"0,71955903","15,6739393","6,23108372"
06/01/2007 17.00,"0,82887432","25,08997144","13,4848905"
06/01/2007 18.00,"0,90303091","46,78055984","32,22486712"
06/01/2007 19.00,"0,9584269","49,08010312","36,26383328"
06/01/2007 20.00,"0,88205427","55,62851192","38,40013"
06/01/2007 21.00,"1,10127574","44,75470024","32,45067432"
06/01/2007 22.00,"0,59222147","43,97907832","32,39098168"
06/01/2007 23.00,"0,62619843","39,00390136","30,64144432"
07/01/2007 0.00,"0,47448644","37,38139728","31,41758248"
07/01/2007 1.00,"0,62457326","37,04417784","31,93152808"
07/01/2007 2.00,"0,7717057","31,26745224","27,81598632"
07/01/2007 3.00,"0,72369517","32,81863872","30,16124552"
07/01/2007 4.00,"0,96935864","27,94460656","25,36690552"
07/01/2007 5.00,"0,89653127","28,60866328","26,41818048"
