,Provincia di TARANTO,,,,,
,TA V.Archimede,,,,,
Parm,SO2,NOX,NO,NO2,CO,PM10



01/01/2008 1.00,"4,183606","2,316983","68,678741",,,
01/01/2008 2.00,"5,306247","1,975437","68,678741",,,
01/01/2008 3.00,"5,34591","2,008546","68,678741",,,
01/01/2008 4.00,"4,878574","2,365364","68,678741",,,
01/01/2008 5.00,"4,775104","2,293424","68,678741",,,
01/01/2008 6.00,"5,001013","1,807409","68,678741",,,
01/01/2008 7.00,"5,113105","2,054953","68,678741",,,
01/01/2008 8.00,"5,223471","1,663134","68,678741",,,
01/01/2008 9.00,"6,439234","1,959614","68,678741",,,
01/01/2008 10.00,"6,873805","1,771141","68,678741",,,
01/01/2008 11.00,"6,716877","1,965612","68,678741",,,
01/01/2008 12.00,"8,869036","1,827613","68,678741",,,
01/01/2008 13.00,"6,232297","1,277628","68,678741",,,
01/01/2008 14.00,"4,637145","0,945515","68,678741",,,
01/01/2008 15.00,"4,340535","1,018598","68,678741",,,
01/01/2008 16.00,"5,271758","1,33982","68,678741",,,
01/01/2008 17.00,"8,982852","1,830453","68,678741",,,
01/01/2008 18.00,"5,220023","1,197322","68,678741",,,
01/01/2008 19.00,"7,251468","1,569371","68,678741",,,
01/01/2008 20.00,"14,371867","2,14915","68,678741",,,
01/01/2008 21.00,"9,47778","2,901102","68,678741",,,
01/01/2008 22.00,"9,075974","2,061742","68,678741",,,
01/01/2008 23.00,"8,061976","1,68397","68,678741",,,
02/01/2008 0.00,"6,918641","1,624067","68,678741",,,
02/01/2008 1.00,"7,499794","2,144374","55,028221",,,
02/01/2008 2.00,"8,293057","2,295081","55,028221",,,
02/01/2008 3.00,"8,115436","2,498628","55,028221",,,
02/01/2008 4.00,"10,479707","2,287899","55,028221",,,
02/01/2008 5.00,"11,983453","2,066754","55,028221",,,
02/01/2008 6.00,"14,282198","2,05306","55,028221",,,
02/01/2008 7.00,"14,601221","2,003337","55,028221",,,
02/01/2008 8.00,"8,177517","1,126093","55,028221",,,
02/01/2008 9.00,"6,073643","0,913589","55,028221",,,
02/01/2008 10.00,"7,894701","3,194228","55,028221",,,
02/01/2008 11.00,"10,036513","2,619066","55,028221",,,
02/01/2008 12.00,"12,628414","1,826903","55,028221",,,
02/01/2008 13.00,"12,719811","1,644191","55,028221",,,
02/01/2008 14.00,"9,555381","1,23856","55,028221",,,
02/01/2008 15.00,"9,048383","1,249373","55,028221",,,
02/01/2008 16.00,"10,002024","1,289151","55,028221",,,
02/01/2008 17.00,"7,675691","1,284336","55,028221",,,
02/01/2008 18.00,"7,115233","1,401617","55,028221",,,
02/01/2008 19.00,"7,368733","1,595219","55,028221",,,
02/01/2008 20.00,"5,235542","1,222421","55,028221",,,
02/01/2008 21.00,"4,863054","1,053246","55,028221",,,
02/01/2008 22.00,"4,759585","1,097561","55,028221",,,
02/01/2008 23.00,"5,094136","1,625054","55,028221",,,
03/01/2008 0.00,"5,038951","1,312631","55,028221",,,
03/01/2008 1.00,"5,923613","1,61211","42,491371",,,
03/01/2008 2.00,"7,268712","1,892015","42,491371",,,
03/01/2008 3.00,"7,984374","1,920507","42,491371",,,
03/01/2008 4.00,"5,806348","1,07428","42,491371",,,
03/01/2008 5.00,"5,451103","1,25328","42,491371",,,
03/01/2008 6.00,"5,082064","0,981108","42,491371",,,
03/01/2008 7.00,"4,600932","0,954866","42,491371",,,
03/01/2008 8.00,"4,356055","1,143062","42,491371",,,
03/01/2008 9.00,"4,262933","1,170055","42,491371",,,
03/01/2008 10.00,"4,36985","1,218671","42,491371",,,
03/01/2008 11.00,"4,478494","1,239665","42,491371",,,
03/01/2008 12.00,"4,504361","1,243375","42,491371",,,
03/01/2008 13.00,"4,963074","1,241204","42,491371",,,
03/01/2008 14.00,"5,318318","1,244046","42,491371",,,
03/01/2008 15.00,"5,366604","1,117332","42,491371",,,
03/01/2008 16.00,"5,307971","1,132525","42,491371",,,
03/01/2008 17.00,"5,273481","1,151507","42,491371",,,
03/01/2008 18.00,"5,138972","1,252846","42,491371",,,
03/01/2008 19.00,"5,123451","1,190021","42,491371",,,
03/01/2008 20.00,"5,106206","1,307935","42,491371",,,
03/01/2008 21.00,"4,900992","1,218908","42,491371",,,
03/01/2008 22.00,"4,866502","1,268038","42,491371",,,
03/01/2008 23.00,"4,982044","1,243375","42,491371",,,
04/01/2008 0.00,"4,997564","1,197046","42,491371",,,
04/01/2008 1.00,"5,047574","1,152888","20,035271",,,
04/01/2008 2.00,"4,923411","1,096654","20,035271",,,
04/01/2008 3.00,"4,794075","1,129329","20,035271",,,
04/01/2008 4.00,"4,718196","1,096378","20,035271",,,
04/01/2008 5.00,"4,464698","1,15123","20,035271",,,
04/01/2008 6.00,"4,30432","1,0478","20,035271",,,
04/01/2008 7.00,"4,359504","1,117412","20,035271",,,
04/01/2008 8.00,"4,214647","1,110822","20,035271",,,
04/01/2008 9.00,"4,285351","1,096851","20,035271",,,
04/01/2008 10.00,"4,100831","1,078265","20,035271",,,
04/01/2008 11.00,"4,128422","1,124831","20,035271",,,
04/01/2008 12.00,"4,043922","1,203005","20,035271",,,
04/01/2008 13.00,"4,037025","1,191363","20,035271",,,
04/01/2008 14.00,"3,855953","1,211806","20,035271",,,
04/01/2008 15.00,"3,792148","1,164016","20,035271",,,
04/01/2008 16.00,"3,671434","1,082527","20,035271",,,
04/01/2008 17.00,"3,673158","1,104941","20,035271",,,
04/01/2008 18.00,"3,652464","1,070767","20,035271",,,
04/01/2008 19.00,"3,521403","1,181656","20,035271",,,
04/01/2008 20.00,"3,536924","1,138128","20,035271",,,
04/01/2008 21.00,"3,626596","1,098825","20,035271",,,
04/01/2008 22.00,"3,612801","1,073372","20,035271",,,
04/01/2008 23.00,"3,461046","1,107467","20,035271",,,
05/01/2008 0.00,"3,335159","1,064926","20,035271",,,
05/01/2008 1.00,"3,445526","1,139825","27,98385",,,
05/01/2008 2.00,"3,224792","1,045313","27,98385",,,
05/01/2008 3.00,"3,250658","1,104231","27,98385",,,
05/01/2008 4.00,"3,343781","1,066347","27,98385",,,
05/01/2008 5.00,"3,290322","1,112912","27,98385",,,
05/01/2008 6.00,"3,304118","1,002931","27,98385",,,
05/01/2008 7.00,"3,295495","1,053443","27,98385",,,
05/01/2008 8.00,"3,254108","1,090419","27,98385",,,
05/01/2008 9.00,"3,209272","1,067926","27,98385",,,
05/01/2008 10.00,"3,09718","1,152888","27,98385",,,
05/01/2008 11.00,"3,21272","1,211173","27,98385",,,
05/01/2008 12.00,"3,210995","1,285244","27,98385",,,
05/01/2008 13.00,"3,273077","1,3633","27,98385",,,
05/01/2008 14.00,"3,266179","1,277668","27,98385",,,
05/01/2008 15.00,"3,007506","1,155769","27,98385",,,
05/01/2008 16.00,"3,110975","1,070255","27,98385",,,
05/01/2008 17.00,"3,269628","1,020374","27,98385",,,
05/01/2008 18.00,"3,109251","1,13292","27,98385",,,
05/01/2008 19.00,"3,142016","1,064374","27,98385",,,
05/01/2008 20.00,"3,152363","1,055377","27,98385",,,
05/01/2008 21.00,"3,236863","1,051589","27,98385",,,
05/01/2008 22.00,"2,941975","1,14835","27,98385",,,
05/01/2008 23.00,"3,112699","1,138682","27,98385",,,
06/01/2008 0.00,"2,962669","1,068951","27,98385",,,
06/01/2008 1.00,"2,990262","1,085802","22,81752",,,
06/01/2008 2.00,"3,200648","1,089117","22,81752",,,
06/01/2008 3.00,"3,021301","1,036396","22,81752",,,
06/01/2008 4.00,"3,145465","1,027477","22,81752",,,
06/01/2008 5.00,"3,104077","1,030634","22,81752",,,
06/01/2008 6.00,"3,119598","1,052181","22,81752",,,
06/01/2008 7.00,"3,057516","1,0141","22,81752",,,
06/01/2008 8.00,"3,110975","1,151782","22,81752",,,
06/01/2008 9.00,"3,047169","1,037698","22,81752",,,
06/01/2008 10.00,"3,112699","1,057587","22,81752",,,
06/01/2008 11.00,"3,059241","1,053719","22,81752",,,
06/01/2008 12.00,"3,095455","1,161688","22,81752",,,
06/01/2008 13.00,"3,140292","1,157465","22,81752",,,
06/01/2008 14.00,"3,347229","1,154584","22,81752",,,
06/01/2008 15.00,"3,173057","1,09555","22,81752",,,
06/01/2008 16.00,"3,343781","1,072702","22,81752",,,
06/01/2008 17.00,"3,269628","1,06623","22,81752",,,
06/01/2008 18.00,"3,435179","1,056127","22,81752",,,
06/01/2008 19.00,"3,388617","1,173606","22,81752",,,
06/01/2008 20.00,"3,404138","1,098943","22,81752",,,
06/01/2008 21.00,"3,398964","1,074595","22,81752",,,
06/01/2008 22.00,"3,461046","1,096181","22,81752",,,
06/01/2008 23.00,"3,398964","1,196297","22,81752",,,
07/01/2008 0.00,"3,393791","1,214922","22,81752",,,
07/01/2008 1.00,"3,478291","1,241954","23,77817",,,
07/01/2008 2.00,"3,442077","1,254819","23,77817",,,
07/01/2008 3.00,"3,417934","1,187181","23,77817",,,
07/01/2008 4.00,"3,514505","1,110112","23,77817",,,
07/01/2008 5.00,"3,483465","1,157662","23,77817",,,
07/01/2008 6.00,"3,469668","1,105297","23,77817",,,
07/01/2008 7.00,"3,42828","1,123804","23,77817",,,
07/01/2008 8.00,"3,490362","1,364365","23,77817",,,
07/01/2008 9.00,"3,564515","1,400079","23,77817",,,
07/01/2008 10.00,"3,752485","1,529239","23,77817",,,
07/01/2008 11.00,"3,816647","1,72138","23,77817",,,
07/01/2008 12.00,"1,297162","23,77817",,,,
07/01/2008 13.00,"1,074753","23,77817",,,,
07/01/2008 14.00,"1,285362","23,77817",,,,
07/01/2008 15.00,"1,315933","1,083434","23,77817",,,
07/01/2008 16.00,"1,339103","0,904908","23,77817",,,
07/01/2008 17.00,"1,326518","0,949067","23,77817",,,
07/01/2008 18.00,"1,331928","0,915918","23,77817",,,
07/01/2008 19.00,"1,536705","1,082605","23,77817",,,
07/01/2008 20.00,"1,645974","1,188601","23,77817",,,
07/01/2008 21.00,"1,589634","1,218908","23,77817",,,
07/01/2008 22.00,"1,789001","1,379834","23,77817",,,
07/01/2008 23.00,"1,619627","1,490645","23,77817",,,
08/01/2008 0.00,"1,434141","1,166305","23,77817",,,
08/01/2008 1.00,"1,342632","1,036356","21,42477",,,
08/01/2008 2.00,"1,263239","0,992119","21,42477",,,
08/01/2008 3.00,"0,903251","21,42477",,,,
08/01/2008 4.00,"0,183625","0,952498","21,42477",,,
08/01/2008 5.00,"0,184411","0,973415","21,42477",,,
08/01/2008 6.00,"0,155279","0,961338","21,42477",,,
08/01/2008 7.00,"0,18758","0,932215","21,42477",,,
