, Brindisi,,,
,Torchiarolo,,,
Parm,SO2,NO2,CO,PM10



01/01/2008 1.00,"3,897435","36,075633","1,450085","40,173512"
01/01/2008 2.00,"2,533392","40,777835","1,584491","40,173512"
01/01/2008 3.00,"1,439825","36,914066","1,168473","40,173512"
01/01/2008 4.00,"0,640052","22,053427","0,853847","40,173512"
01/01/2008 5.00,"0,269312","16,65948","0,682121","40,173512"
01/01/2008 6.00,"0,280971","10,799583","0,538623","40,173512"
01/01/2008 7.00,"0,368409","9,371933","0,513863","40,173512"
01/01/2008 8.00,"0,298458","9,262914","0,447756","40,173512"
01/01/2008 9.00,"0,427867","9,143508","0,44042","40,173512"
01/01/2008 10.00,"0,354419","11,288891","0,393532","40,173512"
01/01/2008 11.00,"0,218014","10,981294","0,408523","40,173512"
01/01/2008 12.00,"0,20519","12,515382","0,427901","40,173512"
01/01/2008 13.00,"0,490823","16,982648","0,623868","40,173512"
01/01/2008 14.00,"0,422038","15,02806","0,486751","40,173512"
01/01/2008 15.00,"0,214517","10,659417","0,486272","40,173512"
01/01/2008 16.00,"0,212185","12,612716","0,426823","40,173512"
01/01/2008 17.00,"0,15739","15,704252","0,566853","40,173512"
01/01/2008 18.00,"0,659871","20,25198","0,781958","40,173512"
01/01/2008 19.00,"1,021285","19,690004","0,828768","40,173512"
01/01/2008 20.00,"0,812598","18,754248","0,760349","40,173512"
01/01/2008 21.00,"1,097065","26,615461","1,119152","40,173512"
01/01/2008 22.00,"1,317411","22,340267","0,973182","40,173512"
01/01/2008 23.00,"0,739149","12,045544","0,589778","40,173512"
02/01/2008 0.00,"1,774424","19,336992","0,913535","40,173512"
02/01/2008 1.00,,"12,760676","0,824262","43,247452"
02/01/2008 2.00,"0,118415","8,314169",,"43,247452"
02/01/2008 3.00,"0,113597","9,099382","0,396111","43,247452"
02/01/2008 4.00,"0,119803",,"0,37185","43,247452"
02/01/2008 5.00,"0,107083",,"0,348702","43,247452"
02/01/2008 6.00,"0,100954",,"0,327221","43,247452"
